nId	nLevelMin	nLevelMax	szTimeBegin	szTimeEnd	tbAwardInfo	Desc
1	1	999	OpenLevel49	OpenLevel69	Item|1378	Minh Chủ Võ Lâm: Đồng Hành Độc Cô Kiếm
1	1	999	OpenLevel109		Item|3897	Minh Chủ Võ Lâm: Đá Hồn Đường Giản
1	1	999	OpenLevel139		Item|9977	Minh Chủ Võ Lâm: Đá Hồn Quỷ Cốc Tử (Âm)
1	1	999	OpenLevel139		Item|9980	Minh Chủ Võ Lâm: Đá Hồn Quỷ Cốc Tử (Dương)
1	1	999	OpenLevel89	OpenLevel109	Item|2881	Minh Chủ Võ Lâm: Đá Hồn Dương Ảnh Phong
1	1	999	OpenLevel79	OpenLevel109	Item|2880	Minh Chủ Võ Lâm: Đá Hồn Nam Cung Phi
1	1	999	OpenLevel79	OpenLevel109	Item|2668	Minh Chủ Võ Lâm: Đá Hồn Độc Cô Kiếm
1	1	999	OpenDay399		Item|4310	Minh Chủ Võ Lâm: Kim Thuộc Lv5
1	1	999	OpenDay224	OpenDay399	Item|4309	Minh Chủ Võ Lâm: Kim Thuộc Lv4
1	1	999	OpenDay99	OpenDay224	Item|4308	Minh Chủ Võ Lâm: Kim Thuộc Lv3
1	1	999	OpenLevel69	OpenDay99	Item|4307	Minh Chủ Võ Lâm: Kim Thuộc Lv2
1	1	999	OpenLevel79	OpenLevel89	Item|1395	Minh Chủ Võ Lâm: Trục Lộc Lệnh
1	1	999	OpenLevel79	OpenLevel89	Item|2126	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T6
1	1	999	OpenLevel69	OpenLevel79	Item|2125	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T5
1	1	999	OpenLevel59	OpenLevel89	Item|1394	Minh Chủ Võ Lâm: Danh Tướng Lệnh
1	1	999	OpenLevel59	OpenLevel69	Item|2124	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T4
1	1	999	OpenLevel49	OpenLevel59	Item|1184	Minh Chủ Võ Lâm: Áo Hiếm T3
1	1	999		OpenLevel49	Item|1183	Minh Chủ Võ Lâm: Áo Hiếm T2
1	1	999		OpenLevel89	Item|1393	Minh Chủ Võ Lâm: Minh Chủ Lệnh
1	1	999		OpenLevel89	Contrib|0	Minh Chủ Võ Lâm:  Cống hiến
2	1	999			SilverBoard|0	Thương Hội; Ngân Sức
2	1	999			Gold|0	Thương Hội; Nguyên Bảo
2	1	999			Contrib|0	Thương Hội; Cống hiến
2	1	59			Item|787	Thương Hội; Tàng Bảo Đồ
2	60	999			Item|3013	Thương Hội; Bùa Chưa Giám Định
2	1	999			Item|786	Thương Hội; Rương Hoàng Kim
2	1	39			Item|1153	Thương Hội; Ngọc Bội Hiếm T2
2	1	39			Item|1637	Thương Hội; Ngọc Bội Kế Thừa T2
2	40	49			Item|1154	Thương Hội; Ngọc Bội Hiếm T3
2	40	49			Item|1638	Thương Hội; Ngọc Bội Kế Thừa T3
2	50	59			Item|2106	Thương Hội; Mảnh Ngọc Bội Hiếm T4
2	50	59			Item|2109	Thương Hội; Mảnh Ngọc Bội Kế Thừa T4
2	60	69			Item|2107	Thương Hội; Mảnh Ngọc Bội Hiếm T5
2	60	69			Item|2110	Thương Hội; Mảnh Ngọc Bội Kế Thừa T5
2	70	79			Item|2108	Thương Hội; Mảnh Ngọc Bội Hiếm T6
2	70	79			Item|2111	Thương Hội; Mảnh Ngọc Bội Kế Thừa T6
2	80	89			Item|2961	Thương Hội; Mảnh Ngọc Bội Hiếm T7
2	80	89			Item|2964	Thương Hội; Mảnh Ngọc Bội Kế Thừa T7
2	90	99			Item|2962	Thương Hội; Mảnh Ngọc Bội Hiếm T8
2	90	999			Item|4873	Thương Hội; Đá Hồn Tống Thu Thạch-Sơ
2	90	99			Item|2965	Thương Hội; Mảnh Ngọc Bội Kế Thừa T8
2	100	109			Item|2963	Thương Hội; Mảnh Ngọc Bội Hiếm T9
2	100	109			Item|2966	Thương Hội; Mảnh Ngọc Bội Kế Thừa T9
2	110	119			Item|3673	Thương Hội; Mảnh Ngọc Bội Hiếm T10
2	110	119			Item|3674	Thương Hội; Mảnh Ngọc Bội Kế Thừa T10
2	120	129			Item|5791	Thương Hội; Mảnh Ngọc Bội Hiếm T11
2	120	129			Item|5796	Thương Hội; Mảnh Ngọc Bội Kế Thừa T11
2	130	139			Item|5792	Thương Hội: Mảnh Ngọc Bội Hiếm T12
2	130	139			Item|5797	Thương Hội: Mảnh Ngọc Bội Kế Thừa T12
2	140	149			Item|5793	Thương Hội;Mảnh Ngọc Bội Hiếm T13
2	140	149			Item|5798	Thương Hội;Mảnh Ngọc Bội Kế Thừa T13
2	150	159			Item|5794	Thương Hội;Mảnh Ngọc Bội Hiếm T14
2	150	159			Item|5799	Thương Hội;Mảnh Ngọc Bội Kế Thừa T14
2	160	169			Item|5795	Thương Hội; Mảnh Ngọc Bội Hiếm T15
2	160	169			Item|5800	Thương Hội; Mảnh Ngọc Bội Kế Thừa T15
2	170	179			Item|10346	Thương Hội;Mảnh Ngọc Bội Hiếm T16
2	170	179			Item|10351	Thương Hội;Mảnh Ngọc Bội Kế Thừa T16
3	1	999			Gold|0	Chiến Trường: Nguyên Bảo
3	1	999			Energy|0	Chiến Trường: Nguyên Khí
3	1	999			Contrib|0	Chiến Trường: Cống hiến
3	1	999			Item|1346	Chiến Trường: EXP
3	1	999			Item|1737	Chiến Trường: Đá Hồn Thiệu Hồng Uyên
3	1	999			Item|1738	Chiến Trường: Đá Hồn Bạch Ngạn Kính
3	60	999			Item|2535	Chiến Trường: Đá Hồn-Lý Hiển Trung
3	60	999			Item|2536	Chiến Trường: Đá Hồn-Đồ Đơn Khắc Ninh
3	80	999			Item|3476	Chiến Trường: Mảnh Bàn Đạp-Cao
3	1	39			Item|1143	Chiến Trường: Hiếm Nhẫn T2
3	40	49			Item|1144	Chiến Trường: Hiếm Nhẫn T3
3	50	59			Item|2100	Chiến Trường: Mảnh Nhẫn Hiếm T4
3	60	69			Item|2101	Chiến Trường: Mảnh Nhẫn Hiếm T5
3	70	79			Item|2102	Chiến Trường: Mảnh Nhẫn Hiếm T6
3	80	89			Item|2955	Chiến Trường: Mảnh Nhẫn Hiếm T7
3	90	99			Item|2956	Chiến Trường: Mảnh Nhẫn Hiếm T8
3	100	109			Item|2957	Chiến Trường: Mảnh Nhẫn Hiếm T9
3	110	119			Item|3671	Chiến Trường: Mảnh Nhẫn Hiếm T10
3	120	129			Item|5781	Chiến Trường: Mảnh Nhẫn Hiếm T11
3	130	139			Item|5782	Chiến Trường: Mảnh Nhẫn Hiếm T12
3	140	149			Item|5783	Chiến Trường: Mảnh Nhẫn Hiếm T13
3	150	159			Item|5784	Chiến Trường: Mảnh Nhẫn T14 Hiếm
3	160	169			Item|5785	Chiến Trường: Mảnh Nhẫn Hiếm T15
3	170	179			Item|10336	Chiến Trường: Mảnh Nhẫn Hiếm T16
4	1	999			Item|1343	Tàng Bảo Đồ; Đồ Cổ
4	60	999			Item|4464	Tàng Bảo Đồ; Nguyên Liệu Gia Cụ
4	1	999			Item|1381	Tàng Bảo Đồ; Thủy Tinh
4	1	999			Item|786	Tàng Bảo Đồ; Rương Hoàng Kim
4	1	999			Item|785	Tàng Bảo Đồ; Chìa Hoàng Kim
4	1	999			Item|792	Tàng Bảo Đồ; Rương Cổ
4	1	999			Coin|0	Tàng Bảo Đồ; Bạc
6	1	999			Gold|0	Trừng Ác; Nguyên Bảo
6	1	999			Contrib|0	Trừng Ác; Cống hiến
6	1	999			Item|1346	Trừng Ác; EXP
6	1	39			Item|1669	Trừng Ác; Hộ Uyển Kế Thừa T2
6	1	39			Item|1193	Trừng Ác; Hộ Uyển Hiếm T2
6	40	49			Item|1670	Trừng Ác; Hộ Uyển Kế Thừa T3
6	40	49			Item|1194	Trừng Ác; Hộ Uyển Hiếm T3
6	50	59			Item|2133	Trừng Ác; Mảnh Hộ Uyển Kế Thừa T4
6	50	59			Item|2130	Trừng Ác; Mảnh Hộ Uyển Hiếm T4
6	60	69			Item|2134	Trừng Ác; Mảnh Hộ Uyển Kế Thừa T5
6	60	69			Item|2131	Trừng Ác; Mảnh Hộ Uyển Hiếm T5
6	70	79			Item|2135	Trừng Ác; Mảnh Hộ Uyển Kế Thừa T6
6	70	79			Item|2132	Trừng Ác; Mảnh Hộ Uyển Hiếm T6
6	80	89			Item|2988	Trừng Ác; Mảnh Hộ Uyển Kế Thừa T7
6	80	89			Item|2985	Trừng Ác; Mảnh Hộ Uyển Hiếm T7
6	90	99			Item|2989	Trừng Ác; Mảnh Hộ Uyển Kế Thừa T8
6	90	99			Item|2986	Trừng Ác; Mảnh Hộ Uyển Hiếm T8
6	100	109			Item|2990	Trừng Ác; Mảnh Hộ Uyển Kế Thừa T9
6	100	109			Item|2987	Trừng Ác; Mảnh Hộ Uyển Hiếm T9
6	110	119			Item|3682	Trừng Ác; Mảnh Hộ Uyển Kế Thừa T10
6	110	119			Item|3681	Trừng Ác; Mảnh Hộ Uyển Hiếm T10
6	120	129			Item|5836	Trừng Ác; Mảnh Hộ Uyển Kế Thừa T11
6	120	129			Item|5831	Trừng Ác; Mảnh Hộ Uyển Hiếm T11
6	130	139			Item|5832	Trừng Ác: Mảnh Hộ Uyển Kế Thừa T12
6	130	139			Item|5837	Trừng Ác: Mảnh Hộ Uyển Hiếm T12
6	140	149			Item|5833	Trừng Ác;Mảnh Hộ Uyển Kế Thừa T13
6	140	149			Item|5838	Trừng Ác;Mảnh Hộ Uyển Hiếm T13
6	150	159			Item|5834	Trừng Ác;Mảnh Hộ Uyển T14 Kế Thừa
6	150	159			Item|5839	Trừng Ác;Mảnh Hộ Uyển T14 Hiếm
6	160	169			Item|5840	Trừng Ác;Mảnh Hộ Uyển Kế Thừa T15
6	160	169			Item|5835	Trừng Ác;Mảnh Hộ Uyển Hiếm T15
6	170	179			Item|10391	Trừng Ác; Mảnh Hộ Uyển Kế Thừa T16
6	170	179			Item|10386	Trừng Ác; Mảnh Hộ Uyển Hiếm T16
7	1	999			SilverBoard|0	Bí cảnh tổ đội; Ngân Sức
7	1	999			Gold|0	Bí cảnh tổ đội; Nguyên Bảo
7	1	169			Item|1346	Bí cảnh tổ đội; EXP
7	1	999			Item|2169	Bí cảnh tổ đội; Đá Hồn Lv4 Ngẫu Nhiên
7	1	999			Item|1381	Bí cảnh tổ đội; Thủy Tinh
7	1	39			Item|1173	Bí Cảnh Tổ Đội: 【Hiếm】Nón cấp 2
7	40	49			Item|1174	Bí Cảnh Tổ Đội: 【Hiếm】Nón cấp 3 
7	50	59			Item|1175	Bí Cảnh Tổ Đội: 【Hiếm】Nón cấp 4
7	60	69			Item|1176	Bí Cảnh Tổ Đội: 【Hiếm】Nón cấp 5
7	70	79			Item|1177	Bí Cảnh Tổ Đội: 【Hiếm】Nón cấp 6
7	80	89			Item|1178	Bí Cảnh Tổ Đội: 【Hiếm】Nón cấp 7
7	90	99			Item|1179	Bí Cảnh Tổ Đội:【Hiếm】Nón Lv8
7	100	109			Item|1180	Bí Cảnh Tổ Đội: 【Hiếm】Nón Bậc 9
7	110	119			Item|1181	Bí Cảnh Tổ Đội: 【Hiếm】Nón Bậc 10
7	120	129			Item|5611	Bí Cảnh Tổ Đội: 【Hiếm】Nón Lv11
7	130	139			Item|5612	Bí Cảnh Tổ Đội: 【Hiếm】Nón Lv12
7	140	149			Item|5613	Bí Cảnh Tổ Đội:【Hiếm】Nón Lv13
7	150	159			Item|5614	Bí Cảnh Tổ Đội:【Hiếm】Nón Lv14
7	160	169			Item|5615	Bí Cảnh Tổ Đội:【Hiếm】Nón Lv15
7	170	179			Item|10366	Bí Cảnh Tổ Đội: Nón【Hiếm】Lv16
7	1	39			Item|1709	Bí cảnh tổ đội; Đá Hồn Trác Phi Phàm-Sơ
7	1	39			Item|1710	Bí Cảnh Tổ Đội; Đá Hồn Nguyệt Minh Dao-Sơ
7	1	39			Item|2237	Bí Cảnh Tổ Đội: Nguyệt Minh Dao
7	1	39			Item|2195	Bí cảnh tổ đội: Tử Hiên
7	1	39			Item|2200	Bí cảnh tổ đội: Tường Vi
7	1	39			Item|2205	Bí cảnh tổ đội: Trác Phi Phàm
7	40	59			Item|1721	Bí cảnh tổ đội; Đá Hồn Trương Lâm Tâm-Sơ
7	40	59			Item|1722	Bí Cảnh Tổ Đội; Đá Hồn Phong Ngọc Thư -Sơ
7	40	59			Item|2238	Bí Cảnh Tổ Đội; Phong Ngọc Thư
7	40	59			Item|2201	Bí cảnh tổ đội: Trương Như Mộng
7	40	59			Item|2194	Bí cảnh tổ đội: Nam Cung Thái Hồng
7	40	59			Item|2204	Bí cảnh tổ đội: Trương Lâm Tâm
7	60	79			Item|1768	Bí cảnh tổ đội; Đá Hồn Nam Cung Diệt-Sơ
7	60	79			Item|1729	Bí Cảnh Tổ Đội; Đá Hồn Khúc Hà-Sơ
7	60	79			Item|2239	Bí Cảnh Tổ Đội: Khúc Hà
7	60	79			Item|2213	Bí cảnh tổ đội: Trương Phong
7	60	79			Item|2219	Bí cảnh tổ đội: Phương Miễn
7	60	79			Item|2217	Bí cảnh tổ đội: Nam Cung Diệt
7	80	99			Item|1770	Bí Cảnh Tổ Đội; Đá Hồn Thu Y Thủy-Sơ
7	80	99			Item|1763	Bí Cảnh Tổ Đội; Đá Hồn Yên Nhược Tuyết-Sơ
7	80	99			Item|2265	Bí Cảnh Tổ Đội: Gia Luật Tị Li
7	80	99			Item|2262	Bí Cảnh Tổ Đội: Đường Ảnh
7	80	99			Item|2263	Bí Cảnh Tổ Đội: Thu Y Thủy
7	80	99			Item|2214	Bí Cảnh Tổ Đội: Yên Nhược Tuyết
7	100	119			Item|3855	Bí Cảnh Tổ Đội; Đá Hồn Hà Nhân Ngã-Sơ
7	100	119			Item|3373	Bí Cảnh Tổ Đội; Đá Hồn Huyền Thiên Đạo Nhân-Sơ
7	120	179			Item|4874	Bí Cảnh Tổ Đội; Đá Hồn Cổ Yên Nhiên-Sơ
7	120	179			Item|5433	Bí Cảnh Tổ Đội; Đá Hồn Thạch Hiên Viên-Sơ
8	1	100			Item|786	Tìm kiếm; Rương Hoàng Kim
8	1	100			Item|785	Tìm kiếm; Chìa Hoàng Kim
8	1	100			Item|1234	Tìm kiếm; Hoa Hồng
8	1	100			Item|1235	Tìm kiếm; Cỏ May Mắn
8	1	100			Item|787	Tìm kiếm; Tàng Bảo Đồ
8	1	100			Coin|0	Tìm kiếm; Bạc
9	1	999			Gold|0	Võ Thần Điện: Nguyên Bảo
9	1	999			Energy|0	Võ Thần Điện: Nguyên Khí
9	1	999			Contrib|0	Võ Thần Điện: Cống hiến
9	110	999	OpenDay399		Item|4325	Võ Thần Điện: Đá Lv5
9	90	999	OpenDay224		Item|4324	Võ Thần Điện: Đá Lv4
9	70	999	OpenDay99		Item|4323	Võ Thần Điện: Đá Lv3
9	60	999	OpenLevel69		Item|4322	Võ Thần Điện: Đá Lv2
9	60	999			Item|2528	Võ Thần Điện: Đá Hồn Dương Anh
9	1	999			Item|1731	Võ Thần Điện: Đá Hồn Dương Thiết Tâm
9	170	179			Item|10326	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T16
9	160	169			Item|5775	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T15
9	160	169			Item|5780	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T15
9	150	159			Item|5774	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T14
9	150	159			Item|5779	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T14
9	140	149			Item|5773	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T13
9	140	149			Item|5778	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T13
9	130	139			Item|5772	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T12
9	130	139			Item|5777	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T12
9	120	129			Item|5771	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T11
9	120	129			Item|5776	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T11
9	110	119			Item|3669	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T10
9	110	119			Item|3670	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T10
9	100	109			Item|2951	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T9
9	100	109			Item|2954	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T9
9	90	99			Item|2950	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T8
9	90	99			Item|2953	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T8
9	80	89			Item|2949	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T7
9	80	89			Item|2952	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T7
9	70	79			Item|2096	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T6
9	70	79			Item|2099	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T6
9	60	69			Item|2095	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T5
9	60	69			Item|2098	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T5
9	50	59			Item|2094	Võ Thần Điện: Mảnh Dây Chuyền Hiếm T4
9	50	59			Item|2097	Võ Thần Điện: Mảnh Dây Chuyền Kế Thừa T4
9	40	49			Item|1134	Võ Thần Điện: Dây Chuyền Hiếm T3
9	40	49			Item|1622	Võ Thần Điện: Dây Chuyền Kế Thừa T3
9	1	39			Item|1133	Võ Thần Điện: Dây Chuyền Hiếm T2
9	1	39			Item|1621	Võ Thần Điện: Dây Chuyền Kế Thừa T2
10	1	999			SilverBoard|0	Lăng Tuyệt Phong; Ngân Sức
10	1	999			Gold|0	Lăng Tuyệt Phong; Nguyên Bảo
10	1	999			Item|1346	Lăng Tuyệt Phong; EXP
10	1	999			Item|2169	Lăng Tuyệt Phong; Đá Hồn Lv4 Ngẫu Nhiên
10	1	999			Item|1384	Lăng Tuyệt Phong: Đồng Hành S
10	1	999			Item|1383	Lăng Tuyệt Phong: Đồng Hành A
10	1	999			Item|1382	Lăng Tuyệt Phong: Đồng Hành B
11	1	999			Gold|0	Quần Anh Hội: Nguyên Bảo
11	1	999			ZhenQi|0	Quần Anh Hội: Chân Khí
11	1	999			Energy|0	Quần Anh Hội: Nguyên Khí
11	1	999			Contrib|0	Quần Anh Hội: Cống Hiến
11	1	999			Coin|0	Quần Anh Hội: Bạc
11	1	999			Item|7374	Quần Anh Hội: Đá Hồn Hà Linh Phiêu-Sơ
11	1	999			Item|6067	Quần Anh Hội: Đá Hồn Diệp Thanh Dương-Sơ
11	1	999			Item|6149	Quần Anh Hội: Xung Huyệt Nhâm Mạch
11	1	999			Item|6150	Quần Anh Hội: Xung Huyệt Đốc Mạch
11	1	999			Item|6276	Quần Anh Hội: Xung Huyệt Xung Mạch
11	1	999			ZhenQi|0	Quần Anh Hội: Chân Khí
12	1	999			Item|10007	Danh Tướng: Bạch Kim Đồ Phổ (Đai)
12	1	999			Item|10008	Danh Tướng: Bạch Kim Đồ Phổ (Hộ Uyển)
12	1	999			Item|9398	Danh Tướng: Đá Hồn Lâm Thanh Vũ-Sơ
12	1	999			Item|9401	Danh Tướng: Đá Hồn Mạnh Thương Lam-Sơ
12	1	999			Item|10128	Danh Tướng: Đá Hồn Hoàn Nhan Tông Hàn-Sơ
12	1	999			Item|10149	Danh Tướng: Đá Hồn Diệp Vô Tâm-Sơ
12	1	999			Item|10475	Danh Tướng: Đá Hồn Thanh Vân-Sơ
12	1	999	OpenDay353		Item|4605	Danh Tướng: Đồng Hành SSS
12	1	999	OpenDay353		Item|3543	Danh Tướng: Hạng Vũ-Bá Vương Kích
12	1	999		OpenLevel69	Item|1124	Danh Tướng: Vũ Khí T3
12	1	999		OpenLevel69	Item|1125	Danh Tướng: Vũ Khí T4
12	1	999	OpenLevel69	OpenLevel79	Item|1126	Danh Tướng: Vũ Khí T5
12	1	999	OpenLevel79	OpenLevel89	Item|1127	Danh Tướng: Vũ Khí T6
12	1	999	OpenLevel89	OpenLevel99	Item|1128	Danh Tướng: Vũ Khí T7
12	1	999	OpenLevel99	OpenLevel109	Item|1129	Danh Tướng: Vũ Khí T8
12	1	999	OpenLevel109	OpenLevel119	Item|1130	Danh Tướng: Vũ Khí T9
12	1	999	OpenLevel119	OpenLevel129	Item|1131	Danh Tướng: Vũ Khí T10
12	1	999	OpenLevel129	OpenLevel139	Item|5561	Danh Tướng: Vũ Khí T11
12	1	999	OpenLevel139	OpenLevel149	Item|5562	Danh Tướng: Vũ Khí T12
12	1	999	OpenLevel149	OpenLevel159	Item|5563	Danh Tướng: Vũ Khí T13
12	1	999	OpenLevel159	OpenLevel169	Item|5564	Danh Tướng: Vũ Khí T14
12	1	999	OpenLevel169	OpenLevel179	Item|5565	Danh Tướng: Vũ Khí T15
12	1	999	OpenLevel179		Item|5566	Danh Tướng: Vũ Khí T16
12	1	999	OpenLevel69	OpenDay224	Item|4317	Danh Tướng: Da Lv2
12	1	999	OpenDay99	OpenDay399	Item|4318	Danh Tướng: Da Lv3
12	1	999	OpenDay224		Item|4319	Danh Tướng: Da Lv4
12	1	999	OpenDay399		Item|4320	Danh Tướng: Da Lv5
13	1	999			SilverBoard|0	Thủ Lĩnh Dã Ngoại: Ngân Sức
13	1	999			Gold|0	Thủ Lĩnh Dã Ngoại: Nguyên Bảo
13	1	999			Contrib|0	Thủ Lĩnh Dã Ngoại: Cống hiến
13	1	999	OpenLevel129		ZhenQi|0	Thủ Lĩnh Dã Ngoại: Chân Khí
13	1	999	OpenLevel129		Item|2804	Thủ Lĩnh Dã Ngoại: Hòa Thị Bích
13	1	999	OpenLevel129		Item|7429	Thủ Lĩnh Dã Ngoại: Đá Hồn Long Văn Sư Vương-Sơ
13	1	999	OpenLevel129		Item|7432	Thủ Lĩnh Dã Ngoại: Đá Hồn Cự Ngao Phong Hậu-Sơ
13	1	999	OpenLevel149		Item|10127	Thủ Lĩnh Dã Ngoại: Đá Hồn Vạn Độc Cúc Hoàng-Sơ
13	1	999	OpenLevel149		Item|10126	Thủ Lĩnh Dã Ngoại: Đá Hồn Huyền Băng Điêu Hoàng-Sơ
13	1	999		OpenDay35	Item|1406	Thủ Lĩnh Dã Ngoại: Hàn Ngọc Lộc Vương
13	1	999		OpenDay35	Item|1407	Thủ Lĩnh Dã Ngoại: Đại Địa Lang Vương
13	1	999		OpenDay35	Item|2221	Thủ Lĩnh Dã Ngoại: Bạch Mi Hầu Vương
13	1	999	OpenDay6	OpenDay116	Item|1409	Thủ Lĩnh Dã Ngoại: Bôn Diệm Báo Vương
13	1	999	OpenDay6	OpenDay116	Item|1408	Thủ Lĩnh Dã Ngoại: Cửu Vĩ Hồ Vương
13	1	999	OpenDay6	OpenDay116	Item|2222	Thủ Lĩnh Dã Ngoại: Song Thủ Dị Thú
13	1	999	OpenDay35	OpenDay251	Item|1403	Thủ Lĩnh Dã Ngoại: Định Hải Kim Cang
13	1	999	OpenDay35	OpenDay251	Item|1402	Thủ Lĩnh Dã Ngoại: Kim Sí Bằng Hoàng
13	1	999	OpenDay35	OpenDay251	Item|2511	Thủ Lĩnh Dã Ngoại: Ngân Giác Tê Hoàng
13	1	999	OpenDay116	OpenLevel129	Item|1404	Thủ Lĩnh Dã Ngoại: Hám Thiên Hùng Hoàng
13	1	999	OpenDay116	OpenLevel129	Item|1405	Thủ Lĩnh Dã Ngoại: Xích Tinh Hổ Hoàng
13	1	999	OpenDay116	OpenLevel129	Item|2260	Thủ Lĩnh Dã Ngoại: Tử Bối Ngạc Hoàng
13	1	999	OpenDay251		Item|4576	Thủ Lĩnh Dã Ngoại: Băng Lân Tích Hoàng
13	1	999	OpenDay251		Item|4577	Thủ Lĩnh Dã Ngoại: Ngân Câu Hạt Hoàng
13	1	999	OpenDay251		Item|4578	Thủ Lĩnh Dã Ngoại: Cuồng Tông Ngao Hoàng
13	1	999			Item|2240	Thủ Lĩnh Dã Ngoại: Hộ Thân Phù Hiếm
14	1	100			Item|787	Vấn Đáp: Tàng Bảo Đồ
14	1	100			Item|1346	Vấn Đáp: EXP
15	1	999			Item|1346	Truyền Công; EXP
15	1	999			Contrib|0	Truyền Công; Cống hiến
18	1	999			SilverBoard|0	Lửa Trại Bang Hội; Ngân Sức
18	1	999			Gold|0	Lửa Trại Bang Hội; Nguyên Bảo
18	1	999			Contrib|0	Lửa Trại Bang Hội; Cống hiến
18	1	999			Item|1346	Lửa Trại Bang Hội;  EXP
18	1	999			Item|10014	Lửa Trại Bang Hội;  Tùy Hầu Châu
18	1	999			Item|2169	Lửa Trại Bang Hội;  Đá Hồn Lv4 Ngẫu Nhiên
18	1	999			Item|2424	Lửa Trại Bang Hội;  Tín Vật Môn Phái
18	1	999			Item|1307	Lửa Trại Bang Hội;  Rương Bang Hội
21	1	999			Gold|0	Sơn Tặc Mật Quật: Nguyên Bảo
21	1	999			Item|1346	Sơn Tặc Mật Quật: EXP
21	90	999			Item|4874	Sơn Tặc Mật Quật: Đá Hồn Cổ Yên Nhiên-Sơ
21	1	79			Item|222	Sơn Tặc Mật Quật: Thủy Tinh Lục
21	80	999			Item|223	Sơn Tặc Mật Quật: Thủy Tinh Lam
21	40	999			Item|3079	Sơn Tặc Mật Quật: Tín Vật Sơn Tặc
21	60	999			Item|787	Sơn Tặc Mật Quật: Tàng Bảo Đồ
23	1	999			SilverBoard|0	Khiêu Chiến Anh Hùng: Ngân Sức
23	1	999			Gold|0	Khiêu Chiến Anh Hùng: Nguyên Bảo
