Key	HelpKey	Type	Time	Desc
WeekendQuestion		Đội		Tổ đội với nhân vật khác giới, dựa theo manh mối để tìm Võ lâm hiệp khách chỉ định và trả lời câu hỏi!
IdiomsAct		Đội	T7, CN	Tổ đội cùng nhân vật khác giới tính, diệt quái nhỏ, chơi Ghép Câu Nối Chữ!
DefendAct		Đội		Tổ đội cùng nhân vật khác giới tính, bảo vệ Trương Như Mộng, đánh lui Tử Sĩ!
InDifferBattle	InDifferBattleHelp	Đơn/Đội	T3, T5, T7	Đội 3 người thi đấu Liên SV, tất cả đại hiệp [FFFE0D]Lv80, không đem theo Đồng Hành, ban đầu có lực chiến ngang nhau[-]. Bỏ qua ràng buộc về trang bị, đẳng cấp, cảm nhận cảm giác thi đấu chân thực.
InDifferBattleJuedi	InDifferBattleJueDiHelp	Đơn/Đội	T3, T5, T7	Một dạng khác của Tâm Ma Ảo Cảnh, thi đấu không cách biệt Liên SV nhóm 3 người, lược bỏ sự chênh lệch về trang bị và cấp, cảm nhận niềm vui thi đấu!
DaXueZhang	DaXueZhang	Cá nhân	Mỗi ngày [FFFE0D]13:30, 16:00, 20:00[-]	Cá nhân báo danh, vào vách núi tuyết lợi dụng quả cầu tuyết chiến đấu với người chơi khác!
Muse	MuseHelp	Cá nhân	Cả ngày	Tịnh tâm được nhiều Nguyên Khí dùng ngưng tụ Chân Nguyên.
ImperialTombFemaleEmperor	ImperialTombFemaleHelp	Đội	[FFFE0D]T5, CN22:00[-] mở	Võ Tắc Thiên đã hồi sinh, hãy cùng thành viên bang hội đến tiêu diệt
ZhenFaTask		Đội	Cả ngày	Tổ đội với [FFFE0D]hiệp lữ, tình duyên, sư đồ, kết bái, hảo hữu[-], cùng khiêu chiến Trận Pháp Thí Luyện, nhận nhiều phần thưởng! Hỗ trợ thí luyện cũng sẽ nhận [FFFE0D]phần thưởng trợ giúp[-] (Mỗi ngày 20 lần)!
CrossDomainBattle	CrossDomainHelp	Đơn/Đội	[FFFE0D]21:00-21:40 CN mỗi 2 tuần[-]	Hoạt động Bang Hội Liên SV, thành viên cùng đoạt Vương Tọa trở thành  Lâm An Thành Chủ.
KinSecretFuben	KinSecretFubenHelp	Đơn/Đội	[FFFE0D]21:00 thứ 6[-] mở	Hoạt động Chiến Bang nhóm. Thành viên cùng đến Bí Cảnh Bang Hội khiêu chiến Minh Chủ Võ Lâm!
KeyQuestFuben	KeyQuestFubenHelp	Đội	[FFFE0D]19:50 thứ 2, 4[-] mở	Hoạt động tầm bảo dạng nhóm nhỏ, tìm Bùa Truyền Tống vào sâu bên trong di tích, nhận kho báu ẩn giấu trong di tích!
KinEncounterAct	KinEncounterHelp	Đơn/Đội	Trong thời gian hoạt động [FFFE0D]20:59 T2,T4,T6,CN[-] mở	Liên server cùng đấu với bang hội có sức mạnh ngang nhau, chiến đấu vì vinh dự cho bang hội!
PartnerCardTask		Cá nhân	Cả ngày	Mỗi ngày được chọn 1 Môn Khách, hoàn thành 5 nhiệm vụ Môn Khách, nhận độ thân mật với Môn Khách đó!
LoverTask	LoverTaskHelp	Đội	Cả ngày	Cùng người khác giới đến [FFFE0D]Yên Nhược Tuyết[-] nhận nhiệm vụ Tình Duyên, mỗi tuần được hoàn thành [FFFE0D]2 lần[-], nhưng chỉ được nhận [FFFE0D]1 lần thưởng[-]!
KinDefendFuben	KinDefendHelp	Đơn/Đội	[FFFE0D]21:00 thứ 6[-] mở	Hoạt động khiêu chiến bang hội tập kết. Thành viên cùng nhau chống đỡ tấn công của Hoàn Nhan Tông Hàn!
