RealLevel	AttribLevel	Probility	Desc
31	23	500	T10_Hiếm_1
31	22	1597	T10_Hiếm_2
31	21	7903	T10_Hiếm_3
32	24	150	T11_Kế thừa_1
32	23	497	T11_Kế thừa_2
32	22	3536	T11_Kế thừa_3
32	21	5817	T11_Kế thừa_4
33	25	700	T12_Thường_1
33	24	2148	T12_Thường_2
33	23	7152	T12_Thường_3
34	25	500	T11_Hiếm_1
34	24	1400	T11_Hiếm_2
34	23	8100	T11_Hiếm_3
35	26	150	T12_Kế thừa_1
35	25	470	T12_Kế thừa_2
35	24	3534	T12_Kế thừa_3
35	23	5846	T12_Kế thừa_4
36	27	700	T13_Thường_1
36	26	1806	T13_Thường_2
36	25	7494	T13_Thường_3
37	27	500	T12_Hiếm_1
37	26	1300	T12_Hiếm_2
37	25	8200	T12_Hiếm_3
38	28	150	T13_Kế thừa_1
38	27	397	T13_Kế thừa_2
38	26	3500	T13_Kế thừa_3
38	25	5953	T13_Kế thừa_4
39	29	700	T14_Thường_1
39	28	1570	T14_Thường_2
39	27	7730	T14_Thường_3
40	29	500	T13_Hiếm_1
40	28	1000	T13_Hiếm_2
40	27	8500	T13_Hiếm_3
41	30	120	T14_Kế thừa_1
41	29	410	T14_Kế thừa_2
41	28	3500	T14_Kế thừa_3
41	27	5970	T14_Kế thừa_4
42	31	700	T15_Thường_1
42	30	1570	T15_Thường_2
42	29	7730	T15_Thường_3
43	31	319	T14_Hiếm_1
43	30	703	T14_Hiếm_2
43	29	8978	T14_Hiếm_3
44	32	120	T15_Kế thừa_1
44	31	410	T15_Kế thừa_2
44	30	3500	T15_Kế thừa_3
44	29	5970	T15_Kế thừa_4
45	33	700	T16_Thường_1
45	32	1570	T16_Thường_2
45	31	7730	T16_Thường_3
46	33	319	T15_Hiếm_1
46	32	703	T15_Hiếm_2
46	31	8978	T15_Hiếm_3
47	34	120	T16_Kế Thừa_1
47	33	410	T16_Kế Thừa_2
47	32	3500	T16_Kế Thừa_3
47	31	5970	T16_Kế Thừa_4
48	35	700	T17_Thường_1
48	34	1806	T17_Thường_2
48	33	7494	T17_Thường_3
49	35	319	T16_Hiếm_1
49	34	703	T16_Hiếm_2
49	33	8978	T16_Hiếm_3
50	36	120	T17_Kế thừa_1
50	35	410	T17_Kế thừa_2
50	34	3500	T17_Kế thừa_3
50	33	5970	T17_Kế thừa_4
51	37	700	T18_Thường_1
51	36	1806	T18_Thường_2
51	35	7494	T18_Thường_3
52	37	319	T17_Hiếm_1
52	36	703	T17_Hiếm_2
52	35	8978	T17_Hiếm_3
1001	1	7500	Minh Văn Bậc 1
1001	2	1700	Minh Văn Bậc 1
1001	3	800	Minh Văn Bậc 1
1002	3	7500	Minh Văn Bậc 2
1002	4	1700	Minh Văn Bậc 2
1002	5	800	Minh Văn Bậc 2
1003	5	7500	Minh Văn Bậc 3
1003	6	1700	Minh Văn Bậc 3
1003	7	800	Minh Văn Bậc 3
