FromMapID	Name	JumpKind	JumpGroup	FromPosX	FromPosY	ToMapID	ToPosX	ToPosY	ToFightState	BeProtected	FromMapDesc	ToMapDesc
1000	qinggong1_3	3	1			1000	7200	3167	0		Tân Thủ Thôn-Khinh công	
1000	qinggong2_1	3	2			1000	6651	2648	0		Tân Thủ Thôn-Khinh công	
1000	qinggong2_2	3	2			1000	5989	1808	0		Tân Thủ Thôn-Khinh công	
1000	qinggong2_3	3	2			1000	5474	2275	0		Tân Thủ Thôn-Khinh công	
1000	taskqg1_1	3	3			1000	2520	6863	0		Tân Thủ Thôn-Khinh công	
1000	taskqg1_2	2	3			1000	2244	7477	0		Tân Thủ Thôn-Khinh công	
1000	taskqg1_3	2	3			1000	2662	8095	0		Tân Thủ Thôn-Khinh công	
1000	taskqg2_1	3	4			1000	2965	6837	0		Tân Thủ Thôn-Khinh công	
1000	taskqg2_2	2	4			1000	3406	6158	0		Tân Thủ Thôn-Khinh công	
1012	Jump1	2				1012	5784	5539	0		Cái Bang	Cái Bang-Nhà Tranh
1012	Jump2	2				1012	6194	5495	0		Cái Bang	Cái Bang-Nhà Tranh
1012	Jump3	2				1012	6622	5537	0		Cái Bang	Cái Bang-Nhà Tranh
1012	Jump4	2				1012	7227	5529	0		Cái Bang	Cái Bang-Nhà Tranh
1012	Jump5	2				1012	5841	1079	0		Cái Bang	Cái Bang-Nhà Tranh
1012	Jump6	2				1012	6247	1646	0		Cái Bang	Cái Bang-Nhà Tranh
1012	Jump7	2				1012	6746	2161	0		Cái Bang	Cái Bang-Nhà Tranh
1012	Jump8	2				1012	7320	2400	0		Cái Bang	Cái Bang-Nhà Tranh
1100	QSHLToNextFloor1			6040	9110	1101	6000	5650	0		Tần Lăng 1	Tần Lăng 2
1100	QSHLToNextFloor2			12010	12300	1101	6000	5650	0		Tần Lăng 1	Tần Lăng 2
1101	QSHLToUpperStory1			9150	9320	1100	8000	5750	0		Tần Lăng 2	Tần Lăng 1
1101	QSHLToUpperStory2			4150	6560	1100	8000	5750	0		Tần Lăng 2	Tần Lăng 1
1101	QSHLToNextFloor1			6090	9440	1102	5100	6150	0		Tần Lăng 2	Tần Lăng 3
1101	QSHLToNextFloor2			4040	9120	1102	5100	6150	0		Tần Lăng 2	Tần Lăng 3
1102	QSHLToUpperStory1			3400	5250	1101	6000	5650	0		Tần Lăng 3	Tần Lăng 2
1102	QSHLToUpperStory2			6200	8700	1101	6000	5650	0		Tần Lăng 3	Tần Lăng 2
15	qinggong1_1	3	1			15	14074	15795	0		Lâm An Thành-Khinh công	
15	qinggong1_2	3	1			15	14533	15488	0		Lâm An Thành-Khinh công	
15	qinggong1_3	3	1			15	14943	15044	0		Lâm An Thành-Khinh công	
15	qinggong1_4	3	1			15	15538	15685	0		Lâm An Thành-Khinh công	
15	qinggong2_1	3	2			15	15021	14969	0		Lâm An Thành-Khinh công	
15	qinggong2_2	3	2			15	14579	15415	0		Lâm An Thành-Khinh công	
15	qinggong2_3	3	2			15	14156	15841	0		Lâm An Thành-Khinh công	
15	qinggong2_4	3	2			15	13711	15862	0		Lâm An Thành-Khinh công	
8011	jinshinei					8011	3421	6522	0		Ngoài Tửu Quán Vong Ưu	Trong Tửu Quán Vong Ưu
8011	qushiwai					8011	5459	17664	0		Trong Tửu Quán Vong Ưu	Ngoài Tửu Quán Vong Ưu
