Id	Desc	Tip	GroupId	NeedCount	MoneyType1	MoneyCount1	Item1	Item2	Item3	Item4	Item5	Award	KinMsg	WorldMsg
53	【Thu thập Đá Hồn】Đoạt Bảo Tặc						1900|1					item|2165|1	700	700
54	【Thu thập Đá Hồn】Song Dị Thú						1901|1					item|2165|1	700	700
55	【Thu thập Đá Hồn】Bôn Diệm Báo Vương						1902|1					item|2165|1	700	700
56	【Thu thập Đá Hồn】Cửu Vĩ Hồ Vương						1903|1					item|2165|1	700	700
57	【Thu thập Đá Hồn】Trương Phong						1916|1					item|2165|1	700	700
58	【Thu thập Đá Hồn】Nguyệt My Nhi						1917|1					item|2165|1	700	700
59	【Thu thập Chiếu Dạ Ngọc Sư Tử】						1423|1					ZhenQi|10000	700	700
60	【Thu thập Minh Chủ Lệnh】						1393|2					item|1395|1	700	700
61	【Thu thập Bí Kíp】	4 Bí Kíp-Sơ khác nhau(Chưa tăng cấp) 	2	4								ZhenQi|20000	700	700
62	【Thu thập Dạ Minh Châu】						2840|2					item|788|1	700	
63	【Thu thập Đá Hồn】	10 Đá Hồn Lam-Sơ khác nhau	3	10								item|2400|1	700	700
64	【Thu thập Danh Tướng Lệnh】						1394|5					item|1396|1	700	700
65	【Thu thập Vũ Khí Bổn Mạng】	6 Vũ khí bổn mạng đồng hành Cấp S khác nhau	4	6								item|3179|1	700	700
66	【Thu thập Sách Đồng Hành】	4 Sách Đồng Hành Tím khác nhau	5	4								item|3180|1	700	700
67	【Đổi Hòa Thị Bích】Nón						2804|8					item|2796|1	700	700
68	【Đổi Hòa Thị Bích】Đai						2804|8					item|2797|1	700	700
69	【Đổi Hòa Thị Bích】Dây Chuyền						2804|16					item|2800|1	700	700
70	【Đổi Hòa Thị Bích】Áo						2804|24					item|2795|1	700	700
71	【Đổi Hòa Thị Bích】Ngọc Bội						2804|16					item|2802|1	700	700
72	【Đổi Hòa Thị Bích】Vũ Khí						2804|40					item|2794|1	700	700
73	【Thu thập Đá Hồn】Trắng-Sơ	9 Đá Hồn Trắng-Sơ khác nhau	6	9								item|2164|1	700	
77	【Thu thập Đá Hồn】Trắng-Sơ	9 Đá Hồn Trắng-Sơ khác nhau	6	9								item|224|1	700	
74	【Thu thập Đá Hồn】Lục-Sơ	9 Đá Hồn Lục-Sơ khác nhau	7	9								item|2165|1	700	700
75	【Thu thập Đá Hồn】Tím-Trung	1 Đá Hồn Tím-Trung bất kỳ	8	1								item|3855|1	700	700
76	【Thu thập Đá Hồn】Hồng Cao	1 Đá Hồn Hồng-Cao (Tùy chọn)	9	1								Energy|30000	700	700
