szKind	nCount	nPoint	szAward		nKinMsg	nWorldMsg	szName	szDesc
AchievementPoint	12000	200	Gold|100000;item|9608|1		1	1	Công Thành Danh Toại 6	Điểm thành tựu đột phá 12000
PlayerLevel	20	5	Gold|1000				Sơ Nhập Giang Hồ	Đạt Lv20
PlayerLevel	40	5	Gold|1000				Tiểu Thí Ngưu Đao	Đẳng cấp đạt Lv40
PlayerLevel	60	5	Gold|2000				Nhân Tài Võ Lâm	Đẳng cấp đạt Lv60
PlayerLevel	80	5	Gold|2000				Võ Lâm Hào Kiệt	Đẳng cấp đạt Lv80
PlayerLevel	100	10	Gold|5000				Độc Bộ Võ Lâm	Đẳng cấp đạt Lv100
PlayerLevel	120	10	Gold|5000				Võ Lâm Danh Túc	Đẳng cấp đạt Lv120
PlayerLevel	140	20	Gold|10000				Võ Lâm Thái Đẩu	Đẳng cấp đạt Lv140
PlayerLevel	160	20	Gold|10000				Võ Lâm Thiên Đỉnh	Đẳng cấp đạt Lv160
HonorLevel_1	1	3	Gold|1000				Quân Hàm Giang Hồ	Nhận 1 Quân Hàm
Label	1	3	Gold|1000				Siêu Phàm Nhập Thánh	Quân Hàm tăng đến Siêu Phàm
Label	2	3	Gold|1000				Xuất Trần Thoát Tục	Quân Hàm tăng đến Xuất Trần
Label	3	3	Gold|1000				Phiên Nhã Kinh Hồng	Quân Hàm tăng đến Kinh Hồng
Label	4	3	Gold|1000				Đại Chí Lăng Vân	Quân Hàm tăng đến Lăng Vân
Label	5	3	Gold|1000				Ngự Kiếm Đương Không	Quân Hàm tăng đến Ngự Không
Label	6	5	Gold|2000				Tiềm Long Vật Dụng	Quân Hàm tăng đến Tiềm Long
Label	7	5	Gold|2000				Ngạo Thế Khinh Vật	Quân Hàm tăng đến Ngạo Thế
Label	8	10	Gold|5000				Ỷ Thiên Đồ Long	Quân Hàm tăng đến Ỷ Thiên
Label	9	10	Gold|5000				Võ Lâm Chí Tôn	Quân Hàm tăng đến Chí Tôn
Label	12	20	Gold|10000				Võ Lâm Thánh Giả	Quân Hàm tăng đến Võ Thánh
Label	15	30	Gold|10000				Cử Thế Vô Song	Quân Hàm tăng đến Vô Song
Label	20	40	Gold|10000				Truyền Thuyết Võ Lâm	Quân Hàm tăng đến Truyền thuyết
Label	21	50	Gold|10000				Võ Lâm Thần Thoại	Quân Hàm tăng đến Thần Thoại
Title_Normal	1	3	Gold|1000				Tiểu Hữu Danh Thanh	Nhận 1 danh hiệu
Title_Purple	1	5	Gold|3000				Thanh Danh	Nhận 1 Danh hiệu Tím
Title_Pink	1	10	Gold|5000				Danh Tiếng Vang Xa	Nhận 1 Danh hiệu Hồng
Title_Orange	1	20	Gold|10000		1		Thanh Danh Hiển Hách	Nhận 1 Danh hiệu Cam
Title_Gold	1	40	Gold|30000;item|9573|1;item|9605|1		1		Danh Chấn Giang Hồ	Nhận 1 Danh hiệu Vàng
Title_Collector	10	3	Gold|1000				Sưu Tầm Danh Hiệu 1	Nhận 10 Danh hiệu Tím trở lên
Title_Collector	20	5	Gold|2000				Sưu Tầm Danh Hiệu 2	Nhận 20 Danh hiệu Tím trở lên
Title_Collector	40	10	Gold|3000				Sưu Tầm Danh Hiệu 3	Nhận 40 Danh hiệu Tím trở lên
Title_Collector	60	20	Gold|5000		1		Sưu Tầm Danh Hiệu 4	Nhận 60 Danh hiệu Tím trở lên
Title_Collector	100	50	Gold|10000		1	1	Sưu Tầm Danh Hiệu 5	Nhận 100 Danh hiệu Tím trở lên
Task_1	1	5	Gold|1000				Phiêu Bạt Giang Hồ 1	Hoàn thành Chương 1 Nguyệt Ảnh Truyền Thuyết: Ánh Sáng Hi Vọng
Task_2	1	5	Gold|1000				Phiêu Bạt Giang Hồ 2	Hoàn thành Chương 2 Nguyệt Ảnh Truyền Thuyết: Quân Tử Báo Thù
Task_3	1	5	Gold|1000				Phiêu Bạt Giang Hồ 3	Hoàn thành Chương 3 Nguyệt Ảnh Truyền Thuyết: Võ Lâm Bá Đồ
Task_4	1	5	Gold|1000				Phiêu Bạt Giang Hồ 4	Hoàn thành tất cả chương Nguyệt Ảnh Truyền Thuyết
Task_5	1	5	Gold|2000				Phiêu Bạt Giang Hồ 5	Hoàn thành Chương 1 Võ Lâm Truyền Kỳ-Nhất: Người Xưa Còn Đâu
Task_6	1	5	Gold|2000				Phiêu Bạt Giang Hồ 6	Hoàn thành Chương 2 Võ Lâm Truyền Kỳ-Nhất: Rời Đảo Hành Hiệp
Task_7	1	5	Gold|2000				Phiêu Bạt Giang Hồ 7	Hoàn thành Chương 3 Võ Lâm Truyền Kỳ-Nhất: Sóng Gió Cửu Châu
Task_8	1	5	Gold|2000				Phiêu Bạt Giang Hồ 8	Hoàn thành Chương 4 Võ Lâm Truyền Kỳ-Nhất: Ân Oán Truyền Đời
Task_9	1	5	Gold|2000				Phiêu Bạt Giang Hồ 9	Hoàn thành Chương 5 Võ Lâm Truyền Kỳ-Nhất: Thiên Ma Giải Thể
Task_10	1	5	Gold|2000				Phiêu Bạt Giang Hồ 10	Hoàn thành Chương 6 Võ Lâm Truyền Kỳ-Nhất: Hoa Tuyết Tình Sen
Task_11	1	5	Gold|2000				Phiêu Bạt Giang Hồ 11	Hoàn thành Chương 7 Võ Lâm Truyền Kỳ-Nhất: Nghĩa Tình Huynh Đệ
Task_12	1	5	Gold|2000				Phiêu Bạt Giang Hồ 12	Hoàn thành Chương 8 Võ Lâm Truyền Kỳ-Nhất: Tấm Lòng Hiệp Khách
Task_13	1	5	Gold|2000				Phiêu Bạt Giang Hồ 13	Hoàn thành tất cả chương Võ Lâm Truyền Kỳ-Nhất
Equip_1	1	5	Gold|1000				Tinh Phẩm-Sơ	Nhận 1 Trang Bị Tím
Equip_2	1	10	Gold|3000				Thượng Phẩm-Sơ	Nhận 1 Trang Bị Cam
Equip_3	1	20	Gold|5000				Cực Phẩm-Sơ	Nhận 1 Trang Bị Hoàng Kim
InsetOnce_1	1	3	Gold|500				Nhập môn Khảm	Khảm 1 Đá Hồn trên trang bị
InsetMaster_1	1	5	Gold|2000				Nhập Môn Khảm Nạm	Khảm 20 Đá Hồn trên Lv1
InsetMaster_2	1	5	Gold|3000				Chuyên Gia Khảm Nạm	Khảm 20 Đá Hồn trên Lv2
InsetMaster_3	1	10	Gold|5000				Cao Thủ Khảm Nạm	Khảm 20 Đá Hồn trên Lv3
InsetMaster_4	1	20	Gold|5000;item|9609|1		1		Thợ Khảm	Khảm 20 Đá Hồn trên Lv4
InsetMaster_5	1	40	Gold|10000;item|9610|1		1		Bậc Thầy Khảm Nạm	Khảm 20 Đá Hồn trên Lv5
InsetMaster_6	1	80	Gold|50000;item|4249|1		1		Khảm Thánh Tượng	Khảm 40 Đá Hồn trên Lv6
EquipRefinement_1	1	3	Gold|100				Nhập môn Tẩy Luyện	Hoàn thành 1 lần Tẩy Luyện Trang Bị
EquipRefinement_2	1	5	Gold|2000				Thuộc tính đủ	Tẩy luyện 1 trang bị trên người đến 6 dòng thuộc tính
EquipRefinement_3	1	10	Gold|3000				Thuộc tính đỉnh	Tẩy luyện 1 thuộc tính Cam cho trang bị
EquipRefinement_4	1	20	Gold|4000;item|9611|1		1		Cầu Tinh	Tẩy 1 trang bị trên người đến 6 hoặc trên 6 thuộc tính Tím
EquipRefinement_5	1	40	Gold|5000;item|9612|1		1		Binh Kiên Giáp Lợi	Trang bị trên người tẩy luyện đến 6 hoặc trên 6 thuộc tính Tím
EnhanceOnce_1	1	3	Gold|500				Nhập môn Cường Hóa	Xong 1 lần cường hóa trang bị
EnhanceMaster_1	10	5	Gold|500				Nhập Môn Cường Hóa	Cường hóa trang bị toàn thân +5 trở lên
EnhanceMaster_2	10	5	Gold|2000				Chuyên Gia Cường Hóa	Cường hóa trang bị toàn thân +20 trở lên
EnhanceMaster_3	10	10	Gold|4000;item|9611|1				Cao Thủ Cường Hóa	Cường hóa trang bị toàn thân +40 trở lên
EnhanceMaster_4	10	10	Gold|6000;item|9613|1		1		Cao Thủ Cường Hóa	Cường hóa trang bị toàn thân +60 trở lên
EnhanceMaster_5	10	20	Gold|8000;item|9614|1		1		Bậc Thầy Cường Hóa	Cường hóa trang bị toàn thân +80 trở lên
EnhanceMaster_6	10	50	Gold|10000;item|4247|1		1		Cường Hóa Thánh Tượng	Trang bị toàn thân cường hóa +100 trở lên
EnhanceFailure_1	1	5	Gold|1000				Xui Xẻo 1	Cường hóa trang bị thất bại liên tục 3 lần
EnhanceFailure_2	1	10	Gold|3000				Xui Xẻo 2	Cường hóa trang bị thất bại liên tục 4 lần
EnhanceFailure_3	1	20	Gold|3000				Xui Xẻo 3	Cường hóa trang bị thất bại liên tục 5 lần
EnhanceFailure_4	1	30	Gold|5000				Xui Xẻo 4	Cường hóa trang bị thất bại liên tục 6 lần
EnhanceFailure_5	1	50	Gold|10000;item|9578|1		1		Quá Xui Xẻo	Cường hóa trang bị thất bại liên tục 7 lần
EnhanceFailure_6	1	10	Gold|5000				Trời Muốn Diệt Ta	Cường hóa thất bại khi tỉ lệ thành công đạt 90% trở lên
Partner_1	1	3	Gold|500				Chiêu Binh Mãi Mã	Nhận Đồng Hành lần đầu
Partner_4	1	5	Gold|3000				Cường Viện Xuất Hiện	Lần đầu nhận Đồng Hành S trở lên
Partner_6	1	10	Gold|5000				Danh Sĩ Tương Trợ	Lần đầu nhận Đồng Hành SS trở lên
Partner_8	1	20	Gold|10000				Phụ Tá Đắc Lực	Lần đầu nhận Đồng Hành SSS
Partner_3	1	5	Gold|1000				Đội Ngũ Chỉnh Tề	Xuất chiến đủ 4 Đồng Hành
Partner_5	1	10	Gold|10000;item|9615|1		1		Đắc Đạo 1	Xuất chiến 4 đồng hành cấp S trở lên
Partner_7	1	20	Gold|10000		1		Đắc Đạo 2	Xuất chiến 4 đồng hành cấp SS trở lên
Partner_Skill1	1	5	Gold|1000				Kỹ Bất Áp Thân 1	Cho 1 Đồng Hành học 5 kỹ năng Trắng trở lên
Partner_Skill2	1	10	Gold|2000				Kỹ Bất Áp Thân 2	Cho 1 Đồng Hành học 5 kỹ năng Lục trở lên
Partner_Skill3	1	20	Gold|3000				Kỹ Bất Áp Thân 3	Cho 1 Đồng Hành học 5 kỹ năng Lam trở lên
Partner_Skill4	1	30	Gold|5000				Kỹ Bất Áp Thân 4	Cho 1 Đồng Hành học 5 kỹ năng Tím trở lên
Partner_Equip	1	5	Gold|2000				Ban Cho Thần Khí 1	Cho 1 Đồng Hành trang bị vũ Khí Bổn Mạng
Partner_Equip	2	10	Gold|5000				Ban Cho Thần Khí 2	Cho 2 Đồng Hành trang bị vũ Khí Bổn Mạng
Partner_Equip	3	20	Gold|5000				Ban Cho Thần Khí 3	Cho 3 Đồng Hành trang bị vũ Khí Bổn Mạng
Partner_Equip	4	30	Gold|10000		1		Ban Cho Thần Khí 4	Cho 4 Đồng Hành trang bị vũ Khí Bổn Mạng
Partner_Awaken	1	10	Gold|5000				Thức Tỉnh 1	Thức tỉnh 1 Đồng Hành
Partner_Awaken	2	20	Gold|5000				Thức Tỉnh 2	Thức tỉnh 2 Đồng Hành
Partner_Awaken	3	30	Gold|10000				Thức Tỉnh 3	Thức tỉnh 3 Đồng Hành
Partner_Awaken	4	50	Gold|20000;item|9616|1		1		Thức Tỉnh 4	Thức tỉnh 4 Đồng Hành
Partner_CE	20000	5	Gold|2000				Binh Mã Cường Tráng 1	Đồng Hành ra trận lực chiến đạt 20000
Partner_CE	40000	10	Gold|5000				Binh Mã Cường Tráng 2	Đồng Hành ra trận lực chiến đạt 40000
Partner_CE	100000	20	Gold|10000				Binh Mã Cường Tráng 3	Đồng Hành ra trận lực chiến đạt 100000
Partner_CE	300000	50	Gold|20000		1		Binh Mã Cường Tráng 4	Đồng Hành ra trận lực chiến đạt 300000
Guest_Amount	1	5	Gold|2000				Dưỡng Sĩ 1	Cho 1 Đồng Hành xuất trận 5 Môn Khách
Guest_Amount	4	10	Gold|5000				Dưỡng Sĩ 2	Cho 4 Đồng Hành xuất trận 5 Môn Khách
Guest_Property	1	5	Gold|1000				Hỗ Trợ 1	Kích hoạt thuộc tính Hộ Chủ của 1 Môn Khách
Guest_Property	4	10	Gold|5000				Hỗ Trợ 2	Kích hoạt thuộc tính Hộ Chủ của 4 Môn Khách
Guest_Combination	1	5	Gold|2000				Tương Trợ 1	Kích hoạt thuộc tính tổ hợp của 1 nhóm Môn Khách
Guest_Combination	5	10	Gold|5000				Tương Trợ 2	Kích hoạt thuộc tính tổ hợp của 5 nhóm Môn Khách
Guest_Combination	8	20	Gold|10000		1		Tương Trợ 3	Kích hoạt thuộc tính tổ hợp của 8 nhóm Môn Khách
Guest_Defend	1	10	Gold|2000				Hộ Viện	Có 4 Môn Khách vào ở Gia Viên của mình
Guest_Fealty	1	5	Gold|2000				Trung Thành 1	1 Môn Khách có độ hảo hữu đạt 5 sao
Guest_Fealty	5	10	Gold|3000				Trung Thành 2	5 Môn Khách có độ hảo hữu đạt 5 sao
Guest_Fealty	10	20	Gold|5000				Trung Thành 3	10 Môn Khách có độ hảo hữu đạt 5 sao
Guest_Fealty	25	50	Gold|10000		1		Trung Thành 4	25 Môn Khách có độ hảo hữu đạt 5 sao
Guest_Task1	1	5	Gold|1000				Ngộ Môn Khách	Phó bản Ngày gặp Môn Khách của bản thân và hoàn thành đối thoại
Guest_Task2	1	5	Gold|1000				Giúp Đỡ	Giúp đỡ Môn Khách hoàn thành 1 lần du ngoạn phó bản Bí Cảnh
Guest_Task3	1	5	Gold|1000				Ghé Thăm	Gặp Môn Khách của Hảo Hữu đến thăm hỏi và trả lời câu hỏi của hắn
Guest_Task4	1	10	Gold|2000				Kìm Cương Vực Thẳm	Trong vòng 5 phút cùng Bang Hội hợp sức chế ngự Tâm Ma của bản thân
Meridian	1	3	Gold|1000				Đả Thông	Lần đầu xung huyệt thành công
Meridian_Qugu1	1	5	Gold|1000				Nhâm Mạch Tinh Thông 1	Lần đầu đả thông huyệt vị Khúc Cốt
Meridian_Changqiang1	1	5	Gold|1000				Đốc Mạch Tinh Thông 1	Lần đầu đả thông huyệt vị Trường Cường
Meridian_Youmen1	1	5	Gold|1000				Xung Mạch Tinh Thông 1	Lần đầu đả thông huyệt vị U Môn
Meridian_Jingming1	1	5	Gold|1000				Dương Khiêu Tinh Thông 1	Lần đầu đả thông huyệt vị Tinh Minh
Meridian_Qugu1	5	10	Gold|2000				Nhâm Mạch Tinh Thông 2	Huyệt vị Khúc Cốt tăng đến tầng thứ 5
Meridian_Changqiang1	5	10	Gold|2000				Đốc Mạch Tinh Thông 3	Huyệt vị Trường Cường tăng đến tầng thứ 5
Meridian_Youmen1	5	10	Gold|2000				Xung Mạch Tinh Thông 2	Huyệt vị U Môn tăng đến tầng 5
Meridian_Jingming1	5	10	Gold|2000				Dương Khiêu Tinh Thông 2	Huyệt vị Tinh Minh tăng đến tầng thứ 5
Meridian_Qugu1	10	20	Gold|3000				Nhâm Mạch Tinh Thông 3	Huyệt vị Khúc Cốt tăng đến tầng thứ 10
Meridian_Changqiang1	10	20	Gold|3000				Đốc Mạch Tinh Thông 2	Huyệt vị Trường Cường tăng đến tầng thứ 10
Meridian_Youmen1	10	20	Gold|3000				Xung Mạch Tinh Thông 3	Huyệt vị U Môn tăng đến tầng 10
Meridian_Jingming1	10	20	Gold|3000				Dương Khiêu Tinh Thông 3	Huyệt vị Tinh Minh tăng đến tầng thứ 10
Meridian_Qugu1	20	50	Gold|5000				Nhâm Mạch Tinh Thông 4	Huyệt vị Khúc Cốt tăng đến tầng thứ 20
Meridian_Changqiang1	20	50	Gold|5000				Đốc Mạch Tinh Thông 4	Huyệt vị Trường Cường tăng đến tầng thứ 20
Meridian_Youmen1	20	50	Gold|5000				Xung Mạch Tinh Thông 4	Huyệt vị U Môn tăng đến tầng 20
Meridian_Jingming1	20	50	Gold|5000				Dương Khiêu Tinh Thông 4	Huyệt vị Tinh Minh tăng đến tầng thứ 20
Meridian_Failure_1	3	5	Gold|2000				Khó Hơn Lên Trời 1	Xung huyệt 1 huyệt vị thất bại liên tiếp 3 lần
Meridian_Failure_1	4	10	Gold|3000				Khó Hơn Lên Trời 2	Xung huyệt 1 huyệt vị thất bại liên tiếp 4 lần
Meridian_Failure_1	5	20	Gold|5000				Khó Hơn Lên Trời 3	Xung huyệt 1 huyệt vị thất bại liên tiếp 5 lần
Meridian_Failure	2	10	Gold|3000				Chỉ Là Ảo Giác	Xung huyệt thất bại 2 lần liên tục
Knack_1	1	3	Gold|1000				Hảo Hữu Giúp Mình	Trang bị 1 Yếu Quyết
Knack_2	1	5	Gold|1000				Tu Luyện Chăm Chỉ	Lần đầu tăng cấp tu luyện Yếu Quyết bất kỳ
Knack_3	1	5	Gold|2000				Lục Vị Nhất Thể 1	Trang bị đủ 6 Yếu Quyết
Knack_4	2	10	Gold|2000				Lục Vị Nhất Thể 2	Trang bị đủ 6 Yếu Quyết Lv2
Knack_4	4	20	Gold|3000				Lục Vị Nhất Thể 3	Trang bị đủ 6 Yếu Quyết Lv4
ZhenYuan_1	1	3	Gold|1000				Ngưng Tụ Chân Nguyên	Ngưng tụ 1 lần Chân Nguyên
ZhenYuan_Rare	1	10	Gold|2000				Chân Nguyên Hiếm	Giám định được 1 Chân Nguyên Hiếm
ZhenYuan_Skill	1	20	Gold|10000				Kỹ Năng Chân Nguyên	Giám định ra 1 Chân Nguyên mang kỹ năng
ZhenYuanRefinement_1	1	3	Gold|1000				Tẩy luyện Chân Nguyên	Hoàn thành 1 lần tẩy luyện Chân Nguyên
ZhenYuanRefinement_2	1	10	Gold|5000				Tứ Duy Gia Trì	Chân Nguyên đồng thời có các thuộc tính Sức mạnh, Thể chất, Nhanh nhẹn, Linh hoạt
ZhenYuanRefinement_Skill	1	20	Gold|5000				Di Hình Hoán Ảnh	Hoàn thành 1 lần tẩy kỹ năng Chân Nguyên
HuaShan_1	1	3	Gold|1000				Hoa Sơn Thủ Tú	Lần đầu tham gia Hoa Sơn Luận Kiếm
HuaShan_Alone	1	5	Gold|1000				Hoa Sơn Một Người	Xuất chiến Hoa Sơn Luận Kiếm- Sơ Tuyển Cá Nhân
HuaShanLunJian_16	1	10	Gold|2000				Hoa Sơn Top 16	Vào Top 16 Hoa Sơn Luận Kiếm
HuaShanLunJian_8	1	20	Gold|3000				Tứ Kết Hoa Sơn	Vào Tứ Kết Hoa Sơn Luận Kiếm
HuaShanLunJian_4	1	30	Gold|5000				Bán Kết Hoa Sơn	Vào Bán Kết Hoa Sơn Luận Kiếm
HuaShanLunJian_1	1	50	Gold|50000;item|4245|1		1		Đỉnh Hoa Sơn	Đạt Quán Quân Hoa Sơn Luận Kiếm
HuaShanLunJian_1	10	100	Gold|50000;item|9617|1		1	1	Quán Tuyệt Giang Hồ	Đoạt Quán Quân Hoa Sơn Luận Kiếm 10 lần
FactionBattle_1	1	3	Gold|1000				Đại Hội Môn Phái	Tham gia Thi Đấu Môn Phái thành công
FactionBattle_2	1	5	Gold|2000				Cao Thủ Môn Phái	Vào vòng loại Thi Đấu Môn Phái
FactionBattle_3	1	10	Gold|3000				Tứ Kết Môn Phái	Vào tứ kết Thi Đấu Môn Phái
FactionBattle_4	1	20	Gold|5000				Bán Kết Môn Phái	Vào bán kết Thi Đấu Môn Phái
FactionBattle_5	1	30	Gold|10000				Trận Đấu Cuối Cùng	Vào chung kết Thi Đấu Môn Phái
FactionBattleNew_1	1	40	Gold|20000		1		Tân Vương	Đạt Tân Vương Thi Đấu Môn Phái
FactionBattleNew_1	5	50	Gold|20000		1		5 lần đoạt Tân Vương	5 lần đoạt Tân Vương Thi Đấu Môn Phái
FactionBattleNew_1	10	80	Gold|50000		1	1	10 lần đoạt Tân Vương	10 lần đoạt Tân Vương Thi Đấu Môn Phái
FactionBattleNew_1	30	150	Gold|50000		1	1	Lão Nhân Vương	30 lần đoạt Tân Vương Thi Đấu Môn Phái
FactionBattleBrother_1	1	60	Gold|50000;item|4244|1		1		Đại Đệ Tử	Trúng cử Đại Sư Huynh Thi Đấu Môn Phái
FactionBattleBrother_2	1	80	Gold|50000;item|9618|1		1	1	Đại Sư Huynh Liên Nhiệm	Liên tục đảm nhiệm 2 lần Đại Sư Huynh Thi Đấu Môn Phái
QunYingHui_1	1	3	Gold|1000				Chiến Quần Anh	Quần Anh Hội giành 1 trận thắng
QunYingHui_5	1	10	Gold|2000				Tài Năng Hé Lộ	Thắng 5 trận liền tại Quần Anh Hội
QunYingHui_12	1	20	Gold|5000				Ngạo Thị Quần Anh 1	Quần Anh Hội thắng 12 trận liên tiếp hoặc hơn
QunYingHui_12P	1	20	Gold|10000				Ngạo Thị Quần Anh 2	Quần Anh Hội-Ghép đơn thắng 12 trận liên tiếp hoặc hơn
QunYingHui_12	5	50	Gold|10000		1		Ngạo Thị Quần Anh 3	Quần Anh Hội đạt 5 lần thắng liên tục 12
QunYingHui_12	20	100	Gold|20000		1	1	Ngạo Thị Quần Anh 4	Quần Anh Hội đạt 20 lần thắng liên tục 12
QunYingHui_16	1	100	Gold|20000				Dũng Mãnh	Quần Anh Hội giành 16 trận toàn thắng
Battle_1	1	3	Gold|1000				Gia Nhập Quân Ngũ	Báo danh tham gia Chiến Trường 1 lần
Battle_1	10	5	Gold|2000				Dương Đao Lập Mã	Tham gia 10 lần Chiến Trường
Battle_3	10	10	Gold|3000;item|9619|1				Thường Thắng Sư	Tham gia Chiến Trường thắng 10 trận
Battle_1	100	20	Gold|5000;item|9620|1		1		Túy Ngọa Sa Trường	Tham gia 100 lần Chiến Trường
Battle_3	100	30	Gold|10000;item|9621|1		1		Nhất Tướng Công Thành	Tham gia Chiến Trường thắng 100 trận
Battle_Combo1	1	5	Gold|1000				Uy Chấn Sa Trường 1	Chiến Trường Tống Kim hoàn thành 10 Liên Trảm
Battle_Combo2	1	10	Gold|3000				Uy Chấn Sa Trường 3	Chiến Trường Tống Kim hoàn thành 20 Liên Trảm
Battle_Combo3	1	20	Gold|10000		1		Uy Chấn Sa Trường 2	Chiến Trường Tống Kim hoàn thành 50 Liên Trảm
Battle_Combo4	1	50	Gold|20000		1	1	Uy Chấn Sa Trường 4	Chiến Trường Tống Kim hoàn thành 100 Liên Trảm
Rank_1	1	5	Gold|1000				Huyết Chiến 	Hạng cá nhân nằm trong 50% Top trên
Rank_2	1	10	Gold|2000				Tiên Phong	Hạng cá nhân nằm trong Top 3
Rank_3	1	20	Gold|3000				Đệ Nhất Chiến Công	Hạng cá nhân đạt hạng 1
Rank_3	10	30	Gold|5000;item|9622|1		1		Quân Công Cái Thế	Tích lũy hạng 1 Chiến Trường đạt 10 lần
Rank_3	100	50	Gold|10000;item|9623|1		1		Quân Thần	Tích lũy hạng 1 Chiến Trường đạt 100 lần
Battle_SoldierKiller	1	50	Gold|20000		1		Cao Thủ Trộm Gà	Chiến Trường Cá Nhân hạng 1 nhưng không diệt
TeamBattle_1	1	3	Gold|1000				Lần đầu vào Thông Thiên Tháp	Vào Thông Thiên Tháp thành công
TeamBattle_2	1	5	Gold|1000				Tầm Cao Mới	Vào Thông Thiên Tháp tầng kế
TeamBattle_3	1	10	Gold|3000				Lên Đỉnh Thành Công	Đã vào đến Thông Thiên Tháp Tầng 7
TeamBattleFurniture_1	1	20	Gold|10000				Thiên Ngoại Hữu Thiên	Vào Thông Thiên Tháp tầng 8 thành công
TeamBattle_3	10	30	Gold|5000;item|9624|1				Thông Thiên Lộ	Vào 10 lần Thông Thiên Tháp Tầng 7
TeamBattle_3	50	50	Gold|10000;item|9625|1				Một Bước Lên Trời	Vào 50 lần Thông Thiên Tháp Tầng 7
TeamBattleFurniture_1	20	60	Gold|50000;item|4251|1		1		Đạt Đến Đỉnh Cao	Vào tầng 8 Thông Thiên Tháp 20 lần
TeamBattle_LuckyDog	1	10	Gold|2000				Vận Rủi	Tại Thông Thiên Tháp thắng không cần đấu 1 lần
WLDH	1	10	Gold|2000				Đại Hội Võ Lâm	Lần đầu báo danh Đại Hội Võ Lâm
WLDH_16	1	15	Gold|5000				Võ Lâm Top 16	Vào Top 16 Đại Hội Võ Lâm
WLDH_8	1	20	Gold|10000				Võ Lâm Anh Tài	Vào Tứ kết Đại Hội Võ Lâm
WLDH_4	1	40	Gold|20000				Bán Kết Võ Lâm	Vào Bán Kết Đại Hội Võ Lâm
WLDH_2	1	60	Gold|30000;item|9573|1;item|9605|1				Vấn Đỉnh Quán Quân	Vào Chung Kết Đại Hội Võ Lâm
WLDH_1	1	100	Gold|50000		1	1	Thiên Hạ Đệ Nhất	Đoạt Quán Quân Đại Hội Võ Lâm
WLDH_Alone	1	10	Gold|2000				Võ Lâm Một Người	Xuất chiến Đại Hội Võ Lâm-Sơ Tuyển Cá Nhân
