ItemTID	Faction	SoleTag	SkillID	AttribType1	InitValue1	GrowValue1	AttribType2	InitValue2	GrowValue2	AttribType3	InitValue3	GrowValue3	AttribType4	InitValue4	GrowValue4	Desc
8025	4	5	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	Tiêu Dao Tuyệt Học 5
8026	4	6	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	Tiêu Dao Tuyệt Học 6
8027	4	7	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	Tiêu Dao Tuyệt Học 7
8028	4	8	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	Tiêu Dao Tuyệt Học 8
8029	4	9	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	Tiêu Dao Tuyệt Học 9
8030	4	10	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	Tiêu Dao Tuyệt Học 10
8031	5	1	5318	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	Võ Đang Tuyệt Học 1
8032	5	2	5319	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	Võ Đang Tuyệt Học 2
8033	5	3	5320	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	Võ Đang Tuyệt Học 3
8034	5	4	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	Võ Đang Tuyệt Học 4
8035	5	5	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	Võ Đang Tuyệt Học 5
8036	5	6	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	Võ Đang Tuyệt Học 6
8037	5	7	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	Võ Đang Tuyệt Học 7
8038	5	8	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	Võ Đang Tuyệt Học 8
8039	5	9	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	Võ Đang Tuyệt Học 9
8040	5	10	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	Võ Đang Tuyệt Học 10
8041	6	1	5321	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	Thiên Nhẫn Tuyệt Học 1
8042	6	2	5322	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	Thiên Nhẫn Tuyệt Học 2
8043	6	3	5323	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	Thiên Nhẫn Tuyệt Học 3
8044	6	4	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	Thiên Nhẫn Tuyệt Học 4
8045	6	5	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	Thiên Nhẫn Tuyệt Học 5
8046	6	6	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	Thiên Nhẫn Tuyệt Học 6
8047	6	7	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	Thiên Nhẫn Tuyệt Học 7
8048	6	8	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	Thiên Nhẫn Tuyệt Học 8
8049	6	9	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	Thiên Nhẫn Tuyệt Học 9
8050	6	10	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	Thiên Nhẫn Tuyệt Học 10
8051	7	1	5324	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	Thiếu Lâm Tuyệt Học 1
8052	7	2	5325	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	Thiếu Lâm Tuyệt Học 2
8053	7	3	5326	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	Thiếu Lâm Tuyệt Học 3
8054	7	4	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	Thiếu Lâm Tuyệt Học 4
8055	7	5	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	Thiếu Lâm Tuyệt Học 5
8056	7	6	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	Thiếu Lâm Tuyệt Học 6
8057	7	7	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	Thiếu Lâm Tuyệt Học 7
8058	7	8	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	Thiếu Lâm Tuyệt Học 8
8059	7	9	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	Thiếu Lâm Tuyệt Học 9
8060	7	10	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	Thiếu Lâm Tuyệt Học 10
8061	8	1	5327	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	Thúy Yên Tuyệt Học 1
8062	8	2	5328	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	Thúy Yên Tuyệt Học 2
8063	8	3	5329	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	Thúy Yên Tuyệt Học 3
8064	8	4	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	Thúy Yên Tuyệt Học 4
8065	8	5	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	Thúy Yên Tuyệt Học 5
8066	8	6	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	Thúy Yên Tuyệt Học 6
8067	8	7	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	Thúy Yên Tuyệt Học 7
8068	8	8	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	Thúy Yên Tuyệt Học 8
8069	8	9	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	Thúy Yên Tuyệt Học 9
8070	8	10	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	Thúy Yên Tuyệt Học 10
8071	9	1	5330	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	Đường Môn Tuyệt Học 1
8072	9	2	5331	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	Đường Môn Tuyệt Học 2
8073	9	3	5332	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	Đường Môn Tuyệt Học 3
8074	9	4	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	Đường Môn Tuyệt Học 4
8075	9	5	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	Đường Môn Tuyệt Học 5
8076	9	6	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	Đường Môn Tuyệt Học 6
8077	9	7	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	Đường Môn Tuyệt Học 7
8078	9	8	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	Đường Môn Tuyệt Học 8
8079	9	9	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	Đường Môn Tuyệt Học 9
8080	9	10	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	Đường Môn Tuyệt Học 10
8081	10	1	5333	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	Côn Lôn Tuyệt Học 1
8082	10	2	5334	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	Côn Lôn Tuyệt Học 2
8083	10	3	5335	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	Côn Lôn Tuyệt Học 3
8084	10	4	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	Côn Lôn Tuyệt Học 4
8085	10	5	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	Côn Lôn Tuyệt Học 5
8086	10	6	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	Côn Lôn Tuyệt Học 6
8087	10	7	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	Côn Lôn Tuyệt Học 7
8088	10	8	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	Côn Lôn Tuyệt Học 8
8089	10	9	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	Côn Lôn Tuyệt Học 9
8090	10	10	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	Côn Lôn Tuyệt Học 10
8091	11	1	5336	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	Cái Bang Tuyệt Học 1
8092	11	2	5337	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	Cái Bang Tuyệt Học 2
8093	11	3	5338	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	Cái Bang Tuyệt Học 3
8094	11	4	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	Cái Bang Tuyệt Học 4
8095	11	5	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	Cái Bang Tuyệt Học 5
8096	11	6	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	Cái Bang Tuyệt Học 6
8097	11	7	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	Cái Bang Tuyệt Học 7
8098	11	8	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	Cái Bang Tuyệt Học 8
8099	11	9	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	Cái Bang Tuyệt Học 9
8100	11	10	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	Cái Bang Tuyệt Học 10
8101	12	1	5339	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	Ngũ Độc Tuyệt Học 1
8102	12	2	5340	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	Ngũ Độc Tuyệt Học 2
8103	12	3	5341	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	Ngũ Độc Tuyệt Học 3
8104	12	4	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	Ngũ Độc Tuyệt Học 4
8105	12	5	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	Ngũ Độc Tuyệt Học 5
8106	12	6	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	Ngũ Độc Tuyệt Học 6
8107	12	7	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	Ngũ Độc Tuyệt Học 7
8108	12	8	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	Ngũ Độc Tuyệt Học 8
8109	12	9	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	Ngũ Độc Tuyệt Học 9
8110	12	10	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	Ngũ Độc Tuyệt Học 10
8111	13	1	5342	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Tàng Kiếm Tuyệt Học 1
8112	13	2	5343	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Tàng Kiếm Tuyệt Học 2
8113	13	3	5344	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Tàng Kiếm Tuyệt Học 3
8114	13	4	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Tàng Kiếm Tuyệt Học 4
8115	13	5	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Tàng Kiếm Tuyệt Học 5
8116	13	6	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Tàng Kiếm Tuyệt Học 6
8117	13	7	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Tàng Kiếm Tuyệt Học 7
8118	13	8	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Tàng Kiếm Tuyệt Học 8
8119	13	9	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Tàng Kiếm Tuyệt Học 9
8120	13	10	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Tàng Kiếm Tuyệt Học 10
8121	14	1	5345	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	Trường Ca Tuyệt Học 1
8122	14	2	5346	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	Trường Ca Tuyệt Học 2
8123	14	3	5347	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	Trường Ca Tuyệt Học 3
8124	14	4	105	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	Trường Ca Tuyệt Học 4
8125	14	5	105	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	Trường Ca Tuyệt Học 5
8126	14	6	105	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	Trường Ca Tuyệt Học 6
8127	14	7	105	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	Trường Ca Tuyệt Học 7
8128	14	8	105	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	Trường Ca Tuyệt Học 8
8129	14	9	105	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	Trường Ca Tuyệt Học 9
8130	14	10	105	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	Trường Ca Tuyệt Học 10
8131	15	1	5348	vitality_v	3000	300	dexterity_v	2000	200	strength_v	3000	300	energy_v	2000	200	Thiên Sơn Tuyệt Học 1
8132	15	2	5349	vitality_v	3000	300	dexterity_v	2000	200	strength_v	3000	300	energy_v	2000	200	Thiên Sơn Tuyệt Học 2
8133	15	3	5350	vitality_v	3000	300	dexterity_v	2000	200	strength_v	3000	300	energy_v	2000	200	Thiên Sơn Tuyệt Học 3
8134	15	4	105	vitality_v	3000	300	dexterity_v	2000	200	strength_v	3000	300	energy_v	2000	200	Thiên Sơn Tuyệt Học 4
8135	15	5	105	vitality_v	3000	300	dexterity_v	2000	200	strength_v	3000	300	energy_v	2000	200	Thiên Sơn Tuyệt Học 5
8136	15	6	105	vitality_v	3000	300	dexterity_v	2000	200	strength_v	3000	300	energy_v	2000	200	Thiên Sơn Tuyệt Học 6
8137	15	7	105	vitality_v	3000	300	dexterity_v	2000	200	strength_v	3000	300	energy_v	2000	200	Thiên Sơn Tuyệt Học 7
8138	15	8	105	vitality_v	3000	300	dexterity_v	2000	200	strength_v	3000	300	energy_v	2000	200	Thiên Sơn Tuyệt Học 8
8139	15	9	105	vitality_v	3000	300	dexterity_v	2000	200	strength_v	3000	300	energy_v	2000	200	Thiên Sơn Tuyệt Học 9
8140	15	10	105	vitality_v	3000	300	dexterity_v	2000	200	strength_v	3000	300	energy_v	2000	200	Thiên Sơn Tuyệt Học 10
8141	16	1	5351	vitality_v	4000	400	dexterity_v	1000	100	strength_v	4000	400	energy_v	1000	100	Bá Đao Tuyệt Học 1
8142	16	2	5352	vitality_v	4000	400	dexterity_v	1000	100	strength_v	4000	400	energy_v	1000	100	Bá Đao Tuyệt Học 2
8143	16	3	5353	vitality_v	4000	400	dexterity_v	1000	100	strength_v	4000	400	energy_v	1000	100	Bá Đao Tuyệt Học 3
8144	16	4	105	vitality_v	4000	400	dexterity_v	1000	100	strength_v	4000	400	energy_v	1000	100	Bá Đao Tuyệt Học 4
8145	16	5	105	vitality_v	4000	400	dexterity_v	1000	100	strength_v	4000	400	energy_v	1000	100	Bá Đao Tuyệt Học 5
8146	16	6	105	vitality_v	4000	400	dexterity_v	1000	100	strength_v	4000	400	energy_v	1000	100	Bá Đao Tuyệt Học 6
8147	16	7	105	vitality_v	4000	400	dexterity_v	1000	100	strength_v	4000	400	energy_v	1000	100	Bá Đao Tuyệt Học 7
8148	16	8	105	vitality_v	4000	400	dexterity_v	1000	100	strength_v	4000	400	energy_v	1000	100	Bá Đao Tuyệt Học 8
8149	16	9	105	vitality_v	4000	400	dexterity_v	1000	100	strength_v	4000	400	energy_v	1000	100	Bá Đao Tuyệt Học 9
8150	16	10	105	vitality_v	4000	400	dexterity_v	1000	100	strength_v	4000	400	energy_v	1000	100	Bá Đao Tuyệt Học 10
8151	17	1	5354	vitality_v	1000	100	dexterity_v	3000	300	strength_v	3000	300	energy_v	3000	300	Hoa Sơn Tuyệt Học 1
8152	17	2	5355	vitality_v	1000	100	dexterity_v	3000	300	strength_v	3000	300	energy_v	3000	300	Hoa Sơn Tuyệt Học 2
8153	17	3	5356	vitality_v	1000	100	dexterity_v	3000	300	strength_v	3000	300	energy_v	3000	300	Hoa Sơn Tuyệt Học 3
8154	17	4	105	vitality_v	1000	100	dexterity_v	3000	300	strength_v	3000	300	energy_v	3000	300	Hoa Sơn Tuyệt Học 4
8155	17	5	105	vitality_v	1000	100	dexterity_v	3000	300	strength_v	3000	300	energy_v	3000	300	Hoa Sơn Tuyệt Học 5
8156	17	6	105	vitality_v	1000	100	dexterity_v	3000	300	strength_v	3000	300	energy_v	3000	300	Hoa Sơn Tuyệt Học 6
8157	17	7	105	vitality_v	1000	100	dexterity_v	3000	300	strength_v	3000	300	energy_v	3000	300	Hoa Sơn Tuyệt Học 7
8158	17	8	105	vitality_v	1000	100	dexterity_v	3000	300	strength_v	3000	300	energy_v	3000	300	Hoa Sơn Tuyệt Học 8
8159	17	9	105	vitality_v	1000	100	dexterity_v	3000	300	strength_v	3000	300	energy_v	3000	300	Hoa Sơn Tuyệt Học 9
8160	17	10	105	vitality_v	1000	100	dexterity_v	3000	300	strength_v	3000	300	energy_v	3000	300	Hoa Sơn Tuyệt Học 10
9988	18	1	5559	vitality_v	1000	100	dexterity_v	4000	400	strength_v	4000	400	energy_v	1000	100	Minh Giáo Tuyệt Học 1
9989	18	2	5561	vitality_v	1000	100	dexterity_v	4000	400	strength_v	4000	400	energy_v	1000	100	Minh Giáo Tuyệt Học 2
9990	18	3	105	vitality_v	1000	100	dexterity_v	4000	400	strength_v	4000	400	energy_v	1000	100	Minh Giáo Tuyệt Học 3
9991	18	4	105	vitality_v	1000	100	dexterity_v	4000	400	strength_v	4000	400	energy_v	1000	100	Minh Giáo Tuyệt Học 4
9992	18	5	105	vitality_v	1000	100	dexterity_v	4000	400	strength_v	4000	400	energy_v	1000	100	Minh Giáo Tuyệt Học 5
9993	18	6	105	vitality_v	1000	100	dexterity_v	4000	400	strength_v	4000	400	energy_v	1000	100	Minh Giáo Tuyệt Học 6
9994	18	7	105	vitality_v	1000	100	dexterity_v	4000	400	strength_v	4000	400	energy_v	1000	100	Minh Giáo Tuyệt Học 7
9995	18	8	105	vitality_v	1000	100	dexterity_v	4000	400	strength_v	4000	400	energy_v	1000	100	Minh Giáo Tuyệt Học 8
9996	18	9	105	vitality_v	1000	100	dexterity_v	4000	400	strength_v	4000	400	energy_v	1000	100	Minh Giáo Tuyệt Học 9
9997	18	10	105	vitality_v	1000	100	dexterity_v	4000	400	strength_v	4000	400	energy_v	1000	100	Minh Giáo Tuyệt Học 10
10557	19	1	5672	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Đoàn Thị Tuyệt Học 1
10558	19	2	5674	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Đoàn Thị Tuyệt Học 2
10559	19	3	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Đoàn Thị Tuyệt Học 3
10560	19	4	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Đoàn Thị Tuyệt Học 4
10561	19	5	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Đoàn Thị Tuyệt Học 5
10562	19	6	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	Đoàn Thị Tuyệt Học 6
