ItemTemplateId	Desc	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
670	Bùa Đế Giang-Cường Hiệu	170	attackrate_v	320			basic_damage_v	20		20																																
671	Bùa Chúc Long-Cường Hiệu	170	defense_v	160			lifemax_v	400																																		
672	Bùa Quỳ Ngưu-Cường Hiệu	170	deadlystrike_v	80			basic_damage_v	20		20																																
673	Bùa Cùng Kỳ-Cường Hiệu	170	ignore_defense_v	160			basic_damage_v	20		20																																
674	Bùa Côn Bằng-Cường Hiệu	170	weaken_deadlystrike_v	80			lifemax_v	400																																		
675	Bùa Đằng Xà-Cường Hiệu	170	add_seriesstate_rate_v	40			basic_damage_v	20		20																																
676	Bùa Tì Hưu-Cường Hiệu	170	resist_allseriesstate_rate_v	40			lifemax_v	400																																		
607	Bùa Sinh Lực-Đặc Hiệu	360	lifemax_v	2400																																						
613	Bùa Tấn Công-Đặc Hiệu	360	basic_damage_v	120		120																																				
619	Bùa Kháng Tất Cả-Đặc Hiệu	360	all_series_resist_v	60																																						
625	Bùa Chính Xác-Đặc Hiệu	360	attackrate_v	480																																						
631	Bùa Né Tránh-Đặc Hiệu	360	defense_v	240																																						
637	Bùa Bạo Kích-Đặc Hiệu	360	deadlystrike_v	120																																						
643	Bùa Bỏ Qua Né Tránh-Đặc Hiệu	360	ignore_defense_v	240																																						
649	Bùa Giảm Bạo Kích-Đặc Hiệu	360	weaken_deadlystrike_v	120																																						
655	Bùa Hiệu Quả-Đặc Hiệu	360	add_seriesstate_rate_v	60																																						
661	Bùa Giảm Hiệu Quả-Đặc Hiệu	360	resist_allseriesstate_rate_v	60																																						
667	Bùa Hồi Phục-Đặc Hiệu	360	recover_life_v	480	75																																					
677	Bùa Huyền Vũ-Đặc Hiệu	1080	lifemax_v	2400			all_series_resist_v	20																																		
678	Bùa Thanh Long-Đặc Hiệu	1080	basic_damage_v	120		120	attackrate_v	160																																		
679	Bùa Phượng Hoàng-Đặc Hiệu	1080	lifemax_v	2400			defense_v	80																																		
680	Bùa Bạch Hổ-Đặc Hiệu	1080	basic_damage_v	120		120	deadlystrike_v	40																																		
681	Bùa Chu Tước-Đặc Hiệu	1080	basic_damage_v	120		120	ignore_defense_v	80																																		
682	Bùa Ứng Long-Đặc Hiệu	1080	lifemax_v	2400			weaken_deadlystrike_v	40																																		
683	Bùa Bạch Trạch-Đặc Hiệu	1080	basic_damage_v	120		120	add_seriesstate_rate_v	20																																		
684	Bùa Kỳ Lân-Đặc Hiệu	1080	lifemax_v	2400			resist_allseriesstate_rate_v	20																																		
608	Bùa Sinh Lực-Hoàn Mỹ	1440	lifemax_v	4000																																						
614	Bùa Tấn Công-Hoàn Mỹ	1440	basic_damage_v	200		200																																				
620	Bùa Kháng Tất Cả-Hoàn Mỹ	1440	all_series_resist_v	100																																						
626	Bùa Chính Xác-Hoàn Mỹ	1440	attackrate_v	800																																						
632	Bùa Né Tránh-Hoàn Mỹ	1440	defense_v	400																																						
638	Bùa Bạo Kích-Hoàn Mỹ	1440	deadlystrike_v	200																																						
644	Bùa Bỏ Qua Né Tránh-Hoàn Mỹ	1440	ignore_defense_v	400																																						
650	Bùa Giảm Bạo Kích-Hoàn Mỹ	1440	weaken_deadlystrike_v	200																																						
656	Bùa Hiệu Quả-Hoàn Mỹ	1440	add_seriesstate_rate_v	100																																						
662	Bùa Giảm Hiệu Quả-Hoàn Mỹ	1440	resist_allseriesstate_rate_v	100																																						
668	Bùa Hồi Phục-Hoàn Mỹ	1440	recover_life_v	800	75																																					
685	Bùa Huyền Vũ-Hoàn Mỹ	5040	lifemax_v	4000			all_series_resist_v	50																																		
686	Bùa Thanh Long-Hoàn Mỹ	5040	basic_damage_v	200		200	attackrate_v	400																																		
687	Bùa Phượng Hoàng-Hoàn Mỹ	5040	lifemax_v	4000			defense_v	200																																		
688	Bùa Bạch Hổ-Hoàn Mỹ	5040	basic_damage_v	200		200	deadlystrike_v	100																																		
689	Bùa Chu Tước-Hoàn Mỹ	5040	basic_damage_v	200		200	ignore_defense_v	200																																		
690	Bùa Ứng Long-Hoàn Mỹ	5040	lifemax_v	4000			weaken_deadlystrike_v	100																																		
691	Bùa Bạch Trạch-Hoàn Mỹ	5040	basic_damage_v	200		200	add_seriesstate_rate_v	50																																		
692	Bùa Kỳ Lân-Hoàn Mỹ	5040	lifemax_v	4000			resist_allseriesstate_rate_v	50																																		
