Id	Info	Name	StoneIcon	StoneValue	Value	Type	QualityLevel	QualityType	GrowthType	GradeType	EquipType	NpcTemplateId	Skill1	Skill2	Skill3	Skill4	Skill5	Skill6	Skill7	Skill8	Skill9	Skill10
23	Đồng Hành S, Tiêu Dao Chưởng Môn	Chúc Tử Hư	1	50	2000000	1	3	3	303	15	15	301		1234	1238	2619	2624					
24	Đồng Hành S, Nga Mi Chưởng Môn	Thanh Hòa	1	50	2000000	1	3	2	302	14	14	302		1140	1144	2620	2622					
25	Đồng Hành S, Đào Hoa Chưởng Môn	Hoàng Mộ Vân	1	50	2000000	1	3	4	304	16	16	303		1191	1195	2614	2621					
26	Đồng Hành S, Võ Đang Chưởng Môn	Đạo Nhất Chân Nhân	1	50	2000000	1	3	5	305	17	17	304		2859	2860	2617	2623					
27	Đồng Hành S, Thiên Nhẫn Chưởng Môn	Đoan Mộc Duệ	1	50	2000000	8	3	6	306	18	18	305		2842	2670	2613	2624					
28	Đồng Hành S, Thiếu Lâm Chưởng Môn	Huyền Nhân	1	50	2000000	8	3	7	307	19	19	306		1181	1188							
29	Đồng Hành S, Thúy Yên Chưởng Môn	Doãn Hàm Yên	1	50	2000000	8	3	8	308	20	20	307		1181	1188							
127	Đồng Hành S, Cái Bang Chưởng Môn	Hà Nhân Ngã	1	50	2000000	8	3	9	309	21	21	1051		1181	1188							
128	Đồng Hành S, Côn Lôn Chưởng Môn	Tuyền Cơ Tử	1	50	2000000	8	3	10	310	22	22	1052		1181	1188							
129	Đồng Hành S, Ngũ Độc Chưởng Môn	Hắc Diện Lang Quân	1	50	2000000	8	3	11	311	23	23	1053		1181	1188							
130	Đồng Hành S, Đường Môn Chưởng Môn	Đường Cừu	1	50	2000000	8	3	12	312	24	24	1054		1181	1188							
30	Đồng Hành S, Danh Tướng	Cao Trường Cung	1	50	2000000	1	3	1	301	13	13	308		2645	2646	2616	2623					
31	Đồng Hành S, Danh Tướng	Triết Biệt	1	50	2000000	1	3	12	312	24	24	309		2513	2521	2614	2621					
32	Đồng Hành S, Danh Tướng	Viên Thừa Chí	1	50	2000000	1	3	10	310	22	22	310		2518	2519	2614	2523					
33	Đồng Hành S, Danh Tướng	Ngao Bái	1	50	2000000	1	3	9	309	21	21	311		2637	2638	2616	2623					
34	Đồng Hành S, Thủ Lĩnh Dã Ngoại	Kim Sí Bằng Hoàng	1	50	2000000	8	3	8	308	20	20	312		1270	1278							
35	Đồng Hành S, Thủ Lĩnh Dã Ngoại	Xích Tinh Hổ Hoàng	1	50	2000000	8	3	11	311	23	23	313		1270	1278							
36	Đồng Hành S, Thủ Lĩnh Dã Ngoại	Hám Thiên Hùng Hoàng	1	50	2000000	8	3	2	302	14	14	314		1270	1278							
37	Đồng Hành S, Thủ Lĩnh Dã Ngoại	Định Hải Kim Cang	1	50	2000000	8	3	5	305	17	17	315		1270	1278							
38	Đồng Hành S, Bí cảnh tổ đội 60	Đường Ảnh	1	50	2000000	1	3	12	312	24	24	316		2524	2525	2614	2621					
39	Đồng Hành S, Bí cảnh tổ đội 80	Nhạc Phi	1	50	2000000	1	3	3	303	15	15	317		2838	2839	2618	2621					
40	Đồng Hành S	Dương Hi Liệt	1	50	2000000	1	3	5	305	17	17	318		2687	2841	2614	2624					
41	Đồng Hành S	Thượng Quan Phi Long	1	50	2000000	1	3	4	304	16	16	319		2866	2867	2616	2623					
42	Đồng Hành S	Diệp Vô Tâm	1	50	2000000	1	3	10	310	22	22	320		1283	1284	2615	2621					
43	Đồng Hành S	Mạnh Tri Thu	1	50	2000000	1	3	11	311	23	23	321		2873	2644	2619	2622					
44	Đồng Hành S	Nạp Lan Tiềm Lẫm	1	50	2000000	1	3	3	303	15	15	322		2574	2684	2615	2624					
45	Đồng Hành S	Trương Phong	1	50	2000000	1	3	4	304	16	16	323		2874	2878	2613	2624					
46	Đồng Hành S	Vô Hư Đại Sư	1	50	2000000	1	3	7	307	19	19	324		2875	2879	2613	2624					
47	Đồng Hành S	Nam Cung Diệt	1	50	2000000	1	3	6	306	18	18	325		2843	2844	2614	2622					
48	Đồng Hành S	Phương Miễn	1	50	2000000	1	3	9	309	21	21	326		2876	2880	2613	2624					
135	Đồng Hành S	Thu Y Thủy	1	50	2000000	1	3	2	302	14	14	437		2847	2848	2615	2621					
131	Đồng Hành S	Yên Nhược Tuyết	1	50	2000000	1	3	6	306	18	18	1055		2528	2529	2617	2622					
132	Đồng Hành S	Dương Tái Hưng	1	50	2000000	1	3	1	301	13	13	1056		2877	2881	2613	2624					
133	Đồng Hành S	Hàn Thế Trung	1	50	2000000	1	3	7	307	19	19	1057		2842	2670	2613	2624					
134	Đồng Hành A	Nhiếp Tiểu Sảnh	1	50	900000	8	4	2	402	2	2	332		1181	1188							
49	Đồng Hành A	Nạp Lan Chân	1	50	900000	0	4	4	404	4	4	327		2560	2561	2604						
126	Đồng Hành A	Tiểu Ảnh Phong	1	50	900000	0	4	1	401	1	1	1062		2564	2565	2608						
50	Đồng Hành A, Thiên Vương Đại Sư Huynh	Dương Thiết Tâm	1	50	900000	0	4	1	401	1	1	328		1101	1106	2608						
51	Đồng Hành A, Tiêu Dao Đại Sư Huynh	Liễu Tiêu Đình	1	50	900000	0	4	3	403	3	3	329		1221	1232	2609						
52	Đồng Hành A, Nga Mi Đại Sư Huynh	Vô Tưởng	1	50	900000	0	4	2	402	2	2	330		1131	1136	2603						
53	Đồng Hành A, Đào Hoa Đại Sư Tỷ	Lý Điềm Nhi	1	50	900000	0	4	4	404	4	4	331		1181	1188	2604						
54	Đồng Hành A, Võ Đang Đại Sư Huynh	Thiên Mục	1	50	900000	0	4	5	405	5	5	332		2801	2805	2608						
55	Đồng Hành A, Thiên Nhẫn Đại Sư Tỷ	Hoàn Nhan Tương	1	50	900000	8	4	6	406	6	6	333		1295	1296	2606						
56	Đồng Hành A, Thiếu Lâm Đại Sư Huynh	Huyền Từ	1	50	900000	8	4	7	407	7	7	334		1181	1188							
57	Đồng Hành A, Thúy Yên Đại Sư Tỷ	Doãn Tiêu Vũ	1	50	900000	8	4	8	408	8	8	335		1181	1188							
136	Đồng Hành A, Cái Bang Đại Sư Huynh	Thạch Hiên Viên	1	50	900000	8	4	9	409	9	9	1063		1181	1188							
137	Đồng Hành A, Côn Lôn Đại Sư Huynh	Tống Thu Thạch	1	50	900000	8	4	10	410	10	10	1064		1181	1188							
138	Đồng Hành A, Ngũ Độc Đại Sư Huynh	Cổ Yên Nhiên	1	50	900000	8	4	11	411	11	11	1065		1181	1188							
139	Đồng Hành A, Đường Môn Đại Sư Huynh	Đường Hiểu	1	50	900000	8	4	12	412	12	12	1066		1181	1188							
58	Đồng Hành A, Thủ Lĩnh Dã Ngoại	Hàn Ngọc Lộc Vương	1	50	900000	0	4	3	403	3	3	336		2552	2553	2607						
59	Đồng Hành A, Thủ Lĩnh Dã Ngoại	Đại Địa Lang Vương	1	50	900000	0	4	9	409	9	9	337		2532	2533	2605						
60	Đồng Hành A, Thủ Lĩnh Dã Ngoại	Bôn Diệm Báo Vương	1	50	900000	0	4	6	406	6	6	338		2539	2541	2606						
61	Đồng Hành A, Thủ Lĩnh Dã Ngoại	Cửu Vĩ Hồ Vương	1	50	900000	0	4	12	412	12	12	339		2546	2547	2604						
62	Đồng Hành A	Nam Cung Thái Hồng	1	50	900000	0	4	2	402	2	2	340		2696	2699	2606						
63	Đồng Hành A	Trương Lâm Tâm	1	50	900000	0	4	8	408	8	8	341		2698	2502	2604						
64	Đồng Hành A	Tường Vi	1	50	900000	0	4	2	402	2	2	342		2501	2882	2607						
65	Đồng Hành A	Gia Luật Tị Li	1	50	900000	0	4	6	406	6	6	343		2629	2630	2605						
66	Đồng Hành A	Tô Mặc Vân	1	50	900000	0	4	9	409	9	9	344		1289	1290	2603						
67	Đồng Hành A	Trác Phi Phàm	1	50	900000	0	4	5	405	5	5	345		2865	2832	2609						
68	Đồng Hành A	Tử Hiên	1	50	900000	0	4	8	408	8	8	346		2639	2863	2607						
69	Đồng Hành A	Trương Như Mộng	1	50	900000	0	4	5	405	5	5	347		2581	2582	2608						
70	Đồng Hành A	Lâm Hải	1	50	900000	0	4	10	410	10	10	348		2884	2886	2607						
71	Đồng Hành A	Lục Văn Long	1	50	900000	0	4	11	411	11	11	349		2836	2635	2608						
72	Đồng Hành A	Vô Tướng	1	50	900000	0	4	7	407	7	7	350		2885	1296	2606						
73	Đồng Hành A	Triệu Thăng Quyền	1	50	900000	0	4	10	410	10	10	351		1295	2888	2606						
74	Đồng Hành A	Triệu Tiết	1	50	900000	0	4	1	401	1	1	352		2508	2509	2604						
75	Đồng Hành A	Thiệu Kỵ Phong	1	50	900000	0	4	3	403	3	3	353		2862	2837	2609						
76	Đồng Hành A	A28	1	50	900000	8	4	1	401	1	1	354		1270	1278							
77	Đồng Hành A	A29	1	50	900000	8	4	1	401	1	1	355		1270	1278							
78	Đồng Hành B	Tiểu Lý Tử	1	50	300000	0	5	1	501	1	1	356		2891	2591	2593						
79	Đồng Hành B	Tiêu Động Trần	1	50	300000	0	5	3	503	3	3	357		1281	1282	2594						
80	Đồng Hành B	Tâm Ma	1	50	300000	0	5	5	505	5	5	358		1286	2692	2596						
81	Đồng Hành B	Hồ Thần Y	1	50	300000	0	5	2	502	2	2	359		2693	2694	2593						
82	Đồng Hành B	Tần Mộc Bạch	1	50	300000	0	5	10	510	10	10	360		2568	2569	2598						
83	Đồng Hành B	Trương Trọng Thiên	1	50	300000	0	5	12	512	12	12	361		2651	2657	2598						
84	Đồng Hành B	Lộ Đạt	1	50	300000	0	5	11	511	11	11	362		2652	2663	2598						
85	Đồng Hành B	Lý Tam	1	50	300000	0	5	4	504	4	4	363		2653	2664	2596						
86	Đồng Hành B	Lư Thanh	1	50	300000	0	5	6	506	6	6	364		2869	2893	2598						
87	Đồng Hành B	Oanh Nhi	1	50	300000	0	5	8	508	8	8	365		2892	2660	2593						
88	Đồng Hành B	Cố Võ	1	50	300000	0	5	7	507	7	7	366		1271	2662	2594						
89	Đồng Hành B	B12	1	50	300000	8	5	1	501	1	1	367		2652	2663	2598						
90	Đồng Hành B	B13	1	50	300000	8	5	12	512	12	12	368		2650	2655	2595						
91	Đồng Hành B	B14	1	50	300000	8	5	1	501	1	1	369		1270	1278							
92	Đồng Hành B	B15	1	50	300000	8	5	1	501	1	1	370		1270	1278							
93	Đồng Hành B	B16	1	50	300000	8	5	1	501	1	1	371		1270	1278							
94	Đồng Hành B	B17	1	50	300000	8	5	1	501	1	1	372		1270	1278							
95	Đồng Hành B	B18	1	50	300000	8	5	1	501	1	1	373		1270	1278							
96	Đồng Hành C	Kim Tiền Báo	1	50	50000	0	6	1	601	1	1	374		1261	1262							
97	Đồng Hành C	Hắc Dực Liệp Ưng	1	50	50000	0	6	1	601	1	1	375		1261	1262							
98	Đồng Hành C	Võ Lâm Ác Đồ	1	50	50000	0	6	1	601	1	1	376		1270	1278							
99	Đồng Hành C	Mãnh Hổ	1	50	50000	0	6	1	601	1	1	377		1261	1262							
100	Đồng Hành C	Phong Lâm Vệ	1	50	50000	0	6	1	601	1	1	378		1270	1278							
101	Đồng Hành C	Viên Hầu	1	50	50000	0	6	1	601	1	1	379		1274	1280							
102	Đồng Hành C	Thiết Diện Bổ Đầu	1	50	50000	0	6	1	601	1	1	380		1270	1278							
103	Đồng Hành C	Hồng Y Nữ Đồng	1	50	50000	0	6	1	601	1	1	381		1270	1278							
104	Đồng Hành C	Thầy Đúc Kiếm	1	50	50000	0	6	1	601	1	1	382		1270	1278							
105	Đồng Hành C	Thợ Săn	1	50	50000	0	6	1	601	1	1	383		2557	2558							
106	Đồng Hành C	Hồng Anh Thị	1	50	50000	0	6	1	601	1	1	384		1276	1278							
107	Đồng Hành C	Cường Đạo	1	50	50000	0	6	1	601	1	1	385		1270	1278							
108	Đồng Hành C	Đệ Tử Dược Vương	1	50	50000	0	6	1	601	1	1	386		1274	1280							
109	Đồng Hành C	Sói Xám	1	50	50000	0	6	1	601	1	1	387		1261	1262							
110	Đồng Hành C	Đông Doanh Nhẫn Giả	1	50	50000	0	6	1	601	1	1	388		1270	1278							
111	Đồng Hành C	Sinh Sứ	1	50	50000	0	6	1	601	1	1	389		1270	1278							
112	Đồng Hành C	Tử Thị	1	50	50000	0	6	1	601	1	1	390		1270	1278							
113	Đồng Hành C	Hỏa Hồ	1	50	50000	0	6	1	601	1	1	391		1261	1262							
114	Đồng Hành C	Đệ Tử Cửu U	1	50	50000	0	6	1	601	1	1	392		1270	1278							
115	Đồng Hành C	Gấu Đen	1	50	50000	0	6	1	601	1	1	393		1261	1262							
116	Đồng Hành C	Đệ Tử Vô Ưu Giáo	1	50	50000	0	6	1	601	1	1	394		1274	1280							
117	Đồng Hành C	Thiên Công Tượng Giả	1	50	50000	0	6	1	601	1	1	395		1270	1278							
118	Đồng Hành C	Khôi Lỗi Sĩ Binh	1	50	50000	0	6	1	601	1	1	396		1270	1278							
119	Đồng Hành C	Cơ Quan Nhân	1	50	50000	0	6	1	601	1	1	397		1274	1280							
120	Đồng Hành C	C25	1	50	50000	8	6	1	601	1	1	398		1270	1278							
121	Đồng Hành C	C26	1	50	50000	8	6	1	601	1	1	399		1270	1278							
122	Đồng Hành C	C27	1	50	50000	8	6	1	601	1	1	400		1270	1278							
123	Đồng Hành C	C28	1	50	50000	8	6	1	601	1	1	401		1270	1278							
124	Đồng Hành C	C29	1	50	50000	8	6	1	601	1	1	402		1270	1278							
125	Đồng Hành C	C30	1	50	50000	8	6	1	601	1	1	403		1270	1278							
