Name	Path	IsPreLoad	Layer	Desc	BlackBg	AutoHideInFightMode	IsStay	OpenSound	CloseSound	OpenAni	CloseAni	BackBtnClose
InputBox	UI/Prefabs/Tips&notice/InputBox.prefab		LAYER_POPUP	Cửa sổ nhập thường						NormalOpen		1
RockerGuidePanel	UI/Prefabs/RockerGuidePanel.prefab		LAYER_NORMAL									
KinBuildingLevelUp	UI/Prefabs/NewFamily/FamilyBuildingLevelup.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
KinVaultPanel	UI/Prefabs/NewFamily/FamilyVaultPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
KinStore	UI/Prefabs/Family/FamilyStore.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
QYHLeavePanel	UI/Prefabs/QueYingHui/QYHLeavePanel.prefab		LAYER_HOME									
PlayerLevelUp	UI/Prefabs/Role/LevelUpPanel.prefab		LAYER_NORMAL	Hiện thuộc tính tăng cấp						NormalOpen	NormalClose	
HonorLevelPanel	UI/Prefabs/Role/TitlePanel.prefab		LAYER_NORMAL	Quân Hàm	1					NormalOpen	NormalClose	1
HonorLevelUp	UI/Prefabs/Role/TitleUp.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
HeroChallenge	UI/Prefabs/HeroChallenge/HeroChallenge.prefab		LAYER_NORMAL	Khiêu Chiến Anh Hùng	1					NormalOpen	NormalClose	1
HeroChallengeChosse	UI/Prefabs/HeroChallenge/RoleChoose.prefab		LAYER_NORMAL	Chọn Khiêu Chiến Anh Hùng	1					NormalOpen	NormalClose	1
TeammateSelectPop	UI/Prefabs/Team/TeammateSelectPop.prefab		LAYER_POPUP									1
FloatingWindowDisplay	UI/Prefabs/QuickUse.prefab		LAYER_HOME	Cửa sổ dùng nhanh đạo cụ		1				NormalOpen		
SkillShow	UI/Prefabs/Skill/SkillTipPanel.prefab		LAYER_POPUP	Giao diện hiện kỹ năng chi tiết	1					NormalOpen		1
PartnerExpUse	UI/Prefabs/Companion/CompanionExpUsePanel.prefab		LAYER_POPUP	UI Bình EXP Đồng Hành dùng						NormalOpen		1
KinFireDisplay	UI/Prefabs/NewFamily/FamilyRoastPanel.prefab		LAYER_HOME	Thông tin Lửa Trại								
StarAwardList	UI/Prefabs/Fuben/StarAwardList.prefab		LAYER_NORMAL	Danh sách thưởng cấp sao						NormalOpen		
RoleHeadPop	UI/Prefabs/Tips&notice/RoleHeadPop.prefab		LAYER_NORMAL	Nhấp nhân vật hiện hình đại diện						NormalOpen		
UseItemPop	UI/Prefabs/Tips&notice/RoleHeadPopUse.prefab		LAYER_NORMAL	Đạo cụ hoạt động						NormalOpen		
GeneralHelpPanel	UI/Prefabs/Help/Help.prefab		LAYER_POPUP	Hướng dẫn thường						NormalOpen		1
RockerGuideNpcPanel	UI/Prefabs/RockerGuideNpcPanel.prefab		LAYER_NORMAL									
NoticePanel	UI/Prefabs/Login/NoticePanel.prefab		LAYER_NORMAL	Thông báo						NormalOpen		1
HonorLevelPayPop	UI/Prefabs/Role/HonorLevelPayPop.prefab		LAYER_NORMAL									
BossResult	UI/Prefabs/Boss/BossResult.prefab		LAYER_NORMAL		1	1				NormalOpen	NormalClose	1
BossLeaderPanel	UI/Prefabs/Calendar/BossLeaderPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
SnowballPanel	UI/Prefabs/Calendar/SnowballPanel.prefab		LAYER_NORMAL		1					NormalOpen		
ChangeFactionPanel	UI/Prefabs/ChangeFactionPanel.prefab		LAYER_NORMAL		1					NormalOpen		
HSLJPanel	UI/Prefabs/HuaShanLunJian/HSLJPanel.prefab		LAYER_NORMAL		1					NormalOpen		
TeamRelatedPanel	UI/Prefabs/HuaShanLunJian/TeamRelatedPanel.prefab		LAYER_NORMAL		1					NormalOpen		
CreateTeamPanel	UI/Prefabs/HuaShanLunJian/CreateTeamPanel.prefab		LAYER_NORMAL		1					NormalOpen		
HSLJAccount	UI/Prefabs/HuaShanLunJian/HSLJAccount.prefab		LAYER_NORMAL		1					NormalOpen		
HSLJBattleInfo	UI/Prefabs/HuaShanLunJian/HSLJBattleInfo.prefab		LAYER_HOME									
HSLJBattlefieldPanel	UI/Prefabs/HuaShanLunJian/HSLJBattlefieldPanel.prefab		LAYER_NORMAL		1							
TeamDetailsPanel	UI/Prefabs/HuaShanLunJian/TeamDetailsPanel.prefab		LAYER_NORMAL		1							
AssistCompanionPanel	UI/Prefabs/HuaShanLunJian/AssistCompanionPanel.prefab		LAYER_NORMAL							NormalOpen	NormalClose	
GuessingChampionPanel	UI/Prefabs/HuaShanLunJian/GuessingChampionPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
GuessingStakePanel	UI/Prefabs/HuaShanLunJian/GuessingStakePanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
GuessingSurePanel	UI/Prefabs/HuaShanLunJian/GuessingSurePanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
PlayerNumberPanel	UI/Prefabs/HuaShanLunJian/PlayerNumberPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
SkillAuxiliaryPanel	UI/Prefabs/Skill/SkillAuxiliaryPanel.prefab		LAYER_NORMAL		1					NormalOpen		
ExpUpPanel	UI/Prefabs/Calendar/ExpUpPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
FamilyCampPanel	UI/Prefabs/NewFamily/FamilyCampPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
BuffTip	UI/Prefabs/Tips&notice/BuffTip.prefab		LAYER_NORMAL									1
BuffTip2	UI/Prefabs/Tips&notice/BuffTip2.prefab		LAYER_POPUP							NormalOpen		1
KinNestDisplay	UI/Prefabs/NewFamily/KinNestDisplay.prefab		LAYER_NORMAL	Thông tin Sào Huyệt Đạo Tặc								
AttributeDescription	UI/Prefabs/Tips&notice/AttributeDescription.prefab		LAYER_POPUP	Miêu tả thuộc tính								1
QuickBuyOrUse	UI/Prefabs/Tips&notice/AlternativeUse.prefab		LAYER_NORMAL	Dùng đạo cụ hoặc mua số lần						NormalOpen		1
ScreenRecord	UI/Prefabs/HomeScreen/HomeScreenVideo.prefab		LAYER_POPUP	Giao diện dừng ghi hình								
StrongerPanel	UI/Prefabs/BecomeStronger/StrongerPanel.prefab		LAYER_NORMAL	Mạnh Hơn	1					NormalOpen	NormalClose	1
TeamActivityHelp	UI/Prefabs/Team/TeamActivityHelp.prefab		LAYER_NORMAL									1
KinBattle	UI/Prefabs/NewFamily/FamilyWar.prefab		LAYER_NORMAL	Bang Hội Chiến	1					NormalOpen	NormalClose	1
SetNumber	UI/Prefabs/NewFamily/FamilyWarSetting.prefab											1
AssistTools	UI/Prefabs/Debug/AssistTools.prefab		LAYER_DEBUG	Công Cụ Hỗ Trợ								
GameMsg	UI/Prefabs/Debug/GameMsg.prefab		LAYER_DEBUG	Hình thông tin trò chơi								
CardPreview	UI/Prefabs/Companion/CompanionpreviewPanel.prefab		LAYER_NORMAL	Xem trước rút thẻ	1					NormalOpen	NormalClose	1
TeamBattlePanel	UI/Prefabs/Calendar/StarTowerPanel.prefab		LAYER_NORMAL	Giao diện báo danh Thông Thiên Tháp	1							1
TeamBattleInfo	UI/Prefabs/Calendar/StarTowerBattleInfo.prefab		LAYER_NORMAL	Điểm số Thông Thiên Tháp								
TeamBattleAccount	UI/Prefabs/Calendar/StarTowerAccount.prefab		LAYER_NORMAL	Giao diện Thông Thiên Tháp	1					ShengLiSuaDongHua		
