NpcType	ChatID	Faction	Sex	ActionEvent	Desc
-1	4	6	2	10067	Nữ Tiêu Chuẩn
-1	4	7	1	10066	Nam Cường Tráng
-1	4	8	2	10067	Nữ Tiêu Chuẩn
-1	4	9	1	10066	Nam Tiêu Chuẩn
-1	4	10	1	10066	Nam Cường Tráng
-1	4	10	2	10067	Nữ Tiêu Chuẩn
-1	4	11	1	10066	Nam Cường Tráng
-1	4	12	2	10068	Nữ Loli
-1	4	13	1	10066	Nam Tiêu Chuẩn
-1	4	14	2	10067	Nữ Tiêu Chuẩn
-1	4	15	1	10066	Nam Tiêu Chuẩn
-1	4	15	2	10067	Nữ Tiêu Chuẩn
-1	4	16	1	10066	Nam Cường Tráng
-1	4	16	2	10068	Nữ Loli
-1	4	17	1	10066	Nam Tiêu Chuẩn
-1	4	17	2	10067	Nữ Tiêu Chuẩn
-1	4	18	1	10066	Nam Tiêu Chuẩn
-1	4	18	2	10067	Nữ Tiêu Chuẩn
-1	4	19	1	10066	Nam Tiêu Chuẩn
-1	4	19	2	10068	Nữ Loli
-1	5	1	1	10069	Nam Cường Tráng
-1	5	1	2	10071	Nữ Loli
-1	5	2	2	10070	Nữ Tiêu Chuẩn
-1	5	3	2	10071	Nữ Loli
-1	5	4	1	10072	Nam Tiêu Chuẩn
-1	5	4	2	10070	Nữ Tiêu Chuẩn
-1	5	5	1	10072	Nam Tiêu Chuẩn
-1	5	5	2	10070	Nữ Tiêu Chuẩn
-1	5	6	2	10070	Nữ Tiêu Chuẩn
-1	5	7	1	10069	Nam Cường Tráng
-1	5	8	2	10070	Nữ Tiêu Chuẩn
-1	5	9	1	10072	Nam Tiêu Chuẩn
-1	5	10	1	10069	Nam Cường Tráng
-1	5	10	2	10070	Nữ Tiêu Chuẩn
-1	5	11	1	10069	Nam Cường Tráng
-1	5	12	2	10071	Nữ Loli
-1	5	13	1	10072	Nam Tiêu Chuẩn
-1	5	14	2	10070	Nữ Tiêu Chuẩn
-1	5	15	1	10072	Nam Tiêu Chuẩn
-1	5	15	2	10070	Nữ Tiêu Chuẩn
-1	5	16	1	10069	Nam Cường Tráng
-1	5	16	2	10071	Nữ Loli
-1	5	17	1	10072	Nam Tiêu Chuẩn
-1	5	17	2	10070	Nữ Tiêu Chuẩn
-1	5	18	1	10072	Nam Tiêu Chuẩn
-1	5	18	2	10070	Nữ Tiêu Chuẩn
-1	5	19	1	10072	Nam Tiêu Chuẩn
-1	5	19	2	10071	Nữ Loli
