NamePrefixId	Name	Emotion	Sort	Desc
53	GoodVoice_40	#902	26	Tiền tố trò chuyện: Đào Hoa Cường Thanh
54	GoodVoice_41	#903	26	Tiền tố trò chuyện: Tiêu Dao Cường Thanh
55	GoodVoice_42	#904	26	Tiền tố trò chuyện: Nga Mi Cường Thanh
56	GoodVoice_43	#905	26	Tiền tố trò chuyện: Thiên Vương Cường Thanh
57	GoodVoice_44	#906	27	Tiền tố trò chuyện: Hương Cảng Hảo Thanh
58	GoodVoice_45	#907	27	Tiền tố trò chuyện: Đông Bắc Hảo Thanh
59	GoodVoice_46	#908	27	Tiền tố trò chuyện: Tây Nam Hảo Thanh
60	GoodVoice_47	#909	27	Tiền tố trò chuyện: Tây Bắc Hảo Thanh
61	GoodVoice_48	#910	27	Tiền tố trò chuyện: Hoa Bắc Hảo Thanh
62	GoodVoice_49	#911	27	Tiền tố trò chuyện: Hoa Trung Hảo Thanh
63	GoodVoice_50	#912	27	Tiền tố trò chuyện: Hoa Nam Hảo Thanh
64	GoodVoice_51	#913	27	Tiền tố trò chuyện: Hoa Đông Hảo Thanh
65	GoodVoice_52	#914	28	Tiền tố trò chuyện: Hương Cảng Cường Thanh
66	GoodVoice_53	#915	28	Tiền tố trò chuyện: Đông Bắc Cường Thanh
67	GoodVoice_54	#916	28	Tiền tố trò chuyện: Tây Nam Cường Thanh
68	GoodVoice_55	#917	28	Tiền tố trò chuyện: Tây Bắc Cường Thanh
69	GoodVoice_56	#918	28	Tiền tố trò chuyện: Hoa Bắc Cường Thanh
70	GoodVoice_57	#919	28	Tiền tố trò chuyện: Hoa Trung Cường Thanh
71	GoodVoice_58	#920	28	Tiền tố trò chuyện: Hoa Nam Cường Thanh
72	GoodVoice_59	#921	28	Tiền tố trò chuyện: Hoa Đông Cường Thanh
73	GoodVoice_63	#865	11	Tiền tố trò chuyện: Lời Hứa Ngàn Vàng
74	BeautyFinalSecond	#864	2	Võ Lâm Đệ Nhị Mỹ Nhân
75	BeautyFinalThird	#863	2	Võ Lâm Đệ Tam Mỹ Nhân
