Level	Layer	EquipPos	StoneId1	StoneId2	StoneId3	StoneId4	StoneId5	StoneId6	StoneId7	desc	desc2
40	1	6	1855	1855	1775					Hộ Thân Phù	3 Lv3
40	2	0	1880	1880	1788					Đầu	3 Lv3
40	2	1	1854	1854	1773					Áo	3 Lv3
40	2	2	1863	1863	1805					Đai	3 Lv3
40	2	5	1870	1870	1797					Hộ Uyển	3 Lv3
40	2	4	1864	1864	1839					Giày	3 Lv3
40	2	3	1876	1876	1838					Vũ Khí	3 Lv3
40	2	8	1850	1850	1806					Dây Chuyền	3 Lv3
40	2	7	1879	1879	1800					Nhẫn	3 Lv3
40	2	9	1872	1872	1803					Ngọc Bội	3 Lv3
40	2	6	1855	1855	1775					Hộ Thân Phù	3 Lv3
40	3	0	1866	1866	1866					Đầu	3 Lv4
40	3	1	1851	1851	1851					Áo	3 Lv4
40	3	2	1883	1883	1883					Đai	3 Lv4
40	3	5	1875	1875	1875					Hộ Uyển	3 Lv4
40	3	4	1917	1917	1917					Giày	3 Lv4
40	3	3	1916	1916	1916					Vũ Khí	3 Lv4
40	3	8	1884	1884	1884					Dây Chuyền	3 Lv4
40	3	7	1878	1878	1878					Nhẫn	3 Lv4
40	3	9	1881	1881	1881					Ngọc Bội	3 Lv4
40	3	6	1853	1853	1853					Hộ Thân Phù	3 Lv4
50	1	1	1851	1851	1851					Áo	3 Lv4
50	1	2	1883	1883	1883					Đai	3 Lv4
50	1	5	1875	1875	1875					Hộ Uyển	3 Lv4
50	1	4	1917	1917	1917					Giày	3 Lv4
50	1	3	1916	1916	1916					Vũ Khí	3 Lv4
50	1	8	1884	1884	1884					Dây Chuyền	3 Lv4
50	1	7	1878	1878	1878					Nhẫn	3 Lv4
50	1	9	1881	1881	1881					Ngọc Bội	3 Lv4
50	1	6	1853	1853	1853					Hộ Thân Phù	3 Lv4
50	2	1	1851	1851	1851					Áo	3 Lv4
50	2	2	1883	1883	1883					Đai	3 Lv4
50	2	5	1875	1875	1875					Hộ Uyển	3 Lv4
50	2	4	1917	1917	1917					Giày	3 Lv4
50	2	3	1916	1916	1916					Vũ Khí	3 Lv4
50	2	8	1884	1884	1884					Dây Chuyền	3 Lv4
50	2	7	1878	1878	1878					Nhẫn	3 Lv4
50	2	9	1881	1881	1881					Ngọc Bội	3 Lv4
50	2	6	1853	1853	1853					Hộ Thân Phù	3 Lv4
50	3	1	1851	1851	1851	1851				Áo	3 Lv4
50	3	2	1883	1883	1883	1883				Đai	3 Lv4
50	3	5	1875	1875	1875	1875				Hộ Uyển	3 Lv4
50	3	4	1917	1917	1917	1917				Giày	3 Lv4
50	3	3	1916	1916	1916	1916				Vũ Khí	3 Lv4
50	3	8	1884	1884	1884	1884				Dây Chuyền	3 Lv4
50	3	7	1878	1878	1878	1878				Nhẫn	3 Lv4
50	3	9	1881	1881	1881	1881				Ngọc Bội	3 Lv4
50	3	6	1853	1853	1853	1853				Hộ Thân Phù	3 Lv4
80	1	0	2533	2668	1814	1845				Đầu	4 Lv4
80	1	1	2529	2825	1791	1810				Áo	4 Lv4
80	1	2	2535	1812	1846	1860				Đai	4 Lv4
80	1	5	1813	1842	1754	1755				Hộ Uyển	4 Lv4
80	1	4	2532	2672	1844	1847				Giày	4 Lv4
80	1	3	2528	1808	1827	1828				Vũ Khí	4 Lv4
80	1	8	2531	2674	2824	1821				Dây Chuyền	4 Lv4
80	1	7	2534	1809	1840	1878				Nhẫn	4 Lv4
80	1	9	2530	2673	2826	1817				Ngọc Bội	4 Lv4
80	1	6	1756	2536	2696	1807				Hộ Thân Phù	4 Lv4
80	2	0	2533	2668	1814	1845	1866			Đầu	5 Lv4
80	2	1	2529	2825	1791	1810	1867			Áo	5 Lv4
80	2	2	2535	1812	1846	1860	1861			Đai	5 Lv4
80	2	5	1813	1842	1754	1755	1757			Hộ Uyển	5 Lv4
80	2	4	2532	2672	1844	1847	1900			Giày	5 Lv4
80	2	3	2528	1808	1827	1828	1829			Vũ Khí	5 Lv4
80	2	8	2531	2674	2824	1821	1848			Dây Chuyền	5 Lv4
80	2	7	2534	1809	1809	1840	1878			Nhẫn	5 Lv4
80	2	9	2530	2673	2826	1817	1841			Ngọc Bội	5 Lv4
80	2	6	1756	2536	2696	1807	1811			Hộ Thân Phù	5 Lv4
80	3	0	2542	2669	1892	1923	1866			Đầu	5 cái Lv5
80	3	1	2538	2830	1869	1888	1867			Áo	5 cái Lv5
80	3	2	2544	1890	1924	1860	1861			Đai	5 cái Lv5
80	3	5	1891	1920	1832	1833	1835			Hộ Uyển	5 cái Lv5
80	3	4	2541	2675	1922	1926	1900			Giày	5 cái Lv5
80	3	3	2537	1886	1905	1906	1907			Vũ Khí	5 cái Lv5
80	3	8	2540	2677	2829	1899	1925			Dây Chuyền	5 cái Lv5
80	3	7	2543	1887	1887	1918	1918			Nhẫn	5 cái Lv5
80	3	9	2539	2676	2831	1895	1919			Ngọc Bội	5 cái Lv5
80	3	6	1834	2545	2697	1885	1889			Hộ Thân Phù	5 cái Lv5
100	1	0	2533	2668	1814	1845	1866			Đầu	5 Lv4
100	1	1	2529	2825	1791	1810	1867			Áo	5 Lv4
100	1	2	2535	1812	1846	1860	1861			Đai	5 Lv4
100	1	5	1754	1755	1757	1758	1759			Hộ Uyển	5 Lv4
100	1	4	2532	2672	1844	1847	3215			Giày	5 Lv4
100	1	3	2528	1808	1827	1828	1829			Vũ Khí	5 Lv4
100	1	8	2531	2674	2824	1821	1848			Dây Chuyền	5 Lv4
100	1	7	2534	1809	3216	1840	2880			Nhẫn	5 Lv4
100	1	9	2530	2673	2826	1817	1841			Ngọc Bội	5 Lv4
100	1	6	1756	2536	2696	1807	1811			Hộ Thân Phù	5 Lv4
100	2	0	2542	2669	1814	1845	1866			Đầu	2 Lv5 + 3 Lv4
100	2	1	2538	2830	1791	1810	1867			Áo	2 Lv5 + 3 Lv4
100	2	2	2544	1890	1846	1860	1861			Đai	2 Lv5 + 3 Lv4
100	2	5	1832	1833	1757	1758	1759			Hộ Uyển	2 Lv5 + 3 Lv4
100	2	4	2541	2675	1844	1847	3215			Giày	2 Lv5 + 3 Lv4
100	2	3	2537	1886	1827	1828	1829			Vũ Khí	2 Lv5 + 3 Lv4
100	2	8	2540	2677	2824	1821	1848			Dây Chuyền	2 Lv5 + 3 Lv4
100	2	7	2543	1887	3216	1840	2880			Nhẫn	2 Lv5 + 3 Lv4
100	2	9	2539	2676	2826	1817	1841			Ngọc Bội	2 Lv5 + 3 Lv4
100	2	6	1834	2545	2696	1807	1811			Hộ Thân Phù	2 Lv5 + 3 Lv4
100	3	0	2542	2669	1892	1923	3375	2827		Đầu	6 Lv5
100	3	1	2538	2830	1869	1888	3023	1888		Áo	6 Lv5
100	3	2	2544	1890	1924	3374	2883	2828		Đai	6 Lv5
100	3	5	1832	1833	1835	1836	1837	3220		Hộ Uyển	6 Lv5
100	3	4	2541	2675	1922	1926	3218	3710		Giày	6 Lv5
100	3	3	2537	1886	1905	1906	1907	1908		Vũ Khí	6 Lv5
100	3	8	2540	2677	2829	1899	1925	1925		Dây Chuyền	6 Lv5
100	3	7	2543	1887	1918	3219	2882	1918		Nhẫn	6 Lv5
100	3	9	2539	2676	2831	1895	1919	1921		Ngọc Bội	6 Lv5
100	3	6	1834	2545	2697	1885	1889	2851		Hộ Thân Phù	6 Lv5
110	1	0	2533	2668	1814	1845	1866	3372		Đầu	6 Lv4
110	1	1	2529	2825	1791	1810	1867	3022		Áo	6 Lv4
110	1	2	2535	1812	1846	1860	1861	2881		Đai	6 Lv4
110	1	5	1754	1755	1757	1758	1759	3217		Hộ Uyển	6 Lv4
110	1	4	2532	2672	1844	1847	3215	3709		Giày	6 Lv4
110	1	3	2528	1808	1827	1828	1829	1826		Vũ Khí	6 Lv4
110	1	8	2540	2677	2829	1821	1848	1848		Dây Chuyền	6 Lv4
110	1	7	2534	1809	3216	1840	2880	1840		Nhẫn	6 Lv4
110	1	9	2530	2673	2826	1817	1841	1843		Ngọc Bội	6 Lv4
110	1	6	1756	2536	2696	1807	1811	2849		Hộ Thân Phù	6 Lv4
110	2	0	2542	2669	1892	1845	1866	3372		Đầu	3 Lv5 + 3 Lv4
110	2	1	2538	2830	1869	1810	1867	3022		Áo	3 Lv5 + 3 Lv4
110	2	2	2544	1890	1924	1860	1861	2881		Đai	3 Lv5 + 3 Lv4
110	2	5	1832	1833	1835	1758	1759	3217		Hộ Uyển	3 Lv5 + 3 Lv4
110	2	4	2541	2675	1922	1847	3215	3709		Giày	3 Lv5 + 3 Lv4
110	2	3	2537	1886	1905	1828	1829	1826		Vũ Khí	3 Lv5 + 3 Lv4
110	2	8	2531	2674	2824	1821	1848	1848		Dây Chuyền	3 Lv5 + 3 Lv4
110	2	7	2543	1887	1918	1840	2880	1840		Nhẫn	3 Lv5 + 3 Lv4
110	2	9	2539	2676	2831	1817	1841	1843		Ngọc Bội	3 Lv5 + 3 Lv4
110	2	6	1834	2545	2697	1807	1811	2849		Hộ Thân Phù	3 Lv5 + 3 Lv4
110	3	0	2551	2669	1892	1923	3375	2827	1923	Đầu	1 Lv6 + 6 Lv5
110	3	1	2547	2830	1869	1888	3023	1888	1888	Áo	1 Lv6 + 6 Lv5
110	3	2	2553	1890	1924	3374	2883	2828	1924	Đai	1 Lv6 + 6 Lv5
110	3	5	1832	1833	1835	1836	1837	1891	3223	Hộ Uyển	1 Lv6 + 6 Lv5
110	3	4	2550	2675	1922	1926	3218	3710	1926	Giày	1 Lv6 + 6 Lv5
110	3	3	2546	1886	1905	1906	1907	1908	1909	Vũ Khí	1 Lv6 + 6 Lv5
110	3	8	2549	2677	2829	1899	1925	1925	1925	Dây Chuyền	1 Lv6 + 6 Lv5
110	3	7	2552	1887	1918	3219	2882	1918	1918	Nhẫn	1 Lv6 + 6 Lv5
110	3	9	2548	2676	2831	1895	1919	1921	1919	Ngọc Bội	1 Lv6 + 6 Lv5
110	3	6	1912	2545	2697	1885	1889	2851	1885	Hộ Thân Phù	1 Lv6 + 6 Lv5
120	1	0	2533	2668	1814	1845	1866	3372	1866	Đầu	7 Lv4
120	1	1	2529	2825	1791	1810	1867	3022	1810	Áo	7 Lv4
120	1	2	2535	1812	1846	1860	1861	2881	1846	Đai	7 Lv4
120	1	5	1754	1755	1757	1758	1759	1813	3217	Hộ Uyển	7 Lv4
120	1	4	2532	2672	1844	1847	3215	3709	1847	Giày	7 Lv4
120	1	3	2528	1808	1827	1828	1829	1830	1831	Vũ Khí	7 Lv4
120	1	8	2531	2674	2824	1821	1848	1848	1848	Dây Chuyền	7 Lv4
120	1	7	2534	1809	3216	1840	2880	1840	1840	Nhẫn	7 Lv4
120	1	9	2530	2673	2826	1817	1841	1843	1841	Ngọc Bội	7 Lv4
120	1	6	1756	2536	2696	1807	1811	2849	1807	Hộ Thân Phù	7 Lv4
120	2	0	2542	2669	1892	1923	1866	3372	1866	Đầu	4 Lv5 + 3 Lv4
120	2	1	2538	2830	1869	1888	1867	3022	1810	Áo	4 Lv5 + 3 Lv4
120	2	2	2544	1890	1924	3374	1861	2881	1846	Đai	4 Lv5 + 3 Lv4
120	2	5	1832	1833	1835	1836	1759	1813	3217	Hộ Uyển	4 Lv5 + 3 Lv4
120	2	4	2541	2675	1922	1926	3215	3709	1847	Giày	4 Lv5 + 3 Lv4
120	2	3	2537	1886	1905	1906	1829	1830	1831	Vũ Khí	4 Lv5 + 3 Lv4
120	2	8	2540	2677	2829	1899	1848	1848	1848	Dây Chuyền	4 Lv5 + 3 Lv4
120	2	7	2543	1887	1918	3219	2880	1840	1840	Nhẫn	4 Lv5 + 3 Lv4
120	2	9	2539	2676	2831	1895	1841	1843	1841	Ngọc Bội	4 Lv5 + 3 Lv4
120	2	6	1834	2545	2697	1885	1811	2849	1807	Hộ Thân Phù	4 Lv5 + 3 Lv4
120	3	0	2551	2670	1892	1923	3375	2827	1923	Đầu	2 Lv6 + 5 Lv5
120	3	1	2547	2835	1869	1888	3023	1888	1888	Áo	2 Lv6 + 5 Lv5
120	3	2	2553	1890	1924	3374	2885	2828	1924	Đai	2 Lv6 + 5 Lv5
120	3	5	1910	1833	1835	1836	1837	1891	3223	Hộ Uyển	2 Lv6 + 5 Lv5
120	3	4	2550	2678	1922	1926	3218	3710	1926	Giày	2 Lv6 + 5 Lv5
120	3	3	2546	2852	1904	1906	1907	1908	1909	Vũ Khí	2 Lv6 + 5 Lv5
120	3	8	2549	2680	2829	1899	1925	1925	1925	Dây Chuyền	2 Lv6 + 5 Lv5
120	3	7	2552	1887	1918	3222	2882	1918	1918	Nhẫn	2 Lv6 + 5 Lv5
120	3	9	2548	2679	2831	1895	1919	1921	1919	Ngọc Bội	2 Lv6 + 5 Lv5
120	3	6	1912	2554	2697	1885	1889	2851	1885	Hộ Thân Phù	2 Lv6 + 5 Lv5
