Desc	ActEventID	EventType	Frame	EventName	EventParam1	EventParam2	EventParam3	EventParam4	EventParam5	EventParamStr
Npc ra trận (Tô Mặc Vân) 	900005	2	10	PlayShake	150	100	1	1	1	
Npc ra trận (Tô Mặc Vân) 	900005	2	10	PlayEffect	9015					
Npc ra trận (Tô Mặc Vân) 	900005	2	10	CastSkill	1515	1				
Npc ra trận (Tô Mặc Vân) 	900005	3		Protected	0					
Npc ra trận (Tô Mặc Vân) 	900005	3		HeadUIVisable	1					
Npc ra trận (Trương Trọng Thiên) 	900006	1		ChangeAct	29					
Npc ra trận (Trương Trọng Thiên) 	900006	1		CrossFade	1					
Npc ra trận (Trương Trọng Thiên) 	900006	1		Protected	1					
Npc ra trận (Trương Trọng Thiên) 	900006	1		HeadUIVisable	0					
Npc ra trận (Trương Trọng Thiên) 	900006	2	6	Protected	0					
Npc ra trận (Trương Trọng Thiên) 	900006	2	7	PlayShake	150	100	1	1	1	
Npc ra trận (Trương Trọng Thiên) 	900006	2	132	PlayEffect	9015					
Npc ra trận (Trương Trọng Thiên) 	900006	2	7	CastSkill	1515	1				
Npc ra trận (Trương Trọng Thiên) 	900006	3		HeadUIVisable	1					
Npc ra trận (Trương Trọng Thiên) 	900006	3		CrossFade	1					
Npc ra trận (Kiếm Khách Thần Bí) 	900007	1		ChangeAct	6					
Npc ra trận (Kiếm Khách Thần Bí) 	900007	1		CrossFade	1					
Npc ra trận (Kiếm Khách Thần Bí) 	900007	1		Protected	1					
Npc ra trận (Kiếm Khách Thần Bí) 	900007	2	6	Protected	0					
Npc ra trận (Kiếm Khách Thần Bí) 	900007	2	7	PlayShake	150	100	1	1	1	
Npc ra trận (Kiếm Khách Thần Bí) 	900007	2	4	PlayEffect	9055					
Npc ra trận (Kiếm Khách Thần Bí) 	900007	2	15	PlayEffect	9054					
Npc ra trận (Kiếm Khách Thần Bí) 	900007	2	18	PlayEffect	9056					
Npc ra trận (Kiếm Khách Thần Bí) 	900007	2	7	CastSkill	1515	1				
Npc ra trận (Kiếm Khách Thần Bí) 	900007	3		CrossFade	1					
Npc001_at01	900101	2	8	CastSkill						
Npc004_at01	900401	2	5	PlayEffect						
Npc004_at01	900401	2	9	CastSkill						
Npc008_at01	900801	2	7	CastSkill						
Npc014_at01	901401	2	5	CastSkill						
Npc023_at01	902301	2	5	CastSkill						
Npc024_at01	902401	2	2	PlayEffect						
Npc024_at01	902401	2	6	CastSkill						
Npc025_at01	902501	2	6	CastSkill						
Khô Lâu Nhỏ_at01	911001	2	16	CastSkill						
Khinh Công Thiên Vương	7	1		PlaySound	2001					
Khinh Công Thiên Vương	7	1		PlayEffect	5				15	
Khinh Công Thiên Vương	7	3		DoCommonAct	30	1015				
Khinh Công Thiên Vương	7	2	16	ClearEffect	5					
Khinh Công Nga Mi	8	1		PlaySound	2002					
Khinh Công Nga Mi	8	1		PlayEffect	5				15	
Khinh Công Nga Mi	8	3		DoCommonAct	30	1016				
Khinh Công Nga Mi	8	2	16	ClearEffect	5					
Khinh Công Đào Hoa	9	1		PlaySound	2003					
Khinh Công Đào Hoa	9	1		PlayEffect	5				15	
Khinh Công Đào Hoa	9	3		DoCommonAct	30	1017				
Khinh Công Đào Hoa	9	2	16	ClearEffect	5					
Khinh Công Tiêu Dao	10	1		PlaySound	2004					
Khinh Công Tiêu Dao	10	1		PlayEffect	5				15	
Khinh Công Tiêu Dao	10	3		DoCommonAct	30	1018				
Khinh Công Tiêu Dao	10	2	16	ClearEffect	5					
Khinh Công Thiên Vương-Lướt Qua	11	1		PlaySound	2001					
Khinh Công Thiên Vương-Lướt Qua	11	1		PlayEffect	5					
Khinh Công Thiên Vương-Lướt Qua	11	1		ShadowActive	0					
Khinh Công Thiên Vương-Lướt Qua	11	3		ClearEffect	5					
Khinh Công Thiên Vương-Lướt Qua	11	3		ShadowActive	1					
Khinh Công Nga Mi-Lướt Qua	12	1		PlaySound	2002					
Khinh Công Nga Mi-Lướt Qua	12	1		PlayEffect	5					
Khinh Công Nga Mi-Lướt Qua	12	1		ShadowActive	0					
Khinh Công Nga Mi-Lướt Qua	12	3		ClearEffect	5					
Khinh Công Nga Mi-Lướt Qua	12	3		ShadowActive	1					
Khinh Công Đào Hoa-Lướt Qua	13	1		PlaySound	2003					
Khinh Công Đào Hoa-Lướt Qua	13	1		PlayEffect	5					
Khinh Công Đào Hoa-Lướt Qua	13	1		ShadowActive	0					
Khinh Công Đào Hoa-Lướt Qua	13	3		ClearEffect	5					
Khinh Công Đào Hoa-Lướt Qua	13	3		ShadowActive	1					
Khinh Công Tiêu Dao-Lướt Qua	14	1		PlaySound	2004					
Khinh Công Tiêu Dao-Lướt Qua	14	1		PlayEffect	5					
Khinh Công Tiêu Dao-Lướt Qua	14	1		ShadowActive	0					
Khinh Công Tiêu Dao-Lướt Qua	14	3		ClearEffect	5					
Khinh Công Tiêu Dao-Lướt Qua	14	3		ShadowActive	1					
Khinh Công Thiên Vương chạm đất	1015	1		CrossFade	1000					
Khinh Công Thiên Vương chạm đất	1015	2	1	PlayEffect	1010					
Khinh Công Thiên Vương chạm đất	1015	2	4	CanDoRun						
Khinh Công Thiên Vương chạm đất	1015	3		CrossFade	850					
Khinh Công Nga Mi-Chạm Đất	1016	1		CrossFade	1000					
Khinh Công Nga Mi-Chạm Đất	1016	2	1	PlayEffect	1010					
Khinh Công Nga Mi-Chạm Đất	1016	2	4	CanDoRun						
Khinh Công Nga Mi-Chạm Đất	1016	3		CrossFade	850					
Khinh Công Đào Hoa-Chạm Đất	1017	1		CrossFade	1000					
Khinh Công Đào Hoa-Chạm Đất	1017	2	1	PlayEffect	1010					
Khinh Công Đào Hoa-Chạm Đất	1017	2	4	CanDoRun						
Khinh Công Đào Hoa-Chạm Đất	1017	3		CrossFade	800					
Khinh Công Tiêu Dao chạm đất	1018	1		CrossFade	1000					
Khinh Công Tiêu Dao chạm đất	1018	2	1	PlayEffect	1010					
Khinh Công Tiêu Dao chạm đất	1018	2	4	CanDoRun						
Khinh Công Tiêu Dao chạm đất	1018	3		CrossFade	500					
Thường dùng khinh công chạm đất	15	1		CrossFade	1000					
Thường dùng khinh công chạm đất	15	3		CrossFade	500					
Test nhảy lắc trước lắc sau	16	1		PlayEffect						
Test nhảy lắc trước lắc sau	16	2		PlayEffect	10					
Test nhảy lắc trước lắc sau	16	2	14	CastSkill	14					
Test nhảy lắc trước lắc sau	16	2	9	PlayShake	10	4000	2			
Test nhảy lắc trước lắc sau	16	3		UnbindEffect	10					
Thử Nhảy Lắc Trước Lắc Sau_Phụ	17	1		CastSkill	14					
Thử Nhảy Lắc Trước Lắc Sau_Phụ	17	2	5	PlayShake	50	4000	2			
Thử Nhảy Lắc Trước Lắc Sau_Phụ	17	3		UnbindEffect	10					
Báo Động Đỏ	19	1		CastSkill	19					
Báo Động Đỏ_Phụ 1	20	1		CastSkill	20					
Báo Động Đỏ_Phụ 1	20	1		CastSkill	18					
Báo Động Đỏ_Phụ 2	18	1		CastSkill	18					
npc-Đánh đơn cận chiến1	21	2	5	CastSkill	21					
npc-Đánh đơn cận chiến 2	22	2	5	CastSkill	22					
npc-Đánh nhóm cận chiến 1	23	2	5	CastSkill	23					
npc-Đánh nhóm cận chiến 1	23	2	5	PlayEffect	23					
Khô Lâu Vương Đao Quang	90	1		PlayEffect	90					
Khô Lâu Vương Đao Quang	90	2	17	CastSkill	90					
Khô Lâu Vương Đao Quang	90	3		UnbindEffect	90					
Khô Lâu Vương Xung Kích	92	1		CastSkill	92					
Khô Lâu Vương Xung Kích	92	3		DoCommonAct	7			15		
Khô Lâu Vương Giảo Sát	93	2	12	CastSkill	93					
Khô Lâu Vương Giảo Sát	93	2	26	CastSkill	94					
Khô Lâu Vương Giảo Sát	93	3		DoCommonAct	7			15		
Báo động đỏ thường_Bán kính 4.9m	95	1		CastSkill	95					
Báo động đỏ thường_Chữ nhật 8x2m	96	1		CastSkill	96					
Báo động đỏ thường_Hình quạt 90 độ 3m	97	1		CastSkill	97					
Khô Lâu Vương_Báo Động Đỏ_Bán kính 4.9m	98	1		DoCommonAct	7	95		12		
Khô Lâu Vương_Báo Động Đỏ_Hình Chữ Nhật 8x2m	99	1		DoCommonAct	7	96		23		
Thử Nghiệm-Đánh Bay	101	1		CrossFade	1					
Thử Nghiệm-Đánh Bay	101	1		InstantDir	1000					
Thử Nghiệm-Đánh Bay	101	1		CastSkill	101					
Thử Nghiệm-Tử Vong Đặc Biệt-Đóng Băng	102	1		CrossFade	1					
Thử Nghiệm-Tử Vong Đặc Biệt-Đóng Băng	102	1		InstantDir	1000					
Thử Nghiệm-Tử Vong Đặc Biệt-Đóng Băng	102	1		CastSkill	102					
Chùy Kích	110	1		CrossFade	1					
Chùy Kích	110	1		InstantDir	1000					
Chùy Kích	110	2	4	CastSkill	110					
Chùy Kích	110	2	0	PlayEffect	9091					
Man Hoành Bá Đạo	109	1		CrossFade	1					
Man Hoành Bá Đạo	109	1		InstantDir	1000					
Man Hoành Bá Đạo	109	1		CastSkill	111					
Man Hoành Bá Đạo	109	1		CastSkill	112					
Man Hoành Bá Đạo	109	1		PlayEffect						
Man Hoành Bá Đạo	109	3		ClearEffect						
Man Hoành Bá Đạo	109	3		DoCommonAct	7			20		
Man Hoành Bá Đạo_Sát thương	111	1		CastSkill	111					
Thần Lực	113	1		CrossFade	1					
Thần Lực	113	1		InstantDir	1000					
Thần Lực	113	1		PlayEffect	513					
Thần Lực	113	2	6	CastSkill	113					
Thần Lực	113	3		UnbindEffect	513					
Khải Giáp Thép	114	1		CastSkill	114					
Khải Giáp Thép	114	1		PlayEffect	6213					
Vạn Tượng Thiên Dẫn	115	1		CrossFade	1					
Vạn Tượng Thiên Dẫn	115	1		InstantDir	1000					
Vạn Tượng Thiên Dẫn	115	2	5	CastSkill	115					
Vạn Tượng Thiên Dẫn	115	2		PlayEffect	212					
Vạn Tượng Thiên Dẫn	115	3		UnbindEffect	212					
Vạn Tượng Thiên Dẫn_Phụ	116	1		CastSkill	116					
Kiếm Kích	117	1		CrossFade	1					
Kiếm Kích	117	1		InstantDir	1000					
Kiếm Kích	117	2	4	CastSkill	117					
Kiếm Kích	117	2	0	PlayEffect	117					
Xà Hạc Quyền	118	1		CrossFade	1					
Xà Hạc Quyền	118	1		InstantDir	1000					
Xà Hạc Quyền	118	2	1	CastSkill	118					
Xà Hạc Quyền	118	2		PlayEffect	118					
Xà Hạc Quyền	118	3		UnbindEffect	212					
Cuồng Kiếm Quyết	119	2	3	CastSkill	119					
Cuồng Kiếm Quyết_Phụ 1	120	2	3	CastSkill	120					
Cuồng Kiếm Quyết_Phụ 2	121	2	6	CastSkill	121					
Kim Xà Kiếm Pháp	122	1		CrossFade	1					
Kim Xà Kiếm Pháp	122	1		InstantDir	1000					
Kim Xà Kiếm Pháp	122	2	4	CastSkill	122					
Kim Xà Kiếm Pháp	122	2	4	PlayEffect						
Kim Xà Kiếm Pháp_Phụ 1	123	1		CrossFade	1					
Kim Xà Kiếm Pháp_Phụ 1	123	1		InstantDir	1000					
Kim Xà Kiếm Pháp_Phụ 1	123	2	4	CastSkill	123					
Kim Xà Kiếm Pháp_Phụ 1	123	2	4	PlayEffect						
Kim Xà Kiếm Pháp_Phụ 2 	124	1		CrossFade	1					
Kim Xà Kiếm Pháp_Phụ 2 	124	1		InstantDir	1000					
Kim Xà Kiếm Pháp_Phụ 2 	124	2	4	CastSkill	124					
Kim Xà Kiếm Pháp_Phụ 2 	124	2	4	PlayEffect						
Thần Hành Bách Biến	125	1		PlayEffect	6507				10	
Thần Hành Bách Biến	125	1		CrossFade	1					
Thần Hành Bách Biến	125	1		InstantDir	1000					
Thần Hành Bách Biến_Phụ 1	126	1		RetsetPos						
Thần Hành Bách Biến_Phụ 1	126	1		CrossFade	1					
Thần Hành Bách Biến_Phụ 1	126	1		InstantDir	1000					
Thần Hành Bách Biến_Phụ 1	126	2	5	CastSkill	126					
Thần Hành Bách Biến_Phụ 2	127	2	3	PlayEffect	508					
Thần Hành Bách Biến_Phụ 2	127	3		CrossFade	1					
Thần Hành Bách Biến_Phụ 2	127	3		UnbindEffect	508					
Tiễn Thuật	129	1		CrossFade	1					
Tiễn Thuật	129	1		InstantDir	1000					
Tiễn Thuật	129	2	7	PlayEffect	6402					
Tiễn Thuật	129	2	7	CastSkill	129					
Tiễn Thuật	129	3		UnbindEffect	6401					
Tiễn Vô Hư Phát	130	1		CrossFade	1					
Tiễn Vô Hư Phát	130	1		InstantDir	1000					
Tiễn Vô Hư Phát	130	1		PlayEffect						
Tiễn Vô Hư Phát	130	2	7	CastSkill	130					
Tiễn Vô Hư Phát_Phụ	131	1		CrossFade	1					
Tiễn Vô Hư Phát_Phụ	131	1		InstantDir	1000					
Tiễn Vô Hư Phát_Phụ	131	1		CastSkill	131					
Liên Hoàn Tiễn	132	1		CrossFade	1					
Liên Hoàn Tiễn	132	1		InstantDir	1000					
Liên Hoàn Tiễn	132	1		PlayEffect						
Liên Hoàn Tiễn	132	2	3	CastSkill	132					
Liên Hoàn Tiễn	132	3		DoCommonAct	7			15		
Thiết Kỵ Đột Tập	133	1		CrossFade	1					
Thiết Kỵ Đột Tập	133	1		InstantDir	1000					
Thiết Kỵ Đột Tập	133	1		PlayEffect						
Thiết Kỵ Đột Tập	133	2	6	CastSkill	133					
Thiết Kỵ Đột Tập	133	3		DoCommonAct	7			15		
Vạn Tiễn Tề Phát	134	1		CrossFade	1					
Vạn Tiễn Tề Phát	134	1		InstantDir	1000					
Vạn Tiễn Tề Phát	134	1		PlayEffect	134					
Vạn Tiễn Tề Phát	134	1		CastSkill	134					
Vạn Tiễn Tề Phát	134	3		DoCommonAct	7			20		
Vạn Tiễn Tề Phát_Phụ	135	1		CrossFade	1					
Vạn Tiễn Tề Phát_Phụ	135	1		InstantDir	1000					
Vạn Tiễn Tề Phát_Phụ	135	1		CastSkill	135					
Phần Tinh Lạc Vũ	136	1		PlayEffect						
Phần Tinh Lạc Vũ	136	1		CastSkill						
Phần Tinh Lạc Vũ	136	3		DoCommonAct	7			30		
Thương Pháp	140	1		CrossFade	1					
Thương Pháp	140	1		InstantDir	1000					
Thương Pháp	140	2	3	CastSkill	140					
Thương Pháp	140	2	0	PlayEffect	501					
Sa Thải	141	1		CrossFade	1					
Sa Thải	141	1		InstantDir	1000					
Sa Thải	141	1		CastSkill	141					
Hoành Tảo Thiên Quân	142	1		CrossFade	1					
Hoành Tảo Thiên Quân	142	1		InstantDir	1000					
Hoành Tảo Thiên Quân	142	1		PlayEffect	513					
Hoành Tảo Thiên Quân	142	2	6	CastSkill	142					
Hoành Tảo Thiên Quân	142	3		UnbindEffect	513					
Quán Nhật Thương	143	1		CrossFade	1					
Quán Nhật Thương	143	1		InstantDir	1000					
Quán Nhật Thương	143	1		PlayEffect	510	1				
Quán Nhật Thương	143	2	2	CastSkill	144					
Quán Nhật Thương	143	3		ClearEffect	510					
Quán Nhật Thương_Phụ	144	1		CastSkill	144					
Thánh Thuẫn Hộ Thể	145	1		CastSkill	145					
Thánh Thuẫn Hộ Thể	145	1		PlayEffect	6213					
Cắn xé	146	2	5	CastSkill	146					
Tiềm Thổ Đột Thích	147	2	5	CastSkill	152					
Tiềm Thổ Đột Thích	147	2	6	CastSkill	147					
Lang Vương Địa Liệt	148	2	7	CastSkill	148					
Xé Toạc_Phụ 1	150	1		RetsetPos						
Xé Toạc_Phụ 1	150	1		CrossFade	1					
Xé Toạc_Phụ 1	150	1		InstantDir	1000					
Xé Toạc_Phụ 1	150	1		PlayEffect	508					
Xé Toạc_Phụ 1	150	2	6	CastSkill	150					
Xé Toạc_Phụ 2	151	2	3	PlayEffect	508					
Xé Toạc_Phụ 2	151	3		CrossFade	1					
Xé Toạc_Phụ 2	151	3		UnbindEffect	508					
Giác Kích	153	2	5	CastSkill	153					
Hàn Băng Xung Đỉnh	155	1		CrossFade	1					
Hàn Băng Xung Đỉnh	155	1		InstantDir	35					
Hàn Băng Xung Đỉnh	155	3		CastSkill	156					
Hàn Băng Xung Đỉnh	155	3		PlayEffect	156					
Hàn Băng Xung Đỉnh	155	3		UnbindEffect	156					
Hàn Băng Xung Đỉnh_Phụ	156	1		CastSkill	156					
Cắn xé	157	1		CrossFade	1					
Cắn xé	157	1		InstantDir	1000					
Cắn xé	157	2	5	CastSkill	146					
Liệt Diệm Bôn Tập	158	1		CrossFade	1					
Liệt Diệm Bôn Tập	158	1		InstantDir	35					
Liệt Diệm Bôn Tập	158	1		PlayEffect	206					
Liệt Diệm Bôn Tập	158	2	5	CastSkill	159					
Liệt Diệm Bôn Tập	158	3		UnbindEffect	206					
Liệt Diệm Bôn Tập_Phụ	159	1		CastSkill	159					
Vẫy Đuôi	160	1		CrossFade	1					
Vẫy Đuôi	160	1		InstantDir	1000					
Vẫy Đuôi	160	2	5	CastSkill	160					
Phong Nhẫn Vũ	162	1		CrossFade	1					
Phong Nhẫn Vũ	162	1		InstantDir	1000					
Phong Nhẫn Vũ	162	1		PlayEffect	513					
Phong Nhẫn Vũ	162	2	10	CastSkill	162					
Phong Nhẫn Vũ	162	3		UnbindEffect	513					
Ảnh Phong Trảm	163	1		CrossFade	1					
Ảnh Phong Trảm	163	1		InstantDir	1000					
Ảnh Phong Trảm	163	1		CastSkill	163					
Ảnh Phong Trảm	163	1		CastSkill	172					
Long Quyển Hô Khiếu	164	1		CrossFade	1					
Long Quyển Hô Khiếu	164	1		InstantDir	1000					
Long Quyển Hô Khiếu	164	2	6	CastSkill	164					
Thiên Hỏa Liệt Trảo	165	1		CrossFade	1					
Thiên Hỏa Liệt Trảo	165	1		InstantDir	1000					
Thiên Hỏa Liệt Trảo	165	2	6	CastSkill	165					
Lang Vương Địa Liệt_Hiệu quả	171	2	5	CastSkill	171					
Quần Thể Đao Trọng Kích	178	2	5	CastSkill	178					
Quần Thể Đao Trọng Kích	178	2	5	CastSkill	179					
Tự Nổ	181	1		CastSkill	181					
Tự Nổ	181	1		PlaySceneEffect	26					
Cung Tên	182	2	6	PlayEffect	3182					
Cung Tên	182	2	6	CastSkill	182					
Liệt Diệm Bôn Tập_Tụ Lực	185	1		CastSkill	185					
Liệt Diệm Bôn Tập_Tụ Lực	185	1		PlayEffect	9018					
Liệt Diệm Bôn Tập_Tụ Lực	185	3		ClearEffect	9018					
Liệt Diệm Bôn Tập	186	1		CrossFade	1					
Liệt Diệm Bôn Tập	186	1		InstantDir	1000					
Liệt Diệm Bôn Tập	186	1		CastSkill	187					
Liệt Diệm Bôn Tập	186	1		CastSkill	188					
Liệt Diệm Bôn Tập	186	3		DoCommonAct	7			20		
Liệt Diệm Bôn Tập_Sát thương	187	1		CastSkill	187					
Xung Phong	189	1		CrossFade	1					
Xung Phong	189	1		InstantDir	1000					
Xung Phong	189	1		CastSkill	190					
Xung Phong	189	1		PlayEffect	1330					
Xung Phong	189	3		ClearEffect	1330					
Xung Phong	189	3		DoCommonAct	7			20		
Xung Phong_Phụ	190	1		CastSkill	190					
Phi Nhẫn	191	1		CrossFade	1					
Phi Nhẫn	191	1		InstantDir	1000					
Phi Nhẫn	191	2	7	CastSkill	191					
Phi Nhẫn	191	3		DoCommonAct	7			20		
Thất Sát Địa Liệt	192	2	12	CastSkill	192					
Thất Sát Địa Liệt	192	3		DoCommonAct	7			20		
Thất Sát Sứ Đánh Thường	10194	1		DoCommonAct	16	194		20		
Thất Sát Sứ Đánh Thường	10194	3		CrossFade	1200					
Thất Sát Sứ Đánh Thường	194	2	5	CastSkill	194					
Phi Tiễn	196	2	5	CastSkill	196					
Thiên Vương Chùy Pháp	201	1		CrossFade	1					
Thiên Vương Chùy Pháp	201	1		InstantDir	1000					
Thiên Vương Chùy Pháp	201	1	0	LinkSkillInit	20	202				
Thiên Vương Chùy Pháp	201	2	1	CanDoSkill						
Thiên Vương Chùy Pháp	201	2	1	CastSkill	201					
Thiên Vương Chùy Pháp	201	1		PlayEffect	9091				3	
Thiên Vương Chùy Pháp	201	2	5	CanDoRun						
Thiên Vương Chùy Pháp	201	2	6	CastLinkSkill						
Thiên Vương Chùy Pháp	201	2	3	PlayShake	30	120	1	1		
Thiên Vương Chùy Pháp	201	2	4	MovePos	25	35	160			
Thiên Vương Chùy Pháp 2	202	1		CrossFade	1					
Thiên Vương Chùy Pháp 2	202	1		InstantDir	1000					
Thiên Vương Chùy Pháp 2	202	2	1	CanDoSkill						
Thiên Vương Chùy Pháp 2	202	2	1	CastSkill	202					
Thiên Vương Chùy Pháp 2	202	1	0	LinkSkillInit	20	203				
Thiên Vương Chùy Pháp 2	202	1		PlayEffect	9092				-1	
Thiên Vương Chùy Pháp 2	202	2	5	CanDoRun						
Thiên Vương Chùy Pháp 2	202	2	4	CastLinkSkill						
Thiên Vương Chùy Pháp 2	202	2	3	PlayShake	30	120	1	1		
Thiên Vương Chùy Pháp 2	202	2	3	MovePos	50	50	160			
Thiên Vương Chùy Pháp 3	203	1		CrossFade	1					
Thiên Vương Chùy Pháp 3	203	1		InstantDir	1000					
Thiên Vương Chùy Pháp 3	203	1	0	LinkSkillInit	20	204				
Thiên Vương Chùy Pháp 3	203	2	1	CanDoSkill						
Thiên Vương Chùy Pháp 3	203	2	1	CastSkill	203					
Thiên Vương Chùy Pháp 3	203	2	5	CanDoRun						
Thiên Vương Chùy Pháp 3	203	2	6	CastLinkSkill						
Thiên Vương Chùy Pháp 3	203	1		PlayEffect	9093				-1	
Thiên Vương Chùy Pháp 3	203	2	4	PlayShake	100	180	1	1		
Thiên Vương Chùy Pháp 3	203	2	3	MovePos	50	40	130			
Thiên Vương Chùy Pháp 4	204	1		CrossFade	500					
Thiên Vương Chùy Pháp 4	204	1		InstantDir	1000					
Thiên Vương Chùy Pháp 4	204	2	1	CanDoSkill						
Thiên Vương Chùy Pháp 4	204	2	3	CastSkill	204					
Thiên Vương Chùy Pháp 4	204	2	0	PlayEffect	9094				-1	
Thiên Vương Chùy Pháp 4	204	2	7	PlayShake	120	180	1	1		
Thiên Vương Chùy Pháp 4	204	2	8	CanDoRun						
Thiên Vương Chùy Pháp 4	204	2	5	MovePos	50	50	150			
Nhất Kích Sát Thần	206	1		CrossFade	1					
Nhất Kích Sát Thần	206	1		InstantDir	35					
Nhất Kích Sát Thần	206	1		PlayEffect	206				-1	
Nhất Kích Sát Thần	206	2	5	CastSkill	207					
