ActId	ActName	Des	HideWeapon	OrgRideName
67	f1bqst	Nữ Loli-Bị Nắm Tay-Đứng	1	
68	f1bqwlk	Nữ Loli-Bị Nắm Tay-Đi	1	
69	f1hst	Nữ Loli-Cùng Cưỡi-Đứng 1	1	hst
70	f1hrun	Nữ Loli-Cùng Cưỡi-Chạy 1	1	hrun
71	f1hst01	Nữ Loli-Cùng Cưỡi-Đứng 2	1	hst
72	f1hrun01	Nữ Loli-Cùng Cưỡi-Chạy 2	1	hrun
73	f1yb	Nữ Loli-Ôm	1	
74	f1ybst	Nữ Loli-Ôm-Đứng	1	
75	f1yb01	Nữ Loli-Được Ôm	1	
76	f1ybst01	Nữ Loli-Được Ôm-Đứng	1	
77	f1dance01	萝莉-双人舞蹈	1	
78	f1dance02	萝莉-双人舞蹈	1	
81	f2baost	Nữ Tiêu Chuẩn-Bồng-Đứng	1	
82	f2baowlk	Nữ Tiêu Chuẩn-Bồng-Đi	1	
83	f2bbaost	Nữ Tiêu Chuẩn-Được Bồng-Đứng	1	
84	f2bbaowlk	Nữ Tiêu Chuẩn-Được Bồng-Đi	1	
85	f2qst	Nữ Tiêu Chuẩn-Nắm Tay-Đứng	1	
86	f2qwlk	Nữ Tiêu Chuẩn-Nắm Tay-Đi	1	
87	f2bqst	Nữ Tiêu Chuẩn-Bị Nắm Tay-Đứng	1	
88	f2bqwlk	Nữ Tiêu Chuẩn-Bị Nắm Tay-Đi	1	
89	f2hst	Nữ Tiêu Chuẩn-Cùng Cưỡi-Đứng 1	1	hst
90	f2hrun	Nữ Tiêu Chuẩn-Cùng Cưỡi-Chạy 1	1	hrun
91	f2hst01	Nữ Tiêu Chuẩn-Cùng Cưỡi-Đứng 2	1	hst
92	f2hrun01	Nữ Tiêu Chuẩn-Cùng Cưỡi-Chạy 2	1	hrun
93	f2yb	Nữ Tiêu Chuẩn-Ôm	1	
94	f2ybst	Nữ Tiêu Chuẩn-Ôm-Đứng	1	
95	f2yb01	Nữ Tiêu Chuẩn-Được Ôm	1	
96	f2ybst01	Nữ Tiêu Chuẩn-Được Ôm-Đứng	1	
97	f2dance01	标女-双人舞蹈	1	
98	f2dance02	标女-双人舞蹈	1	
101	dance05	2019夏天婚纱舞蹈		
