Index	TemplateID	Name	Content	MapID	IntervalMin	IntervalMax	Duration	Distance	ActID	Action	Desc	nSoundId
Birthplace_npc3	419	Dương Ảnh Phong-Tân Thủ Thôn	Trở thành cao thủ đệ nhất thiên hạ quan trọng đến thế sao?	999	10	15	3	3				30301
Birthplace_npc3	419	Dương Ảnh Phong-Tân Thủ Thôn	「Liệt Hỏa Tinh Thiên」Nội lực không đủ, chiêu thức này có vẻ đặc biệt!	999	10	15	3	3				
Birthplace_npc14	1277	Thủ Lĩnh Ác Tặc-Tân Thủ Thôn	Muốn đi qua nơi này, phải nộp lộ phí.	999	10	15	3	3				
Birthplace_npc14	1277	Ác Tặc-Tân Thủ Thôn	Còn không mau lên?	999	10	15	3	3	16			
Birthplace_npc15	1278	Ác Tặc-Tân Thủ Thôn	Thơ hay! Đại ca quả nhiên văn võ song toàn!	999	10	15	3	3				
Wys_yme1	1005	Nguyệt My Nhi-Võ Di Sơn 1	Các ngươi do ai phái đến?	401	10	15	3	3				
Wys_yme1	1005	Nguyệt My Nhi-Võ Di Sơn 1	Hừ! Nếu để ta điều tra ra được thân phận của các ngươi, thì sẽ khó yên thân đấy!	401	10	15	3	3				
Wys_yme2	1006	Nguyệt My Nhi-Võ Di Sơn 2	Thanh Long, ngươi lại dám phạm thượng sao!	401	10	15	3	3				
Wys_yme2	1006	Nguyệt My Nhi-Võ Di Sơn 2	Ngươi tưởng đệ tử Phi Long Bảo sẽ tha cho các ngươi sao?	401	10	15	3	3				
Wys_npc1	1077	Mộc Thiên Nhiên-Võ Di Sơn	Đại tiểu thư, cô muốn chạy đi đâu?	401	10	15	3	3				
Wys_npc1	1077	Mộc Thiên Nhiên-Võ Di Sơn	Bớt phí sức đi, ngoan ngoãn theo ta về.	401	10	15	3	3				
Wys_npc2	1078	Đệ Tử Phi Long Bảo-Võ Di Sơn	Đừng chạy nữa, vô ích thôi.	401	10	15	3	3				
Wys_npc2	1078	Đệ Tử Phi Long Bảo-Võ Di Sơn	Đại tiểu thư quả là nữ trung hào kiệt, quyết không chịu cầu cứu.	401	10	15	3	3				
Wys_npc3	1059	Thanh Long Hộ Pháp-Võ Di Sơn	Thiếu trang chủ, giao「Võ Đạo Đức Kinh」ra đây, đừng ép bọn ta!	401	10	15	3	3				
Wys_npc3	1059	Thanh Long Hộ Pháp-Võ Di Sơn	Không phải ta cố chấp mà vì sức hấp dẫn của 「Võ Đạo Đức Kinh」quá lớn!	401	10	15	3	3				
Wys_npc4	1060	Đệ Tử Thanh Long-Võ Di Sơn	Ha ha! Ngoan ngoãn nghe lời, đỡ phải chịu khổ!	401	10	15	3	3				
Wys_npc4	1060	Đệ Tử Thanh Long-Võ Di Sơn	Bọn ta cũng chỉ vì tiền, ngươi đừng trách bọn tôi, haha! 	401	10	15	3	3				
Wys_enemy1	1048	Sát Thủ-Võ Di Sơn	Càng chống cự sẽ càng đau đớn!	401	10	15	3	3				
Wys_enemy1	1048	Sát Thủ-Võ Di Sơn	Có người trả tiền mua mạng ngươi đấy!	401	10	15	3	3				
Yds_enemy1	1076	Sát Thủ-Nhạn Đãng Sơn	Chúng tôi chỉ phụng mệnh hành sự thôi!	402	10	15	3	3				
Yds_enemy1	1076	Sát Thủ-Nhạn Đãng Sơn	Càng chống cự sẽ càng đau đớn!	402	10	15	3	3				
wanglaoji_1	1339	NPC Vương Lão Cát-Thành thị	Võ Lâm Truyền Kỳ đến Việt Nam từ năm 2005	10	10	15	3	3				
wanglaoji_1	1339	NPC Vương Lão Cát-Thành thị	Đại hiệp chơi Võ Lâm Truyền Kỳ Mobile vui vẻ	10	10	15	3	3				
wanglaoji_1	1339	NPC Vương Lão Cát-Thành thị	Tu luyện dã ngoại, hãy sử dụng Tu Luyện Châu	10	10	15	3	3				
wanglaoji_1	1339	NPC Vương Lão Cát-Thành thị	Gặp Động Thần Bí, hãy gọi bằng hữu trợ giúp!	10	10	15	3	3				
Hsp_houzi_1	1437		Xèo xèo	10	10	15	3	3				
Hsp_houzi_2	1438		Xèo xèo	10	10	15	3	3				
Dyr_tt1	1666	Đĩnh Ca-Tương Dương	Tịch Mạc Song Sát võ công cao cường, cần phải tổ đội mới có thể truy bắt.	10	10	15	3	3				
Dyr_tt1	1666	Đĩnh Ca-Tương Dương	Hạnh phúc của ta hoàn toàn tùy thuộc vào đại hiệp, mong đại hiệp có thể bình an mang【Bánh Hựu Duyên】trở về.	10	10	15	3	3				
Dyr_tt1	1666	Đĩnh Ca-Tương Dương	Nghe nói Tiểu Duyên sư tỉ rất thích Bánh Hựu Duyên, trải qua bao khó nhọc cuối cùng cũng có được!	10	10	15	3	3				
Dyr_yy1	1667	Tiểu Duyên-Tương Dương	Cuối cùng cũng gặp ngươi, cũng may ta không bỏ cuộc.	10	10	15	3	3				
Dyr_yy1	1667	Tiểu Duyên-Tương Dương	Sư đệ si tình như vậy, Tiểu Duyên ắt sẽ đáp lại.	10	10	15	3	3				
Dyr_yy1	1667	Tiểu Duyên-Tương Dương	Những tưởng khó tìm được người trong mộng, không ngờ Đĩnh sư đệ vượt xa những gì ta mong đợi.	10	10	15	3	3				
Dyr_tt2	1679	Đĩnh Ca-Ngọc Phong Cốc	Tiểu Duyên... Ta sẽ bảo vệ nàng cả đời!	801	10	15	3	3				
Dyr_tt2	1679	Đĩnh Ca-Ngọc Phong Cốc	Ta thật may mắn, có thể gặp được người.	801	10	15	3	3				
Dyr_yy2	1678	Tiểu Duyên-Ngọc Phong Cốc	Cuối cùng cũng gặp ngươi, cũng may ta không bỏ cuộc.	801	10	15	3	3				
Dyr_yy2	1678	Tiểu Duyên-Ngọc Phong Cốc	Mọi người bảo trí tưởng tượng của ta quá phong phú, nhưng thật ra cũng không bằng ngươi.									
Dyr_yy2	1685	Tiểu Duyên-Tương Dương	Cuối cùng cũng gặp ngươi, cũng may ta không bỏ cuộc.	10	10	15	3	3				
Dyr_yy2	1685	Tiểu Duyên-Tương Dương	Sư đệ si tình như vậy, Tiểu Duyên ắt sẽ đáp lại.	10	10	15	3	3				
Dyr_yy2	1685	Tiểu Duyên-Tương Dương	Những tưởng khó tìm được người trong mộng, không ngờ Đĩnh sư đệ vượt xa những gì ta mong đợi.	10	10	15	3	3				
BeautyPageant_npc1	2304	Sứ Giả Truyền Tin Miss VLTKM	[FFFE0D]「Miss Võ Lâm Truyền Kỳ Mobile」[-]Hoạt động đang diễn ra...	10	12	12	10	10				
BeautyPageant_npc1	2304	Sứ Giả Truyền Tin Miss VLTKM	Hãy bầu chọn cho nữ thần mà các đại hiệp hâm mộ!	10	12	12	10	10				
BeautyPageant_npc1	2304	Sứ Giả Truyền Tin Miss VLTKM	[FFFE0D]「Miss Võ Lâm Truyền Kỳ Mobile」[-]Thật khó chọn lựa!	10	12	12	10	10				
BeautyPageant_npc1	2304	Sứ Giả Truyền Tin Miss VLTKM	Giang hồ nhiều mỹ nhân, nhan sắc đẹp tuyệt trần. Khẽ cười nghiêng sông núi, thoáng nhìn ngả nước non. [FFFE0D]「Miss Võ Lâm Truyền Kỳ Mobile」[-]	10	12	12	10	10				
Lgx1_House1	2328	Gia Viên Lv1	Ta sẽ để nàng ấy biết thứ ta quan tâm là gì!	4000	12	12	10	10				
Lgx1_House2	2328	Gia Viên Lv2	Ta sẽ để nàng ấy biết thứ ta quan tâm là gì!	4001	12	12	10	10				
Lgx1_House3	2328	Gia Viên Lv3	Ta sẽ để nàng ấy biết thứ ta quan tâm là gì!	4002	12	12	10	10				
Lgx1_House4	2328	Gia Viên Lv4	Ta sẽ để nàng ấy biết thứ ta quan tâm là gì!	4003	12	12	10	10				
Lgx1_House5	2328	Gia Viên Lv5	Ta sẽ để nàng ấy biết thứ ta quan tâm là gì!	4004	12	12	10	10				
Lgx1_House6	2328	Gia Viên Lv6	Ta sẽ để nàng ấy biết thứ ta quan tâm là gì!	4005	12	12	10	10				
Lgx2_House1	2328	Gia Viên Lv1	Giang sơn mất rồi có thể đoạt lại, người mất rồi sao có thể hồi sinh!	4000	12	12	10	10				
Lgx2_House2	2328	Gia Viên Lv2	Giang sơn mất rồi có thể đoạt lại, người mất rồi sao có thể hồi sinh!	4001	12	12	10	10				
Lgx2_House3	2328	Gia Viên Lv3	Giang sơn mất rồi có thể đoạt lại, người mất rồi sao có thể hồi sinh!	4002	12	12	10	10				
Lgx2_House4	2328	Gia Viên Lv4	Giang sơn mất rồi có thể đoạt lại, người mất rồi sao có thể hồi sinh!	4003	12	12	10	10				
Lgx2_House5	2328	Gia Viên Lv5	Giang sơn mất rồi có thể đoạt lại, người mất rồi sao có thể hồi sinh!	4004	12	12	10	10				
Lgx2_House6	2328	Gia Viên Lv6	Giang sơn mất rồi có thể đoạt lại, người mất rồi sao có thể hồi sinh!	4005	12	12	10	10				
Lgx3_House1	2328	Gia Viên Lv1	Ta có rượu, ngươi muốn kể chuyện không?	4000	12	12	10	10				
Lgx3_House2	2328	Gia Viên Lv2	Ta có rượu, ngươi muốn kể chuyện không?	4001	12	12	10	10				
Lgx3_House3	2328	Gia Viên Lv3	Ta có rượu, ngươi muốn kể chuyện không?	4002	12	12	10	10				
Lgx3_House4	2328	Gia Viên Lv4	Ta có rượu, ngươi muốn kể chuyện không?	4003	12	12	10	10				
Lgx3_House5	2328	Gia Viên Lv5	Ta có rượu, ngươi muốn kể chuyện không?	4004	12	12	10	10				
Lgx3_House6	2328	Gia Viên Lv6	Ta có rượu, ngươi muốn kể chuyện không?	4005	12	12	10	10				
Zly1_House1	2329	Gia Viên Lv1	Hạt cát theo thời gian cũng có thể trở thành trân châu!	4000	12	12	10	10				
Zly1_House2	2329	Gia Viên Lv2	Hạt cát theo thời gian cũng có thể trở thành trân châu!	4001	12	12	10	10				
Zly1_House3	2329	Gia Viên Lv3	Hạt cát theo thời gian cũng có thể trở thành trân châu!	4002	12	12	10	10				
Zly1_House4	2329	Gia Viên Lv4	Hạt cát theo thời gian cũng có thể trở thành trân châu!	4003	12	12	10	10				
Zly1_House5	2329	Gia Viên Lv5	Hạt cát theo thời gian cũng có thể trở thành trân châu!	4004	12	12	10	10				
Zly1_House6	2329	Gia Viên Lv6	Hạt cát theo thời gian cũng có thể trở thành trân châu!	4005	12	12	10	10				
Zly2_House1	2329	Gia Viên Lv1	Dựa vào người khác không bằng dựa vào chính mình	4000	12	12	10	10				
Zly2_House2	2329	Gia Viên Lv2	Dựa vào người khác không bằng dựa vào chính mình	4001	12	12	10	10				
Zly2_House3	2329	Gia Viên Lv3	Dựa vào người khác không bằng dựa vào chính mình	4002	12	12	10	10				
Zly2_House4	2329	Gia Viên Lv4	Dựa vào người khác không bằng dựa vào chính mình	4003	12	12	10	10				
Zly2_House5	2329	Gia Viên Lv5	Dựa vào người khác không bằng dựa vào chính mình	4004	12	12	10	10				
Zly2_House6	2329	Gia Viên Lv6	Dựa vào người khác không bằng dựa vào chính mình	4005	12	12	10	10				
Zly3_House1	2329	Gia Viên Lv1	Kẻ thức thời mới là trang tuấn kiệt	4000	12	12	10	10				
Zly3_House2	2329	Gia Viên Lv2	Kẻ thức thời mới là trang tuấn kiệt	4001	12	12	10	10				
Zly3_House3	2329	Gia Viên Lv3	Kẻ thức thời mới là trang tuấn kiệt	4002	12	12	10	10				
Zly3_House4	2329	Gia Viên Lv4	Kẻ thức thời mới là trang tuấn kiệt	4003	12	12	10	10				
Zly3_House5	2329	Gia Viên Lv5	Kẻ thức thời mới là trang tuấn kiệt	4004	12	12	10	10				
Zly3_House6	2329	Gia Viên Lv6	Kẻ thức thời mới là trang tuấn kiệt	4005	12	12	10	10				
Daiyanren_City_lingengxin	2326	Lâm Triều Hoa-Tương Dương	Thương hội của Vạn thúc trải dài từ nam đến bắc, thật đáng ngưỡng mộ	10	10	15	3	3				
Daiyanren_City_lingengxin	2326	Lâm Triều Hoa-Tương Dương	Theo Vạn thúc xuôi ngược, ta cũng quen rất nhiều nhân sĩ giang hồ.	10	10	15	3	3				
Fathersday_Lgx	2708	Gia Viên Lv1	Ta sẽ để nàng ấy biết thứ ta quan tâm là gì!	1624	12	12	10	10				
Fathersday_Lgx	2708	Gia Viên Lv1	Giang sơn mất rồi có thể đoạt lại, người mất rồi sao có thể hồi sinh!	1624	12	12	10	10				
Fathersday_Lgx	2708	Gia Viên Lv1	Ta có rượu, ngươi muốn kể chuyện không?	1624	12	12	10	10				
Fathersday_Zly	2709	Gia Viên Lv1	Hạt cát theo thời gian cũng có thể trở thành trân châu!	1624	12	12	10	10				
Fathersday_Zly	2709	Gia Viên Lv1	Dựa vào người khác không bằng dựa vào chính mình	1624	12	12	10	10				
Fathersday_Zly	2709	Gia Viên Lv1	Kẻ thức thời mới là trang tuấn kiệt	1624	12	12	10	10				
GoodVoice_npc1	2939	Sứ Giả Quảng Cáo The Voice	Hoạt động [FFFE0D]「Bầu Chọn VLTK M Voice」[-]đang diễn ra…	10	12	12	10	10				
GoodVoice_npc1	2939	Sứ Giả Quảng Cáo The Voice	Hãy bầu chọn cho Thiên Lại Âm mà các đại hiệp hâm mộ!	10	12	12	10	10				
GoodVoice_npc1	2939	Sứ Giả Quảng Cáo The Voice	Hoạt động [FFFE0D]「Bầu Chọn VLTK M Voice」[-]võ lâm danh hiệp hội tụ, thật hiếm có!	10	12	12	10	10				
GoodVoice_npc1	2939	Sứ Giả Quảng Cáo The Voice	Dư âm ba ngày không dứt, khúc ca này chỉ có ở nơi thiên giới, nhân gian thật hiếm thấy: [FFFE0D]「Bầu Chọn VLTK M Voice」[-]	10	12	12	10	10				
GoodVoice_npc1	2939	Sứ Giả Quảng Cáo The Voice	Hoạt động [FFFE0D]「Bầu Chọn VLTK M Voice」[-]đang diễn ra…	15	12	12	10	10				
GoodVoice_npc1	2939	Sứ Giả Quảng Cáo The Voice	Hãy bầu chọn cho Thiên Lại Âm mà các đại hiệp hâm mộ!	15	12	12	10	10				
GoodVoice_npc1	2939	Sứ Giả Quảng Cáo The Voice	Hoạt động [FFFE0D]「Bầu Chọn VLTK M Voice」[-]võ lâm danh hiệp hội tụ, thật hiếm có!	15	12	12	10	10				
GoodVoice_npc1	2939	Sứ Giả Quảng Cáo The Voice	Dư âm ba ngày không dứt, khúc ca này chỉ có ở nơi thiên giới, nhân gian thật hiếm thấy: [FFFE0D]「Bầu Chọn VLTK M Voice」[-]	15	12	12	10	10				
