Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	NormalSkill4	NormalSkillLevel4	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife	Sex
XMJD_cj_yao01	2892	Kim Sáng Dược	2	0	IndiffeGatherItem	1	677	995																									NoTurn													
XMJD_cj_yao02	2893	Hồi Thiên Đơn	2	0	IndiffeGatherItem	1	678	995																									NoTurn													
XMJD_cj_fumo01	2894	Phụ Ma-Tấn Công-Sơ	2	0	IndiffeGatherItem	1	679	995																									NoTurn													
XMJD_cj_fumo02	2895	Phụ Ma-Tấn Công-Trung	2	0	IndiffeGatherItem	1	680	995																									NoTurn													
XMJD_cj_fumo03	2896	Phụ Ma-Tấn Công-Cao	2	0	IndiffeGatherItem	1	681	995																									NoTurn													
XMJD_cj_fumo04	2916	Phụ Ma-Phòng Thủ-Sơ	2	0	IndiffeGatherItem	1	679	995																									NoTurn													
XMJD_cj_fumo05	2917	Phụ Ma-Phòng Thủ-Trung	2	0	IndiffeGatherItem	1	680	995																									NoTurn													
XMJD_cj_fumo06	2918	Phụ Ma-Phòng Thủ-Cao	2	0	IndiffeGatherItem	1	681	995																									NoTurn													
XMJD_cj_fumo07	2934	Phụ Ma-Khống Chế-Sơ	2	0	IndiffeGatherItem	1	679	995																									NoTurn													
XMJD_cj_fumo08	2935	Phụ Ma-Khống Chế-Trung	2	0	IndiffeGatherItem	1	680	995																									NoTurn													
XMJD_cj_fumo09	2936	Phụ Ma-Khống Chế-Cao	2	0	IndiffeGatherItem	1	681	995																									NoTurn													
XMJD_cj_xingnang01	2897	Túi-Sơ	2	0	IndiffeItemBag	1	682	995																									NoTurn													
XMJD_cj_xingnang02	2898	Túi-Cao	2	0	IndiffeItemBag	1	683	995																									NoTurn													
XMJD_cj_zuoqi01	2899	Thú Cưỡi	2	0	IndifferHorse	1	684	995																									NoTurn													
XMJD_cj_men01	2900	Quang Tường Trúng Độc	5	0			685																										NoTurn											1		
XMJD_cj_men02	2901	Quang Tường Vô Độc	5	0			686																										NoTurn											1		
XMJD_cj_skill01	2902	Kỹ Năng Ẩn Thân	2	0	IndiffeGatherItem	1	687	995																									NoTurn													
XMJD_cj_skill02	2903	Kỹ Năng Bẫy	2	0	IndiffeGatherItem	1	688	995																									NoTurn													
XMJD_xiongshou	2908	Hung Thú Thượng Cổ	0	1			576	200	994		753	91	1	3523	1					560	980	Setting/Npc/Ai/Stay.ini				17	3	3					NoTurn				7					1				
XMJD_fuhuoshi	2937	Đá Hồi Sinh	2	0	IndiffeGatherItem	1	697	995																									NoTurn													
XMJD_xianjing01	2938	Kim Sáng Dược	2	0	IndifferBox	1	677	995																									NoTurn													
XMJD_zhanlipin	2942	Chiến lợi phẩm	2	0	IndifferDeathDropBox	2	933	995																									NoTurn													
