FaceId	Atlas	Sprite	Desc
41	UI/Atlas/Head/Partner/Partner_Female_03.prefab	FemaleHead31	Hình Đại Diện Bánh Trôi 2019-Nữ
42	UI/Atlas/Head/Partner/Partner_Female_03.prefab	FemaleHead32	Lễ Tình Nhân 2019-Nữ
43	UI/Atlas/Head/Partner/Partner_Female_03.prefab	HunShaHead2	Hôn Lễ-Nữ
44	UI/Atlas/Head/Partner/Partner_Female_03.prefab	JunZhuangHead2	Quân Trang-Nữ
45	UI/Atlas/Head/Partner/Partner_Female_03.prefab	YanZiHead2	Yến Tử-Nữ
101	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust01	-
102	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust02	-
103	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust03	-
104	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust04	Triệu Vô Song
105	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust05	Công Tôn Tích Hoa
106	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust06	Vô Tưởng
107	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust07	-
108	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust08	Lý Điềm Nhi
109	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust09	-
110	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust10	Tần Mộc Bạch
111	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust11	Quản Lý Gia Viên
112	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust12	Khúc Hà
113	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust13	Nạp Lan Chân
114	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust14	Nga Mi Đại Sư Tỷ
115	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust15	-
116	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust16	Hoàng Mộ Vân
117	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust17	Dương Anh
118	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust18	Tường Vi
119	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust19	Tô Mặc Vân
120	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust20	Tử Hiên
121	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust21	Thu Y Thủy
122	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust22	Nguyệt My Nhi
123	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust23	Tân Nga Mi
124	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust24	Tân Thúy Yên
125	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust25	Tân Côn Lôn
126	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust26	Tân Đào Hoa
127	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust27	Tân Thiên Nhẫn
128	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust28	Triệu Ân Đồng
129	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust30	Triệu Ân Đồng-Thiên Sơn
130	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust29	Hoạt động OB-Nữ
131	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust31	Hoạt động Tết Nguyên Tiêu-Nữ
132	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust32	Hình đại diện Lễ 8/3-Nữ
133	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust33	The Voice Dịu Dàng Êm Ái
134	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust34	Top 10 Hảo Thanh Toàn Máy Chủ
135	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust35	Top 3 Vòng Chung Kết The Voice
136	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust36	The Voice Top 10 Toàn Máy Chủ
137	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust37	The Voice Quán Quân Toàn Máy Chủ
138	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust38	Hồn Tây Bắc
139	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust39	Hồn Quốc Hoa
140	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust40	Hình Đại Diện Bánh Trôi 2019-Nữ
141	UI/Atlas/NPC/Female_07/Female_07.prefab	FemaleBust41	Lễ Tình Nhân 2019-Nữ
200	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001	Thường-Nam
201	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_019	Đường Ảnh
202	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_005	Dương Thiết Tâm
203	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_056	Mạnh Tri Thu
204	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_001	Độc Cô Kiếm-Thiếu Niên
205	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_040	Bổ Đầu
206	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_046	Chủ Thương Hội
207	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss017	Nam Cung Phi
208	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_025	Ân Phương
209	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_113	Triệu Vân
210	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss011	Thượng Quan Phi Long
211	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss002	Cửu Vĩ Hồ
212	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_087	Nạp Lan Tiềm Lẫm
213	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_007	Quan Viên
214	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_093	Trương Như Mộng
215	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss003	Thiên Tinh Đạo Trưởng
216	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_003	Chúc Tử Hư
217	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_004	Liễu Tiêu Đình
218	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_094	Trác Phi Phàm
219	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_049	Cao Trường Cung
220	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss005	Triết Biệt
221	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss009	Viên Thừa Chí
222	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss015	Ngao Bái
223	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss012	Hồ Thần Y
224	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_006	Phong Ngọc Thư
225	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_101	Dương Ảnh Phong
226	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss006	Huyền Thiên Đạo Nhân
227	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_022	Gia Luật Tị Li
228	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_044	Lục Văn Long
229	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss004	Tiêu Động Trần
230	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead30	Tân Thiếu Lâm
231	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead31	Tân Đường Môn
232	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead32	Tân Thiên Vương
233	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead33	Tân Võ Đang
234	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead34	Tân Tiêu Dao
235	UI/Atlas/Head/Partner/Partner_Male_04.prefab	MaleHead35	Lâm Triều Hoa
236	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_209	Lâm Triều Hoa-Thiên Sơn
237	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_208	Hình Đại Diện OB-Nam
238	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_212	Lâm Triều Hoa-Hình Đại Diện Ngôi Sao
239	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_1	Hình đại diện Tết Nguyên Tiêu-Nam
240	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_2	Vạn Kim Tài-Bản Mới
241	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_3	Top 3 Vòng Chung Kết The Voice
242	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_4	Thiên Tinh Đạo Trưởng-Bản Mới
243	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_5	Hồ Thần Y-Bản Mới
244	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_6	Top 10 Hảo Thanh Toàn Máy Chủ
245	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_7	The Voice Dư Âm Vẫn Còn
246	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_8	The Voice Top 10 Toàn Máy Chủ
247	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_9	The Voice Quán Quân Toàn Máy Chủ
248	UI/Atlas/Head/Partner/Partner_Male_04.prefab	MaleHead36	Hồn Âu Lạc
249	UI/Atlas/Head/Partner/Partner_Male_04.prefab	MaleHead37	Hồn Thiên Sử
250	UI/Atlas/Head/Partner/Partner_Male_04.prefab	MaleHead38	Hình Đại Diện Bánh Trôi 2019-Nam
251	UI/Atlas/Head/Partner/Partner_Male_05.prefab	MaleHead39	Lễ Tình Nhân 2019-Nam
252	UI/Atlas/Head/Partner/Partner_Male_05.prefab	MaleHead41	Hình đại diện Thủy Long Ngâm-Nam
253	UI/Atlas/Head/Partner/Partner_Female_03.prefab	FemaleHead33	Hình đại diện Thủy Long Ngâm-Nữ
254	UI/Atlas/Head/Partner/Partner_Male_05.prefab	HunShaHead1	Hôn Lễ-Nam
255	UI/Atlas/Head/Partner/Partner_Male_05.prefab	JunZhuangHead1	Quân Trang-Nam
256	UI/Atlas/Head/Partner/Partner_Male_05.prefab	YanZiHead1	Yến Tử-Nam
301	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust01	Đường Ảnh
302	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust02	Dương Thiết Tâm
303	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust03	Mạnh Tri Thu
304	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust04	Độc Cô Kiếm-Thiếu Niên
305	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust05	-
306	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust06	Chủ Thương Hội
307	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust07	Nam Cung Phi
308	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust08	Kiếm Đồng
309	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust09	Triệu Vân
310	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust10	Thượng Quan Phi Long
311	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust11	Diệp Vô Tâm
312	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust12	Nạp Lan Tiềm Lẫm
313	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust13	Lưu Vân Tướng Quân
314	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust14	Trương Như Mộng
315	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust15	Thiên Tinh Đạo Trưởng
316	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust16	Chúc Tử Hư
317	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust17	Liễu Tiêu Đình
318	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust18	Trác Phi Phàm
319	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust19	Cao Trường Cung
320	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust20	Triết Biệt
321	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust21	Viên Thừa Chí
322	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust22	Ngao Bái
323	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust23	Hồ Thần Y
324	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust24	Phong Ngọc Thư
325	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust25	Dương Ảnh Phong
326	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust26	Huyền Thiên Đạo Nhân
327	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust27	Gia Luật Tị Li
328	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust28	Lục Văn Long
329	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust29	Tiêu Động Trần
330	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust30	Tân Thiếu Lâm
331	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust31	Tân Đường Môn
332	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust32	Tân Thiên Vương
333	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust33	Tân Võ Đang
334	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust34	Tân Tiêu Dao
335	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust35	Lâm Triều Hoa
336	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust37	Lâm Triều Hoa-Thiên Sơn
337	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust36	Tượng Bán Thân OB-Nam
338	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust38	Hoạt động Tết Nguyên Tiêu-Nam
339	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust39	Vạn Kim Tài-Bản Mới
340	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust40	Top 3 Vòng Chung Kết The Voice
341	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust41	Thiên Tinh Đạo Trưởng-Bản Mới
342	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust42	Hồ Thần Y-Bản Mới
343	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust43	Top 10 Hảo Thanh Toàn Máy Chủ
344	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust44	The Voice Dư Âm Vẫn Còn
345	UI/Atlas/NPC/Male_07/Male_07.prefab	MaleBust45	The Voice Top 10 Toàn Máy Chủ
346	UI/Atlas/NPC/Male_07/Male_07.prefab	MaleBust46	The Voice Quán Quân Toàn Máy Chủ
347	UI/Atlas/NPC/Male_07/Male_07.prefab	MaleBust47	Hồn Âu Lạc
348	UI/Atlas/NPC/Male_07/Male_07.prefab	MaleBust48	Hồn Thiên Sử
349	UI/Atlas/NPC/Male_07/Male_07.prefab	MaleBust49	Hình Đại Diện Bánh Trôi 2019-Nam
350	UI/Atlas/NPC/Male_08/Male_08.prefab	MaleBust50	Lễ Tình Nhân 2019-Nam
601	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss003	Thiên Tinh Đạo Trưởng
602	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss004	Tiêu Động Trần
603	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss005	Triết Biệt
604	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss006	Huyền Thiên Đạo Nhân
605	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss007	Hắc Diện Lang Quân
606	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss009	Viên Thừa Chí
607	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss011	Thượng Quan Phi Long
608	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss012	Hồ Thần Y
609	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss015	Ngao Bái
610	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss017	Nam Cung Phi
611	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_019	Đường Ảnh
612	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_022	Gia Luật Tị Li
613	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_025	Ân Phương
614	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_029	Nam Cung Diệt
615	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_030	Hàn Thế Trung
616	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_038	Lộ Đạt
617	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_040	??
618	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_043	Cố Võ
619	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_044	Lục Văn Long
620	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_049	Cao Trường Cung
621	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_053	Triệu Tiết
622	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_056	Mạnh Tri Thu
623	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_059	Lý Tam
624	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_060	Trương Trọng Thiên
625	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_086	Nhạc Phi (Cũ)
626	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_087	Nạp Lan Tiềm Lẫm
627	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_093	Trương Như Mộng
628	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_094	Trác Phi Phàm
629	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_098	Tiểu Ảnh Phong
630	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_101	Dương Ảnh Phong
631	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_107	Lý Nguyên Bá
632	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_109	Triệu Thăng Quyền
633	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_110	Dương Hi Liệt
634	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_111	Lý Thiên Mục
635	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_113	Triệu Vân
636	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_116	Đạo Nhất Chân Nhân
637	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_117	Phương Miễn
638	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_118	Vô Tướng
639	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_119	Trương Phong
640	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_120	Lâm Hải
641	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_121	Lư Thanh
642	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_003	Chúc Tử Hư
643	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_004	Liễu Tiêu Đình
644	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_005	Dương Thiết Tâm
645	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_006	Phong Ngọc Thư
646	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss001	Tâm Ma
647	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss002	Cửu Vĩ Hồ
648	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_007	Quan Viên
649	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_046	Chủ Thương Hội
650	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_boss013	Đường Tiêu
651	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_032	Sài Tung
652	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_099	Thiệu Kỵ Phong
653	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss021	Hoàn Nhan Hồng Liệt
654	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss022	Độc Cô Kiếm
655	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_108	Kinh Kha
656	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_122	Đoan Mộc Duệ
657	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_130	Nhạc Phi
658	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_131	Hoàn Nhan Tương
659	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_135	Lý Quảng
660	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_136	Tần Thủy Hoàng
661	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_190	Đường Giản
662	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_167	Hắc Diện Lang Quân
663	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_170	Hà Nhân Ngã
664	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_175	Đường Cừu
665	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_173	Hạng Vũ
666	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_213	Quỷ Cốc Tử
701	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_135	Vị trí
702	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_boss111	Tần Mộc Bạch
703	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_003	Tường Vi
704	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_005	??
705	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_018	Nguyệt Minh Dao
706	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_026	Nam Cung Thái Hồng
707	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_027	Triệu Vô Song
708	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_031	Tử Hiên
709	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_033	Tô Mặc Vân
710	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_041	Dương Anh
711	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_058	Thu Y Thủy
712	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_077	Nạp Lan Chân
713	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_085	Thanh Hiểu Sư Thái
714	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_096	Oanh Nhi
715	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_100	Trương Lâm Tâm
716	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_102	Nguyệt My Nhi
717	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_112	Ngu Cơ
718	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_001	Hoàng Mộ Vân
719	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_002	Lý Điềm Nhi
