Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	AuraSkillId	AuraSkillLevel	StartActEvent	TitleID	BigFaceID	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience																																																																																								SyncFirst	IsNotBYStealLife	Sex
RandomFuben_xinmo6	1232	Thiên Nhẫn	0	1	FubenDeath		435	200	300		332	2908	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_tianren.ini			1	25	1																																																																																																											
RandomFuben_xinmo7	1849	Nhân vật Thiếu Lâm	0	1	FubenDeath		525	200	300		332	2084	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_shaolin.ini			1	25	1																																																																																																											
RandomFuben_xinmo8	1850	Nhân vật Thúy Yên	0	1	FubenDeath		526	200	300		332	2088	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_cuiyan.ini			1	25	1																																																																																																											
RandomFuben_xinmo9	2032	Nhân vật Đường Môn	0	1	FubenDeath		561	200	300		332	3085	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_tangmen.ini			1	25	1																																																																																																											
RandomFuben_xinmo10	2033	Nhân vật Côn Lôn	0	1	FubenDeath		562	200	300		332	3096	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_kunlun.ini			1	25	1																																																																																																											
RandomFuben_xinmo11	2233	Nhân vật Cái Bang	0	1	FubenDeath		588	200	300		332	3622	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_gaibang.ini			1	25	1																																																																																																											
RandomFuben_xinmo12	2234	Nhân vật Ngũ Độc	0	1	FubenDeath		589	200	300		332	3628	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_wudu.ini			1	25	1																																																																																																											
RandomFuben_xinmo13	2383	Nhân vật Tàng Kiếm	0	1	FubenDeath		610	200	300		332	3951	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_cangjian.ini			1	25	1																																																																																																											
RandomFuben_xinmo14	2384	Nhân vật Trường Ca	0	1	FubenDeath		611	200	300		332	3957	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_changge.ini			1	25	1																																																																																																											
RandomFuben_xinmo15	2657	Nhân Vật Thiên Sơn	0	1	FubenDeath		611	200	300		332	4869	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_tianshan.ini			1	25	1																																																																																																											
RandomFuben_xinmo16	2658	Nhân Vật Bá Đao	0	1	FubenDeath		611	200	300		332	5088	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_badao.ini			1	25	1																																																																																																											
RandomFuben_xinmo17	3196	Nhân Vật Hoa Sơn	0	1	FubenDeath		611	200	300		332	5282	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_huashan.ini			1	25	1																																																																																																											
RandomFuben_xinmo18	3328	Nhân vật Minh Giáo	0	1	FubenDeath		611	200	300		332	5591	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_mingjiao.ini			1	25	1																																																																																																											
RandomFuben_xinmo19	3459	Nhân vật Đoàn Thị	0	1	FubenDeath		611	200	300		332	5691	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_duanshi.ini			1	25	1																																																																																																											
RandomFuben_BOSS1	272	Công Thâu Linh	0	1	FubenDeath		318	200	300		323	1317	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss3.ini			1	25	2								1																																																																																																			
RandomFuben_muziyi	262	Mộc Tử Y	0	0	FubenDeath		176	200	300		323	56	1	42	1			3000	3000	Setting/Npc/Ai/CommonSkill.ini			1	30	1								1																																																																																																			
RandomFuben_murongyue	441	Mộ Dung Việt	0	1	FubenDeath		1108	200	300		321	1580	1	91	1			1500	1500	Setting/Npc/Ai/random/murongyue.ini			1	17	2								1			3																																																																																																
RandomFuben_murongyue1	644	Mộ Dung Việt	2	0	FubenDeath		1108	200	300		321																									3																																																																																																
RandomFuben_murongyue2	646	Mộ Dung Việt	0	1	FubenDeath		1108	200	300		321	1580	1	91	1			1500	1500	Setting/Npc/Ai/random/murongyue.ini			1	17	2											3																																																																																																
RandomFuben_sumoyun	443	Tô Mặc Vân	0	1	FubenDeath		615	200	300		331	1597	1	91	1			3000	3000	Setting/Npc/Ai/random/sumoyun.ini			1	18	2											4																																																																																																
RandomFuben_sumoyun1	645	Tô Mặc Vân	2	0	FubenDeath		133	200	300		331																									4																																																																																																
RandomFuben_jiyutian	442	Cơ Ngự Thiên	0	1	FubenDeath		13	200	300		323	1547	1	91	1			1500	1500				1	17	2																																																																																																											
RandomFuben_jiyutian1	652	Cơ Ngự Thiên	0	0	FubenDeath		13	200	300		323									Setting/Npc/Ai/Stay.ini			1	17	2																																																																																																											
RandomFuben_zixuan	444	Tử Hiên	0	1	FubenDeath		127	200	300		323	1648	1	91	1			1500	1500				1	18	2																																																																																																											
RandomFuben_zixuan1	648	Tử Hiên	0	1	FubenDeath		127	200	300		323												1	18	2																																																																																																											
RandomFuben_xueyinyao	445	Tiết Ngân Dược	0	0	FubenDeath		158	200	300		323	1615	1	91	1			560	980				1	20	2																																																																																																											
RandomFuben_xueyinyao_1	702	Tiết Ngân Dược	0	1	FubenDeath		158	200	300		323	1615	1	91	1			560	980				1	20	2																																																																																																											
RandomFuben_gongshuling	446	Công Thâu Linh	0	1	FubenDeath		318	200	300		323	1317	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss3.ini			1	25	2																																																																																																											
RandomFuben_pilihuo	447	Tịch Lịch Hỏa	0	1	FubenDeath		122	200	300		323	1632	1	91	1			1500	1500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																																																																																																											
RandomFuben_pilihuo1	649	Tịch Lịch Hỏa	0	0	FubenDeath		122	200	300		323									Setting/Npc/Ai/Stay.ini			1	25	2																																																																																																											
RandomFuben_aili	448	Ngải Lê	0	1	FubenDeath		23	200	300		323	21	1	46	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2																																																																																																											
RandomFuben_qiangwei	449	Tường Vi	0	1	FubenDeath		103	200	300		323	1570	1	91	1			3000	3000	Setting/Npc/Ai/random/qiangwei.ini			1	20	2																																																																																																											
RandomFuben_qiangwei1	660	Tường Vi	0	0	FubenDeath		103	200	300		323									Setting/Npc/Ai/Stay.ini			1	20	2																																																																																																											
RandomFuben_shangguanfeilong	450	Thượng Quan Phi Long	0	1	FubenDeath		21	200	300		343	23	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2																																																																																																											
RandomFuben_xiaodongchen	566	Tiêu Động Trần	0	1	FubenDeath		14	200	300		331	1335	1					1500	1500	Setting/Npc/Ai/fuben/Boss6.ini			1	20	2																																																																																																											
RandomFuben_jiantong	567	Ân Phương	0	1	FubenDeath		116	200	300		322	166	1	50	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2																																																																																																											
RandomFuben_shanjingjing	568	Đơn Tinh Tinh	0	1	FubenDeath		116	200	300		323	37	1	2367	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2																																																																																																											
RandomFuben_zhuofeifan	569	Trác Phi Phàm	0	0	FubenDeath		194	200	300		323	37	1	2363	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											5																																																																																																
RandomFuben_zhuofeifan1	647	Trác Phi Phàm	0	0	FubenDeath		425	200	300		323									Setting/Npc/Ai/Stay.ini			1	25	2																																																																																																											
RandomFuben_yewuxin	570	Diệp Vô Tâm	0	1	FubenDeath		119	200	300		343	1629	1	91	1			1500	1500				1	18	2																																																																																																											
RandomFuben_yangxilie	571	Dương Hi Liệt	0	1	FubenDeath		463	200	300		343	1386	1	91	1			1500	1500	Setting/Npc/Ai/random/yangxilie.ini			1	18	2																																																																																																											
RandomFuben_yangying	572	Dương Anh	0	1	FubenDeath		629	200	300		343	1655	1	91	1			1500	1500	Setting/Npc/Ai/random/yangying.ini			1	18	2																																																																																																											
RandomFuben_yuemeier	573	Nguyệt My Nhi	0	1	FubenDeath		430	200	300		343	1643	1	91	1			1500	1500	Setting/Npc/Ai/random/yuemeier.ini			1	18	2																																																																																																											
RandomFuben_nalanzhen	574	Nạp Lan Chân	0	1	FubenDeath		616	200	300		343	39	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2																																																																																																											
RandomFuben_yangyingfeng	653	Dương Ảnh Phong	2	0	FubenDeath		175	200	300		343	170	1							Setting/Npc/Ai/CommonActive.ini			1	18	2																																																																																																											
A_3_enemy_1	1539	Cơ Quan Nhân	0	1	FubenDeath		157	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
A_3_Elite_1	1540	Cơ Quan Nhân Cường Lực	0	1	FubenDeath		465	200	300		322	21	1	2380	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																																
A_3_Leader_1	1541	Oanh Nhi	0	0	FubenDeath		196	200	300		322	38	1	2486	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																																
A_5_enemy_1	1542	Sói Xám	0	1	FubenDeath		115	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
A_5_Elite_1	1543	Lang Vương	0	1	FubenDeath		357	200	300		322	1362	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss9.ini			1	20	2											3																																																																																																
A_5_Leader_1	1544	Lư Thanh	0	0	FubenDeath		1121	200	300		322	167	1	2393	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																																
A_6_enemy_1	1315	Mãnh Hổ	0	1	FubenDeath		114	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
A_6_enemy_2	1316	Hổ Chúa	0	1	FubenDeath		114	200	300		322	22	1	25	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																																
A_8_enemy_1	1313	Đạo Tặc Cản Đường	0	1	FubenDeath		143	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
A_8_enemy_2	1314	Cố Võ	0	1	FubenDeath		400	200	300		322	21	1	29	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini	2	Setting/Npc/DropFile/RandomFuben/House_A/guwu.tab	1	18	2								1			3																																																																																																
A_9_enemy_1	1545	Sơn Tặc	0	1	FubenDeath		136	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
A_9_enemy_2	1546	Sơn Tặc Đầu Mục	0	1	FubenDeath		369	200	300		322	21	1	43	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																																
A_10_Leader_1	1547	Lý Tam	0	0	FubenDeath		159	200	300		322	182	1	47	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																																
B_1_enemy_1	1548	Võ Lâm Ác Đồ	0	1	FubenDeath		123	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
B_1_enemy_2	1549	Thích Khách	0	1	FubenDeath		124	200	300		314	40	1	91	1			1500	1500	Setting/Npc/Ai/RangeActive.ini			1	18	1											1																																																																																																
B_1_Elite_1	1550	Thủ Lĩnh Thích Khách	0	1	FubenDeath		365	200	300		323	1811	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss18.ini			1	18	2											3																																																																																																
B_1_Leader_1	1551	Trương Trọng Thiên	0	0	FubenDeath		160	200	300		323	106	1	51	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	2											2																																																																																																
B_2_Leader_1	1552	Tô Mặc Vân	0	1	FubenDeath		615	200	300		331	1597	1	91	1			1500	1500	Setting/Npc/Ai/random/sumoyun.ini	2	Setting/Npc/DropFile/RandomFuben/House_B/sumoyun.tab	1	18	2								1			4																																																																																																
B_3_xiaodongc_sl	734	Tiêu Động Trần	0	1	FubenDeath		14	229	329		331	1335	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss6.ini	2	Setting/Npc/DropFile/RandomFuben/House_B/xiaodongchen.tab	1	20	2								1			4																																																																																																
B_3_wyjdz_gw	735	Đệ Tử Vô Ưu Giáo	0	1	FubenDeath		134	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
B_3_wyjdz_jy	736	Vô Ưu Cao Thủ	0	1	FubenDeath		134	200	300		313	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2		1503	1								3																																																																																																
B_3_wyjgs_jy	737	Vô Ưu Cao Thủ	0	1	FubenDeath		134	200	300		313	37	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2		1535	1								3																																																																																																
B_4_enemy_1	1614	Mãnh Hổ	0	1	FubenDeath		114	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
B_4_Elite_1	1615	Hổ Chúa	0	1	FubenDeath		114	200	300		323	22	1	2439	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																																
B_4_Xiyou_1	1553	Ân Phương	0	0	FubenDeath		125	200	300		323	168	1	2441	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																																
B_5_enemy_1	1554	Cơ Quan Nhân	0	1	FubenDeath		157	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
B_5_enemy_2	1555	Cơ Quan Chiến Xa	0	1	FubenDeath		154	200	300		314	1874	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
B_5_Leader_1	1556	Tần Mộc Bạch	0	1	FubenDeath		318	200	300		331	1317	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss3.ini	2	Setting/Npc/DropFile/RandomFuben/House_B/qinmubai.tab	1	18	2								1			4																																																																																																
B_6_enemy_1	1557	Thương Ưng	0	1	FubenDeath		147	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
B_6_Elite_1	1558	Đại Thương Ưng	0	1	FubenDeath		147	200	300		322	22	1	2472	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																																
B_6_Leader_1	1559	Hồ Thần Y	0	0	FubenDeath		5022	200	300		322	21	1	2364	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																																
B_7_enemy_1	1560	Võ Lâm Ác Đồ	0	1	FubenDeath		123	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
B_7_Elite_1	1561	Thủ Lĩnh Ác Đồ	0	1	FubenDeath		364	200	300		322	21	1	2380	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																																
B_7_Xiyou_1	1562	Ân Phương	0	0	FubenDeath		125	200	300		323	168	1	2441	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																																
B_8_yangyingf_hs	774	Dương Ảnh Phong	0	0	FubenDeath		1101	225	325		341	170	1	91	1			1500	1500	Setting/Npc/Ai/KeepRunning.ini			1	30	1											2																																																																																																
B_8_yangyingf_dh	810	Dương Ảnh Phong	2	0	FubenDeath		1101	225	325		341	170	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	30	1									Đối phó Tâm Ma phải chuyên tâm, nếu không sẽ rơi vào vực sâu muôn kiếp không trở lại được!		2																																																																																																
B_8_xinmo_sl	811	Tâm Ma	0	1	FubenDeath		11	200	300		342	22	1	91	1			1500	1500	Setting/Npc/Ai/random/murongyue.ini			1	20	2										20	7																																																																																																
B_8_kongjutt_zh	812	Đồ Đằng Hoảng Sợ	2	0	FubenDeath		378	200	300		314	40	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1									(Đồ Đằng Tâm Ma triệu hồi tỏa ra sức mạnh thần bí, khiến ai cũng không thể rời mắt) 	20	2																																																																																																
B_8_kongjuhx_zh	813	Ảo Ảnh Hoảng Sợ	0	1	FubenDeath		154	200	300		314	40	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1										4	1																																																																																																
B_8_kongjust_zhjy	814	Thực Thể Hoảng Sợ	0	1	FubenDeath		317	200	300		331	90	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss1.ini			1	15	2											3																																																																																																
B_9_enemy_1	1563	Lưu Manh	0	1	FubenDeath		170	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
B_9_enemy_2	1564	Hung Ác Đả Thủ	0	1	FubenDeath		171	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
B_9_Leader_1	1565	Lộ Đạt	0	1	FubenDeath		371	200	300		323	21	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss3.ini	2	Setting/Npc/DropFile/RandomFuben/House_B/luda.tab	1	18	2								1			4																																																																																																
B_10_jiantong_hs	818	Ân Phương	0	0	FubenDeath		125	200	300		323	169	1	61	1	2470	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1										20	2																																																																																																
B_10_jiantong_sl	819	Ân Phương	0	1	FubenDeath		125	200	300		323	169	1	91	1			1500	1500	Setting/Npc/Ai/random/murongyue.ini			1	20	2										20	4																																																																																																
B_10_cangjiandz_gw	820	Đệ Tử Tàng Kiếm	0	1	FubenDeath		135	200	300		314	166	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1										20	1																																																																																																
B_10_cangjiangs_jy	821	Tàng Kiếm Cao Thủ	0	1	FubenDeath		135	200	300		322	32	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2										20	3																																																																																																
B_10_cangjiangs1_jy	822	Tàng Kiếm Cao Thủ	0	1	FubenDeath		135	200	300		322	33	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2										20	3																																																																																																
C_1_sumoyun_sl	1136	Tô Mặc Vân-Bỏ	0	1	FubenDeath																																																																																																																															
C_1_enemy_1	1566	Đệ Tử Ngũ Sắc	0	1	FubenDeath		174	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
C_1_enemy_2	1567	Thích Khách	0	1	FubenDeath		124	200	300		314	40	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
C_1_enemy_3	1665	Người Đẩy Đá Lăn	0	1	FubenDeath		106	200	300		321	1843	1	91	1	1058	1	1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											3																																																																																																
C_1_Leader_1	1568	Nam Cung Thái Hồng	0	1	FubenDeath		455	200	300		331	2920	1	91	1			1500	1500	Setting/Npc/Ai/random/nangongcaihong.ini	3	Setting/Npc/DropFile/RandomFuben/House_C/nangongcaihong.tab	1	20	2								1			5																																																																																																
C_1_Gunshi	1664	Đá Lửa Lăn	6	1	FubenDeath		375	200	300		343							1500	1500	Setting/Npc/Ai/AlwaysRunning.ini			1	20	1		2700	3								1																																																																																																
C_2_jiguan_1	1321	Bẫy diệt nhanh	6	1	FubenDeath		456	200	300		323	2468	30										1																																																																																																													
C_2_jiguan_2	1322	Cơ Quan Nước Độc	0	1	FubenDeath		416	200	300		314			91	1								1	18	1	1						NoTurn				3																																																																																																
C_2_enemy_1	1323	Thủ Vệ Cơ Quan	0	1	FubenDeath		173	200	300		314	166	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																																
C_2_enemy_2	1324	Thủ Vệ Cơ Quan	0	1	FubenDeath		151	200	300		314	166	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																																
C_2_Leader_1	1325	Lâm Hải	0	1	FubenDeath		453	200	300		332	2926	1	91	1			1500	1500	Setting/Npc/Ai/random/linhai.ini	3	Setting/Npc/DropFile/RandomFuben/House_C/linhai.tab	1	18	2								1			5																																																																																																
C_3_zhuofeifan_sl	1137	Trác Phi Phàm-Bỏ	0	1	FubenDeath		425	200	300		341	22	1	91	1			1500	1500	Setting/Npc/Ai/teamfb/zhuofeifan.ini			1	18	2																																																																																																											
C_3_enemy_1	1624	Lưu Khấu	0	1	FubenDeath		134	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
C_3_enemy_2	1625	Kình Nỏ Thủ	0	1	FubenDeath		165	200	300		314	182	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
C_3_Elite_1	1569	Vô Danh Tráng Sĩ	0	1	FubenDeath		368	200	300		323	1807	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss17.ini			1	20	2											4																																																																																																
C_3_Xiyou_1	1570	Đường Tiêu	0	0	FubenDeath		5023	200	300		331	57	1	45	1	2389	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																																
C_4_qiangwei_hs	941	Tường Vi	0	0	FubenDeath		103	200	300		323	34	1	2382	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																																
C_4_qiangwei_dh	942	Tường Vi Bị Bắt	2	0	FubenDeath		103	200	300		323	34	1	2382	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2																																																																																																
C_4_wuyoujiaotu_gw	943	Đệ Tử Ngũ Sắc	0	1	FubenDeath		134	200	300		314	168	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																																
C_4_wuyouss_jy	944	Ngũ Sắc Giáo Thích Khách	0	1	FubenDeath		134	200	300		322	35	1	2487	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	20	2											3																																																																																																
C_4_wuyouyh_jy	945	Cơ Quan	0	1	FubenDeath		377	200	300		321	91	1										1	20	2	1	2776	1				NoTurn				3																																																																																																
