Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	NameColor	DefaultDialog	WalkSpeed	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst
Fb100_boss1	2272	Đường Cừu	0	1	FubenDeath		632				404	3642	1	91	1			1500	1500	Setting/Npc/Ai/teamfb/100fb_tangchou.ini	1	Setting/Npc/DropFile/TeamFuben/100fb_boss1.tab	1	22	2		3010					1	4										
Fb100_boss2	2273	Hắc Diện Lang Quân	0	1	FubenDeath		17				404	3657	1	91	1			1500	1500	Setting/Npc/Ai/teamfb/100fb_heimianlangjun.ini	1	Setting/Npc/DropFile/TeamFuben/100fb_boss2.tab	1	22	2		3010					1	4										
Fb100_boss3	2274	Hà Nhân Ngã	0	1	FubenDeath		633				405	3651	1	91	1			1500	1500	Setting/Npc/Ai/teamfb/100fb_herenwo.ini	1	Setting/Npc/DropFile/TeamFuben/100fb_boss3.tab	1	22	2		3010					1	6										
Fb100_shouling_xy	2275	Huyền Thiên Đạo Nhân	0	1	FubenDeath		16				405	2719	1	91	1			1500	1500	Setting/Npc/Ai/random/sumoyun.ini			1	22	2		3010						5										
Fb120_boss1	2454	Doãn Tiêu Vũ	0	1	FubenDeath		634				405	3144	1	91	1			1500	1500	Setting/Npc/Ai/random/yinhanyan.ini	1	Setting/Npc/DropFile/TeamFuben/120fb_boss1.tab	1	22	2		3010					1	5										
Fb120_boss2	2455	Tống Thu Thạch	0	1	FubenDeath		620				405	3150	1	91	1			1500	1500	Setting/Npc/Ai/random/xuanjizi.ini	1	Setting/Npc/DropFile/TeamFuben/120fb_boss2.tab	1	22	2		3010					1	5										
Fb120_boss3	2456	Cổ Yên Nhiên	0	1	FubenDeath		619				405	3718	1	91	1			1500	1500	Setting/Npc/Ai/teamfb/120fb_guyanran.ini	1	Setting/Npc/DropFile/TeamFuben/120fb_boss3.tab	1	22	2		3010					1	6										
Fb120_shouling_xy	2457	Thạch Hiên Viên	0	1	FubenDeath		635				405	3651	1	91	1			1500	1500	Setting/Npc/Ai/teamfb/100fb_herenwo.ini			1	22	2		3010						5										
Fb120_jingying1	2458	Thập Phu Trưởng	0	1	FubenDeath		181				403	54	1	91	1	2357	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	22	1								3										
Fb120_jingying2	2459	Giang Hồ Cao Thủ	0	1	FubenDeath		155				403	1893	1	91	1	2384	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	22	1								3										
Fb120_jingying3	2460	Giáng Tốt Quân Quan	0	1	FubenDeath		150				403	170	1	91	1	2730	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	22	1								3										
Fb120_jingying4	2461	Hộ Vệ Đầu Lĩnh	0	1	FubenDeath		176				403	34	1	91	1	2742	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	22	1								3										
Fb120_jingying5	2462	Võ Phu Đầu Mục	0	1	FubenDeath		136				403	37	1	91	1	2487	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	22	1								3										
Fb120_jingying6	2463	Khống Thi Nhân	0	1	FubenDeath		138				403	166	1	91	1	2760	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	22	1								3										
Fb120_guaiwu1	2464	Hung Ác Kim Binh	0	1	FubenDeath		431				401	166	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	22	1								1										
Fb120_guaiwu2	2465	Giang Hồ Nhân Sĩ	0	1	FubenDeath		134				401	2717	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	22	1								1										
Fb120_guaiwu3	2466	Tống Quân Giáng Tốt	0	1	FubenDeath		151				401	2712	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	22	1								1										
Fb120_guaiwu4	2467	Hộ Vệ	0	1	FubenDeath		104				401	39	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	22	1								1										
Fb120_guaiwu5	2468	Thất Tiết Võ Phu	0	1	FubenDeath		174				401	57	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	22	1								1										
Fb120_guaiwu6	2469	Ngũ Độc Hành Giả	0	1	FubenDeath		137				401	41	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	22	1								1										
Fb120_jingying7	2470	Thủ Lĩnh Thích Khách	0	1	FubenDeath		365				403	2720	1	91	1	2484	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	22	1					900001			3										
Fb120_guaiwu7	2471	Thích Khách Nham Hiểm	0	1	FubenDeath		124				401	196	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	22	1					900001			1										
