Index	Name	PosX	PosY	Dir	Desc
20	npc_3	3079	3519	63	Phòng 5-1
20	npc_4	3280	3803	61	Phòng 5-1
20	npc_5	3357	3377	40	Phòng 5-1
20	box_buff	2255	4366	50	Phòng 5-1
21	npc_1	3746	8228	22	Phòng 4-1
21	npc_2	3389	8633	54	Phòng 4-1
21	npc_3	3460	8029	63	Phòng 4-1
21	npc_4	3434	8324	61	Phòng 4-1
21	npc_5	3116	8386	40	Phòng 4-1
21	box_buff	2426	8710	0	Phòng 4-1
22	npc_1	2365	12060	22	Phòng 3-1
22	npc_2	2538	12586	54	Phòng 3-1
22	npc_3	2619	12271	63	Phòng 3-1
22	npc_4	2749	11921	61	Phòng 3-1
22	npc_5	2908	12510	40	Phòng 3-1
22	box_buff	2599	11549	43	Phòng 3-1
23	npc_1	2714	16203	22	Phòng 2-1
23	npc_2	2228	16643	54	Phòng 2-1
23	npc_3	2646	16669	63	Phòng 2-1
23	npc_4	2428	16434	61	Phòng 2-1
23	npc_5	2252	16145	40	Phòng 2-1
23	box_buff	3430	16621	7	Phòng 2-1
24	npc_1	2937	21281	22	Phòng 1-1
24	npc_2	2453	20948	54	Phòng 1-1
24	npc_3	2658	20571	63	Phòng 1-1
24	npc_4	3215	20996	61	Phòng 1-1
24	npc_5	2831	20924	40	Phòng 1-1
24	box_buff	3845	19938	24	Phòng 1-1
25	npc_1	6989	20207	22	Phòng 1-2
25	npc_2	7257	19786	54	Phòng 1-2
25	npc_3	6989	19529	63	Phòng 1-2
25	npc_4	6945	19876	61	Phòng 1-2
25	npc_5	6636	20005	40	Phòng 1-2
25	box_buff	7931	21136	0	Phòng 1-2
1	LeftNpc	10449	11978	1	Phòng 3-3
1	RightNpc	13331	11734	1	Phòng 3-3
1	TopNpc	12022	13552	1	Phòng 3-3
1	BottomNpc	12094	10696	1	Phòng 3-3
2	LeftNpc	10569	16010	1	Phòng 2-3
2	RightNpc	13401	16001	1	Phòng 2-3
2	TopNpc	11981	17521	1	Phòng 2-3
2	BottomNpc	11980	14667	1	Phòng 2-3
3	LeftNpc	15465	16003	1	Phòng 2-4
3	RightNpc	18295	16000	1	Phòng 2-4
3	TopNpc	16927	17453	1	Phòng 2-4
3	BottomNpc	16934	14653	1	Phòng 2-4
4	LeftNpc	15772	11925	1	Phòng 3-4
4	RightNpc	18603	11918	1	Phòng 3-4
4	TopNpc	17151	13426	1	Phòng 3-4
4	BottomNpc	17140	10351	1	Phòng 3-4
5	LeftNpc	15558	7470	1	Phòng 4-4
5	RightNpc	18419	7452	1	Phòng 4-4
5	TopNpc	16937	9104	1	Phòng 4-4
5	BottomNpc	16954	5842	1	Phòng 4-4
6	LeftNpc	10626	7448	1	Phòng 4-3
6	RightNpc	13511	7436	1	Phòng 4-3
6	TopNpc	12026	9151	1	Phòng 4-3
6	BottomNpc	12035	5796	1	Phòng 4-3
7	LeftNpc	5773	7549	1	Phòng 4-2
7	RightNpc	9025	7672	1	Phòng 4-2
7	TopNpc	7286	9045	1	Phòng 4-2
7	BottomNpc	7417	5869	1	Phòng 4-2
8	LeftNpc	5767	11986	1	Phòng 3-2
8	RightNpc	8974	12057	1	Phòng 3-2
8	TopNpc	7291	13509	1	Phòng 3-2
8	BottomNpc	7412	10508	1	Phòng 3-2
9	LeftNpc	5929	15999	1	Phòng 2-2
9	RightNpc	8772	15996	1	Phòng 2-2
9	TopNpc	7337	17503	1	Phòng 2-2
9	BottomNpc	7346	14656	1	Phòng 2-2
10	LeftNpc	10749	20465	1	Phòng 1-3
10	RightNpc	13184	20453	1	Phòng 1-3
10	BottomNpc	11939	18980	1	Phòng 1-3
11	LeftNpc	15485	20383	1	Phòng 1-4
11	RightNpc	17964	20341	1	Phòng 1-4
11	BottomNpc	16815	19038	1	Phòng 1-4
12	LeftNpc	20438	20410	1	Phòng 1-5
12	BottomNpc	21560	19096	1	Phòng 1-5
13	LeftNpc	20520	16276	1	Phòng 2-5
13	TopNpc	22061	17304	1	Phòng 2-5
13	BottomNpc	21677	15170	1	Phòng 2-5
14	LeftNpc	20338	12129	1	Phòng 3-5
14	TopNpc	22038	13577	1	Phòng 3-5
14	BottomNpc	21550	10679	1	Phòng 3-5
15	LeftNpc	20681	7165	1	Phòng 4-5
15	TopNpc	22196	8700	1	Phòng 4-5
15	BottomNpc	21535	6153	1	Phòng 4-5
16	LeftNpc	21033	2522	1	Phòng 5-5
16	TopNpc	22308	3729	1	Phòng 5-5
17	LeftNpc	16102	2541	1	Phòng 5-4
17	RightNpc	18559	3025	1	Phòng 5-4
17	TopNpc	17469	3922	1	Phòng 5-4
18	LeftNpc	11152	2587	1	Phòng 5-3
18	RightNpc	13459	3032	1	Phòng 5-3
18	TopNpc	12386	3831	1	Phòng 5-3
19	LeftNpc	5796	2561	1	Phòng 5-2
19	RightNpc	8444	3044	1	Phòng 5-2
19	TopNpc	7286	3893	1	Phòng 5-2
20	RightNpc	4337	3917	1	Phòng 5-1
20	TopNpc	2975	5058	1	Phòng 5-1
21	RightNpc	4317	7976	1	Phòng 4-1
21	TopNpc	2928	9294	1	Phòng 4-1
21	BottomNpc	2959	6758	1	Phòng 4-1
22	RightNpc	4306	12070	1	Phòng 3-1
22	TopNpc	2934	13551	1	Phòng 3-1
22	BottomNpc	2990	10905	1	Phòng 3-1
23	RightNpc	4354	16130	1	Phòng 2-1
23	TopNpc	2850	17479	1	Phòng 2-1
23	BottomNpc	2851	14910	1	Phòng 2-1
24	RightNpc	4134	20254	1	Phòng 1-1
24	BottomNpc	2979	19014	1	Phòng 1-1
25	LeftNpc	6261	20425	1	Phòng 1-2
25	RightNpc	8456	20380	1	Phòng 1-2
25	BottomNpc	7303	19108	1	Phòng 1-2
