Type	TitleID	Name	Achievement	ColorDesc	ColorID	GTopColorID	GBottomColorID	OutlineColorID	Timeout	ImgAltlas	ImgPrefix	EffectResID	EffecUitResID	Rank	WorldNotify	Desc	Quality	Icon
citynpc3	102	Thủ Vệ Hoàng Thành		Danh hiệu Lục	200	201	202	203						1		Danh hiệu npc thành thị	2	
citynpc4	103	Tiếp Dẫn Hoạt Động		Danh hiệu Hồng	200	210	211	212						1		Danh hiệu npc thành thị	5	
citynpc5	104	Thanh Lệ Giai Nhân		Danh hiệu Lục	200	201	202	203						1		Danh hiệu npc thành thị	2	
citynpc6	105	Diễn Tập Chiến Trường		Danh hiệu Lục	200	201	202	203						1		Danh hiệu npc thành thị	2	
citynpc7	106	Lén Lút		Danh hiệu Lục	200	201	202	203						1		Danh hiệu npc thành thị	2	
citynpc8	107	Thầy Đúc Kiếm		Danh hiệu lam	200	204	205	206						1		Danh hiệu npc thành thị	3	
citynpc9	108	Võ Lâm Tân Tú		Danh hiệu lam	200	204	205	206						1		Danh hiệu npc thành thị	3	
citynpc10	109	Nhiệm Vụ Thương Hội		Danh hiệu Hồng	200	210	211	212						1		Danh hiệu npc thành thị	5	
citynpc11	110	Chủ Ẩn Hương Lâu		Danh hiệu lam	200	204	205	206									3	
citynpc12	111	Tàng Kiếm Công Tử		Danh hiệu lam	200	204	205	206									3	
citynpc13	112	Phong Diệp Minh Châu		Danh hiệu lam	200	204	205	206									3	
citynpc14	113	Bi Ma Kiếm Thánh		Danh hiệu Tím	200	207	208	209									4	
citynpc15	114	Minh Chủ Võ Lâm		Danh hiệu Tím	200	207	208	209									4	
citynpc16	115	Tỉ Võ Trường		Danh hiệu Hồng	200	210	211	212									5	
citynpc17	116	Báo Danh Lôi Đài		Danh hiệu Hồng	200	210	211	212									5	
citynpc18	117	Chủ Quán Vong Ưu		Danh hiệu Tím	200	207	208	209									4	
citynpc19	118	Cô Gái Bán Vé Thuyền		Danh hiệu Hồng	200	210	211	212						1		Danh hiệu NPC Lễ Tình Nhân	5	
citynpc20	119	Hoa Sứ		Danh hiệu Tím	200	207	208	209						1		Danh hiệu Npc Tết Trồng Cây	4	
citynpc21	120	Quản Lý Gia Viên		Danh hiệu Hồng	200	210	211	212								NPC Quản Lý Gia Viên	5	
citynpc22	121	Sứ Giả Miss VLTKM		Danh hiệu Hồng	200	210	211	212								NPC Miss Võ Lâm Truyền Kỳ Mobile	5	
citynpc23	122	Thương Hội Thiếu Gia		Danh hiệu lam	200	204	205	206						1			3	
citynpc24	123	Đào Hoa Đảo Chủ		Danh hiệu Tím	200	207	208	209								Tỉ lệ hiện NPC	4	
citynpc25	124	Thương Nhân Hôn Lễ		Danh hiệu Hồng	200	210	211	212								Danh hiệu Phụng Hỉ	5	
citynpc26	125	Chủ Trì Hôn Lễ		Danh hiệu Hồng	200	210	211	212								Danh hiệu Nguyệt Lão	5	
citynpc27	126	Mai Mối		Danh hiệu Hồng	200	210	211	212								Danh hiệu Hồng Nương	5	
citynpc28	127	Nghĩa Quân Thống Soái		Danh hiệu Tím	200	207	208	209									4	
citynpc29	128			Danh hiệu Tím	200	207	208	209									4	
citynpc30	129			Danh hiệu Tím	200	207	208	209									4	
citynpc31	130			Danh hiệu Hồng	200	210	211	212									5	
citynpc32	131			Danh hiệu Hồng	200	210	211	212									5	
citynpc33	132			Danh hiệu Hồng	200	210	211	212									5	
citynpc34	133			Danh hiệu Hồng	200	210	211	212									5	
citynpc35	134			Danh hiệu Hồng	200	210	211	212									5	
citynpc36	135			Danh hiệu Hồng	200	210	211	212									5	
citynpc37	136			Danh hiệu Hồng	200	210	211	212									5	
citynpc38	137			Danh hiệu Hồng	200	210	211	212									5	
citynpc39	138			Danh hiệu Hồng	200	210	211	212									5	
citynpc40	139			Danh hiệu Hồng	200	210	211	212									5	
citynpc41	140			Danh hiệu Cam	200	213	214	215									6	
citynpc42	141			Danh hiệu Cam	200	213	214	215									6	
citynpc43	142			Danh hiệu Cam	200	213	214	215									6	
citynpc44	143			Danh hiệu Cam	200	213	214	215									6	
citynpc45	144			Danh hiệu Cam	200	213	214	215									6	
citynpc46	145			Danh hiệu Cam	200	213	214	215									6	
citynpc47	146			Danh hiệu Cam	200	213	214	215									6	
citynpc48	147			Danh hiệu Cam	200	213	214	215									6	
citynpc49	148			Danh hiệu Cam	200	213	214	215									6	
citynpc50	149			Danh hiệu Cam	200	213	214	215									6	
birthplacenpc1	150	Vô Ưu Thiếu Nữ		Danh hiệu Tím	200	207	208	209								NPC Tân Thủ Thôn	4	
birthplacenpc2	151	Tuyệt Thế Kiêu Hùng		Danh hiệu Hồng	200	210	211	212								NPC Tân Thủ Thôn	5	
birthplacenpc3	152	Thôn Dân		Danh hiệu lam	200	204	205	206								NPC Tân Thủ Thôn	3	
birthplacenpc4	153	Thôn Dân		Danh hiệu lam	200	204	205	206								NPC Tân Thủ Thôn	3	
birthplacenpc5	154	Thôn Dân		Danh hiệu lam	200	204	205	206								NPC Tân Thủ Thôn	3	
birthplacenpc6	155	Thôn Dân		Danh hiệu lam	200	204	205	206								NPC Tân Thủ Thôn	3	
birthplacenpc7	156	Tàng Kiếm Trang Chủ		Danh hiệu Tím	200	207	208	209								NPC Tân Thủ Thôn	4	
birthplacenpc8	157	Thôn Dân		Danh hiệu Lục	200	201	202	203								NPC Tân Thủ Thôn	2	
birthplacenpc9	158	Thôn Dân		Danh hiệu Lục	200	201	202	203								NPC Tân Thủ Thôn	2	
birthplacenpc10	159	Thôn Dân		Danh hiệu Lục	200	201	202	203								NPC Tân Thủ Thôn	2	
birthplacenpc11	160	Quản Lý Sư Đồ		Danh hiệu Hồng	200	210	211	212								NPC Tân Thủ Thôn	5	
Battle_NPC_1	201	Tống Đại Tướng		Danh hiệu Tím	200	207	208	209								Danh hiệu NPC Chiến Trường	4	
Battle_NPC_2	202	Tống Nguyên Soái		Danh hiệu Cam	200	213	214	215								Danh hiệu NPC Chiến Trường	6	
Battle_NPC_3	203	Kim Đại Tướng		Danh hiệu Tím	200	207	208	209								Danh hiệu NPC Chiến Trường	4	
Battle_NPC_4	204	Kim Nguyên Soái		Danh hiệu Cam	200	213	214	215								Danh hiệu NPC Chiến Trường	6	
Battle_NPC_5	205	Tấn công		Danh hiệu Trắng	200											Danh hiệu NPC Chiến Trường	1	
Battle_NPC_6	206	Hồi Sinh Lực		Danh hiệu Trắng	200											Danh hiệu NPC Chiến Trường	1	
Battle_Player_1	210	Tống Binh		Danh hiệu Trắng	200											Danh hiệu người chơi Chiến Trường	1	
Battle_Player_2	211	Tống Hiệu Úy		Danh hiệu Lục	200	201	202	203								Danh hiệu người chơi Chiến Trường	2	
Battle_Player_3	212	Tống Thống Lĩnh		Danh hiệu lam	200	204	205	206								Danh hiệu người chơi Chiến Trường	3	
Battle_Player_4	213	Tống Phó Tướng		Danh hiệu Tím	200	207	208	209								Danh hiệu người chơi Chiến Trường	4	
Battle_Player_5	214	Tống Đại Tướng		Danh hiệu Hồng	200	210	211	212								Danh hiệu người chơi Chiến Trường	5	
Battle_Player_6	215	Tống Nguyên Soái		Danh hiệu Cam	200	213	214	215								Danh hiệu người chơi Chiến Trường	6	
Battle_Player_7	216	Tuyển thủ Chiến Trường Tháng	Title_Normal;	Danh hiệu lam	200	204	205	206						1		Nhận tư cách Chiến Trường Tống Kim Tháng	3	
Battle_Player_8	217	Tuyển Thủ Chiến Trường Quý	Title_Normal;Title_Purple	Danh hiệu Tím	200	207	208	209						1		Nhận tư cách Chiến Trường Tống Kim Quý	4	
Battle_Player_10	219	Kim Binh		Danh hiệu Trắng	200											Danh hiệu người chơi Chiến Trường	1	
Battle_Player_11	220	Kim Hiệu Úy		Danh hiệu Lục	200	201	202	203								Danh hiệu người chơi Chiến Trường	2	
Battle_Player_12	221	Kim Thống Lĩnh		Danh hiệu lam	200	204	205	206								Danh hiệu người chơi Chiến Trường	3	
Battle_Player_13	222	Kim Phó Tướng		Danh hiệu Tím	200	207	208	209								Danh hiệu người chơi Chiến Trường	4	
Battle_Player_14	223	Kim Đại Tướng		Danh hiệu Hồng	200	210	211	212								Danh hiệu người chơi Chiến Trường	5	
Battle_Player_15	224	Kim Nguyên Soái		Danh hiệu Cam	200	213	214	215								Danh hiệu người chơi Chiến Trường	6	
Battle_Player_16	225	Đánh Đâu Thắng Đó	Title_Normal;Title_Gold	Danh hiệu Vàng	200	216	217	218	31536000					1		Đạt hạng 1 Chiến Trường Tống Kim-Năm	7	
KinTaskNpc1	300	Võ Si		Danh hiệu lam	200	204	205	206						1		NPC Nhiệm vụ Bang Hội	3	
FactionBattle1	301	Thiên Vương Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle2	302	Tiêu Dao Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle3	303	Đào Hoa Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle4	304	Nga Mi Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle5	305	Võ Đang Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle6	306	Thiên Nhẫn Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle7	307	Thiếu Lâm Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle8	308	Thúy Yên Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle9	309	Đường Môn Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle10	310	Côn Lôn Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle11	311	Thiên Vương Đại Sư Huynh	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle12	312	Tiêu Dao Đại Sư Huynh	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle13	313	Đào Hoa Đại Sư Tỷ	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle14	314	Nga Mi Đại Sư Tỷ	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle15	315	Võ Đang Đại Sư Huynh	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle16	316	Thiên Nhẫn Đại Sư Tỷ	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle17	317	Thiếu Lâm Đại Sư Huynh	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle18	318	Thúy Yên Đại Sư Tỷ	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle19	319	Đường Môn Đại Sư Huynh	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle20	320	Côn Lôn Đại Sư Tỷ	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle21	321	Cái Bang Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle22	322	Cái Bang Đại Sư Huynh	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle23	323	Ngũ Độc Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle24	324	Ngũ Độc Đại Sư Tỷ	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle25	325	Tàng Kiếm Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle26	326	Tàng Kiếm Đại Sư Huynh	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle27	327	Trường Ca Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle28	328	Trường Ca Đại Sư Tỷ	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle29	329	Thiên Sơn Tân Vương	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212						1		Hạng 1 Thi Đấu Môn Phái nhận được danh hiệu này	5	
FactionBattle30	330	Thiên Sơn Đại Sư Huynh	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle31	331	Thiên Sơn Đại Sư Tỷ	Title_Normal;Title_Orange	Danh hiệu Cam	200	213	214	215	2592000					1		Hạng 1 tuyển chọn Môn Phái Đại Sư Huynh/Đại Sư Tỷ được danh hiệu này	6	
FactionBattle32	332	Thiên Vương Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle33	333	Tiêu Dao Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle34	334	Đào Hoa Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle35	335	Nga Mi Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle36	336	Võ Đang Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle37	337	Thiên Nhẫn Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle38	338	Thiếu Lâm Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle39	339	Thúy Yên Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle40	340	Đường Môn Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle41	341	Côn Lôn Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle42	342	Cái Bang Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle43	343	Ngũ Độc Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle44	344	Tàng Kiếm Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle45	345	Trường Ca Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle46	346	Thiên Sơn Tân Vương Tháng	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	2592000					1		Danh hiệu dành cho hạng 1 Thi Đấu Môn Phái Tháng	5	
FactionBattle47	347	Thiên Vương Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle48	348	Tiêu Dao Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle49	349	Đào Hoa Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle50	350	Nga Mi Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle51	351	Võ Đang Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle52	352	Thiên Nhẫn Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle53	353	Thiếu Lâm Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle54	354	Thúy Yên Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle55	355	Đường Môn Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle56	356	Côn Lôn Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle57	357	Cái Bang Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle58	358	Ngũ Độc Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle59	359	Tàng Kiếm Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
FactionBattle60	360	Trường Ca Tân Vương Quý	Title_Normal;Title_Pink	Danh hiệu Hồng	200	210	211	212	7776000					1		Danh hiệu dành cho Hạng 1 Thi Đấu Môn Phái Quý	5	
