KEY_GROUP	KEY_ID_BEGIN	KEY_ID_END	TYPE	PLAYER_SAVE_TABLE	SYNC	DESC
59	1	10	0		1	Sự kiện Tháng 11
60	1	2	0		1	Hoạt động chào mừng mở cấp tối đa
61	1	100	0		1	Đặc Quyền
61	101	255	0		1	Kêu Gọi Người Chơi
62	1	10	0		1	Hoạt động Trung Thu
63	1	10	0		1	Tăng đạo cụ tiềm năng
64	1	10	0		1	Số lượng dùng đạo cụ buff
65	1	25	0		1	Thu thập Thẻ Hoạt Động Cẩm Tú Sơn Hà
65	50	52	0		1	Giám định hoạt động Cẩm Tú Sơn Hà
66	1	50	0		1	Hoạt động Vấn Đáp cuối tuần
66	51	51	0		1	Thêm năng động cho năng động ngày
66	56	60	0		1	Dữ liệu tăng cấp
67	1	20	0		1	Hoạt Động Cầu Nguyện
68	1	10	0		1	Đăng Nhập Nhận Thưởng
68	11	20	0		1	Hoạt Động Lễ Tình Nhân
68	21	40	0		1	Hoạt Động 8/3
68	41	80	0		1	Võ Lâm Đệ Nhất Mỹ Nhân
68	81	120	0		1	VLTK M Voice
69	1	50	0		1	Tết Trồng Cây Tiết kiệm
70	1	255	0		1	Tính thành tựu Lv6 đến Lv10
71	1	255	0		1	Tính thành tựu mở rộng từ Lv6 đến Lv10
72	1	255	0		1	Thành tựu vinh dự
73	1	10	0		1	Phó bản nhiệm vụ Đại Diện
74	1	50	0		1	Tết Trồng Cây  Tiết lưu  Dạng thực vật đơn
75	1	100	0		1	Nhiệm vụ tuần hoàn Võ Lâm Đại Sự
76	1	100	0		1	Cường hóa Yếu Quyết
78	1	2	0		1	Hoạt động giảm giá rút thẻ
79	1	10	0		1	Hướng dẫn gợi ý
80	1	255	0		1	Thưởng đăng nhập mỗi ngày, càn quét, Thẻ Tháng
81	1	2	0		1	Số lượng thưởng tối đa Đạo Bảo Tặc
82	1	255	0		0	Trạng thái hoàn thành khảo sát
83	1	2	0		1	Số lần dùng đạo cụ tăng lần truyền công
84	1	5	0		1	Treo máy rời mạng
85	1	4	0		1	Dữ liệu quà
86	1	27	0		1	Liên quan đến sdK, hiện đang dùng 27
87	1	27	0		0	Cache rút thẻ
88	1	3	0		1	Rút thẻ đồng bộ với thông tin Client
89	1	255	0		0	Thời gian phát Lì Xì 1
90	1	2	0		0	Thưởng tiếp xúc boss ngẫu nhiên
91	1	4	0		0	Kỷ lục lịch sử Võ Thần Điện
92	1	3	0		1	Số lần Tu Luyện Đơn
93	1	80	0		0	Quy tắc chế tạo Binh Giáp Phường, Hiếm
94	1	80	0		0	Quy tắc chế tạo Binh Giáp Phường, Kế thừa
95	1	1	0	0	1	Bí Kíp
96	1	2	0		1	Số lần bỏ phiếu đại sư huynh và thời gian mở bỏ phiếu kỳ này
97	1	2	0		1	Giới hạn số lần đoạt Lì Xì cá nhân
98	1	2	0		1	Thời gian ủy thác thiết lập thời gian treo máy
99	1	2	0		1	Ủy thác online bắt đầu
100	1	2	0		0	Nhật ký phân loại Client Minh Chủ Võ Lâm
101	1	255	0		1	Ghi dữ liệu Đồng Hành có
102	1	2	0		0	Đổi bồi thường Túi Quà VIP
103	1	3	0		0	Hoa Sơn Luận Kiếm
104	1	5	0		0	Chuyển phái
105	1	3	0		1	Đoán Hoa Sơn Luận Kiếm
106	1	255	0		0	Tiến độ mục tiêu sư đồ
107	1	10	0		0	Danh hiệu Sư Đồ
108	1	1	1		0	FacebookId khóa với Efun
109	1	255	0		1	Tiệm Danh Vọng
110	1	1	0		0	Vinh dự Hoa Sơn Luận Kiếm
111	1	1	0		1	ID Đồng Hành
112	1	10	0		1	Thuộc tính người chơi
113	1	1	0		1	Sách Tâm Đắc
114	1	2	0		1	Số lần dùng Sách Tâm Đắc
115	1	4	0		1	Rút thưởng
116	1	4	0		1	Hoạt động tặng chúc phúc
117	1	1	0		1	Dữ liệu tự động đồng ý tổ đội
118	1	10	0		1	Tâm Ma Ảo Cảnh
119	1	2			1	Số lần Ghép Câu Nối Chữ
120	1	2	0		1	Số lần Thủ Vệ Danh Hiệp
121	1	1	0		0	Hoạt động Thêm Quà Mỗi Ngày
122	1	6	0		1	Ném Tuyết
123	1	5	0		1	Lễ Trồng Cây
124	1	50	0		1	Đá Khắc Chữ
125	1	2	0		1	Tỉ Võ Chiêu Thân
126	1	255	0		1	Tiền tố kênh chat và thời gian hết hạn
127	1	10	0		1	Đồng Hành Thức Tỉnh
128	1	2	0		1	Rương Niên Thú
129	1	1	0		1	Rương số lần giới hạn hoạt động
130	1	2	0		1	Chủ gia viên, thời gian vào
131	1	8	0		1	Tịnh Tâm
132	1	61	0		0	Chế tạo Chân Nguyên
133	1	2	0		1	Số lần chăm sóc
133	3	4	0		1	Số lần trợ giúp chăm sóc
134	1	20	0		1	Số lần cấp tối đa kỹ năng
135	1	10	0		1	Đạo cụ mở rộng hành trang
136	1	2	0		1	Đại Hội Võ Lâm
137	1	5	0		0	Thủ Vệ Gia Viên, 5 là thời gian hộ trì Cây Hoa Đào Gia Viên
138	1	1	0		1	Thời gian đăng nhập lần trước
139	1	10	0		1	Kết Hôn
139	11	11	1		0	Hậu tố danh hiệu kết hôn
139	12	12	1		1	Thành tựu cũ đã đạt chưa
140	1	255	0		1	Kinh Mạch
141	1	255	0		1	Kinh Mạch
142	1	5	0		1	Kinh Mạch Đan Điền
143	1	2	0		1	Số lượng Vé Thưởng
144	1	3	0		1	Xem quan hệ hảo hữu
145	1	2	0		1	Mở hình nền ngoại trang
146	1	4	0		1	Nhiệm vụ Thí Luyện Trận Pháp
147	1	10	0		1	Hoạt động Ngày Lễ
148	1	5	0		1	Đắp Người Tuyết
149	1	1	0		1	Thông tin trừng phạt, 1 thời gian quá hạn vào Thiên Lao
150	1	1	0		0	Thư bồi thường chung
151	1	10	0		1	Thú Cưng
152	1	5	0		1	Tẩy Tủy giảm giá
153	1	255	0		1	Kinh Mạch
154	1	10	0		1	Đoạt Huy Chương
155	1	255	0		1	Tuyệt Học
156	1	1	0		1	Nội dung khảm
157	1	2	0		0	Thiên Cơ Trận
157	3	6	0		1	Số lần Thiên Cơ Trận
158	1	255	0		1	Môn Khách Đồng Hành
159	1	255	0		1	Môn Khách Đồng Hành
160	1	255	0		1	Môn Khách Đồng Hành
161	1	255	0		1	Môn Khách Đồng Hành
162	1	255	0		1	Môn Khách Đồng Hành
163	1	255	0		1	Môn Khách Đồng Hành
164	1	255	0		1	Môn Khách Đồng Hành
165	1	255	0		1	Môn Khách Đồng Hành
166	1	255	0		1	Môn Khách Đồng Hành
167	1	255	0		1	Môn Khách Đồng Hành
168	1	255	0		1	Môn Khách Đồng Hành
169	1	255	0		1	Môn Khách Đồng Hành
170	1	255	0		1	Môn Khách Đồng Hành
171	1	5	0		1	Phái Môn Khách
172	1	10	0		0	Tiệc Bang Hội
173	1	5	0		1	Nhiệm vụ Kiếm Ý Phong Lưu
174	1	1000	0		1	Ký hiệu nhận thành tựu
175	1	1000	0		1	Nhóm dữ liệu thành tựu
176	1	10	0		1	Nhiệm Vụ Tình Duyên
177	1	2	0		0	Vong Ưu Tửu Quán
177	3	3	0		1	Vong Ưu Tửu Quán
178	1	255	0		1	Mở khóa đồ chơi
179	1	255	0		1	Số lần dùng đồ chơi
180	1	10	0		1	Tàng Bảo Đồ
181	1	10	0		1	 Sư Huynh
182	1	90	0		1	Thu thập thành tựu
182	91	100	0		1	Số lần nhận thưởng mỗi ngày thành tựu
183	1	10	0		1	Nhiệm vụ phân tuyến
184	1	255	0		0	Thời gian phát Lì Xì 2
185	1	255	0		0	Thời gian phát Lì Xì 3
187	1	255	0		0	Thưởng Nối Rồng
189	1	255	0		1	Thưởng hạng tái lập Võ Thần Điện
