szTimeFrame	nNpcTID	Npc	Name	nMapId	nX	nY	Desc	nDir
OpenLevel89	1970	Nam Cung Phi	Miêu Lĩnh	404	5170	2860	Nam	40
OpenLevel89	1971	Yên Nhược Tuyết	Điểm Thương Sơn	405	14240	5440	Đông	0
OpenLevel89	1972	Mạnh Tri Thu	Phế Tích Dạ Lang	409	630	4270	Nam	0
OpenLevel89	1973	Nguyệt My Nhi	Hưởng Thủy Động	406	10450	12250	Bắc	32
OpenLevel89	1974	Dương Ảnh Phong	Kiến Tính Phong	407	5430	4560	Nam	41
OpenLevel89	1975	Tường Vi	Kiếm Môn Quan	408	2400	10630	Tây Nam	39
OpenLevel89	1976	Trương Như Mộng	Tiến Cúc Động	410	1770	8930	Tây Nam	16
OpenLevel89	1977	Nam Cung Thái Hồng	Phục Ngưu Sơn	411	14250	5260	Đông Bắc	45
OpenLevel89	1978	Trác Phi Phàm	Chiến Trường Cổ	412	14666	5600	Đông Bắc	50
OpenLevel89	1979	Tử Hiên	Phong Lăng Độ	419	14630	10560	Bắc	44
OpenLevel89	1980	Sài Tung	Kỳ Liên Sơn	413	16330	9830	Bắc	41
OpenLevel89	1981	Dương Anh	Kỳ Liên Sơn	413	6500	13420	Tây	35
OpenLevel89	1982	Hồ Thần Y	Di Tích Sa Mạc	414	3060	12980	Tây	40
OpenLevel89	1983	Thu Y Thủy	Di Tích Sa Mạc	414	13600	2470	Đông	42
OpenLevel89	1984	Vạn Kim Tài	Đôn Hoàng Cổ Thành	415	14000	13780	Bắc	40
OpenLevel89	1985	Ngu Cơ	Đôn Hoàng Cổ Thành	415	5940	2580	Nam	15
