bMoney	szTitle	szA1	szA2	szA3	szA4	szA5	szA6	szA7	szA8
	%s chuộng dòng thuộc tính nào dưới đây?	Thể chất	Sức mạnh	Nhanh nhẹn	Linh hoạt	Chính xác	Né tránh	Bạo Kích	Hút sinh lực
	%s thích nhất quả nào dưới đây?	Chuối	Táo	Nho	Thanh Long	Dứa	Dây Tây	Lê	Trái Vải
	%s khi nhàn rỗi làm gì để tiêu khiển?	Treo máy Lửa Trại	Ngắm phong cảnh	Trò chuyện	Ngồi im	Rời mạng	Giúp người khắp nơi	Gây hấn khắp nơi	Đi dạo
	%s thích nhất hoạt động phúc lợi nào?	Quà Nguyên Bảo	Quà Mỗi Ngày	Đầu Tư	Điểm Danh Nhận Thưởng	Rung Cây Tiền	Ủy Thác Rời Mạng	Nhận Lại Phần Thưởng	Đều thích
	%s thích BXH nào dưới đây hơn?	Bang Hội	Lực Chiến	Cấp	Trang Bị	Đồng Hành	Vinh Dự Võ Lâm	Gia Viên	Hấp dẫn
	%s thích nhất thành tựu ở phương diện nào?	Bôn Ba Giang Hồ	Tình Nghĩa Giang Hồ	Thần Binh Bảo Giáp	Phúc Lợi Giang Hồ	Trải Nghiệm Giang Hồ	Tỉ Võ	Công Thành Đoạt Bảo	Đều thích
	%s thích nhất hiệu quả bất lợi nào dưới đây?	Bị Thương	Choáng	Làm Chậm	Tàn Phế	Tê liệt	Bạo Kích	Đều thích	Giảm kháng
	%s thích nhất nhân vật nào dưới đây?	Nam Cung Diệt	Tử Hiên	Nạp Lan Chân	Nguyệt My Nhi	Tường Vi	Phương Miễn	Hoàn Nhan Hồng Liệt	Gia Luật Trừ Tà
	%s thích nhất môn phái nào dưới đây?	Côn Lôn	Cái Bang	Thiên Sơn	Nga Mi	Trường Ca	Đường Môn	Thiếu Lâm	Thiên Nhẫn
	%s thích nhất hoạt động ngày nào dưới đây?	Lăng Tuyệt Phong	Tàng Bảo Đồ	Bang Hội Truyền Công	Luyện Công Ngoài Thành	Sơn Tặc Mật Quật	Võ Thần Điện	Nhiệm Vụ Thương Hội	Ngồi Thiền Tịnh Tâm
	%s thích nhất hoạt động hạn giờ nào dưới đây?	Quần Anh Hội	Thông Thiên Tháp	Danh Tướng	Tần Lăng	Thủy Hoàng Giáng Thế	Công Thành Chiến	Thí Luyện Bang Hội	Tâm Ma Ảo Cảnh
	%s tiêu hao Nguyên Bảo vào phương diện nào nhiều nhất?	Cường hóa	Khảm	Trang bị cơ bản	Gia Viên	Chân Nguyên	Đồng Hành	Kinh Mạch	Quân Hàm
	%s tiêu hao Nguyên Bảo cách nào nhiều nhất?	Đấu Giá	Bày bán	Nhận Lại Phần Thưởng	Ủy Thác Rời Mạng	Rung Cây Tiền	Mời Đồng Hành	Trân Bảo Các	Góp Bang Hội
	Người thân thiết nhất của %s là quan hệ gì?	Sư Phụ	Đồ Đệ	Chỉ là hảo hữu	Kết Bái	Hiệp Lữ	Phu thê	Kẻ Địch	Chỉ cùng bang hội
	%s cho rằng sức mạnh phương diện nào dưới đây hữu dụng nhất?	Cường hóa	Khảm	Trang bị cơ bản	Gia Viên	Chân Nguyên	Đồng Hành	Kinh Mạch	Quân Hàm
	%s thích loại hoa nào nhất?	Mẫu Đơn	Hoa Hồng	Hoa hồng	Mạt Lị	Mạn Đà La	Cẩm Chướng	Thủy Tiên	Hoa Bỉ Ngạn
	%s thích loại vận động nào nhất?	Bóng Rổ	Bóng Đá	Bóng Bàn	Chạy bộ	Bơi	Quần vợt	Cầu Lông	Bắn cung
	%s thích loại âm nhạc nào nhất?	Phổ Thông	Lưu Hành	Tước Sĩ	Cổ Điển	Ca Dao	Điện Âm	Sôi Động	Thuyết Giảng
	%s thích thể loại sách nào nhất?	Lịch sử	Võ Hiệp	Suy Luận	Khoa học viễn tưởng	Ngôn tình	Triết Học	Thiết kế	Quân Sự
	%s thích xem thể loại phim nào nhất?	Hài kịch	Động tác	Tình Cảm	Khoa học viễn tưởng	Lịch sử	Chiến đấu	Võ Hiệp	Siêu nhiên
	%s thích làm gì trong lúc rảnh rỗi?	Ca hát	Vận động	Trò chơi trên bàn	Trò chơi	Hội Họa	Thư Pháp	Đọc	Xem kịch
	%s thích loại cờ nào nhất?	Cờ Luzhanqi	Cờ tướng thường	Cờ vây	Ngũ Tử Kỳ	Cờ nhảy	Cờ tướng quốc tế	Cờ thú	Cờ Bay
	%s thích nhạc cụ nào nhất?	Nhạc cụ dây	Nhạc cụ ống	Nhạc cụ ống đồng	Nhạc cụ gõ	Thể Minh Lạc Khí	Mạc Minh Lạc Khí	Nhạc cụ hơi	Nhạc cụ dây đàn
	%s thích món ăn nào nhất?	Tứ Xuyên	Món Sơn Đông	Quảng Đông	Giang Tô	Phúc Kiến	An Huy	Hồ Nam	Chiết Thái
