nId	nNpcTemplateId	nMapTemplateId	szTitle	nAnswerId	szA1	szA2	szA3	szA4
40	88	10	Bản đồ nào sau đây không thể xuất hiện Đặo Tặc Trừng Ác	3	Bờ Hồ Động Đình-Lv20	Miêu Lĩnh-Lv20	Tỏa Vân Uyên-Lv10	Điểm Thương Sơn-Lv20
30	626	10	Góp Bang Hội [FFFE0D]có lợi ích gì[-]?	2	Nhận Bạc và Cống hiến	Nhận cống hiến và quỹ Bang Hội	Nhận quỹ Bang Hội và Vàng	Nhận điểm kỹ năng và tăng cấp Bang Hội
31	626	10	Mục nào bên dưới [FFFE0D]không phải[-] lợi ích vào Bang Hội	4	Mua Hộp quà	Mua Đồ Cổ	Mua trang bị	Mua Gia Viên
32	624	10	Cách tìm「Động Thần Bí」?	3	Ải	Do thám-	Tàng Bảo Đồ	Lăng Tuyệt Phong
33	624	10	Cách nói nào dưới đây là  [FFFE0D]sai[-] khi nói về lời mời trong「Động Thần Bí」?	2	Thông qua dễ dàng hơn	Sẽ giảm phần thưởng	Có thể kết giao hảo hữu	Tăng thân mật hảo hữu
34	91	10	Phẩm chấp trang bị/Đạo cụ trong game được phân chia [FFFE0D]từ cao đến thấp[-] là	1	Cam>Hồng>Tím>Lam>Lục>Trắng	Tím>Cam>Hồng>Lam>Lục>Trắng	Hồng>Cam>Tím>Lam>Lục>Trắng	Cam>Tím>Hồng>Lam>Lục>Trắng
35	91	10	Khi nhận 1 trang bị cùng bậc với trang bị trên người nên làm thế nào?	3	Bán Cho Thương Nhân	Cường hóa	Tẩy luyện	Tách
36	633	10	Khiêu chiến Võ Thần Điện được mang theo bao nhiêu đồng hành?	4	1	2	3	4
37	633	10	Võ Thần Điện mỗi ngày phát thưởng lúc nào?	2	21:00	22:00	23:00	0:00
38	633	10	Cách một khoảng thời gian Võ Thần Điện sẽ hồi phục 1 lần	3	2 giờ	3 giờ	4 giờ 	5 giờ 
39	632	10	Bản đồ cấp bao nhiêu sẽ xuất hiện quái thủ lĩnh?	2	Lv10	Lv20	Lv30	Lv40
41	625	10	Cấp bao nhiêu bắt đầu tham gia Bí Cảnh Tổ Đội?	1	Lv15	Lv20	Lv25	Lv30
42	625	10	Bí Cảnh Tổ Đội mỗi ngày có thể khiêu chiến mấy lần?	2	1 lần	2 lần	3 lần	4 lần
43	627	10	Khiêu chiến Minh Chủ Võ Lâm mở vào thời gian nào?	4	11:00-11:30	11:30-12:00	12:00-12:30	12:30-13:00
44	627	10	Khiêu chiến Minh Chủ Võ Lâm mở vào thời gian nào?	3	18:30-19:00	19:00-19:30	19:30-20:00	20:00-20:30
45	627	10	Nhiệm vụ Thương Hội [FFFE0D]tối thiểu[-] cần thu thập bao nhiêu vật phẩm mới được trả?	2	5 vật phẩm	6 vật phẩm	7 vật phẩm	8 vật phẩm
