ParamId	DefaultRandomId	Desc0	TimeFrame1	RandomId1	Desc1	TimeFrame2	RandomId2	Desc2	TimeFrame3	RandomId3	Desc3	TimeFrame4	RandomId4	Desc4	TimeFrame5	RandomId5	Desc5	TimeFrame6	RandomId6	Desc6	TimeFrame7	RandomId7	Desc7	TimeFrame8	RandomId8	Desc8	TimeFrame9	RandomId9	Desc9	TimeFrame10	RandomId10	Desc10	Desc
11	2165		OpenLevel69	2669		OpenLevel79	2670		OpenLevel89	2671		OpenLevel99	2672		OpenLevel109	2673		OpenLevel119	2674		OpenLevel129	2675		OpenLevel139	2676								Rương Đá Hồn Lv4 (Lớn)
12	3231		OpenLevel69	3232		OpenLevel79	3233		OpenLevel89	3234		OpenLevel99	3235		OpenLevel109	3236		OpenLevel119	3237		OpenLevel129	3238		OpenLevel139	3239								Rương Đá Hồn Lv4 (Nhỏ)
13	3593		OpenLevel39	3593																													Đá Khắc Chữ Ngẫu Nhiên
14	45210		OpenDay33	45211																													Quà Đáp Đúng
15	45220		OpenDay33	45221																													Quà Đáp Sai
16	45230		OpenDay33	45231																													Quà Thủ Vệ 1
17	45240		OpenDay33	45241																													Quà Thủ Vệ 2
18	45250		OpenDay33	45251																													Quà Thủ Vệ 3
19	45260		OpenDay33	45261																													Quà Thủ Vệ 4
20	45270		OpenDay33	45271																													Quà Thủ Vệ 5
21	45280		OpenDay33	45281																													Quà Thủ Vệ 6
22	45290		OpenDay33	45291																													Quà Thủ Vệ 7
23	4624		OpenLevel49	4624		OpenLevel59	4625		OpenLevel69	4626		OpenLevel79	4627		OpenLevel89	4628		OpenLevel99	4629		OpenLevel109	4630		OpenLevel119	4651								Rương Vũ Khí Kế Thừa
24	4633		OpenLevel49	4633		OpenLevel59	4634		OpenLevel69	4635		OpenLevel79	4636		OpenLevel89	4637		OpenLevel99	4638		OpenLevel109	4639		OpenLevel119	4650								Rương Vũ Khí Hiếm
25	4641		OpenLevel49	4641		OpenLevel59	4642		OpenLevel69	4643		OpenLevel79	4644		OpenLevel89	4645		OpenLevel99	4646		OpenLevel109	4647		OpenLevel119	4649								Rương Trang Sức Kế Thừa
26	4652		OpenLevel49	4652		OpenLevel59	4653		OpenLevel69	4654		OpenLevel79	4655		OpenLevel89	4656		OpenLevel99	4657		OpenLevel109	4658		OpenLevel119	4659								Rương Trang Sức Hiếm
27	4660		OpenLevel49	4660		OpenLevel59	4661		OpenLevel69	4662		OpenLevel79	4663		OpenLevel89	4664		OpenLevel99	4665		OpenLevel109	4666		OpenLevel119	4667								Rương Phòng Cụ Kế Thừa
28	4668		OpenLevel49	4668		OpenLevel59	4669		OpenLevel69	4670		OpenLevel79	4671		OpenLevel89	4672		OpenLevel99	4673		OpenLevel109	4674		OpenLevel119	4675								Rương Phòng Cụ Hiếm
29	4676		OpenDay69	4680																													Rương Nguyên Liệu Gia Cụ
30	4679		OpenDay69	4681		OpenDay114	4682																										Rương Nguyên Liệu Gia Cụ-Cao
31	4801		OpenDay3C	4802		OpenDay6	4803		OpenDay7	4804		OpenDay35	4805		OpenDay52	4806		OpenDay116	4807		OpenDay128	4808		OpenLevel109	4809		OpenDay251	4810					Rương Chiêu Mộ Đồng Hành
