ParamId	RandomId1	Level1	RandomId2	Level2	RandomId3	Level3	RandomId4	Level4	RandomId5	Level5	RandomId6	Level6	RandomId7	Level7	RandomId8	Level8	RandomId9	Level9	RandomId10	Level10	RandomId11	Level11	RandomId12	Level12	RandomId13	Level13	RandomId14	Level14	RandomId15	Level15	Desc
78	2474	59	2475	89	2476	99																									Rương Lăng Tuyệt Phong-Bạch Ngân
79	22164	49	22165	59	22166	69	22167	79	22168	89	22169	100																			
81	27070	49	27071	59	27072	69	27073	79	27074	89	27075	99	27076	109	27077	119	27078	129	27079	139	27080	149	27081	159	27082	169	27083	179			Rương Mừng Lễ
84	26930	69	26931	79	26932	89	26933	99	26934	119	26935	129																			Tần Lăng-Huyền Thiên Võ Cơ rơi-Trục thời gian
85	26940	69	26941	79	26942	89	26943	99	26944	119	26945	129																			Tần Lăng-Bạch Khởi rơi-Trục thời gian
86	26950	69	26951	79	26952	89	26953	99	26954	119	26955	129																			Tần Lăng-Lý Tư rơi-Trục thời gian
87	28410	69	28411	79	28412	89	28413	99	28414	119	28415	129																			Tần Lăng-Đạo Mộ Tặc rơi-Cấp
88	28420	69	28421	79	28422	89	28423	99	28424	119	28425	129																			Tần Lăng-Đạo Tặc Đầu Mục rơi-Cấp
89	28430	69	28431	79	28432	89	28433	99	28434	119	28435	129																			Tần Lăng-Mở Rương Cổ Kim-Cấp
90	28440	69	28441	79	28442	89	28443	99	28444	119	28445	129																			Tần Lăng-Quái nhỏ rơi-Cấp
91	28450	69	28451	79	28452	89	28453	99	28454	119	28455	129																			Tần Lăng-Tinh Anh rơi-Cấp
92	2587	69	2588	79	2589	89	2590	99	28530	109	28531	119	28532	129	28533	139															Rương Hoa Sơn Luận Kiếm
93	22285	89	22239	99	22213	109	22412	119																							Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội 1 Lv80
94	22286	89	22238	99	22214	109	22413	119																							Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội 2 Lv80
95	22287	89	22237	99	22215	109	22414	119																							Thưởng BOSS Bí Cảnh Tổ Đội Lv80
96	22288	89	22236	99	22216	109	22415	119																							Thưởng Bí Cảnh Tổ Đội-Hiếm Lv80
97	3088	39	3089	59	3090	100																									Rương Tín Vật Trừng Ác (Trắng)
98	3091	39	3092	59	3093	100																									Rương Tín Vật Trừng Ác (Lục)
99	3094	39	3095	59	3096	100																									Rương Tín Vật Trừng Ác (Lam)
100	3097	39	3098	59	3099	100																									Rương Tín Vật Trừng Ác (Tím)
101	3100	39	3101	59	3102	100																									Rương Tín Vật Trừng Ác (Cam)
102	3103	39	3104	59	3105	99																									Rương Tín Vật Bang
103	32300	49	32301	59	32302	69	32303	79	32304	89	32305	99	32306	109	32307	119	32308	129	32309	139											Phúc lợi/Hộp Quà Tín Dụng
105	34030	59	34031	79	34032	100																									Hộp Quà Tạ Ơn
106	34817	69	34818	79	34810	89	3481	99	34811	109	34812	119	34813	129	34814	139	34815	149	34816	159	34819	169	348110	179							Rương Hoàng Kim Ảo Cảnh
107	34827	69	34828	79	34820	89	3482	99	34821	109	34822	119	34823	129	34824	139	34825	149	34826	159	34829	169	348210	179							Rương Bạch Ngân Ảo Cảnh
108	1240	39	12401	49	12402	59	12403	69	12404	79	12405	89	12406	99																	Quà Nạp Lần Đầu
109	35150	59	35151	100																											Quà Năng Động Mục Tiêu Ngày
110	3593	99																													Đá Khắc Chữ Ngẫu Nhiên
111	37130	59	37131	69	37132	79	37133	89																							Rương Niên Thú
112	37870	59	37871	69	37872	79	37873	89	37874	99	37875	109																			Quà Tình Duyên
113	39090	59	39091	69	39092	79	39093	89	39094	99	39095	109																			Hộp Quà Nữ Hiệp 
114	39310	59	39311	69	39312	79	39313	89	39314	99	39315	109																			Hộp Quà Nữ Thần
115	39480	59	39481	69	39482	79	39483	89	39484	99	39485	109																			Hộp Nuôi Dưỡng
116	39570	59	39571	69	39572	79	39573	89	39574	99	39575	119																			Bạc lẻ
117	39580	59	39581	69	39582	79	39583	89	39584	99	39585	119																			Rương Tết Trồng Cây
118	22217	109	22417	119																											Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội 1 Lv100
119	22218	109	22418	119																											Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội 2 Lv100
120	22219	109	22419	119																											Thưởng BOSS Bí Cảnh Tổ Đội Lv100
121	22220	109	22420	119																											Thưởng Bí Cảnh Tổ Đội-Hiếm Lv100
122	749	39	750	49	751	59	752	69	44650	79	21780	89	44651	99	21782	109	44652	119	21784	129	21785	139	21786	149	21787	159	21788	169	21789	179	Rương Võ Thần-Hoàng Kim
123	754	39	760	49	761	59	762	69	44660	79	21790	89	44661	99	21792	109	44662	119	21794	129	21795	139	21796	149	21797	159	21798	169	21799	179	Rương Võ Thần-Bạch Ngân
124	749	39	750	49	751	59	752	69	753	79	21780	89	21781	99	21782	109	44652	119	21784	129	21785	139	21786	149	21787	159	21788	169	21789	179	Rương Võ Thần-Hoàng Kim (Gia Cụ Lv4) 
125	754	39	760	49	761	59	762	69	763	79	21790	89	21791	99	21792	109	44662	119	21794	129	21795	139	21796	149	21797	159	21798	169	21799	179	Rương Võ Thần-Bạch Ngân (Gia Cụ Lv4) 
126	749	39	750	49	751	59	752	69	753	79	21780	89	21781	99	21782	109	21783	119	21784	129	21785	139	21786	149	21787	159	21788	169	21789	179	Rương Võ Thần-Hoàng Kim (Gia Cụ Lv5) 
127	754	39	760	49	761	59	762	69	763	79	21790	89	21791	99	21792	109	21793	119	21794	129	21795	139	21796	149	21797	159	21798	169	21799	179	Rương Võ Thần-Bạch Ngân (Gia Cụ Lv5) 
128	46830	59	46831	119																											
129	47910	49	47911	59	47912	69	47913	79	47914	89	47915	99	47916	109	47917	119															Rương Mừng Sinh Nhật-Kế Thừa
130	47920	49	47921	59	47922	69	47923	79	47924	89	47925	99	47926	109	47927	119															Rương Mừng Sinh Nhật-Hiếm
131	47928	49	47928	59	47928	69	47928	79	47928	89	47928	99	47928	109	47928	119															Rương Mừng Sinh Nhật-Phụ
132	48890	59	48891	69	48892	79	48893	89	48894	99	48895	109																			Quà Chúc Phúc
133	48900	59	48901	69	48902	79	48903	89	48904	99	48905	109																			Quà Danh Sư
134	54300	59	54301	69																											Hộp Quà Nguyên Khí/Cống Hiến
135	60120	79	60121	99	60122	119	60123	139																							Quà Đại Hội Võ Lâm
136	60940	129	60941	139	60942	149	60943	159	60944	169	60945	179																			Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội Lv120 1
137	60950	129	60951	139	60952	149	60953	159	60954	169	60955	179																			Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội Lv120 2
138	60960	129	60961	139	60962	149	60963	159	60964	169	60965	179																			Thưởng BOSS Bí Cảnh Tổ Đội Lv120
139	60970	129	60971	139	60972	149	60973	159	60974	169	60975	179																			Thưởng Bí Cảnh Tổ Đội Lv120-Hiếm
140	755	39	756	49	757	59	758	69	759	79	3008	89	6110	99	61100	109	61101	119	61102	129	61103	139	61104	149	61105	159	61106	169	61107	179	Rương Chiến Trường-Hoàng Kim
141	2148	39	2149	49	2150	59	2151	69	2152	79	3009	89	6111	99	61110	109	61111	119	61112	129	61113	139	61114	149	61115	159	61116	169	61117	179	Rương Chiến Trường-Bạch Ngân
142	63860	79	63861	89	63862	109	63863	119	63864	129																					Thần Châu Đại Địa Quyển
143	65530	79	65531	89	65532	109	65533	119																							Thần Châu Đại Địa Quyển (Nhỏ)
144	68660	49	68661	59	68662	69	68663	79	68664	89	68665	99	68666	109	68667	119	68668	129													Rương OB
145	68780	49	68781	59	68782	69	68783	79	68784	89	68785	99	68786	109	68787	119	68788	129													Rương Mừng OB
146	73510	59	73511	69	73512	79	73513	89	73514	99	73515	109																			Quà Ngày Lễ
147	73800	79	73801	89	73802	99																									Rương Hoàng Kim Quần Anh Hội
148	78830	49	78831	59	78832	69	78833	79	78834	89	78835	99	78836	109	78837	119	78838	129	78839	139	78840	149									Cánh Hoa Đào
149	103020	59	103021	69	103022	79	103023	89																							Rương Nguyên Tiêu
150	104380	49	104381	59	104382	69	104383	79	104384	89	104385	99	104386	109	104387	119	104388	129	104389	139	104390	149	104391	159	104392	169	104393	179			Rương Pháo Hoa
