ShowType	Name	Faction	Sex	ResId	IconId	BigIconId	Desc	Desc2
27	Rương Ngoại Trang【Huyền Giáp Thiết Kỵ】	1|7|10|11|16	1		3696	3696		
27	Rương Ngoại Trang【Vũ Lạc Trần Thương】	2|4|5|6|8|10|14|15|17|18|20	2		3696	3696		
27	Rương Ngoại Trang【Già Lam Thính Vũ】	1|3|11|12|16|19	2		3696	3696		
27	Rương Ngoại Trang【Mặc Ngữ Vô Trần】	4|5|9|13|15|17|18|19|20	1		3696	3696		
28	Rương Ngoại Trang【Cuồng Khách】	1|7|10|11|16	1		3696	3696		
28	Rương Ngoại Trang【Quyến Giả】	2|4|5|6|8|10|14|15|17|18|20	2		3696	3696		
28	Rương Ngoại Trang【Mị Linh】	1|3|11|12|16|19	2		3696	3696		
28	Rương Ngoại Trang【Tà Hiệp】	4|5|9|13|15|17|18|19|20	1		3696	3696		
29	Rương Ngoại Trang【Thanh Trúc Mịch Ảnh】	1|7|10|11|16	1		3696	3696		
29	Rương Ngoại Trang【Lạc Hoa Ánh Tuyết】	2|4|5|6|8|10|14|15|17|18|20	2		3696	3696		
29	Rương Ngoại Trang【Lạc Hoa Ánh Tuyết】	1|3|11|12|16|19	2		3696	3696		
29	Rương Ngoại Trang【Thanh Trúc Mịch Ảnh】	4|5|9|13|15|17|18|19|20	1		3696	3696		
30	Rương Ngoại Trang【Phù Quang-Mộng Vũ】	1|7|10|11|16	1		3696	3696		
30	Rương Ngoại Trang【Phù Quang-Mộng Điệp】	2|4|5|6|8|10|14|15|17|18|20	2		3696	3696		
30	Rương Ngoại Trang【Phù Quang-Mộng Điệp】	1|3|11|12|16|19	2		3696	3696		
30	Rương Ngoại Trang【Phù Quang-Mộng Vũ】	4|5|9|13|15|17|18|19|20	1		3696	3696		
31	Rương Ngoại Trang【Phong Động-Thương Lan】	1|7|10|11|16	1		3696	3696		
31	Rương Ngoại Trang【Huỳnh Vũ-Hoa Gian】	2|4|5|6|8|10|14|15|17|18|20	2		3696	3696		
31	Rương Ngoại Trang【Huỳnh Vũ-Hoa Gian】	1|3|11|12|16|19	2		3696	3696		
31	Rương Ngoại Trang【Phong Động-Thương Lan】	4|5|9|13|15|17|18|19|20	1		3696	3696		
32	Rương Ngoại Trang【Thương Lan】	1|7|10|11|16	1		3696	3696		
32	Rương Ngoại Trang【Hoa Gian】	2|4|5|6|8|10|14|15|17|18|20	2		3696	3696		
32	Rương Ngoại Trang【Hoa Gian】	1|3|11|12|16|19	2		3696	3696		
32	Rương Ngoại Trang【Thương Lan】	4|5|9|13|15|17|18|19|20	1		3696	3696		
101	Chiếu Dạ Ngọc Sư Tử	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		1	1036	1036		
102	Táo Hồng Mã	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		2	1033	1033		
103	Ô Vân Đạp Tuyết	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		3	1034	1034		
104	Trục Nhật	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		4	1035	1035		
105	Tuyệt Ảnh	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		5	1037	1037		
106	Truy Tinh Trục Nhật	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		6	1038	1038		
107	Lý Phi Sa	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		7	1039	1039		
108	Hàn Sương	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		8	3364	3364		
109	Hàn Sương Sảnh Ảnh	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		9	3365	3365		
110	Tiểu Hắc	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		10	3366	3366		
111	Bạch Vũ	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		11	3367	3367		
112	Vạn Lý Yên Vân Chiếu	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		12	3598	3598		
113	Thánh Đề	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		13	4045	4045		
114	Truy Phong Lôi Báo	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		14	4046	4046		
115	Long Mã	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		15	4050	4050		
116	Tái Long Hắc Tông	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		16	4051	4051		
117	Bão Nguyệt Ủng Tinh	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		17	4583	4583		
118	Tử U Linh Lộc	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		18	4865	4865		
119	Vân Mị Linh Lộc	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		19	4866	4866		
120	Tinh Mang-Vân Mị Linh Lộc	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		20	4868	4868		
121	Bôn Tiêu	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		21	1036	1036		
122	Hồng Ly	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		22	1040	1040		
123	Lục Tung	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		23	1041	1041		
124	Ô Truy	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		24	1042	1042		
125	Long Lân Phượng Vũ	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		25	4859	4859		
126	Chúng Tinh Nhật Nguyệt	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		26	5359	5359		
127	Phúc Thụy Linh Lộc	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		27	7154	7154		
128	Bảo Lam	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		28	7152	7152		
129	Sí Ảnh	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		29	7153	7153		
130	Huyết Đồng-Nguyệt Tuyệt	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		30	7535	7535		
131	Li Mị Tuyết Hồ	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		31	7712	7712		
132	U Viêm-Li Mị Tuyết Hồ	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		32	7713	7713		
133	Huyết Đồng-Khiếu Sương	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		33	8252	8252		
134	Huyết Đồng-Hoàng Trần	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		34	8253	8253		
135	Huyết Đồng-Thanh Khung	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		35	8273	8273		
136	Chúng Tinh Toàn Nguyệt	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		36	8369	8369		
137	Hán Nguyệt Toái Ngân	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		37	9598	9598		
138	Ngựa Lv150	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		38	9823	9823		
139	Ngựa Thành Chính Lv150	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		39	9824	9824		
140	Thích Kim-Lam Trạm Linh Lộc	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		40	40005	40005		
141	Sí Vũ Chước Tâm	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		41	10258	10258		
142	Lẫm Đông Bào Hao	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		42	50054	50054		
143	Thích Kim Mao Tê	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		43	50055	50055		
144	Lẫm Đông Bào Hao	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		44	50054	50054		
145	Li Mị Hỏa hồ	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		45	50064	50064		
146	U Viêm-Li Mị Hỏa Hồ	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		46	50066	50066		
147	Tiêu Viêm-Li Mị Hỏa Hồ	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		47	50065	50065		
148	Lôi Đình Bào Hao	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		48	50142	50142		
149	Băng Hồn Tuyết Phách	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20		49	50143	50143		
201	Tín Vật Thiên Vương	1			2424	2424		
201	Tín Vật Nga Mi	2			2425	2425		
201	Tín Vật Đào Hoa	3			2427	2427		
201	Tín Vật Tiêu Dao	4			2426	2426		
201	Tín Vật Võ Đang	5			2428	2428		
201	Tín Vật Thiên Nhẫn	6			2429	2429		
201	Thiếu Lâm Tín Vật 	7			2430	2430		
201	Thúy Yên Tín Vật	8			2431	2431		
201	Tín Vật Đường Môn	9			2432	2432		
201	Tín Vật Côn Lôn	10			2433	2433		
201	Tín Vật Cái Bang	11			3775	3775		
201	Tín Vật Ngũ Độc	12			3776	3776		
201	Tín Vật Tàng Kiếm	13			3779	3779		
201	Tín Vật Trường Ca	14			3780	3780		
201	Tín Vật Thiên Sơn	15			3781	3781		
201	Tín Vật Bá Đao	16			3782	3782		
201	Tín Vật Hoa Sơn	17			3783	3783		
201	Tín Vật Minh Giáo	18			3784	3784		
201	Tín Vật Đoàn Thị	19			3785	3785		
201	Tín Vật Vạn Hoa	20			3786	3786		
301	Ngạo Huyết Đan Thanh-Hà	1|7|10|11|16	1	7001	11001	11001		
301	Thanh Đăng Duệ Ảnh-Hà	2|4|5|6|8|10|14|15|17|18|20	2	9001	11011	11011		
301	Thanh Ngọc Vân Ca-Hà	1|3|11|12|16|19	2	8001	11021	11021		
301	Thiên Diệp Sâm La-Hà	4|5|9|13|15|17|18|19|20	1	6001	11031	11031		
302	Ngạo Huyết Đan Thanh-Xích	1|7|10|11|16	1	7002	11002	11002		
302	Thanh Đăng Duệ Ảnh-Huân	2|4|5|6|8|10|14|15|17|18|20	2	9002	11012	11012		
302	Thanh Ngọc Vân Ca-Tranh	1|3|11|12|16|19	2	8002	11022	11022		
302	Thiên Diệp Sâm La-Dương	4|5|9|13|15|17|18|19|20	1	6002	11032	11032		
303	Ngạo Huyết Đan Thanh-Yêu	1|7|10|11|16	1	7003	11003	11003		
303	Thanh Đăng Duệ Ảnh-Điệp	2|4|5|6|8|10|14|15|17|18|20	2	9003	11013	11013		
303	Thanh Ngọc Vân Ca-Mân	1|3|11|12|16|19	2	8003	11023	11023		
303	Thiên Diệp Sâm La-Mặc	4|5|9|13|15|17|18|19|20	1	6003	11033	11033		
304	Ngạo Huyết Đan Thanh-Mặc	1|7|10|11|16	1	7004	11004	11004		
304	Thanh Đăng Duệ Ảnh-Mặc	2|4|5|6|8|10|14|15|17|18|20	2	9004	11014	11014		
304	Thanh Ngọc Vân Ca-Xích	1|3|11|12|16|19	2	8004	11024	11024		
304	Thiên Diệp Sâm La-Hạnh	4|5|9|13|15|17|18|19|20	1	6004	11034	11034		
305	Ngạo Huyết Đan Thanh	1|7|10|11|16	1	7001	11001	11001		
305	Thanh Đăng Duệ Ảnh	2|4|5|6|8|10|14|15|17|18|20	2	9001	11011	11011		
305	Thanh Ngọc Vân Ca	1|3|11|12|16|19	2	8001	11021	11021		
305	Thiên Diệp Sâm La	4|5|9|13|15|17|18|19|20	1	6001	11031	11031		
306	Thiên Vương 6	1|7|10|11|16	1	306	11006	11006		
306	Nga Mi 6	2|4|5|6|8|10|14|15|17|18|20	2	316	11016	11016		
306	Đào Hoa 6	1|3|11|12|16|19	2	326	11026	11026		
306	Tiêu Dao 6	4|5|9|13|15|17|18|19|20	1	336	11036	11036		
307	Thiết Huyết Long Đảm-Tuyết	1|7|10|11|16	1	7005	11005	11005		
307	Mẫu Đơn Vọng Nguyệt-Phấn	2|4|5|6|8|10|14|15|17|18|20	2	9005	11015	11015		
307	Anh Lạc Trường Không-Hà	1|3|11|12|16|19	2	8005	11025	11025		
307	Quân Tử Như Phong-Điệp	4|5|9|13|15|17|18|19|20	1	6005	11035	11035		
308	Thiết Huyết Long Đảm-Xích	1|7|10|11|16	1	7006	11006	11006		
308	Mẫu Đơn Vọng Nguyệt-Yêu	2|4|5|6|8|10|14|15|17|18|20	2	9006	11016	11016		
308	Anh Lạc Trường Không-Xích	1|3|11|12|16|19	2	8006	11026	11026		
308	Quân Tử Như Phong-Tử	4|5|9|13|15|17|18|19|20	1	6006	11036	11036		
309	Thiết Huyết Long Đảm-Phỉ	1|7|10|11|16	1	7007	11007	11007		
309	Mẫu Đơn Vọng Nguyệt-Lục	2|4|5|6|8|10|14|15|17|18|20	2	9007	11017	11017		
309	Anh Lạc Trường Không-Tranh	1|3|11|12|16|19	2	8007	11027	11027		
309	Quân Tử Như Phong-Dương	4|5|9|13|15|17|18|19|20	1	6007	11037	11037		
310	Thiết Huyết Long Đảm-Mặc	1|7|10|11|16	1	7008	11008	11008		
310	Mẫu Đơn Vọng Nguyệt-Nhã	2|4|5|6|8|10|14|15|17|18|20	2	9008	11018	11018		
310	Anh Lạc Trường Không-Tinh	1|3|11|12|16|19	2	8008	11028	11028		
310	Quân Tử Như Phong-Mặc	4|5|9|13|15|17|18|19|20	1	6008	11038	11038		
311	Thiết Huyết Long Đảm-Hạt	1|7|10|11|16	1	7009	11009	11009		
311	Mẫu Đơn Vọng Nguyệt-Tranh	2|4|5|6|8|10|14|15|17|18|20	2	9009	11019	11019		
311	Anh Lạc Trường Không-Mặc	1|3|11|12|16|19	2	8009	11029	11029		
311	Quân Tử Như Phong-Lục	4|5|9|13|15|17|18|19|20	1	6009	11039	11039		
312	Thiết Huyết Long Đảm-Tranh	1|7|10|11|16	1	7010	11010	11010		
312	Mẫu Đơn Vọng Nguyệt-Xích	2|4|5|6|8|10|14|15|17|18|20	2	9010	11020	11020		
312	Anh Lạc Trường Không-Tuyết	1|3|11|12|16|19	2	8010	11030	11030		
312	Quân Tử Như Phong-Thanh	4|5|9|13|15|17|18|19|20	1	6010	11040	11040		
313	Thiết Huyết Long Đảm-Phù	1|7|10|11|16	1	7011	12157	12157		
313	Mẫu Đơn Vọng Nguyệt-Điệp	2|4|5|6|8|10|14|15|17|18|20	2	9011	12159	12159		
313	Anh Lạc Trường Không-Huy	1|3|11|12|16|19	2	8011	12161	12161		
313	Quân Tử Như Phong-Tử	4|5|9|13|15|17|18|19|20	1	6011	12163	12163		
314	Thiết Huyết Long Đảm-Danh	1|7|10|11|16	1	7012	12158	12158		
314	Mẫu Đơn Vọng Nguyệt-Ưu	2|4|5|6|8|10|14|15|17|18|20	2	9012	12160	12160		
314	Anh Lạc Trường Không-Mân	1|3|11|12|16|19	2	8012	12162	12162		
314	Quân Tử Như Phong-Phù	4|5|9|13|15|17|18|19|20	1	6012	12164	12164		
315	Thiết Huyết Long Đảm-Màu 9	1|7|10|11|16	1	3003	11009	11009		
315	Thanh Liên Trạc Vũ-Màu 9	2|4|5|6|8|10|14|15|17|18|20	2	3103	11019	11019		
315	Anh Lạc Trường Không-Màu 9	1|3|11|12|16|19	2	3203	11029	11029		
315	Vãn Hương Như Ngọc-Màu 9	4|5|9|13|15|17|18|19|20	1	3303	11039	11039		
316	Thiết Huyết Long Đảm-Màu 10	1|7|10|11|16	1	3004	11010	11010		
316	Thanh Liên Trạc Vũ-Màu 10	2|4|5|6|8|10|14|15|17|18|20	2	3104	11020	11020		
316	Anh Lạc Trường Không-Màu 10	1|3|11|12|16|19	2	3204	11030	11030		
316	Vãn Hương Như Ngọc-Màu 10	4|5|9|13|15|17|18|19|20	1	3304	11040	11040		
317	Thiết Huyết Long Đảm-Màu 11	1|7|10|11|16	1	3005	12157	12157		
317	Thanh Liên Trạc Vũ-Màu 11	2|4|5|6|8|10|14|15|17|18|20	2	3105	12159	12159		
317	Anh Lạc Trường Không-Màu 11	1|3|11|12|16|19	2	3205	12161	12161		
317	Vãn Hương Như Ngọc-Màu 11	4|5|9|13|15|17|18|19|20	1	3305	12163	12163		
318	Thiết Huyết Long Đảm-Màu 12	1|7|10|11|16	1	3006	12158	12158		
318	Thanh Liên Trạc Vũ-Màu 12	2|4|5|6|8|10|14|15|17|18|20	2	3106	12160	12160		
318	Anh Lạc Trường Không-Màu 12	1|3|11|12|16|19	2	3206	12162	12162		
318	Vãn Hương Như Ngọc-Màu 12	4|5|9|13|15|17|18|19|20	1	3306	12164	12164		
319	Thiết Huyết Long Đảm-Màu 13	1|7|10|11|16	1	3007	11009	11009		
319	Thanh Liên Trạc Vũ-Màu 13	2|4|5|6|8|10|14|15|17|18|20	2	3107	11019	11019		
319	Anh Lạc Trường Không-Màu 13	1|3|11|12|16|19	2	3207	11029	11029		
319	Vãn Hương Như Ngọc-Màu 13	4|5|9|13|15|17|18|19|20	1	3307	11039	11039		
320	Thiết Huyết Long Đảm-Màu 14	1|7|10|11|16	1	3008	11010	11010		
320	Thanh Liên Trạc Vũ-Màu 14	2|4|5|6|8|10|14|15|17|18|20	2	3108	11020	11020		
320	Anh Lạc Trường Không-Màu 14	1|3|11|12|16|19	2	3208	11030	11030		
320	Vãn Hương Như Ngọc-Màu 14	4|5|9|13|15|17|18|19|20	1	3308	11040	11040		
321	Thiết Huyết Long Đảm-Màu 15	1|7|10|11|16	1	3009	12157	12157		
321	Thanh Liên Trạc Vũ-Màu 15	2|4|5|6|8|10|14|15|17|18|20	2	3109	12159	12159		
321	Anh Lạc Trường Không-Màu 15	1|3|11|12|16|19	2	3209	12161	12161		
321	Vãn Hương Như Ngọc-Màu 15	4|5|9|13|15|17|18|19|20	1	3309	12163	12163		
322	Thiết Huyết Long Đảm-Màu 16	1|7|10|11|16	1	3010	12158	12158		
322	Thanh Liên Trạc Vũ-Màu 16	2|4|5|6|8|10|14|15|17|18|20	2	3110	12160	12160		
322	Anh Lạc Trường Không-Màu 16	1|3|11|12|16|19	2	3210	12162	12162		
322	Vãn Hương Như Ngọc-Màu 16	4|5|9|13|15|17|18|19|20	1	3310	12164	12164		
323	Bát Phương Vân Động-Châu	1|7|10|11|16	1	7013	12281	12281		
323	Ngạo Hàn Tố Tuyết-Xích	2|4|5|6|8|10|14|15|17|18|20	2	9013	12289	12289		
323	Mặc Chỉ U Lan-Xích	1|3|11|12|16|19	2	8013	12297	12297		
323	Bạch Ngọc Lang Hoàn-Xích	4|5|9|13|15|17|18|19|20	1	6013	12305	12305		
324	Bát Phương Vân Động-Điệp	1|7|10|11|16	1	7014	12282	12282		
324	Ngạo Hàn Tố Tuyết-Mặc	2|4|5|6|8|10|14|15|17|18|20	2	9014	12290	12290		
324	Mặc Chỉ U Lan-Mặc	1|3|11|12|16|19	2	8014	12298	12298		
324	Bạch Ngọc Lang Hoàn-Phỉ	4|5|9|13|15|17|18|19|20	1	6014	12306	12306		
325	Bát Phương Vân Động-Hạt	1|7|10|11|16	1	7015	12283	12283		
325	Ngạo Hàn Tố Tuyết-Tinh	2|4|5|6|8|10|14|15|17|18|20	2	9015	12291	12291		
325	Mặc Chỉ U Lan-Dương	1|3|11|12|16|19	2	8015	12299	12299		
325	Bạch Ngọc Lang Hoàn-Hạt	4|5|9|13|15|17|18|19|20	1	6015	12307	12307		
326	Bát Phương Vân Động-Ám	1|7|10|11|16	1	7016	12284	12284		
326	Ngạo Hàn Tố Tuyết-Điệp	2|4|5|6|8|10|14|15|17|18|20	2	9016	12292	12292		
326	Mặc Chỉ U Lan-Mân	1|3|11|12|16|19	2	8016	12300	12300		
326	Bạch Ngọc Lang Hoàn-Dương	4|5|9|13|15|17|18|19|20	1	6016	12308	12308		
327	Huyền Giáp Thiết Kỵ-Phù	1|7|10|11|16	1	7017	12285	12285		
327	Vũ Lạc Trần Thương-Phù	2|4|5|6|8|10|14|15|17|18|20	2	9017	12293	12293		
327	Già Lam Thính Vũ-Điệp	1|3|11|12|16|19	2	8017	12301	12301		
327	Mặc Ngữ Vô Trần-Phù	4|5|9|13|15|17|18|19|20	1	6017	12309	12309		
328	Huyền Giáp Thiết Kỵ-Ám	1|7|10|11|16	1	7018	12286	12286		
328	Vũ Lạc Trần Thương-Tinh	2|4|5|6|8|10|14|15|17|18|20	2	9018	12294	12294		
328	Già Lam Thính Vũ-Huân	1|3|11|12|16|19	2	8018	12302	12302		
328	Mặc Ngữ Vô Trần-Dạ	4|5|9|13|15|17|18|19|20	1	6018	12310	12310		
329	Huyền Giáp Thiết Kỵ-Huân	1|7|10|11|16	1	7019	12287	12287		
329	Vũ Lạc Trần Thương-Phỉ	2|4|5|6|8|10|14|15|17|18|20	2	9019	12295	12295		
329	Già Lam Thính Vũ-Lục	1|3|11|12|16|19	2	8019	12303	12303		
329	Mặc Ngữ Vô Trần-Yêu	4|5|9|13|15|17|18|19|20	1	6019	12311	12311		
330	Huyền Giáp Thiết Kỵ-Hạnh	1|7|10|11|16	1	7020	12288	12288		
330	Vũ Lạc Trần Thương-Xích	2|4|5|6|8|10|14|15|17|18|20	2	9020	12296	12296		
330	Già Lam Thính Vũ-Huy	1|3|11|12|16|19	2	8020	12304	12304		
330	Mặc Ngữ Vô Trần-Huy	4|5|9|13|15|17|18|19|20	1	6020	12312	12312		
331	Mảnh Bát Gia Tướng Y	1|7|10|11|16	1	7017	12285	12285		
331	Mảnh Bát Gia Tướng Y	2|4|5|6|8|10|14|15|17|18|20	2	9017	12293	12293		
331	Mảnh Bát Gia Tướng Y	1|3|11|12|16|19	2	8017	12301	12301		
331	Mảnh Bát Gia Tướng Y	4|5|9|13|15|17|18|19|20	1	6017	12309	12309		
332	Thịnh Điển Hoa Phục	1|7|10|11|16	1	7017	12285	12285		
332	Thịnh Điển Hoa Phục	2|4|5|6|8|10|14|15|17|18|20	2	9017	12293	12293		
332	Thịnh Điển Hoa Phục	1|3|11|12|16|19	2	8017	12301	12301		
332	Thịnh Điển Hoa Phục	4|5|9|13|15|17|18|19|20	1	6017	12309	12309		
333	Cuồng Khách-Mặc	1|7|10|11|16	1	7022	14621	14621		
333	Quyến Giả-Mặc	2|4|5|6|8|10|14|15|17|18|20	2	9022	14625	14625		
333	Mị Linh-Mặc	1|3|11|12|16|19	2	8022	14629	14629		
333	Tà Hiệp-Mặc	4|5|9|13|15|17|18|19|20	1	6022	14633	14633		
334	Tất Hắc Ảnh-Tử	1|7|10|11|16	1	7023	14622	14622		
334	Dạ Mộ Hoa-Xích	2|4|5|6|8|10|14|15|17|18|20	2	9023	14626	14626		
334	Dạ Mộ Hoa-Mân	1|3|11|12|16|19	2	8023	14630	14630		
334	Tất Hắc Ảnh-Lan	4|5|9|13|15|17|18|19|20	1	6023	14634	14634		
335	Tất Hắc Ảnh-Xích	1|7|10|11|16	1	7024	14623	14623		
335	Dạ Mộ Hoa-Điệp	2|4|5|6|8|10|14|15|17|18|20	2	9024	14627	14627		
335	Dạ Mộ Hoa-Xích	1|3|11|12|16|19	2	8024	14631	14631		
335	Tất Hắc Ảnh-Ngân	4|5|9|13|15|17|18|19|20	1	6024	14635	14635		
336	Tất Hắc Ảnh-Điệp	1|7|10|11|16	1	7025	14624	14624		
336	Dạ Mộ Hoa-Huân	2|4|5|6|8|10|14|15|17|18|20	2	9025	14628	14628		
336	Dạ Mộ Hoa-Điệp	1|3|11|12|16|19	2	8025	14632	14632		
336	Tất Hắc Ảnh-Điệp	4|5|9|13|15|17|18|19|20	1	6025	14636	14636		
342	Lễ Phục Mừng Sinh Nhật	1|7|10|11|16	1	7021	15529	15529		
342	Lễ Phục Mừng Sinh Nhật	2|4|5|6|8|10|14|15|17|18|20	2	9021	15530	15530		
342	Lễ Phục Mừng Sinh Nhật	1|3|11|12|16|19	2	8021	15531	15531		
342	Lễ Phục Mừng Sinh Nhật	4|5|9|13|15|17|18|19|20	1	6021	15532	15532		
343	Thanh Trúc Mịch Ảnh-Hà	1|7|10|11|16	1	7027	15469	15469	Thiên Vương	
344	Thanh Trúc Mịch Ảnh-Phù	1|7|10|11|16	1	7028	15470	15470	Thiên Vương	
345	Thanh Trúc Mịch Ảnh-Ám	1|7|10|11|16	1	7029	15471	15471	Thiên Vương	
346	Thanh Trúc Mịch Ảnh-Điệp	1|7|10|11|16	1	7030	15472	15472	Thiên Vương	
343	Lạc Hoa Ánh Tuyết-Mân	2|4|5|6|8|10|14|15|17|18|20	2	9027	15473	15473	Nga Mi	
344	Lạc Hoa Ánh Tuyết-Điệp	2|4|5|6|8|10|14|15|17|18|20	2	9028	15474	15474	Nga Mi	
345	Lạc Hoa Ánh Tuyết-Tranh	2|4|5|6|8|10|14|15|17|18|20	2	9029	15475	15475	Nga Mi	
