ClassParamID	Desc	Probability	Name	Item	DebtReplaceItem	OtherType	SubType	Amount	ForbidStall	Add2Auction	TimeLimit	WorldMsg	FriendMsg	KinMsg	TeamMsg	CloseWorldMsg	CloseFriendMsg	CloseKinMsg	CloseTeamMsg	DateLimit
750	Rương Võ Thần-Hoàng Kim (Lv40-49)	10700	2000 Cống Hiến			Contrib		2000												
750	Rương Võ Thần-Hoàng Kim (Lv40-49)	42700	1000 Cống Hiến			Contrib		1000												
750	Rương Võ Thần-Hoàng Kim (Lv40-49)	140250	600 Cống Hiến			Contrib		600												
750	Rương Võ Thần-Hoàng Kim (Lv40-49)	503750	400 Cống Hiến			Contrib		400												
751	Rương Võ Thần-Hoàng Kim (Lv50-59)	211500	Mảnh Dây Chuyền Hiếm T4	2094				1						13						
751	Rương Võ Thần-Hoàng Kim (Lv50-59)	90000	Dây Chuyền Kế Thừa T4	1623				1				13		13						
751	Rương Võ Thần-Hoàng Kim (Lv50-59)	16000	Đá Hồn Dương Thiết Tâm	1731				1				13		13						
751	Rương Võ Thần-Hoàng Kim (Lv50-59)	4000	3000 Cống Hiến			Contrib		3000						13						
751	Rương Võ Thần-Hoàng Kim (Lv50-59)	12000	2000 Cống Hiến			Contrib		2000												
751	Rương Võ Thần-Hoàng Kim (Lv50-59)	40000	1000 Cống Hiến			Contrib		1000												
751	Rương Võ Thần-Hoàng Kim (Lv50-59)	149500	600 Cống Hiến			Contrib		600												
751	Rương Võ Thần-Hoàng Kim (Lv50-59)	477000	400 Cống Hiến			Contrib		400												
752	Rương Võ Thần-Hoàng Kim (Lv60-69)	96000	Mảnh Dây Chuyền Hiếm T5	2095				1						13						
752	Rương Võ Thần-Hoàng Kim (Lv60-69)	200000	Mảnh Dây Chuyền Kế Thừa T5	2098				1						13						
752	Rương Võ Thần-Hoàng Kim (Lv60-69)	2000	Đá Hồn Dương Anh	2528				1				13		13						
752	Rương Võ Thần-Hoàng Kim (Lv60-69)	5000	Đá Hồn Dương Thiết Tâm	1731				1				13		13						
752	Rương Võ Thần-Hoàng Kim (Lv60-69)	300000	Đá Lv2	4322				1						13						
752	Rương Võ Thần-Hoàng Kim (Lv60-69)	5000	3000 Cống Hiến			Contrib		3000						13						
752	Rương Võ Thần-Hoàng Kim (Lv60-69)	15000	2000 Cống Hiến			Contrib		2000												
752	Rương Võ Thần-Hoàng Kim (Lv60-69)	45000	1000 Cống Hiến			Contrib		1000												
752	Rương Võ Thần-Hoàng Kim (Lv60-69)	138500	600 Cống Hiến			Contrib		600												
752	Rương Võ Thần-Hoàng Kim (Lv60-69)	193500	400 Cống Hiến			Contrib		400												
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	80000	Mảnh Dây Chuyền Hiếm T6	2096				1						13						
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	150000	Mảnh Dây Chuyền Kế Thừa T6	2099				1						13						
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	2000	Đá Hồn Dương Anh	2528				1				13		13						
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	5000	Đá Hồn Dương Thiết Tâm	1731				1						13						
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	100000	Đá Lv3	4323				1						13						
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	150000	Đá Lv2	4322				1												
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	5000	3000 Cống Hiến			Contrib		3000						13						
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	15000	2000 Cống Hiến			Contrib		2000												
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	50000	1000 Cống Hiến			Contrib		1000												
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	141500	600 Cống Hiến			Contrib		600												
753	Rương Võ Thần-Hoàng Kim (Lv70-79)	301500	400 Cống Hiến			Contrib		400												
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	65000	Mảnh Dây Chuyền Hiếm T7	2949				1						13						
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	120000	Mảnh Dây Chuyền Kế Thừa T7	2952				1						13						
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	2500	Đá Hồn Dương Anh	2528				1				13		13						
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	5000	Đá Hồn Dương Thiết Tâm	1731				1												
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	125000	Đá Lv3	4323				1						13						
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	165000	Đá Lv2	4322				1												
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	5000	3000 Cống Hiến			Contrib		3000						13						
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	15000	2000 Cống Hiến			Contrib		2000												
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	45000	1000 Cống Hiến			Contrib		1000												
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	105400	600 Cống Hiến			Contrib		600												
21780	Rương Võ Thần-Hoàng Kim (Lv80-89)	347100	400 Cống Hiến			Contrib		400												
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	40000	Mảnh Dây Chuyền Hiếm T8	2950				1						13						
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	80000	Mảnh Dây Chuyền Kế Thừa T8	2953				1						13						
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	2500	Đá Hồn Dương Anh	2528				1				13		13						
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	5000	Đá Hồn Dương Thiết Tâm	1731				1												
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	50000	Đá Lv4	4324				1				13		13						
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	90000	Đá Lv3	4323				1												
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	100000	Đá Lv2	4322				1												
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	5000	3000 Cống Hiến			Contrib		3000						13						
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	15000	2000 Cống Hiến			Contrib		2000												
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	46000	1000 Cống Hiến			Contrib		1000												
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	130800	600 Cống Hiến			Contrib		600												
21781	Rương Võ Thần-Hoàng Kim (Lv90-99)	435700	400 Cống Hiến			Contrib		400												
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	30000	Mảnh Dây Chuyền Hiếm T9	2951				1						13						
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	54000	Mảnh Dây Chuyền Kế Thừa T9	2954				1						13						
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	3000	Đá Hồn Dương Anh	2528				1				13		13						
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	5000	Đá Hồn Dương Thiết Tâm	1731				1												
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	65000	Đá Lv4	4324				1				13		13						
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	100000	Đá Lv3	4323				1												
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	80000	Đá Lv2	4322				1												
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	6000	3000 Cống Hiến			Contrib		3000						13						
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	18000	2000 Cống Hiến			Contrib		2000												
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	50000	1000 Cống Hiến			Contrib		1000												
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	167000	600 Cống Hiến			Contrib		600												
21782	Rương Võ Thần-Hoàng Kim (Lv99-109) 	422000	400 Cống Hiến			Contrib		400												
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	25000	Mảnh Dây Chuyền Hiếm T10	3669				1						13						
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	40000	Mảnh Dây Chuyền Kế Thừa T10	3670				1						13						
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	3000	Đá Hồn Dương Anh	2528				1				13		13						
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	3000	Đá Hồn Dương Thiết Tâm	1731				1												
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	25000	Đá Lv5	4325				1				13		13						
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	37500	Đá Lv4	4324				1												
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	50000	Đá Lv3	4323				1												
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	80000	Đá Lv2	4322				1												
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	5000	3000 Cống Hiến			Contrib		3000						13						
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	15000	2000 Cống Hiến			Contrib		2000												
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	50000	1000 Cống Hiến			Contrib		1000												
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	130400	600 Cống Hiến			Contrib		600												
21783	Rương Võ Thần-Hoàng Kim (Lv109-119) 	536100	400 Cống Hiến			Contrib		400												
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	25000	Mảnh Dây Chuyền Hiếm T11	5771				1						13						
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	40000	Mảnh Dây Chuyền Kế Thừa T11	5776				1						13						
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	3000	Đá Hồn Dương Anh	2528				1				13		13						
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	3000	Đá Hồn Dương Thiết Tâm	1731				1												
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	25000	Đá Lv5	4325				1				13		13						
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	37500	Đá Lv4	4324				1												
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	50000	Đá Lv3	4323				1												
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	80000	Đá Lv2	4322				1												
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	5000	3000 Cống Hiến			Contrib		3000						13						
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	15000	2000 Cống Hiến			Contrib		2000												
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	50000	1000 Cống Hiến			Contrib		1000												
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	130400	600 Cống Hiến			Contrib		600												
21784	Rương Võ Thần-Hoàng Kim (Lv120-129)	536100	400 Cống Hiến			Contrib		400												
21785	Rương Võ Thần-Hoàng Kim 130-139	25000	Mảnh Dây Chuyền Hiếm T12	5772				1						13						
21785	Rương Võ Thần-Hoàng Kim 130-139	40000	Mảnh Dây Chuyền Kế Thừa T12	5777				1						13						
21785	Rương Võ Thần-Hoàng Kim 130-139	3000	Đá Hồn Dương Anh	2528				1				13		13						
21785	Rương Võ Thần-Hoàng Kim 130-139	3000	Đá Hồn Dương Thiết Tâm	1731				1												
21785	Rương Võ Thần-Hoàng Kim 130-139	25000	Đá Lv5	4325				1				13		13						
21785	Rương Võ Thần-Hoàng Kim 130-139	37500	Đá Lv4	4324				1												
21785	Rương Võ Thần-Hoàng Kim 130-139	50000	Đá Lv3	4323				1												
21785	Rương Võ Thần-Hoàng Kim 130-139	80000	Đá Lv2	4322				1												
21785	Rương Võ Thần-Hoàng Kim 130-139	5000	3000 Cống Hiến			Contrib		3000						13						
21785	Rương Võ Thần-Hoàng Kim 130-139	15000	2000 Cống Hiến			Contrib		2000												
21785	Rương Võ Thần-Hoàng Kim 130-139	50000	1000 Cống Hiến			Contrib		1000												
21785	Rương Võ Thần-Hoàng Kim 130-139	130400	600 Cống Hiến			Contrib		600												
21785	Rương Võ Thần-Hoàng Kim 130-139	536100	400 Cống Hiến			Contrib		400												
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	25000	Mảnh Dây Chuyền Hiếm T13	5773				1						13						
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	40000	Mảnh Dây Chuyền Kế Thừa T13	5778				1						13						
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	3000	Đá Hồn Dương Anh	2528				1				13		13						
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	3000	Đá Hồn Dương Thiết Tâm	1731				1												
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	25000	Đá Lv5	4325				1				13		13						
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	37500	Đá Lv4	4324				1												
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	50000	Đá Lv3	4323				1												
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	80000	Đá Lv2	4322				1												
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	5000	3000 Cống Hiến			Contrib		3000						13						
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	15000	2000 Cống Hiến			Contrib		2000												
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	50000	1000 Cống Hiến			Contrib		1000												
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	130400	600 Cống Hiến			Contrib		600												
21786	Rương Võ Thần-Hoàng Kim (Lv140-Lv149)	536100	400 Cống Hiến			Contrib		400												
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	25000	Mảnh Dây Chuyền Hiếm T14	5774				1						13						
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	40000	Mảnh Dây Chuyền Kế Thừa T14	5779				1						13						
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	3000	Đá Hồn Dương Anh	2528				1				13		13						
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	3000	Đá Hồn Dương Thiết Tâm	1731				1												
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	25000	Đá Lv5	4325				1				13		13						
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	37500	Đá Lv4	4324				1												
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	50000	Đá Lv3	4323				1												
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	80000	Đá Lv2	4322				1												
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	5000	3000 Cống Hiến			Contrib		3000						13						
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	15000	2000 Cống Hiến			Contrib		2000												
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	50000	1000 Cống Hiến			Contrib		1000												
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	130400	600 Cống Hiến			Contrib		600												
21787	Rương Võ Thần-Hoàng Kim (Lv150-159)	536100	400 Cống Hiến			Contrib		400												
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	25000	Mảnh Dây Chuyền Hiếm T15	5775				1						13						
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	40000	Mảnh Dây Chuyền Kế Thừa T15	5780				1						13						
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	3000	Đá Hồn Dương Anh	2528				1				13		13						
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	3000	Đá Hồn Dương Thiết Tâm	1731				1												
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	25000	Đá Lv5	4325				1				13		13						
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	37500	Đá Lv4	4324				1												
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	50000	Đá Lv3	4323				1												
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	80000	Đá Lv2	4322				1												
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	5000	3000 Cống Hiến			Contrib		3000						13						
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	15000	2000 Cống Hiến			Contrib		2000												
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	50000	1000 Cống Hiến			Contrib		1000												
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	130400	600 Cống Hiến			Contrib		600												
21788	Rương Võ Thần-Hoàng Kim (Lv160-169)	536100	400 Cống Hiến			Contrib		400												
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	25000	Mảnh Dây Chuyền Hiếm T16	10326				1						13						
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	40000	Mảnh Dây Chuyền Kế Thừa T16	10331				1						13						
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	3000	Đá Hồn Dương Anh	2528				1				13		13						
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	3000	Đá Hồn Dương Thiết Tâm	1731				1												
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	25000	Đá Lv5	4325				1				13		13						
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	37500	Đá Lv4	4324				1												
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	50000	Đá Lv3	4323				1												
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	80000	Đá Lv2	4322				1												
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	5000	3000 Cống Hiến			Contrib		3000						13						
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	15000	2000 Cống Hiến			Contrib		2000												
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	50000	1000 Cống Hiến			Contrib		1000												
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	130400	600 Cống Hiến			Contrib		600												
21789	Rương Võ Thần-Hoàng Kim (Lv170-Lv179)	536100	400 Cống Hiến			Contrib		400												
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	100000	Mảnh Dây Chuyền Hiếm T6	2096				1						13						
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	150000	Mảnh Dây Chuyền Kế Thừa T6	2099				1						13						
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	2000	Đá Hồn Dương Anh	2528				1				13		13						
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	5000	Đá Hồn Dương Thiết Tâm	1731				1						13						
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	0	Đá Lv3	4323				1												
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	300000	Đá Lv2	4322				1												
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	6000	3000 Cống Hiến			Contrib		3000						13						
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	20000	2000 Cống Hiến			Contrib		2000												
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	60000	1000 Cống Hiến			Contrib		1000												
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	198500	600 Cống Hiến			Contrib		600												
44650	Rương Võ Thần-Hoàng Kim (Lv70-79)	158500	400 Cống Hiến			Contrib		400												
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	45000	Mảnh Dây Chuyền Hiếm T8	2950				1						13						
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	80000	Mảnh Dây Chuyền Kế Thừa T8	2953				1						13						
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	2500	Đá Hồn Dương Anh	2528				1				13		13						
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	5000	Đá Hồn Dương Thiết Tâm	1731				1												
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	0	Đá Lv4	4324				1												
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	150000	Đá Lv3	4323				1						13						
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	150000	Đá Lv2	4322				1												
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	6000	3000 Cống Hiến			Contrib		3000						13						
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	20000	2000 Cống Hiến			Contrib		2000												
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	60000	1000 Cống Hiến			Contrib		1000												
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	190800	600 Cống Hiến			Contrib		600												
44651	Rương Võ Thần-Hoàng Kim (Lv90-99)	290700	400 Cống Hiến			Contrib		400												
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	25000	Mảnh Dây Chuyền Hiếm T10	3669				1						13						
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	40000	Mảnh Dây Chuyền Kế Thừa T10	3670				1												
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	3000	Đá Hồn Dương Anh	2528				1				13		13						
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	3000	Đá Hồn Dương Thiết Tâm	1731				1												
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	0	Đá Lv5	4325				1												
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	70000	Đá Lv4	4324				1				13		13						
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	80000	Đá Lv3	4323				1												
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	80000	Đá Lv2	4322				1												
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	6000	3000 Cống Hiến			Contrib		3000						13						
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	20000	2000 Cống Hiến			Contrib		2000												
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	60000	1000 Cống Hiến			Contrib		1000												
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	172400	600 Cống Hiến			Contrib		600												
44652	Rương Võ Thần-Hoàng Kim (Lv109-119) 	440600	400 Cống Hiến			Contrib		400												
754	Rương Võ Thần-Bạch Ngân (Lv1-39)	357100	Dây Chuyền Kế Thừa T2	1621				1												
754	Rương Võ Thần-Bạch Ngân (Lv1-39)	7900	Đá Hồn Dương Thiết Tâm	1731				1				14		14						
754	Rương Võ Thần-Bạch Ngân (Lv1-39)	7200	1000 Cống Hiến			Contrib		1000						14						
754	Rương Võ Thần-Bạch Ngân (Lv1-39)	18000	800 Cống Hiến			Contrib		800												
754	Rương Võ Thần-Bạch Ngân (Lv1-39)	60000	500 Cống Hiến			Contrib		500												
754	Rương Võ Thần-Bạch Ngân (Lv1-39)	172100	300 Cống Hiến			Contrib		300												
754	Rương Võ Thần-Bạch Ngân (Lv1-39)	377700	200 Cống Hiến			Contrib		200												
760	Rương Võ Thần-Bạch Ngân (Lv40-49)	178600	Dây Chuyền Kế Thừa T3	1622				1						14						
760	Rương Võ Thần-Bạch Ngân (Lv40-49)	7900	Đá Hồn Dương Thiết Tâm	1731				1				14		14						
760	Rương Võ Thần-Bạch Ngân (Lv40-49)	2100	1000 Cống Hiến			Contrib		1000						14						
760	Rương Võ Thần-Bạch Ngân (Lv40-49)	5400	800 Cống Hiến			Contrib		800												
760	Rương Võ Thần-Bạch Ngân (Lv40-49)	17400	500 Cống Hiến			Contrib		500												
760	Rương Võ Thần-Bạch Ngân (Lv40-49)	58500	300 Cống Hiến			Contrib		300												
760	Rương Võ Thần-Bạch Ngân (Lv40-49)	730100	200 Cống Hiến			Contrib		200												
761	Rương Võ Thần-Bạch Ngân (Lv50-59)	428700	Mảnh Dây Chuyền Kế Thừa T4	2097				1						14						
761	Rương Võ Thần-Bạch Ngân (Lv50-59)	8000	Đá Hồn Dương Thiết Tâm	1731				1				14		14						
761	Rương Võ Thần-Bạch Ngân (Lv50-59)	9000	1000 Cống Hiến			Contrib		1000						14						
761	Rương Võ Thần-Bạch Ngân (Lv50-59)	27000	800 Cống Hiến			Contrib		800												
761	Rương Võ Thần-Bạch Ngân (Lv50-59)	100000	500 Cống Hiến			Contrib		500												
761	Rương Võ Thần-Bạch Ngân (Lv50-59)	121400	300 Cống Hiến			Contrib		300												
761	Rương Võ Thần-Bạch Ngân (Lv50-59)	305900	200 Cống Hiến			Contrib		200												
762	Rương Võ Thần-Bạch Ngân (Lv60-69)	165000	Mảnh Dây Chuyền Kế Thừa T5	2098				1						14						
762	Rương Võ Thần-Bạch Ngân (Lv60-69)	5000	Đá Hồn Dương Thiết Tâm	1731				1				14		14						
762	Rương Võ Thần-Bạch Ngân (Lv60-69)	100000	Đá Lv2	4322				1						14						
762	Rương Võ Thần-Bạch Ngân (Lv60-69)	3000	1000 Cống Hiến			Contrib		1000						14						
762	Rương Võ Thần-Bạch Ngân (Lv60-69)	10000	800 Cống Hiến			Contrib		800												
762	Rương Võ Thần-Bạch Ngân (Lv60-69)	30000	500 Cống Hiến			Contrib		500												
762	Rương Võ Thần-Bạch Ngân (Lv60-69)	166000	300 Cống Hiến			Contrib		300												
762	Rương Võ Thần-Bạch Ngân (Lv60-69)	521000	200 Cống Hiến			Contrib		200												
763	Rương Võ Thần-Bạch Ngân (Lv70-79)	135000	Mảnh Dây Chuyền Kế Thừa T6	2099				1						14						
763	Rương Võ Thần-Bạch Ngân (Lv70-79)	6000	Đá Hồn Dương Thiết Tâm	1731				1				14		14						
763	Rương Võ Thần-Bạch Ngân (Lv70-79)	25000	Đá Lv3	4323				1						14						
763	Rương Võ Thần-Bạch Ngân (Lv70-79)	50000	Đá Lv2	4322				1												
763	Rương Võ Thần-Bạch Ngân (Lv70-79)	5000	1000 Cống Hiến			Contrib		1000						14						
763	Rương Võ Thần-Bạch Ngân (Lv70-79)	15000	800 Cống Hiến			Contrib		800												
763	Rương Võ Thần-Bạch Ngân (Lv70-79)	50000	500 Cống Hiến			Contrib		500												
763	Rương Võ Thần-Bạch Ngân (Lv70-79)	182000	300 Cống Hiến			Contrib		300												
763	Rương Võ Thần-Bạch Ngân (Lv70-79)	532000	200 Cống Hiến			Contrib		200												
21790	Rương Võ Thần-Bạch Ngân (Lv80-89)	105000	Mảnh Dây Chuyền Kế Thừa T7	2952				1						14						
21790	Rương Võ Thần-Bạch Ngân (Lv80-89)	6000	Đá Hồn Dương Thiết Tâm	1731				1												
21790	Rương Võ Thần-Bạch Ngân (Lv80-89)	30000	Đá Lv3	4323				1						14						
