GroupId	SaveId	Desc	Level	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3
1		Cường hóa kích hoạt thuộc tính	18	fightpower_v1	66300			physical_damage_v	2500		2500	all_series_resist_v	625										
1		Cường hóa kích hoạt thuộc tính	19	fightpower_v1	74200			physical_damage_v	2600		2600	all_series_resist_v	650										
1		Cường hóa kích hoạt thuộc tính	20	fightpower_v1	83800			physical_damage_v	2700		2700	all_series_resist_v	675										
1		Cường hóa kích hoạt thuộc tính	21	fightpower_v1	97900			physical_damage_v	2800		2800	all_series_resist_v	700										
1		Cường hóa kích hoạt thuộc tính	22	fightpower_v1	136500			physical_damage_v	3200		3200	all_series_resist_v	800										
1		Cường hóa kích hoạt thuộc tính	23	fightpower_v1	151600			physical_damage_v	3300		3300	all_series_resist_v	825										
1		Cường hóa kích hoạt thuộc tính	24	fightpower_v1	174100			physical_damage_v	3400		3400	all_series_resist_v	850										
1		Cường hóa kích hoạt thuộc tính	25	fightpower_v1	197200			physical_damage_v	3500		3500	all_series_resist_v	875										
1		Cường hóa kích hoạt thuộc tính	26	fightpower_v1	286900			physical_damage_v	4000		4000	all_series_resist_v	1000										
1		Cường hóa kích hoạt thuộc tính	27	fightpower_v1	312500			physical_damage_v	4200		4200	all_series_resist_v	1050										
1		Cường hóa kích hoạt thuộc tính	28	fightpower_v1	344500			physical_damage_v	4400		4400	all_series_resist_v	1100										
1		Cường hóa kích hoạt thuộc tính	29	fightpower_v1	389300			physical_damage_v	4700		4700	all_series_resist_v	1175										
1		Cường hóa kích hoạt thuộc tính	30	fightpower_v1	517300			physical_damage_v	5000		5000	all_series_resist_v	1250										
1		Cường hóa kích hoạt thuộc tính	31	fightpower_v1	560000			physical_damage_v	5200		5200	all_series_resist_v	1300										
1		Cường hóa kích hoạt thuộc tính	32	fightpower_v1	602600			physical_damage_v	5400		5400	all_series_resist_v	1350										
1		Cường hóa kích hoạt thuộc tính	33	fightpower_v1	645300			physical_damage_v	5700		5700	all_series_resist_v	1425										
1		Cường hóa kích hoạt thuộc tính	34	fightpower_v1	816000			physical_damage_v	6000		6000	all_series_resist_v	1500										
1		Cường hóa kích hoạt thuộc tính	35	fightpower_v1	858600			physical_damage_v	6300		6300	all_series_resist_v	1575										
1		Cường hóa kích hoạt thuộc tính	36	fightpower_v1	887100			physical_damage_v	6600		6600	all_series_resist_v	1650										
1		Cường hóa kích hoạt thuộc tính	37	fightpower_v1	944000			physical_damage_v	6900		6900	all_series_resist_v	1725										
1		Cường hóa kích hoạt thuộc tính	38	fightpower_v1	1114600			physical_damage_v	7200		7200	all_series_resist_v	1800										
1		Cường hóa kích hoạt thuộc tính	39	fightpower_v1	1171500			physical_damage_v	7500		7500	all_series_resist_v	1875										
1		Cường hóa kích hoạt thuộc tính	40	fightpower_v1	1209400			physical_damage_v	7800		7800	all_series_resist_v	1950										
1		Cường hóa kích hoạt thuộc tính	41	fightpower_v1	1285300			physical_damage_v	8100		8100	all_series_resist_v	2025										
1		Cường hóa kích hoạt thuộc tính	42	fightpower_v1	1490100			physical_damage_v	8400		8400	all_series_resist_v	2100										
2		Khảm kích hoạt thuộc tính	1	fightpower_v1	100			physical_damage_v	30		30	lifemax_v	900										
2		Khảm kích hoạt thuộc tính	2	fightpower_v1	200			physical_damage_v	50		50	lifemax_v	1500										
2		Khảm kích hoạt thuộc tính	3	fightpower_v1	600			physical_damage_v	100		100	lifemax_v	3000										
2		Khảm kích hoạt thuộc tính	4	fightpower_v1	900			physical_damage_v	140		140	lifemax_v	4200										
2		Khảm kích hoạt thuộc tính	5	fightpower_v1	1800			physical_damage_v	250		250	lifemax_v	5000										
2		Khảm kích hoạt thuộc tính	6	fightpower_v1	2700			physical_damage_v	500		500	lifemax_v	7500										
2		Khảm kích hoạt thuộc tính	7	fightpower_v1	5400			physical_damage_v	800		800	lifemax_v	12000										
2		Khảm kích hoạt thuộc tính	8	fightpower_v1	8100			physical_damage_v	900		900	lifemax_v	13000										
2		Khảm kích hoạt thuộc tính	9	fightpower_v1	10800			physical_damage_v	1000		1000	lifemax_v	15000										
2		Khảm kích hoạt thuộc tính	10	fightpower_v1	12000			physical_damage_v	1200		1200	lifemax_v	16000										
2		Khảm kích hoạt thuộc tính	11	fightpower_v1	16000			physical_damage_v	1400		1400	lifemax_v	17000										
2		Khảm kích hoạt thuộc tính	12	fightpower_v1	24000			physical_damage_v	1600		1600	lifemax_v	19000										
2		Khảm kích hoạt thuộc tính	13	fightpower_v1	32000			physical_damage_v	1800		1800	lifemax_v	21000										
2		Khảm kích hoạt thuộc tính	14	fightpower_v1	36000			physical_damage_v	2000		2000	lifemax_v	22000										
2		Khảm kích hoạt thuộc tính	15	fightpower_v1	48000			physical_damage_v	2400		2400	lifemax_v	23000										
2		Khảm kích hoạt thuộc tính	16	fightpower_v1	72000			physical_damage_v	2600		2600	lifemax_v	25000										
2		Khảm kích hoạt thuộc tính	17	fightpower_v1	96000			physical_damage_v	2800		2800	lifemax_v	30000										
2		Khảm kích hoạt thuộc tính	18	fightpower_v1	120000			physical_damage_v	3000		3000	lifemax_v	35000										
2		Khảm kích hoạt thuộc tính	19	fightpower_v1	130000			physical_damage_v	3200		3200	lifemax_v	36000										
2		Khảm kích hoạt thuộc tính	20	fightpower_v1	144000			physical_damage_v	3600		3600	lifemax_v	38000										
2		Khảm kích hoạt thuộc tính	21	fightpower_v1	216000			physical_damage_v	4000		4000	lifemax_v	40000										
2		Khảm kích hoạt thuộc tính	22	fightpower_v1	288000			physical_damage_v	4200		4200	lifemax_v	45000										
2		Khảm kích hoạt thuộc tính	23	fightpower_v1	360000			physical_damage_v	4500		4500	lifemax_v	50000										
3		Thuộc tính Quân Hàm mở	1	lifemax_p	20			lifemax_v	400			all_series_resist_v	10			defense_v	40			physical_damage_v	40		40
3		Thuộc tính Quân Hàm mở	2	lifemax_p	30			lifemax_v	800			all_series_resist_v	20			defense_v	80			physical_damage_v	80		80
3		Thuộc tính Quân Hàm mở	3	lifemax_p	40			lifemax_v	1200			all_series_resist_v	40			defense_v	120			physical_damage_v	120		120
3		Thuộc tính Quân Hàm mở	4	lifemax_p	50			lifemax_v	2000			all_series_resist_v	60			defense_v	200			physical_damage_v	200		200
3		Thuộc tính Quân Hàm mở	5	lifemax_p	60			lifemax_v	2800			all_series_resist_v	80			defense_v	280			physical_damage_v	280		280
3		Thuộc tính Quân Hàm mở	6	lifemax_p	70			lifemax_v	3600			all_series_resist_v	100			defense_v	360			physical_damage_v	360		360
3		Thuộc tính Quân Hàm mở	7	lifemax_p	80			lifemax_v	4000			all_series_resist_v	120			defense_v	400			physical_damage_v	400		400
3		Thuộc tính Quân Hàm mở	8	lifemax_p	90			lifemax_v	4800			all_series_resist_v	150			defense_v	480			physical_damage_v	480		480
3		Thuộc tính Quân Hàm mở	9	lifemax_p	100			lifemax_v	5600			all_series_resist_v	200			defense_v	560			physical_damage_v	560		560
3		Thuộc tính Quân Hàm mở	10	lifemax_p	105			lifemax_v	6400			all_series_resist_v	220			defense_v	640			physical_damage_v	640		640
3		Thuộc tính Quân Hàm mở	11	lifemax_p	110			lifemax_v	7200			all_series_resist_v	240			defense_v	720			physical_damage_v	720		720
3		Thuộc tính Quân Hàm mở	12	lifemax_p	115			lifemax_v	8000			all_series_resist_v	260			defense_v	800			physical_damage_v	800		800
3		Thuộc tính Quân Hàm mở	13	lifemax_p	120			lifemax_v	8800			all_series_resist_v	280			defense_v	880			physical_damage_v	880		880
3		Thuộc tính Quân Hàm mở	14	lifemax_p	125			lifemax_v	9600			all_series_resist_v	300			defense_v	960			physical_damage_v	960		960
3		Thuộc tính Quân Hàm mở	15	lifemax_p	130			lifemax_v	11000			all_series_resist_v	320			defense_v	1040			physical_damage_v	1040		1040
3		Thuộc tính Quân Hàm mở	16	lifemax_p	135			lifemax_v	12000			all_series_resist_v	340			defense_v	1120			physical_damage_v	1120		1120
3		Thuộc tính Quân Hàm mở	17	lifemax_p	140			lifemax_v	13000			all_series_resist_v	360			defense_v	1200			physical_damage_v	1200		1200
3		Thuộc tính Quân Hàm mở	18	lifemax_p	145			lifemax_v	14000			all_series_resist_v	380			defense_v	1280			physical_damage_v	1280		1280
3		Thuộc tính Quân Hàm mở	19	lifemax_p	150			lifemax_v	15000			all_series_resist_v	400			defense_v	1360			physical_damage_v	1360		1360
3		Thuộc tính Quân Hàm mở	20	lifemax_p	160			lifemax_v	16000			all_series_resist_v	420			defense_v	1440			physical_damage_v	1440		1440
3		Thuộc tính Quân Hàm mở	21	lifemax_p	170			lifemax_v	17000			all_series_resist_v	500			defense_v	1520			physical_damage_v	1520		1520
4		Phụ Ma-Tấn Công Lv1	1	physical_damage_v	100		100	physics_potentialdamage_p	10														
4		Phụ Ma-Tấn Công Lv2	2	physical_damage_v	200		200	physics_potentialdamage_p	20														
4		Phụ Ma-Công Lv3	3	physical_damage_v	350		350	physics_potentialdamage_p	30														
4		Phụ Ma-Công Lv4	4	physical_damage_v	500		500	physics_potentialdamage_p	40														
4		Phụ Ma-Công Lv5	5	physical_damage_v	700		700	physics_potentialdamage_p	50														
4		Phụ Ma-Để sẵn	6	physical_damage_v	350		350	physics_potentialdamage_p	30														
4		Phụ Ma-Để sẵn	7	physical_damage_v	350		350	physics_potentialdamage_p	30														
4		Phụ Ma-Để sẵn	8	physical_damage_v	350		350	physics_potentialdamage_p	30														
4		Phụ Ma-Để sẵn	9	physical_damage_v	350		350	physics_potentialdamage_p	30														
4		Phụ Ma-Để sẵn	10	physical_damage_v	350		350	physics_potentialdamage_p	30														
4		Phụ Ma Tâm Ma-Tấn Công Lv1	11	enhance_final_damage_p	15																		
4		Phụ Ma Tâm Ma-Tấn Công Lv2	12	enhance_final_damage_p	20																		
4		Phụ Ma Tâm Ma-Tấn Công Lv3	13	enhance_final_damage_p	25																		
4		Phụ Ma Tâm Ma-Phòng Thủ Lv1	14	reduce_final_damage_p	15																		
4		Phụ Ma Tâm Ma-Phòng Thủ Lv2	15	reduce_final_damage_p	20																		
4		Phụ Ma Tâm Ma-Phòng Thủ Lv3	16	reduce_final_damage_p	25																		
4		Phụ Ma Tâm Ma-Khống Chế Lv1	17	add_seriesstate_rate_v	107			add_seriesstate_time_v	107														
4		Phụ Ma Tâm Ma-Khống Chế Lv2	18	add_seriesstate_rate_v	166			add_seriesstate_time_v	166														
4		Phụ Ma Tâm Ma-Khống Chế Lv3	19	add_seriesstate_rate_v	375			add_seriesstate_time_v	375														
10		Kích hoạt thuộc tính 1 bộ Thủy Hoàng Hoàng Kim	1	lifemax_p	50																		
10		Kích hoạt thuộc tính 1 bộ Thủy Hoàng Bạch Kim	2	lifemax_p	70																		
11		Kích hoạt thuộc tính 2 bộ Thủy Hoàng Hoàng Kim	1	physics_potentialdamage_p	40																		
11		Kích hoạt thuộc tính 2 bộ Thủy Hoàng Bạch Kim	2	physics_potentialdamage_p	60																		
12		Kích hoạt thuộc tính 3 bộ Thủy Hoàng Hoàng Kim	1	add_allfaction	1																		
12		Kích hoạt thuộc tính 3 bộ Thủy Hoàng Bạch Kim	2	add_allfaction	2																		
13		Kích hoạt thuộc tính bộ Nữ Đế Hoàng Kim 1	1	deadlystrike_p	40																		
13		Kích hoạt thuộc tính bộ Nữ Đế Bạch Kim 1	2	deadlystrike_p	60																		
14		Kích hoạt thuộc tính bộ Nữ Đế Hoàng Kim 2	1	add_skillflaglevel	3	1																	
14		Kích hoạt thuộc tính bộ Nữ Đế Bạch Kim 2	2	add_skillflaglevel	3	2																	
101	1	Kích hoạt thuộc tính Đồng Hành	1	physical_damage_v	40		40	lifemax_v	800														
102	2	Kích hoạt thuộc tính Đồng Hành	1	vitality_v	40			energy_v	20														
103	3	Kích hoạt thuộc tính Đồng Hành	1	lifemax_p	10																		
104	4	Kích hoạt thuộc tính Đồng Hành	1	vitality_v	40																		
105	5	Kích hoạt thuộc tính Đồng Hành	1	strength_v	40																		
106	6	Kích hoạt thuộc tính Đồng Hành	1	lifemax_p	10																		
107	7	Kích hoạt thuộc tính Đồng Hành	1	energy_v	40																		
108	8	Kích hoạt thuộc tính Đồng Hành	1	strength_v	40			dexterity_v	20														
109	9	Kích hoạt thuộc tính Đồng Hành	1	dexterity_v	40																		
110	10	Kích hoạt thuộc tính Đồng Hành	1	add_seriesstate_time_v	30			add_seriesstate_rate_v	30														
111	11	Kích hoạt thuộc tính Đồng Hành	1	recover_life_v	300	75																	
112	12	Kích hoạt thuộc tính Đồng Hành	1	resist_allseriesstate_time_v	20																		
113	13	Kích hoạt thuộc tính Đồng Hành	1	defense_v	15																		
114	14	Kích hoạt thuộc tính Đồng Hành	1	attackrate_v	30																		
115	15	Kích hoạt thuộc tính Đồng Hành	1	deadlystrike_v	15																		
116	16	Kích hoạt thuộc tính Đồng Hành	1	deadlystrike_damage_p	20																		
117	17	Kích hoạt thuộc tính Đồng Hành	1	meleedamagereturn_p	10			rangedamagereturn_p	10														
118	18	Kích hoạt thuộc tính Đồng Hành	1	physical_damage_v	100		100	all_series_resist_v	25														
119	19	Kích hoạt thuộc tính Đồng Hành	1	ignore_all_resist_v	100	50		ignore_defense_v	100														
120	20	Kích hoạt thuộc tính Đồng Hành	1	physical_earthdamage_v	30																		
121	21	Kích hoạt thuộc tính Đồng Hành	1	physical_waterdamage_v	30			physical_firedamage_v	30														
122	22	Kích hoạt thuộc tính Đồng Hành	1	physical_wooddamage_v	30																		
123	23	Kích hoạt thuộc tính Đồng Hành	1	lifemax_p	10																		
124	24	Kích hoạt thuộc tính Đồng Hành	1	lifemax_p	10																		
125	25	Kích hoạt thuộc tính Đồng Hành	1	lifemax_p	10																		
126	26	Kích hoạt thuộc tính Đồng Hành	1	lifemax_p	10																		
127	27	Kích hoạt thuộc tính Đồng Hành	1	lifemax_p	10																		
201		Sách-Sức Mạnh	1	strength_v	1																		
201		Sách-Sức Mạnh	2	strength_v	2																		
201		Sách-Sức Mạnh	3	strength_v	3																		
201		Sách-Sức Mạnh	4	strength_v	4																		
201		Sách-Sức Mạnh	5	strength_v	5																		
201		Sách-Sức Mạnh	6	strength_v	6																		
201		Sách-Sức Mạnh	7	strength_v	7																		
201		Sách-Sức Mạnh	8	strength_v	8																		
201		Sách-Sức Mạnh	9	strength_v	9																		
201		Sách-Sức Mạnh	10	strength_v	10																		
201		Sách-Sức Mạnh	11	strength_v	11																		
201		Sách-Sức Mạnh	12	strength_v	12																		
201		Sách-Sức Mạnh	13	strength_v	13																		
201		Sách-Sức Mạnh	14	strength_v	14																		
201		Sách-Sức Mạnh	15	strength_v	15																		
201		Sách-Sức Mạnh	16	strength_v	16																		
201		Sách-Sức Mạnh	17	strength_v	17																		
201		Sách-Sức Mạnh	18	strength_v	18																		
201		Sách-Sức Mạnh	19	strength_v	19																		
201		Sách-Sức Mạnh	20	strength_v	20																		
201		Sách-Sức Mạnh	21	strength_v	21																		
201		Sách-Sức Mạnh	22	strength_v	22																		
201		Sách-Sức Mạnh	23	strength_v	23																		
201		Sách-Sức Mạnh	24	strength_v	24																		
201		Sách-Sức Mạnh	25	strength_v	25																		
201		Sách-Sức Mạnh	26	strength_v	26																		
201		Sách-Sức Mạnh	27	strength_v	27																		
201		Sách-Sức Mạnh	28	strength_v	28																		
201		Sách-Sức Mạnh	29	strength_v	29																		
201		Sách-Sức Mạnh	30	strength_v	30																		
201		Sách-Sức Mạnh	31	strength_v	31																		
201		Sách-Sức Mạnh	32	strength_v	32																		
201		Sách-Sức Mạnh	33	strength_v	33																		
201		Sách-Sức Mạnh	34	strength_v	34																		
201		Sách-Sức Mạnh	35	strength_v	35																		
201		Sách-Sức Mạnh	36	strength_v	36																		
201		Sách-Sức Mạnh	37	strength_v	37																		
201		Sách-Sức Mạnh	38	strength_v	38																		
201		Sách-Sức Mạnh	39	strength_v	39																		
201		Sách-Sức Mạnh	40	strength_v	40																		
202		Sách-Nhanh Nhẹn	1	dexterity_v	1																		
202		Sách-Nhanh Nhẹn	2	dexterity_v	2																		
202		Sách-Nhanh Nhẹn	3	dexterity_v	3																		
202		Sách-Nhanh Nhẹn	4	dexterity_v	4																		
202		Sách-Nhanh Nhẹn	5	dexterity_v	5																		
202		Sách-Nhanh Nhẹn	6	dexterity_v	6																		
202		Sách-Nhanh Nhẹn	7	dexterity_v	7																		
202		Sách-Nhanh Nhẹn	8	dexterity_v	8																		
202		Sách-Nhanh Nhẹn	9	dexterity_v	9																		
202		Sách-Nhanh Nhẹn	10	dexterity_v	10																		
202		Sách-Nhanh Nhẹn	11	dexterity_v	11																		
202		Sách-Nhanh Nhẹn	12	dexterity_v	12																		
202		Sách-Nhanh Nhẹn	13	dexterity_v	13																		
202		Sách-Nhanh Nhẹn	14	dexterity_v	14																		
202		Sách-Nhanh Nhẹn	15	dexterity_v	15																		
202		Sách-Nhanh Nhẹn	16	dexterity_v	16																		
202		Sách-Nhanh Nhẹn	17	dexterity_v	17																		
202		Sách-Nhanh Nhẹn	18	dexterity_v	18																		
202		Sách-Nhanh Nhẹn	19	dexterity_v	19																		
202		Sách-Nhanh Nhẹn	20	dexterity_v	20																		
202		Sách-Nhanh Nhẹn	21	dexterity_v	21																		
202		Sách-Nhanh Nhẹn	22	dexterity_v	22																		
202		Sách-Nhanh Nhẹn	23	dexterity_v	23																		
202		Sách-Nhanh Nhẹn	24	dexterity_v	24																		
202		Sách-Nhanh Nhẹn	25	dexterity_v	25																		
202		Sách-Nhanh Nhẹn	26	dexterity_v	26																		
202		Sách-Nhanh Nhẹn	27	dexterity_v	27																		
202		Sách-Nhanh Nhẹn	28	dexterity_v	28																		
202		Sách-Nhanh Nhẹn	29	dexterity_v	29																		
202		Sách-Nhanh Nhẹn	30	dexterity_v	30																		
202		Sách-Nhanh Nhẹn	31	dexterity_v	31																		
202		Sách-Nhanh Nhẹn	32	dexterity_v	32																		
202		Sách-Nhanh Nhẹn	33	dexterity_v	33																		
202		Sách-Nhanh Nhẹn	34	dexterity_v	34																		
202		Sách-Nhanh Nhẹn	35	dexterity_v	35																		
202		Sách-Nhanh Nhẹn	36	dexterity_v	36																		
202		Sách-Nhanh Nhẹn	37	dexterity_v	37																		
202		Sách-Nhanh Nhẹn	38	dexterity_v	38																		
202		Sách-Nhanh Nhẹn	39	dexterity_v	39																		
202		Sách-Nhanh Nhẹn	40	dexterity_v	40																		
203		Sách-Thể Chất	1	vitality_v	1																		
203		Sách-Thể Chất	2	vitality_v	2																		
203		Sách-Thể Chất	3	vitality_v	3																		
203		Sách-Thể Chất	4	vitality_v	4																		
203		Sách-Thể Chất	5	vitality_v	5																		
203		Sách-Thể Chất	6	vitality_v	6																		
203		Sách-Thể Chất	7	vitality_v	7																		
203		Sách-Thể Chất	8	vitality_v	8																		
203		Sách-Thể Chất	9	vitality_v	9																		
203		Sách-Thể Chất	10	vitality_v	10																		
203		Sách-Thể Chất	11	vitality_v	11																		
203		Sách-Thể Chất	12	vitality_v	12																		
203		Sách-Thể Chất	13	vitality_v	13																		
203		Sách-Thể Chất	14	vitality_v	14																		
203		Sách-Thể Chất	15	vitality_v	15																		
203		Sách-Thể Chất	16	vitality_v	16																		
203		Sách-Thể Chất	17	vitality_v	17																		
203		Sách-Thể Chất	18	vitality_v	18																		
203		Sách-Thể Chất	19	vitality_v	19																		
203		Sách-Thể Chất	20	vitality_v	20																		
203		Sách-Thể Chất	21	vitality_v	21																		
203		Sách-Thể Chất	22	vitality_v	22																		
203		Sách-Thể Chất	23	vitality_v	23																		
203		Sách-Thể Chất	24	vitality_v	24																		
203		Sách-Thể Chất	25	vitality_v	25																		
203		Sách-Thể Chất	26	vitality_v	26																		
203		Sách-Thể Chất	27	vitality_v	27																		
203		Sách-Thể Chất	28	vitality_v	28																		
203		Sách-Thể Chất	29	vitality_v	29																		
203		Sách-Thể Chất	30	vitality_v	30																		
203		Sách-Thể Chất	31	vitality_v	31																		
203		Sách-Thể Chất	32	vitality_v	32																		
203		Sách-Thể Chất	33	vitality_v	33																		
203		Sách-Thể Chất	34	vitality_v	34																		
203		Sách-Thể Chất	35	vitality_v	35																		
203		Sách-Thể Chất	36	vitality_v	36																		
203		Sách-Thể Chất	37	vitality_v	37																		
203		Sách-Thể Chất	38	vitality_v	38																		
203		Sách-Thể Chất	39	vitality_v	39																		
203		Sách-Thể Chất	40	vitality_v	40																		
204		Sách-Mẹo	1	energy_v	1																		
204		Sách-Mẹo	2	energy_v	2																		
204		Sách-Mẹo	3	energy_v	3																		
204		Sách-Mẹo	4	energy_v	4																		
204		Sách-Mẹo	5	energy_v	5																		
204		Sách-Mẹo	6	energy_v	6																		
204		Sách-Mẹo	7	energy_v	7																		
204		Sách-Mẹo	8	energy_v	8																		
204		Sách-Mẹo	9	energy_v	9																		
204		Sách-Mẹo	10	energy_v	10																		
204		Sách-Mẹo	11	energy_v	11																		
204		Sách-Mẹo	12	energy_v	12																		
204		Sách-Mẹo	13	energy_v	13																		
204		Sách-Mẹo	14	energy_v	14																		
204		Sách-Mẹo	15	energy_v	15																		
204		Sách-Mẹo	16	energy_v	16																		
204		Sách-Mẹo	17	energy_v	17																		
204		Sách-Mẹo	18	energy_v	18																		
204		Sách-Mẹo	19	energy_v	19																		
204		Sách-Mẹo	20	energy_v	20																		
204		Sách-Mẹo	21	energy_v	21																		
204		Sách-Mẹo	22	energy_v	22																		
204		Sách-Mẹo	23	energy_v	23																		
204		Sách-Mẹo	24	energy_v	24																		
204		Sách-Mẹo	25	energy_v	25																		
204		Sách-Mẹo	26	energy_v	26																		
204		Sách-Mẹo	27	energy_v	27																		
204		Sách-Mẹo	28	energy_v	28																		
204		Sách-Mẹo	29	energy_v	29																		
204		Sách-Mẹo	30	energy_v	30																		
204		Sách-Mẹo	31	energy_v	31																		
204		Sách-Mẹo	32	energy_v	32																		
204		Sách-Mẹo	33	energy_v	33																		
204		Sách-Mẹo	34	energy_v	34																		
204		Sách-Mẹo	35	energy_v	35																		
204		Sách-Mẹo	36	energy_v	36																		
204		Sách-Mẹo	37	energy_v	37																		
204		Sách-Mẹo	38	energy_v	38																		
204		Sách-Mẹo	39	energy_v	39																		
204		Sách-Mẹo	40	energy_v	40																		
900		Chu Thiên-Nhâm Mạch (Nhân Vật)	1	fightpower_v1	2000			lifemax_v	3390			physical_damage_v	170		170	all_series_resist_v	85						
900		Chu Thiên-Nhâm Mạch (Nhân Vật)	2	fightpower_v1	4600			lifemax_v	4520			physical_damage_v	230		230	all_series_resist_v	115						
900		Chu Thiên-Nhâm Mạch (Nhân Vật)	3	fightpower_v1	8000			lifemax_v	5650			physical_damage_v	285		285	all_series_resist_v	145						
900		Chu Thiên-Nhâm Mạch (Nhân Vật)	4	fightpower_v1	12000			lifemax_v	6780			physical_damage_v	340		340	all_series_resist_v	170						
901		Chu Thiên-Đốc Mạch (Nhân Vật)	1	fightpower_v1	2900			physical_damage_v	335		335	defense_v	665			weaken_deadlystrike_v	335						
901		Chu Thiên-Đốc Mạch (Nhân Vật)	2	fightpower_v1	7500			physical_damage_v	445		445	defense_v	885			weaken_deadlystrike_v	445						
901		Chu Thiên-Đốc Mạch (Nhân Vật)	3	fightpower_v1	13700			physical_damage_v	555		555	defense_v	1105			weaken_deadlystrike_v	555						
901		Chu Thiên-Đốc Mạch (Nhân Vật)	4	fightpower_v1	21600			physical_damage_v	665		665	defense_v	1325			weaken_deadlystrike_v	665						
902		Chu Thiên-Xung Mạch (Nhân Vật)	1	fightpower_v1	3900			basic_damage_v	775		775	ignore_defense_v	1550			ignore_all_resist_v	100	390					
902		Chu Thiên-Xung Mạch (Nhân Vật)	2	fightpower_v1	10100			basic_damage_v	1035		1035	ignore_defense_v	2065			ignore_all_resist_v	100	520					
902		Chu Thiên-Xung Mạch (Nhân Vật)	3	fightpower_v1	18800			basic_damage_v	1295		1295	ignore_defense_v	2580			ignore_all_resist_v	100	650					
902		Chu Thiên-Xung Mạch (Nhân Vật)	4	fightpower_v1	29800			basic_damage_v	1550		1550	ignore_defense_v	3095			ignore_all_resist_v	100	775					
903		Nhân vật Chu Thiên-Dương Khiêu	1	fightpower_v1	4400			lifemax_v	16595			basic_damage_v	830		830	deadlystrike_v	830						
903		Nhân vật Chu Thiên-Dương Khiêu	2	fightpower_v1	11600			lifemax_v	22130			basic_damage_v	1110		1110	deadlystrike_v	1110						
903		Nhân vật Chu Thiên-Dương Khiêu	3	fightpower_v1	21600			lifemax_v	27660			basic_damage_v	1385		1385	deadlystrike_v	1385						
903		Nhân vật Chu Thiên-Dương Khiêu	4	fightpower_v1	34600			lifemax_v	33190			basic_damage_v	1660		1660	deadlystrike_v	1660						
904		Âm Khiêu-Chu Thiên-Nhân Vật	1	fightpower_v1	4800			steallife_p	6			return_resist_p	6			ignore_all_resist_v	100	390					
904		Âm Khiêu-Chu Thiên-Nhân Vật	2	fightpower_v1	13500			steallife_p	8			return_resist_p	8			ignore_all_resist_v	100	520					
904		Âm Khiêu-Chu Thiên-Nhân Vật	3	fightpower_v1	26000			steallife_p	10			return_resist_p	10			ignore_all_resist_v	100	650					
