EquipItem	WaiYiItem	Cost	TimeOut	Desc
3311	3263			Ngoại Trang T4
3864	6288			Ngoại Trang T5
3870	6288			Cảng Phục-Ngoại Trang T5 (Hắc Bang)-Màu 1
3871	6289			Cảng Phục-Ngoại Trang T5 (Hắc Bang)-Màu 2
3872	6290			Cảng Phục-Ngoại Trang T5 (Hắc Bang)-Màu 3
3873	6291			Cảng Phục-Ngoại Trang T5 (Hắc Bang)-Màu 4
6873	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang)
6344	6288			Ngoại Trang Thiên Vương T5 (Hắc Bang)
6345	6288			Ngoại Trang Nga Mi T5 (Hắc Bang)
6346	6288			Ngoại Trang Đào Hoa T5 (Hắc Bang)
6347	6288			Ngoại Trang Tiêu Dao T5 (Hắc Bang)
6348	6288			Ngoại Trang Võ Đang T5 (Hắc Bang)
6349	6288			Ngoại Trang Thiên Nhẫn T5 (Hắc Bang)
6350	6288			Ngoại Trang Thiếu Lâm T5 (Hắc Bang)
6351	6288			Ngoại Trang Thúy Yên T5 (Hắc Bang)
6352	6288			Ngoại Trang Đường Môn T5 (Hắc Bang)
6353	6288			Ngoại Trang Côn Lôn T5 (Hắc Bang)
6354	6288			Ngoại Trang Cái Bang T5 (Hắc Bang)
6355	6288			Ngoại Trang Ngũ Độc T5 (Hắc Bang)
6356	6288			Ngoại Trang Tàng Kiếm T5 (Hắc Bang)
6357	6288			Ngoại Trang Trường Ca T5 (Hắc Bang)
4508	4243			Ngoại Trang T6 Thiên Vương-Hào Hoa
4509	4243			Ngoại Trang T6 Nga Mi-Hào Hoa
4510	4243			Ngoại Trang T6 Đào Hoa-Hào Hoa
4511	4243			Ngoại Trang T6 Tiêu Dao-Hào Hoa
4512	4243			Ngoại Trang T6 Võ Đang-Hào Hoa
4513	4243			Ngoại Trang T6 Thiên Nhẫn-Hào Hoa
4514	4243			Ngoại Trang T6 Thiếu Lâm-Hào Hoa
4515	4243			Ngoại Trang T6 Thúy Yên-Hào Hoa
4516	4243			Ngoại Trang T6 Đường Môn-Hào Hoa
4517	4243			Ngoại Trang T6 Côn Lôn-Hào Hoa
4518	4243			Ngoại Trang T6 Cái Bang-Hào Hoa
4519	4243			Ngoại Trang T6 Ngũ Độc-Hào Hoa
6874	3874			Ngoại Trang T6 Tất Cả Phái
4448	3874			Ngoại Trang Thiên Vương T6
4449	3874			Ngoại Trang Nga Mi T6
4450	3874			Ngoại Trang Đào Hoa T6
4451	3874			Ngoại Trang Tiêu Dao T6
4452	3874			Ngoại Trang Võ Đang T6
4453	3874			Ngoại Trang Thiên Nhẫn T6
4454	3874			Ngoại Trang Thiếu Lâm T6
4455	3874			Ngoại Trang Thúy Yên T6
4456	3874			Ngoại Trang Đường Môn T6
4457	3874			Ngoại Trang Côn Lôn T6
4458	3874			Ngoại Trang Cái Bang T6
4459	3874			Ngoại Trang Ngũ Độc T6
6204	3874			Ngoại Trang Tàng Kiếm T6
6205	3874			Ngoại Trang Trường Ca T6
6872	3878			【 Tất Cả Phái】Phù Quang Nhược Mộng
5969	3878			【Thiên Vương】Phù Quang-Mộng Vũ
5970	3878			【Nga Mi】Phù Quang-Mộng Duyên
5971	3878			【Đào Hoa】Phù Quang-Mộng Điệp
5972	3878			【Tiêu Dao】Phù Quang-Mộng Vũ
5973	3878			【Võ Đang】Phù Quang-Mộng Duyên
5974	3878			【Thiên Nhẫn】Phù Quang-Mộng Vũ
5975	3878			【Thiếu Lâm】Phù Quang-Mộng Duyên
5976	3878			【Thúy Yên】Phù Quang-Mộng Điệp
5977	3878			【Đường Môn】Phù Quang-Mộng Vũ
5978	3878			【Côn Lôn】Phù Quang-Mộng Duyên
5979	3878			【Cái Bang】Phù Quang-Mộng Duyên
5980	3878			【Ngũ Độc】Phù Quang-Mộng Điệp
5981	3878			【Tàng Kiếm】Phù Quang-Mộng Duyên
5982	3878			【Trường Ca】Phù Quang-Mộng Duyên
5983	3882			Ngoại Trang Thiên Vương T8 (Hàn Phục)
5984	5915			Ngoại Trang Nga Mi T8 (Hàn Phục)
5985	5919			Ngoại Trang Đào Hoa T8 (Hàn Phục)
5986	5923			Ngoại Trang Tiêu Dao T8 (Hàn Phục)
5987	5927			Ngoại Trang Võ Đang T8 (Hàn Phục)
5988	5931			Ngoại Trang Thiên Nhẫn  T8 (Hàn Phục)
5989	5935			Ngoại Trang Thiếu Lâm  T8 (Hàn Phục)
5990	5939			Ngoại Trang Thúy Yên  T8 (Hàn Phục)
6145	6146		259200	Hàn Phục-3 ngày
3569	3568		15552000	Thịnh Điển Hoa Phục
3645	3568		604800	Thịnh Điển Hoa Phục (7 ngày) 
4745	4743		259200	Lễ Phục Mừng Sinh Nhật-3 Ngày
4891	4892			Lễ Phục Mừng Sinh Nhật
7371	4743		1296000	Lễ Phục Mừng Sinh Nhật-15 Ngày
3895	3896		604800	Trang Phục Thiếu Hiệp Giang Hồ (7 ngày)
4493	2516		259200	Ngoại Trang T1-3 ngày
4494	2516		604800	Ngoại Trang T1-7 ngày
4495	2516		2592000	Ngoại Trang T1-30 ngày
4496	4481		259200	Ngoại Trang T2-3 ngày
4497	4481		604800	Ngoại Trang T2-7 ngày
4498	4481		2592000	Ngoại Trang T2-30 ngày
4499	4484		259200	Ngoại Trang T3-3 ngày
4500	4484		604800	Ngoại Trang T3-7 ngày
4501	4484		2592000	Ngoại Trang T3-30 ngày
4502	4487		259200	Ngoại Trang T4-3 ngày
4503	4487		604800	Ngoại Trang T4-7 ngày
4504	4487		2592000	Ngoại Trang T4-30 ngày
4505	4490		259200	Ngoại Trang T5-3 ngày
4506	4490		604800	Ngoại Trang T5-7 ngày
4507	4490		2592000	Ngoại Trang T5-30 ngày
8287	4772		259200	Ngoại Trang T6-3 Ngày
8288	4772		604800	Ngoại Trang T6-7 Ngày
8289	4772		2592000	Ngoại Trang T6-30 Ngày
8290	6741		259200	Phù Quang Nhược Mộng T7 (3 Ngày)
8291	6741		604800	Phù Quang Nhược Mộng T7 (7 Ngày)
6877	6741		2592000	Phù Quang Nhược Mộng T7 (30 Ngày)
8292	7123		259200	Ti Lộ Lưu Sa T9 (3 Ngày)
7125	7123		604800	Ti Lộ Lưu Sa T9 (7 Ngày)
7124	7123		2592000	Ti Lộ Lưu Sa T9 (30 Ngày)
8293	8284		259200	Năm Mới T11 3 Ngày
8294	8284		604800	Năm Mới T11 7 Ngày
8295	8284		2592000	Năm Mới T11 30 Ngày
8296	8285		259200	Ngoại Trang Hạ Liên-Cao T12 (3 Ngày)
8297	8285		604800	Ngoại Trang Hạ Liên-Cao T12 (7 Ngày)
8298	8285		2592000	Ngoại Trang Hạ Liên-Cao T12 (30 Ngày)
8299	8286		259200	Ngoại Trang Hạ Liên-Thường T12A (3 Ngày)
8300	8286		604800	Ngoại Trang Hạ Liên-Thường T12A (7 Ngày)
8301	8286		2592000	Ngoại Trang Hạ Liên-Thường T12A (30 Ngày)
4760	4772		5184000	【Thiên Vương】Ngoại Trang T6 (60 ngày)
4761	4772		5184000	【Nga Mi】Ngoại Trang T6 (60 ngày)
4762	4772		5184000	【Đào Hoa】Ngoại Trang T6 (60 ngày)
4763	4772		5184000	【Tiêu Dao】Ngoại Trang T6 (60 ngày)
4764	4772		5184000	【Võ Đang】Ngoại Trang T6 (60 ngày)
4765	4772		5184000	【Thiên Nhẫn】Ngoại Trang T6 (60 ngày)
4766	4772		5184000	【Thiếu Lâm】Ngoại Trang T6 (60 ngày)
4767	4772		5184000	【Thúy Yên】Ngoại Trang T6 (60 ngày)
4768	4772		5184000	【Đường Môn】Ngoại Trang T6 (60 ngày)
4769	4772		5184000	【Côn Lôn】Ngoại Trang T6 (60 ngày)
4770	4772		5184000	【Cái Bang】Ngoại Trang T6 (60 ngày)
4771	4772		5184000	【Ngũ Độc】Ngoại Trang T6 (60 ngày)
7367	4772		5184000	【Tàng Kiếm】Ngoại Trang T6-60 ngày
7368	4772		5184000	【Trường Ca】Ngoại Trang T6-60 ngày
6203	3225			Vũ Khí Tân Thủ
1	3249	300000		Vũ Khí T1
2	3250	300000		Vũ Khí T2
3	3251	300000		Vũ Khí T3
4	3252	300000		Vũ Khí T4
5	3253	300000		Vũ Khí T5
6	3254	300000		Vũ Khí T6
7	3255	300000		Vũ Khí T7
8	3256	300000		Vũ Khí T8
9	3257	300000		Vũ Khí T9
10	3258	300000		Vũ Khí T10
4901	5311	300000		Vũ Khí T11
4902	5315	300000		Vũ Khí T12
4903	5319	300000		Vũ Khí T13
4904	5323	300000		Vũ Khí T14
4905	5327	300000		Vũ Khí T15
4906	5331	300000		Vũ Khí T16
101	3249	300000		【Hiếm】Vũ Khí T1
102	3250	300000		【Hiếm】Vũ Khí T2
103	3251	300000		【Hiếm】Vũ Khí T3
104	3252	300000		【Hiếm】Vũ Khí T4
105	3253	300000		【Hiếm】Vũ Khí T5
106	3254	300000		【Hiếm】Vũ Khí T6
107	3255	300000		【Hiếm】Vũ Khí T7
108	3256	300000		【Hiếm】Vũ Khí T8
109	3257	300000		【Hiếm】Vũ Khí T9
110	3258	300000		【Hiếm】Vũ Khí T1
5001	5311	300000		【Hiếm】Vũ Khí T11
5002	5315	300000		【Hiếm】Vũ Khí T12
5003	5319	300000		【Hiếm】Vũ Khí T13
5004	5323	300000		【Hiếm】Vũ Khí T14
5005	5327	300000		【Hiếm】Vũ Khí T15
5006	5331	300000		T16【Hiếm】Vũ Khí
1530	3249	300000		【Kế Thừa】Vũ Khí T1
1531	3250	300000		【Kế Thừa】Vũ Khí T2
1532	3251	300000		【Kế Thừa】Vũ Khí T3
1533	3252	300000		【Kế Thừa】Vũ Khí T4
1534	3253	300000		【Kế Thừa】Vũ Khí T5
1535	3254	300000		【Kế Thừa】Vũ Khí T6
1536	3255	300000		【Kế Thừa】Vũ Khí T7
1537	3256	300000		【Kế Thừa】Vũ Khí T8
3599	3257	300000		Vũ Khí T9【Kế Thừa】
3600	3258	300000		Vũ Khí T10【Kế Thừa】
5101	5311	300000		【Kế Thừa】Vũ Khí T11
5102	5315	300000		【Kế Thừa】Vũ Khí T12
5103	5319	300000		【Kế Thừa】Vũ Khí T13
5104	5323	300000		【Kế Thừa】Vũ Khí T14
5105	5327	300000		【Kế Thừa】Vũ Khí T15
5106	5331	300000		T16【Kế Thừa】Vũ Khí
1246	3249	300000		Vũ Khí T1 (Đặc chế)
7421	4047			Hàn Sương
4738	4735		2592000	Hàn Sương (30 Ngày)
4739	4736		2592000	Hàn Sương Sảnh Ảnh (30 Ngày)
9704	4736		31536000	Hàn Sương Sảnh Ảnh (Ngoại Trang 1 Năm)
4740	4737		2592000	Tiểu Hắc (30 Ngày)
4863	4865		31536000	Tử U Linh Lộc (1 Năm)
4864	4866		31536000	Vân Mị Linh Lộc (1 Năm)
4869	4868		31536000	Tinh Mang-Vân Mị Linh Lộc (1 Năm)
10153	10152		15768000	Thích Kim-Lam Trạm Linh Lộc (Ngoại Trang 6 Tháng)
7291	7280			Sí Ảnh
7422	7423		5184000	Sí Ảnh (Ngoại Trang 60 Ngày)
8279	7423		31536000	Sí Ảnh (Ngoại Trang 1 năm)
7297	7296		7776000	Phúc Thụy Linh Lộc
4746	3933			【Thiên Vương】Thủy Quả Chùy
4747	4381			【Nga Mi】Tường Vi Kiếm
4748	4385			【Đào Hoa】Lạc Hoa Cung
4749	4389			【Tiêu Dao】Lưu Tuệ Thương
4750	4393			【Võ Đang】Kim Kết Kiếm
4751	4397			【Thiên Nhẫn】Phá Nguyệt Thích
4752	4401			【Thiếu Lâm】Phá Mộng Trượng
4753	4405			【Thúy Yên】Phù Cừ Kỹ
4754	4409			【Đường Môn】Mộc Hoa Nỏ
4755	4413			【Côn Lôn】Tiếu Xuân Phong
4756	4417			【Cái Bang】Thanh Trúc Trượng
4757	4421			【Ngũ Độc】Triều Nhan Địch
6206	5351			【Tàng Kiếm】Thúy Nhã Chi
6207	5355			【Trường Ca】Bách Hợp
6987	6701			【Thiên Sơn】Ngọc Âm Chi
7679	7515			【Bá Đao】Hoàng Liễu Thúc
8527	8440			【Hoa Sơn】Quang Minh Thảo
10137	9719			【Minh Giáo】Mai Thịnh Hoàn
10600	10495			【Đoàn Thị】Phù Dung Liên
11365	11051			【万花】风骨黄槿玉
6710	6741		2592000	【Thiên Vương】Phù Quang-Mộng Vũ (30 ngày)
6711	6741		2592000	【Nga Mi】Phù Quang-Mộng Duyên (30 ngày)
6712	6741		2592000	【Đào Hoa】Phù Quang-Mộng Điệp (30 ngày)
6713	6741		2592000	【Tiêu Dao】Phù Quang-Mộng Vũ (30 ngày)
6714	6741		2592000	【Võ Đang】Phù Quang-Mộng Duyên (30 ngày)
6715	6741		2592000	【Thiên Nhẫn】Phù Quang-Mộng Vũ (30 ngày)
6716	6741		2592000	【Thiếu Lâm】Phù Quang-Mộng Duyên (30 ngày)
6717	6741		2592000	【Thúy Yên】Phù Quang-Mộng Điệp (30 ngày)
6718	6741		2592000	【Đường Môn】Phù Quang-Mộng Vũ (30 ngày)
6719	6741		2592000	【Côn Lôn】Phù Quang-Mộng Duyên (30 ngày)
6720	6741		2592000	【Cái Bang】Phù Quang-Mộng Duyên (30 ngày)
6721	6741		2592000	【Ngũ Độc】Phù Quang-Mộng Điệp (30 ngày)
6722	6741		2592000	【Tàng Kiếm】Phù Quang-Mộng Duyên (30 ngày)
6723	6741		2592000	【Trường Ca】Phù Quang-Mộng Duyên (30 ngày)
6757	6742		2592000	【Thiên Vương】Thủy Quả Chùy-30 ngày
6758	6743		2592000	【Nga Mi】Tường Vi Kiếm-30 ngày
6759	6744		2592000	【Đào Hoa】Lạc Hoa Cung-30 ngày
6760	6745		2592000	【Tiêu Dao】Lưu Tuệ Thương-30 ngày
6761	6746		2592000	【Võ Đang】Kim Kết Kiếm-30 ngày
6762	6747		2592000	【Thiên Nhẫn】Phá Nguyệt Thích-30 ngày
6763	6748		2592000	【Thiếu Lâm】Phá Mộng Trượng-30 ngày
6764	6749		2592000	【Thúy Yên】Phù Cừ Kỹ-30 ngày
6765	6750		2592000	【Đường Môn】Mộc Hoa Nỏ-30 ngày
6766	6751		2592000	【Côn Lôn】Tiếu Xuân Phong-30 ngày
6767	6752		2592000	【Cái Bang】Thanh Trúc Trượng-30 ngày
6768	6753		2592000	【Ngũ Độc】Triều Nhan Địch-30 ngày
6769	6754		2592000	【Tàng Kiếm】Thúy Nhã Chi-30 ngày
6770	6755		2592000	【Trường Ca】Bách Hợp-30 ngày
6988	6756		2592000	【Thiên Sơn】Ngọc Âm Chi-30 ngày
7680	7681		2592000	【Bá Đao】Hoàng Liễu Thúc-30 Ngày
8528	8529		2592000	【Hoa Sơn】Quang Minh Thảo-30 Ngày
10138	9724		2592000	【Minh Giáo】Mai Thịnh Hoàn-30 Ngày
10601	10500		2592000	【Đoàn Thị】Phù Dung Liên-30 ngày
11366	11060		2592000	【万花】风骨黄槿玉·30天
6292	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6293	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6294	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6295	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6296	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6297	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6298	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6299	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6300	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6301	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6302	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6303	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6304	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6305	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6306	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6307	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6308	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6309	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6310	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6311	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6312	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6313	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6314	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6315	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6316	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6317	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6318	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6319	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6320	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6321	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6322	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6323	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6324	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6325	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6326	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6327	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6328	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6329	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6330	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6331	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6332	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6333	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6334	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6335	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6336	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6337	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6338	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6339	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6340	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6341	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6342	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6343	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6651	6288			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 1
6652	6289			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 2
6653	6290			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 3
6654	6291			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Màu 4
6540	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6541	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6542	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6543	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6544	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6545	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6546	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6547	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6548	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6549	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6550	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6551	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6552	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
6655	6539			Ngoại Trang T5 Tất Cả Phái (Hắc Bang) Nguyệt
4326	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4327	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4328	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4329	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
4330	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4331	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4332	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4333	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
4334	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4335	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4336	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4337	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
4338	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4339	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4340	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4341	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
4342	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4343	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4344	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4345	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
4346	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4347	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4348	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4349	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
4350	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4351	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4352	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4353	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
4354	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4355	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4356	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4357	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
4358	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4359	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4360	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4361	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
4362	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4363	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4364	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4365	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
4366	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
4367	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
4368	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
4369	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
5259	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
5260	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
5261	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
5262	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
5263	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
5264	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
5265	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
5266	3877			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 3
6656	3874			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)
6657	3875			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 1
6658	3876			Ngoại Trang T6 Tất Cả Phái (Tự Nhiên)-Bạc Màu 2
