TemplateId	Desc	AttribType1	AttribLevel1	AttribType2	AttribLevel2	AttribType3	AttribLevel3	AttribType4	AttribLevel4	AttribType5	AttribLevel5	AttribType6	AttribLevel6
473	Đầu T7 (Trung)	vitality_v	15	energy_v	15	dexterity_v	15	lifemax_p	15	defense_v	15	state_stun_resistrate	15
474	Đầu T8 (Trung)	vitality_v	17	energy_v	17	dexterity_v	17	lifemax_p	17	defense_v	17	state_stun_resistrate	17
3826	Đầu T9 (Trung)	vitality_v	19	energy_v	19	dexterity_v	19	lifemax_p	19	defense_v	19	state_stun_resistrate	19
3827	Nón T10 (Trung)	vitality_v	21	energy_v	21	dexterity_v	21	lifemax_p	21	defense_v	21	state_stun_resistrate	21
475	Đầu T1 (Cao)	vitality_v	6	energy_v	6	dexterity_v	6	lifemax_p	6	defense_v	6	state_stun_resistrate	6
476	Đầu T2 (Cao)	vitality_v	8	energy_v	8	dexterity_v	8	lifemax_p	8	defense_v	8	state_stun_resistrate	8
477	Đầu T3 (Cao)	vitality_v	10	energy_v	10	dexterity_v	10	lifemax_p	10	defense_v	10	state_stun_resistrate	10
478	Đầu T4 (Cao)	vitality_v	12	energy_v	12	dexterity_v	12	lifemax_p	12	defense_v	12	state_stun_resistrate	12
479	Đầu T5 (Cao)	vitality_v	14	energy_v	14	dexterity_v	14	lifemax_p	14	defense_v	14	state_stun_resistrate	14
480	Đầu T6 (Cao)	vitality_v	16	energy_v	16	dexterity_v	16	lifemax_p	16	defense_v	16	state_stun_resistrate	16
481	Đầu T7 (Cao)	vitality_v	18	energy_v	18	dexterity_v	18	lifemax_p	18	defense_v	18	state_stun_resistrate	18
482	Đầu T8 (Cao)	vitality_v	20	energy_v	20	dexterity_v	20	lifemax_p	20	defense_v	20	state_stun_resistrate	20
3828	Đầu T9 (Cao)	vitality_v	22	energy_v	22	dexterity_v	22	lifemax_p	22	defense_v	22	state_stun_resistrate	22
3829	Nón T10 (Cao)	vitality_v	24	energy_v	24	dexterity_v	24	lifemax_p	24	defense_v	24	state_stun_resistrate	24
364	Áo T1 (Thấp)	vitality_v	2	dexterity_v	2	all_series_resist_v	2	weaken_deadlystrike_damage_p	2	resist_allseriesstate_rate_v	2	weaken_deadlystrike_v	2
365	Áo T2 (Thấp)	vitality_v	4	dexterity_v	4	all_series_resist_v	4	weaken_deadlystrike_damage_p	4	resist_allseriesstate_rate_v	4	weaken_deadlystrike_v	4
366	Áo T3 (Thấp)	vitality_v	6	dexterity_v	6	all_series_resist_v	6	weaken_deadlystrike_damage_p	6	resist_allseriesstate_rate_v	6	weaken_deadlystrike_v	6
367	Áo T4 (Thấp)	vitality_v	8	dexterity_v	8	all_series_resist_v	8	weaken_deadlystrike_damage_p	8	resist_allseriesstate_rate_v	8	weaken_deadlystrike_v	8
368	Áo T5 (Thấp)	vitality_v	10	dexterity_v	10	all_series_resist_v	10	weaken_deadlystrike_damage_p	10	resist_allseriesstate_rate_v	10	weaken_deadlystrike_v	10
369	Áo T6 (Thấp)	vitality_v	12	dexterity_v	12	all_series_resist_v	12	weaken_deadlystrike_damage_p	12	resist_allseriesstate_rate_v	12	weaken_deadlystrike_v	12
370	Áo T7 (Thấp)	vitality_v	14	dexterity_v	14	all_series_resist_v	14	weaken_deadlystrike_damage_p	14	resist_allseriesstate_rate_v	14	weaken_deadlystrike_v	14
371	Áo T8 (Thấp)	vitality_v	16	dexterity_v	16	all_series_resist_v	16	weaken_deadlystrike_damage_p	16	resist_allseriesstate_rate_v	16	weaken_deadlystrike_v	16
3830	Áo T9 (Thấp)	vitality_v	18	dexterity_v	18	all_series_resist_v	18	weaken_deadlystrike_damage_p	18	resist_allseriesstate_rate_v	18	weaken_deadlystrike_v	18
3831	Áo T10 (Thấp)	vitality_v	20	dexterity_v	20	all_series_resist_v	20	weaken_deadlystrike_damage_p	20	resist_allseriesstate_rate_v	20	weaken_deadlystrike_v	20
372	Áo T1 (Trung)	vitality_v	3	dexterity_v	3	all_series_resist_v	3	weaken_deadlystrike_damage_p	3	resist_allseriesstate_rate_v	3	weaken_deadlystrike_v	3
373	Áo T2 (Trung)	vitality_v	5	dexterity_v	5	all_series_resist_v	5	weaken_deadlystrike_damage_p	5	resist_allseriesstate_rate_v	5	weaken_deadlystrike_v	5
374	Áo T3 (Trung)	vitality_v	7	dexterity_v	7	all_series_resist_v	7	weaken_deadlystrike_damage_p	7	resist_allseriesstate_rate_v	7	weaken_deadlystrike_v	7
375	Áo T4 (Trung)	vitality_v	9	dexterity_v	9	all_series_resist_v	9	weaken_deadlystrike_damage_p	9	resist_allseriesstate_rate_v	9	weaken_deadlystrike_v	9
376	Áo T5 (Trung)	vitality_v	11	dexterity_v	11	all_series_resist_v	11	weaken_deadlystrike_damage_p	11	resist_allseriesstate_rate_v	11	weaken_deadlystrike_v	11
377	Áo T6 (Trung)	vitality_v	14	dexterity_v	12	all_series_resist_v	12	weaken_deadlystrike_damage_p	12	resist_allseriesstate_rate_v	12	weaken_deadlystrike_v	12
378	Áo T7 (Trung)	vitality_v	15	dexterity_v	15	all_series_resist_v	15	weaken_deadlystrike_damage_p	15	resist_allseriesstate_rate_v	15	weaken_deadlystrike_v	15
379	Áo T8 (Trung)	vitality_v	17	dexterity_v	17	all_series_resist_v	17	weaken_deadlystrike_damage_p	17	resist_allseriesstate_rate_v	17	weaken_deadlystrike_v	17
3832	Áo T9 (Trung)	vitality_v	19	dexterity_v	19	all_series_resist_v	19	weaken_deadlystrike_damage_p	19	resist_allseriesstate_rate_v	19	weaken_deadlystrike_v	19
3833	Áo T10 (Trung)	vitality_v	21	dexterity_v	21	all_series_resist_v	21	weaken_deadlystrike_damage_p	21	resist_allseriesstate_rate_v	21	weaken_deadlystrike_v	21
380	Áo T1 (Cao)	vitality_v	6	dexterity_v	6	all_series_resist_v	6	weaken_deadlystrike_damage_p	6	resist_allseriesstate_rate_v	6	weaken_deadlystrike_v	6
381	Áo T2 (Cao)	vitality_v	8	dexterity_v	8	all_series_resist_v	8	weaken_deadlystrike_damage_p	8	resist_allseriesstate_rate_v	8	weaken_deadlystrike_v	8
382	Áo T3 (Cao)	vitality_v	10	dexterity_v	10	all_series_resist_v	10	weaken_deadlystrike_damage_p	10	resist_allseriesstate_rate_v	10	weaken_deadlystrike_v	10
383	Áo T4 (Cao)	vitality_v	12	dexterity_v	12	all_series_resist_v	12	weaken_deadlystrike_damage_p	12	resist_allseriesstate_rate_v	12	weaken_deadlystrike_v	12
384	Áo T5 (Cao)	vitality_v	14	dexterity_v	14	all_series_resist_v	14	weaken_deadlystrike_damage_p	14	resist_allseriesstate_rate_v	14	weaken_deadlystrike_v	14
385	Áo T6 (Cao)	vitality_v	16	dexterity_v	16	all_series_resist_v	16	weaken_deadlystrike_damage_p	16	resist_allseriesstate_rate_v	16	weaken_deadlystrike_v	16
386	Áo T7 (Cao)	vitality_v	18	dexterity_v	18	all_series_resist_v	18	weaken_deadlystrike_damage_p	18	resist_allseriesstate_rate_v	18	weaken_deadlystrike_v	18
387	Áo T8 (Cao)	vitality_v	20	dexterity_v	20	all_series_resist_v	20	weaken_deadlystrike_damage_p	20	resist_allseriesstate_rate_v	20	weaken_deadlystrike_v	20
3834	Áo T9 (Cao)	vitality_v	22	dexterity_v	22	all_series_resist_v	22	weaken_deadlystrike_damage_p	22	resist_allseriesstate_rate_v	22	weaken_deadlystrike_v	22
3835	Áo T10 (Cao)	vitality_v	24	dexterity_v	24	all_series_resist_v	24	weaken_deadlystrike_damage_p	24	resist_allseriesstate_rate_v	24	weaken_deadlystrike_v	24
388	Đai T1 (Thấp)	vitality_v	2	dexterity_v	2	energy_v	2	lifemax_p	2	weaken_deadlystrike_damage_p	2	defense_v	2
389	Đai T2 (Thấp)	vitality_v	4	dexterity_v	4	energy_v	4	lifemax_p	4	weaken_deadlystrike_damage_p	4	defense_v	4
390	Đai T3 (Thấp)	vitality_v	6	dexterity_v	6	energy_v	6	lifemax_p	6	weaken_deadlystrike_damage_p	6	defense_v	6
391	Đai T4 (Thấp)	vitality_v	8	dexterity_v	8	energy_v	8	lifemax_p	8	weaken_deadlystrike_damage_p	8	defense_v	8
392	Đai T5 (Thấp)	vitality_v	10	dexterity_v	10	energy_v	10	lifemax_p	10	weaken_deadlystrike_damage_p	10	defense_v	10
393	Đai T6 (Thấp)	vitality_v	12	dexterity_v	12	energy_v	12	lifemax_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
394	Đai T7 (Thấp)	vitality_v	14	dexterity_v	14	energy_v	14	lifemax_p	14	weaken_deadlystrike_damage_p	14	defense_v	14
395	Đai T8 (Thấp)	vitality_v	16	dexterity_v	16	energy_v	16	lifemax_p	16	weaken_deadlystrike_damage_p	16	defense_v	16
3842	Đai T9 (Thấp)	vitality_v	18	dexterity_v	18	energy_v	18	lifemax_p	18	weaken_deadlystrike_damage_p	18	defense_v	18
3843	Đai T10 (Thấp)	vitality_v	20	dexterity_v	20	energy_v	20	lifemax_p	20	weaken_deadlystrike_damage_p	20	defense_v	20
602	Đai T1 (Trung)	vitality_v	3	dexterity_v	3	energy_v	3	lifemax_p	3	weaken_deadlystrike_damage_p	3	defense_v	3
396	Đai T2 (Trung)	vitality_v	5	dexterity_v	5	energy_v	5	lifemax_p	5	weaken_deadlystrike_damage_p	5	defense_v	5
397	Đai T3 (Trung)	vitality_v	7	dexterity_v	7	energy_v	7	lifemax_p	7	weaken_deadlystrike_damage_p	7	defense_v	7
398	Đai T4 (Trung)	vitality_v	9	dexterity_v	9	energy_v	9	lifemax_p	9	weaken_deadlystrike_damage_p	9	defense_v	9
399	Đai T5 (Trung)	vitality_v	11	dexterity_v	11	energy_v	11	lifemax_p	11	weaken_deadlystrike_damage_p	11	defense_v	11
400	Đai T6 (Trung)	vitality_v	14	dexterity_v	12	energy_v	12	lifemax_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
401	Đai T7 (Trung)	vitality_v	15	dexterity_v	15	energy_v	15	lifemax_p	15	weaken_deadlystrike_damage_p	15	defense_v	15
402	Đai T8 (Trung)	vitality_v	17	dexterity_v	17	energy_v	17	lifemax_p	17	weaken_deadlystrike_damage_p	17	defense_v	17
3844	Đai T9 (Trung)	vitality_v	19	dexterity_v	19	energy_v	19	lifemax_p	19	weaken_deadlystrike_damage_p	19	defense_v	19
3845	Đai T10 (Trung)	vitality_v	21	dexterity_v	21	energy_v	21	lifemax_p	21	weaken_deadlystrike_damage_p	21	defense_v	21
403	Đai T1 (Cao)	vitality_v	6	dexterity_v	6	energy_v	6	lifemax_p	6	weaken_deadlystrike_damage_p	6	defense_v	6
404	Đai T2 (Cao)	vitality_v	8	dexterity_v	8	energy_v	8	lifemax_p	8	weaken_deadlystrike_damage_p	8	defense_v	8
405	Đai T3 (Cao)	vitality_v	10	dexterity_v	10	energy_v	10	lifemax_p	10	weaken_deadlystrike_damage_p	10	defense_v	10
406	Đai T4 (Cao)	vitality_v	12	dexterity_v	12	energy_v	12	lifemax_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
407	Đai T5 (Cao)	vitality_v	14	dexterity_v	14	energy_v	14	lifemax_p	14	weaken_deadlystrike_damage_p	14	defense_v	14
408	Đai T6 (Cao)	vitality_v	16	dexterity_v	16	energy_v	16	lifemax_p	16	weaken_deadlystrike_damage_p	16	defense_v	16
409	Đai T7 (Cao)	vitality_v	18	dexterity_v	18	energy_v	18	lifemax_p	18	weaken_deadlystrike_damage_p	18	defense_v	18
410	Đai T8 (Cao)	vitality_v	20	dexterity_v	20	energy_v	20	lifemax_p	20	weaken_deadlystrike_damage_p	20	defense_v	20
3846	Đai T9 (Cao)	vitality_v	22	dexterity_v	22	energy_v	22	lifemax_p	22	weaken_deadlystrike_damage_p	22	defense_v	22
3847	Đai T10 (Cao)	vitality_v	24	dexterity_v	24	energy_v	24	lifemax_p	24	weaken_deadlystrike_damage_p	24	defense_v	24
435	Hộ Uyển T1 (Thấp)	strength_v	2	vitality_v	2	dexterity_v	2	weaken_deadlystrike_damage_p	2	defense_v	2	weaken_deadlystrike_v	2
436	Hộ Uyển T2 (Thấp)	strength_v	4	vitality_v	4	dexterity_v	4	weaken_deadlystrike_damage_p	4	defense_v	4	weaken_deadlystrike_v	4
437	Hộ Uyển T3 (Thấp)	strength_v	6	vitality_v	6	dexterity_v	6	weaken_deadlystrike_damage_p	6	defense_v	6	weaken_deadlystrike_v	6
438	Hộ Uyển T4 (Thấp)	strength_v	8	vitality_v	8	dexterity_v	8	weaken_deadlystrike_damage_p	8	defense_v	8	weaken_deadlystrike_v	8
439	Hộ Uyển T5 (Thấp)	strength_v	10	vitality_v	10	dexterity_v	10	weaken_deadlystrike_damage_p	10	defense_v	10	weaken_deadlystrike_v	10
440	Hộ Uyển T6 (Thấp)	strength_v	12	vitality_v	12	dexterity_v	12	weaken_deadlystrike_damage_p	12	defense_v	12	weaken_deadlystrike_v	12
441	Hộ Uyển T7 (Thấp)	strength_v	14	vitality_v	14	dexterity_v	14	weaken_deadlystrike_damage_p	14	defense_v	14	weaken_deadlystrike_v	14
442	Hộ Uyển T8 (Thấp)	strength_v	16	vitality_v	16	dexterity_v	16	weaken_deadlystrike_damage_p	16	defense_v	16	weaken_deadlystrike_v	16
3836	Hộ Uyển T9 (Thấp) 	strength_v	18	vitality_v	18	dexterity_v	18	weaken_deadlystrike_damage_p	18	defense_v	18	weaken_deadlystrike_v	18
3837	Hộ Uyển T10 (Thấp)	strength_v	20	vitality_v	20	dexterity_v	20	weaken_deadlystrike_damage_p	20	defense_v	20	weaken_deadlystrike_v	20
443	Hộ Uyển T1 (Trung)	strength_v	3	vitality_v	3	dexterity_v	3	weaken_deadlystrike_damage_p	3	defense_v	3	weaken_deadlystrike_v	3
444	Hộ Uyển T2 (Trung)	strength_v	5	vitality_v	5	dexterity_v	5	weaken_deadlystrike_damage_p	5	defense_v	5	weaken_deadlystrike_v	5
445	Hộ Uyển T3 (Trung)	strength_v	7	vitality_v	7	dexterity_v	7	weaken_deadlystrike_damage_p	7	defense_v	7	weaken_deadlystrike_v	7
446	Hộ Uyển T4 (Trung)	strength_v	9	vitality_v	9	dexterity_v	9	weaken_deadlystrike_damage_p	9	defense_v	9	weaken_deadlystrike_v	9
447	Hộ Uyển T5 (Trung)	strength_v	11	vitality_v	11	dexterity_v	11	weaken_deadlystrike_damage_p	11	defense_v	11	weaken_deadlystrike_v	11
448	Hộ Uyển T6 (Trung)	strength_v	14	vitality_v	12	dexterity_v	12	weaken_deadlystrike_damage_p	12	defense_v	12	weaken_deadlystrike_v	12
449	Hộ Uyển T7 (Trung)	strength_v	15	vitality_v	15	dexterity_v	15	weaken_deadlystrike_damage_p	15	defense_v	15	weaken_deadlystrike_v	15
450	Hộ Uyển T8 (Trung)	strength_v	17	vitality_v	17	dexterity_v	17	weaken_deadlystrike_damage_p	17	defense_v	17	weaken_deadlystrike_v	17
3838	Hộ Uyển T9 (Trung) 	strength_v	19	vitality_v	19	dexterity_v	19	weaken_deadlystrike_damage_p	19	defense_v	19	weaken_deadlystrike_v	19
3839	Hộ Uyển T10 (Trung)	strength_v	21	vitality_v	21	dexterity_v	21	weaken_deadlystrike_damage_p	21	defense_v	21	weaken_deadlystrike_v	21
451	Hộ Uyển T1 (Cao)	strength_v	6	vitality_v	6	dexterity_v	6	weaken_deadlystrike_damage_p	6	defense_v	6	weaken_deadlystrike_v	6
452	Hộ Uyển T2 (Cao)	strength_v	8	vitality_v	8	dexterity_v	8	weaken_deadlystrike_damage_p	8	defense_v	8	weaken_deadlystrike_v	8
453	Hộ Uyển T3 (Cao)	strength_v	10	vitality_v	10	dexterity_v	10	weaken_deadlystrike_damage_p	10	defense_v	10	weaken_deadlystrike_v	10
454	Hộ Uyển T4 (Cao)	strength_v	12	vitality_v	12	dexterity_v	12	weaken_deadlystrike_damage_p	12	defense_v	12	weaken_deadlystrike_v	12
455	Hộ Uyển T5 (Cao)	strength_v	14	vitality_v	14	dexterity_v	14	weaken_deadlystrike_damage_p	14	defense_v	14	weaken_deadlystrike_v	14
456	Hộ Uyển T6 (Cao)	strength_v	16	vitality_v	16	dexterity_v	16	weaken_deadlystrike_damage_p	16	defense_v	16	weaken_deadlystrike_v	16
457	Hộ Uyển T7 (Cao)	strength_v	18	vitality_v	18	dexterity_v	18	weaken_deadlystrike_damage_p	18	defense_v	18	weaken_deadlystrike_v	18
458	Hộ Uyển T8 (Cao)	strength_v	20	vitality_v	20	dexterity_v	20	weaken_deadlystrike_damage_p	20	defense_v	20	weaken_deadlystrike_v	20
3840	Hộ Uyển T9 (Cao) 	strength_v	22	vitality_v	22	dexterity_v	22	weaken_deadlystrike_damage_p	22	defense_v	22	weaken_deadlystrike_v	22
3841	Hộ Uyển T10 (Cao)	strength_v	24	vitality_v	24	dexterity_v	24	weaken_deadlystrike_damage_p	24	defense_v	24	weaken_deadlystrike_v	24
411	Giày T1 (Thấp)	strength_v	2	vitality_v	2	dexterity_v	2	lifereplenish_p	2	weaken_deadlystrike_damage_p	2	defense_v	2
412	Giày T2 (Thấp)	strength_v	4	vitality_v	4	dexterity_v	4	lifereplenish_p	4	weaken_deadlystrike_damage_p	4	defense_v	4
413	Giày T3 (Thấp)	strength_v	6	vitality_v	6	dexterity_v	6	lifereplenish_p	6	weaken_deadlystrike_damage_p	6	defense_v	6
414	Giày T4 (Thấp)	strength_v	8	vitality_v	8	dexterity_v	8	lifereplenish_p	8	weaken_deadlystrike_damage_p	8	defense_v	8
415	Giày T5 (Thấp)	strength_v	10	vitality_v	10	dexterity_v	10	lifereplenish_p	10	weaken_deadlystrike_damage_p	10	defense_v	10
416	Giày T6 (Thấp)	strength_v	12	vitality_v	12	dexterity_v	12	lifereplenish_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
417	Giày T7 (Thấp)	strength_v	14	vitality_v	14	dexterity_v	14	lifereplenish_p	14	weaken_deadlystrike_damage_p	14	defense_v	14
418	Giày T8 (Thấp)	strength_v	16	vitality_v	16	dexterity_v	16	lifereplenish_p	16	weaken_deadlystrike_damage_p	16	defense_v	16
3848	Giày T9 (Thấp)	strength_v	18	vitality_v	18	dexterity_v	18	lifereplenish_p	18	weaken_deadlystrike_damage_p	18	defense_v	18
3849	Giày T10 (Thấp)	strength_v	20	vitality_v	20	dexterity_v	20	lifereplenish_p	20	weaken_deadlystrike_damage_p	20	defense_v	20
419	Giày T1 (Trung)	strength_v	3	vitality_v	3	dexterity_v	3	lifereplenish_p	3	weaken_deadlystrike_damage_p	3	defense_v	3
420	Giày T2 (Trung)	strength_v	5	vitality_v	5	dexterity_v	5	lifereplenish_p	5	weaken_deadlystrike_damage_p	5	defense_v	5
421	Giày T3 (Trung)	strength_v	7	vitality_v	7	dexterity_v	7	lifereplenish_p	7	weaken_deadlystrike_damage_p	7	defense_v	7
422	Giày T4 (Trung)	strength_v	9	vitality_v	9	dexterity_v	9	lifereplenish_p	9	weaken_deadlystrike_damage_p	9	defense_v	9
423	Giày T5 (Trung)	strength_v	11	vitality_v	11	dexterity_v	11	lifereplenish_p	11	weaken_deadlystrike_damage_p	11	defense_v	11
424	Giày T6 (Trung)	strength_v	14	vitality_v	12	dexterity_v	12	lifereplenish_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
425	Giày T7 (Trung)	strength_v	15	vitality_v	15	dexterity_v	15	lifereplenish_p	15	weaken_deadlystrike_damage_p	15	defense_v	15
426	Giày T8 (Trung)	strength_v	17	vitality_v	17	dexterity_v	17	lifereplenish_p	17	weaken_deadlystrike_damage_p	17	defense_v	17
3850	Giày T9 (Trung)	strength_v	19	vitality_v	19	dexterity_v	19	lifereplenish_p	19	weaken_deadlystrike_damage_p	19	defense_v	19
3851	Giày T10 (Trung)	strength_v	21	vitality_v	21	dexterity_v	21	lifereplenish_p	21	weaken_deadlystrike_damage_p	21	defense_v	21
427	Giày T1 (Cao)	strength_v	6	vitality_v	6	dexterity_v	6	lifereplenish_p	6	weaken_deadlystrike_damage_p	6	defense_v	6
428	Giày T2 (Cao)	strength_v	8	vitality_v	8	dexterity_v	8	lifereplenish_p	8	weaken_deadlystrike_damage_p	8	defense_v	8
429	Giày T3 (Cao)	strength_v	10	vitality_v	10	dexterity_v	10	lifereplenish_p	10	weaken_deadlystrike_damage_p	10	defense_v	10
430	Giày T4 (Cao)	strength_v	12	vitality_v	12	dexterity_v	12	lifereplenish_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
431	Giày T5 (Cao)	strength_v	14	vitality_v	14	dexterity_v	14	lifereplenish_p	14	weaken_deadlystrike_damage_p	14	defense_v	14
432	Giày T6 (Cao)	strength_v	16	vitality_v	16	dexterity_v	16	lifereplenish_p	16	weaken_deadlystrike_damage_p	16	defense_v	16
433	Giày T7 (Cao)	strength_v	18	vitality_v	18	dexterity_v	18	lifereplenish_p	18	weaken_deadlystrike_damage_p	18	defense_v	18
434	Giày T8 (Cao)	strength_v	20	vitality_v	20	dexterity_v	20	lifereplenish_p	20	weaken_deadlystrike_damage_p	20	defense_v	20
3852	Giày T9 (Cao)	strength_v	22	vitality_v	22	dexterity_v	22	lifereplenish_p	22	weaken_deadlystrike_damage_p	22	defense_v	22
3853	Giày T10 (Cao)	strength_v	24	vitality_v	24	dexterity_v	24	lifereplenish_p	24	weaken_deadlystrike_damage_p	24	defense_v	24
555	Vũ Khí T1 (Thấp)	strength_v	2	energy_v	2	basic_damage_v	2	physical_damage_v	2	deadlystrike_v	2	steallife_p	2
556	Vũ Khí T2 (Thấp)	strength_v	4	energy_v	4	basic_damage_v	4	physical_damage_v	4	deadlystrike_v	4	steallife_p	4
557	Vũ Khí T3 (Thấp)	strength_v	6	energy_v	6	basic_damage_v	6	physical_damage_v	6	deadlystrike_v	6	steallife_p	6
558	Vũ Khí T4 (Thấp)	strength_v	8	energy_v	8	basic_damage_v	8	physical_damage_v	8	deadlystrike_v	8	steallife_p	8
559	Vũ Khí T5 (Thấp)	strength_v	10	energy_v	10	basic_damage_v	10	physical_damage_v	10	deadlystrike_v	10	steallife_p	10
560	Vũ Khí T6 (Thấp)	strength_v	12	energy_v	12	basic_damage_v	12	physical_damage_v	12	deadlystrike_v	12	steallife_p	12
561	Vũ Khí T7 (Thấp)	strength_v	14	energy_v	14	basic_damage_v	14	physical_damage_v	14	deadlystrike_v	14	steallife_p	14
562	Vũ Khí T8 (Thấp)	strength_v	16	energy_v	16	basic_damage_v	16	physical_damage_v	16	deadlystrike_v	16	steallife_p	16
3794	Vũ Khí T9 (Thấp)	strength_v	18	energy_v	18	basic_damage_v	18	physical_damage_v	18	deadlystrike_v	18	steallife_p	18
3795	Vũ Khí T10 (Thấp)	strength_v	20	energy_v	20	basic_damage_v	20	physical_damage_v	20	deadlystrike_v	20	steallife_p	20
563	Vũ Khí T1 (Trung)	strength_v	3	energy_v	3	basic_damage_v	3	physical_damage_v	3	deadlystrike_v	3	steallife_p	3
564	Vũ Khí T2 (Trung)	strength_v	5	energy_v	5	basic_damage_v	5	physical_damage_v	5	deadlystrike_v	5	steallife_p	5
565	Vũ Khí T3 (Trung)	strength_v	7	energy_v	7	basic_damage_v	7	physical_damage_v	7	deadlystrike_v	7	steallife_p	7
566	Vũ Khí T4 (Trung)	strength_v	9	energy_v	9	basic_damage_v	9	physical_damage_v	9	deadlystrike_v	9	steallife_p	9
567	Vũ Khí T5 (Trung)	strength_v	11	energy_v	11	basic_damage_v	11	physical_damage_v	11	deadlystrike_v	11	steallife_p	11
568	Vũ Khí T6 (Trung)	strength_v	14	energy_v	12	basic_damage_v	12	physical_damage_v	12	deadlystrike_v	12	steallife_p	12
569	Vũ Khí T7 (Trung)	strength_v	15	energy_v	15	basic_damage_v	15	physical_damage_v	15	deadlystrike_v	15	steallife_p	15
570	Vũ Khí T8 (Trung)	strength_v	17	energy_v	17	basic_damage_v	17	physical_damage_v	17	deadlystrike_v	17	steallife_p	17
3796	Vũ Khí T9 (Trung)	strength_v	19	energy_v	19	basic_damage_v	19	physical_damage_v	19	deadlystrike_v	19	steallife_p	19
3797	Vũ Khí T10 (Trung)	strength_v	21	energy_v	21	basic_damage_v	21	physical_damage_v	21	deadlystrike_v	21	steallife_p	21
571	Vũ Khí T1 (Cao)	strength_v	6	energy_v	6	basic_damage_v	6	physical_damage_v	6	deadlystrike_v	6	steallife_p	6
572	Vũ Khí T2 (Cao)	strength_v	8	energy_v	8	basic_damage_v	8	physical_damage_v	8	deadlystrike_v	8	steallife_p	8
573	Vũ Khí T3 (Cao)	strength_v	10	energy_v	10	basic_damage_v	10	physical_damage_v	10	deadlystrike_v	10	steallife_p	10
574	Vũ Khí T4 (Cao)	strength_v	12	energy_v	12	basic_damage_v	12	physical_damage_v	12	deadlystrike_v	12	steallife_p	12
575	Vũ Khí T5 (Cao)	strength_v	14	energy_v	14	basic_damage_v	14	physical_damage_v	14	deadlystrike_v	14	steallife_p	14
576	Vũ Khí T6 (Cao)	strength_v	16	energy_v	16	basic_damage_v	16	physical_damage_v	16	deadlystrike_v	16	steallife_p	16
577	Vũ Khí T7 (Cao)	strength_v	18	energy_v	18	basic_damage_v	18	physical_damage_v	18	deadlystrike_v	18	steallife_p	18
578	Vũ Khí T8 (Cao)	strength_v	20	energy_v	20	basic_damage_v	20	physical_damage_v	20	deadlystrike_v	20	steallife_p	20
3798	Vũ Khí T9 (Cao)	strength_v	22	energy_v	22	basic_damage_v	22	physical_damage_v	22	deadlystrike_v	22	steallife_p	22
