PickerType	ItemType	ItemId	Name	Prob0	Prob1	Prob2	Prob3	Prob4	Prob5	Prob6	Prob7	Prob8	Prob9	ProbHighVip0	ProbHighVip1	ProbHighVip2	ProbHighVip3	ProbHighVip4	ProbHighVip5	ProbHighVip6	ProbHighVip7	ProbHighVip8	ProbHighVip9	nKinTips	nWorldTips
Gold	Partner	84	Phong Ngọc Thư	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	85	Khúc Hà	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	86	Gia Luật Tị Li	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	87	Lâm Hải	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	88	Lục Văn Long	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	89	Triệu Vô Song	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	90	Vô Tướng	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	91	Triệu Tiết	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	92	Thiệu Kỵ Phong	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	93	Hà Mộ Tuyết	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	94	Triệu Thăng Quyền	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	95	Sài Tung	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	73	Song Thủ Dị Thú	231	231	231	231	111						185	185	185	185	111							
Gold	Partner	74	Bôn Diệm Báo Vương	231	231	231	231	111						185	185	185	185	111							
Gold	Partner	75	Cửu Vĩ Hồ Vương (Trên là A) 	231	231	231	231	111						185	185	185	185	111							
Gold	Partner	96	Ân Phương	3401	3401	3401	3401	1667						3574	3574	3574	3574	1334							
Gold	Partner	97	Tô Mặc Vân	3401	3401	3401	3401	1667						3574	3574	3574	3574	1334							
Gold	Partner	98	Tiêu Động Trần	3401	3401	3401	3401	1667						3574	3574	3574	3574	1334							
Gold	Partner	102	Hồ Thần Y	3401	3401	3401	3401	1667						3574	3574	3574	3574	1333							
Gold	Partner	103	Tần Mộc Bạch	3401	3401	3401	3401	1667						3574	3574	3574	3574	1333							
Gold	Partner	104	Trương Trọng Thiên	3401	3401	3401	3401	1667						3574	3574	3574	3574	1333							
Gold	Partner	105	Lộ Đạt	3401	3401	3401	3401	1666						3574	3574	3574	3574	1333							
Gold	Partner	107	Lư Thanh	3401	3401	3401	3401	1666						3574	3574	3574	3574	1333							
Gold	Partner	108	Oanh Nhi (Trên là B)	3401	3401	3401	3401	1666						3574	3574	3574	3574	1333							
Gold	item	1968	Tẩy Tủy Đơn	55890	55890	55890	55890	0						56830	56830	56830	56830	0							
Gold	item	3693	Hộp Vũ Khí Bổn Mạng SS	0	0	0	0	0						0	0	0	0	1000							1
Gold	item	3701	Vũ Khí Bổn Mạng S ngẫu nhiên	0	0	0	0	0						0	0	0	0	3000							
Gold	item	8363	Độ thân mật 50 điểm	0	0	0	0	56000						0	0	0	0	55000							
Gold	PartnerCard	12	Độc Cô Kiếm	0	0	0	0	0						0	0	0	0	0							
Gold	PartnerCard	13	Nam Cung Phi	0	0	0	0	0						0	0	0	0	0							
Gold	PartnerCard	14	Dương Ảnh Phong	0	0	0	0	0						0	0	0	0	0							
Gold	PartnerCard	15	Đường Giản	0	0	0	0	0						0	0	0	0	0							
Gold	PartnerCard	18	Lý Nguyên Bá	0	0	0	0	0						0	0	0	0	0							
Gold	PartnerCard	19	Triệu Vân	0	0	0	0	0						0	0	0	0	0							
Gold	PartnerCard	20	Lý Quảng	0	0	0	0	0						0	0	0	0	0							
Gold	PartnerCard	21	Kinh Kha	0	0	0	0	0						0	0	0	0	0							
Gold	PartnerCard	22	Ngu Cơ	0	0	0	0	0						0	0	0	0	0							
Gold	PartnerCard	23	Nhạc Phi (Trở lên là SS)	0	0	0	0	0						0	0	0	0	0							
Gold	PartnerCard	24	Nguyệt My Nhi	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	25	Dương Anh	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	26	Chúc Tử Hư	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	27	Thanh Hiểu Sư Thái	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	28	Hoàng Mộ Vân	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	29	Đạo Nhất Chân Nhân	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	30	Đoan Mộc Duệ	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	39	Mạnh Tri Thu	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	40	Cao Trường Cung	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	41	Triết Biệt	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	42	Tần Lương Ngọc	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	43	Viên Thừa Chí	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	44	Ngao Bái	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	45	Hàn Thế Trung	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	46	Băng Lân Tích Hoàng	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	47	Ngân Câu Hạt Hoàng	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	48	Cuồng Tông Ngao Hoàng	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	49	Xích Tinh Hổ Hoàng	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	50	Hám Thiên Hùng Hoàng	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	51	Tử Bối Ngạc Hoàng	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	52	Định Hải Kim Cang	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	53	Kim Sí Bằng Hoàng	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	54	Ngân Giác Tê Hoàng	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	55	Trương Phong	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	56	Nam Cung Diệt	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	57	Phương Miễn	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	58	Đường Ảnh	0	0	0	0	182						0	0	0	0	182							
Gold	PartnerCard	59	Thu Y Thủy	0	0	0	0	181						0	0	0	0	181							
Gold	PartnerCard	60	Thiên Tinh Đạo Trưởng	0	0	0	0	181						0	0	0	0	181							
Gold	PartnerCard	61	Yên Nhược Tuyết	0	0	0	0	181						0	0	0	0	181							
Gold	PartnerCard	62	Dương Hi Liệt	0	0	0	0	181						0	0	0	0	181							
Gold	PartnerCard	63	Thượng Quan Phi Long	0	0	0	0	181						0	0	0	0	181							
Gold	PartnerCard	64	Nạp Lan Tiềm Lẫm (Trên là S)	0	0	0	0	181						0	0	0	0	181							
Gold	PartnerCard	66	Nạp Lan Chân	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	67	Tiểu Ảnh Phong	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	68	Dương Thiết Tâm	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	69	Liễu Tiêu Đình	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	70	Vô Tưởng	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	71	Lý Điềm Nhi	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	72	Lý Thiên Mục	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	73	Hoàn Nhan Tương	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	80	Song Thủ Dị Thú	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	81	Bôn Diệm Báo Vương	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	82	Cửu Vĩ Hồ Vương	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	83	Đường Tiêu	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	84	Tử Hiên	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	85	Tường Vi	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	86	Trác Phi Phàm	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	87	Nguyệt Minh Dao	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	88	Nam Cung Thái Hồng	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	89	Trương Như Mộng	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	90	Trương Lâm Tâm	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	91	Phong Ngọc Thư	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	92	Khúc Hà	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	93	Gia Luật Tị Li	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	94	Lâm Hải	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	95	Lục Văn Long	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	96	Triệu Vô Song	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	97	Vô Tướng	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	98	Triệu Tiết	0	0	0	0	484						0	0	0	0	484							
Gold	PartnerCard	99	Thiệu Kỵ Phong	0	0	0	0	483						0	0	0	0	483							
Gold	PartnerCard	100	Hà Mộ Tuyết	0	0	0	0	483						0	0	0	0	483							
Gold	PartnerCard	101	Triệu Thăng Quyền	0	0	0	0	483						0	0	0	0	483							
Gold	PartnerCard	102	Sài Tung	0	0	0	0	483						0	0	0	0	483							
Coin	Partner	59	Nạp Lan Chân	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	60	Tiểu Ảnh Phong	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	61	Dương Thiết Tâm	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	63	Vô Tưởng	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	62	Liễu Tiêu Đình	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	64	Lý Điềm Nhi	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	65	Lý Thiên Mục	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	66	Hoàn Nhan Tương	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	76	Đường Tiêu	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	77	Tử Hiên	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	78	Tường Vi	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	79	Trác Phi Phàm	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	80	Nguyệt Minh Dao	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	81	Nam Cung Thái Hồng	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	82	Trương Như Mộng	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	83	Trương Lâm Tâm	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	84	Phong Ngọc Thư	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	85	Khúc Hà	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	86	Gia Luật Tị Li	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	87	Lâm Hải	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	88	Lục Văn Long	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	89	Triệu Vô Song	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	90	Vô Tướng	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	91	Triệu Tiết	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	92	Thiệu Kỵ Phong	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	93	Hà Mộ Tuyết	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	94	Triệu Thăng Quyền	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	95	Sài Tung	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	73	Song Thủ Dị Thú	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	74	Bôn Diệm Báo Vương	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	75	Cửu Vĩ Hồ Vương (Trên là A) 	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	96	Ân Phương	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	97	Tô Mặc Vân	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	98	Tiêu Động Trần	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	102	Hồ Thần Y	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	103	Tần Mộc Bạch	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	104	Trương Trọng Thiên	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	105	Lộ Đạt	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	107	Lư Thanh	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	108	Oanh Nhi (Trên là B)	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	114	Kim Tiền Báo	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	115	Hắc Dực Liệp Ưng	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	116	Võ Lâm Ác Đồ	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	117	Mãnh Hổ	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	118	Phong Lâm Vệ	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	119	Viên Hầu	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	120	Thiết Diện Bổ Đầu	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	121	Hồng Y Nữ Đồng	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	122	Thầy Đúc Kiếm	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	123	Thợ Săn	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	124	Hồng Anh Thị	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	125	Cường Đạo	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	126	Đệ Tử Dược Vương	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	127	Sói Xám	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	128	Đông Doanh Nhẫn Giả	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	129	Sinh Sứ	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	130	Tử Thị	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	131	Hỏa Hồ	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	132	Đệ Tử Cửu U	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	133	Gấu Đen	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	134	Đệ Tử Vô Ưu Giáo	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	135	Thiên Công Tượng Giả	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	136	Khôi Lỗi Sĩ Binh	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	137	Cơ Quan Nhân (Ở trên là C)	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
TenGold	Partner	13	Dương Ảnh Phong (SS)	0	0	0	0	0						78	78	78	77	0							
TenGold	Partner	23	Nguyệt My Nhi	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	24	Dương Anh	33	27	25	23	48						30	25	23	21	48							
TenGold	Partner	26	Thanh Hiểu Sư Thái	33	27	25	23	48						30	25	23	21	48							
TenGold	Partner	25	Chúc Tử Hư	33	27	25	23	47						30	25	23	21	47							
TenGold	Partner	27	Hoàng Mộ Vân	33	27	25	23	47						30	25	23	21	47							
TenGold	Partner	28	Đạo Nhất Chân Nhân	33	27	25	23	47						30	25	23	21	47							
TenGold	Partner	29	Đoan Mộc Duệ	33	27	25	23	47						30	25	23	21	47							
TenGold	Partner	36	Mạnh Tri Thu	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	49	Trương Phong	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	50	Nam Cung Diệt	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	51	Phương Miễn	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	52	Đường Ảnh	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	53	Thu Y Thủy	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	54	Thiên Tinh Đạo Trưởng	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	55	Yên Nhược Tuyết	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	56	Dương Hi Liệt	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	57	Thượng Quan Phi Long	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	58	Nạp Lan Tiềm Lẫm	66	55	51	47	96						61	51	47	43	96							
TenGold	Partner	37	Cao Trường Cung	0	27	25	23	47						0	25	23	21	47							
TenGold	Partner	38	Triết Biệt	0	27	25	23	47						0	25	23	21	47							
TenGold	Partner	39	Tần Lương Ngọc	0	27	25	23	47						0	25	23	21	47							
TenGold	Partner	40	Viên Thừa Chí	0	27	25	23	47						0	25	23	21	47							
TenGold	Partner	41	Ngao Bái	0	27	25	23	47						0	25	23	21	47							
TenGold	Partner	42	Hàn Thế Trung	0	27	25	23	47						0	25	23	21	47							
TenGold	Partner	43	Xích Tinh Hổ Hoàng	0	0	0	23	47						0	0	0	21	47							
TenGold	Partner	44	Hám Thiên Hùng Hoàng	0	0	0	23	47						0	0	0	21	47							
TenGold	Partner	45	Tử Bối Ngạc Hoàng	0	0	0	23	47						0	0	0	21	47							
TenGold	Partner	46	Định Hải Kim Cang	0	0	25	23	47						0	0	23	21	47							
TenGold	Partner	47	Kim Sí Bằng Hoàng	0	0	25	23	47						0	0	23	21	47							
TenGold	Partner	48	Ngân Giác Tê Hoàng (Trên là S) 	0	0	25	23	47						0	0	23	21	47							
TenGold	Partner	59	Nạp Lan Chân	462	462	462	462	225						370	370	370	370	225							
TenGold	Partner	60	Tiểu Ảnh Phong	462	462	462	462	225						370	370	370	370	225							
TenGold	Partner	61	Dương Thiết Tâm	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	63	Vô Tưởng	231	231	231	231	111						185	185	185	185	111							
TenGold	Partner	62	Liễu Tiêu Đình	231	231	231	231	111						185	185	185	185	111							
TenGold	Partner	64	Lý Điềm Nhi	231	231	231	231	111						185	185	185	185	111							
TenGold	Partner	65	Lý Thiên Mục	231	231	231	231	111						185	185	185	185	111							
TenGold	Partner	66	Hoàn Nhan Tương	231	231	231	231	111						185	185	185	185	111							
TenGold	Partner	76	Đường Tiêu	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	77	Tử Hiên	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	78	Tường Vi	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	79	Trác Phi Phàm	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	80	Nguyệt Minh Dao	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	81	Nam Cung Thái Hồng	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	82	Trương Như Mộng	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	83	Trương Lâm Tâm	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	84	Phong Ngọc Thư	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	85	Khúc Hà	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	86	Gia Luật Tị Li	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	87	Lâm Hải	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	88	Lục Văn Long	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	89	Triệu Vô Song	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	90	Vô Tướng	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	91	Triệu Tiết	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	92	Thiệu Kỵ Phong	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	93	Hà Mộ Tuyết	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	94	Triệu Thăng Quyền	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	95	Sài Tung	462	462	462	462	222						370	370	370	370	222							
TenGold	Partner	73	Song Thủ Dị Thú	231	231	231	231	111						185	185	185	185	111							
TenGold	Partner	74	Bôn Diệm Báo Vương	231	231	231	231	111						185	185	185	185	111							
TenGold	Partner	75	Cửu Vĩ Hồ Vương (Trên là A) 	231	231	231	231	111						185	185	185	185	111							
TenGold	Partner	96	Ân Phương	3401	3401	3401	3401	1667						3574	3574	3574	3574	1334							
TenGold	Partner	97	Tô Mặc Vân	3401	3401	3401	3401	1667						3574	3574	3574	3574	1334							
TenGold	Partner	98	Tiêu Động Trần	3401	3401	3401	3401	1667						3574	3574	3574	3574	1334							
TenGold	Partner	102	Hồ Thần Y	3401	3401	3401	3401	1667						3574	3574	3574	3574	1333							
TenGold	Partner	103	Tần Mộc Bạch	3401	3401	3401	3401	1667						3574	3574	3574	3574	1333							
TenGold	Partner	104	Trương Trọng Thiên	3401	3401	3401	3401	1667						3574	3574	3574	3574	1333							
TenGold	Partner	105	Lộ Đạt	3401	3401	3401	3401	1666						3574	3574	3574	3574	1333							
TenGold	Partner	107	Lư Thanh	3401	3401	3401	3401	1666						3574	3574	3574	3574	1333							
TenGold	Partner	108	Oanh Nhi (Trên là B)	3401	3401	3401	3401	1666						3574	3574	3574	3574	1333							
TenGold	item	1968	Tẩy Tủy Đơn	55890	55890	55890	55890	0						56830	56830	56830	56830	0							
TenGold	item	3693	Hộp Vũ Khí Bổn Mạng SS	0	0	0	0	0						0	0	0	0	1000							1
TenGold	item	3701	Vũ Khí Bổn Mạng S ngẫu nhiên	0	0	0	0	0						0	0	0	0	3000							
TenGold	item	8363	Độ thân mật 50 điểm	0	0	0	0	56000						0	0	0	0	55000							
TenGold	item	9705	Hộp Chọn Môn Khách SS	0	0	0	0	0						0	0	0	0	0							1
TenGold	PartnerCard	12	Độc Cô Kiếm	0	0	0	0	100						0	0	0	0	100							
TenGold	PartnerCard	13	Nam Cung Phi	0	0	0	0	100						0	0	0	0	100							
TenGold	PartnerCard	14	Dương Ảnh Phong	0	0	0	0	100						0	0	0	0	100							
TenGold	PartnerCard	15	Đường Giản	0	0	0	0	100						0	0	0	0	100							
TenGold	PartnerCard	18	Lý Nguyên Bá	0	0	0	0	100						0	0	0	0	100							
TenGold	PartnerCard	19	Triệu Vân	0	0	0	0	100						0	0	0	0	100							
TenGold	PartnerCard	20	Lý Quảng	0	0	0	0	100						0	0	0	0	100							
TenGold	PartnerCard	21	Kinh Kha	0	0	0	0	100						0	0	0	0	100							
