ClassName	nX	nY	nDir	Desc
yds_zx1	5670	3630		
dth_zx1	3900	5450		
dth_zx2	13500	3910		
dth_yme1	4040	5380		
dth_nlz1	7600	13150		
dth_qw1	8350	5100		
dth_qw2	10900	7790		
dth_ly1	8530	5100		
dth_yyf1	6950	4300		Động Đình Hồ, Dương Ảnh Phong rời đi sau khi gặp Tử Hiên
dth_yyf2	6420	7400		Động Đình Hồ, Dương Ảnh Phong nhặt trâm cài tóc
flb_nlz1	6230	6950		
flb_lzh1	2760	5600		
beimo_nlql	5100	3030		
dcs_zxf1	6170	13710		
dcs_zxf2	6300	12680		
dcs_zxf2	8000	12700		
jhd_wydz1	6780	6540		
jhd_wydz2	7250	6570		
wyp_zl1	3000	6000		
wyp_zl2	7470	10450		Võ Di Kiếm Phái, Trương Lâm
wyjd_zl1	3330	5600		Võ Di Cấm Địa, Trương Lâm
wyjd_zl1	3800	5600		Võ Di Cấm Địa, Trương Lâm
zxl_zx1	1130	3700		Tử Hiên rời Trích Tinh Lâu
flb_yme1	6550	9050	0	
bmsz_nlz1	7600	3000		
bmsz_qw1	7650	3030		
bmsz_nlz2	7000	3100		
xsd_qf1	7640	14130		
hsmd_hsdz1	3000	3330		
hsmd_hsdz2	2370	3600		
hsp_hsdz1	3250	3750		
hsp_hsdz1	3200	5550		
hsp_hsdz2	3250	3750		
hsp_hsdz2	2200	3750		
layd_dfr1	7300	5300		
layd_dfr2	1850	7130		
layd_dfr2	1820	7450		
hsmd_qf1	3600	4000		
hsp_hz1	2010	8540		
hsp_hz2	4400	8150		
jmg_sb1	7550	7780		
jmg_sb2	7650	7400		
jmg_sb3	8130	7360		
jmg_sb4	8000	8000		
jmg_sb5	6900	8250	33	
jmg_sb6	7100	6790	35	
jmg_sb7	9000	6830	47	
jmg_sb8	8180	9000	35	
jmg_msdz1	9020	10110		
jmg_yjj1	7800	7600		
jmg_yjj1	5960	4600		
jmg_yjj1	3700	3800		
jmg_yjj1	2800	2800		
gzc_yjj1	3000	1100		
gzc_yjj2	5450	3320		
gzc_sb1	5600	2500		
gzc_sb2	5170	2420		
gzc_sb3	5160	2000		
gzc_sb4	5570	2100		
gzc_smr1	5390	2380		
gzc_smr2	5500	3600		
yds_yyf1	1800	2800		
syy_wjc1	9300	15000		
yfg_tt1	3600	1000		
yfg_tt2	3300	1000		
yfg_yy1	3150	990		
fns_dgj1	14080	3400		
fns_dgj1	14550	3320		
