nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat	szAchievement
11	MainTask1_11	[C] Nhờ Cậy	Nạp Lan cô nương hình như có chuyện muốn nói, nhưng không tiện nói trước mặt Dương công tử	Hỏi [FFFE0D]Nạp Lan Cô Nương[-] muốn nói gì	Hỏi [FFFE0D]Nạp Lan Cô Nương[-] muốn nói gì	[url=clientnpcbyidx:test, 9]	[url=clientnpcbyidx:test, 9]	4|8|9	9	10	12	11								Exp|20000;Gold|10000			1		[url=openwnd:test, ChapterPanel, "ChapterTitle_01"]												
12	MainTask1_12	[C] Dược Vương	Thì ra cốc chủ Dược Vương Cốc cũng ở đây! Nghe nói các thần y tính tình rất kỳ quặc, mong là Hồ Thần Y đừng làm khó ta!	Xin [FFFE0D]$NF[-] chỉ dạy	Xin [FFFE0D]$NF[-] chỉ dạy	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	4|8|10	4|10	11	13	12	417							Exp|20000;Gold|10000			1	1													
13	MainTask1_13	[C] Đúng Lúc	Hồ Thần Y khen hết lời, ắt hẳn Ân Đồng rất giỏi y thuật! Hy vọng cô ấy sẽ cho ta biết nơi có「Xích Tâm Hoa」!	Hỏi [FFFE0D]Tiểu Ân Đồng[-] Xích Tâm Hoa ở đâu	Tìm [FFFE0D]Ân Đồng[-] hỏi Xích Tâm Hoa ở đâu	[url=clientnpcbyidx:test, 11]	[url=clientnpcbyidx:test, 11]	8|11|14	11	12	14	13						1	1	Exp|20000;Gold|10000;Item|1247|1			1	1													
14	MainTask1_14	[C] Vật Tương Khắc	Gần vật kịch độc bao giờ cũng có vật tương khắc với nó, ta phải tìm thử xem	Đến bên bờ vực hái [FFFE0D]Xích Tâm Hoa[-]	Đến bên bờ vực hái [FFFE0D]Xích Tâm Hoa[-]	[url=npc:testtt,955,1000]	[url=npc:testtt,955,1000]	8|12|14		13	15				1	1				Exp|20000;Gold|10000			1	1													
15	MainTask1_15	[C] Chế Thuốc	Xích Tâm Hoa vốn rất quý hiếm, lại mọc nơi hiểm trở, nay hái được rồi, không sợ bọn Ong Quỷ cản đường nữa!	Giao Xích Tâm Hoa cho [FFFE0D]Hồ Thần Y[-]	Giao Xích Tâm Hoa cho [FFFE0D]Hồ Thần Y[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	8|14	8|14	14	16	15	417							Exp|20000;Gold|10000			1	1													
16	MainTask1_16	[C] Tìm Thuốc	Mọi thứ đã sẵn sàng, đã đến lúc đi hái Ngân Ti Thảo. Lần này phải bảo vệ Nạp Lan cô nương, không để nàng trúng độc!	Cùng Nạp Lan Chân đến [FFFE0D]$NP[-]	Cùng Nạp Lan Chân đến [FFFE0D]$NP[-]	[url=gotofuben:test, 1, 2, 1]		13		15	17			1|2|1	1			1		Exp|20000;Gold|10000			1	1													
17	MainTask1_17	[C] Sắc Thuốc	Cuối cùng đã hái được Ngân Ti Thảo! Không ngờ thứ này vẻ ngoài bình thường mà công dụng lại lớn như vậy!	Giao Ngân Ti Thảo cho [FFFE0D]Nạp Lan Chân[-]	Giao Ngân Ti Thảo cho [FFFE0D]Nạp Lan Chân[-]	[url=clientnpcbyidx:test, 13]	[url=clientnpcbyidx:test, 13]	13	13	16	18	17						1	1	Exp|20000;Gold|10000;Item|1253|1			1	1													
18	MainTask1_18	[C] Bí Dược	Cũng nhờ được Tiểu Ân Đồng chỉ chỗ có Xích Tâm Hoa, phải đi đa tạ mới được!	Đi cảm tạ [FFFE0D]Tiểu Ân Đồng[-]	Đi cảm tạ [FFFE0D]Tiểu Ân Đồng[-]	[url=clientnpcbyidx:test, 11]	[url=clientnpcbyidx:test, 11]	11|14	11|14	17	19	18								Exp|20000;Gold|10000			1	1													
19	MainTask1_19	[C] Trưng Binh	Tống Kim giao tranh liên miên, ta tuy là người trong giang hồ, cũng không thể khoanh tay đứng nhìn! Tìm [FFFE0D]Lưu Tướng Quân[-] báo danh tham chiến!	Đến Lâm An tìm [FFFE0D]Lưu Tướng Quân[-]	Đến Lâm An tìm [FFFE0D]Lưu Tướng Quân[-]		[url=npc:testtt,$F,15]	12	12	18	20	19	91							Exp|20000;Gold|10000			1	1													
20	MainTask1_20	[C] Diễn Tập	Nơi chiến địa sinh tử trong gang tấc! Đã có kinh nghiệm, lần sau càng nên cẩn trọng! Hãy về bẩm báo tình hình!	Báo cáo cho [FFFE0D]Lưu Tướng Quân[-]	Báo cáo cho [FFFE0D]Lưu Tướng Quân[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			19	21	20	91					1	1	Exp|20000;Gold|10000;Item|1248|1			1	1													
21	MainTask1_21	[C] Hội Họp	Nay địch mạnh bủa vây, ta phải đến Tỏa Vân Uyên gặp Nạp Lan cô nương trước!	Đến [FFFE0D]Tỏa Vân Uyên[-] tìm Nạp Lan Chân	Đến [FFFE0D]Tỏa Vân Uyên[-] tìm Nạp Lan Chân	[url=clientnpcbyidx:test, 19]	[url=clientnpcbyidx:test, 19]	19|24	19|24	20	22	21						1	1	Exp|20000;Gold|10000;Item|1252|1			1	1													
22	MainTask1_22	[C] Lại Tìm Thuốc	Vạn Kim Tài? Nghe tên có vẻ giàu có, đi tìm hắn xem có thể mua được dược liệu không	Tìm [FFFE0D]Vạn Kim Tài[-] ở Tỏa Vân Uyên	Tìm [FFFE0D]Vạn Kim Tài[-] ở Tỏa Vân Uyên	[url=clientnpcbyidx:test, 31]	[url=clientnpcbyidx:test, 31]	15|31|183	15|31	21	23	22								Exp|20000;Gold|10000			1	1													
23	MainTask1_23	[C] Tìm Hàng Hóa	Hiện nay khắp nơi loạn lạc, làm ăn cũng rất khó khăn, hãy giúp hắn tìm hàng hóa bị mất	Tìm [FFFE0D]vật phẩm[-] quanh đây	Tìm [FFFE0D]vật phẩm[-] quanh đây	[url=taskitem:test, $T]	[url=taskitem:test, $T]	15|32|183		22	24				1	1	23			Exp|20000;Gold|10000			1	1	[url=dialog:test, 23]												
24	MainTask1_24	[C] Ác Tặc Lộng Hành	Không ngờ gần đây có bọn Đại Đao Mã Tặc hung dữ, hãy trừng trị bọn chúng.	Trừng trị [FFFE0D]Đại Đao Mã Tặc[-]	Trừng trị [FFFE0D]Đại Đao Mã Tặc[-]	[url=goanddosomething:test, 400, 4310, 13000, autofight, 1]		15|32|183		23	25				1					Exp|20000;Gold|10000	1749|3	1	1	1	[url=dialog:test, 24]												
25	MainTask1_25	[C] Thu Gom Hàng Hóa	Rương này xem ra rất kiên cố	Lấy [FFFE0D]vật phẩm[-] rơi xung quanh	Lấy [FFFE0D]vật phẩm[-] rơi xung quanh	[url=npc:testtt,1284,400]	[url=npc:testtt,1284,400]	15|32|183	32	24	26				1	1				Exp|20000;Gold|10000			1	1	[url=dialog:test, 25]												
26	MainTask1_26	[C] Trả Lại Tài Vật	Đây là số hàng Vạn Kim Tài bị mất, hãy đem về đổi lấy dược thảo	Giao [FFFE0D]hàng hóa[-] cho Vạn Kim Tài	Giao [FFFE0D]hàng hóa[-] cho Vạn Kim Tài	[url=clientnpcbyidx:test, 31]	[url=clientnpcbyidx:test, 31]	15|31|183	31|183	25	27	26						1	1	Exp|20000;Gold|10000;Item|1528|1;Coin|1000;ComposeValue|1|1;Item|9567|1			1	1													
27	MainTask1_27	[C] Hồi Phục	Nay địch mạnh bủa vây, ta phải đến Tỏa Vân Uyên gặp Nạp Lan cô nương trước!	Mang thảo dược cho [FFFE0D]Nạp Lan Chân[-]	Mang thảo dược cho [FFFE0D]Nạp Lan Chân[-]	[url=clientnpcbyidx:test, 19]	[url=clientnpcbyidx:test, 19]	15|16|19	15|16|19	26	28	27								Exp|20000;Gold|10000			1	1													
28	MainTask1_28	[C] Nhà Giữa Rừng	Dương huynh đã uống thuốc Ngân Ti Thảo, không biết thương tích thế nào	Vào [FFFE0D]nhà[-] gặp Dương Ảnh Phong	Vào [FFFE0D]nhà[-] gặp Dương Ảnh Phong	[url=pos:test,400,7700,8500]	[url=pos:test,400,7700,8500]	17|20|24	20|24	27	29				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 28]				484								
29	MainTask1_29	[C] Hỏi Thăm	Dương huynh có vẻ khởi sắc hơn, chắc nội thương đã đỡ	Xem thương tích [FFFE0D]Dương Ảnh Phong[-]	Xem thương tích [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|205	205	28	30	29								Exp|20000;Gold|10000			1	1	[url=dialog:test, 6029]												
30	MainTask1_30	[C] Tán Gẫu	Nói chuyện với Dương huynh	Trò chuyện với [FFFE0D]Dương Ảnh Phong[-]	Trò chuyện với [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|206	206	29	31	30								Exp|20000;Gold|10000			1	1	[url=dialog:test, 6030]												
31	MainTask1_31	[C] Giỏi Y Thuật	Không biết Nạp Lan tiền bối có thể giúp Dương huynh hồi phục công lực không?	Xem có thể [FFFE0D]hồi phục nội công[-] không	Xem có thể [FFFE0D]hồi phục nội công[-] không	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|205|207	207	30	32	31								Exp|20000;Gold|10000			1	1	[url=dialog:test, 6031]												
32	MainTask1_32	[C] An Ủi	Không ngờ cuối cùng vẫn là kết quả này, đi an ủi huynh ấy	An ủi [FFFE0D]Dương Ảnh Phong[-]	An ủi [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|205|208	17|205|208	31	33	32								Exp|20000;Gold|10000			1	1													
33	MainTask1_33	[C] Tình Hình	Nạp Lan cô nương đã đuổi theo Nạp Lan tiền bối, đi hỏi thăm tình hình.	Ra [FFFE0D]ngoài nhà[-] tìm Nạp Lan Chân	Ra [FFFE0D]ngoài nhà[-] tìm Nạp Lan Chân	[url=clientnpcbyidx:test, 19]	[url=clientnpcbyidx:test, 19]	18|19|206	18|19|206	32	34	33						1	1	Exp|20000;Gold|10000;Item|1249|1			1	1													
34	MainTask1_34	[C] Vào Nhà	Xem ra phải tìm cách khác, về gặp Dương huynh trước đã!	Cùng đi thăm [FFFE0D]Dương Ảnh Phong[-]	Cùng đi thăm [FFFE0D]Dương Ảnh Phong[-]	[url=pos:test,400,7700,8500]	[url=pos:test,400,7700,8500]	20|223		33	35				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 34]				484								
35	MainTask1_35	[C] Đầu Mối	Ở đây có vài dấu chân, chắc là của Dương huynh! Đuổi theo!	Tìm tung tích của [FFFE0D]Dương Ảnh Phong[-]	Tìm tung tích của [FFFE0D]Dương Ảnh Phong[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	20|26|223	20|26|223	34	36				1	1	35			Exp|20000;Gold|10000			1	1	[url=dialog:test, 35]												
36	MainTask1_36	[C] Lại Gặp Nhau	Tìm được rồi!「Thiên Hạ Đệ Nhất」khiến biết bao người phát cuồng!? Cao thủ vô số,「Thiên Hạ Đệ Nhất」chỉ có một!	Tìm được [FFFE0D]Dương Ảnh Phong[-] rồi	Tìm được [FFFE0D]Dương Ảnh Phong[-] rồi	[url=clientnpcbyidx:test, 25]	[url=clientnpcbyidx:test, 25]	25|27	25|27	35	37	36								Exp|20000;Gold|10000			1	1													
37	MainTask1_37	[C] Điều Tra	Đây là đâu? Lối vào bị che khuất, nhìn chung cũng không có gì đặc biệt, không biết có nguy hiểm gì không.	Cửa vào gần [FFFE0D]Nhà Lá[-]	Cửa vào gần [FFFE0D]Nhà Lá[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	20|23		36	38				1	1	37			Exp|20000;Gold|10000			1	1	[url=dialog:test, 37]												
38	MainTask1_38	[C] Vào Cấm Địa	Cấm địa môn phái, nghe tên là biết không thể tùy ý ra vào... Nhưng hai người họ đã muốn đi xem thử, cũng đành đi theo!	Lén đến [FFFE0D]$NP[-]	Lén đến [FFFE0D]$NP[-]	[url=goanddosomething:test, 400, 14050, 2900, gotofuben, 1, 3, 1]		20|23	20|23	37	39			1|3|1	1			1		Exp|20000;Gold|10000;Item|1032|1;Item|1072|1;Item|1092|1			1	1													
39	MainTask1_39	[C] Thánh Địa	Không ngờ bị phát hiện... Nạp Lan cô nương đi đâu mất rồi? Nơi này rất nguy hiểm, phải nhanh chóng đi tìm!	Hỏi ý kiến [FFFE0D]Dương Ảnh Phong[-]	Hỏi ý kiến [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 29]	[url=clientnpcbyidx:test, 29]	6|29	6|29	38	40	39						1	1	Exp|20000;Gold|10000;Item|1254|1			1	1													
40	MainTask1_40	[C] Không May	Không hiểu sao Dương huynh rất quan tâm「Võ Đạo Đức Kinh」? Thôi, hãy đi tìm Nạp Lan cô nương trước!	Tìm [FFFE0D]Nạp Lan cô nương[-]	Tìm [FFFE0D]Nạp Lan cô nương[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	15|30	30	39	41				1	1	40			Exp|20000;Gold|10000			1	1	[url=dialog:test, 40]												
41	MainTask1_41	[C] Ngán Ngẩm	Bọn Lưu Manh dám buông lời bậy bạ! Hãy cho chúng một bài học!	Giáo huấn [FFFE0D]Lưu Manh[-] 	Giáo huấn [FFFE0D]Lưu Manh[-] 	[url=goanddosomething:test, 400, 4500, 4660, autofight, 1]		15		40	42				1					Exp|20000;Gold|10000	1748|3	1	1	1	[url=dialog:test, 41]												
42	MainTask1_42	[C] Tìm Nạp Lan	Xem ra chúng đã gặp Nạp Lan cô nương, theo lời chúng thì chắc là hướng này!	Tiếp tục tìm [FFFE0D]Nạp Lan cô nương[-]	Tiếp tục tìm [FFFE0D]Nạp Lan cô nương[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	15|209	209	41	43				1	1	42			Exp|20000;Gold|10000			1	1	[url=dialog:test, 42]												
43	MainTask1_43	[C] Vỗ Về	Tìm được Nạp Lan cô nương rồi, may mà không bị thương!	Xem tình trạng [FFFE0D]Nạp Lan cô nương[-]	Xem tình trạng [FFFE0D]Nạp Lan cô nương[-]	[url=clientnpcbyidx:test, 309]	[url=clientnpcbyidx:test, 309]	15|210|309	15|210|309	42	44	6042						1	1	Exp|20000;Gold|10000			1	1													
44	MainTask1_44	[C] Nơi Chốn Cũ	Xem ra Nạp Lan cô nương lúc nhỏ cũng rất hiếu động, không ngờ tìm được cái hang này!	Đến [FFFE0D]hang động Nạp Lan Chân nói[-]	Đến [FFFE0D]hang động Nạp Lan Chân nói[-]	[url=pos:test, 400, 2900, 8350]	[url=pos:test,400,2900,8350]	20|23		43	45				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 43]				499								
45	MainTask1_45	[C] Hang Động Bí Ẩn	Động này lạnh thật, không biết bên trong có gì, phải cẩn thận!	Vượt [FFFE0D]$NP[-]	Vượt [FFFE0D]$NP[-]	[url=goanddosomething:test, 499, 1900, 3700, pos, 499, 1900, 3900]		20|23|211|212	20|23|211|212	44	46			1|4|1	1			1		Exp|20000;Gold|100000			1	1													
46	MainTask1_46	[C] Bí Mật Ẩn Giấu	Nạp Lan cô nương bị rơi xuống tầng dưới của hang động! Đi hỏi Dương huynh nên làm sao?	Hỏi ý kiến [FFFE0D]Dương Ảnh Phong[-]	Hỏi ý kiến [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 213]	[url=clientnpcbyidx:test, 213]	213	213	45	47	45					45	1	1	Exp|20000;Gold|10000;Item|1250|1;ComposeValue|1|2			1	1													
47	MainTask1_47	[C] Ngoài Dự Đoán	Đi xuống nữa sẽ gặp nhiều nguy hiểm, thi triển khinh công xuống xem thử!	Đi về hướng [FFFE0D]ánh sáng[-]	Đi về hướng [FFFE0D]ánh sáng[-]	[url=pos:test,499,6100,2860]	[url=pos:test,499,6100,2860]	214|216|218	214	46	48				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 46]				485								
48	MainTask1_48	[C] Cao Thủ Ẩn Cư	Khu vực này có vẻ từng có người ở? Không lẽ là nơi cao thủ võ lâm ẩn cư?	Đi [FFFE0D]quanh khe núi[-] xem tình hình	Đi [FFFE0D]quanh khe núi[-] xem tình hình	[url=taskitem:test, $T]	[url=taskitem:test, $T]	216|218		47	49				1	1	47			Exp|20000;Gold|10000			1	1	[url=dialog:test, 47]												
49	MainTask1_49	[C] Vào Xem Xét	Không ngờ nơi này có một căn nhà, chẳng lẽ có người ở trong đó?	Vào [FFFE0D]nhà[-] xem thử	Vào [FFFE0D]nhà[-] xem thử	[url=pos:test,485,900,3500]	[url=pos:test,485,900,3500]	216|218	216|218	48	50				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 48]				481								
50	MainTask1_50	[C] Dấu Xưa	Nhà không có ai, vật dụng bám bụi, hay là người ở đây đã bỏ đi rồi?	[FFFE0D]Nhìn xung quanh[-] xem có gì lạ không	[FFFE0D]Nhìn xung quanh[-] xem có gì lạ không	[url=taskitem:test, $T]	[url=taskitem:test, $T]	219|221	219|221	49	51				1	1	49			Exp|20000;Gold|10000			1	1	[url=dialog:test, 49]												
51	MainTask1_51	[C] Di Vật Để Lại	Chữ trên khăn tỏa ra luồng bá khí, chắc là của cao thủ nào để lại!	Xem [FFFE0D]Mảnh Khăn[-] viết gì	Xem [FFFE0D]Mảnh Khăn[-] viết gì	[url=taskitem:test, $T]	[url=taskitem:test, $T]	220|222	220|222	50	52				1	1	50			Exp|20000;Gold|10000			1	1	[url=dialog:test, 50]												
52	MainTask1_52	[C] Tiếp Tục Dò Xét	Thì ra Vô Ưu Giáo Chủ Nguyệt Trùng Thiên đã mất tại đây! Khó trách Vô Ưu Giáo đột nhiên biến khỏi giang hồ!	Tiếp tục [FFFE0D]tìm hiểu[-]	Tiếp tục [FFFE0D]tìm hiểu[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	215|217	215|217	51	53				1	1	51			Exp|20000;Gold|10000			1	1	[url=dialog:test, 51]												
53	MainTask1_53	[C] Hỏi Chân Tướng	Nơi này chẳng còn gì đáng xem, quay về Vong Ưu Đả thôi.	Trở về [FFFE0D]Vong Ưu Đảo[-]	Trở về [FFFE0D]Vong Ưu Đảo[-]	[url=pos:test,481,2800,2100]	[url=pos:test,481,2800,2100]	223|224	223|224	52	54				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 52]				1000								
54	MainTask1_54	[C] Mỗi Người Mỗi Ý	Không ngờ Nạp Lan đảo chủ lại là người như vậy... Nhất định phải hỏi rõ!	Cùng chất vấn [FFFE0D]Nạp Lan Tiềm Lẫm[-]	Cùng chất vấn [FFFE0D]Nạp Lan Tiềm Lẫm[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	65	65	53	55	53	954							Exp|20000;Gold|10000			1	1													
55	MainTask1_55	[C] Ai Đúng Ai Sai	Dương huynh đã hứa sẽ báo thù cho chủ nhân của Mảnh Khăn... Không biết huynh ấy và Nạp Lan cô nương nghĩ như thế nào... Mặc dù chỉ là lời nói phiến diện của Nạp Lan đảo chủ...	Hỏi [FFFE0D]Dương Ảnh Phong[-] có tin không?	Hỏi [FFFE0D]Dương Ảnh Phong[-] có tin không?	[url=taskitem:test, $T]	[url=taskitem:test, $T]	225	225	54	56				1	1	54			Exp|20000;Gold|10000			1	1	[url=cameraAnimation:test, 1]												
56	MainTask1_56	[C] Đến Lúc Từ Biệt	Dương huynh đã mạnh hơn xưa, quả nhiên đáng mừng. Nhưng giờ cũng là lúc chia tay. Hãy từ biệt Nạp Lan cô nương.	Từ biệt Nạp Lan Chân	Từ biệt Nạp Lan Chân	[url=taskitem:test, $T]	[url=taskitem:test, $T]			55	57				1	1	55			Exp|20000;Gold|10000			1	1	[url=dialog:test, 55]												
57	MainTask1_57	[C] Cùng Lên Đường	Xem ra Dương huynh vẫn quyết đoạt thiên hạ đệ nhất, ta cũng phải đi từ biệt Nạp Lan cô nương thôi!	Từ biệt [FFFE0D]$NF[-]	Từ biệt [FFFE0D]$NF[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	226	226	56	58	56	418					1	1	Exp|20000;Gold|10000;Item|1255|1;ComposeValue|1|3			1	1													Task_1
58	MainTask1_58	[C] Bất Ngờ Tái Ngộ	Không ngờ Nạp Lan cô nương lại trọng tình nghĩa như vậy! Hãy đến Võ Di Sơn gặp Dương huynh.	Đến [FFFE0D]Võ Di Sơn[-] tìm Dương Ảnh Phong	Đến [FFFE0D]Võ Di Sơn[-] tìm Dương Ảnh Phong	[url=clientnpcbyidx:test, 33]	[url=clientnpcbyidx:test, 33]	33	33	57	59	57								Exp|20000;Gold|10000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_02"]												
59	MainTask1_59	[C] Theo Dấu Mỹ Nhân	Lần đầu nghe Dương huynh nhắc đến Tử Hiên cô nương, nhưng xem ra Dương huynh rất thích cô ấy, khiến ta cũng hơi hiếu kỳ muốn biết cô ấy là người như thế nào!	Hãy tìm [FFFE0D]Tử Hiên cô nương[-]	Hãy tìm [FFFE0D]Tử Hiên cô nương[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	67	67	58	60				1	1	58			Exp|20000;Gold|10000			1	1	[url=dialog:test, 58]												
60	MainTask1_60	[C] Kẻ Cướp Đường	Không ngờ ban ngày lại có kẻ chặn đường cướp bóc! Hãy cho chúng một bài học!	Diệt [FFFE0D]Quỷ Thích Khách[-]	Diệt [FFFE0D]Quỷ Thích Khách[-]	[url=goanddosomething:test, 401, 10000, 11000, autofight, 1]		63	63	59	61				1					Exp|20000;Gold|100000	1750|3	1	1	1													
