nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_ExtInfo	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
9011	JYFL2_4	Chuyện Cũ Hoa Sơn	Không mua được rượu, không biết Người Bí Ẩn có chịu nói không, thôi kệ, cứ quay lại tìm ông ấy thử!	Trả lời [FFFE0D]Người Bí Ẩn[-]	Trả lời [FFFE0D]Người Bí Ẩn[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9010	9012	9011	3197							BasicExp|10			9	1													
9012	JYFL2_5	Chuyện Cũ Hoa Sơn	Người này lạ thật, nhưng trông rất mê võ, hay là thử trên phương diện này xem?	Gặp lại [FFFE0D]Người Bí Ẩn[-]	Gặp lại [FFFE0D]Người Bí Ẩn[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9011	9013	9012	3197							BasicExp|10			9	1													
9013	JYFL2_6	Chuyện Cũ Hoa Sơn	Đúng, vị tiền bối này hình như biết gì đó, nghe thử xem.	Lắng nghe những gì [FFFE0D]Người Bí Ẩn[-] nói	Lắng nghe những gì [FFFE0D]Người Bí Ẩn[-] nói	"[url=taskVideo:test, 1, 9013]"				9012	9014				1	1				BasicExp|10			9	1													
9014	JYFL2_7	Chuyện Cũ Hoa Sơn	Chuyện vị tiền bối này kể trước sau không nhất quán lại quá phi lý, hỏi tiếp xem sao!	Tiếp tục hỏi [FFFE0D]Người Bí Ẩn[-]	Tiếp tục hỏi [FFFE0D]Người Bí Ẩn[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9013	9015	9014	3197							BasicExp|10;Contrib|5000			9	1													
9015	JYFL3_1	Vong Ưu Tửu Quán	Chuyện Hoa Sơn Phái năm xưa rất khó tưởng tượng, Người Bí Ẩn xuất hiện ở Vong Ưu Tửu Quán gần đây chắc biết rõ sự tình	Trò chuyện với [FFFE0D]Người Bí Ẩn[-]	Trò chuyện với [FFFE0D]Người Bí Ẩn[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9014	9016	9015	3197							BasicExp|10			9	1													
9016	JYFL3_2	Vong Ưu Tửu Quán	Người Bí Ẩn này thật lạ, cuối cùng vẫn không thổ lộ chân tướng nửa lời. Bà Chủ ở đây hình như có quan hệ với Hoa Sơn Phái, hay là đi thăm dò thử	Trò chuyện với [FFFE0D]Bà Chủ[-]	Trò chuyện với [FFFE0D]Bà Chủ[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9015	9017	9016	3198							BasicExp|10			9	1													
9017	JYFL3_3	Vong Ưu Tửu Quán	Xem ra ta đoán không sai, Bà Chủ đúng là biết nội tình, hãy lắng nghe	Lắng nghe [FFFE0D]Bà Chủ[-] nói	Lắng nghe [FFFE0D]Bà Chủ[-] nói	"[url=taskVideo:test, 2, 9017]"				9016	9018				1	1				BasicExp|10			9	1													
9018	JYFL3_4	Vong Ưu Tửu Quán	Bà Chủ nói thiếu rất nhiều chi tiết, có chút khó hiểu, ta sẽ hỏi kỹ lần nữa!	Hỏi chi tiết [FFFE0D]Bà Chủ[-]	Hỏi chi tiết [FFFE0D]Bà Chủ[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9017	9019	9018	3198							BasicExp|10			9	1													
9019	JYFL3_5	Vong Ưu Tửu Quán	Xem ra chọn manh mối khác nhau là có thể tìm hiểu nguyên nhân hậu quả của sự việc này với góc nhìn khác nhau	Dựa theo chỉ dẫn tìm hiểu ngọn nguồn	Dựa theo chỉ dẫn tìm hiểu ngọn nguồn	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9018	9040		3198		1	4				BasicExp|10			9	1													
9020	JYFL3_6_1	Mai phục	Hãy tìm hiểu chi tiết về Lâm Dũ Cựu, hỏi Bà Chủ kế tiếp phải làm sao,	Trò chuyện với [FFFE0D]Bà Chủ[-]	Trò chuyện với [FFFE0D]Bà Chủ[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"				9021	9020	3198							BasicExp|10			9	1													
9021	JYFL3_6_2	Mai phục	Kiếm Khách đó trà trộn vào Hoa Sơn Phái và lấy được niềm tin bằng cách nào? Hãy dựa theo chỉ dẫn của Bà Chủ đi hỏi Lâm Triều Hoa.	Trò chuyện với [FFFE0D]Lâm Triều Hoa[-]	Trò chuyện với [FFFE0D]Lâm Triều Hoa[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9020	9022	9021	3244							BasicExp|10			9	1													
9022	JYFL3_6_3	Mai phục	Nghe cách nghĩ của Lâm Triều Hoa	Lắng nghe [FFFE0D]Lâm Triều Hoa[-]	Lắng nghe [FFFE0D]Lâm Triều Hoa[-]	"[url=taskVideo:test, 3, 9022]"				9021	9023				1	1				BasicExp|10			9	1													
9023	JYFL3_6_4	Mai phục	Cách mai phục này khiến người ta mở mang tầm mắt, xem ra năm xưa đúng là như vậy!	Trò chuyện với [FFFE0D]Lâm Triều Hoa[-]	Trò chuyện với [FFFE0D]Lâm Triều Hoa[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9022	9024	9023	3244							BasicExp|10			9	1													
9024	JYFL3_6_5	Mai phục	Xem Lâm Triều Hoa có gì muốn hỏi ta.	Trả lời [FFFE0D]Lâm Triều Hoa[-]	Trả lời [FFFE0D]Lâm Triều Hoa[-]	"[url=openwnd:test,TaskQuestionPanel, 1]"	"[url=openwnd:test,TaskQuestionPanel, 1]"			9023					1	1				BasicExp|10;Item|9504|1;Item|9505|1;Item|9506|1			9	1	"[url=dialog:test,9024]"												
9025	JYFL3_7_1	Trắc trở	Độc Cô Tuyết Cô Nương dường như có rất nhiều chuyện để kể, hay là thăm dò bí mật của cô ta trước đi.	Trò chuyện với [FFFE0D]Bà Chủ[-]	Trò chuyện với [FFFE0D]Bà Chủ[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"				9026	9025	3198							BasicExp|10			9	1													
9026	JYFL3_7_2	Trắc trở	Nghe Bà Chủ nói, Triệu Ân Đồng Nữ Hiệp và Độc Cô Tuyết hình như có mối quan hệ mập mờ, rốt cục là gì?	Trò chuyện với [FFFE0D]Triệu Ân Đồng[-]	Trò chuyện với [FFFE0D]Triệu Ân Đồng[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9025	9027	9026	3243							BasicExp|10			9	1													
9027	JYFL3_7_3	Trắc trở	Nếu đã vậy, hãy nghe Triệu Ân Đồng Nữ Hiệp kể về câu chuyện năm xưa!	Lắng nghe [FFFE0D]Triệu Ân Đồng[-]	Lắng nghe [FFFE0D]Triệu Ân Đồng[-]	"[url=taskVideo:test, 4, 9027]"				9026	9028				1	1				BasicExp|10			9	1													
9028	JYFL3_7_4	Trắc trở	Không ngờ cảnh ngộ của Độc Cô Tuyết lại đáng thương đến vậy, ôi!	Trò chuyện với [FFFE0D]Triệu Ân Đồng[-]	Trò chuyện với [FFFE0D]Triệu Ân Đồng[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9027	9029	9028	3243							BasicExp|10			9	1													
9029	JYFL3_7_5	Trắc trở	Nghe Triệu Ân Đồng Nữ Hiệp có gì cần hỏi ta.	Trả lời [FFFE0D]Triệu Ân Đồng[-]	Trả lời [FFFE0D]Triệu Ân Đồng[-]	"[url=openwnd:test,TaskQuestionPanel, 2]"	"[url=openwnd:test,TaskQuestionPanel, 2]"			9028					1	1				BasicExp|10;Item|9534|1			9	1	"[url=dialog:test,9029]"												
9030	JYFL3_8_1	Báo thù	Nhìn trang phục hắc y của Vô Danh, quả là thần bí, vậy hãy tìm hiểu câu chuyện đằng sau hắn!	Trò chuyện với [FFFE0D]Bà Chủ[-]	Trò chuyện với [FFFE0D]Bà Chủ[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"				9031	9030	3198							BasicExp|10			9	1													
9031	JYFL3_8_2	Báo thù	Lần này ta đem điều kiện hậu đãi cùa Bà Chủ đi đổi, tiền bối này chắc sẽ nói cho ta biết chứ!	Trò chuyện với [FFFE0D]Người Bí Ẩn[-]	Trò chuyện với [FFFE0D]Người Bí Ẩn[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9030	9032	9031	3197							BasicExp|10			9	1													
9032	JYFL3_8_3	Báo thù	Cẩn thận lắng nghe Người Bí Ẩn nói về chuyện năm xưa.	Lắng nghe những gì [FFFE0D]Người Bí Ẩn[-] nói	Lắng nghe những gì [FFFE0D]Người Bí Ẩn[-] nói	"[url=taskVideo:test, 5, 9032]"				9031	9033				1	1				BasicExp|10			9	1													
9033	JYFL3_8_4	Báo thù	Thật kì lạ hết sức, sự nhẫn nhịn của Vô Danh không phải ai cũng có thể hiểu được.	Trò chuyện với [FFFE0D]Người Bí Ẩn[-]	Trò chuyện với [FFFE0D]Người Bí Ẩn[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9032	9034	9033	3197							BasicExp|10			9	1													
9034	JYFL3_8_5	Báo thù	Và nghe Hoa Sơn Chưởng Môn có gì cần hỏi ta.	Trả lời [FFFE0D]Người Bí Ẩn[-]	Trả lời [FFFE0D]Người Bí Ẩn[-]	"[url=openwnd:test,TaskQuestionPanel, 3]"	"[url=openwnd:test,TaskQuestionPanel, 3]"			9033					1	1				BasicExp|10;Item|9535|1			9	1	"[url=dialog:test,9034]"												
9035	JYFL3_9_1	Nghiệt Duyên	Biểu hiện cuối cùng của Độc Cô Chưởng Môn có chút kì lạ, đằng sau chắc chắn có bí mật giấu kín.	Trò chuyện với [FFFE0D]Bà Chủ[-]	Trò chuyện với [FFFE0D]Bà Chủ[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"				9036	9035	3198							BasicExp|10			9	1													
9036	JYFL3_9_2	Nghiệt Duyên	Tại sao bí mật của Lão Chưởng Môn mà ta phải đi hỏi một thiếu hiệp?	Trò chuyện với [FFFE0D]Lâm Thanh Vũ[-]	Trò chuyện với [FFFE0D]Lâm Thanh Vũ[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9035	9037	9036	3245							BasicExp|10			9	1													
9037	JYFL3_9_3	Nghiệt Duyên	Nghe thử vị thiếu hiệp này biết những gì.	Lắng nghe [FFFE0D]Lâm Thanh Vũ[-] nói	Lắng nghe [FFFE0D]Lâm Thanh Vũ[-] nói	"[url=taskVideo:test, 6, 9037]"				9036	9038				1	1				BasicExp|10			9	1													
9038	JYFL3_9_4	Nghiệt Duyên	Thì ra chân của Độc Cô Chưởng Môn bị gãy là vì như thế, nhưng vẫn thấy có gì đó kì lạ, là chuyện gì đây?	Trò chuyện với [FFFE0D]Lâm Thanh Vũ[-]	Trò chuyện với [FFFE0D]Lâm Thanh Vũ[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9037	9039	9038	3245							BasicExp|10			9	1													
9039	JYFL3_9_5	Nghiệt Duyên	Nghe Lâm Thanh Vũ thiếu hiệp có gì cần hỏi ta.	Trả lời [FFFE0D]Lâm Thanh Vũ[-]	Trả lời [FFFE0D]Lâm Thanh Vũ[-]	"[url=openwnd:test,TaskQuestionPanel, 4]"	"[url=openwnd:test,TaskQuestionPanel, 4]"			9038					1	1				BasicExp|10;Item|9597|1			9	1	"[url=dialog:test,9039]"												
9040	JYFL3_10	Lộ Chân Tướng	Tuy đã biết được rất nhiều chi tiết, nhưng vẫn cảm thấy lạ, cứ thấy có gì đó không thể thông suốt, đành đi thỉnh giáo Bà Chủ lần nữa!	Trò chuyện với [FFFE0D]Bà Chủ[-]	Trò chuyện với [FFFE0D]Bà Chủ[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9019	9041	9040	3198							BasicExp|10			9	1													
9041	JYFL3_11	Lộ Chân Tướng	Lắng nghe Bà Chủ tháo gỡ những nghi vấn	Lắng nghe [FFFE0D]Bà Chủ[-] nói	Lắng nghe [FFFE0D]Bà Chủ[-] nói	"[url=taskVideo:test, 7, 9041]"				9040	9042				1	1				BasicExp|10			9	1													
9042	JYFL3_12	Lộ Chân Tướng	Ơ… không ngờ… không ngờ sự thật lại là như vậy! Nếu không phải Bà Chủ giải đáp cũng không thể tượng tượng sự thật năm xưa lại là như vậy!	Cảm tạ [FFFE0D]Bà Chủ[-]	Cảm tạ [FFFE0D]Bà Chủ[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9041		9042	3198							BasicExp|10;Item|9695|1			9	1													
