nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	nTaskItemId	szOnFinishTrack	Target_EnterMap	Target_CollectItem	nAcceptTaskNpcId	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide	DeleteClientNpc	ShowClientNpc	Target_OnTrap
3016	PedagogicalTask1_16	[P] Kỹ năng Đồng Hành	Đồng hành là người bạn cùng hành tẩu giang hồ, chỉ cần có sách kỹ năng là đồng hành có thể học tập kỹ năng, mỗi sách chỉ dùng cho [FFFE0D]1 đồng hành[-], sau khi học sách sẽ biến mất.	Tìm [FFFE0D]$NF[-] tìm hiểu đồng hành	Tìm [FFFE0D]$NF[-] tìm hiểu đồng hành	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			3016	622				1				Item|1971|1	2	1	1															
3017	PedagogicalTask1_17	[P] Sách Đồng Hành	Đồng hành là người bạn cùng hành tẩu giang hồ, chỉ cần có sách kỹ năng là đồng hành có thể học tập kỹ năng, mỗi sách chỉ dùng cho [FFFE0D]1 đồng hành[-], sau khi học sách sẽ biến mất.	Cho đồng hành học 1 [FFFE0D]Sách Kỹ Năng[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, Partner, "PartnerMainPanel", "PId=0;EP=LearnSkill;"]	[url=npc:testtt,$F,15]			3017	622				1				Exp|20000;Gold|50	2	1	1	TongBanDaShu														
3018	PedagogicalTask1_18	[P] Quân Hàm	「Quân Hàm」là tiêu chuẩn đánh giá sức mạnh của các đại hiệp, ngoài ký hiệu oai phong phía trước tên còn có thể nhận thuộc tính mạnh hơn. Đi tìm「Quân Hàm」cho riêng mình nào!	Nhận 1 [FFFE0D]Quân Hàm[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, HonorLevelPanel, 1]	[url=npc:testtt,$F,15]			3018	88		HonorLevel_1|1		1				Exp|40000	2	1	1															
3019	PedagogicalTask1_19	[P] Tìm Kho Báu	Trong võ lâm có nhiều kho báu không ai biết, trên đường hành hiệp nếu gặp được xem như có duyên!	Tiến hành 1 lần [FFFE0D]Tìm Kho Báu[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 8]	[url=npc:testtt,$F,15]			3019	625		SearchFuben_1|1		1				Exp|40000;Item|212|10	2	1	1															
3020	PedagogicalTask1_20	[P] Thí Luyện Giang Hồ	Trong giang hồ nhiều người võ công cao cường, phải thông qua rèn luyện cùng họ mới có thể vang danh thiên hạ! Hãy khiêu chiến đi!	Tham gia[FFFE0D]Thí Luyện Giang Hồ[-] đến khi thí luyện kết thúc	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 31]	[url=npc:testtt,$F,15]			3020	99				1					2	1	1	JiangHuTrain														
3021	PedagogicalTask1_21	[P] Tìm hiểu khảm	Chỉ có thể khảm lên [FFFE0D]trang bị ở vị trí chỉ định[-] để tăng thuộc tính, hãy nhớ khảm Đá Hồn nhé!	Tìm [FFFE0D]$NF[-] tìm hiểu Khảm	Báo cáo cho [FFFE0D]$NF[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			3021	626				1				Item|1720|1	2	1	1															
3022	PedagogicalTask1_22	[P] Khảm	Chỉ có thể khảm lên [FFFE0D]trang bị ở vị trí chỉ định[-] để tăng thuộc tính, hãy nhớ khảm Đá Hồn nhé!	Khảm 1 [FFFE0D]Đá Hồn[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, StrengthenPanel, "Inset"]	[url=npc:testtt,$F,15]			3022	626		InsetOnce_1|1		1				Exp|40000;Item|2154|1	2	1	1															
3023	PedagogicalTask1_23	[P] Minh Chủ Võ Lâm	Mỗi ngày [FFFE0D]12:30-12:42[-] và [FFFE0D]19:30-19:42[-],「Minh Chủ Võ Lâm」Độc Cô Kiếm sẽ xuất hiện cùng các vị đại hiệp tỉ thí, khiêu chiến không chỉ nhận được [FFFE0D]cống hiến[-], mà còn có [FFFE0D]Áo[-] Hiếm, hãy mau tham gia!	Tham gia 1 lần [FFFE0D]Minh Chủ Võ Lâm[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 1]	[url=npc:testtt,$F,15]			3023	88		BossChallenge_1|1		1				Exp|80000;Coin|5000	2	1	1															
3024	PedagogicalTask1_24	[P] Tàng Bảo Đồ	Dựa theo [FFFE0D]Tàng Bảo Đồ[-] đến bản đồ dã ngoại đào báu vật, có thể nhận nhiều phần thưởng hiếm, và cả [FFFE0D]Đồ Cổ[-] vô giá, đừng bỏ lỡ!	Dùng [FFFE0D]Tàng Bảo Đồ[-] đào kho báu	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 4]	[url=npc:testtt,$F,15]			3024	623		Cangbaotu_1|1		1				Exp|80000;Item|2157|1	2	1	1															
3025	PedagogicalTask1_25	[P] Nhiệm Vụ Trừng Ác	Bản đồ dã ngoại trên [FFFE0D]Lv20[-] xuất hiện đạo tặc chuyên phá nhà cướp của, tổ đội [FFFE0D]3 người trở lên[-] diệt chúng sẽ được thưởng phong phú!	Truy bắt 1 [FFFE0D]Đạo Tặc Giang Hồ[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 6]	[url=npc:testtt,$F,15]			3025	97		PunishTask_1|1		1				Exp|80000;Contrib|500	2	1	1															
3026	PedagogicalTask1_26	[P] Vấn Đáp	Vấn Đáp có nhiều [FFFE0D]phần thưởng phong phú[-], đừng quên tham gia nhé!	Tiến hành 1 đợt [FFFE0D]Vấn Đáp[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 14]	[url=npc:testtt,$F,15]			3026	1350				1				Exp|80000;Coin|5000	2	1	1	DaTi														
3027	PedagogicalTask1_27	[P] Bày Bán	Bày bán có thể bày bán đồ mà mình không cần để lấy Nguyên Bảo! Hệ thống sẽ thu phí thủ tục! Cũng có thể chọn mua đồ mà mình cần.	Mua [FFFE0D]vật phẩm bày bán[-] bất kỳ	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, MarketStallPanel, 2]	[url=npc:testtt,$F,15]			3027	631				1				Exp|80000;Gold|50	2	1	1	BaiTan														
3028	PedagogicalTask1_28	[P] Rèn Luyện	Đến [FFFE0D]bản đồ dã ngoại[-] đánh quái nhận kinh nghiệm. Dùng [FFFE0D]Tu Luyện Châu[-] mở tu luyện nhận EXP đánh quái [FFFE0D]x10[-] và vật phẩm rơi!	[FFFE0D]Luyện công ngoài thành[-] 1 lần	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 29]	[url=npc:testtt,$F,15]			3028	694		XiuLian_1|1		1				Exp|80000;Item|212|10	2	1	1															
3029	PedagogicalTask1_29	[P] Chiến Trường Tống Kim	Mỗi ngày ở thời gian nhất định,「Chiến Trường Tống Kim」sẽ mở! Các đại hiệp hãy cống hiến một phần sức lực của mình cho thế lực đã chọn!	Tham gia 1 lần [FFFE0D]Chiến Trường Tống Kim[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 3]	[url=npc:testtt,$F,15]			3029	630		Battle_1|1		1				Exp|80000;Item|1970|1	2	1	1															
3030	PedagogicalTask1_30	[P] Tàng Bảo Đồ-Cao	Thu thập đủ「Lông Sói」,「Chu Sa」,「La Bàn」,「Quy Giáp」,「Tơ Lụa」có thể ghép Tàng Bảo Đồ-Cao!	Dùng [FFFE0D]Tàng Bảo Đồ-Cao[-] đào kho báu	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, ItemBox]	[url=npc:testtt,$F,15]			3030	623		HighCangbaotu_1|1		1				Coin|5000	2	1	1															
3031	PedagogicalTask1_31	[P] Truyền Công	Có thể truyền công cho thành viên bang hội hoặc nhận thành viên bang hội truyền công. Hoàn thành, người được truyền công và người truyền công sẽ nhận nhiều EXP, đừng bỏ lỡ!	Tiến hành 1 lần [FFFE0D]Truyền Công[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 15]	[url=npc:testtt,$F,15]			3031	92		GetMeFight_1|1		1				Exp|80000;Contrib|500	2	1	1															
3032	PedagogicalTask1_32	[P] Danh Tướng	Mỗi ngày ở thời gian nhất định, các danh tướng sẽ xuất hiện trên bản đồ chỉ định, tiêu diệt sẽ nhận nhiều thưởng!	Tham gia 1 lần [FFFE0D]Danh Tướng[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 12]	[url=npc:testtt,$F,15]			3032	89		FieldBoss_1|1		1				Exp|80000;Item|1969|1	2	1	1															
3033	PedagogicalTask1_33	[P] Nhiệm Vụ Thương Hội	Hoàn thành nhiệm vụ của Vạn Kim Tài có thể nhận nhiều Bạc!	[FFFE0D]Giao nộp hàng hóa[-] nhiệm vụ Thương Hội	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 2]	[url=npc:testtt,$F,15]			3033	190		CommerceTask_1|1		1				Exp|80000;Gold|50	2	1	1															
3034	PedagogicalTask1_34	[P] Thủ Lĩnh Dã Ngoại	Mỗi ngày vào thời gian nhất định ở bản đồ luyện công Lv20 trở lên sẽ xuất hiện Thủ Lĩnh Dã Thú, tiêu diệt chúng sẽ nhận thưởng cao!	Tham gia 1 lần [FFFE0D]Thủ Lĩnh Dã Ngoại[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 13]	[url=npc:testtt,$F,15]			3034	89		FieldLeader_1|1		1				Exp|80000;Item|212|10	2	1	1															
3035	PedagogicalTask1_35	[P] Lăng Tuyệt Phong	Lăng Tuyệt Phong là nơi thần bí nhất giang hồ, nhiều chuyện kỳ lạ xảy ra, khá nguy hiểm nhưng phần thưởng rất phong phú!	Vượt Ải [FFFE0D]Lăng Tuyệt Phong Tầng 5[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 15]	[url=npc:testtt,$F,15]			3035	1529		RandomFuben_5|1		1				Exp|80000;Item|2157|1	2	1	1															
3036	PedagogicalTask1_36	[P] Khiêu Chiến Anh Hùng	Trong giang hồ có rất nhiều đại hiệp như ngươi, hãy tiêu diệt họ để chứng minh bản thân!	Hoàn thành [FFFE0D]1 vòng Khiêu Chiến Anh Hùng[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 23]	[url=npc:testtt,$F,15]			3036	1528		HeroChallenge_1|1		1				Exp|80000;Item|1968|1	2	1	1															
3037	PedagogicalTask1_37	[P] Đồng Hành Xuất Trận	Đồng hành là trợ thủ đắc lực khi hành tẩu giang hồ, căn cứ sức mạnh cơ bản từ cao đến thấp gồm Cấp SSS→Cấp SS→Cấp S→Cấp A→Cấp B→Cấp C, giúp đỡ đại hiệp trong những trường hợp khác nhau, một số trường hợp có thể xuất chiến [FFFE0D]2 đồng hành[-], một số trường hợp có thể xuất chiến [FFFE0D]4 đồng hành[-]!	[FFFE0D]Xuất trận đồng hành tùy ý[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, Partner, "PartnerMainPanel"]	[url=npc:testtt,$F,15]		3038	3037	622				1				Exp|10000;Item|1016|5	2	1	1	ShangZhenTongBan														
3038	PedagogicalTask1_38	[P] Tăng Cấp Đồng Hành	Khi đại hiệp nhận được EXP, đồng hành cũng sẽ nhận được một phần EXP tương ứng, ngoài ra, có thể dùng [FFFE0D]Bình EXP[-] tăng cấp đồng hành, hãy thử xem!	[FFFE0D]Dùng Bình EXP cho đồng hành tùy ý[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, Partner, "PartnerMainPanel"]	[url=npc:testtt,$F,15]	3037		3038	622				1				Exp|10000	2	1	1	TongBanJiaJingYan														
3050	PedagogicalTask1_50	[P] Ngũ Hành Tương Khắc	Võ công các phái trong thiên hạ đều bắt nguồn từ Ngũ Hành, Ngũ Hành [FFFE0D]tương khắc[-], [FFFE0D]Kim khắc Mộc[-], [FFFE0D]Mộc khắc Thổ[-], [FFFE0D]Thủy khắc Hỏa[-], [FFFE0D]Hỏa khắc Kim[-], [FFFE0D]Thổ khắc Thủy[-], các phái khắc chế lẫn nhau, nếu khắc chế đối phương sẽ tăng sát thương và giảm sát thương phải chịu.	Tìm [FFFE0D]Nạp Lan cô nương[-] tìm hiểu Ngũ Hành	Tìm [FFFE0D]Nạp Lan cô nương[-] tìm hiểu Ngũ Hành	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]		3051	3050	1101				1					2																	
3051	PedagogicalTask1_51	[P] Ngũ Hành Tương Khắc	Võ công các phái trong thiên hạ đều bắt nguồn từ Ngũ Hành, Ngũ Hành [FFFE0D]tương khắc[-], [FFFE0D]Kim khắc Mộc[-], [FFFE0D]Mộc khắc Thổ[-], [FFFE0D]Thủy khắc Hỏa[-], [FFFE0D]Hỏa khắc Kim[-], [FFFE0D]Thổ khắc Thủy[-], các phái khắc chế lẫn nhau, nếu khắc chế đối phương sẽ tăng sát thương và giảm sát thương phải chịu.	Diệt [FFFE0D]Rối Thiên Cơ-Thổ[-]	Diệt [FFFE0D]Rối Thiên Cơ-Thổ[-]	[url=npcanddosomething:test, 1378, 482, autofight, 1]		3050	3052					1378|3	1	1	1			2					[url=dialog:test, 3051]												
3052	PedagogicalTask1_52	[P] Ngũ Hành Tương Khắc	Võ công các phái trong thiên hạ đều bắt nguồn từ Ngũ Hành, Ngũ Hành [FFFE0D]tương khắc[-], [FFFE0D]Kim khắc Mộc[-], [FFFE0D]Mộc khắc Thổ[-], [FFFE0D]Thủy khắc Hỏa[-], [FFFE0D]Hỏa khắc Kim[-], [FFFE0D]Thổ khắc Thủy[-], các phái khắc chế lẫn nhau, nếu khắc chế đối phương sẽ tăng sát thương và giảm sát thương phải chịu.	Diệt [FFFE0D]Rối Thiên Cơ-Mộc[-]	Diệt [FFFE0D]Rối Thiên Cơ-Mộc[-]	[url=npcanddosomething:test, 1375, 482, autofight, 1]		3051	3053					1375|3	1	1	1			2					[url=dialog:test, 3052]												
3053	PedagogicalTask1_53	[P] Ngũ Hành Tương Khắc	Võ công các phái trong thiên hạ đều bắt nguồn từ Ngũ Hành, Ngũ Hành [FFFE0D]tương khắc[-], [FFFE0D]Kim khắc Mộc[-], [FFFE0D]Mộc khắc Thổ[-], [FFFE0D]Thủy khắc Hỏa[-], [FFFE0D]Hỏa khắc Kim[-], [FFFE0D]Thổ khắc Thủy[-], các phái khắc chế lẫn nhau, nếu khắc chế đối phương sẽ tăng sát thương và giảm sát thương phải chịu.	Diệt [FFFE0D]Rối Thiên Cơ-Hỏa[-]	Diệt [FFFE0D]Rối Thiên Cơ-Hỏa[-]	[url=npcanddosomething:test, 1377, 482, autofight, 1]		3052	3054					1377|3	1	1	1			2					[url=dialog:test, 3053]												
3054	PedagogicalTask1_54	[P] Ngũ Hành Tương Khắc	Võ công các phái trong thiên hạ đều bắt nguồn từ Ngũ Hành, Ngũ Hành [FFFE0D]tương khắc[-], [FFFE0D]Kim khắc Mộc[-], [FFFE0D]Mộc khắc Thổ[-], [FFFE0D]Thủy khắc Hỏa[-], [FFFE0D]Hỏa khắc Kim[-], [FFFE0D]Thổ khắc Thủy[-], các phái khắc chế lẫn nhau, nếu khắc chế đối phương sẽ tăng sát thương và giảm sát thương phải chịu.	Về tìm [FFFE0D]Nạp Lan Cô Nương[-]	Về tìm [FFFE0D]Nạp Lan Cô Nương[-]	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]	3053	3055	3054	1101				1					2																	
3055	PedagogicalTask1_55	[P] Ngũ Hành Tương Khắc	Võ công các phái trong thiên hạ đều bắt nguồn từ Ngũ Hành, Ngũ Hành [FFFE0D]tương khắc[-], [FFFE0D]Kim khắc Mộc[-], [FFFE0D]Mộc khắc Thổ[-], [FFFE0D]Thủy khắc Hỏa[-], [FFFE0D]Hỏa khắc Kim[-], [FFFE0D]Thổ khắc Thủy[-], các phái khắc chế lẫn nhau, nếu khắc chế đối phương sẽ tăng sát thương và giảm sát thương phải chịu.	Hỏi đáp về [FFFE0D]Ngũ Hành[-]	Hỏi đáp về [FFFE0D]Ngũ Hành[-]	[url=openwnd:test, ActivityQuestion, "Task"]	[url=npc:testtt,$F,482]	3054		3055	1101								Exp|40000	2	1	1	Task_DaTi		[url=openwnd:test, FiveElements]												
3060	PedagogicalTask1_60	[P] Ngũ Hành Tương Khắc	Võ công các phái trong thiên hạ đều bắt nguồn từ Ngũ Hành, Ngũ Hành [FFFE0D]tương khắc[-], [FFFE0D]Kim khắc Mộc[-], [FFFE0D]Mộc khắc Thổ[-], [FFFE0D]Thủy khắc Hỏa[-], [FFFE0D]Hỏa khắc Kim[-], [FFFE0D]Thổ khắc Thủy[-], các phái khắc chế lẫn nhau, nếu khắc chế đối phương sẽ tăng sát thương và giảm sát thương phải chịu.	Tìm [FFFE0D]Nạp Lan cô nương[-] tìm hiểu Ngũ Hành	Tìm [FFFE0D]Nạp Lan cô nương[-] tìm hiểu Ngũ Hành	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]		3061	3060	1101				1					2																	
3061	PedagogicalTask1_61	[P] Ngũ Hành Tương Khắc	Võ công các phái trong thiên hạ đều bắt nguồn từ Ngũ Hành, Ngũ Hành [FFFE0D]tương khắc[-], [FFFE0D]Kim khắc Mộc[-], [FFFE0D]Mộc khắc Thổ[-], [FFFE0D]Thủy khắc Hỏa[-], [FFFE0D]Hỏa khắc Kim[-], [FFFE0D]Thổ khắc Thủy[-], các phái khắc chế lẫn nhau, nếu khắc chế đối phương sẽ tăng sát thương và giảm sát thương phải chịu.	Diệt [FFFE0D]Rối Thiên Cơ-Thủy[-]	Diệt [FFFE0D]Rối Thiên Cơ-Thủy[-]	[url=npcanddosomething:test, 1376, 482, autofight, 1]		3060	3062					1376|3	1	1	1			2					[url=dialog:test, 3061]												
3062	PedagogicalTask1_62	[P] Ngũ Hành Tương Khắc	Võ công các phái trong thiên hạ đều bắt nguồn từ Ngũ Hành, Ngũ Hành [FFFE0D]tương khắc[-], [FFFE0D]Kim khắc Mộc[-], [FFFE0D]Mộc khắc Thổ[-], [FFFE0D]Thủy khắc Hỏa[-], [FFFE0D]Hỏa khắc Kim[-], [FFFE0D]Thổ khắc Thủy[-], các phái khắc chế lẫn nhau, nếu khắc chế đối phương sẽ tăng sát thương và giảm sát thương phải chịu.	Diệt [FFFE0D]Rối Thiên Cơ-Thổ[-]	Diệt [FFFE0D]Rối Thiên Cơ-Thổ[-]	[url=npcanddosomething:test, 1378, 482, autofight, 1]		3061	3063					1378|3	1	1	1			2					[url=dialog:test, 3062]												
