nDialogId	szDialogIndex	nLookNpcTemplateId	nNpcTemplateId	szNpcSay	szPlayerSay	szStoryBefore	szStoryAfter	nSoundId	szAction
12	12		417	(Lạnh lùng) Hừ! Biết ngay nha đầu này tìm ta thì chẳng có việc gì tốt, ngươi nói thử xem, thiên hạ có mấy danh y cao minh hơn ta? Ngươi lại cứ một mực không chịu bái ta làm sư!					
12	12		413	(Kéo áo Hồ Thần Y) Hồ Thần Y, hãy giúp chúng cháu, cháu sẽ nấu món ngon đãi ngài ăn.					
12	12		417	Hừ! Sao lão phu lại bị những thứ này làm lay động? Hãy tìm Ân Đồng, nha đầu này không những có khả năng thiên phú, y thuật cũng khá, nếu làm đồ đệ của ta thì quá tốt!					
12	12				Đa tạ Hồ Thần Y chỉ giáo! Nạp Lan cô nương hãy chờ chút, ta sẽ trở về ngay!				
13	13				Tiểu cô nương, có thể nói ta biết Ân Đồng cô nương đang ở đâu không?				
13	13		1340	Là Nạp Lan bảo người đến hay là ai khác?					
13	13				(Sao! Không ngờ người có tài năng thiên phú lại là tiểu cô nương này...) Ngươi... ngươi là Ân Đồng? Ta muốn hỏi tung tích Xích Tâm Hoa.				
13	13		1340	Ngài có phải là đại hiệp hành tẩu giang hồ?					
13	13				(Đại hiệp? Chuyện này là sao?) Ta mới ra giang hồ, sao dám nhận 2 chữ「Đại hiệp」chứ?				
13	13		1340	(Vỗ ngực) Không phải thì tốt, ta đã thề không chữa trị cho đại hiệp. Xích Tâm Hoa ở sườn núi phía trước, nếu đi hái thì hãy cẩn thận.					
13	13				(Sao lại có thành kiến với đại hiệp như thế, thôi bỏ đi) Đa tạ Ân cô nương!				
13	13		1340	Mau đi đi, sau này có rảnh đến chỗ ta chơi!					
15	15				Hồ Thần Y, Xích Tâm Hoa tại hạ đã hái xong, không biết thuốc...				
15	15		417	Đưa đây, thuốc khác đã chuẩn bị xong, chỉ còn thiếu vị thuốc chính này, xong rồi! Cầm lấy!					
15	15				Đa tạ Hồ Thần Y! Nạp Lan cô nương, mọi thứ đã chuẩn bị xong!				
15	15		413	Đa tạ, chúng ta đi ngay thôi!					happy
17	17		413	Ngươi đã vất vả rồi, ta đi điều chế thuốc đây.					
17	17				Cũng may Tiểu Đồng chỉ cho ta chỗ có Xích Tâm Hoa, ta phải cảm tạ cô ta.				
18	18		1340	$N, đại hiệp sao quay về nhanh thế?					
18	18				Ta đến để cảm ơn ngươi đã chỉ cho ta chỗ có Xích Tâm Hoa. Vì sao ngươi và Lão Lão lại ghét đại hiệp như thế?				
18	18		1340	Nửa năm trước, ta cùng cha mẹ sống tại một làng quê cạnh núi, trải qua những ngày tháng êm đềm. Có điều cha mẹ ta xuất thân Ngũ Độc Giáo, một hôm họ đã cứu một đồng môn đang bị truy sát.					
18	18		1340	Cuối cùng kẻ thù cũng biết, bọn người của danh môn chính phái kéo đến truy sát. Mẹ đưa anh em ta chạy trốn, cha ở lại cản đường không may vong mạng. Sau đó mẹ ta cũng mất tại Miếu Quan Đế. Huhu..mẹ ơi...					
18	18		1340	Sau đó ta được Lão Lão cứu mạng, dạy ta y thuật, cho ta biết đại hiệp chẳng qua chỉ là những kẻ suốt ngày chỉ biết đánh đấm!					
18	18				(Thì ra là vậy...) Tiểu Đồng, ngươi nên nhớ, trên đời có kẻ thiện người ác, có lúc bất đắc dĩ, đừng chưa chi đã định tội.				
18	18		1340	Hừ! Ta không tin, mọi người trên đời đều ích kỉ, vì bản thân mà quên đi người khác!					
18	18				Có lẽ sau này ngươi sẽ hiểu...Khoan, truy sát! Vị tướng quân triều đình ngày hôm đó giờ ra sao! Ta phải đi hỏi ngay mới được!				
19	19				Đại nhân! Ngài có biết...				
19	19		91	Gần đây cũng nhiều nhân sĩ võ lâm tới báo danh tòng quân, ngươi chắc võ công cũng khá, muốn báo danh ư?					
19	19				Đại nhân! Tại hạ có chuyện muốn hỏi, Đại Tướng Quân nay ở đâu?				
19	19		91	Ngươi biết Nghiêm Tướng Quân? Lần trước bị phục kích trên chiến trường, giờ đang nghỉ dưỡng ở nhà, không thể ra trận nên bọn giặc mới lộng hành thế! 					
19	19				Đáng ghét! Quả nhiên là bọn chúng! Lưu đại nhân, hãy để ta quyết chiến với chúng một trận!				
19	19		91	Có chí khí! Trên chiến trường đao kiếm vô tình, ngươi hãy cẩn thận!					
20	20		91	Ngươi về rồi? Sao? Không bị thương chứ?					
20	20				Chiến trường là nơi nguy hiểm, võ công có cao cường đi nữa thì một mình khó địch nổi đám đông! Sau này nếu thực sự ra trận ta nhất định sẽ cẩn thận!				
20	20		91	Giang hồ tuy tự do tự tại, nhưng nước mất nhà tan ngươi cũng không có chỗ dung thân. Hy vọng ngươi trở thành trụ cột của quốc gia!					
21	21				Nạp Lan cô nương! Vết thương của Dương huynh thế nào?				
21	21		413	$N không bị thương chứ? Dương đại ca người đầy thương tích, may là ngươi tìm được Ngân Ti Thảo! Có điều giờ cần thêm ít dược thảo, Ân Phương đang muốn thay ta đi tìm.					
21	21				Ân Phương, sao ngươi lại rời khỏi Vong Ưu Đảo chứ! Quanh đây không an toàn lắm, hay là để ta tìm giúp ngươi!				
21	21		578	Hừ! Cả ngày ở Vong Ưu Đảo đọc sách y, chẳng có gì thú vị, hiếm có dịp được ra ngoài sao lại bỏ lỡ được!					
21	21		413	$N hãy dẫn Ân Phương cùng đi. Gần đây có một thương nhân tên Vạn Kim Tài, không biết còn ở Tỏa Vân Uyên hay không? Ông ấy có rất nhiều thuốc, hãy hỏi thử xem!					
21	21				Được thôi...				
22	22				Tại hạ $N, các hạ có phải là Vạn Kim Tài?				
22	22		1380	(Chau mày) Đúng vậy, ngươi tìm ta có việc gì?					
22	22				Bằng hữu của tại hạ bị thương nặng, cần dược liệu trên đơn thuốc này, không biết...				
22	22		1380	(Nhìn lướt qua đơn thuốc) Thuốc, thuốc! Đừng nhắc thuốc với ta nữa! Huyết Mẫu Đơn mà ta vất vả hái về đã bị Mã Tặc cướp mất! Nếu ngươi giúp ta đoạt lại, những thứ này ta sẽ tặng cho ngươi!					
22	22				Chuyện này e rằng...				
22	22		578	(Ngắt lời) Đồng ý! Đừng có nuốt lời nhé! Ngươi hãy chuẩn bị sẵn thuốc đợi chúng ta trở về!					
22	22				(Tiểu tử này...) Nếu đã vậy xin Vạn huynh chờ ở đây một chút.				
23	23				Đây chắc là vật Vạn Kim Tài bị mất, nhân lúc không có ai, mau chuyển đi nào!				
23	23		578	Sao không thấy Mã Tặc đâu nữa! Chán quá chán quá!					
23	23				Đừng làm ồn... Lỡ khiến...				
23	23		1749	Đứng lại! Các ngươi dám đụng đến Hắc Phong Trại, chán sống rồi à? Các huynh đệ, lên!					
23	23		578	$N! Ta đi dọn đồ! Lát nữa sẽ đến gặp ngươi!					
23	23				Được rồi! Đừng lo, ta sẽ cho bọn Mã Tặc này một bài học, ngươi hãy ở cạnh ta, đừng đi đâu quá xa đấy!				
24	24		1749	Xin tha mạng, lần sau tiểu nhân không dám vậy nữa!					
24	24		578	Hừ! Nể tình các ngươi có lòng hối cải, cút đi! Hãy nhớ ta tên là Ân Phương!					
24	24				(Hừ! Ai bảo tên tiểu tử này là ân nhân cứu mạng của ta chứ...)				
25	25		578	Lúc nãy may mà có ngươi, ngươi thật lợi hại! Khi nào có thể dạy cho ta đây?					
25	25				Được rồi, chúng ta mau quay về tìm gã mập đó lấy thuốc thôi!				
26	26		1380	Đã tìm được rồi sao? Đại hiệp, không ngờ một mình có thể đối phó cả đám Mã Tặc. $F quả nhiên lợi hại.					
26	26				Đa tạ, sao Vạn huynh biết ta là môn hạ của $F?				
26	26		1380	Khụ khụ, vũ khí của các hạ rất độc đáo. Số dược thảo này xem như thù lao, sau này muốn kiếm ít lộ phí cứ đến Tương Dương tìm ta. Cáo từ!					
26	26				(Tên mập này chẳng lẽ cố ý dùng kế để chúng ta giúp hắn? Thật không đơn giản...) Nếu có cơ hội phải đích thân thăm hỏi.				
27	27		413	Đi thôi! Dương đại ca mới tỉnh, chúng ta cùng đi xem thử.					
27	27		414	(Đảo mắt) Hai người đi đi! Ta chuẩn bị về Vong Ưu Đảo rồi!					
27	27				(Ủa? Tên tiểu tử nghịch ngợm này đổi tính rồi sao? Mới đó mà đã chịu về rồi), đi đường cẩn thận! Nạp Lan cô nương, chúng ta đi thôi.				
28	28				Ngôi nhà này...				
28	28		413	Hi hi! Thế nào, có phải là giống y như ở Vong Ưu Đảo không? Ta tốn không ít công sức để xây dựng đó.					
29	29	415			Mấy ngày không gặp, Dương huynh khỏe hơn rất nhiều rồi! Huynh đã đi lại được, chắc vết thương đã lành?				
29	29		415	Tuy đã lành nhưng mất hết nội công, trở thành phế nhân, báo thù còn khó nói chi là thiên hạ vô địch...					sad
29	29				Dương huynh, nội thương tuy đã hồi phục nhưng nội lực chưa chắc đã hồi phục được.				
6029	6029		413	Có lẽ cha có thể trị thương cho Dương đại ca, ta về tìm cha đã.					
30	30		719	Dương Ảnh Phong cùng đại hiệp trò chuyện rất vui vẻ, khoảng nửa canh giờ sau thì có tiếng cười vọng vào.					
6030	6030		954	Kẻ có thể khiến đứa con gái chẳng biết sợ gì của ta để mắt tới, lần đầu ta mới gặp, ha ha ha...					
6030	6030		413	Cha! Dương đại ca, cha ta đến xem bệnh cho huynh!					
6030	6030		415	Tại hạ Dương Ảnh Phong, bái kiến Nạp Lan tiền bối!					
6030	6030		954	Không cần đa lễ, để ta xem vết thương của ngươi!					
31	31		719	Nạp Lan đảo chủ bắt mạch cho Dương Ảnh Phong nhưng sau đó liền rút tay lại ...					
31	31		954	Nội thương của Dương công tử rất nặng, nội lực đã mất hoàn toàn, muốn hồi phục võ công e rằng không có hi vọng.					
31	31		415	Vậy... Đa tạ tiền bối.					sad
31	31		413	Cha! Dương đại ca, đừng buồn, bệnh của huynh... chưa chắc đã như cha ta nói. Phải rồi, cha ơi! Vô Ưu Thần Công của chúng ta chẳng phải có thể hồi phục nội lực sao? Cha có thể truyền...					
31	31		954	Không được! Chẳng lẽ con đã quên võ công bổn giáo không bao giờ truyền ra ngoài sao? Dương công tử hãy nghỉ ngơi, lão phu có việc phải đi đây.					
6031	6031		413	Cha, cha đừng đi! Cha ơi! 					
32	32		413	Dương đại ca, huynh đừng quá đau buồn, có lẽ...					
32	32		415	Cô nương không cần lo cho ta, ta hiểu rõ tình trạng hiện giờ, chỉ cần có cơ hội ta sẽ không từ bỏ!					
32	32		413	Không được! Ta muốn đi tìm cha ơi! Hãy đợi ta, nhất định sẽ có cách!					
32	32		719	Nạp Lan Chân đuổi theo cha nàng					
6032	6032				Dương huynh ...				
6032	6032		415	Đừng nói nữa, ta đã biết ý tốt của muội. Ta hơi mệt, muốn nghỉ ngơi.					sad
6032	6032				...Vậy ta cũng đi gặp Nạp Lan cô nương đây.				
33	33				Nạp Lan cô nương, tình hình có chuyển biến gì không?				
33	33		413	Cha không đồng ý truyền võ công cho Dương đại ca, Dương đại ca thế nào rồi? Chúng ta đi thăm huynh ấy.					
34	34		413	Dương đại ca đi đâu rồi? Tâm trạng huynh ấy không tốt, để ta đi xem thử!					
34	34				Nạp Lan cô nương đừng lo, để ta cùng đi tìm!				
35	35		413	Dương đại ca!  					
36	36		413	Dương đại ca, trời đêm lạnh lắm, vết thương còn chưa khỏi sao lại ra ngoài một mình. Không thấy huynh trong nhà, mọi người tưởng...					
36	36		415	Chân Nhi, tâm trạng ta không tốt nên ra đây đi dạo, không ngờ lại khiến muội lo lắng. Chân Nhi, muội cảm thấy ta kỳ lạ lắm đúng không? Có biết vì sao ta lưu lạc tới đây?					
36	36		415	Ta mới ra giang hồ, quen biết một người, tưởng cùng chí hướng nên kết thành huynh đệ. Ai ngờ tình cờ phát hiện vị huynh đệ này là một kẻ ngụy quân tử.					think
36	36		415	Nghĩa huynh ta là trang chủ Tàng Kiếm Sơn Trang nhưng vì bí kíp võ lâm mà lại hại nhiều người mất mạng. Ta tìm huynh ấy đối chất, huynh ấy vì muốn diệt khẩu mà đẩy ta xuống vực sâu.					
36	36		413	Sao lại có việc này! Sao lại thế...					
36	36				(Tàng Kiếm Trang Chủ? Không ngờ danh môn đại phái lại làm chuyện xấu hổ như vậy!)				
36	36		415	Sau đó ta được ngươi cứu! Cha ta hy vọng ta trở thành cao thủ đệ nhất thiên hạ, vì mục tiêu này ta không ngừng phấn đấu từ năm 10 tuổi, không ngờ nay đã mất hết công lực, lấy gì mà thực hiện ước mơ.					sad
36	36		413	Dương đại ca yên tâm, ta tin rằng ông trời sẽ không phụ lòng người đâu. Đi, ta dẫn người đến chỗ này.					
37	37		415	Chân Nhi, cổng vào ở đây bí mật quá, rốt cuộc là nơi nào thế?					
37	37		413	Cấm địa của Vô Ưu Giáo! Cha ta mỗi đêm trăng tròn đều một mình vào đây, có lẽ để luyện Vô Ưu Thần Công, ngươi có thể theo ta đi xem để học, biết đâu có thể trị được nội thương!					
37	37		415	Chân Nhi, không nên tự ý vào cấm địa, nếu để cha muội phát hiện sẽ trách tội.					think
37	37		413	Đừng lo, cha ta rất thương ta, dù bị phát hiện cũng không sao đâu. Bên trong rất nguy hiểm, nếu ngươi cố chấp không đi theo ta, cùng lắm ta tự đi!					
37	37				Dương huynh, xem ra hết cách rồi, không thể để Nạp Lan cô nương vào chốn nguy hiểm, đi thôi!				
39	39				Dương huynh cũng biết Võ Đạo Đức Kinh sao?				
39	39		415	Cũng tại ta hoảng sợ nên sơ ý, chúng ta mau chia nhau đi tìm Chân Nhi!					blush
39	39				Chúng ta mau xuất phát nào!				
39	39		414	Các người tới rồi à! Ta vừa thấy Chân Nhi tỷ tỷ đi qua đó!					
39	39				Ân Phương? Sao lại ở đây? Chẳng lẽ đi theo chúng tôi?				
39	39		414	(Bĩu môi) Hừ! Ta định đi theo các ngươi nhưng cơ quan trong cấm địa quá lợi hại, nên ta đành đứng chờ ở ngoài, không ngờ lại thấy Chân Nhi tỷ tỷ vừa ra đã bỏ chạy!					
39	39		415	Nơi đây nhiều Mã Tặc, e không được an toàn, không thể để Ân Phương một mình, giao y cho ngươi vậy, bọn ta đi tìm Chân Nhi!					
39	39				Ân Phương, ngươi hãy theo ta, đừng để lạc đấy! 				
40	40				Tại hạ $N là đệ tử của $F, không biết các vị có thấy cô nương mặc áo xanh không?				
40	40		1748	Thấy chứ! Trông cũng đẹp, lão đại của ta đã thích cô nương ấy, e rằng...					
40	40		414	Nạp Lan cô nương sao có thể dễ dàng bị các ngươi đánh bại chứ? Ta sẽ cho các ngươi một bài học!					
40	40				Chỉ là bọn vô lại, ăn nói hàm hồ! Hãy cho chúng một bài học!				
41	41		1748	Chúng tôi sai rồi! Xin tha mạng! Tiểu nhân thấy cô nương áo lam đi về hướng đó!					
41	41		414	Hừ! Biết lợi hại của Ân thiếu gia chưa! Hãy mau đi, nếu không đừng trách ta vô tình!					
41	41				Được rồi, Ân Phương, mau đi thôi, chúng ta phải nhanh chóng tìm Nạp Lan cô nương!				
42	42				Nạp Lan cô nương!				
42	42		415	Chân Nhi! $N, không ngờ chúng ta lại tới cùng lúc...					
6042	6042		413	Hu hu hu, cha chưa từng hung dữ với ta như vậy...					
6042	6042		415	Chân Nhi, đừng đau lòng nữa...					
6042	6042		413	Dương đại ca, $N, lúc nhỏ ta hay chạy loạn và phát hiện được một nơi bí mật, hay là chúng ta đi xem thử.					
6042	6042		415	...(Chân Nhi thật tinh nghịch!) Chân Nhi, nơi thần bí là chỗ nào?					happy
6042	6042		413	Đến đó sẽ biết, đi thôi!					
6042	6042		414	Ta cũng muốn đi!					
6042	6042				(Khó chịu) Ân Phương, định đi theo chúng tôi tới khi nào đây?				
6042	6042		414	Đó là...$N, ta không muốn đi nữa, ta muốn cùng các người bôn ba giang hồ! Dẫn ta theo được không?					
6042	6042				Không được! Bôn ba giang hồ rất nguy hiểm, ngươi còn nhỏ...				
6042	6042		414	Hừ! Ta biết là ngươi sẽ mượn cớ này, ta khổ luyện kiếm pháp là vì muốn hành tẩu giang hồ. Nếu ngươi không đồng ý, ta sẽ không về! Cùng lắm chôn thân tại đây...					
6042	6042				...( Tiểu tử) Ngươi nghe ta nói...				
6042	6042		719	Sau một hồi thương lượng... Ân Phương cuối cùng đã thuyết phục được ngươi, từ đó ngươi đã có một đồng hành!					
43	43		413	Không ngờ bao nhiêu năm trôi qua, nơi này vẫn giống hệt năm xưa ta từng đến, nhưng lần này ta sẽ không sợ nữa! Vì đã có [FFFE0D]$N[-] và Ảnh Phong ca ca bên cạnh ta!		Đi qua một con đường nhỏ đến một hang động u tối, bốn bề gió lạnh...			
43	43		415	(Im lặng một lúc) Đi thôi, chúng ta đi xem thử trong động có gì!					think
45	45		415	Chúng ta nên đi cứu Chân Nhi hay là đi nói cho đảo chủ biết? Không được, ta không thể bỏ mặc Chân Nhi!					
45	45				(Nghiến răng) Nói đúng lắm! Nạp Lan cô nương cứu mạng chúng ta, sao chúng ta lại bỏ mặc cô ấy được? Đi nào!				
46	46		413	$N! $N! Ngươi không sao chứ?		Cơ thể đang rơi xuống, gió réo rít bên tai, cuối cùng ngã trên bãi cỏ xanh			
46	46				(Ngươi nhúc nhích, thấy khắp người đau nhức, nhưng không có gì đáng ngại) Đây là đâu? Mọi người sao rồi?				
46	46		413	Ta không sao, có điều Dương đại ca đã mất hết nội lực, không thể thi triển khinh công, vậy mà vẫn nhảy xuống đây để tìm ta...					
46	46		415	Chân Nhi, $N, đừng lo, ta không sao. Nơi này cảnh vật rất đẹp. Mật đạo chắc là do người nào đó tạo nên, bên trong e rằng còn có cơ quan!					think
46	46		415	Chúng ta rơi từ đây xuống, nhưng miệng hố rất sâu, khó lòng đi lên. Chúng ta hãy tìm xem có lối ra nào khác không.					
47	47		413	Ở đây có ngôi nhà nhỏ! Nói không chừng có người sinh sống! Cho hỏi có ai không?					
47	47		415	Tại hạ Dương Ảnh Phong, tình cờ đi qua đây, xin một bát nước nhạt!					cool
47	47		413	Sao không ai trả lời? Chúng ta đi vào xem vậy!					
6049	6049		413	A! Bộ xương...					
6049	6049		415	Đừng sợ, Chân Nhi. Chỉ là...Sao họ thê lương thế! Ta cảm thấy ẩn chứa bí mật gì đó! Đi xung quanh xem có gì lạ.					
48	48		413	Căn nhà này hình như lâu rồi không ai ở!					
48	48				Ta tìm khắp một lượt xem sao, phải hết sức cẩn thận, không chừng trong nhà có cơ quan gì đó!				
49	49				Nạp Lan cô nương, Dương huynh, ở đây có cái khăn tay!				
49	49		413	Dương đại ca, chúng ta mau đi xem thử!					
49	49				Bên trên hình như có chữ...				
50	50		413	Dương đại ca, $N, đây là cơ hội tốt! Chỉ cần bái người này làm sư phụ là có thể học thần công rồi!		Trên khăn viết: Bị đồ đệ hãm hại, võ công mất hết, may mắn tạo ra thần công, nhưng không thể tự tay diệt ác đồ, nay lưu lại để người học được giúp ta báo thù			
50	50				Không cần đâu, ta đang luyện thượng thừa nội công tâm pháp vẫn chưa xong, không thể học võ công phái khác, võ công này rất hợp với Dương huynh!				
50	50		415	(Kẻ khi sư diệt tổ như vậy, gặp ta ta cũng không tha.) Sư phụ, đồ nhi nhất định sẽ báo thù cho người!					think
50	50		413	Chúc mừng Ảnh Phong ca ca bái được danh sư! Sớm ngày trị khỏi nội thương, luyện thành thần công!					
50	50				Chỗ chúng ta rơi xuống là lối ra duy nhất. Dương huynh nội lực chưa hồi phục, giờ không thể leo lên lại được, phải tu luyện nâng cao nội lực trước. (Dương huynh tu luyện, ta xem trong nhà còn gì!)				
50	50		413	Chờ Ảnh Phong ca hồi phục công lực chúng ta sẽ đi.					
50	50		719	Dương Ảnh Phong bắt đầu chuyên tâm tu luyện thần công...					
51	51				Ở đây cũng có một chiếc khăn! Bên trên cũng có chữ, hình như là bút tích của cùng một người...				
51	51		415	Sao chứ? Sư phụ còn có thư khác?					
51	51				Thì ra vị tiền bối đó là Nguyệt Trùng Thiên, giáo chủ Vô Ưu Giáo, có 2 đệ tử là Thượng Quan Phi Long tính tình trung hậu và Ngọc Tiềm Lẫm thông minh gian xảo.				
51	51				Do Ngọc Tiềm Lẫm giỏi lấy lòng người khác, nên Nguyệt Trùng Thiên không những truyền cho võ công mà còn ép gả con gái cho Ngọc Tiềm Lẫm, khiến Thượng Quan Phi Long thất vọng bỏ đi...				
51	51				Nguyệt Trùng Thiên càng xem trọng Ngọc Tiềm Lẫm, mọi việc trong giáo đều giao cho hắn. Ngọc Tiềm Lẫm nhân cơ hội gây dựng thế lực, đoạt quyền trong giáo. Cuối cùng vào lúc Nguyệt Trùng Thiên bế quan, hắn đã bộc lộ dã tâm của mình.				
51	51				Hắn không chỉ đoạt chức giáo chủ, còn muốn tiêu diệt Nguyệt Trùng Thiên. Nguyệt Trùng Thiên võ công cái thế, tuy trọng thương nhưng vẫn thoát vây chạy đến đây, nơi bí mật chỉ một mình y biết, thoát truy sát của phản đồ.				
51	51				Nạp Lan cô nương sao rồi? Sao sắc mặt lại như thế?				
51	51		413	Ngọc Tiềm Lẫm... là cha ta, Ngọc là họ trước khi ông làm giáo chủ. Không! Cha ta không phải người như vậy! Ông không phải kẻ vong ân bội nghĩa...					
51	51		415	Chân Nhi, đừng nóng vội, nay võ công ta cũng đã bắt đầu hồi phục, chúng ta về gặp cha nàng hỏi cho rõ.					
52	52		415	Chân Nhi, ta sẽ ở đây đợi nàng.					
52	52		413	Được thôi.					
52	52				(Xem ra Dương huynh lo ngộ nhỡ sự thật đúng như vậy e không hay) Nạp Lan cô nương, ta đi với cô nương.				
53	53		954	Chân Nhi, không sao chứ! Về nhà là tốt rồi! Mấy bữa nay con đi đâu? Không bị thương chứ! Có ai ức hiếp con không? Ôi, ta lo cho con quá...					
53	53		413	(Đưa khăn cho Nạp Lan Tiềm Lẫm) Cha...cha, con gái để cha lo lắng rồi! Cha, cha hãy xem thử...					
53	53		954	Cũng đã 13 năm rồi, giờ con đã trưởng thành, có một số việc con cần được biết. Năm xưa ông ngoại của con Nguyệt Trùng Thiên tu luyện nội công tầng thứ 9 bị tẩu hỏa nhập ma, sau này trở nên tàn bạo, đã sát hại vài chục đệ Tử Vô Ưu Giáo...					
53	53		954	Người trong giáo không còn lựa chọn khác mới chọn ta làm giáo chủ, ta vốn định phế võ công của người, để người không thể làm chuyện ác, không ngờ lại để người chạy thoát.					
53	53		413	Cha, cha nói thật không? Cha không lừa con chứ?					
53	53		954	Thật đấy, nếu không năm xưa sao Nguyệt Giáo Chủ có thể gả con gái cho ta? Tuy ta thường tự vấn năm xưa có phải quá nhẫn tâm không, nhưng là người đứng đầu giáo phái, sao ta có thể bao che?!					
53	53				(Trầm ngâm) Nếu vậy thì tốt, trước đây trách nhầm đảo chủ, thật là xin lỗi. Ta xin cáo từ trước.				
53	53		413	Cha, cha, con hiểu lầm cha rồi, đừng giận, con sẽ làm vài món ngon cho cha xem như tạ lỗi!					
6054	6054				Dương huynh ...				
54	54		719	Ngươi kể chuyện Nạp Lan Tiềm Lẫm nói cho Dương Ảnh Phong biết					
54	54		415	Nếu có nội tình, ta cũng không còn gì để nói. $N, ta chuẩn bị tìm một người, huynh có dự tính gì?					think
