nTaskItemId	szMsg	nTime	nMapTemplateId	nX	nY	szAtlas	szImg
265	Đến Hoa Sơn	0	493	3200	3280		
286	Từ biệt Tiều Phu...	0	493	3480	3790		
294	Chờ thông báo...	3	491	2600	4340		
295	Hỏi kết quả...	0	491	2450	3720		
297	Truy đuổi khỉ...	0	491	2780	7900		
298	Truy đuổi khỉ...	0	491	3440	7830		
299	Quét sạch Hoa Sơn...	3	491	3190	8680		
303	Tìm Đệ Tử Thiếu Lâm...	0	406	10420	9450		
306	Tìm cây trái..	0	406	12000	8500		
322	Áp tải về doanh trại	0	408	10820	11170		
323	Áp tải về doanh trại	0	408	7900	7480		
328	Xem xung quanh.	0	479	1200	850		
332	Xem xét xung quanh	0	479	6070	2400		
333	Bảo vệ Nghiêm Tướng Quân...	0	479	5400	2150		
334	Truy đuổi Người Bí Ẩn...	0	479	4900	4730		
354	Tìm Tuyết Liên Lão Lão	0	411	14000	11880		
356	Đang thu thập...	2	411	12650	14000		
362		0	411	9540	11150		
364		0	411	10360	13740		
367		0	411	7100	14000		
369		0	411	10100	13930		
374		0	411	7500	8700		
375		0	411	9240	9000		
383		0	411	7200	3650		
385		0	411	5300	4560		
389		0	411	13900	8770		
390		0	411	10800	5600		
395		0	411	12550	7620		
397		0	411	14070	6950		
401		0	411	14000	3360		
402		0	411	13900	3400		
404		0	411	13100	3550		
410		0	411	14300	5200		
414		0	415	9200	7000		
415		0	415	11120	5550		
418		0	415	8500	4650		
426		0	414	9150	9550		
428		0	414	7150	9720		
430		0	414	4470	10500		
431		0	414	5800	9800		
432		0	414	4800	11000		
433		0	414	3330	11110		
434		0	414	2650	12300		
443		0	10	8700	13670		
445		0	10	7680	17800		
448		0	10	12500	18000		
452		0	10	11600	10700		
454		0	475	1500	5600		
456		0	475	3800	5700		
459		0	474	6560	8780		
461		0	474	6300	6900		
462		0	474	6300	8400		
463		0	474	6500	8700		
800		0	801	4950	900		
801		0	801	3750	1000		
802		0	800	3150	5200		
3152		0	482	2666	5666		
3254		0	15	8500	18000		
3255		0	407	12400	5300		
3260	Xin chờ trong giây lát	3	1000	6400	5200		
3272		0	411	8700	6500		
3278	Xin chờ trong giây lát	3	15	15000	11500		
2001	Quan sát phản ứng	0	15	8500	8500		
2002	Quan sát phản ứng	0	15	18700	11200		
2003	Quan sát phản ứng	0	15	6650	16300		
2006		0	472	5100	3500		
2016		0	15	7100	11400		
2023		0	408	3200	14000		
2024	Bồ Câu Đưa Thư	3	408	3200	14000		
2025		0	408	14000	3500		
2026	Bồ Câu Đưa Thư	3	408	14000	3500		
2027		0	408	7750	4750		
2029		0	408	3300	3300		
2030	Bồ Câu Đưa Thư	3	408	3300	3300		
4001	Hái Xích Tâm Hoa...	3	1000	7992	6043		
4002	Ngâm thơ...	5	404	6056	14452		
4003	Ngắm tuyết...	5	405	16349	8072		
4004	Tắm nắng...	5	403	15252	11113		
4005	Du ngoạn...	5	401	12174	11227		
4006	Ngắm cảnh...	5	400	13711	4358		
4007	Ngắm lá...	5	402	5652	11491		
4008	Đốt pháo hoa...	3	15	10759	4893		
80008	Đang xem...	5	1000	2251	8234		
80009	Đang xem...	5	1000	5290	2265		
80010	Đang xem...	5	401	4352	13508		
80011	Đang xem...	5	402	12375	8514		
80012	Đang xem...	5	402	4855	3327		
80013	Đang xem...	5	402	2211	2899		
80014	Đang xem...	5	405	16686	8129		
80015	Đang xem...	5	404	11483	1566		
80016	Đang xem...	5	403	4546	3428		
80017	Đang xem...	5	409	11447	12949		
80018	Đang xem...	5	408	16460	10512		
9001	Lắng Nghe	3	15	8500	8500		
9002	Lắng Nghe	3	15	18700	11200		
9003	Lắng Nghe	3	15	6650	16300		
3502	Bái kiến hào kiệt môn phái	3	482	2706	5659		
