nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_ExtInfo	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
2020	WLDS1_21	Mùa Thu Lâm An	Không thấy tung tích Nam Cung Thiếu Hiệp, có lẽ đã trốn vào trong Bạch Thủy Tự, đi vào tìm thử.	Cứu viện [FFFE0D]Nam Cung Phi[-]	Cứu viện [FFFE0D]Nam Cung Phi[-]	[url=goanddosomething:test, 473, 2333, 11000, gotofuben, 500, 1, 1]				2019	2021			500|1|1	1					BasicExp|10			5	1													
2021	WLDS1_22	Mùa Thu Lâm An	Cuối cùng cũng thoát được! Nam Cung Thiếu Hiệp cả gan một mình vào doanh trại Hoàn Nhan Hồng Liệt! Hỏi Long Ngũ Tiên Sinh bước đi tiếp theo!	Hỏi ý kiến [FFFE0D]Long Ngũ[-]	Hỏi ý kiến [FFFE0D]Long Ngũ[-]	[url=npc:testtt,$F,472]	[url=npc:testtt,$F,472]			2020	2022	2021	2746					1	1	BasicExp|60;Energy|2000			5	1													
2022	WLDS1_23	Mùa Thu Lâm An	Ngu Doãn Văn bất ngờ vong mạng. Ta cần liên lạc đồng đạo hộ tống về Kinh, may các phái Đường Môn, Thúy Yên, Nga Mi đều ở Xuyên Thục, chuyện này sẽ không thành vấn đề!	Gọi [FFFE0D]Sương Nhi[-] cùng đi	Gọi [FFFE0D]Sương Nhi[-] cùng đi	[url=npc:testtt,$F,472]	[url=npc:testtt,$F,472]			2021	2023	2022	2748							BasicExp|10			5	1													
2023	WLDS1_24	Mùa Thu Lâm An	Đường Môn có danh tiếng trong giang hồ, giỏi khinh công ám khí, nếu được giúp đỡ sẽ có thể trì hoãn tiến độ của chúng!	Đến [FFFE0D]Đường Môn[-]	Đến [FFFE0D]Đường Môn[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2022	2024				1	1	2023			BasicExp|10			5	1													
2024	WLDS1_25	Mùa Thu Lâm An	Đây là nơi liên lạc với Đường Môn, hy vọng họ sẽ giúp đỡ chúng ta!	Nhờ [FFFE0D]Đường Môn[-] giúp đỡ	Nhờ [FFFE0D]Đường Môn[-] giúp đỡ	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2023	2025				1	1	2024			BasicExp|10			5	1													
2025	WLDS1_26	Mùa Thu Lâm An	Nga Mi thiên về nội công trị liệu, là một trong những môn phái mạnh trong giang hồ.	Đến [FFFE0D]Nga Mi[-]	Đến [FFFE0D]Nga Mi[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2024	2026				1	1	2025			BasicExp|10			5	1													
2026	WLDS1_27	Mùa Thu Lâm An	Đây là nơi liên lạc với Nga Mi, theo truyền thống cứu thế của họ, chắc sẽ xuất phát ngay!	Nhờ [FFFE0D]Nga Mi[-] giúp đỡ	Nhờ [FFFE0D]Nga Mi[-] giúp đỡ	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2025	2027				1	1	2026			BasicExp|10			5	1													
2027	WLDS1_28	Mùa Thu Lâm An	Võ học Thúy Yên hoa lệ phức tạp, giỏi thuật thuần thú...Ai đó, ra đây mau!	Đến [FFFE0D]Thúy Yên[-]	Đến [FFFE0D]Thúy Yên[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2026	2028				1	1	2027			BasicExp|10			5	1													
2028	WLDS1_29	Mùa Thu Lâm An	Đáng ghét! Không ngờ ở đây lại có tay sai quân Kim, bọn người Trung Thổ này bán nước cầu vinh, không tha được!	Giáo huấn [FFFE0D]Lục Lâm[-]	Giáo huấn [FFFE0D]Lục Lâm[-]	[url=npcanddosomething:test, 1027, 408, autofight, 1]				2027	2029				1					BasicExp|10;Coin|2000	1027|5	1	5	1	[url=dialog:test, 2007]												
2029	WLDS1_30	Mùa Thu Lâm An	Chúng biết chúng ta sẽ nhờ giúp đỡ, có ý đánh lén giữa đường để ta không thể thông báo các môn phái lớn, phải nhanh chóng đến Thúy Yên!	Đến [FFFE0D]Thúy Yên[-]	Đến [FFFE0D]Thúy Yên[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2028	2030				1	1	2029			BasicExp|10			5	1													
2030	WLDS1_31	Mùa Thu Lâm An	Đây chính là nơi liên lạc Thúy Yên, nếu được họ giúp đỡ, việc hộ tống sẽ ổn thỏa.	Nhờ [FFFE0D]Thúy Yên[-] giúp đỡ	Nhờ [FFFE0D]Thúy Yên[-] giúp đỡ	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2029	2031				1	1	2030			BasicExp|10			5	1	[url=dialog:test, 2030]												
2031	WLDS1_32	Mùa Thu Lâm An	Đã liên lạc xong, xem ra chỗ Long Ngũ tiên sinh cũng không khả quan nên cần chúng ta đi quấy nhiễu quân Kim, Nam Cung đại hiệp đi hành thích Hoàn Nhan Hồng Liệt là hành động lỗ mãng, nhưng có lẽ đây là cơ hội, tuy nhiên ta phải triệu tập thêm đồng hành!	[FFFE0D]【Tổ đội】[-] vượt qua Long Đàm Hổ Huyệt	[FFFE0D]【Tổ đội】[-] vượt qua Long Đàm Hổ Huyệt	[url=doShowWldsTip:x]	[url=doShowWldsTip:x]			2030	2032				1					BasicExp|10			5	1						WLDS_TeamFuben_1							
2032	WLDS1_33	Mùa Thu Lâm An	Đã hoàn thành nhiệm vụ Long Ngũ tiên sinh giao, kế tiếp đến Lâm An Tiểu Đạo gặp Sương Nhi Cô Nương, mong họ đều thuận lợi.	Đến [FFFE0D]Lâm An Tiểu Đạo[-]	Đến [FFFE0D]Lâm An Tiểu Đạo[-]	[url=pos:test, 472, 2500, 5900]	[url=pos:test, 472, 2500, 5900]			2031	2033				1					BasicExp|10			5	1					472								
2033	WLDS1_34	Mùa Thu Lâm An	Địa hình nơi đây hiểm trở có lợi cho việc phục kích, phải đề phòng, người Kim sẽ không để chúng ta về Lâm An Thành dễ dàng.	Hộ tống [FFFE0D]Linh Khu của Ngu Doãn Văn[-] về Lâm An	Hộ tống [FFFE0D]Linh Khu của Ngu Doãn Văn[-] về Lâm An	[url=goanddosomething:test, 472, 2600, 5700, gotofuben, 500, 2, 1]				2032	2034			500|2|1	1					BasicExp|30			5	1													
2034	WLDS1_35	Mùa Thu Lâm An	May là đã đưa được xe ngựa về Lâm An, nhưng nguy cơ vẫn còn đó, phải hỏi Long Ngũ tiên sinh kế tiếp phải làm sao.	Về báo với [FFFE0D]Long Ngũ[-]	Về báo với [FFFE0D]Long Ngũ[-]	[url=npc:testtt,$F,472]	[url=npc:testtt,$F,472]			2033	2500	2033	2746		1					BasicExp|10			5	1													
