Type	Faction	SkillBookID	DESC
7	3	2738	Bí Kíp Hỏa Phượng Liêu Nguyên-Trung
8	3	2739	Bí Kíp Xuyên Vân Phá Nguyệt-Trung
5	4	2736	Bí Kíp Bạch Hồng Quán Nhật-Trung
6	4	2733	Bí Kíp Thất Thám Xà Bàn-Trung
7	4	2734	Bí Kíp Đẩu Chuyển Tinh Di-Trung
8	4	2735	Bí Kíp Phong Quyển Tàn Vân-Trung
5	5	2741	Bí Kíp Vô Ngã Vô Kiếm-Trung
6	5	2743	Bí Kíp Thiên Địa Vô Cực-Trung
7	5	2742	Bí Kíp Tọa Vọng Vô Ngã-Trung
8	5	2744	Bí Kíp Nhân Kiếm Hợp Nhất-Trung
5	6	2748	Bí Kíp Tử Vong Hồi Toàn-Trung
6	6	2745	Bí Kíp Ma Diệm Tại Thiên-Trung
7	6	2746	Bí Kíp Huyết Nguyệt Chi Ảnh-Trung
8	6	2747	Bí Kíp Nhiếp Hồn Loạn Tâm-Trung
5	7	2751	Bí Kíp Hàng Long Côn-Trung
6	7	2752	Bí Kíp Đại Lực Kim Cang Chỉ-Trung
7	7	2753	Bí Kíp Kim Cang Phục Ma-Trung
8	7	2754	Bí Kíp Thập Nhị Cầm Long Thủ-Trung
5	8	2755	Bí Kíp Tuyền Cơ La Vũ-Trung
6	8	2756	Bí Kíp Vũ Đả Lê Hoa-Trung
7	8	2757	Bí Kíp Triệu Hồi Bảo Bảo-Trung
8	8	2758	Bí Kíp Băng Tung Vô Ảnh-Trung
5	9	3275	Bí Kíp Triền Thân Thích-Trung
6	9	3276	Bí Kíp Bạo Vũ Lê Hoa-Trung
7	9	3277	Bí Kíp Mê Ảnh Tung-Trung
8	9	3278	Bí Kíp Cửu Cung Phi Tinh-Trung
5	10	3279	Bí Kíp Tiên Nhân Chỉ Lộ-Trung
6	10	3280	Bí Kíp Tiếu Phong Tam Liên Kích-Trung
7	10	3281	Bí Kíp Hỗn Độn Kiếm Trận-Trung
8	10	3282	Bí Kíp Lôi Động Cửu Thiên-Trung
5	11	4029	Bí Kíp Hàng Long Hữu Hối-Trung
6	11	4030	Bí Kíp Khốn Long Công-Trung
7	11	4031	Bí Kíp Túy Điệp Cuồng Vũ-Trung
8	11	4032	Bí Kíp Long Chiến Vu Dã-Trung
5	12	4033	Bí Kíp Âm Phong Thực Cốt-Trung
6	12	4034	Bí Kíp Triệu Hồi Độc Trùng-Trung
7	12	4035	Bí Kíp Mê Tâm Cổ-Trung
8	12	4036	Bí Kíp Vạn Cổ Thực Tâm-Trung
5	13	5209	Bí Kíp Đoạn Triều-Trung
6	13	5210	Bí Kíp Tâm Kiếm-Trung
7	13	5211	Bí Kíp Ngọc Tuyền Ngư Dược-Trung
8	13	5212	Bí Kíp Phong Tháp Vân Cảnh-Trung
5	14	5213	Bí Kíp Bình Sa Nhạn Lạc-Trung
6	14	5214	Bí Kíp Vân Sinh Kết Hải-Trung
7	14	5215	Bí Kíp Thanh Âm Trường Khiếu-Trung
8	14	5216	Bí Kíp Giang Trục Nguyệt Thiên-Trung
5	15	6678	Bí Kíp Phi Yến Lăng Ba-Trung
6	15	6679	Bí Kíp Ngân Bình Ngọc Toái-Trung
7	15	6680	Bí Kíp Không Sơn Ngưng Vân-Trung
8	15	6681	Bí Kíp Thủy Long Ngâm-Trung
5	16	7524	Bí Kíp Hóa Huyết Kiếp Quang-Trung
6	16	7525	Bí Kíp Hiệp Sơn Siêu Hải-Trung
7	16	7526	Bí Kíp Nghịch Huyết Tiệt Mạch-Trung
8	16	7527	Bí Kíp Dục Huyết Đạo Phong-Trung
5	17	8449	Bí Kíp Tiêu Sử Thừa Long-Trung
6	17	8450	Bí Kíp Thiên Thân Đảo Huyền-Trung
7	17	8451	Bí Kíp Triều Dương Kiếm Khí-Trung
8	17	8452	Bí Kíp Phong Tống Tử Hà-Trung
5	18	9883	Bí Kíp Phần Sơn Phệ Xuyên-Trung
6	18	9884	Bí Kíp Điện Quang Thạch Hỏa-Trung
7	18	9885	Bí Kíp Hỏa Quang Tàn Ảnh-Trung
8	18	9886	Bí Kíp Hủy Thiên Diệt Địa-Trung
5	19	10541	Bí Kíp Nhất Dương Chỉ-Trung
6	19	10542	Bí Kíp Ngũ La Khinh Yên-Trung
7	19	10543	Bí Kíp Lục Mạch Thần Kiếm-Trung
8	19	10544	Bí Kíp Thủy Long Ngục-Trung
5	20	11277	Bí Kíp Chấp Dĩnh Điểm Mặc-Trung
6	20	11278	Bí Kíp Lan Tồi Ngọc Chiết-Trung
7	20	11279	Bí Kíp Mặc Hổ Như Sinh-Trung
8	20	11280	Bí Kíp Hội Hổ Điểm Tình-Trung
9	1	3317	Bí Kíp Nhất Kích Sát Thần-Cao
10	1	3318	Bí Kíp Huyết Chiến Bát Phương-Cao
11	1	3320	Bí Kíp Kim Chung Tráo-Cao
12	1	3319	Bí Kíp Bá Vương Nộ Hống-Cao
9	2	3324	Bí Kíp Giang Hải Ngưng Ba-Cao
10	2	3321	Bí Kíp Thiên Vũ Bảo Luân-Cao
11	2	3322	Bí Kíp Từ Hàng Phổ Độ-Cao
12	2	3323	Bí Kíp Bạch Lộ Ngưng Sương-Cao
9	3	3329	Bí Kíp Phi Hỏa Lưu Tinh-Cao
10	3	3332	Bí Kíp Cửu Diệu Liên Châu-Cao
11	3	3330	Bí Kíp Hỏa Phượng Liêu Nguyên-Cao
12	3	3331	Bí Kíp Xuyên Vân Phá Nguyệt-Cao
9	4	3328	Bí Kíp Bạch Hồng Quán Nhật-Cao
10	4	3325	Bí Kíp Thất Thám Xà Bàn-Cao
11	4	3326	Bí Kíp Đẩu Chuyển Tinh Di-Cao
12	4	3327	Bí Kíp Phong Quyển Tàn Vân-Cao
9	5	3333	Bí Kíp Vô Ngã Vô Kiếm-Cao
10	5	3335	Bí Kíp Thiên Địa Vô Cực-Cao
11	5	3334	Bí Kíp Tọa Vọng Vô Ngã-Cao
12	5	3336	Bí Kíp Nhân Kiếm Hợp Nhất-Cao
9	6	3340	Bí Kíp Tử Vong Hồi Toàn-Cao
10	6	3337	Bí Kíp Ma Diệm Tại Thiên-Cao
11	6	3338	Bí Kíp Huyết Nguyệt Chi Ảnh-Cao
12	6	3339	Bí Kíp Nhiếp Hồn Loạn Tâm-Cao
9	7	3341	Bí Kíp Hàng Long Côn-Cao
10	7	3342	Bí Kíp Đại Lực Kim Cang Chỉ-Cao
11	7	3343	Bí Kíp Kim Cang Phục Ma-Cao
12	7	3344	Bí Kíp Thập Nhị Cầm Long Thủ-Cao
9	8	3345	Bí Kíp Tuyền Cơ La Vũ-Cao
10	8	3346	Bí Kíp Vũ Đả Lê Hoa-Cao
11	8	3347	Bí Kíp Triệu Hồi Bảo Bảo-Cao
12	8	3348	Bí Kíp Băng Tung Vô Ảnh-Cao
9	9	3349	Bí Kíp Triền Thân Thích-Cao
10	9	3350	Bí Kíp Bạo Vũ Lê Hoa-Cao
11	9	3351	Bí Kíp Mê Ảnh Tung-Cao
12	9	3352	Bí Kíp Cửu Cung Phi Tinh-Cao
9	10	3353	Bí Kíp Tiên Nhân Chỉ Lộ-Cao
10	10	3354	Bí Kíp Tiếu Phong Tam Liên Kích-Cao
11	10	3355	Bí Kíp Hỗn Độn Kiếm Trận-Cao
12	10	3356	Bí Kíp Lôi Động Cửu Thiên-Cao
9	11	4037	Bí Kíp Hàng Long Hữu Hối-Cao
10	11	4038	Bí Kíp Khốn Long Công-Cao
11	11	4039	Bí Kíp Túy Điệp Cuồng Vũ-Cao
12	11	4040	Bí Kíp Long Chiến Vu Dã-Cao
9	12	4041	Bí Kíp Âm Phong Thực Cốt-Cao
10	12	4042	Bí Kíp Triệu Hồi Độc Trùng-Cao
11	12	4043	Bí Kíp Mê Tâm Cổ-Cao
12	12	4044	Bí Kíp Vạn Cổ Thực Tâm-Cao
9	13	5217	Bí Kíp Đoạn Triều-Cao
10	13	5218	Bí Kíp Tâm Kiếm-Cao
11	13	5219	Bí Kíp Ngọc Tuyền Ngư Dược-Cao
12	13	5220	Bí Kíp Phong Tháp Vân Cảnh-Cao
9	14	5221	Bí Kíp Bình Sa Nhạn Lạc-Cao
10	14	5222	Bí Kíp Vân Sinh Kết Hải-Cao
11	14	5223	Bí Kíp Thanh Âm Trường Khiếu-Cao
12	14	5224	Bí Kíp Giang Trục Nguyệt Thiên-Cao
9	15	6682	Bí Kíp Phi Yến Lăng Ba-Cao
10	15	6683	Bí Kíp Ngân Bình Ngọc Toái-Cao
11	15	6684	Bí Kíp Không Sơn Ngưng Vân-Cao
12	15	6685	Bí Kíp Thủy Long Ngâm-Cao
9	16	7528	Bí Kíp Hóa Huyết Kiếp Quang-Cao
10	16	7529	Bí Kíp Hiệp Sơn Siêu Hải-Cao
11	16	7530	Bí Kíp Nghịch Huyết Tiệt Mạch-Cao
12	16	7531	Bí Kíp Dục Huyết Đạo Phong-Cao
9	17	8453	Bí Kíp Tiêu Sử Thừa Long-Cao
10	17	8454	Bí Kíp Thiên Thân Đảo Huyền-Cao
11	17	8455	Bí Kíp Triều Dương Kiếm Khí-Cao
12	17	8456	Bí Kíp Phong Tống Tử Hà-Cao
9	18	9887	Bí Kíp Phần Sơn Phệ Xuyên-Cao
10	18	9888	Bí Kíp Điện Quang Thạch Hỏa-Cao
11	18	9889	Bí Kíp Hỏa Quang Tàn Ảnh-Cao
12	18	9890	Bí Kíp Hủy Thiên Diệt Địa-Cao
9	19	10545	Bí Kíp Nhất Dương Chỉ-Cao
10	19	10546	Bí Kíp Ngũ La Khinh Yên-Cao
11	19	10547	Bí Kíp Lục Mạch Thần Kiếm-Cao
12	19	10548	Bí Kíp Thủy Long Ngục-Cao
9	20	11281	Bí Kíp Chấp Dĩnh Điểm Mặc-Cao
10	20	11282	Bí Kíp Lan Tồi Ngọc Chiết-Cao
11	20	11283	Bí Kíp Mặc Hổ Như Sinh-Cao
12	20	11284	Bí Kíp Hội Hổ Điểm Tình-Cao
