GameFormat	MinRank	MaxRank	AllAward	RedBagKey	MailConent
3	2	2	BasicExp|900;Item|6012|20;AddTimeTitle|7118|15768000;Item|6011|1	wldh_top4;wldh_g_top4	Chiến đội đã đoạt [FFFE0D]Á Quân Tứ Đấu[-], Võ Lâm Minh Chủ đặc biệt ban thưởng, hãy nhận lấy!
3	3	3	BasicExp|850;Item|6012|16;AddTimeTitle|7118|15768000	wldh_top4;wldh_g_top4	Chiến đội đã đoạt [FFFE0D]Quý Quân Tứ Đấu[-], Võ Lâm Minh Chủ đặc biệt ban thưởng, hãy nhận lấy!
3	4	4	BasicExp|800;Item|6012|14;AddTimeTitle|7118|15768000	wldh_top4;wldh_g_top4	Chiến đội đã đoạt [FFFE0D]Hạng 4 Tứ Đấu[-], Võ Lâm Minh Chủ đặc biệt ban thưởng, hãy nhận lấy!
3	5	16	BasicExp|700;Item|6012|12;AddTimeTitle|7117|15768000	wldh_top16	Chiến đội đã lọt vào [FFFE0D]Top 16 Tứ Đấu[-], Võ Lâm Minh Chủ đặc biệt ban thưởng, hãy nhận lấy!
3	17	40	BasicExp|650;Item|6012|10;AddTimeTitle|7116|15768000	wldh_elite	Chiến đội đã lọt vào [FFFE0D]Top 40 Tứ Đấu[-], Võ Lâm Minh Chủ đặc biệt ban thưởng, hãy nhận lấy!
3	41	80	BasicExp|600;Item|6012|9;AddTimeTitle|7116|15768000	wldh_elite	Chiến đội đã lọt vào [FFFE0D]Top 80 Tứ Đấu[-], Võ Lâm Minh Chủ đặc biệt ban thưởng, hãy nhận lấy!
3	81	150	BasicExp|550;Item|6012|7;AddTimeTitle|7115|15768000		Đại Hội Võ Lâm-Tứ Đấu đã kết thúc, nhận thưởng đóng góp cho chiến đội, hãy chú ý nhận.
3	151	300	BasicExp|500;Item|6012|6;AddTimeTitle|7115|15768000		Đại Hội Võ Lâm-Tứ Đấu đã kết thúc, nhận thưởng đóng góp cho chiến đội, hãy chú ý nhận.
3	301	500	BasicExp|480;Item|6012|4;AddTimeTitle|7115|15768000		Đại Hội Võ Lâm-Tứ Đấu đã kết thúc, nhận thưởng đóng góp cho chiến đội, hãy chú ý nhận.
3	501	100000	BasicExp|480;Item|6012|2;AddTimeTitle|7115|15768000		Đại Hội Võ Lâm-Tứ Đấu đã kết thúc, nhận thưởng đóng góp cho chiến đội, hãy chú ý nhận.
