MissileId	MissileName	MoveKind	Speed	DmgRangeType	DmgRange	DmgRangeY	IgnoreDmgRange	DmgInterval	LifeTime	DelayDeleteFrame	IsDmgVanish	CanRepeatDmg	MissileResID	CollResID	DmgRangeSpeed	IsDrag	PosOffsetLenght	IsNoChangeDir	MissRate	CollSoundID	FlySoundID	VanishSoundID	ColFollowTarget	AcceSpeed	CollBrigth	CollBrigthFrame	IsIgnoreBarrier	AutoExplode	VanishResID	MissileHeight	HeightSpeed	EnemyResID	IsRepresent	IsChildInheritDir	MissileParam1	MissileParam2	MissileParam3	MissileParam1Des	MissileParam2Des	MissileParam3Des	IsChildInheritPowerAdd	IsNotHeightSpeed	InheritPos	IsHitFloat
88	npc-Khống chế nhóm tầm xa 1_Sát thương Hỏa	0	0	1	10				3					3026																														
89	npc-Khống chế nhóm tầm xa 1_Sát thương Phong	0	0	1	10				3					3027																														
90	Khô Lâu Vương Đao Quang	0	0	0	18				5					3026			250			15090					1000	3	1																	
92	Khô Lâu Vương Xung Kích	1	100	0	8				30					3026			100										1																	
93	Khô Lâu Vương Giảo Sát	0	0	1	34				45				92				0																											
94	Khô Lâu Vương Giảo Sát_Phụ	0	0	1	34				3					3026			0																											
95	Báo động đỏ thường_Bán kính 4,5m	0	0	1	34				38				95														1																	
96	Báo động đỏ thường_Chữ nhật 8x4,5m	0	0	0	11				30				96														1																	
97	Báo động đỏ thường_Hình quạt 90 độ 3m	0	0	0	11				30				97														1																	
101	Thử Nghiệm-Đánh Bay	0	0	0	8				3					3024			100								1000	3																		
102	Thử Nghiệm-Tử Vong Đặc Biệt-Đóng Băng	0	0	0	8				3					3024			100								1000	3																		
103	Khô Lâu Vương Xung Kích_Hiệu quả	0	0	0	8			15	30				92				100										1																	
106	npc-Cầu sáng thẳng tầm xa_Thổ	1	60	0	3				11		1		106	3024										5																				
110	Đao Kích	0	0	0	8				3					3024			100						1		1000	3	1																	
111	Man Hoành Bá Đạo_Sát thương	1	140	0	12				6					3027			110										0																	
112	Man Hoành Bá Đạo_Hiệu quả	0	0	0	6				30				18				0										1																	
113	Thần Lực	0	0	0	20				5					3027											1000	3																		
115	Vạn Tượng Thiên Dẫn	0	0	0	30				3		1																																	
116	Vạn Tượng Thiên Dẫn_Phụ	0	0	0	30				2		1			3024											1000	3																		
117	Kiếm Kích	0	0	0	14				3					3024			150								1000	3	1																	
118	Xà Hạc Quyền	0	0	0	30				3		1																																	
119	Cuồng Kiếm Quyết	0		0	6				4				119				500										1																	
120	Cuồng Kiếm Quyết_Phụ 1	1	100	0	6				5				119				-500							10			1																	
121	Cuồng Kiếm Quyết_Phụ 2	0	0	0	28				3					3024													1																	
122	Kim Xà Kiếm Pháp	0	0	0	14				20				122				250										1																	
123	Kim Xà Kiếm Pháp_Phụ 1	0	0	0	14				20				123				250										1																	
124	Kim Xà Kiếm Pháp_Phụ 2 	0	0	0	14				20				124				250										1																	
126	Thần Hành Bách Biến_Phụ 1	1	120	0	8				6				126														1																	
127	Thần Hành Bách Biến_Phụ 2	0	0	0	0				25				6508																															
129	Tiễn Thuật	1	100	1	5				10				129	3403										30			1																	
130	Tiễn Vô Hư Phát	2	50	1	3				30		1		130	4130			100																											
131	Tiễn Vô Hư Phát_Phụ	0	0	1	20				3					3401			100								1000	3	1																	
132	Liên Hoàn Tiễn	1	100	1	5			1	12		1		132	3401																														
133	Thiết Kỵ Đột Tập	1	100	1	4				30				132	3403			100										1																	
134	Vạn Tiễn Tề Phát	0	0	1	60				3																		1																	
135	Vạn Tiễn Tề Phát_Phụ	0	0	1	6			6	25				135	3401				1							1000	3	1																	
136	Phần Tinh Lạc Vũ	1	60	0	3				15			1					-100																											
137	Phần Tinh Lạc Vũ_Phụ 1	1	20	0	3				10			1																																
138	Phần Tinh Lạc Vũ_Phụ 2	0	0	0	10				25				138																															
139	Phần Tinh Lạc Vũ_Phụ 3	0	0	0	6				150		1		139																															
140	Thương Pháp	0	0	0	9				6					3501			120								1000	3	1																	
141	Sa Thải	1	60	1	5				10				401											30			1																	
142	Hoành Tảo Thiên Quân	0	0	0	20				5					3027											1000	3																		
144	Quán Nhật Thương_Phụ	1	120	0	6				6					3027			110								1000	3	0																	
146	Cắn xé	0	0	0	5				3					146											1000	3																		
147	Tiềm Thổ Đột Thích	0	0	1	10				10					3401											1000	3																		
148	Lang Vương Địa Liệt	1	180	1	5				3															30			1																	
150	Xé Toạc_Phụ 1	0	0	0	5				2		1			3022																														
151	Xé Toạc_Phụ 2	0	0	0	0				25				6508																															
152	Tiềm Thổ Đột Thích_Hiệu quả	0	0	0	3				30				1827														1																	
153	Giác Kích	0	0	0	5				10					342												3																		
154	Xoáy Nước	0	0	1	20			15	61			1	154	3025		1										3																		
156	Hàn Băng Xung Đỉnh_Phụ	0	0	1	16				3					342			50									3	1																	
157	Cắn xé	0	0	0	5				10					146												3																		
160	Vẫy Đuôi	1	60	1	7				20				160	3027			80							10			1																	
162	Phong Nhẫn Vũ	0	0	1	25				5					3027												3																		
163	Ảnh Phong Trảm	1	60	1	5				20				163														1																	
164	Long Quyển Hô Khiếu	1	30	1	5				60				62				80										1																	
165	Thiên Hỏa Liệt Trảo	0	0	0	9				6					165			120									3	1																	
166	NPC-Đánh đơn cận chiến 3_Đao Quang Kim	0	0	0	1				3					166																														
167	NPC-Đánh đơn cận chiến 3_Đao Quang Thủy	0	0	0	1				3					167																														
168	NPC-Đánh đơn cận chiến 3_Đao Quang Hỏa	0	0	0	1				3					168																														
169	NPC-Đánh đơn cận chiến 3_Đao Quang Mộc	0	0	0	1				3					169																														
170	NPC-Đánh đơn cận chiến 3_Đao Quang Thổ	0	0	0	1				3					170																														
171	Lang Vương Địa Liệt_Hiệu quả	0	0	0	6				30				148				250										1																	
172	Ảnh Phong Trảm_Phụ 1	1	60	0	8				20																		1																	
173	Ảnh Phong Trảm_Phụ 2	0	0	1	5				20				173														1																	
174	npc-Đánh đơn cận chiến_Địa	0	0	0	1				3					3024																														
175	npc-Đánh đơn cận chiến_Thủy	0	0	0	1				3					3025																														
176	npc-Đánh đơn cận chiến_Hỏa	0	0	0	1				3					3026																														
177	npc-Đánh đơn cận chiến_Phong	0	0	0	1				3					3027																														
178	Quần Thể Đao Trọng Kích	0	0	1	10				20				178				0																											
179	Quần Thể Đao Trọng Kích_Phụ	0	0	1	10				3								0																											
180	Quần Thể Trọng Kích	0	0	1	10				3					180																														
181	Tự Nổ	0	0	1	8				3																																			
182	Cung Tên	1	120	0	3				9				182	3401										10			1																	
183	Phần Tinh Lạc Vũ_Phụ 4	0	0	0	10				25				4139																															
184	Phần Tinh Lạc Vũ_Phụ 5	0	0	0	10				3																																			
187	Liệt Diệm Bôn Tập_Sát thương	1	140	0	12				6					3026			110										0																	
188	Liệt Diệm Bôn Tập_Hiệu quả	0	0	0	6				20				52				0										1																	
196	Giao Thoa Đao Quang_Kim	1	70	0	5				14				196	166													1																	
201	Thiên Vương Chùy Pháp	0	0	0	13				3					3024			126			6201					1000	3	1																	
202	Thiên Vương Chùy Pháp 2	0	0	0	13				3					3024			126			6201					1000	3	1																	
203	Thiên Vương Chùy Pháp 3	0	0	0	13				3					3024			126			6201					1000	3	1																	
204	Thiên Vương Chùy Pháp 4	0	0	0	13				3					3024			126			6201					1000	3	1																	
207	Nhất Kích Sát Thần_Phụ	0	0	0	14				3					3024											1000	3	1																	
208	Bá Vương Nộ Hống	0	0	1	26				3					3024											1000	3	1																	
211	Huyết Chiến Bát Phương_Phụ 1	0	0	1	20				3					3024											1000	3	1																	
214	Nhật Nguyệt Sơn Hà Toái	0	0	0	32				70					3024													1						1											
215	Nhật Nguyệt Sơn Hà Toái_Phụ	0	0	0	64				50		1			3024											1000	3	1																	
223	Khí Cái Bát Hoang_Phụ	0	0	0	2				3		1			3024																														
246	Khí Cái Bát Hoang	0	0	0	64				2																																			
247	Khí Cái Bát Hoang_Đồng đội	0	0	0	64				2																																			
251	Lực Bạt Sơn Hà	0	0	0	30				3		1																																	
252	Lực Bạt Sơn Hà_Phụ	0	0	0	30				2		1			3024											1000	3																		
261	Thiếu Lâm Côn Pháp	0	0	0	13				3					3261			126			5805					1000	3	1																	
262	Thiếu Lâm Côn Pháp 2	0	0	0	13				3					3261			126			5805					1000	3	1																	
263	Thiếu Lâm Côn Pháp 3	0	0	1	26				3					3263						5805					1000	3	1																	
264	Thiếu Lâm Côn Pháp 4	0	0	1	26				3					3263						5805					1000	3	1																	
266	Hàng Long Côn	1	750	0	13				2					3024	1										1000	3	1																	
268	Đại Lực Kim Cang Chỉ	0	0	0	13				5					3268											1000	3	1																	
272	Thập Nhị Cầm Long Thủ	0	0	1	26				3					3024											1000	3	1																	
274	La Hán Trận_Phụ	0	0	1	20				3	12			275	3024						5810					1000	3	1																	
283	Nhật Nguyệt Sơn Hà Toái	0	0	0	32				70					3024													1						1											
284	Nhật Nguyệt Sơn Hà Toái_Phụ	0	0	0	64				50		1			3024											1000	3	1																	
286	Hàng Long Côn-Hiệu Ứng 1	0	0	0	5				30				286				50										1						1											
287	Hàng Long Côn-Hiệu Ứng 2	0	0	0	5				30				287				250										1						1											
288	Hàng Long Côn-Hiệu Ứng 3	0	0	0	5				30				288				500										1						1											
290	Kim Cang Nộ Mục_Hiệu ứng	0	0	1	20				30				281														1																	
297	Bí kíp Thập Nhị Cầm Long Thủ_Phụ	0	0	1	26				3					3024													1																	
299	La Hán Kim Thân_Phụ	2	200	1	5				2		1																																	
301	Nga Mi Kiếm Pháp	1	120	0	10				5				3301	341						5305				10	1000	3	1																	
302	Nga Mi Kiếm Pháp 2	1	120	0	10				5				3302	341						5305				10	1000	3	1																	
303	Nga Mi Kiếm Pháp 3	1	120	0	10				5				3303	342						5305				10	1000	3	1																	
304	Nga Mi Kiếm Pháp 4	1	120	0	10				5				3304	342						5305				10	1000	3	1																	
305	Nga Mi Kiếm Pháp 4_Phụ	1	120	0	10				5				3304											10			1																	
306	Từ Hàng Phổ Độ	2	250	1	8				75				306														1																	1
307	Từ Hàng Phổ Độ_Hiệu quả	0	0	1	8				3		1																1																	1
308	Bạch Lộ Ngưng Sương	2	60	1	5				30			1	308	3308			150			5309					1000	3	1																	
310	Giang Hải Ngưng Ba	1	90	1	14				10				310				280										1						1											
311	Giang Hải Ngưng Ba_Phụ	1	90	1	14				10					3025			80			5311					1000	3	1																	
312	Thiên Vũ Bảo Luân	0	0	1	26			15	90			1	313	3312													1					6312												
313	Thiên Vũ Bảo Luân_Phụ 1	0	0	1	26				3					3313						5313					1000	3	1																	
319	Miên Lý Tàng Châm_Phụ 2	0	0	1	20				3					3025													1																	
321	Huyền Băng Vô Tức_Phụ	0	0	1	12				3					3025													1																	
322	Huyền Băng Vô Tức_Hiệu ứng	0	0	1	12				15				1837														1																	
324	Kiếm Pháp-Cao_Sát thương	1	120	0	10				5					342						5305				10	1000	3	1																	
326	Hủy bỏ	0	0	0	1				2																																			
327	Lục Đạo Luân Hồi_Phụ 2	0	0	0	1				2																																			
336	Lục Đạo Luân Hồi_Suy yếu	0	0	0	1				2																																			
337	Lục Đạo Luân Hồi_Hỗn loạn	0	0	0	1				2																																			
338	Lục Đạo Luân Hồi_Bất lực	0	0	0	1				2																																			
339	Lục Đạo Luân Hồi_Làm Chậm	0	0	0	1				2																																			
340	Lục Đạo Luân Hồi_Đóng Băng	0	0	0	1				2																																			
341	Phật Tâm Từ Hựu	0	0	0	64				2																																			
342	Phật Tâm Từ Hựu_Đồng đội	0	0	0	64				2																																			
345	Hủy bỏ	0	0	0	64				2																																			
346	Băng Phách Hồng Liên Kiếp	0	0	0	64				15					3025	1										1000	3																		
348	Băng Phách Hồng Liên Kiếp_Hiệu Quả 1	0	0	0	6				15				349				150										1						1											
349	Băng Phách Hồng Liên Kiếp_Hiệu Quả 2	0	0	0	6				15				348				270										1						1											
350	Băng Phách Hồng Liên Kiếp_Hiệu Quả 3	0	0	0	6				15				348				390										1						1											
351	Băng Phách Hồng Liên Kiếp_Hiệu Quả 4	0	0	0	6				15				347				510										1						1											
352	Băng Phách HồngLiên Kiếp_Hiệu Quả 5	0	0	0	6				15				346				630										1						1											
353	Băng Phách Hồng Liên Kiếp_Hiệu Quả 6	0	0	0	6				15				346				750										1						1											
354	Băng Phách Hồng Liên Kiếp_Hiệu Quả 7	0	0	0	6				20				346				750										1						1											
355	Băng Phách Hồng Liên Kiếp_Hiệu Quả 8	0	0	0	6				20				346				850										1						1											
362	Thiên Vũ Bảo Luân_Phụ 2-Bỏ	0	0	1	26			7	150			1																																
364	Miên Lý Tàng Châm_Hiệu ứng	0	0	1	20				30				364												1000	3	1																	
401	Đào Hoa Tiễn Thuật 1	1	150	0	10				6				401	3401						5405				30	1000	3	1																	
402	Đào Hoa Tiễn Thuật 2	1	150	0	10				6				402	3402						5405				30	1000	3	1																	
403	Đào Hoa Tiễn Thuật 3	1	150	0	10				6				402	3402						5405				30	1000	3	1																	
404	Đào Hoa Tiễn Thuật 4	1	150	0	10				6				403	3403						5405				30	1000	3	1																	
407	Phi Hỏa Lưu Tinh	1	750	0	20				2					3407						5408					1000	3	1																	
408	Phi Hỏa Lưu Tinh_Biểu hiện	1	60	0	6				13				407				200							60			1						1											
410	Cửu Diệu Liên Châu	0		1	15				3	23			410	3026																														
411	Cửu Diệu Liên Châu_Phụ	0	0	1	15			3	16			1		3026						5411					1000	3																		
412	Xuyên Vân Phá Nguyệt	1	200	0	15				6					3412						5413			1		1000	3	1																	
435	Xuyên Vân Phá Nguyệt_Biểu hiện 1-Cũ	0	0	0	15				11				435										1				1						1											
436	Xuyên Vân Phá Nguyệt_Biểu hiện 1-Mũi tên nhỏ	1	200	0	15				6				436				-100						1				1						1											
437	Xuyên Vân Phá Nguyệt_Hiệu quả phụ 2-Cũ	0	0	0	15				11				437										1				1						1											
438	Xuyên Vân Phá Nguyệt_Biểu hiện 2-Mũi tên lớn. Kích hoạt giảm chờ	1	200	0	15				6				412										1				1																	
440	Xuyên Vân Phá Nguyệt_Biểu hiện 3-Mũi tên lớn-Kéo đuôi	1	200	0	15				15				440										1				1						1											
415	Bích Lạc Hoàng Tuyền	0	0	0	64				2																																			
416	Bích Lạc Hoàng Tuyền_Đồng đội	0	0	0	64				2																																			
418	Phi Hỏa Lưu Tinh-Sơ_Phụ_Giải trừ và gây bỏng	0	0	1	2				2		1																																	
421	Bách Bộ Xuyên Dương_Sát thương	1	150	0	10				6					3403						5405				30	1000	3	1																	
422	Bách Bộ Xuyên Dương_Hiệu ứng đạn 3	1	150	0	10				6				403											30			1																	
427	Lạc Hoa Phần Tinh Diệm	1	60	0	3				11			1					-100										1						1											
428	Lạc Hoa Phần Tinh Diệm_Phụ 1	1	20	0	3				10			1															1						1											
429	Lạc Hoa Phần Tinh Diệm_Lạc Tiễn	0	0	0	10				6				428														1						1											
430	Lạc Hoa Phần Tinh Diệm_Sát thương	0	0	0	64			5	31			1		3026													1																	
431	Lạc Hoa Phần Tinh Diệm_Địa Liệt	0	0	0	10				23			1	3428														1						1											
444	Nghịch Chuyển Cửu Âm_Phụ. Đánh Lui, giảm tấn công	0	0	1	29				3	27			444	3026											1000	3	1																	
463	Nguyệt Lạc Tinh Trầm	2	150	1	3				30				412	3401											1000	3	1																1	
465	Phi Hỏa Lưu Tinh_Đánh Lui	1	500	0	20				2																1000	3	1																	
501	Tiêu Dao Thương Pháp 1	0	0	0	13				6					3501			126			5505					1000	3	1																	
502	Tiêu Dao Thương Pháp 2	0	0	0	13				6					3502			126			5505					1000	3	1																	
503	Tiêu Dao Thương Pháp 3	0	0	0	13				6					3503			126			5505					1000	3	1																	
504	Tiêu Dao Thương Pháp 4	0	0	0	13				6					3504			126			5505					1000	3	1																	
506	Đẩu Chuyển Tinh Di	0	0	0	5				12					506									1		1000	3	1																	
508	Thất Thám Xà Bàn_Phụ 1	0	0	0	5				2		1														1000	3	1																	
528	Thất Thám Xà Bàn_Phụ 2	0	0	0	0				25				507														1						1											
529	Thất Thám Xà Bàn_Phụ 3	0	0	0	0				25				6508														1						1											
511	Bạch Hồng Quán Nhật_Phụ 1	1	140	0	12				6					3027			110								1000	3																		
513	Phong Quyển Tàn Vân	0	0	1	25				5					3027											1000	3	1																	
518	Kinh Lôi Phá Thiên_Phụ	0	0	0	3				10					1314													1																	
520	Phong Quyển Tàn Vân-Sơ_Phụ 1_Tăng thêm Tàn Phế	0	0	0	5				10																																			
526	Đẩu Chuyển Tinh Di_Phụ	0	0	0	5				12														1				1																	
527	Hoàn Vũ Tiêu Dao Du	0	0	0	64				5					3027											1000	3	1																	
535	Hoàn Vũ Tiêu Dao Du_Sát thương	0	0	0	64				5					3027											1000	3	1																	
534	Tiêu Dao Thương Pháp 3-Đánh lui	0	0	0	10				6					3503			130								1000	3	1																	
601	Võ Đang Kiếm Pháp	0	0	0	13				6					3601			126			5605					1000	3	1																	
602	Võ Đang Kiếm Pháp 2	0	0	0	13				6					3602			126			5605					1000	3	1																	
603	Võ Đang Kiếm Pháp 3	0	0	0	13				6					3603			126			5605					1000	3	1																	
604	Võ Đang Kiếm Pháp 4	0	0	0	13				6					3604			126			5605					1000	3	1																	
606	Nhân Kiếm Hợp Nhất.Kiếm Phi Kinh Thiên 	1	200	0	10				6				3304	3601			-100								1000	3	1																	
609	Vô Ngã Vô Kiếm	0	0	1	20				6	39			609	3603			200			5605					1000	3	1																	
612	Nhân Kiếm Hợp Nhất-Sát thương	1	250	0	15				4	2			611	3603			-150			5605					1000	3	1																	
615	Thiên Địa Vô Cực	0	0	1	25				5	10			615	3615											1000	3	1																	
616	Thiên Địa Vô Cực. Sát thương đoạn 2	0	0	1	25				5	30			616	3615											1000	3	1																	
627	Thiên Địa Vô Cực-Sơ_Sát thương phạm vi bản thân	0	0	1	25				5					3615											1000	3	1																	
631	Vạn Kiếm Phong Thiên Quyết	1	60	0	3				11			1					-100										1																	
632	Vạn Kiếm Phong Thiên Quyết_Phụ 1	1	20	0	3				10			1															1																	
633	Vạn Kiếm Phong Thiên Quyết_Lạc Kiếm	0	0	0	10				15				633														1																	
634	Vạn Kiếm Phong Thiên Quyết_Sát thương	0	0	0	64			9	19			1		3603											1000	3	1																	
635	Vạn Kiếm Phong Thiên Quyết_Địa Liệt	0	0	0	10				23			1	635														1																	
645	Chân Võ Thất Tiệt	0	0	0	64				2																																			
646	Chân Võ Thất Tiệt_Đồng đội	0	0	0	64				2																																			
666	Thất Tinh Quyết-Bùa Chú phạm vi bản thân	0	0	1	25				5																1000	3	1																	
701	Thiên Nhẫn Thích Sát Thuật	0	0	0	13				3					3701			126			5705					1000	3	1																	
702	Thiên Nhẫn Thích Sát Thuật 2	0	0	0	13				3					3701			126			5705					1000	3	1																	
703	Thiên Nhẫn Thích Sát Thuật 3	0	0	0	13				3					3703			126			5705					1000	3	1																	
704	Thiên Nhẫn Thích Sát Thuật 4	0	0	0	13				3					3703			126			5705					1000	3	1																	
705	Ma Diệm Tại Thiên	3	0	1	25			7	225			1															1																	
707	Ma Diệm Tại Thiên_Phụ 2	2	50	0	10			1	15		1		707	3707							5708				1000	3	1																	
708	Tử Vong Hồi Toàn	2	135	1	12				16		1			3701			100							1	1000	3	1		3710															
709	Tử Vong Hồi Toàn_Phụ 1	2	135	1	1				16		1		708				150							1			1						1											
714	Huyết Nguyệt Chi Ảnh_Đánh Thường 1	0	0	0	13				3					3701			126			5705					1000	3	1																	
715	Huyết Nguyệt Chi Ảnh_Đánh Thường 2	0	0	0	13				3					3701			126			5705					1000	3	1																	
716	Huyết Nguyệt Chi Ảnh_Đánh Thường 3	0	0	0	13				3					3703			126			5705					1000	3	1																	
717	Huyết Nguyệt Chi Ảnh_Đánh Thường 4	0	0	0	13				3					3703			126			5705					1000	3	1																	
722	Nhiếp Hồn Loạn Tâm	2	250	1	20				74				722														1																	
723	Nhiếp Hồn Loạn Tâm_Phụ 1	0	0	1	20				5					3026		1									1000	3	1																	
738	Nhiếp Hồn Loạn Tâm_Phụ 2	2	250	1	20				10				3722														1																	
725	Hủy bỏ	0	0	1	15			10	26				410																															
726	Hủy bỏ	0	0	1	15				3					3026																														
740	Thiên Ma Ảnh Ảo Sát_Sát thương	0	0	0	64				3					3740											1000	3	1																	
771	Phi Hồng Vô Tích_Phụ	0	0	1	5				3		1																																	
801	Thúy Yên Ngự Tản Quyết	1	120	0	10				6				3801	6801						5905				10	1000	3	1																	
802	Thúy Yên Ngự Tản Quyết 2	1	120	0	10				6				3802	6801						5905				10	1000	3	1																	
803	Thúy Yên Ngự Tản Quyết 3	1	120	0	10				6				3803	6803						5905				10	1000	3	1																	
804	Thúy Yên Ngự Tản Quyết 4	1	120	0	10				6				3804	6803						5905				10	1000	3	1																	
805	Tuyền Cơ La Vũ_Phụ 1_Phụ. Tấn công đường thẳng	1	120	0	7				10				3805	6803						5905				10	1000	3	1																	
806	Tuyền Cơ La Vũ	1	100	1	9			1	7			1	806	342			100								1000	3	1																	
807	Tuyền Cơ La Vũ_Phụ 1. Duy trì dohitskill	0	0	1	72			10	121			1	807														1					6807												
