SkillId		MagicDesc
310	Giang Hải Ngưng Ba	Mỗi lần tấn công gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_waterdamage_v1[-] sát thương hệ Thủy, có [00ff00]state_slowall_attack1%[-] kèm [00ff00]state_slowall_attack2/15[-] giây Làm Chậm
308	Bạch Lộ Ngưng Sương	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_waterdamage_v1[-] sát thương hệ Thủy, có [00ff00]state_slowall_attack1%[-] kèm [00ff00]state_slowall_attack2/15[-] giây Làm Chậm
306	Từ Hàng Phổ Độ	Mỗi cách [00ff00]1[-] giây, hồi phục [00ff00]dir_recover_life_pp1/100%[-] sinh lực tối đa, duy trì [00ff00]5[-] giây
309	Kiếm Tâm Thông Minh	Vĩnh viễn tăng [00ff00]lifemax_p1%[-] sinh lực cơ bản, [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản, [00ff00]state_palsy_resistrate1[-] điểm kháng tỉ lệ tê liệt và [00ff00]runspeed_v1[-] di chuyển
312	Thiên Vũ Bảo Luân	Với kẻ địch trong trận mỗi [00ff00]0.5[-] giây gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_waterdamage_v1[-] điểm sát thương hệ Thủy, với đồng đội trong trận mỗi [00ff00]1[-] giây hồi phục [00ff00]dir_recover_life_pp1/100%[-] sinh lực tối đa. Trận pháp duy trì [00ff00]6[-] giây
317	Miên Lý Tàng Châm	Có [00ff00]userdesc_1011%[-] tỉ lệ kích hoạt Đánh Lui và mỗi [00ff00]recover_life_p2/15[-] giây bản thân hồi [00ff00]recover_life_p1%[-] sinh lực, duy trì [00ff00]skill_statetime1/15[-] giây, giãn cách thi triển [00ff00]userdesc_1021/15[-] giây
323	Kiếm Pháp-Cao	[Nga Mi Kiếm Pháp] tăng [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_waterdamage_v1[-] sát thương hệ Thủy
341	Phật Tâm Từ Hựu	Bản thân và đồng đội tăng [00ff00]resist_allseriesstate_rate_v1[-] kháng tỉ lệ thuộc tính, [00ff00]resist_allseriesstate_time_v1[-] kháng thời gian thuộc tính, [00ff00]resist_allspecialstate_rate_v1[-] kháng tỉ lệ bất lợi và [00ff00]resist_allspecialstate_time_v1[-] kháng thời gian bất lợi
343	Phật Pháp Vô Biên	Vĩnh viễn tăng [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản, [00ff00]lifemax_p1%[-] sinh lực cơ bản, [00ff00]attackspeed_v1[-] điểm tốc đánh, [00ff00]state_slowall_attackrate1[-] điểm tỉ lệ làm chậm và [00ff00]state_palsy_resisttime1[-] điểm kháng thời gian tê liệt
345	Băng Tâm Vân Thường	Tăng vĩnh viễn [00ff00]ignore_deadlystrike_vp1%[-] bỏ qua tỉ lệ bạo kích cơ bản và [00ff00]weaken_deadlystrike_damage_p1%[-] miễn sát thương bạo kích
325	Thiên Vũ Bảo Luân-Sơ	Có [00ff00]userdesc_1011%[-] gây Suy Yếu, Hỗn Loạn, Bất Lực, Làm Chậm hoặc Đóng Băng, duy trì [00ff00]userdesc_1012/15[-] giây.
314	Từ Hàng Phổ Độ	Giải trừ và miễn dịch thuộc tính, duy trì [00ff00]skill_statetime1/15[-] giây. 
320	Bạch Lộ Ngưng Sương	Có [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_waterdamage_v1[-] sát thương hệ Thủy, có [00ff00]state_slowall_attack1%[-] kèm [00ff00]state_slowall_attack2/15[-] giây Làm Chậm
357	Thanh Tâm Phổ Thiện	Tăng [00ff00]lifereplenish_p1%[-] hiệu suất hồi sinh lực của bản thân. Thiên Vũ Bảo Luân hồi phục thêm [00ff00]dir_recover_life_pp1/100%[-] sinh lực tối đa, Từ Hàng Phổ Độ hồi phục thêm [00ff00]userdesc_1011/100%[-] sinh lực tối đa
365	Giang Hải Ngưng Ba-Sơ	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản
366	Giang Hải Ngưng Ba-Trung	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản, [00ff00]add_slowall_r2%[-] gây Làm Chậm
367	Thiên Vũ Bảo Luân-Trung	Giảm chờ [00ff00]deccdtime2/15[-] giây. Có [00ff00]userdesc_1011%[-] gây Suy Yếu, Hỗn Loạn, Bất Lực, Làm Chậm hoặc Đóng Băng, duy trì [00ff00]userdesc_1012/15[-] giây
369	Từ Hàng Phổ Độ-Trung	Giảm chờ [00ff00]deccdtime2/15[-] giây. Giải trừ và miễn dịch thuộc tính, duy trì [00ff00]skill_statetime1/15[-] giây 
372	Bạch Lộ Ngưng Sương-Trung	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản. Gây[00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_waterdamage_v1[-] sát thương hệ Thủy, có [00ff00]state_slowall_attack1%[-] kèm [00ff00]state_slowall_attack2/15[-] giây Làm Chậm
374	Giang Hải Ngưng Ba-Cao	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản, [00ff00]add_slowall_r2%[-] tỉ lệ Làm Chậm, [00ff00]add_igdefense_p12%[-] tỉ lệ bỏ qua né tránh cuối và [00ff00]add_deadlystrike_p12%[-] tỉ lệ bạo kích cuối
376	Thiên Vũ Bảo Luân-Cao	Giảm chờ [00ff00]deccdtime2/15[-] giây. Giảm [00ff00]defense_p1%[-] né tránh, duy trì [00ff00]skill_statetime1/15[-] giây. Có [00ff00]userdesc_1011%[-] gây Suy Yếu, Hỗn Loạn, Bất Lực, Làm Chậm hoặc Đóng Băng, duy trì [00ff00]userdesc_1012/15[-] giây
378	Từ Hàng Phổ Độ-Cao	Giảm chờ Từ Hàng Phổ Độ [00ff00]deccdtime2/15[-] giây; xóa và miễn dịch thuộc tính, duy trì [00ff00]skill_statetime1/15[-] giây; lập tức hồi phục [00ff00]dir_recover_life_pp1/100%[-] sinh lực tối đa
381	Bạch Lộ Ngưng Sương-Cao	Tăng Bạch Lộ Ngưng Sương [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản và [00ff00]add_deadlystrike_p12%[-] tỉ lệ bạo kích cuối. Với phạm vị mục tiêu trúng đòn gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_waterdamage_v1[-] điểm sát thương hệ Thủy, đồng thời có [00ff00]state_slowall_attack1%[-] tỉ lệ kèm [00ff00]state_slowall_attack2/15[-] giây hiệu quả Làm Chậm
401	Đào Hoa Tiễn Thuật	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_firedamage_v1[-] sát thương hệ Hỏa
407	Phi Hỏa Lưu Tinh	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_firedamage_v1[-] sát thương hệ Hỏa, có [00ff00]state_palsy_attack1%[-] kèm [00ff00]state_palsy_attack2/15[-] giây Tê Liệt
406	Hỏa Phượng Liêu Nguyên	Tăng [00ff00]ignore_all_resist2%[-] bỏ qua kháng tính cuối, [00ff00]attackspeed_v1[-] tốc đánh, [00ff00]runspeed_v1[-] di chuyển và [00ff00]defense_p1%[-] né tránh cơ bản, duy trì [00ff00]skill_statetime1/15[-] giây 
410	Cửu Diệu Liên Châu	Ban đầu gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_firedamage_v1[-] sát thương hệ Hỏa, có [00ff00]state_palsy_attack1%[-] kèm [00ff00]state_palsy_attack2/15[-] giây Tê Liệt. Sát thương liên tục mỗi lần gây [00ff00]userdesc_1011%[-] tấn công cơ bản + [00ff00]userdesc_1021[-] sát thương hệ Hỏa, có [00ff00]userdesc_1031%[-] kèm [00ff00]userdesc_1032/15[-] giây Tê Liệt
409	Lưu Phong Hồi Tuyết	Tăng vĩnh viễn [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản, [00ff00]defense_p1%[-] né tránh cơ bản và [00ff00]state_hurt_resistrate1[-] kháng tỉ lệ Bị Thương
412	Xuyên Vân Phá Nguyệt	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_firedamage_v1[-] sát thương hệ Hỏa
443	Nghịch Chuyển Cửu Âm	Kháng sát thương cận chiến tăng [00ff00]melee_dmg_p1%[-]. Mỗi [00ff00]userdesc_1011/15[-] giây lần đầu bị tấn công, nếu kẻ địch ở gần sẽ đánh lui địch xung quanh, khiến địch trong [00ff00]skill_statetime1/15[-] giây giảm [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản
420	Bách Bộ Xuyên Dương	[Đào Hoa Tiễn Thuật] tăng [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_firedamage_v1[-] sát thương hệ Hỏa
441	Khinh Vân Tế Nguyệt	Tăng [00ff00]attackspeed_v1[-] tốc đánh, [Đào Hoa Tiễn Thuật] tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản và bỏ qua Vô Địch, mỗi lần thời gian duy trì kéo dài [00ff00]skill_statetime1/15[-] giây
425	Dục Hỏa Trùng Sinh	Có [00ff00]userdesc_1011%[-] tỉ lệ kích hoạt [Hỏa Phượng Liêu Nguyên] và mỗi [00ff00]recover_life_p2/15[-] giây bản thân hồi [00ff00]recover_life_p1%[-] sinh lực, duy trì [00ff00]skill_statetime1/15[-] giây, giãn cách thi triển [00ff00]userdesc_1021/15[-] giây
442	Phượng Vũ Nghê Thường	Vĩnh viễn tăng [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản, [00ff00]lifemax_p1%[-] sinh lực cơ bản, [00ff00]defense_p1%[-] né tránh cơ bản, [00ff00]attackspeed_v1[-] điểm tốc đánh, [00ff00]state_palsy_attackrate1[-] điểm tỉ lệ tê liệt và [00ff00]state_hurt_resisttime1[-] điểm kháng thời gian bị thương
417	Phi Hỏa Lưu Tinh-Sơ	Có [00ff00]rand_ignoreskill1%[-] xóa [00ff00]rand_ignoreskill2[-] hiệu quả tăng ích. Có [00ff00]state_burn_attack1%[-] gây [00ff00]state_burn_attack2/15[-] giây Thiêu Đốt
413	Hỏa Phượng Liêu Nguyên-Sơ	Giải trừ và miễn dịch bất lợi và hiệu quả Bị Thương, duy trì [00ff00]skill_statetime1/15[-] giây
423	Xuyên Vân Phá Nguyệt-Sơ	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản
446	Cửu Diệu Liên Châu-Sơ	Có [00ff00]add_fixed_r2%[-] gây [00ff00]add_fixed_t2/15[-] giây Định Thân
447	Cửu Diệu Liên Châu-Trung	Có [00ff00]add_fixed_r2%[-] gây [00ff00]add_fixed_t2/15[-] giây Định Thân. Có [00ff00]userdesc_1011%[-] xóa thời gian chờ
448	Phi Hỏa Lưu Tinh-Trung	Có [00ff00]rand_ignoreskill1%[-] xóa [00ff00]rand_ignoreskill2[-] hiệu quả tăng ích, đồng thời có [00ff00]state_burn_attack1%[-] Thiêu Đốt [00ff00]state_burn_attack2/15[-] giây. Tấn công cơ bản tăng [00ff00]add_usebasedmg_p12%[-]
450	Hỏa Phượng Liêu Nguyên-Trung	Thời gian duy trì tăng [00ff00]add_state_time12/15[-] giây. Giải trừ và miễn dịch bất lợi và hiệu quả Bị Thương, duy trì [00ff00]skill_statetime1/15[-] giây
452	Xuyên Vân Phá Nguyệt-Trung	Giảm chờ [00ff00]deccdtime2/15[-] giây, tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản
454	Cửu Diệu Liên Châu-Cao	Có [00ff00]add_fixed_r2%[-] gây [00ff00]add_fixed_t2/15[-] giây Định Thân. Có [00ff00]userdesc_1011%[-] xóa thời gian chờ. Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản
456	Phi Hỏa Lưu Tinh-Cao	Có [00ff00]rand_ignoreskill1%[-] xóa [00ff00]rand_ignoreskill2[-] hiệu quả tăng ích, đồng thời có [00ff00]state_burn_attack1%[-] Thiêu Đốt [00ff00]state_burn_attack2/15[-] giây. Tấn công cơ bản tăng [00ff00]add_usebasedmg_p12%[-]. Mỗi lần cách [00ff00]1[-]m sát thương tăng [00ff00]add_adddmgbydist2/10%[-]
458	Hỏa Phượng Liêu Nguyên-Cao	Thời gian duy trì tăng [00ff00]add_state_time12/15[-] giây. Giải trừ và miễn dịch bất lợi và hiệu quả Bị Thương, tăng [00ff00]defense_p1%[-] né tránh cơ bản, duy trì [00ff00]skill_statetime1/15[-] giây
460	Xuyên Vân Phá Nguyệt-Cao	Thời gian chờ giảm [00ff00]deccdtime2/15[-] giây, tấn công cơ bản tăng [00ff00]add_usebasedmg_p12%[-]. Mỗi lần đánh trúng giảm [00ff00]reduce_cd_time12/15[-] giây chờ của tất cả kỹ năng (Cùng lúc kích hoạt tối đa missile_hitcount3 lần)
462	Nguyệt Lạc Tinh Trầm	Có [00ff00]userdesc_1021%[-] kích hoạt, gây [00ff00]damage_maxlife_p1%[-] sinh lực tối đa của mục tiêu, tối đa bằng [00ff00]damage_maxlife_p2%[-] sinh lực tối đa của bản thân
501	Tiêu Dao Thương Pháp	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_wooddamage_v1[-] sát thương hệ Mộc
510	Bạch Hồng Quán Nhật	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_wooddamage_v1[-] sát thương hệ Mộc, có [00ff00]state_zhican_attack1%[-] kèm [00ff00]state_zhican_attack2/15[-] giây Tàn Phế
507	Thất Thám Xà Bàn	[Cận Chiến]  Di chuyển tấn công giữa nhiều kẻ địch, mỗi lần tấn công gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_wooddamage_v1[-] điểm sát thương hệ Mộc, cùng một mục tiêu tối đa chịu 2 lần sát thương, trong quá trình bản thân miễn dịch hiệu quả Khống Chế
506	Đẩu Chuyển Tinh Di	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_wooddamage_v1[-] sát thương hệ Mộc, có [00ff00]state_zhican_attack1%[-] kèm [00ff00]state_zhican_attack2/15[-] giây Tàn Phế, đồng thời kéo mục tiêu đến gần
509	Tiểu Vô Tướng Công	Tăng vĩnh viễn [00ff00]deadlystrike_p1%[-] tỉ lệ bạo kích cơ bản, [00ff00]runspeed_v1[-] di chuyển, [00ff00]attackspeed_v1[-] tốc đánh và [00ff00]state_stun_resistrate1[-] kháng tỉ lệ Choáng
513	Phong Quyển Tàn Vân	Mỗi [00ff00]0.33[-] giây gây [00ff00]dotdamage_wood1%[-] tấn công cơ bản + [00ff00]dotdamage_wood2[-] sát thương hệ Mộc, duy trì [00ff00]skill_statetime1/15[-] giây, khiến mục tiêu xung quanh bị Phù Không, duy trì [00ff00]state_float_attack2/15[-] giây 
522	Tam Nguyên Quy Nhất	Mỗi giây tăng [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản, tối đa cộng dồn [00ff00]superposemagic1[-] lần. Kỹ năng sau khi trúng địch, hiệu quả cộng thêm hiện tại sẽ duy trì [00ff00]skill_statetime1/15[-] giây
532	Thương Pháp-Cao	[Tiêu Dao Thương Pháp] tăng [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_wooddamage_v1[-] sát thương hệ Mộc
516	Lăng Ba Vi Bộ	Cứ cách [00ff00]ignoreattackontime1/15[-] giây bỏ qua tấn công [00ff00]ignoreattackontime2/15[-] giây
541	Tiêu Dao Ngự Phong	Giải trừ, miễn dịch thuộc tính và hiệu quả bất lợi, tăng [00ff00]defense_p1%[-] né tránh cơ bản, [00ff00]deadlystrike_p1%[-] tỉ lệ bạo kích cơ bản và [00ff00]runspeed_v1[-] di chuyển, duy trì [00ff00]skill_statetime1/15[-] giây, tối đa cộng dồn [00ff00]superposemagic1[-] tầng
543	Duy Ngã Độc Tôn	Vĩnh viễn tăng [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản, [00ff00]lifemax_p1%[-] sinh lực cơ bản, [00ff00]all_series_resist_p1%[-] kháng tất cả cơ bản, [00ff00]attackspeed_v1[-] điểm tốc đánh, [00ff00]state_zhican_attackrate1[-] điểm tỉ lệ tàn phế và [00ff00]state_stun_resisttime1[-] điểm thời gian kháng choáng
517	Thất Thám Xà Bàn-Sơ	Gây thêm [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_wooddamage_v1[-] sát thương hệ Mộc
514	Đẩu Chuyển Tinh Di-Sơ	Chuyển hóa [00ff00]add_steallife_p2/100%[-] sát thương gây ra thành hồi sinh lực
519	Phong Quyển Tàn Vân-Sơ	Gây [00ff00]state_zhican_attack2/15[-] giây Tàn Phế, giảm [00ff00]all_series_resist_p1%[-] kháng tất cả, duy trì [00ff00]skill_statetime1/15[-] giây 
544	Bạch Hồng Quán Nhật-Sơ	Tăng [00ff00]add_zhican_r2%[-] gây Tàn Phế, có [00ff00]add_fixed_r2%[-] gây [00ff00]add_fixed_t2/15[-] giây Định Thân
545	Bạch Hồng Quán Nhật-Trung	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản. Tăng [00ff00]add_zhican_r2%[-] gây Tàn Phế, có [00ff00]add_fixed_r2%[-] gây [00ff00]add_fixed_t2/15[-] giây Định Thân
546	Thất Thám Xà Bàn-Trung	Giảm chờ [00ff00]deccdtime2/15[-] giây, gây thêm [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_wooddamage_v1[-] sát thương hệ Mộc
548	Đẩu Chuyển Tinh Di-Trung	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản và [00ff00]add_zhican_t2/15[-] giây Tàn Phế. Chuyển hóa [00ff00]add_steallife_p2/100%[-] sát thương gây ra thành hồi sinh lực
549	Phong Quyển Tàn Vân-Trung	Giảm chờ [00ff00]deccdtime2/15[-] giây. Gây [00ff00]state_zhican_attack2/15[-] giây Tàn Phế, giảm [00ff00]all_series_resist_p1%[-] kháng tất cả, duy trì [00ff00]skill_statetime1/15[-] giây 
552	Bạch Hồng Quán Nhật-Cao	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản, [00ff00]add_deadlydmg_p12%[-] sát thương bạo kích. Tăng [00ff00]add_zhican_r2%[-] gây Tàn Phế, có [00ff00]add_fixed_r2%[-] gây [00ff00]add_fixed_t2/15[-] giây Định Thân
554	Thất Thám Xà Bàn-Cao	Thời gian chờ rút ngắn [00ff00]deccdtime2/15[-] giây, ngoài ra [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_wooddamage_v1[-] điểm sát thương hệ Mộc, kháng thuộc tính và trạng thái xấu có tỉ lệ giảm [00ff00]resist_allseriesstate_rate_v1[-] điểm, duy trì [00ff00]deccdtime2/15[-] giây
556	Đẩu Chuyển Tinh Di-Cao	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản và [00ff00]add_zhican_t2/15[-] giây Tàn Phế. Chuyển hóa [00ff00]add_steallife_p2/100%[-] sát thương gây ra thành hồi sinh lực. Giảm chờ [00ff00]deccdtime2/15[-] giây 
