MagicName	Value1	Value2	Value3	Không phải thuộc tính buff	szMagicDesc	paramDesc	CodeName
physical_metaldamage_v	1	0	1		Sát thương hệ Kim tăng	Tấn công tối thiểu: Tấn công tối đa	magic_physicaldamage_metal_v
physical_wooddamage_v	1	0	1		Sát thương hệ Mộc tăng	Tấn công tối thiểu: Tấn công tối đa	magic_physicaldamage_wood_v
physical_waterdamage_v	1	0	1		Sát thương hệ Thủy tăng	Tấn công tối thiểu: Tấn công tối đa	magic_physicaldamage_water_v
physical_firedamage_v	1	0	1		Sát thương hệ Hỏa tăng	Tấn công tối thiểu: Tấn công tối đa	magic_physicaldamage_fire_v
physical_earthdamage_v	1	0	1		Sát thương hệ Thổ tăng	Tấn công tối thiểu: Tấn công tối đa	magic_physicaldamage_earth_v
add_base_damage_p	1				Phe tấn công: Tăng phát huy tấn công cơ bản nhân vật (Tăng bội suất kỹ năng)	Tỉ lệ tăng	magic_add_base_damage_p
add_skill_damage_p	1				Phe tấn công: Tăng phát huy tấn công kỹ năng (Tăng điểm kỹ năng)	Tỉ lệ tăng	magic_add_skill_damage_p
enhance_final_damage_p	1				Tăng sát thương cuối	Tỉ lệ tăng	magic_enhance_final_damage_p
reduce_final_damage_p	1				Sát thương cuối giảm	Tỉ lệ tăng	magic_reduce_final_damage_p
damage4npc_p	1				Phe tấn công: Tăng sát thương đối với npc	Tỉ lệ tăng	magic_damage4npc_p
defuse_damage	1	0			Bị tấn công giảm v1, tối đa không vượt quá v2% sát thương ban đầu	Điểm hóa giải, tỉ lệ cao nhất	magic_defuse_damage
add_seriesstate_rate_v	1				Tăng tỉ lệ tạo thành trạng thái Ngũ Hành, căn cứ Ngũ Hành người chơi	Tăng điểm	magic_add_seriesstate_rate
add_seriesstate_time_v	1				Tăng thời gian tạo thành trạng thái Ngũ Hành, căn cứ Ngũ Hành người chơi	Tăng điểm	magic_add_seriesstate_time
resist_allseriesstate_time_v	1				Điều chỉnh thời gian kháng tất cả trạng thái Ngũ Hành	Điểm giảm	magic_resist_all_seriesstate_time
resist_allseriesstate_rate_v	1				Điều chỉnh tỉ lệ kháng tất cả trạng thái Ngũ Hành	Điểm giảm	magic_resist_all_seriesstate_rate
resist_allspecialstate_time_v	1				Điều chỉnh thời gian kháng tất cả trạng thái xấu	Điểm giảm	magic_resist_all_specialstate_time
resist_allspecialstate_rate_v	1				Điều chỉnh tỉ lệ kháng tất cả trạng thái xấu	Điểm giảm	magic_resist_all_specialstate_rate
invincible_b	0				Không chịu sát thương và hiệu quả tấn công bất kỳ, vô địch	Không có tham số	magic_invincible_b
ignore_metal_resist	0	1			Với tỉ lệ p1%, bỏ qua p2% kháng Kim của mục tiêu	Tỉ lệ: Tỉ lệ bỏ qua kháng	magic_ignore_metal_resist
ignore_wood_resist	0	1			p1% tỉ lệ bỏ qua p2% Kháng Mộc của mục tiêu	Tỉ lệ: Tỉ lệ bỏ qua kháng	magic_ignore_wood_resist
ignore_water_resist	0	1			p1% tỉ lệ bỏ qua p2% Kháng Thủy của mục tiêu	Tỉ lệ: Tỉ lệ bỏ qua kháng	magic_ignore_water_resist
ignore_fire_resist	0	1			p1% tỉ lệ bỏ qua p2% Kháng Hỏa của mục tiêu	Tỉ lệ: Tỉ lệ bỏ qua kháng	magic_ignore_fire_resist
ignore_earth_resist	0	1			p1% tỉ lệ bỏ qua p2% Kháng Thổ của mục tiêu	Tỉ lệ: Tỉ lệ bỏ qua kháng	magic_ignore_resist_end
ignore_all_resist	0	1			p1% tỉ lệ bỏ qua p2% Kháng Tất Cả của mục tiêu	Tỉ lệ: Tỉ lệ bỏ qua kháng	magic_ignore_all_resist
ignore_metal_resist_v	0	1			p1% tỉ lệ bỏ qua p2 điểm Kháng Kim của mục tiêu	Tỉ lệ: Điểm Bỏ Qua Kháng	magic_ignore_metal_resist_v
ignore_wood_resist_v	0	1			p1% tỉ lệ bỏ qua p2 điểm Kháng Mộc của mục tiêu	Tỉ lệ: Điểm Bỏ Qua Kháng	magic_ignore_wood_resist_v
ignore_water_resist_v	0	1			p1% tỉ lệ bỏ qua p2 điểm Kháng Thủy của mục tiêu	Tỉ lệ: Điểm Bỏ Qua Kháng	magic_ignore_water_resist_v
ignore_fire_resist_v	0	1			p1% tỉ lệ bỏ qua p2 điểm Kháng Hỏa của mục tiêu	Tỉ lệ: Điểm Bỏ Qua Kháng	magic_ignore_fire_resist_v
ignore_earth_resist_v	0	1			p1% tỉ lệ bỏ qua p2 điểm Kháng Thổ của mục tiêu	Tỉ lệ: Điểm Bỏ Qua Kháng	magic_ignore_resist_v_end
ignore_all_resist_v	0	1			p1% tỉ lệ bỏ qua p2 điểm Kháng Tất Cả của mục tiêu	Tỉ lệ: Điểm Bỏ Qua Kháng	magic_ignore_all_resist_v
reduce_recive_npc_damage_p	1				??? Chịu sát thương thêm của npc (Trong code chưa phán đoán npc)	Tỉ lệ tăng	magic_reduce_recive_npc_damage_p
steallife_p	1				Phe tấn công: Sát thương chuyển thành sinh lực	Tỉ lệ chuyển hóa	magic_steallife_p
stealmana_p	1				Phe tấn công: Sát thương chuyển thành nội lực	Tỉ lệ chuyển hóa	magic_stealmana_p
stealstamina_p	1				Phe tấn công: Sát thương chuyển thành thể lực	Tỉ lệ chuyển hóa	magic_stealstamina_p
meleedamagereturn_v	1				Điểm phản đòn sát thương khi chịu tấn công gần	Tăng điểm	magic_meleedamage_return_v
meleedamagereturn_p	1				Tỉ lệ phản đòn sát thương khi chịu tấn công gần	Tỉ lệ tăng	magic_meleedamage_return_p
rangedamagereturn_v	1				Điểm phản đòn sát thương khi chịu tấn công tầm xa	Tăng điểm	magic_rangedamage_return_v
rangedamagereturn_p	1				Tỉ lệ phản đòn sát thương khi chịu tấn công tầm xa	Tỉ lệ tăng	magic_rangedamage_return_p
metal_resist_p	1				Tỉ lệ phần vạn phòng thủ thuộc tính Kim	Tỉ lệ phần vạn tăng	magic_metal_resist_p
wood_resist_p	1				Tỉ lệ phần vạn phòng thủ thuộc tính Mộc	Tỉ lệ phần vạn tăng	magic_wood_resist_p
water_resist_p	1				Tỉ lệ phần vạn phòng thủ thuộc tính Thủy	Tỉ lệ phần vạn tăng	magic_water_resist_p
fire_resist_p	1				Tỉ lệ phần vạn phòng thủ thuộc tính Hỏa	Tỉ lệ phần vạn tăng	magic_fire_resist_p
earth_resist_p	1				Tỉ lệ phần vạn phòng thủ thuộc tính thổ	Tỉ lệ phần vạn tăng	magic_earth_resist_p
droprate_p	1				Tỉ lệ tăng diệt quái rơi	Tỉ lệ tăng	magic_droprate_p
enhance_exp_p	1				Tỉ lệ tăng EXP	Tỉ lệ tăng	magic_expenhance_p
spe_npchurt	0	0	0		???		magic_spe_npchurt
series_enhance_v	1				Phe công: Ngũ Hành cường hóa	Điểm	magic_series_enhance_v
series_abate_v	1				Phe thủ: Ngũ Hành nhược hóa	Điểm	magic_series_abate_v
target_player_dmg_p	1				Tăng sát thương người chơi chọn	Tỉ lệ	magic_target_player_dmg_p
target_dmg_p	1				Tăng sát thương mục tiêu chọn	Tỉ lệ	magic_target_dmg_p
npc_ext_miss	1				Điểm né tránh npc thêm	Điểm	magic_npc_ext_miss
special_dmg_p	1				Người tấn công tăng sát thương với mục tiêu có đánh dấu special_dmg_taget	Tỉ lệ	magic_special_dmg_p
special_dmg_taget	0				Đánh dấu	1	magic_special_dmg_taget
melee_dmg_p	1				Sát thương cận chiến phải chịu tăng	Tỉ lệ	magic_melee_dmg_p
remote_dmg_p	1				Sát thương tầm xa phải chịu tăng	Tỉ lệ	magic_remote_dmg_p
miss_remote_rate	1				Hệ số né tránh hoàn toàn tầm xa (Tỉ lệ né tránh = v/(v+500))	Hệ số né tránh	magic_miss_remote_rate
stealdmg_shield	1				Miễn dịch sát thương, chuyển hóa sát thương bị chịu thành hồi phục sinh lực	Tỉ lệ chuyển hóa	magic_stealdmg_shield
recdot_metal_p	1				Khiến mục tiêu sát thương hệ Kim dot phải chịu tăng	Tỉ lệ tăng	magic_recdot_metal_p
recdot_wood_p	1				Khiến mục tiêu sát thương hệ Mộc dot phải chịu tăng	Tỉ lệ tăng	magic_recdot_wood_p
recdot_water_p	1				Khiến mục tiêu sát thương hệ Thủy dot phải chịu tăng	Tỉ lệ tăng	magic_recdot_water_p
recdot_fire_p	1				Khiến mục tiêu sát thương hệ Hỏa dot phải chịu tăng	Tỉ lệ tăng	magic_recdot_fire_p
recdot_earth_p	1				Khiến mục tiêu sát thương hệ Thổ dot phải chịu tăng	Tỉ lệ tăng	magic_recdot_p_end
steallife_resist_v	1				Phe phòng thủ: Điểm chống Hút Sinh Lực	Điểm	magic_steallife_resist_v
steallife_resist_p	1				Kháng hút sinh lực (p*(1-p))	Tỉ lệ kháng tính	magic_steallife_resist_p
miss_alldmg_v	1				Né tránh hoàn toàn (v/(v+500))	Hệ số né tránh	magic_miss_alldmg_v
exp_coin_contrib	1	1	1		EXP, Bạc, cống hiến tăng	EXP tăng; Bạc tăng; Cống hiến tăng	magic_exp_coin_contrib
playerdmg_npc_p	1				Sát thương bị chịu từ người chơi tăng	Tỉ lệ tăng	magic_playerdmg_npc_p
damage4player_p	1				Sát thương gây cho người chơi tăng	Tỉ lệ tăng	magic_damage4player_p
ignore_defense_vp	1				Tỉ lệ bỏ qua né tránh cơ bản	Tỉ lệ	magic_ignore_defense_vp
ignore_all_resist_vp	1				Tỉ lệ bỏ qua kháng tính cơ bản	Tỉ lệ	magic_ignore_all_resist_vp
ignore_deadlystrike_vp	1				Tỉ lệ bỏ qua bạo kích cơ bản	Tỉ lệ	magic_ignore_deadlystrike_vp
magicshield	1	0			Tỉ lệ hộ thuẫn nhanh nhẹn đỡ sát thương	Tỉ lệ nhanh nhẹn; frame duy trì	magic_magicshield
magic_fixshield	1	0			Điểm giảm sát thương (Thuẫn)	Điểm triệt tiêu; frame duy trì	magic_magic_fixshield
autoskill	0	0			autoskill buff	ID kỹ năng treo; cấp kỹ năng	magic_autoskill
autoskill2	0	0			autoskill buff	ID kỹ năng treo; cấp kỹ năng	magic_autoskill2
autoskill3	0	0			autoskill buff	ID kỹ năng treo; cấp kỹ năng	magic_autoskill3
autoskill4	0	0			autoskill buff	ID kỹ năng treo; cấp kỹ năng	magic_autoskill4
autoskill5	0	0			autoskill buff	ID kỹ năng treo; cấp kỹ năng	magic_autoskill5
fightpower_v1	1				Lực chiến tăng	Điểm	magic_fightpower_v1
fightpower_v2	1				Lực chiến tăng	Điểm	magic_fightpower_v2
fightpower_v3	1				Lực chiến tăng	Điểm	magic_fightpower_v3
fightpower_v4	1				Lực chiến tăng	Điểm	magic_fightpower_v4
fightpower_v5	1				Lực chiến tăng	Điểm	magic_fightpower_v5
ignoreattackontime	0	0			Mỗi p1 khung hình bỏ qua p2 khung hình tấn công (Nhiều cái độc lập sẽ không xung đột)	Giãn cách (frame); bỏ qua frame tấn công	magic_ignoreattackontime
ignore_skillstate1	0				Né tránh và khi kết thúc xóa buff chỉ định	ID kỹ năng buff né tránh	magic_ignore_skillstate1
ignore_skillstate2	0				Né tránh và khi kết thúc xóa buff chỉ định	ID kỹ năng buff né tránh	magic_ignore_skillstate2
ignore_skillstate3	0				Né tránh và khi kết thúc xóa buff chỉ định	ID kỹ năng buff né tránh	magic_ignore_skillstate3
ignore_series_state	0				Xóa và miễn dịch hiệu quả thuộc tính	Không có tham số	magic_ignore_series_state
ignore_abnor_state	0				Giải trừ và miễn dịch trạng thái tiêu cực	Không có tham số	magic_ignore_abnor_state
rand_ignoreskill	0	0	0		Xóa ngay n kỹ năng phong cách đặc biệt, tỉ lệ nhất định miễn dịch kỹ năng phong cách này	Tỉ lệ tỉ lệ: Số lượng: Mã số phong cách kỹ năng	magic_rand_ignoreskill
vitality_recover_life	1	0			Mỗi n frame hồi phục tỉ lệ sinh lực thể chất	Tỉ lệ thể chất; Giãn cách hồi phục	magic_vitality_recover_life
protected	0				Tự bảo vệ	Phải không	magic_protected
shapeshift	0				Biến thân	Id biến thân npc; không thay đổi ngoại hình	magic_shapeshift
breakhide	0				??? Phá Ẩn Thân		magic_breakhide
reverse_hide	0				Người bị tấn công tạm thời không thể ẩn thân	0	magic_reverse_hide
super_hide	0				Ẩn Thân Cường Lực		magic_super_hide
end_breakhide	0				???buff kết thúc phá ẩn thân		magic_end_breakhide
certainly_hit	0				Khi bị tấn công chắc chắn chính xác	Không có tham số	magic_certainly_hit
link_skill_buff	0				Trong liên chiêu duy trì thuộc tính ma pháp BUFF hiện tại	Không có tham số	magic_link_skill_buff
locked_state	0	0	0		Cấm di chuyển, thi triển kỹ năng, dùng đạo cụ	Có không; có không; có không	magic_locked
forbid_recover	0				Trị liệu vô hiệu	Phải không	magic_forbid_recover
forbid_jump	0				Cấm khinh công	Không	magic_forbid_jump
lifecurmax_p	1				Tăng tỉ lệ tổng sinh lực tối đa	Tỉ lệ tăng	magic_lifecurmax_p
flag_attack_npc	0				Đánh dấu thời gian (Chỉ bản thân thấy, Tàng Kiếm trước đây bức phá ưu tiên bức phá flag)	Đánh dấu frame	magic_flag_attack_npc
ignore_dmgskill	1				Tỉ lệ né tránh kỹ năng phong cách đặc biệt	Tỉ lệ tỉ lệ phần vạn; id phong cách	magic_ignore_dmgskill
add_skillflaglevel	0	1			Cấp kỹ năng loại chỉ định +1	Loại đánh dấu; Cấp tăng	magic_add_skillflaglevel
dotdamage_metal	0	0	0		Phe tấn công: Gây sát thương hệ Kim kéo dài cho mục tiêu	Phát huy tấn công cơ bản %; điểm tấn công hệ X; giãn cách sát thương	magic_dotdamage_metal
dotdamage_wood	0	0	0		Phe tấn công: Gây sát thương hệ Mộc kéo dài cho mục tiêu	Phát huy tấn công cơ bản %; điểm tấn công hệ X; giãn cách sát thương	magic_dotdamage_wood
dotdamage_water	0	0	0		Phe tấn công: Gây sát thương hệ Thủy kéo dài cho mục tiêu	Phát huy tấn công cơ bản %; điểm tấn công hệ X; giãn cách sát thương	magic_dotdamage_water
dotdamage_fire	0	0	0		Phe tấn công: Gây sát thương hệ Hỏa kéo dài cho mục tiêu	Phát huy tấn công cơ bản %; điểm tấn công hệ X; giãn cách sát thương	magic_dotdamage_fire
dotdamage_earth	0	0	0		Phe tấn công: Gây sát thương hệ Thổ kéo dài cho mục tiêu	Phát huy tấn công cơ bản %; điểm tấn công hệ X; giãn cách sát thương	magic_dotdamage_earth
dotdamage_holy	0	0	0		Phe tấn công: Gây sát thương Thần Thánh kéo dài cho mục tiêu	Phát huy tấn công cơ bản %; điểm tấn công hệ X; giãn cách sát thương	magic_dotdamage_end
dotdamage_maxlife_p	1	0	1		Phe tấn công: Gây tổn thất tỷ lệ sinh lực kéo dài cho mục tiêu	Tỉ lệ; giãn cách; điểm sát thương tối đa	magic_dotdamage_maxlife_p
skill_ignore_npchurt	0				Không bị npchurt ảnh hưởng đúng không	Phải không	magic_skill_ignore_npchurt
add_skill_level	0	1	0		Tăng cấp kỹ năng chỉ định	ID kỹ năng; Tăng cấp kỹ năng; Khi không có kỹ năng này có phải tự động có hiệu lực không	magic_skilladdition_addskilllevel
add_skill_level2	0	1	0		Tăng cấp kỹ năng chỉ định	ID kỹ năng; Tăng cấp kỹ năng; Khi không có kỹ năng này có phải tự động có hiệu lực không	magic_skilladdition_addskilllevel2
add_skill_level3	0	1	0		Tăng cấp kỹ năng chỉ định	ID kỹ năng; Tăng cấp kỹ năng; Khi không có kỹ năng này có phải tự động có hiệu lực không	magic_skilladdition_addskilllevel3
add_skill_level4	0	1	0		Tăng cấp kỹ năng chỉ định	ID kỹ năng; Tăng cấp kỹ năng; Khi không có kỹ năng này có phải tự động có hiệu lực không	magic_skilladdition_addskilllevel4
add_skill_level5	0	1	0		Tăng cấp kỹ năng chỉ định	ID kỹ năng; Tăng cấp kỹ năng; Khi không có kỹ năng này có phải tự động có hiệu lực không	magic_skilladdition_addskilllevel5
add_skill_level6	0	1	0		Tăng cấp kỹ năng chỉ định	ID kỹ năng; Tăng cấp kỹ năng; Khi không có kỹ năng này có phải tự động có hiệu lực không	magic_skilladdition_addskilllevel6
addstartskill	0	0	0		Thiết lập startskill cho kỹ năng chỉ định	ID kỹ năng; id startskill; cấp kỹ năng	magic_skilladdition_addstartskill
addstartskill2	0	0	0		Thiết lập startskill cho kỹ năng chỉ định	ID kỹ năng; id startskill; cấp kỹ năng	magic_skilladdition_addstartskill2
addstartskill3	0	0	0		Thiết lập startskill cho kỹ năng chỉ định	ID kỹ năng; id startskill; cấp kỹ năng	magic_skilladdition_addstartskill3
addchildskill1	0	0	0		???	ID kỹ năng; id childskill	magic_skilladdition_addchildskill1
addchildskill2	0	0	0		???	ID kỹ năng; id childskill	magic_skilladdition_addchildskill2
addchildskill3	0	0	0		???	ID kỹ năng; id childskill	magic_skilladdition_addchildskill3
addchildskill4	0	0	0		???	ID kỹ năng; id childskill	magic_skilladdition_addchildskill4
addaction_event1	0	0			Thay kỹ năng a thành kỹ năng b	Kỹ năng gốc; Kỹ năng sau khi đổi	magic_skilladdition_action_event1
addaction_event2	0	0			Thay kỹ năng a thành kỹ năng b	Kỹ năng gốc; Kỹ năng sau khi đổi	magic_skilladdition_action_event2
addaction_event3	0	0			Thay kỹ năng a thành kỹ năng b	Kỹ năng gốc; Kỹ năng sau khi đổi	magic_skilladdition_action_event3
addaction_event4	0	0			Thay kỹ năng a thành kỹ năng b	Kỹ năng gốc; Kỹ năng sau khi đổi	magic_skilladdition_action_event4
add_hitskill1	0	0	0		Thiết lập hitskill cho kỹ năng chỉ định	ID kỹ năng; id hitskill; cấp kỹ năng	magic_skilladdition_hitskill1
add_hitskill2	0	0	0		Thiết lập hitskill cho kỹ năng chỉ định	ID kỹ năng; id hitskill; cấp kỹ năng	magic_skilladdition_hitskill2
add_hitskill3	0	0	0		Thiết lập hitskill cho kỹ năng chỉ định	ID kỹ năng; id hitskill; cấp kỹ năng	magic_skilladdition_hitskill3
add_ms_magic1	0	0	0		???		magic_ms_coll_update_magic1
add_ms_magic2	0	0	0		???		magic_ms_coll_update_magic2
add_collskill1	0	0	0		Thiết lập collskill cho kỹ năng chỉ định	ID kỹ năng; id collskill; cấp kỹ năng	magic_skilladdition_collskill1
add_collskill2	0	0	0		Thiết lập collskill cho kỹ năng chỉ định	ID kỹ năng; id collskill; cấp kỹ năng	magic_skilladdition_collskill2
add_melee_float	0	0	0		Thiết lập kỹ năng chỉ định là có thể chọn không trung	ID kỹ năng	magic_skilladdition_melee_float
add_hit_float1	0	0	0		Thiết lập kỹ năng chỉ định là có thể đánh trúng không trung	ID kỹ năng	magic_skilladdition_hit_float1
add_hit_float2	0	0	0		Thiết lập kỹ năng chỉ định là có thể đánh trúng không trung	ID kỹ năng	magic_skilladdition_hit_float2
add_hit_float3	0	0	0		Thiết lập kỹ năng chỉ định là có thể đánh trúng không trung	ID kỹ năng	magic_skilladdition_hit_float3
add_mult_proc_sate1	0	0	0		Dựa vào số người xung quanh cộng dồn buff	ID kỹ năng; số tầng cộng dồn; bản thân là bán kính ô tâm vòng tròn	magic_mult_process_state1
add_mult_proc_sate2	0	0	0		Dựa vào số người xung quanh cộng dồn buff	ID kỹ năng; số tầng cộng dồn; bản thân là bán kính ô tâm vòng tròn	magic_mult_process_state2
add_mult_proc_sate3	0	0	0		Dựa vào số người xung quanh cộng dồn buff	ID kỹ năng; số tầng cộng dồn; bản thân là bán kính ô tâm vòng tròn	magic_mult_process_state3
add_mult_proc_sate4	0	0	0		Dựa vào số người xung quanh cộng dồn buff	ID kỹ năng; số tầng cộng dồn; bản thân là bán kính ô tâm vòng tròn	magic_mult_process_state4
superposemagic	0	0	0		Giới hạn số tầng cộng dồn buff kỹ năng	0	magic_skilladdition_superpose_magic
add_steallife_p	0	1	0		Kỹ năng chỉ định, khi gây sát thương lấy tỉ lệ phần vạn sinh lực	ID kỹ năng; tỉ lệ phần vạn	magic_skilladdition_steallife_p
deccdtime	0	1	0		Giảm chờ ban đầu của kỹ năng	ID kỹ năng; Giảm frame	magic_skilladdition_deccdtime
addpowerwhencol	0	1	0		Tăng sát thương Đạn Xuyên Thấu	ID kỹ năng; tỉ lệ sát thương tăng sau khi Xuyên Thấu	magic_skilladdition_addpowerwhencol
addpowerwhencol1	0	1	0		Tăng sát thương Đạn Xuyên Thấu	ID kỹ năng; tỉ lệ sát thương tăng sau khi Xuyên Thấu	magic_skilladdition_addpowerwhencol1
addpowerwhencol2	0	1	0		Tăng sát thương Đạn Xuyên Thấu	ID kỹ năng; tỉ lệ sát thương tăng sau khi Xuyên Thấu	magic_skilladdition_addpowerwhencol2
addpowerwhencol3	0	1	0		Tăng sát thương Đạn Xuyên Thấu	ID kỹ năng; tỉ lệ sát thương tăng sau khi Xuyên Thấu	magic_skilladdition_addpowerwhencol3
addskillhidetime	0	1	0		Tăng thời gian ẩn thân kỹ năng chỉ định	ID kỹ năng; Tăng frame ẩn thân	magic_skilladdition_addhidetime
userdesc_000	0	0	0		Id kỹ năng script ảo (Dùng khi tạo kỹ năng con hoặc miêu tả giả)	Id kỹ năng script ảo kỹ năng 1; Id kỹ năng script ảo kỹ năng 2; Id kỹ năng script ảo kỹ năng 3	magic_only_show_begin
add_igdefense_p1	0	1	0		Kỹ năng chỉ định tăng bỏ qua % né tránh cơ bản của địch	0	magic_skilladdition_ignoredefense_p1
add_igdefense_p2	0	1	0		Kỹ năng chỉ định tăng bỏ qua % né tránh cơ bản của địch	0	magic_skilladdition_ignoredefense_p2
add_igdefense_p3	0	1	0		Kỹ năng chỉ định tăng bỏ qua % né tránh cơ bản của địch	0	magic_skilladdition_ignoredefense_p3
add_igdefense_p4	0	1	0		Kỹ năng chỉ định tăng bỏ qua % né tránh cơ bản của địch	0	magic_skilladdition_ignoredefense_p4
add_igdefense_v1	0	1	0		Kỹ năng chỉ định tăng bỏ qua điểm né tránh của địch	0	magic_skilladdition_ignoredefense_v1
add_igdefense_v2	0	1	0		Kỹ năng chỉ định tăng bỏ qua điểm né tránh của địch	0	magic_skilladdition_ignoredefense_v2
add_igdefense_v3	0	1	0		Kỹ năng chỉ định tăng bỏ qua điểm né tránh của địch	0	magic_skilladdition_ignoredefense_v3
add_state_time1	0	1	0		Tăng thời gian duy trì BUFF kỹ năng	0	magic_skilladdition_add_state_time1
add_state_time2	0	1	0		Tăng thời gian duy trì BUFF kỹ năng	0	magic_skilladdition_add_state_time2
add_state_time3	0	1	0		Tăng thời gian duy trì BUFF kỹ năng	0	magic_skilladdition_add_state_time3
add_state_time4	0	1	0		Tăng thời gian duy trì BUFF kỹ năng	0	magic_skilladdition_add_state_time4
add_usebasedmg_p1	0	1	0		Tăng tấn công kỹ năng chỉ định %	0	magic_skilladdition_add_usebasedamage_p1
add_usebasedmg_p2	0	1	0		Tăng tấn công kỹ năng chỉ định %	0	magic_skilladdition_add_usebasedamage_p2
add_usebasedmg_p3	0	1	0		Tăng tấn công kỹ năng chỉ định %	0	magic_skilladdition_add_usebasedamage_p3
add_usebasedmg_p4	0	1	0		Tăng tấn công kỹ năng chỉ định %	0	magic_skilladdition_add_usebasedamage_p4
add_deadlystrike_v1	0	1	0		Tăng điểm bạo kích kỹ năng chỉ định	0	magic_skilladdition_add_deadlystrike_v1
add_deadlystrike_v2	0	1	0		Tăng điểm bạo kích kỹ năng chỉ định	0	magic_skilladdition_add_deadlystrike_v2
