StateEffectId	StateName	EffectResID1	SlotID1	EffectResID2	SlotID2	HeadResID	Alpha	ChangeSize	ChangeSizeSpeed	RunActID	HeadWord	MagicDesc	Icon	IconAtlas	NotShowTime	HideBody	HideHead	ShowSort	HightLightSkill	RequireSuperpose
342	Phật Tâm Từ Hựu											Kháng tỉ lệ thuộc tính +[00ff00]resist_allseriesstate_rate_v1[-]\nKháng thời gian thuộc tính +[00ff00]resist_allseriesstate_time_v1[-]\nKháng tỉ lệ bất lợi +[00ff00]resist_allspecialstate_rate_v1[-]\nKháng thời gian bất lợi+[00ff00]resist_allspecialstate_time_v1[-]	Emei_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
406	Hỏa Phượng Liêu Nguyên	406										Di chuyển +[00ff00]runspeed_v1[-]\nTốc đánh +[00ff00]attackspeed_v1[-]\nBỏ qua kháng tính cuối +[00ff00]ignore_all_resist2%[-]\nNé tránh cơ bản +[00ff00]defense_p1%[-]	TaohuaSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
414	Bí Kíp-Sơ: Hỏa Phượng Liêu Nguyên											Miễn hiệu quả bất lợi\nMiễn hiệu quả Bị Thương	TaohuaSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
426	Dục Hỏa Trùng Sinh											Mỗi [00ff00]recover_life_p2/15[-] giây hồi [00ff00]recover_life_p1%[-] sinh lực	Taohua_bd07_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
459	Bí Kíp-Cao: Hỏa Phượng Liêu Nguyên											Né tránh cơ bản +[00ff00]defense_p1%[-]	TaohuaSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
466	Khinh Vân Tế Nguyệt											Tốc đánh +[00ff00]attackspeed_v1[-]\nĐào Hoa Tiễn Thuật tấn công cơ bản +[00ff00]add_usebasedmg_p12%[-]\nĐào Hoa Tiễn Thuật bỏ qua Vô Địch	Taohua_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
518	Bí Kíp-Cao: Thất Thám Xà Bàn											Tỉ lệ kháng thuộc tính [FF3030] giảm resist_allseriesstate_rate_v1[-]\nTỉ lệ kháng bất lợi [FF3030] giảm resist_allspecialstate_rate_v1[-]	Xiaoyao_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
520	Bí Kíp-Sơ: Phong Quyển Tàn Vân											Kháng tất cả cơ bản [FF3030] giảm all_series_resist_p1%[-]	Xiaoyao_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
523	Tam Nguyên Quy Nhất	523										Tấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]	Xiaoyao_bd07_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
542	Tiêu Dao Ngự Phong	2888										Né tránh cơ bản +[00ff00]defense_p1%[-]\nTỉ lệ bạo kích cơ bản +[00ff00]deadlystrike_p1%[-]\nDi chuyển +[00ff00]runspeed_v1[-]\nMiễn dịch thuộc tính\nMiễn dịch bất lợi	Xiaoyao_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
527	Hoàn Vũ Tiêu Dao Du	527																		
562	Bi Tô Thanh Phong											Kháng tất cả cơ bản +[00ff00]all_series_resist_p1%[-]\nTấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]	Xiaoyao_bd08_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
613	Tọa Vọng Vô Ngã	613										Tổng sát thương đỡ: [00ff00]t_magicshield1[-]\nTỉ lệ miễn dịch Bùa Chú +[00ff00]ignore_dmgskill1/100%[-]	WudangSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
616	Thiên Địa Vô Cực											Kháng tất cả cơ bản [FF3030] giảm all_series_resist_p1%[-]\nNé tránh cơ bản [FF3030] giảm defense_p1%[-]	BUFF_Earth	UI/Atlas/NewAtlas/Buff/Buff.prefab						
618	Thái Nhất Chân Khí	2849										Giải trừ và miễn dịch thuộc tính	Wudang_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
625	Bí Kíp-Sơ: Tọa Vọng Vô Ngã											[8dccf7]<Kiếm Phi Kinh Thiên >[-] tấn công cơ bản +[00ff00]add_usebasedmg_p12%[-]	WudangSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
645	Chân Võ Thất Tiệt											Tấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]	Wudang_bd04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
646	Chân Võ Thất Tiệt											Tấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]	Wudang_bd04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
650	Bí Kíp-Trung: Vô Ngã Vô Kiếm											Lần kế [8dccf7]<Võ Đang Kiếm Pháp>[-] kích hoạt [8dccf7]<Kiếm Phi Kinh Thiên >[-]	Changge_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
655	Bí Kíp-Trung: Thiên Địa Vô Cực											Bỏ qua kháng tất cả +[00ff00]ignore_all_resist_vp1%[-]\nHút sinh lực +[00ff00]steallife_p1%[-]	Tianshan_bd07_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
657	Bí Kíp-Trung: Nhân Kiếm Hợp Nhất											Tấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]\nTốc đánh +[00ff00]attackspeed_v1[-] điểm 	WudangSkill_03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
662	Bí Kíp Tọa Vọng Vô Ngã-Cao											Kháng sát thương cận chiến +[00ff00]melee_dmg_p1%[-]\nKháng sát thương tầm xa +[00ff00]remote_dmg_p1%[-]	WudangSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
666	Thất Tinh Quyết											Tỉ lệ bạo kích cơ bản [FF3030]giảm deadlystrike_p1%[-]\nDi chuyển cơ bản [FF3030]giảm runspeed_p1%[-]	Wudang_bd08_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
667	Thất Tinh Quyết											Tỉ lệ bạo kích cơ bản +[00ff00]deadlystrike_p1%[-]\nDi chuyển cơ bản +[00ff00]runspeed_p1%[-]	Wudang_bd08_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
706	Ma Diệm Tại Thiên	706										Tấn công 6 lần sẽ biến mất	TianrenSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
707	Ma Diệm Tại Thiên	6707										Di chuyển [FF3030] giảm runspeed_p1%[-]	TianrenSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
711	Huyết Nguyệt Chi Ảnh									31		Ẩn thân\nDi chuyển +[00ff00]runspeed_v1[-]\nTốc đánh +[00ff00]attackspeed_v1[-]\nTấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]	TianrenSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
712	Huyết Nguyệt Chi Ảnh_Phá Ẩn									31		Di chuyển +[00ff00]runspeed_v1[-]\nTốc đánh +[00ff00]attackspeed_v1[-]\nTấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]	TianrenSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
713	Huyết Nguyệt Chi Ảnh_Phá Ẩn									31		Sát thương liên chiêu Thiên Nhẫn Thích Sát Thuật +[00ff00]50%[-]	TianrenSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
743	Ma Diệm Thất Sát											Bỏ qua kháng tất cả giảm [00ff00]ignore_all_resist2%[-]	Gb_mj04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
746	Phá Toái Hư Không											Né tránh cơ bản +[00ff00]defense_p1%[-]\nTỉ lệ kháng bất lợi +[00ff00]resist_allspecialstate_rate_v1[-] điểm	Tianren_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
764	Bí Kíp: Ma Diệm Tại Thiên											Tấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]	TianrenSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
766	Bí Kíp: Huyết Nguyệt Chi Ảnh											Né tránh cơ bản +[00ff00]defense_p1%[-]\nMiễn dịch bất lợi	TianrenSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
767	Bí Kíp: Huyết Nguyệt Chi Ảnh											Né tránh cơ bản +[00ff00]defense_p1%[-]\nMiễn dịch bất lợi	TianrenSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
769	Bí Kíp: Nhiếp Hồn Loạn Tâm											Né tránh cơ bản [FF3030]giảm defense_p1%[-]\nTỉ lệ kháng thuộc tính [FF3030] giảm resist_allseriesstate_rate_v1[-]\nTỉ lệ kháng bất lợi [FF3030] giảm resist_allspecialstate_rate_v1[-]	Tianren_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
810	Triệu Hồi Bảo Bảo											Bảo Bảo	CuiyanSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
818	Tuyết Ảnh											Di chuyển +[00ff00]runspeed_v1[-]\nBỏ qua né tránh cơ bản +[00ff00]ignore_defense_vp1%[-]	Cuiyan_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
819	Tuyết Ảnh											Di chuyển +[00ff00]runspeed_v1[-]\nBỏ qua né tránh cơ bản +[00ff00]ignore_defense_vp1%[-]	Cuiyan_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
857	Bí Kíp: Băng Tung Vô Ảnh	973										Tấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]\nTỉ lệ bỏ qua né tránh cuối của kẻ địch +[00ff00]ignore_defense_p1%[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
860	Bí Kíp: Tuyền Cơ La Vũ											Tấn công cơ bản Tuyền Cơ La Vũ +[00ff00]add_usebasedmg_p12%[-]	Cuiyan_bd05_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
879	Triệu hồi Bảo Bảo-Trung	2849										Giảm sát thương đánh thường [FF3030] style_skill_damage_p2%[-]	CuiyanSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
927	Độc Chướng Thuật	927																		
930	Kim Cang Hộ Thể	2416																		
933	Bất Động Minh Vương	2416																		
937	Khô Mộc Phùng Xuân	6306																		
939	Niết Bàn Trùng Sinh	2849																		
948	Linh Tê	948																		
950	Tâm Nhãn	950																		
958	Niết Bàn Trùng Sinh	6306																		
970	Minh Nguyệt Quyết	970																		
973	Thanh Tâm Thuật	973																		
995	Bi Tô Thanh Phong	927																		
1001	Dấu than nhiệm vụ_Lục					1001														
1002	Dấu than nhiệm vụ_Lam					1002														
1003	Dấu hỏi nhiệm vụ_Xám					1003														
1004	Dấu hỏi nhiệm vụ_Lục					1004														
1005	Dấu hỏi nhiệm vụ_Lam					1005														
1006	Dấu hỏi nhiệm vụ_Vàng					1006														
1008	Gia tốc nhiệm vụ	1008								31										
1009	Đang tự tìm đường										Golden_01|Golden_02|Golden_06|Golden_07|Golden_05									
1010	Đang tự chiến đấu										Golden_01|Golden_02|Golden_03|Golden_04|Golden_05									
1011	Theo										|Blue_01|Blue_02|Blue_03									
1012	Đang đào kho báu										|Blue_04|Blue_05|Blue_03									
1057	EXP đánh quái											EXP đánh quái: +[00ff00]enhance_exp_p1%[-]	BUFF_xiulianzhu	UI/Atlas/NewAtlas/Buff/Buff.prefab						
1059	Tỷ thí thắng					1059														
1060	Tỷ thí thua					1060														
1062	Hiệu ứng truyền công	1062																		
1063	Hiệu ứng truyền công_Tất cả hiệu ứng	1063																		
1085	Kết Bái: Cùng Hưởng Phúc											Sát thương thuộc tính +[00ff00]physical_damage_v1[-]\nSinh lực +[00ff00]lifemax_v1[-]\nKháng tất cả +[00ff00]all_series_resist_v1[-]	BUFF_intimacy	UI/Atlas/NewAtlas/Buff/Buff.prefab	1					
1086	Ngồi thiền	1086																		
1087	Cấm di chuyển, kỹ năng, vật phẩm	59																		
1096	Vòng sáng chân Đồng Hành_Trắng	9032																		
1097	Vòng sáng chân Đồng Hành_Lục	9033																		
1098	Vòng sáng chân Đồng Hành_Lam	9034																		
1099	Vòng sáng chân Đồng Hành_Tím	9035																		
1100	Vòng sáng chân Đồng Hành_Vàng	9036																		
1105	Kim Chung Tráo	9076																		
1367	Cuồng Bạo Phệ Huyết							133	5											
1457	Khóa chân (Cấm khinh công)	1457																		
1500	Mũi Tên					1500														
1501	Trạng thái Trọng Thương					4501	700													
1502	Trạng thái Khí Tuyệt	1502				4502	700													
1503	Vòng Sáng_Hồi Sinh Lực	1503																		
1504	Vòng Sáng_Thêm kháng	1504																		
1505	Vòng Sáng_Thêm kháng_Phụ	1505																		
1506	Vòng Sáng_Hồi Sinh Lực_Phụ	1506																		
1507	Hồi Sinh Lực					4507														
1508	Tấn công					4508														
1509	Kháng tính					4509														
1510	Tốc Chạy					4510														
1512	buffball	1512																		
1513	buffball	1513																		
1514	Vòng Sáng Rương	9012																		
1517	Trạng thái bảo vệ						400					Trong thời gian trạng thái bảo vệ không bị sát thương	BUFF_Protect	UI/Atlas/NewAtlas/Buff/Buff.prefab						
1519	Lửa Trại	9044																		
1533	Vòng Sáng_Tốc đánh	1533																		
1534	Vòng Sáng_Tốc đánh_Phụ	1534																		
1535	Vòng Sáng_Sát thương	1535																		
1536	Vòng Sáng_Sát thương_Phụ	1536																		
1537	Cuồng Bạo	1367	16	7367	15			133	5											
1676	Hiệu ứng nộ khí Thiên Vương	1676																		
1677	Hiệu ứng nộ khí Nga Mi	1677																		
1678	Hiệu ứng nộ khí Đào Hoa	1678																		
1679	Hiệu ứng nộ khí Tiêu Dao	1679																		
1696	Vòng Đại Diện_Nam	1696																		
1697	Vòng Đại Diện_Nữ	1697																		
1705	buff_Tấn công	1705																		
1732	Cổ Vũ Chiến Hống	197										Tấn công +[00ff00]basic_damage_v1[-]\nSinh lực +[00ff00]lifemax_v1[-]\nKháng tất cả +[00ff00]all_series_resist_v1[-]\nTỉ lệ thuộc tính +[00ff00]add_seriesstate_rate_v1[-]\nThời gian thuộc tính +[00ff00]add_seriesstate_time_v1[-]	Taohua_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
1733	Cổ Vũ Chiến Hống											Tấn công +[00ff00]basic_damage_v1[-]\nSinh lực +[00ff00]lifemax_v1[-]\nKháng tất cả +[00ff00]all_series_resist_v1[-]\nTỉ lệ thuộc tính +[00ff00]add_seriesstate_rate_v1[-]\nThời gian thuộc tính +[00ff00]add_seriesstate_time_v1[-]	Taohua_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
1772	Trung Quán Bạch Nhật	613										Giảm sát thương: [00ff00]t_magicshield1[-]	WudangSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
1833	Cuồng Nhiệt					4508														
1883	Vòng Tầm Nhìn (Đường kính 2,8)	1883																		
1884	Vòng Tầm Nhìn (Đường kính 6m) 	1453																		
1885	Vòng Diệt Nhanh	1885																		
1889	Vòng Sáng Trúng Độc toàn màn hình_Phụ 2	1889																		
2035	Vòng Chí Mạng-Hỏa	2035																		
2037	Vòng Kháng Tính-Hỏa	1504																		
2038	Vòng Kháng Tính-Hỏa_Phụ	1505																		
2095	Vòng Hồi Phục	2070																		
2251	Cuồng Bạo Phệ Huyết																			
2301	Chúc phúc máy chủ mới: Cùng Chiến											EXP luyện công đánh quái ngoài thành +[00ff00]10%[-]	meigui_02	UI/Atlas/Item/Item/Item2.prefab						
2302	Chúc phúc máy chủ mới: May Mắn											Bạc nhận từ Rung Cây Tiền, Mục Tiêu Ngày, Địa Cung Ngẫu Nhiên, Luyện Công Ngoài Thành, Nhiệm Vụ Thương Hội +[00ff00]10%[-]	chongjujianghu	UI/Atlas/Item/Item/Item6.prefab						
2303	Chúc phúc máy chủ mới: Thiên Công											Cống hiến nhận từ Góp Bang Hội, Võ Thần Điện, Nhiệm Vụ Trừng Ác, Vấn Đáp Lửa Trại Bang Hội, Minh Chủ Võ Lâm +[00ff00]10%[-]	BUFF_intimacy	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2304	Chúc Phúc-Hỏa											Bỏ qua né tránh +[00ff00]ignore_defense_v1[-]\nTỉ lệ bạo kích +[00ff00]deadlystrike_v1[-]	BUFF_Fire	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2305	Chúc Phúc-Thổ											Kháng tất cả +[00ff00]all_series_resist_v1[-]	BUFF_Earth	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2306	Uống Rượu											  	BUFF_nverhong	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2307	Chúc Phúc Ngày Lễ											Sát thương thuộc tính +[00ff00]physical_damage_v1[-]\nSinh lực tối đa +[00ff00]lifemax_v1[-]\nKháng tất cả +[00ff00]all_series_resist_v1[-]	BUFF_zhuxiudan	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2308	Tăng thân mật											  	BUFF_intimacy	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2310	Khoản nợ											  	Gold	UI/Atlas/NewAtlas/Buff/Buff.prefab	1					
2311	Thời gian dừng Tần Lăng											  	Buff_yemingzhu	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2312	Bảo vệ PK											  	BUFF_Protect	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2313	Thương Hải Nguyệt Minh											EXP đánh quái: +[00ff00]enhance_exp_p1%[-]	Buff_canghaiyueming	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2314	Nợ trạng thái xấu											EXP đánh quái: [FF3030] giảm enhance_exp_p1%[-]\nTấn công cơ bản: [FF3030] giảm physics_potentialdamage_p1%[-]\nKháng tất cả cơ bản: [FF3030] giảm all_series_resist_p1%[-]	Gold	UI/Atlas/NewAtlas/Buff/Buff.prefab	1					
2316	Bánh Chưng											Lửa Trại Bang Hội nhận [FFFE0D]EXP cộng thêm[-]	labazhou	UI/Atlas/Item/Item/Item5.prefab						
2317	Tái Xuất											Thân mật nhận +[00ff00]100%[-]\nEXP đánh quái +[00ff00]enhance_exp_p1%[-]\nTấn công +[00ff00]basic_damage_v1[-]\nKháng tất cả +[00ff00]all_series_resist_v1[-]\nSinh lực +[00ff00]lifemax_v1[-]	chongjujianghu	UI/Atlas/Item/Item/Item6.prefab						
2318	Nợ trạng thái xấu											Lực chiến: [FF3030]Giảm fightpower_v11[-]	Gold	UI/Atlas/NewAtlas/Buff/Buff.prefab	1					
2319	Nữ Hiệp Xem Trọng											Sát thương thuộc tính +[00ff00]physical_damage_v1[-]\nSinh lực tối đa +[00ff00]lifemax_v1[-]\nKháng tất cả +[00ff00]all_series_resist_v1[-]	meigui_02	UI/Atlas/Item/Item/Item2.prefab						
2320	Linh Quả Thần Bí											Sát thương quái +[00ff00]damage4npc_p1%[-]	ArborDay_04	UI/Atlas/Item/Item/Item7.prefab						
2321	Gia Viên Ẩn Thân															1				
2322	Trạng thái Hồn Thanh Minh	1502					700													
2323	Gia Viên Ẩn Thân Trốn Tìm															1				
2324	Vô Địch Hoa Đồng	2416						150	3			Vô Địch!	Tianwang_bd03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2325	Thiên Phạt											  	buff_cell	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2326	Bánh Ít Bạch Ngọc											EXP đánh quái: +[00ff00]enhance_exp_p1%[-]	DuanwuZongzi1	UI/Atlas/Item/Item/Item13.prefab						
2515	Triết Biệt-Kỹ năng vòng sáng	9044																		
2522	Viên Thừa Chí-Kỹ năng vòng sáng	9044																		
2527	Diệp Vô Tâm-Kỹ năng vòng sáng	9044																		
2563	Nạp Lan Chân-Kỹ năng vòng sáng	9044																		
2554	Phách Không Chưởng					9053														
2398	Vòng Sáng_Phản Đòn	2398																		
2399	Vòng Sáng_Phản Đòn_Phụ	2399																		
2400	Vòng Sáng_Phản Xạ	2400																		
2401	Vòng Sáng_Phản Xạ_Phụ	2401																		
2402	Vòng Tầm Nhìn (Nhỏ)	1454																		
2403	Vòng Tầm Nhìn (Lớn)	95																		
2404	Vòng Sáng Trúng Độc	2404																		
2405	Cường Lực (buff)	2405																		
2416	Vô Địch-Bị Động	2416																		
2468	Vòng Sáng Trúng Độc	1396																		
2497	Bẫy Lửa	2497																		
2646	Bạch Lang Nhập Trận	2646																		
2708	Phản Đòn (Buff) 	2708																		
2709	Kinh Cúc (buff) 	2709																		
2776	Định Thân miễn kéo	59																		
2784	Vòng Hỗn Loạn	1883																		
2844	Long Tượng Cửu Trùng					2844														
2845	Long Tượng Cửu Trùng_Phụ					2845														
2849	Tuyết Ánh Hồng Trần_Hiệu ứng	2849																		
2858	Quyết Biệt					4508														
2886	Ki Bán Phù	2886																		
2888	Phong Tuyết Bộ Pháp	2888																		
2900	Thương Hải Nguyệt Minh_Hiệu Ứng	2900																		
2978	Tận Trung Báo Quốc	1367						130												
3029	Cuồng Bạo Chiến Ý	1367						130												
3056	Thu nhỏ đến 80%							80												
3057	Thu nhỏ đến 60%							60												
3058	Thu nhỏ đến 40%							40												
3059	Thu nhỏ đến 20%							20												
3066	Trường Sinh Bất Lão	2416																		
3070	Đứng 10 giây_Vô Địch	2416					700													
3077	Thủy Hoàng Giáng Lâm	14																		
3078	Thủy Hoàng Giáng Lâm					6034														
3106	Bẫy Toàn Phong	1887																		
3109	Bẫy Lửa	2497																		
3115	Vòng Vô Địch	13115		13116																
3116	Vòng Vô Địch_Phụ	2416																		
3166	Diệu Thủ Hồi Xuân					4507						Mỗi [00ff00]recover_life_p2/15[-] giây hồi [00ff00]recover_life_p1%[-] sinh lực	buff_recover	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3167	Bất Diệt Kiếm Ý					4508						Tấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]	buff_adddamage	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3168	Kim Cang Bất Hoại					4509						Kháng tất cả cơ bản +[00ff00]all_series_resist_p1%[-]	buff_series	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3169	Nhanh Như Chớp					4510						Di chuyển +[00ff00]runspeed_p1%[-]	buff_runspeed	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3191	Lực Bạo Kích	970										Bạo kích +[00ff00]deadlystrike_v1[-]\nSát thương bạo kích +[00ff00]deadlystrike_damage_p1%[-]	buff_huixin	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3192	Kim Cang Hộ Thể	2416										Miễn dịch sát thương và khống chế	buff_wudi	UI/Atlas/NewAtlas/Buff/Buff.prefab						
