SkillId	SkillName	Property	SkillType	MeleeForm	StartPosType	StartDirType	Icon	IconAtlas	WaitTime	ChildID	ChildCount	MissileForm	MSGenerate	MSGenerateParam	Relation	TimePerCast	IsUseAR	Series	CastActionId	ActionEventID	ActionFrontPer	ActionBackPer	StateEffectId	SkillStyle	IsMelee	StatePriority	StateType	StateTime	StartSkillID	FlySkillId	FlyEventInterval	FlyActEventId	FlyActId	HitSkillID	HitSkillID2	VanishedSkillId	EventSkillLevel	AttackRadius	ClassName	MaxUsePoint	UsePointRecover	Param1	Param1Des	Param2	Param2Des	Param3	Param3Des	Param4	Param4Des	Param5	Param5Des	Param6	Param6Des	CostType	CostValue	FlagAddLevel	FactionLimit	ReqLevel	IsLinkSubSkill	IsAura	Desc	SelectorRange	SelectorType	CollisionSkillId	TargetSelf	DeathActEventID	AttackAnger	CastSoundID	AcceSpeedInfo1	AcceSpeedInfo2	AcceSpeedInfo3	InitSpeed	CastEffectRestId	NotChangeActFrame	NotChangeDir	CanDoSkillPri	UseLimitType	IgnoreObstacleJump	IsActPerFrame	IsPeaceCanUse	IsNotJumpObstacle	IsIgnoreInvincible	IsOnlySyncSelf	IsShareDmgRecord
45	npc-Đánh nhóm chỉ định tầm xa 1_Phong-Biểu hiện	Kỹ năng thông dụng	5		1		SkillUsual			45	1				enemy	60	1		16	6005				show				0	81								-1	750	empty																																													
46	npc-Khống chế đơn tầm xa 1_Kim	Kỹ năng thông dụng	5		1		SkillUsual			46	1				enemy	90	1		16	6005				control				0										750	npc_control_gold1																																		6032											
47	npc-Khống chế đơn tầm xa 1_Thủy	Kỹ năng thông dụng	5		1		SkillUsual			47	1				enemy	90	1		16	6005				control				0										750	npc_control_water1																																		6033											
48	npc-Khống chế đơn tầm xa 1_Hỏa	Kỹ năng thông dụng	5		1		SkillUsual			48	1				enemy	90	1		16	6005				control				0										750	npc_control_fire1																																		6034											
49	npc-Khống chế đơn tầm xa 1_Mộc	Kỹ năng thông dụng	5		1		SkillUsual			49	1				enemy	90	1		16	6005				control				0										750	npc_control_wood1																																		6035											
50	npc-Khống chế nhóm tầm xa 1_Kim	Kỹ năng thông dụng	5		1		SkillUsual			50	1				enemy	90	1		16	6005				control				0	86								-1	750	empty																																													
51	npc-Khống chế nhóm tầm xa 1_Thủy	Kỹ năng thông dụng	5		1		SkillUsual			51	1				enemy	90	1		16	6005				control				0	87								-1	750	empty																																													
52	npc-Khống chế nhóm tầm xa 1_Hỏa	Kỹ năng thông dụng	5		1		SkillUsual			52	1				enemy	90	1		16	6005				control				0	88								-1	750	empty																																													
53	npc-Khống chế nhóm tầm xa 1_Mộc	Kỹ năng thông dụng	5		1		SkillUsual			53	1				enemy	90	1		16	6005				control				0	89								-1	750	empty																																													
54	npc-Cầu sáng thẳng tầm xa_Kim	Kỹ năng thông dụng	5		2		SkillUsual			54	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal_gold1																																													
55	npc-Cầu sáng thẳng tầm xa_Thủy	Kỹ năng thông dụng	5		2		SkillUsual			55	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal_water1																																													
56	npc-Cầu sáng thẳng tầm xa_Hỏa	Kỹ năng thông dụng	5		2		SkillUsual			56	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal_fire1																																													
57	npc-Cầu sáng thẳng tầm xa_Mộc	Kỹ năng thông dụng	5		2		SkillUsual			57	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal_wood1																																													
58	Thử Nghiệm_Cường Lực	Dùng cho Test	2				SkillUsual								self	0			16	1								0											test_strong																																													
59	npc-Đánh nhóm cận chiến 1_Thổ-Biểu hiện	Kỹ năng thông dụng	5		2		SkillUsual			59	1				enemy	60	1		16	6005				show	1			0	60								-1	150	empty																																													
60	npc-Đánh nhóm cận chiến 1_Sát thương Thổ	Kỹ năng thông dụng	5		2		SkillUsual			60	1				enemy	30	1		16	6005				normal_melee	1			0										150	npc_normal_heavy																																													
61	Sát thương nhóm xung quanh 5_Thổ-Biểu hiện	Kỹ năng thông dụng	5		2		SkillUsual			61	1				enemy	75	1		16	6005				show	1			0	62								-1	250	empty																																													
62	Sát Thương Nhóm Xung Quanh 5_Sát thương Thổ	Kỹ năng thông dụng	5		2		SkillUsual			62	1				enemy	30	1		16	6005				normal_melee	1			0										250	npc_sp_earth																																													
63	npc-Đánh nhóm chỉ định tầm xa 1_Thổ-Biểu hiện	Kỹ năng thông dụng	5		1		SkillUsual			63	1				enemy	60	1		16	6005				show				0	64								-1	750	empty																																													
64	npc-Đánh nhóm chỉ định tầm xa 1_Sát thương Thổ	Kỹ năng thông dụng	5		1		SkillUsual			64	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal_heavy																																													
65	npc-Khống chế đơn tầm xa 1_Thổ	Kỹ năng thông dụng	5		1		SkillUsual			65	1				enemy	90	1		16	6005				control				0										750	npc_control_earth1																																		6032											
66	npc-Khống chế nhóm tầm xa 1_Thổ-Biểu hiện	Kỹ năng thông dụng	5		1		SkillUsual			66	1				enemy	90	1		16	6005				control				0	67								-1	750	empty																																													
67	npc-Khống chế nhóm tầm xa 1_Sát thương Thổ	Kỹ năng thông dụng	5		1		SkillUsual			67	1				enemy	90	1		16	6005				control				0										750	npc_control_earth2																																													
68	npc-Đánh đơn chỉ định tầm xa 1_Thổ	Kỹ năng thông dụng	5		1		SkillUsual			68	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																		6033											
69	npc-Xuyên thấu thẳng tầm xa_Thổ	Kỹ năng thông dụng	5		2		SkillUsual			69	1				enemy	30	1		16	6004				normal_remote				0										750	npc_normal																																													
70	npc-Đánh nhóm cận chiến 1_Sát thương Kim	Kỹ năng thông dụng	5		2		SkillUsual			70	1				enemy	30	1		16	6005				skill_melee	1			0										150	npc_normal_heavy																																													
71	npc-Đánh nhóm cận chiến 1_Sát thương Thủy	Kỹ năng thông dụng	5		2		SkillUsual			71	1				enemy	30	1		16	6005				skill_melee	1			0										150	npc_normal_heavy																																													
72	npc-Đánh nhóm cận chiến 1_Sát thương Hỏa	Kỹ năng thông dụng	5		2		SkillUsual			72	1				enemy	30	1		16	6005				skill_melee	1			0										150	npc_normal_heavy																																													
73	npc-Đánh nhóm cận chiến 1_Sát thương Mộc	Kỹ năng thông dụng	5		2		SkillUsual			73	1				enemy	30	1		16	6005				skill_melee	1			0										150	npc_normal_heavy																																													
74	Sát Thương Nhóm Xung Quanh 1_Kim	Kỹ năng thông dụng	5		2		SkillUsual			74	1				enemy	30	1		16	6005				skill_melee	1			0										250	npc_sp_gold																																													
75	Sát Thương Nhóm Xung Quanh 2_Thủy	Kỹ năng thông dụng	5		2		SkillUsual			75	1				enemy	30	1		16	6005				skill_melee	1			0										250	npc_sp_water																																													
76	Sát Thương Nhóm Xung Quanh 3_Hỏa	Kỹ năng thông dụng	5		2		SkillUsual			76	1				enemy	30	1		16	6005				skill_melee	1			0										250	npc_sp_fire																																													
77	Sát Thương Nhóm Xung Quanh 4_Mộc	Kỹ năng thông dụng	5		2		SkillUsual			77	1				enemy	30	1		16	6005				skill_melee	1			0										250	npc_sp_wood																																													
78	npc-Đánh nhóm chỉ định tầm xa 1_Sát thương Địa	Kỹ năng thông dụng	5		1		SkillUsual			78	1				enemy	30	1		16	6005				skill_remote				0										750	npc_normal_heavy																																													
79	npc-Đánh nhóm chỉ định tầm xa 1_Sát thương Thủy	Kỹ năng thông dụng	5		1		SkillUsual			79	1				enemy	30	1		16	6005				skill_remote				0										750	npc_normal_heavy																																													
80	npc-Đánh nhóm chỉ định tầm xa 1_Sát thương Hỏa	Kỹ năng thông dụng	5		1		SkillUsual			80	1				enemy	30	1		16	6005				skill_remote				0										750	npc_normal_heavy																																													
81	npc-Đánh nhóm chỉ định tầm xa 1_Sát thương Phong	Kỹ năng thông dụng	5		1		SkillUsual			81	1				enemy	30	1		16	6005				skill_remote				0										750	npc_normal_heavy																																													
82	Phòng thủ Thủ Lĩnh Dã Ngoại sẽ tăng theo số người	Thủ Lĩnh Dã Ngoại	3				SkillUsual								self	0			1	1								0											npc_header																																													
83	Phòng thủ Thủ Lĩnh Dã Ngoại sẽ tăng theo số người_Hủy sát thương	Thủ Lĩnh Dã Ngoại	2				SkillUsual								self	0			16	1			5100	logic				0										1000	npc_header_child																																													
86	npc-Khống chế nhóm tầm xa 1_Sát thương Kim	Kỹ năng thông dụng	5		1		SkillUsual			86	1				enemy	90	1		16	6005				control				0										750	npc_control_gold2																																													
87	npc-Khống chế nhóm tầm xa 1_Sát thương Thủy	Kỹ năng thông dụng	5		1		SkillUsual			87	1				enemy	90	1		16	6005				control				0										750	npc_control_water2																																													
88	npc-Khống chế nhóm tầm xa 1_Sát thương Hỏa	Kỹ năng thông dụng	5		1		SkillUsual			88	1				enemy	90	1		16	6005				control				0										750	npc_control_fire2																																													
89	npc-Khống chế nhóm tầm xa 1_Sát thương Mộc	Kỹ năng thông dụng	5		1		SkillUsual			89	1				enemy	90	1		16	6005				control				0										750	npc_control_wood2																																													
90	Khô Lâu Vương Đao Quang		5		2		SkillUsual			90	1				enemy	45	1		16	90				skill_melee	1			0										400	room1_1																													5090																
91	Hiệu quả miễn dịch npc		3				SkillUsual								self	0			1	1								0											npc_mianyi																																													
92	Khô Lâu Vương Xung Kích		5		2		TaohuaSkill_03		15	92	1	1			enemy	0	1		16	92				skill_melee	1			0	103								-1	450	room1_4																													5092																
93	Khô Lâu Vương Giảo Sát		5		2		TaohuaSkill_03			93	9	3			enemy	0	1		18	93				logic	1			0										450	empty																													5093																
94	Khô Lâu Vương Giảo Sát_Phụ		5		2		TaohuaSkill_03			94	1				enemy	0	1		16	1				skill_melee	1			0										450	room1_2																																													
95	Báo động đỏ thường_Bán kính 4,5m		5		2		SkillUsual			95	1				enemy	30			1	95				logic				0	100								-1	450	empty																																													
96	Báo động đỏ thường_Chữ nhật 8x4,5m		5		2		SkillUsual			96	1				enemy	30			1	96				logic				0	100								-1	300	empty																																													
97	Báo động đỏ thường_Hình quạt 90 độ		5		2		SkillUsual			97	1				enemy	30			1	97				logic				0	100								-1	300	empty																																													
98	Khô Lâu Vương Báo Động_Bán kính 4,5m		1	5			SkillUsual								enemy	30			1	98				logic				0	100								-1	450	empty																																													
99	Khô Lâu Vương Báo Động Đỏ_Hình Chữ Nhật 8x2m		1	5			SkillUsual								enemy	30			1	99				logic				0	100								-1	300	empty																																													
100	NPC cảnh báo hiệu quả miễn dịch 2,5 giây	Kỹ năng thông dụng	2				SkillUsual								self	0			1	1				logic				0										500	npc_yujingmianyi																																													
101	Thử Nghiệm-Đánh Bay	Thử nghiệm	5		2		TianwangSkill_01			101	1				enemy	0			16	101				logic				0										200	test_mustkill																											80002																		
102	Thử Nghiệm-Tử Vong Đặc Biệt-Đóng Băng	Thử nghiệm	5		2		TianwangSkill_01			102	1				enemy	0			16	102				logic				0										200	test_mustkill																											80003																		
103	Khô Lâu Vương Xung Kích_Hiệu quả		5		2		TaohuaSkill_03			103	5	1	2	3	enemy	0	1		16	1				logic				0										450	empty			100																																										
104	BUFF Thử Nghiệm	Hồi Sinh Lực, Hút Sinh Lực, Phản Đòn	2				SkillUsual								self	0			16	1								0											test_buff																																													
105	100% bị đánh trúng		3				SkillUsual								self	0			1	1								0											npc_100beiji																																													
106	npc-Cầu sáng thẳng tầm xa_Thổ	Kỹ năng thông dụng	5		2		SkillUsual			106	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal_earth1																																													
109	Man Hoành Bá Đạo	Danh Tướng	1	2			SkillUsual		6						enemy	0	1		2	109				logic	1			0										600	empty			1	Frame tối thiểu của động tác		Cự ly điểm mục tiêu	800	Độ dài bức phá											1							1	80002						200		1										
110	Đao Kích	Danh Tướng	5		2		SkillUsual			110	1				enemy	30	1		16	110				normal_melee	1			0										200	npc_20boss1_1																			1																										
111	Man Hoành Bá Đạo_Sát thương	Danh Tướng	5		2		SkillUsual			111	1				enemy	0	1		16	111				normal_melee	1			0										600	npc_20boss1_2_child																			1																										
112	Man Hoành Bá Đạo_Hiệu quả	Danh Tướng	5		2		SkillUsual			112	4	1	2	1	enemy	0	1		16	1				logic	1			0										600	empty			200																1																										
113	Thần Lực	Danh Tướng	5		2		SkillUsual			113	1				enemy	0	1		17	113				skill_melee	1			0										1000	npc_20boss1_3																			1																										
114	Khải Giáp Thép	Danh Tướng	2				SkillUsual								self	0			17	114			114	buff_attack				0										1000	npc_20boss1_4																			1																										
115	Vạn Tượng Thiên Dẫn	Danh Tướng	5		2		SkillUsual			115	1				enemy	0	1		17	115				skill_melee	1			0										450	npc_20boss1_5																			1							1																			
116	Vạn Tượng Thiên Dẫn_Phụ	Danh Tướng	5		2		SkillUsual			116	1				enemy	0	1		17	116				skill_melee	1			0										450	npc_20boss1_5_child																			1							1																			
117	Kiếm Kích	Danh Tướng	5		2		SkillUsual			117	1				enemy	30	1		16	117				normal_melee	1			0										300	npc_20boss2_1																			1																										
118	Xà Hạc Quyền	Danh Tướng	5		2		SkillUsual			118	1				enemy	0	1		17	118				skill_melee	1			0										450	npc_20boss2_2																			1							1																			
119	Cuồng Kiếm Quyết	Danh Tướng	5		2		SkillUsual		3	119	8	3			enemy	0	1		17	119				logic	1			0	120									700	empty					1														1																										
120	Cuồng Kiếm Quyết_Phụ 1	Danh Tướng	5		2		SkillUsual		8	120	8	3			enemy	0	1		16	120				logic	1			0	121									700	empty					1														1																										
121	Cuồng Kiếm Quyết_Phụ 2	Danh Tướng	5		2		SkillUsual		10	121	1				enemy	0	1		16	121				normal_melee	1			0										1000	npc_20boss2_3																			1																										
122	Kim Xà Kiếm Pháp	Danh Tướng	5		2		SkillUsual			122	1				enemy	0	1		16	122				normal_melee	1			0										300	npc_20boss2_4																			1																										
123	Kim Xà Kiếm Pháp_Phụ 1	Danh Tướng	5		2		SkillUsual			123	1				enemy	0	1		16	123				normal_melee	1			0										300	npc_20boss2_4																			1																										
124	Kim Xà Kiếm Pháp_Phụ 2 	Danh Tướng	5		2		SkillUsual			124	1				enemy	0	1		16	124				normal_melee	1			0										300	npc_20boss2_4																			1																										
125	Thần Hành Bách Biến	Danh Tướng	1	4			SkillUsual				5				enemy	0	1							logic	1			0				126	16					1500	empty			250	Cách NPC bao nhiêu cm	2	Số lần tối đa tấn công lên cùng 1 mục tiêu	1	ID động tác kết thúc	127	Sự kiện động tác kết thúc	1000	Lấy mục tiêu làm trung tâm, đường kính cm							1														200												
126	Thần Hành Bách Biến_Phụ 1	Danh Tướng	5		2		SkillUsual			126	1				enemy	0	1		16	126				normal_melee	1			0										1000	npc_20boss2_5																			1																										
127	Thần Hành Bách Biến_Phụ 2	Danh Tướng	5		2		SkillUsual			127	1				enemy	0	1		1	127				logic	1			0										1000	empty																			1																										
129	Tiễn Thuật	Danh Tướng	5		2		SkillUsual			129	1				enemy	30	1		17	129				normal_remote				0										700	npc_20boss3_1																			1																										
130	Tiễn Vô Hư Phát	Danh Tướng	5		2		SkillUsual			130	1				enemy	0	1		17	130				skill_remote				0								131		600	npc_20boss3_2																			1																										
131	Tiễn Vô Hư Phát_Phụ	Danh Tướng	5		1		SkillUsual			131	1				enemy	0	1		16	131				skill_remote				0										600	npc_20boss3_2_child																			1																										
132	Liên Hoàn Tiễn	Danh Tướng	5		2		SkillUsual			132	3	1	2	3	enemy	0	1		16	132				skill_remote				0										600	npc_20boss3_3																			1																										
133	Thiết Kỵ Đột Tập	Danh Tướng	5		2		SkillUsual			133	5	7			enemy	0	1		17	133				skill_remote				0										600	npc_20boss3_4			95																1																										
134	Vạn Tiễn Tề Phát	Danh Tướng	5		2		SkillUsual			134	1				enemy	0	1		16	134				logic				0						135				800	empty																			1							1																			
135	Vạn Tiễn Tề Phát_Phụ	Danh Tướng	5		1		SkillUsual			135	1				enemy	0	1		16	135				skill_remote				0										800	npc_20boss3_5																			1																										
136	Phần Tinh Lạc Vũ	Danh Tướng	5		2		SkillUsual			136	6	3	3	6	enemy	0	1		16	136				logic				0		137	5							1000	empty			3																1																										
137	Phần Tinh Lạc Vũ_Phụ 1	Danh Tướng	5		0		SkillUsual			137	1	3	3	5	enemy	0	1		16	1				logic				0								138		1000	empty																			1																										
138	Phần Tinh Lạc Vũ_Phụ 2	Danh Tướng	5		0		SkillUsual			138	1				enemy	0	1		16	1				logic				0	139									1000	empty																			1																										
139	Phần Tinh Lạc Vũ_Phụ 3	Danh Tướng	5		0		SkillUsual			139	1				enemy	0	1		16	1				logic				0								183		1000	empty																			1																										
140	Thương Pháp	Danh Tướng	5		2		SkillUsual			140	1				enemy	0	1		16	140				normal_melee	1			0										250	npc_20boss4_1																			1																										
141	Sa Thải	Danh Tướng	5		2		SkillUsual			141	2	7			enemy	0	1		16	141				skill_melee	1			0										700	npc_20boss4_2			100																1																										
142	Hoành Tảo Thiên Quân	Danh Tướng	5		2		SkillUsual			142	1				enemy	0	1		24	142				skill_melee	1			0										1000	npc_20boss4_3																			1																										
143	Quán Nhật Thương	Danh Tướng	1	2			SkillUsual		6						enemy	0	1		2	143				skill_melee	1			0										600	npc_20boss4_4			13				500												1							1	80002			0|1|82	-7|83|100		80		1										
144	Quán Nhật Thương_Phụ	Danh Tướng	5		2		SkillUsual			144	1				enemy	0	1		16	144				skill_melee	1			0										600	npc_20boss4_4_child																			1																										
145	Thánh Thuẫn Hộ Thể	Danh Tướng	2				SkillUsual								self	0			24	145			213	logic				0										1000	npc_20boss4_5																			1																										
146	Cắn xé	Thủ Lĩnh Dã Ngoại	5		1		SkillUsual			146	1				enemy	30	1		16	146				normal_melee	1			0										200	npc_20Header1_1																			1																										
147	Tiềm Thổ Đột Thích	Thủ Lĩnh Dã Ngoại	5		1		SkillUsual			147	1				enemy	0	1		16	147				skill_melee	1			0										700	npc_20Header1_2																			1																										
148	Lang Vương Địa Liệt	Thủ Lĩnh Dã Ngoại	5		2		SkillUsual			148	1	1			enemy	0	1		16	148				skill_melee	1			0	171									500	npc_20Header1_3																			1																										
149	Xé Toạc	Thủ Lĩnh Dã Ngoại	1	4			SkillUsual				3				enemy	0	1							logic	1			0				150	17					1500	empty			250	Cách NPC bao nhiêu cm	3	Số lần tối đa tấn công lên cùng 1 mục tiêu	7	ID động tác kết thúc	151	Sự kiện động tác kết thúc	1000	Lấy mục tiêu làm trung tâm, đường kính cm							1														200												
150	Xé Toạc_Phụ 1	Thủ Lĩnh Dã Ngoại	5		1		SkillUsual			150	1				enemy	0	1		17	150				normal_melee	1			0										1000	npc_20Header1_4																			1																										
151	Xé Toạc_Phụ 2	Thủ Lĩnh Dã Ngoại	5		2		SkillUsual			151	1				enemy	0	1		7	151				logic	1			0										1000	empty																			1																										
152	Tiềm Thổ Đột Thích_Hiệu quả	Thủ Lĩnh Dã Ngoại	5		0		SkillUsual			152	3	6			enemy	0	1		16	1				logic				0										600	empty			120																1																										
153	Giác Kích	Thủ Lĩnh Dã Ngoại	5		1		SkillUsual			153	1				enemy	30	1		16	153				normal_melee	1			0										280	npc_20Header2_1																			1																										
154	Xoáy Nước	Thủ Lĩnh Dã Ngoại	5		1		SkillUsual			154	1				enemy	0	1		16	1				skill_remote				0										700	npc_20Header2_2																			1																										
155	Hàn Băng Xung Đỉnh	Thủ Lĩnh Dã Ngoại	1	2			SkillUsual			156					enemy	0	1		2	155		10		logic	1			0										750	empty			6		200														1											20|1|100			100												
156	Hàn Băng Xung Đỉnh_Phụ	Thủ Lĩnh Dã Ngoại	5		2		SkillUsual			156	1				enemy	0	1		16	156				skill_remote	1			0										750	npc_20Header2_3																			1																										
