InteractID	Type	MainShape	MainParam	PassivityShape	PassivityParam	Desc	Name	Icon	IconAtlas	SendChat	RefuseChat	AcceptChat	MsgBoxConent
2	ActRunSt	F1	St|85;Run|86;Speed|15;X|-23;Y|28;X1|-25;Y1|40	F2	St|67;Run|68;Speed|20;X|22	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	F2	St|25;Run|26;Speed|15;X|-32;Y|45;X1|-34;Y1|54	M1	St|87;Run|88;Speed|20;X|28	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	F2	St|45;Run|46;Speed|15;X|-34;Y|55;X1|-17;Y1|48	M2	St|87;Run|88;Speed|20;X|32	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	F2	St|65;Run|66;Speed|15;X|-33;Y|33;X1|-13;Y1|40	F1	St|87;Run|88;Speed|20;X|25	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	F2	St|85;Run|86;Speed|15;X|-27;Y|30;X1|-15;Y1|33	F2	St|87;Run|88;Speed|20;X|25	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
3	HorseRunSt	M1	St|31;Run|32;HorseSlot|154;HY|-50	M1	St|29;Run|30;HorseSlot|153;HY|50;HidePart|5	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	M1	St|49;Run|50;HorseSlot|153;HY|50;HidePart|5	M2	St|29;Run|30;HorseSlot|154;HY|-50	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	M1	St|69;Run|70;HorseSlot|154;HY|-50	F1	St|29;Run|30;HorseSlot|153;HY|50;HidePart|5	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	M1	St|89;Run|90;HorseSlot|154;HY|-50	F2	St|29;Run|30;HorseSlot|153;HY|50;HidePart|5	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	M2	St|29;Run|30;HorseSlot|154;HY|-50	M1	St|49;Run|50;HorseSlot|153;HY|50;HidePart|5	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	M2	St|51;Run|52;HorseSlot|154;HY|-50	M2	St|49;Run|50;HorseSlot|153;HY|50;HidePart|5	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	M2	St|69;Run|70;HorseSlot|154;HY|-50	F1	St|69;Run|70;HorseSlot|153;HY|50;HidePart|5	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	M2	St|89;Run|90;HorseSlot|154;HY|-50	F2	St|49;Run|50;HorseSlot|153;HY|50;HidePart|5	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	F1	St|29;Run|30;HorseSlot|153;HY|50;HidePart|5	M1	St|69;Run|70;HorseSlot|154;HY|-50	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	F1	St|49;Run|50;HorseSlot|153;HY|50;HidePart|5	M2	St|69;Run|70;HorseSlot|154;HY|-50	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	F1	St|69;Run|70;HorseSlot|153;HY|50;HidePart|5	F1	St|71;Run|72;HorseSlot|154;HY|-50	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	F1	St|89;Run|90;HorseSlot|153;HY|50;HidePart|5	F2	St|69;Run|70;HorseSlot|154;HY|-50	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	F2	St|29;Run|30;HorseSlot|153;HY|50;HidePart|5	M1	St|89;Run|90;HorseSlot|154;HY|-50	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	F2	St|49;Run|50;HorseSlot|153;HY|50;HidePart|5	M2	St|89;Run|90;HorseSlot|154;HY|-50	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	F2	St|69;Run|70;HorseSlot|154;HY|-50	F1	St|89;Run|90;HorseSlot|153;HY|50;HidePart|5	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
3	HorseRunSt	F2	St|89;Run|90;HorseSlot|153;HY|50;HidePart|5	F2	St|91;Run|92;HorseSlot|154;HY|-50	Cùng cưỡi	Cùng cưỡi	Action3	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」chớp đôi mắt mộng mơ nhìn「$M」, chỉ về phía xa nói: Phong cảnh đẹp quá!	「$M」đỡ「$P」lên ngựa, cùng ngao du giang hồ, tự do tự tại!	「$M」huýt sáo, một con ngựa chạy đến, đưa tay ra mời lên ngựa.
4	CommonAct	M1	Act|33;ActEvent|10006;Len|25	M1	Act|35;ActEvent|10010	Ôm	Ôm	Action1	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn xung quanh, sau đó mỉm cười, huơ tay từ chối yêu cầu của「$M」.	「$P」ngã vào lòng「$M」, hai người cùng trải qua khoảng thời gian tĩnh lặng.	「$M」giang tay và cười ấm áp, như thể nói với ngươi hãy sà vào vòng tay đó.
4	CommonAct	M1	Act|53;ActEvent|10007;Len|50;X|-10	M2	Act|33;ActEvent|10006	Ôm	Ôm	Action1	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn xung quanh, sau đó mỉm cười, huơ tay từ chối yêu cầu của「$M」.	「$P」ngã vào lòng「$M」, hai người cùng trải qua khoảng thời gian tĩnh lặng.	「$M」giang tay và cười ấm áp, như thể nói với ngươi hãy sà vào vòng tay đó.
4	CommonAct	M1	Act|73;ActEvent|10008;Len|50;X|5	F1	Act|33;ActEvent|10006	Ôm	Ôm	Action1	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn xung quanh, sau đó mỉm cười, huơ tay từ chối yêu cầu của「$M」.	「$P」ngã vào lòng「$M」, hai người cùng trải qua khoảng thời gian tĩnh lặng.	「$M」giang tay và cười ấm áp, như thể nói với ngươi hãy sà vào vòng tay đó.
4	CommonAct	M1	Act|93;ActEvent|10009;Len|33;X|19	F2	Act|33;ActEvent|10006	Ôm	Ôm	Action1	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn xung quanh, sau đó mỉm cười, huơ tay từ chối yêu cầu của「$M」.	「$P」ngã vào lòng「$M」, hai người cùng trải qua khoảng thời gian tĩnh lặng.	「$M」giang tay và cười ấm áp, như thể nói với ngươi hãy sà vào vòng tay đó.
