SkillId	Desc	Selector	LiftPercent	Distance
2747	Duy Trì Nhóm Tại Chỗ (Băng Nhũ) 			
2805	Kiếm Phi Kinh Thiên			
2832	Thập Tự Kiếm			
2837	Phong Quyển			
2841	Trảm Phi			
2844	Đoạt Hồn Liên			
2851	Hoa Phi Hồ Điệp Kiếm			
2854	Bát Quái Trận			
2857	Quyết Biệt			
2860	Kiếm Phi Kinh Thiên			
2867	Thiên Ngoại Phi Tiên			
2871	Trấn Ngục Phá Thiên Kình			
2878	Kiếm Khí Lăng Vân			
2879	Hàng Long Phục Tượng Công			
2880	Tàn Dương Như Huyết			
2881	Hoành Tảo Thiên Quân			
2882	Cửu Khê Di Yên			
2886	Y Phong Kiếm Pháp			
2888	Phong Tuyết Cuồng Đao			
2893	Hành Sơn Tuyết			
24	Sát thương nhóm cận chiến 1			
25	Sát thương nhóm cận chiến 2			
26	Sát thương nhóm cận chiến 3			
27	Sát thương nhóm cận chiến 4			
59	Sát thương nhóm cận chiến 5			
28	Sát Thương Nhóm Xung Quanh 1			
29	Sát Thương Nhóm Xung Quanh 2			
30	Sát Thương Nhóm Xung Quanh 3			
31	Sát Thương Nhóm Xung Quanh 4			
61	Sát Thương Nhóm Xung Quanh 5			
42	Sát thương nhóm nhanh tầm xa 1			
43	Sát thương nhóm nhanh tầm xa 2			
44	Sát thương nhóm nhanh tầm xa 3			
45	Sát thương nhóm nhanh tầm xa 4			
63	Sát thương nhóm nhanh tầm xa 5			
46	Khống chế đơn tầm xa 1			
47	Khống chế đơn tầm xa 2			
48	Khống chế đơn tầm xa 3			
49	Khống chế đơn tầm xa 4			
65	Khống chế đơn tầm xa 5			
50	Khống chế nhóm tụ lực tầm xa 1			
51	Khống chế nhóm tụ lực tầm xa 2			
52	Khống chế nhóm tụ lực tầm xa 3			
53	Khống chế nhóm tụ lực tầm xa 4			
66	Khống chế nhóm tụ lực tầm xa 5			
2439	Va Chạm 1-Khống Chế			
2441	Va Chạm 2-Khống Chế			
2443	Va Chạm 3-Khống Chế			
2445	Va Chạm 4-Khống Chế			
2470	Va Chạm 5-Khống Chế			
2357	Xung Phong 1			
2351	Xung Phong 2			
2360	Xung Phong 3			
2354	Xung Phong 4			
2472	Xung Phong 5			
2363	Hoành Tảo 1			
2364	Hoành Tảo 2			
2475	Hoành Tảo 3			
2365	Hoành Tảo 4			
2366	Hoành Tảo 5			
2367	Sát thương duy trì xung quanh bản thân 1 (Có thể di chuyển) 			
2368	Sát thương duy trì xung quanh bản thân 2 (Có thể di chuyển) 			
2369	Sát thương duy trì xung quanh bản thân 3 (Có thể di chuyển) 			
2370	Sát thương duy trì xung quanh bản thân 4 (Có thể di chuyển) 			
2476	Sát thương duy trì xung quanh bản thân 5 (Có thể di chuyển) 			
2371	Sát thương tức thời xung quanh mục tiêu 1			
2373	Sát thương tức thời xung quanh mục tiêu 2			
2375	Sát thương tức thời xung quanh mục tiêu 3			
2377	Sát thương tức thời xung quanh mục tiêu 4			
2477	Sát thương tức thời xung quanh mục tiêu 5			
2427	Sát thương duy trì xung quanh mục tiêu 1			
2430	Sát thương duy trì xung quanh mục tiêu 2			
2433	Sát thương duy trì xung quanh mục tiêu 3			
2437	Sát thương duy trì xung quanh mục tiêu 4			
2480	Sát thương duy trì xung quanh mục tiêu 5			
2380	Sát thương phạm vi hình quạt 1 (Thi Triển)			
2382	Sát thương phạm vi hình quạt 2 (Thi Triển)			
2383	Sát thương phạm vi hình quạt 3 (Thi Triển)			
2484	Sát thương phạm vi hình quạt 4 (Thi Triển)			
2384	Sát thương phạm vi hình quạt 5 (Thi Triển)			
2425	Sát thương phạm vi hình quạt 6 (Thi Triển)			
2486	Sát thương đường thẳng 1 (Thi Triển)			
2487	Sát thương đường thẳng 2 (Thi Triển)			
2488	Sát thương đường thẳng 3 (Thi Triển)			
2489	Sát thương đường thẳng 4 (Thi Triển)			
2447	Sát thương đường thẳng 5 (Thi Triển)			
2393	Sát thương phạm vi hình quạt 1 (Tụ Lực)			
2391	Sát thương phạm vi hình quạt 2 (Tụ Lực)			
2387	Sát thương phạm vi hình quạt 3 (Tụ Lực)			
2389	Sát thương phạm vi hình quạt 4 (Tụ Lực)			
2490	Sát thương phạm vi hình quạt 5 (Tụ Lực)			
1568	Kỹ năng kích hoạt bẫy 1			
1554	Kỹ năng kích hoạt bẫy 2			
1558	Kỹ năng kích hoạt bẫy 3			
2396	Kỹ năng kích hoạt bẫy 4			
1556	Kỹ năng kích hoạt bẫy-Trị Liệu			
2405	Cường Lực (buff)			
2406	Bẫy Chu Kỳ			
2408	Bẫy Phun 1-Long Trụ			
2410	Bẫy Phun 2-Long Trụ			
2412	Bẫy Phun 3-Long Trụ			
2414	Bẫy Phun 4-Long Trụ			
2457	Bẫy Phun 1-Thường			
2459	Bẫy Phun 2-Thường			
2461	Bẫy Phun 3-Thường			
2463	Bẫy Phun 4-Thường			
1537	Cuồng Bạo (buff) 			
2709	Kinh Cúc (buff) 			
2453	Bẫy Liên Tục 1			
2454	Bẫy Liên Tục 2			
2493	Bẫy Liên Tục 3			
2495	Địa Diệm Hỏa (Tụ Lực) 			
1878	Vẫn Thạch (Tụ Lực) 			
1890	Bẫy Phun 5-Long Trụ			
1874	Xung Phong-Thường			
1876	Toàn Phong Trảm			
942	Tảng Đá Lớn			
946	Vỗ Cánh			
950	Tâm Nhãn			
953	Hô Phong Thuật			
955	Ảnh Tập			
960	Âm Phong Thực Cốt			
965	Lạc Anh Mạn Thiên			
967	Phong Lai Ngô Sơn			
970	Minh Nguyệt Quyết			
971	Tìm Thái Hồng			
973	Thanh Tâm Thuật	Random		
975	Đẩu Chuyển Tinh Di			
978	Phong Tuyết Băng Thiên			
980	Ma Diệm Tại Thiên			
984	Mục Dã Lưu Tinh			
2540	Mãnh Lực			
2544	Phong Vũ Nhẫn			
2803	Tọa Vọng Vô Ngã			
2813	Thiên Địa Vô Cực			
2819	Huyết Nguyệt Chi Ảnh			
2829	Nhiếp Hồn Loạn Tâm			
901	Huy Khảm Thuật			
902	Băng Chùy Thuật			
903	Phi Tiêu Thuật			
904	Hỏa Cầu Thuật			
905	Lôi Quang Thuật			
906	Phá Thiên Trảm 			
907	Băng Phong Chỉ			
908	Tụ Lí Tiễn			
909	Liệt Diệm Chỉ			
910	Nộ Lôi Chỉ 			
911	Bán Nguyệt Trảm			
912	Kinh Đào Hãi Lãng			
914	Xuyên Tâm Thích			
916	Thôi Sơn Điền Hải			
917	Cửu Thiên Cuồng Lôi			
921	Thuật Trị Liệu	Poorest	95	
923	Quần Thể Trị Liệu Thuật	Poorest	95	
925	Bách Thảo Tiên Lộ	Poorest	95	
927	Độc Chướng Thuật			
928	Quần Thể Độc Chướng			
930	Kim Cang Hộ Thể	Random		
931	Quần Thể Kim Cang			
933	Bất Động Minh Vương	Random		
934	Quần Thể Minh Vương			
940	Súc Lực Tiễn			
992	Lạc Thạch			
995	Bi Tô Thanh Phong			
998	Nhân Kiếm Hợp Nhất			
999	Trị Liệu Thuật 	Poorest	95	
3026	Mai phục			
3066	Trường Sinh Bất Lão			
3162	Hùng Miêu Xung Đỉnh			
3202	Sơn Băng Địa Liệt			
3205	Thất Thám Xà Bàn			
3209	Xạ Thạch Hổ			
3213	Bổ Nhào			
3225	Hộ Giá			
3235	Kim Thi			
3238	Mật Lâm Đấu Phồn Tinh			
3241	Nghịch Lưu			
3244	Tam Muội Li Hỏa Ngục			
3247	Bát Phương Tinh Lôi Đỗng			
3250	Quần Thể Kim Cang-Cao			
3252	Quần Thể Minh Vương-Cao			
3257	Phá Thiên Nhất Kích			
3259	Thập Phương Câu Tĩnh			
3261	Quần Thể Độc Chướng-Cao			
4012	Cửu Cung Phi Tinh			
4008	Bạo Vũ Lê Hoa			
4006	Triền Thân Thích			800
4010	Mê Ảnh Tung			-10
4106	Tiên Nhân Chỉ Lộ			
4108	Hỗn Độn Kiếm Trận			
4110	Tiếu Phong Tam Liên Kích			
4112	Lôi Động Cửu Thiên			
3278	Cửu Cung Phi Tinh-Đường Giản Đồng Hành			
1787	Cửu Cung Phi Tinh-Đường Giản Minh Chủ			
1790	Xuyên Tâm Tiêu-Đường Giản Minh Chủ			
4323	Kỹ năng Linh Xà (Tàn phế) 			
4325	Kỹ năng Bích Thiềm (Giảm Kháng Mộc) 			
4330	Kỹ năng Phong Ngô (Giảm né tránh) 			
4333	Kỹ năng Mặc Thù (Tăng thời gian Độc)			
4211	Túy Điệp Cuồng Vũ			
4208	Khốn Long Công			
4213	Long Chiến Vu Dã			
4206	Hàng Long Hữu Hối			
4312	Triệu Hồi Độc Trùng			
4334	Mê Tâm Cổ			
4309	Âm Phong Thực Cốt			
4339	Vạn Cổ Thực Tâm			
3283	Phong Quyển Sa			
3289	Âm Phong Thực Cốt			
3292	Hàng Long Hữu Hối			
3295	Bạo Vũ Lê Hoa			
3902	Hồng Môn Yến			
3906	Hàng Băng Thích			
3909	Hạt Hoàng Cổ			
3914	Ngục Hỏa Thiên Diệm			
3924	Phi Yến Lăng Ba			
3925	Ngân Bình Ngọc Toái			
4410	Tâm Kiếm			
4413	Phong Tháp Vân Cảnh			
4408	Bình Hồ Đoạn Nguyệt			
4406	Cửu Khê Di Yên			
4508	Vân Sinh Kết Hải			
4506	Bình Sa Nhạn Lạc			
4512	Thanh Âm Trường Khiếu			
4518	Giang Trục Nguyệt Thiên			
3921	Sức Mạnh Nữ Đế			
3918	Thanh Sơn Ngã Ý			
4611	Không Sơn Ngưng Vân			
4608	Ngân Bình Ngọc Toái			
4606	Phi Yến Lăng Ba			
4613	Thủy Long Ngâm			
1780	Ám Ảnh Thích			
5015	Bá Đao-Cuồng Bạo			
5008	Bá Đao-Xung Kích			
5011	Bá Đao-Xé Toạc			
5005	Bá Đao-Huyết Đao			
5212	Triều Dương Kiếm Khí			
5209	Thiên Thân Đảo Huyền			
5215	Phong Tống Tử Hà			
5206	Tiêu Sử Thừa Long			
5511	Hỏa Quang Tàn Ảnh			
5508	Điện Quang Thạch Hỏa			
5515	Hủy Thiên Diệt Địa			
5506	Phần Sơn Phệ Xuyên			
3928	Hợp Tung Liên Hoành			
5626	Thủy Long Ngục			
5611	Lục Mạch Thần Kiếm			
5606	Nhất Dương Chỉ			
5608	Ngũ La Khinh Yên			
3932	Âm Dương Quyết			
5703	启明之怒			
5705	句芒唤荆			
5707	怒霜狂滔			
5709	焚天火祭			
5711	大地蟒动			
5713	超群金刚			
5716	超群明王			
5721	破天惊月			
5724	百念惧灭			
5726	毒泷恶雾			
5806	执颖点墨			
5839	与虎添翼			
5812	绘虎点睛			
5810	墨虎如生			
5808	兰摧玉折			
