nEventId	nTypeId	szTyepName	nTarget	nBaseGold	szAddGoldList	nCount	nAverageMin	nKind
48	21	Bang Chủ Ưu Tú		500	2500_1000_500	30	5	1
49	22	Bang Chủ Tiêu Chuẩn		200	1000_400_200	20	5	1
50	23	Bang Phó Kim Bài		1000	5000_2000_1000	50	10	1
51	24	Bang Phó Trác Việt		500	2500_1000_500	40	5	1
52	25	Bang Phó Ưu Tú		200	1000_400_200	20	5	1
53	26	Bang Phó Tiêu Chuẩn		100	500_200_100	15	5	1
54	27	Trưởng Lão Kim Bài		500	2500_1000_500	50	5	1
55	28	Trưởng Lão Trác Việt		200	1000_400_200	40	5	1
56	29	Trưởng Lão Ưu Tú		100	500_200_100	20	5	1
57	30	Mua Quà 7 Ngày		100	500_200_100	15	5	1
58	31	Mua Quà 30 Ngày		200	1000_400_200	30	5	1
59	32	Mua Đầu Tư		400	2000_800_400	30	5	1
60	33	Mua Đầu Tư 2		400	2000_800_400	30	5	1
65	35	Mua Đầu Tư 3		400	2000_800_400	30	5	1
66	36	Chiến thắng Tâm Ma Ảo Cảnh		600	3000_1200_600	40	6	1
67	37	BXH Chiến Trường Bách Nhân	1	600	3000_1200_600	30	6	1
68	38	Mua Đầu Tư (Ngày Lễ)		400	2000_800_400	30	5	1
69	39	Quà Năm Mới Như Ý		1000	5000_2000_1000	50	10	1
70	40	Quà Năm Mới May Mắn		600	3000_1200_600	40	6	1
71	41	Quà Năm Mới Vui Vẻ		400	2000_800_400	30	5	1
72	42	Quà Năm Mới Phát Triển		150	750_300_150	20	5	1
73	43	Mua Đầu Tư 4		400	2000_800_400	30	5	1
74	44	Mua Đầu Tư 5		400	2000_800_400	30	5	1
75	45	Hạng 1 Chiến Trường Tháng	1	2000	10000_4000_2000	100	20	3
76	46	Quần Anh Hội Toàn Thắng	6	600	3000_1200_600	40	6	1
77	47	Sinh Nhật Võ Lâm Truyền Kỳ		500	2500_1000_500	30	5	1
78	47	Sinh Nhật Võ Lâm Truyền Kỳ		1000	5000_2000_1000	50	10	1
79	48	Mua Quà Duyên Khởi Sinh Nhật		1000	5000_2000_1000	50	10	1
80	49	Mua Quà Tình Vận Sinh Nhật		600	3000_1200_600	40	6	1
81	50	Mua Quà Hiệp Tung Sinh Nhật		400	2000_800_400	30	5	1
82	51	Mua Quà Kiếm Ảnh Sinh Nhật		150	750_300_150	20	5	1
83	52	Bầu Chọn Mỹ Nhân Được Hạng 1 Sơ Loại		15000	75000_30000_15000	100	150	1
84	53	Bầu Chọn Mỹ Nhân Được Top 10 Sơ Loại		4000	20000_8000_4000	80	40	1
85	54	Bầu Chọn Mỹ Nhân Sơ Loại Được 199 phiếu	199	400	2000_800_400	30	5	1
86	55	Bầu Chọn Mỹ Nhân Được Hạng 1 Chung kết		100000	500000_200000_100000	100	1000	1
87	56	Bầu Chọn Mỹ Nhân-Hạng 1 Sơ Loại (Lì Xì Toàn Server) 		15000	75000_30000_15000	500	30	1
88	57	Top 10 Chung Kết Bầu Chọn Mỹ Nhân (Lì Xì Toàn Server) 		100000	500000_200000_100000	1000	100	1
89	58	Hạng 1 Chung Kết Bầu Chọn Mỹ Nhân (Lì Xì Toàn Server) 		200000	1000000_400000_200000	1000	200	1
90	59	Bầu Chọn Mỹ Nhân Được Top 10 Chung Kết		50000	250000_100000_50000	100	500	1
91	60	Lên Thông Thiên Tháp Tháng-Tầng 8	8	2000	10000_4000_2000	100	20	3
92	61	Mua Combo Quà Mỗi Ngày 200,000 VNĐ		300	1500_600_300	30	5	1
93	62	Chung kết Bầu Chọn Mỹ Nhân được 8000 phiếu	8000	15000	75000_30000_15000	100	150	1
94	63	Chung kết Bầu Chọn Mỹ Nhân được 8000 phiếu (Lì Xì Toàn Máy Chủ) 	8000	20000	100000_40000_20000	500	40	1
96	65	Quán Quân Đại Hội Võ Lâm		10000	50000_20000_10000	100	100	3
97	66	Bán kết Đại Hội Võ Lâm		5000	25000_10000_5000	100	50	3
98	67	Top 16 Đại Hội Võ Lâm		3000	15000_6000_3000	80	30	1
99	68	Đại Hội Võ Lâm Tinh Anh		500	2500_1000_500	30	5	1
100	69	Quán quân Đại Hội Võ Lâm (Lì Xì toàn server)		50000	250000_100000_50000	500	100	1
101	70	Bán kết Đại Hội Võ Lâm (Lì Xì toàn server)		10000	50000_20000_10000	200	50	1
102	71	Mua Quà Kiếm Ca Giang Hồ		1000	5000_2000_1000	50	20	1
103	72	Mua Quà Vũ Động Càn Khôn		600	3000_1200_600	40	15	1
104	73	Mua Quà Trường Âm Triền Nhiễu		400	2000_800_400	30	13	1
105	74	Mua Quà Kiếm Khí Tung Hoành		150	750_300_150	20	7	1
106	75	Đấu giá ở Thương Nhân Tây Vực hơn 1000		500	2500_1000_500	50	10	1
107	76	Đấu giá ở Thương Nhân Tây Vực hơn 2000		1000	5000_2000_1000	100	10	1
108	77	Đấu giá ở Thương Nhân Tây Vực hơn 5000		2000	10000_4000_2000	200	10	1
109	78	Đấu giá ở Thương Nhân Tây Vực hơn 10000		5000	25000_10000_5000	250	20	1
110	79	Đấu giá ở Thương Nhân Tây Vực hơn 20000		10000	50000_20000_10000	300	30	1
111	80	Đấu giá ở Thương Nhân Tây Vực hơn 50000		20000	100000_40000_20000	600	30	1
112	81	Đấu giá ở Thương Nhân Tây Vực hơn 100000		50000	250000_100000_50000	1000	50	1
113	82	Đấu giá ở Thương Nhân Tây Vực hơn 120000		60000	300000_120000_60000	1000	60	1
114	83	Đấu giá ở Thương Nhân Tây Vực hơn 150000		80000	400000_160000_80000	1000	80	1
115	84	Đấu giá ở Thương Nhân Tây Vực hơn 180000		90000	450000_180000_90000	1000	90	1
116	85	Đấu giá ở Thương Nhân Tây Vực hơn 200000		100000	500000_200000_100000	1000	100	1
117	86	Quà Nữ Thần Quyến Rũ		1000	5000_2000_1000	50	10	1
118	87	Quà Nữ Thần Vui Vẻ 		600	3000_1200_600	40	6	1
119	88	Quà Nữ Thần Xinh Đẹp 		400	2000_800_400	30	5	1
120	89	Quà Nữ Thần Ấm Áp 		150	750_300_150	20	5	1
121	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	5	500	2500_1000_500	50	10	1
122	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	6	500	2500_1000_500	50	10	1
123	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	7	800	4000_1600_800	50	15	1
124	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	8	800	4000_1600_800	50	15	1
125	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	9	1000	5000_2000_1000	50	20	1
126	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	10	1000	5000_2000_1000	50	20	1
127	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	11	1000	5000_2000_1000	50	20	1
128	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	12	1000	5000_2000_1000	50	20	1
129	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	13	1000	5000_2000_1000	50	20	1
130	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	14	1000	5000_2000_1000	50	20	1
131	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	15	1000	5000_2000_1000	50	20	1
132	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	16	1000	5000_2000_1000	50	20	1
133	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	17	1000	5000_2000_1000	50	20	1
134	90	Tổ chức hôn lễ Trang Viên-Tình Nồng	18	1000	5000_2000_1000	50	20	1
135	91	Tổ chức hôn lễ Hải Tân-Lãm Nguyệt	9	2000	10000_4000_2000	50	40	1
136	91	Tổ chức hôn lễ Hải Tân-Lãm Nguyệt	10	3000	15000_6000_3000	100	30	1
137	91	Tổ chức hôn lễ Hải Tân-Lãm Nguyệt	11	3000	15000_6000_3000	100	30	1
138	91	Tổ chức hôn lễ Hải Tân-Lãm Nguyệt	12	5000	25000_10000_5000	100	50	1
139	91	Tổ chức hôn lễ Hải Tân-Lãm Nguyệt	13	5000	25000_10000_5000	100	50	1
140	91	Tổ chức hôn lễ Hải Tân-Lãm Nguyệt	14	5000	25000_10000_5000	100	50	1
141	91	Tổ chức hôn lễ Hải Tân-Lãm Nguyệt	15	5000	25000_10000_5000	100	50	1
142	91	Tổ chức hôn lễ Hải Tân-Lãm Nguyệt	16	5000	25000_10000_5000	100	50	1
143	91	Tổ chức hôn lễ Hải Tân-Lãm Nguyệt	17	5000	25000_10000_5000	100	50	1
144	91	Tổ chức hôn lễ Hải Tân-Lãm Nguyệt	18	5000	25000_10000_5000	100	50	1
145	92	Tổ chức hôn lễ Thuyền-Long Phụng	12	5000	25000_10000_5000	100	50	1
146	92	Tổ chức hôn lễ Thuyền-Long Phụng	13	8000	40000_16000_8000	100	80	1
147	92	Tổ chức hôn lễ Thuyền-Long Phụng	14	8000	40000_16000_8000	100	80	1
148	92	Tổ chức hôn lễ Thuyền-Long Phụng	15	8000	40000_16000_8000	100	80	1
149	92	Tổ chức hôn lễ Thuyền-Long Phụng	16	10000	50000_20000_10000	100	100	1
150	92	Tổ chức hôn lễ Thuyền-Long Phụng	17	10000	50000_20000_10000	100	100	1
151	92	Tổ chức hôn lễ Thuyền-Long Phụng	18	10000	50000_20000_10000	100	100	1
152	93	Đạt đến Tầng 8 Thông Thiên Tháp Quý	8	5000	25000_10000_5000	100	50	3
153	94	Thắng Tâm Ma Ảo Cảnh Tháng		2000	10000_4000_2000	100	20	1
154	95	Thắng Tâm Ma Ảo Cảnh Quý		5000	25000_10000_5000	100	50	1
155	96	Kết Hôn nửa năm		1000	5000_2000_1000	50	10	2
156	97	Mua Đầu Tư 6		400	2000_800_400	30	5	1
157	98	Mua Đầu Tư 7		400	2000_800_400	30	5	1
158	99	Hạng Quần Anh Hội	1	600	3000_1200_600	40	6	1
159	100	Hạng 1 Chiến Trường-Quý	1	4000	20000_8000_4000	100	40	3
160	101	Hạng 1 Chiến Trường-Năm (Bang Hội)	1	6000	30000_12000_6000	100	60	3
161	102	Hạng 1 Chiến Trường-Năm (Toàn Máy Chủ)	1	10000	50000_20000_10000	300	33	1
162	103	Mua Đầu Tư 8		400	2000_800_400	30	5	1
163	104	Mua Quà 7 Ngày		200	1000_400_200	30	5	1
164	105	Lên Thông Thiên Tháp Năm-Tầng 8	8	8000	40000_16000_8000	100	80	3
165	106	Bình chọn vòng loại The Voice được 199 phiếu	199	400	2000_800_400	30	5	1
166	107	Top 10 vòng loại The Voice		4000	20000_8000_4000	80	40	1
167	108	Hạng 1 vòng loại The Voice		15000	75000_30000_15000	100	150	1
168	109	Vòng Chung Kết The Voice được 8000 phiếu	8000	5000	25000_10000_5000	100	50	1
169	110	Bình chọn The Voice đạt top 3 Vòng Chung Kết		5000	25000_10000_5000	100	50	1
170	111	Bình chọn The Voice đạt top 3 Vòng Chung Kết môn phái		5000	25000_10000_5000	100	50	1
171	112	Bình chọn The Voice đạt quán quân Vòng Chung Kết		10000	50000_20000_10000	100	100	1
172	113	Bình chọn The Voice đạt quán quân Vòng Chung Kết môn phái		10000	50000_20000_10000	100	100	1
173	114	Bình chọn The Voice đạt quán quân Vòng Chung Kết		20000	100000_40000_20000	100	100	1
174	115	Bình chọn The Voice đạt top 10 chung kết		50000	250000_100000_50000	100	500	1
175	116	Bình chọn The Voice đạt hạng 1 chung kết		100000	500000_200000_100000	100	1000	1
176	117	Bình chọn The Voice đạt hạng 1 vòng loại (Lì Xì Toàn Máy Chủ)		15000	75000_30000_15000	500	30	1
177	118	Bình chọn The Voice đạt 8000 phiếu Vòng Chung Kết (Lì Xì Toàn Máy Chủ)	8000	10000	50000_20000_10000	300	33	1
178	119	Bình chọn The Voice đạt top 3 Vòng Chung Kết (Lì Xì Toàn Máy Chủ)		10000	50000_20000_10000	300	33	1
179	120	Bình chọn The Voice đạt top 3 Vòng Chung Kết môn phái (Lì Xì Toàn Máy Chủ)		10000	50000_20000_10000	300	33	1
180	121	Bình chọn The Voice đạt quán quân Vòng Chung Kết (Lì Xì Toàn Máy Chủ)		20000	100000_40000_20000	500	40	1
181	122	Bình chọn The Voice đạt quán quân Vòng Chung Kết môn phái (Lì Xì Toàn Máy Chủ)		20000	100000_40000_20000	500	40	1
182	123	Bình chọn The Voice đạt quán quân Vòng Chung Kết (Lì Xì Toàn Máy Chủ)		40000	200000_80000_40000	500	80	1
183	124	Trong The Voice đạt Top 10 chung kết (Lì Xì Toàn Máy Chủ)		100000	500000_200000_100000	1000	100	1
184	125	Trong The Voice đạt hạng 1 chung kết (Lì Xì Toàn Máy Chủ)		200000	1000000_400000_200000	1000	200	1
185	126	vn-Tuyển Chọn Mỹ Nhân nhận 8000 phiếu bầu	8000	15000	75000_30000_15000	100	150	1
186	127	vn-Hạng 2 Tuyển Chọn Mỹ Nhân		80000	400000_160000_80000	100	800	1
187	128	vn-Hạng 3 Tuyển Chọn Mỹ Nhân		60000	300000_120000_60000	100	600	1
188	129	vn-Top 20 Tuyển Chọn Mỹ Nhân		50000	250000_100000_50000	100	500	1
189	130	vn-Tuyển Chọn Mỹ Nhân nhận 8000 phiếu bầu (Lì Xì toàn máy chủ)	8000	20000	100000_40000_20000	500	40	1
190	131	vn-Hạng 2 Chung Kết Tuyển Chọn Mỹ Nhân (Lì Xì toàn máy chủ)		150000	750000_300000_150000	1000	150	1
191	132	vn-Hạng 3 Chung Kết Tuyển Chọn Mỹ Nhân (Lì Xì toàn máy chủ)		120000	600000_240000_120000	1000	120	1
192	133	vn-Top 20 Chung Kết Tuyển Chọn Mỹ Nhân (Lì Xì toàn máy chủ)		100000	500000_200000_100000	1000	100	1
193	134	Hùng Tài Thao Lược		5000	25000_10000_5000	100	50	2
194	135	Danh Tướng Vô Song		3000	15000_6000_3000	100	30	2
195	136	Liệu Địch Như Thần		3000	15000_6000_3000	100	30	2
196	137	Vạn Quân Xuất Chinh		2000	10000_4000_2000	100	20	2
197	138	Kết hôn đủ 1 năm		2000	10000_4000_2000	100	20	2
198	139	Thủ Lĩnh Hưng Thịnh		5000	25000_10000_5000	100	50	2
199	140	Bang Chủ Hưng Thịnh		3000	15000_6000_3000	100	30	2
200	141	Thủ Lĩnh Hưng Vượng		3000	15000_6000_3000	100	30	2
201	142	Bang Chủ Hưng Vượng		2000	10000_4000_2000	100	20	2
202	143	Năng Động Thủ Lĩnh		2000	10000_4000_2000	100	20	2
203	144	Năng Động Bang Chủ		1000	5000_2000_1000	50	10	2
204	145	Mở Rương Phúc Lộc Tầng 6		1000	5000_2000_1000	50	10	3
205	146	Chỉ Huy Kim Bài		500	2500_1000_500	50	5	1
206	147	Chỉ Huy Trác Việt		200	1000_400_200	40	5	1
207	148	Chỉ Huy Tốt		100	500_200_100	20	5	1
208	149	Mua Combo Quà Mỗi Ngày 500,000 VNĐ		400	2000_800_400	30	5	1
215	156	20 người Múa Rồng đạt		500	2500_1000_500	20	25	3
216	157	20 người Múa Rồng đạt		500	2500_1000_500	20	25	3
217	158	30 người Múa Rồng đạt		1000	5000_2000_1000	30	33	3
218	159	30 người Múa Rồng đạt		1000	5000_2000_1000	30	33	3
219	160	50 người Múa Rồng đạt		2000	10000_4000_2000	50	40	3
220	161	50 người Múa Rồng đạt		2000	10000_4000_2000	50	40	3
221	162	70 người Múa Rồng đạt		3000	15000_6000_3000	70	42	3
222	163	70 người Múa Rồng đạt		3000	15000_6000_3000	70	42	3
223	164	100 người Múa Rồng đạt		5000	25000_10000_5000	100	50	3
224	165	100 người Múa Rồng đạt		5000	25000_10000_5000	100	50	3
