TemplateID	Info	Type	Desc	ExtPar1	ExtPar2	ExtPar3
242	Đá Tấn Công Lv3	7	Trân Bảo Các			
243	Đá Tấn Công Lv4	7	Trân Bảo Các			
244	Đá Tấn Công Lv5	7	Trân Bảo Các			
245	Đá Tấn Công Lv6	7	Trân Bảo Các			
246	Đá Tấn Công Lv7	7	Trân Bảo Các			
247	Đá Tấn Công Lv8	7	Trân Bảo Các			
248	Đá Tấn Công Lv9	7	Trân Bảo Các			
249	Đá Tấn Công Lv10	7	Trân Bảo Các			
250	Đá Kháng Tính Lv1	7	Trân Bảo Các			
251	Đá Kháng Tính Lv2	7	Trân Bảo Các			
252	Đá Kháng Tính Lv3	7	Trân Bảo Các			
253	Đá Kháng Tính Lv4	7	Trân Bảo Các			
254	Đá Kháng Tính Lv5	7	Trân Bảo Các			
255	Đá Kháng Tính Lv6	7	Trân Bảo Các			
256	Đá Kháng Tính Lv7	7	Trân Bảo Các			
257	Đá Kháng Tính Lv8	7	Trân Bảo Các			
258	Đá Kháng Tính Lv9	7	Trân Bảo Các			
259	Đá Kháng Tính Lv10	7	Trân Bảo Các			
260	Đá Bỏ Qua Kháng Lv1	7	Trân Bảo Các			
261	Đá Bỏ Qua Kháng Lv2	7	Trân Bảo Các			
262	Đá Bỏ Qua Kháng Lv3	7	Trân Bảo Các			
263	Đá Bỏ Qua Kháng Lv4	7	Trân Bảo Các			
264	Đá Bỏ Qua Kháng Lv5	7	Trân Bảo Các			
265	Đá Bỏ Qua Kháng Lv6	7	Trân Bảo Các			
266	Đá Bỏ Qua Kháng Lv7	7	Trân Bảo Các			
267	Đá Bỏ Qua Kháng Lv8	7	Trân Bảo Các			
268	Đá Bỏ Qua Kháng Lv9	7	Trân Bảo Các			
269	Đá Bỏ Qua Kháng Lv10	7	Trân Bảo Các			
270	Đá Né Tránh Lv1	7	Trân Bảo Các			
271	Đá Né Tránh Lv2	7	Trân Bảo Các			
272	Đá Né Tránh Lv3	7	Trân Bảo Các			
273	Đá Né Tránh Lv4	7	Trân Bảo Các			
274	Đá Né Tránh Lv5	7	Trân Bảo Các			
275	Đá Né Tránh Lv6	7	Trân Bảo Các			
276	Đá Né Tránh Lv7	7	Trân Bảo Các			
277	Đá Né Tránh Lv8	7	Trân Bảo Các			
278	Đá Né Tránh Lv9	7	Trân Bảo Các			
279	Đá Né Tránh Lv10	7	Trân Bảo Các			
280	Đá Bỏ Qua Né Tránh Lv1	7	Trân Bảo Các			
281	Đá Bỏ Qua Né Tránh Lv2	7	Trân Bảo Các			
282	Đá Bỏ Qua Né Tránh Lv3	7	Trân Bảo Các			
283	Đá Bỏ Qua Né Tránh Lv4	7	Trân Bảo Các			
284	Đá Bỏ Qua Né Tránh Lv5	7	Trân Bảo Các			
285	Đá Bỏ Qua Né Tránh Lv6	7	Trân Bảo Các			
286	Đá Bỏ Qua Né Tránh Lv7	7	Trân Bảo Các			
287	Đá Bỏ Qua Né Tránh Lv8	7	Trân Bảo Các			
288	Đá Bỏ Qua Né Tránh Lv9	7	Trân Bảo Các			
289	Đá Bỏ Qua Né Tránh Lv10	7	Trân Bảo Các			
290	Đá Bạo Kích Lv1	7	Trân Bảo Các			
291	Đá Bạo Kích Lv2	7	Trân Bảo Các			
292	Đá Bạo Kích Lv3	7	Trân Bảo Các			
293	Đá Bạo Kích Lv4	7	Trân Bảo Các			
294	Đá Bạo Kích Lv5	7	Trân Bảo Các			
295	Đá Bạo Kích Lv6	7	Trân Bảo Các			
296	Đá Bạo Kích Lv7	7	Trân Bảo Các			
297	Đá Bạo Kích Lv8	7	Trân Bảo Các			
298	Đá Bạo Kích Lv9	7	Trân Bảo Các			
299	Đá Bạo Kích Lv10	7	Trân Bảo Các			
300	Đá Giảm Bạo Kích Lv1	7	Trân Bảo Các			
301	Đá Giảm Bạo Kích Lv2	7	Trân Bảo Các			
302	Đá Giảm Bạo Kích Lv3	7	Trân Bảo Các			
303	Đá Giảm Bạo Kích Lv4	7	Trân Bảo Các			
304	Đá Giảm Bạo Kích Lv5	7	Trân Bảo Các			
305	Đá Giảm Bạo Kích Lv6	7	Trân Bảo Các			
306	Đá Giảm Bạo Kích Lv7	7	Trân Bảo Các			
307	Đá Giảm Bạo Kích Lv8	7	Trân Bảo Các			
308	Đá Giảm Bạo Kích Lv9	7	Trân Bảo Các			
309	Đá Giảm Bạo Kích Lv10	7	Trân Bảo Các			
310	Đá Hiệu Quả Lv1	7	Trân Bảo Các			
311	Đá Hiệu Quả Lv2	7	Trân Bảo Các			
312	Đá Hiệu Quả Lv3	7	Trân Bảo Các			
313	Đá Hiệu Quả Lv4	7	Trân Bảo Các			
314	Đá Hiệu Quả Lv5	7	Trân Bảo Các			
315	Đá Hiệu Quả Lv6	7	Trân Bảo Các			
316	Đá Hiệu Quả Lv7	7	Trân Bảo Các			
317	Đá Hiệu Quả Lv8	7	Trân Bảo Các			
318	Đá Hiệu Quả Lv9	7	Trân Bảo Các			
319	Đá Hiệu Quả Lv10	7	Trân Bảo Các			
320	Đá Giảm Hiệu Quả Lv1	7	Trân Bảo Các			
321	Đá Giảm Hiệu Quả Lv2	7	Trân Bảo Các			
322	Đá Giảm Hiệu Quả Lv3	7	Trân Bảo Các			
323	Đá Giảm Hiệu Quả Lv4	7	Trân Bảo Các			
324	Đá Giảm Hiệu Quả Lv5	7	Trân Bảo Các			
325	Đá Giảm Hiệu Quả Lv6	7	Trân Bảo Các			
326	Đá Giảm Hiệu Quả Lv7	7	Trân Bảo Các			
327	Đá Giảm Hiệu Quả Lv8	7	Trân Bảo Các			
328	Đá Giảm Hiệu Quả Lv9	7	Trân Bảo Các			
329	Đá Giảm Hiệu Quả Lv10	7	Trân Bảo Các			
