TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ShowType
741	Bạch Ngọc Thoa	antique_6	34	741	741		TaskItem	10	Cấp Đồ Cổ: Lv1 (Thường)\n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	12000	1	1	1000		1	1	99999											
742	Mặc Ngọc Nghiễn	antique_7	34	742	742		TaskItem	10	Cấp Đồ Cổ: Lv1 (Thường)\n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	12000	1	1	1000		1	1	99999											
743	Thanh Trúc Giản	antique_8	34	743	743		TaskItem	10	Cấp Đồ Cổ: Lv1 (Thường)\n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	12000	1	1	1000		1	1	99999											
744	Thất Huyền Cổ Cầm	antique_9	34	744	744		TaskItem	10	Cấp Đồ Cổ: [6cdd00]Lv2 (Quý)[-] \n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	24000	1	1	1000	2	1	1	99999											
745	Thiên Thủ Quan Âm	antique_10	34	745	745		TaskItem	10	Cấp Đồ Cổ: [6cdd00]Lv2 (Quý)[-] \n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	24000	1	1	1000	2	1	1	99999											
746	Trường Minh Cung Đăng	antique_11	34	746	746		TaskItem	10	Cấp Đồ Cổ: [6cdd00]Lv2 (Quý)[-] \n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	24000	1	1	1000	2	1	1	99999											
747	Thanh Đồng Đại Đỉnh	antique_12	34	747	747		TaskItem	10	Cấp Đồ Cổ: [11c6fd]Lv3 (Hiếm)[-] \n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	60000	1	1	1000	3	1	1	99999											
749	Rương Võ Thần-Hoàng Kim	BossBoxA1	34	100	100		RandomItem	1	Võ Thần Điện [FFFE0D]22:00[-] khi tổng kết xếp hạng, Top [FFFE0D]400[-] trở lên tự động trừ [FFFE0D]1000[-] Vinh Dự để đổi\n\nCó thể nhận được:\n[FFFE0D]Dây Chuyền Hiếm bậc 2, Dây Chuyền Kế Thừa bậc 2, Đá Hồn Dương Thiết Tâm, Cống hiến[-]		1	1	1000	4	1	0	99999	749										
750	Rương Võ Thần-Hoàng Kim	BossBoxA2	34	100	100		RandomItem	1	Võ Thần Điện [FFFE0D]22:00[-] khi tổng kết xếp hạng, Top [FFFE0D]400[-] trở lên tự động trừ [FFFE0D]1000[-] Vinh Dự để đổi\n\nCó thể nhận được: \n[FFFE0D]Dây Chuyền Hiếm bậc 3, Dây Chuyền Kế Thừa bậc 3, Đá Hồn Dương Thiết Tâm, Cống hiến[-]		1	1	1000	4	1	0	99999	750										
751	Rương Võ Thần-Hoàng Kim	BossBoxB1	34	100	100		RandomItem	1	Võ Thần Điện [FFFE0D]22:00[-] khi tổng kết xếp hạng, Top [FFFE0D]400[-] trở lên tự động trừ [FFFE0D]1000[-] Vinh Dự để đổi\n\nCó thể nhận được: \n[FFFE0D]Mảnh Dây Chuyền Hiếm bậc 4, Dây Chuyền Kế Thừa bậc 4, Đá Hồn Dương Thiết Tâm, Cống hiến[-]		1	1	1000	4	1	0	99999	751										
752	Rương Võ Thần-Hoàng Kim	BossBoxB2	34	100	100		RandomItem	1	Võ Thần Điện [FFFE0D]22:00[-] khi tổng kết xếp hạng, Top [FFFE0D]400[-] trở lên tự động trừ [FFFE0D]1000[-] Vinh Dự để đổi\n\nCó thể nhận được: \n[FFFE0D]Mảnh Dây Chuyền Hiếm bậc 5, Mảnh Dây Chuyền Kế Thừa bậc 5, Đá Hồn Dương Anh, Đá Hồn Dương Thiết Tâm, cống hiến[-] 		1	1	1000	4	1	0	99999	752										
753	Rương Võ Thần-Hoàng Kim	BossBoxC1	34	100	100		RandomItem	1	Võ Thần Điện [FFFE0D]22:00[-] khi tổng kết xếp hạng, Top [FFFE0D]400[-] trở lên tự động trừ [FFFE0D]1000[-] Vinh Dự để đổi\n\nCó thể nhận được: \n[FFFE0D]Mảnh Dây Chuyền Hiếm bậc 5, Mảnh Dây Chuyền Kế Thừa bậc 5, Đá Hồn Dương Anh, Đá Hồn Dương Thiết Tâm, cống hiến[-] 		1	1	1000	4	1	0	99999	753										
754	Rương Võ Thần-Bạch Ngân	BossBoxC2	34	100	100		RandomItem	1	Võ Thần Điện [FFFE0D]22:00[-] khi tổng kết xếp hạng, tự động trừ [FFFE0D]500[-] Vinh Dự để đổi\n\nCó thể nhận được: \n[FFFE0D]Dây Chuyền Kế Thừa bậc 2, Đá Hồn Dương Thiết Tâm, cống hiến[-] 		1	1	1000	3	1	0	99999	754										
760	Rương Võ Thần-Bạch Ngân	BossBoxD1	34	100	100		RandomItem	1	Võ Thần Điện [FFFE0D]22:00[-] khi tổng kết xếp hạng, tự động trừ [FFFE0D]500[-] Vinh Dự để đổi\n\nCó thể nhận được: \n[FFFE0D]Dây Chuyền Kế Thừa bậc 3, Đá Hồn Dương Thiết Tâm, cống hiến[-]		1	1	1000	3	1	0	99999	760										
761	Rương Võ Thần-Bạch Ngân	BossBoxE1	34	100	100		RandomItem	1	Võ Thần Điện [FFFE0D]22:00[-] khi tổng kết xếp hạng, tự động trừ [FFFE0D]500[-] Vinh Dự để đổi\n\nCó thể nhận được: \n[FFFE0D]Mảnh Dây Chuyền Kế Thừa bậc 4, Đá Hồn Dương Thiết Tâm, cống hiến[-]		1	1	1000	3	1	0	99999	761										
762	Rương Võ Thần-Bạch Ngân	BossBoxD2	34	100	100		RandomItem	1	Võ Thần Điện [FFFE0D]22: 00[-] khi tổng kết xếp hạng, tự động trừ [FFFE0D]500[-] Vinh Dự để đổi\n\nCó thể nhận được: \n[FFFE0D]Mảnh Dây Chuyền Kế Thừa bậc 5, Đá Hồn Dương Thiết Tâm, cống hiến[-]		1	1	1000	3	1	0	99999	762										
763	Rương Võ Thần-Bạch Ngân	BossBoxE2	34	100	100		RandomItem	1	Võ Thần Điện [FFFE0D]22: 00[-] khi tổng kết xếp hạng, tự động trừ [FFFE0D]500[-] Vinh Dự để đổi\n\nCó thể nhận được: \n[FFFE0D]Mảnh Dây Chuyền Kế Thừa bậc 5, Đá Hồn Dương Thiết Tâm, cống hiến[-]		1	1	1000	3	1	0	99999	763										
755	Rương Chiến Trường-Hoàng Kim	Battle_award_1	34	100	100		RandomItemByLevel	1	Rương nhận khi hoàn thành Chiến Trường		1	1	1000	4	1	0	99999	2										
756	Rương Chiến Trường	Battle_award_2	34	100	100		RandomItemByLevel	1	Rương nhận khi hoàn thành Chiến Trường		1	1	1000	3	1	0	99999	2										
757	Rương Chiến Trường	Battle_award_3	34	100	100		RandomItemByLevel	1	Rương nhận khi hoàn thành Chiến Trường		1	1	1000	3	1	0	99999	2										
758	Rương Chiến Trường	Battle_award_4	34	100	100		RandomItemByLevel	1	Rương nhận khi hoàn thành Chiến Trường		1	1	1000	3	1	0	99999	2										
759	Rương Chiến Trường	Battle_award_5	34	100	100		RandomItemByLevel	1	Rương nhận khi hoàn thành Chiến Trường		1	1	1000	3	1	0	99999	2										
2148	Rương Chiến Trường-Bạch Ngân	Battle_silve_box1	34	100	100		RandomItemByLevel	1	Rương nhận khi hoàn thành Chiến Trường		1	1	1000	3	1	0	99999	31										
764	Sách Tu Vi-Sơ	SkillExp_200	34	598	598		SkillBookExp	1	Học xong tăng 200 Tu Vi, dùng để tăng cấp bí kíp môn phái	20000	1	1	1000		1	0	99999	200										
2395	Sách Tu Vi-Trung	SkillExp_Lv2	34	599	599		SkillBookExp	1	Học xong tăng 1000 Tu Vi, dùng để tăng cấp bí kíp môn phái	20000	1	1	1000	3	1	0	99999	1000										
2396	Sách Tu Vi-Cao	SkillExp_Lv3	34	600	600		SkillBookExp	1	Học xong tăng 10000 Tu Vi, dùng để tăng cấp bí kíp môn phái	1000000	1	1	1000	4	1	0	99999	10000										
7121	Điển Tịch Tu Vi-Sơ	SkillExp_Lv2_Unsellable	34	599	599		SkillBookExp	1	Sau khi học tăng [FFFE0D]1000 Tu Vi[-], có thể dùng để tăng cấp Bí Kíp Môn Phái	20000	1	1	1000	3	1	0	99999	1000										
7122	Điển Tịch Tu Vi-Trung	SkillExp_Lv3_Unsellable	34	600	600		SkillBookExp	1	Sau khi học tăng [FFFE0D]10000 Tu Vi[-], có thể dùng để tăng cấp Bí Kíp Môn Phái	1000000	1	1	1000	4	1	0	99999	10000										
765	Rương Chiến Danh Tướng	Boss_AttendAward_1	34	100	100		RandomItemByLevel	1	Bảo rương nhận khi khiêu chiến Danh Tướng	20000	1	1	1000	3	1	0	99999	3										
766	Rương Chiến Danh Tướng	Boss_AttendAward_2	34	100	100		RandomItemByLevel	1	Bảo rương nhận khi khiêu chiến Danh Tướng	20000	1	1	1000	3	1	0	99999	3										
767	Rương Chiến Danh Tướng	Boss_AttendAward_3	34	100	100		RandomItemByLevel	1	Bảo rương nhận khi khiêu chiến Danh Tướng	20000	1	1	1000	3	1	0	99999	3										
768	Rương Chiến Danh Tướng	Boss_AttendAward_4	34	100	100		RandomItemByLevel	1	Bảo rương nhận khi khiêu chiến Danh Tướng	20000	1	1	1000	3	1	0	99999	3										
769	Rương Chiến Danh Tướng	Boss_AttendAward_5	34	100	100		RandomItemByLevel	1	Bảo rương nhận khi khiêu chiến Danh Tướng	20000	1	1	1000	3	1	0	99999	3										
770	Rương Diệt Danh Tướng	FieldBoss_Award_1	34	100	100		RandomItemByLevel	1	Rương nhận khi diệt Danh Tướng	20000	1	1	1000	2	1	0	99999	4										
771	Rương Diệt Danh Tướng	FieldBoss_Award_2	34	100	100		RandomItemByLevel	1	Rương nhận khi diệt Danh Tướng	20000	1	1	1000	2	1	0	99999	4										
772	Rương Diệt Danh Tướng	FieldBoss_Award_3	34	100	100		RandomItemByLevel	1	Rương nhận khi diệt Danh Tướng	20000	1	1	1000	2	1	0	99999	4										
773	Rương Diệt Danh Tướng	FieldBoss_Award_4	34	100	100		RandomItemByLevel	1	Rương nhận khi diệt Danh Tướng	20000	1	1	1000	2	1	0	99999	4										
774	Rương Diệt Danh Tướng	FieldBoss_Award_5	34	100	100		RandomItemByLevel	1	Rương nhận khi diệt Danh Tướng	20000	1	1	1000	2	1	0	99999	4										
775	Rương Chiến Thủ Lĩnh	Leader_AttendAward_1	34	100	100		RandomItemByLevel	1	Rương nhận từ khiêu chiến thủ lĩnh	20000	1	1	1000	2	1	0	99999	5										
776	Rương Chiến Thủ Lĩnh	Leader_AttendAward_2	34	100	100		RandomItemByLevel	1	Rương nhận từ khiêu chiến thủ lĩnh	20000	1	1	1000	2	1	0	99999	5										
777	Rương Chiến Thủ Lĩnh	Leader_AttendAward_3	34	100	100		RandomItemByLevel	1	Rương nhận từ khiêu chiến thủ lĩnh	20000	1	1	1000	2	1	0	99999	5										
778	Rương Chiến Thủ Lĩnh	Leader_AttendAward_4	34	100	100		RandomItemByLevel	1	Rương nhận từ khiêu chiến thủ lĩnh	20000	1	1	1000	2	1	0	99999	5										
779	Rương Chiến Thủ Lĩnh	Leader_AttendAward_5	34	100	100		RandomItemByLevel	1	Rương nhận từ khiêu chiến thủ lĩnh	20000	1	1	1000	2	1	0	99999	5										
947	Hàn Ngọc Lộc Vương	FieldLeader_Award_1_1	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Hàn Ngọc Lộc Vương	20000	1	1	1000		1	0	99999	947	1									
948	Đại Địa Lang Vương	FieldLeader_Award_1_2	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Đại Địa Lang Vương	20000	1	1	1000		1	0	99999	948	1									
949	Bạch Mi Hầu Vương	FieldLeader_Award_1_3	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Bạch Mi Hầu Vương	20000	1	1	1000		1	0	99999	949	1									
950	Rương Diệt Thủ Lĩnh (Bỏ)	FieldLeader_Award_1_4	34	100	100		RandomItemByLevel	1	Rương nhận khi diệt thủ lĩnh Hàn Ngọc Lộc Vương	20000	1	1	1000		1	0	99999	6	1									
951	Rương Diệt Thủ Lĩnh (Bỏ)	FieldLeader_Award_1_5	34	100	100		RandomItemByLevel	1	Rương nhận khi diệt thủ lĩnh Hàn Ngọc Lộc Vương	20000	1	1	1000		1	0	99999	6	1									
952	Cửu Vĩ Hồ Vương	FieldLeader_Award_2_1	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Cửu Vĩ Hồ Vương	20000	1	1	1000		1	0	99999	952	1									
953	Bôn Diệm Báo Vương	FieldLeader_Award_2_2	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Bôn Diệm Báo Vương	20000	1	1	1000		1	0	99999	953	1									
954	Song Thủ Dị Thú	FieldLeader_Award_2_3	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Song Thủ Dị Thú	20000	1	1	1000		1	0	99999	954	1									
955	Cửu Vĩ Hồ Vương	FieldLeader_Award_2_4	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Cửu Vĩ Hồ Vương	20000	1	1	1000		1	0	99999	955	1									
956	Bôn Diệm Báo Vương	FieldLeader_Award_2_5	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Bôn Diệm Báo Vương	20000	1	1	1000		1	0	99999	956	1									
2224	Song Thủ Dị Thú	FieldLeader_Award_2_6	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Song Thủ Dị Thú	20000	1	1	1000		1	0	99999	2234	1									
957	Định Hải Kim Cang	FieldLeader_Award_3_1	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Định Hải Kim Cang	20000	1	1	1000		1	0	99999	957	1									
958	Kim Sí Bằng Hoàng	FieldLeader_Award_3_2	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Kim Sí Bằng Hoàng	20000	1	1	1000		1	0	99999	958	1									
959	Ngân Giác Tê Hoàng	FieldLeader_Award_3_3	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Ngân Giác Tê Hoàng	20000	1	1	1000		1	0	99999	959	1									
960	Định Hải Kim Cang	FieldLeader_Award_3_4	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Định Hải Kim Cang	20000	1	1	1000		1	0	99999	960	1									
961	Kim Sí Bằng Hoàng	FieldLeader_Award_3_5	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Kim Sí Bằng Hoàng	20000	1	1	1000		1	0	99999	961	1									
2522	Ngân Giác Tê Hoàng	FieldLeader_Award_3_6	34	100	100		RandomItem	1	Rương nhận khi diệt thủ lĩnh Ngân Giác Tê Hoàng	20000	1	1	1000		1	0	99999	2522	1									
962	Xích Tinh Hổ Hoàng	FieldLeader_Award_4_1	34	100	100		RandomItem	1	Rương nhận khi diệt Thủ Lĩnh Xích Tinh Hổ Hoàng	20000	1	1	1000		1	0	99999	962	1									
963	Hám Thiên Hùng Hoàng	FieldLeader_Award_4_2	34	100	100		RandomItem	1	Rương nhận khi diệt Thủ Lĩnh Hám Thiên Hùng Hoàng	20000	1	1	1000		1	0	99999	963	1									
964	Tử Bối Ngạc Hoàng	FieldLeader_Award_4_3	34	100	100		RandomItem	1	Rương nhận khi diệt Thủ Lĩnh Tử Bối Ngạc Hoàng	20000	1	1	1000		1	0	99999	964	1									
965	Xích Tinh Hổ Hoàng	FieldLeader_Award_4_4	34	100	100		RandomItem	1	Rương nhận khi diệt Thủ Lĩnh Xích Tinh Hổ Hoàng	20000	1	1	1000		1	0	99999	965	1									
966	Hám Thiên Hùng Hoàng	FieldLeader_Award_4_5	34	100	100		RandomItem	1	Rương nhận khi diệt Thủ Lĩnh Hám Thiên Hùng Hoàng	20000	1	1	1000		1	0	99999	966	1									
3421	Tử Bối Ngạc Hoàng	FieldLeader_Award_4_6	34	100	100		RandomItem	1	Rương nhận khi diệt Thủ Lĩnh Tử Bối Ngạc Hoàng	20000	1	1	1000		1	0	99999	3421	1									
4598	Băng Lân Tích Hoàng	FieldLeader_Award_5_1	34	100	100		RandomItem	1	Rương nhận được khi diệt Thủ Lĩnh Băng Lân Tích Hoàng	20000	1	1	1000		1	0	99999	4598	1									
4599	Ngân Câu Hạt Hoàng	FieldLeader_Award_5_2	34	100	100		RandomItem	1	Rương nhận được khi diệt Thủ Lĩnh Ngân Câu Hạt Hoàng	20000	1	1	1000		1	0	99999	4599	1									
4600	Cuồng Tông Ngao Hoàng	FieldLeader_Award_5_3	34	100	100		RandomItem	1	Rương nhận được khi diệt Thủ Lĩnh Cuồng Tông Ngao Hoàng	20000	1	1	1000		1	0	99999	4600	1									
4601	Băng Lân Tích Hoàng	FieldLeader_Award_5_4	34	100	100		RandomItem	1	Rương nhận được khi diệt Thủ Lĩnh Băng Lân Tích Hoàng	20000	1	1	1000		1	0	99999	4601	1									
4602	Ngân Câu Hạt Hoàng	FieldLeader_Award_5_5	34	100	100		RandomItem	1	Rương nhận được khi diệt Thủ Lĩnh Ngân Câu Hạt Hoàng	20000	1	1	1000		1	0	99999	4602	1									
4603	Cuồng Tông Ngao Hoàng	FieldLeader_Award_5_6	34	100	100		RandomItem	1	Rương nhận được khi diệt Thủ Lĩnh Cuồng Tông Ngao Hoàng	20000	1	1	1000		1	0	99999	4603	1									
7425	Long Văn Sư Vương	FieldLeader_Award_lv120_1	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Long Văn Sư Vương	20000	1	1	1000		1	0	99999	7425	1									
7426	Cự Ngao Phong Hậu	FieldLeader_Award_lv120_2	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Cự Ngao Phong Hậu	20000	1	1	1000		1	0	99999	7426	1									
7427	Long Văn Sư Vương	FieldLeader_Award_lv130_1	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Long Văn Sư Vương	20000	1	1	1000		1	0	99999	7427	1									
7428	Cự Ngao Phong Hậu	FieldLeader_Award_lv130_2	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Cự Ngao Phong Hậu	20000	1	1	1000		1	0	99999	7428	1									
7492	Long Văn Sư Vương	FieldLeader_Award_lv140_1	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Long Văn Sư Vương	20000	1	1	1000		1	0	99999	7492	1									
7493	Cự Ngao Phong Hậu	FieldLeader_Award_lv140_2	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Cự Ngao Phong Hậu	20000	1	1	1000		1	0	99999	7493	1									
8357	Long Văn Sư Vương	FieldLeader_Award_lv150_1	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Long Văn Sư Vương	20000	1	1	1000		1	0	99999	8357	1									
8358	Cự Ngao Phong Hậu	FieldLeader_Award_lv150_2	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Cự Ngao Phong Hậu	20000	1	1	1000		1	0	99999	8358	1									
9796	Long Văn Sư Vương	FieldLeader_Award_lv160_1	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Long Văn Sư Vương	20000	1	1	1000		1	0	99999	9796	1									
9797	Cự Ngao Phong Hậu	FieldLeader_Award_lv160_2	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Cự Ngao Phong Hậu	20000	1	1	1000		1	0	99999	9797	1									
9998	Vạn Độc Cúc Hoàng	FieldLeader_Award_lv140_3	34	100	100		RandomItem	1	Rương Diệt Thủ Lĩnh Vạn Độc Cúc Hoàng	20000	1	1	1000		1	0	99999	9998	1									
9999	Huyền Băng Điêu Hoàng	FieldLeader_Award_lv140_4	34	100	100		RandomItem	1	Rương Diệt Thủ Lĩnh Huyền Băng Điêu Hoàng	20000	1	1	1000		1	0	99999	9999	1									
10000	Vạn Độc Cúc Hoàng	FieldLeader_Award_lv150_3	34	100	100		RandomItem	1	Rương Diệt Thủ Lĩnh Vạn Độc Cúc Hoàng	20000	1	1	1000		1	0	99999	10000	1									
10001	Huyền Băng Điêu Hoàng	FieldLeader_Award_lv150_4	34	100	100		RandomItem	1	Rương Diệt Thủ Lĩnh Huyền Băng Điêu Hoàng	20000	1	1	1000		1	0	99999	10001	1									
10002	Vạn Độc Cúc Hoàng	FieldLeader_Award_lv160_3	34	100	100		RandomItem	1	Rương Diệt Thủ Lĩnh Vạn Độc Cúc Hoàng	20000	1	1	1000		1	0	99999	10002	1									
10003	Huyền Băng Điêu Hoàng	FieldLeader_Award_lv160_4	34	100	100		RandomItem	1	Rương Diệt Thủ Lĩnh Huyền Băng Điêu Hoàng	20000	1	1	1000		1	0	99999	10003	1									
10433	Long Văn Sư Vương	FieldLeader_Award_lv170_1	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Long Văn Sư Vương	20000	1	1	1000		1	0	99999	10433	1									
10434	Cự Ngao Phong Hậu	FieldLeader_Award_lv170_2	34	100	100		RandomItem	1	Bảo rương nhận khi diệt Thủ Lĩnh Cự Ngao Phong Hậu	20000	1	1	1000		1	0	99999	10434	1									
10435	Vạn Độc Cúc Hoàng	FieldLeader_Award_lv170_3	34	100	100		RandomItem	1	Rương Diệt Thủ Lĩnh Vạn Độc Cúc Hoàng	20000	1	1	1000		1	0	99999	10435	1									
10436	Huyền Băng Điêu Hoàng	FieldLeader_Award_lv170_4	34	100	100		RandomItem	1	Rương Diệt Thủ Lĩnh Huyền Băng Điêu Hoàng	20000	1	1	1000		1	0	99999	10436	1									
1414	Rương Thông Thiên Tháp 1	TongTian_floor1	34	100	100		RandomItem	1	Rương nhận khi hoàn thành Thông Thiên Tháp	20000	1	1	1000	1	1	0	99999	1414	1									
1415	Rương Thông Thiên Tháp 2	TongTian_floor2	34	100	100		RandomItem	1	Rương nhận khi hoàn thành Thông Thiên Tháp	20000	1	1	1000	2	1	0	99999	1415	1									
1416	Rương Thông Thiên Tháp 3	TongTian_floor3	34	100	100		RandomItem	1	Rương nhận khi hoàn thành Thông Thiên Tháp	20000	1	1	1000	2	1	0	99999	1416	1									
1417	Rương Thông Thiên Tháp 4	TongTian_floor4	34	100	100		RandomItem	1	Rương nhận khi hoàn thành Thông Thiên Tháp	20000	1	1	1000	3	1	0	99999	1417	1									
1418	Rương Thông Thiên Tháp 5	TongTian_floor5	34	100	100		RandomItem	1	Rương nhận khi hoàn thành Thông Thiên Tháp	20000	1	1	1000	3	1	0	99999	1418	1									
