TemplateId	NextTemplateId	Name	Debris	InsetType	FightPower	Weapon	Helm	Cuff	Armor	Belt	Boots	Necklace	Ring	Pendant	Amulet	AttribType1	Value11	Value21	Value31	AttribType2	Value12	Value22	Value32
320	321	Đá Giảm Hiệu Quả Lv1		0	20		1		1	1	1					resist_allseriesstate_rate_v	6						
321	322	Đá Giảm Hiệu Quả Lv2		0	60		1		1	1	1					resist_allseriesstate_rate_v	12						
322	323	Đá Giảm Hiệu Quả Lv3		0	180		1		1	1	1					resist_allseriesstate_rate_v	21						
323	324	Đá Giảm Hiệu Quả Lv4		0	540		1		1	1	1					resist_allseriesstate_rate_v	30						
324	325	Đá Giảm Hiệu Quả Lv5		0	1650		1		1	1	1					resist_allseriesstate_rate_v	42						
325	326	Đá Giảm Hiệu Quả Lv6		0	5000		1		1	1	1					resist_allseriesstate_rate_v	54						
326	327	Đá Giảm Hiệu Quả Lv7		0	15000		1		1	1	1					resist_allseriesstate_rate_v	77						
327		Đá Giảm Hiệu Quả Lv8		0	45000		1		1	1	1					resist_allseriesstate_rate_v	100						
328		Đá Giảm Hiệu Quả Lv9		0	45000		1		1	1	1					resist_allseriesstate_rate_v	100						
212	222	Thủy Tinh Trắng		0																			
222	223	Thủy Tinh Lục		0																			
223	224	Thủy Tinh Lam		0																			
224	225	Thủy Tinh Tím		0																			
225	227	Thủy Tinh Cam		0																			
227		Thủy Tinh Vàng		0																			
213	214	Khoáng Thạch Thần Bí-Vỡ		0																			
214	215	Khoáng Thạch Thần Bí Lv2		0																			
215	216	Khoáng Thạch Thần Bí Lv3		0																			
216	217	Khoáng Thạch Thần Bí Lv4		0																			
217		Khoáng Thạch Thần Bí Lv5		0																			
1693	1772	Đá Hồn Lý Tam-Sơ		0	50	1										attackrate_v	80						
1694	1771	Đá Hồn Lư Thanh-Sơ		0	50							1				water_resist_v	30						
1695	1773	Đá Hồn Oanh Nhi-Sơ		0	50				1							recover_life_v	100	75					
1696	1774	Đá Hồn Cố Võ-Sơ		0	50			1								attackrate_v	80						
1697	1775	Đá Hồn Tiểu Võ-Sơ		0	150										1	earth_resist_v	40			lifemax_v	256		
1698	1776	Đá Hồn Tô Mặc Vân-Sơ		0	50				1							lifemax_v	400						
1699	1777	Đá Hồn Tiêu Động Trần-Sơ		0	50										1	earth_resist_v	30						
1700	1778	Đá Hồn Hồ Thần Y-Sơ		0	50									1		state_palsy_resistrate	30						
1701	1779	Đá Hồn Tần Mộc Bạch-Sơ		0	50							1				state_slowall_resistrate	30						
1702	1780	Đá Hồn Trương Trọng Thiên-Sơ		0	50										1	state_stun_resistrate	30						
1703	1781	Đá Hồn Lộ Đạt-Sơ		0	50								1			state_zhican_resistrate	30						
1704	1782	Đá Hồn Bạch Mi Hầu Vương-Sơ		1	150					1						metal_resist_v	48						
1705	1783	Đá Hồn Đại Địa Lang Vương-Sơ		2	150					1						wood_resist_v	48						
1706	1784	Đá Hồn Hàn Ngọc Lộc Vương-Sơ		3	150					1						fire_resist_v	48						
1707	1785	Đá Hồn Tường Vi-Sơ		0	50					1						vitality_v	20						
1708	1786	Đá Hồn Tử Hiên-Sơ		0	50						1					dexterity_v	20						
1709	1787	Đá Hồn Trác Phi Phàm-Sơ		4	150							1				deadlystrike_v	32						
1710	1788	Đá Hồn Nguyệt Minh Dao-Sơ		0	150		1									metal_resist_v	40			lifemax_v	256		
1711	1789	Đá Hồn Long Ngạo Thiên-Sơ		0	150				1							state_zhican_resisttime	40			lifemax_v	256		
1712	1790	Đá Hồn Mạt Thiên Nhiên-Sơ		0	150				1							state_hurt_resisttime	40			lifemax_v	256		
1713	1791	Đá Hồn Tiểu Ảnh Phong-Sơ		5	450				1							meleedamagereturn_p	5			lifemax_v	690		
1714	1792	Đá Hồn Nam Cung Thái Hồng-Sơ		0	50			1								energy_v	20						
1715	1793	Đá Hồn Lâm Hải-Sơ		0	50						1					lifemax_v	400						
1716	1794	Đá Hồn Lục Văn Long-Sơ		0	50		1									state_zhican_resisttime	30						
1717	1795	Đá Hồn Triệu Vô Song-Sơ		0	50									1		fire_resist_v	30						
1718	1796	Đá Hồn Vô Tướng-Sơ		0	50					1						lifemax_v	400						
1719	1797	Đá Hồn Đường Tiêu-Sơ		0	150			1								energy_v	25			lifemax_v	256		
1720	1798	Đá Hồn Trương Như Mộng-Sơ		0	50	1										strength_v	20						
1721	1799	Đá Hồn Trương Lâm Tâm-Sơ		0	150				1							recover_life_v	128	75		lifemax_v	256		
1722	1800	Đá Hồn Phong Ngọc Thư-Sơ		0	150								1			wood_resist_v	40			lifemax_v	256		
1723	1801	Đá Hồn Triệu Tiết-Sơ		0	50								1			wood_resist_v	30						
1724	1802	Đá Hồn Thiệu Kỵ Phong-Sơ		0	50		1									metal_resist_v	30						
1725	1803	Đá Hồn Hà Mộ Tuyết-Sơ		0	150									1		fire_resist_v	40			lifemax_v	256		
1726	1804	Đá Hồn Triệu Thăng Quyền-Sơ		0	150			1								energy_v	25			attackrate_v	52		
1727	1805	Đá Hồn Nạp Lan Chân-Sơ		0	150					1						vitality_v	25			lifemax_v	256		
1728	1806	Đá Hồn Sài Tung-Sơ		0	150							1				water_resist_v	40			lifemax_v	256		
1729	1807	Đá Hồn Khúc Hà-Sơ		0	450										1	lifemax_p	9			recover_life_v	96	75	
1730	1808	Đá Hồn Gia Luật Tị Li-Sơ 		53	450	1										basic_damage_v	48		48				
1731	1809	Đá Hồn Dương Thiết Tâm-Sơ		6	450								1			basic_damage_v	38		38	state_zhican_resistrate	28		
1732	1810	Đá Hồn Vô Tưởng-Sơ		0	450				1							all_series_resist_v	20			recover_life_v	96	75	
1733	1811	Đá Hồn Liễu Tiêu Đình-Sơ		7	450										1	resist_allseriesstate_rate_v	20			state_stun_resisttime	28		
1734	1812	Đá Hồn Lý Điềm Nhi-Sơ		8	450					1						rangedamagereturn_p	5			lifemax_v	690		
1735	1813	Đá Hồn Lý Thiên Mục-Sơ		9	450			1								attackspeed_v	6			attackrate_v	96		
1736	1814	Đá Hồn Hoàn Nhan Tương-Sơ		10	450		1									deadlystrike_damage_p	4			state_hurt_resistrate	28		
2847	2849	Đá Hồn Huyền Từ-Sơ 		49	450										1	lifemax_p	13						
1737	1815	Đá Hồn Thiệu Hồng Uyên-Sơ		0	150	1										strength_v	25			attackrate_v	52		
1738	1816	Đá Hồn Bạch Ngạn Kính-Sơ		0	150					1						vitality_v	25			attackrate_v	52		
1739	1817	Đá Hồn Gia Luật Sở Tài-Sơ		11	450									1		weaken_deadlystrike_damage_p	4			state_palsy_resistrate	28		
1740	1818	Đá Hồn Lôi Phong-Sơ		0	150				1							state_stun_resistrate	40			lifemax_v	256		
1741	1819	Đá Hồn Lôi Đồng-Sơ		0	150				1							state_slowall_resistrate	40			lifemax_v	256		
1742	1820	Đá Hồn Đường Quyên Quyên-Sơ		0	150				1							state_palsy_resistrate	40			lifemax_v	256		
1743	1821	Đá Hồn Lôi Chấn Thiên-Sơ		12	450							1				add_seriesstate_rate_v	20			state_slowall_resistrate	28		
1744	1822	Đá Hồn Đoạt Bảo Tặc-Sơ		0	150						1					dexterity_v	25			attackrate_v	52		
1745	1823	Đá Hồn Song Dị Thú-Sơ		13	150					1						earth_resist_v	48						
1746	1824	Đá Hồn Bôn Diệm Báo Vương-Sơ		14	150						1					all_series_resist_v	16						
1747	1825	Đá Hồn Cửu Vĩ Hồ Vương-Sơ		15	150					1						water_resist_v	48						
2528	2537	Đá Hồn Dương Anh-Sơ		30	1350	1										steallife_p	9			strength_v	28		
2529	2538	Đá Hồn Thanh Hiểu Sư Thái-Sơ		34	1350				1							vitality_v	56			all_series_resist_v	14		
2530	2539	Đá Hồn Chúc Tử Hư-Sơ		35	1350									1		energy_v	56			defense_v	56		
2531	2540	Đá Hồn Hoàng Ngọc Anh-Sơ		32	1350							1				deadlystrike_v	56			ignore_defense_v	56		
2532	2541	Đá Hồn Đạo Nhất Chân Nhân-Sơ		38	1350						1					ignore_all_resist_v	100	28		dexterity_v	28		
2533	2542	Đá Hồn Đoan Mộc Duệ-Sơ		31	1350		1									deadlystrike_damage_p	5			metal_resist_v	56		
2848	2850	Đá Hồn Huyền Nhân-Sơ 		50	1350	1										ignore_defense_v	112			strength_v	28		
1748	1826	Đá Hồn Cao Trường Cung-Sơ		0	450	1										physical_firedamage_v	38			attackrate_v	76		
1749	1827	Đá Hồn Triết Biệt-Sơ		17	450	1										deadlystrike_v	38			attackrate_v	76		
1750	1828	Đá Hồn Tần Lương Ngọc-Sơ		0	450	1										physical_waterdamage_v	38			attackrate_v	76		
1751	1829	Đá Hồn Viên Thừa Chí-Sơ		0	450	1										physical_earthdamage_v	38			attackrate_v	76		
1752	1830	Đá Hồn Ngao Bái-Sơ		0	450	1										physical_metaldamage_v	38			attackrate_v	76		
1753	1831	Đá Hồn Hàn Thế Trung-Sơ		0	450	1										physical_wooddamage_v	38			attackrate_v	76		
1754	1832	Đá Hồn Xích Tinh Hổ Hoàng-Sơ		22	1350			1								metal_resist_v	84			lifemax_v	1000		
1755	1833	Đá Hồn Hám Thiên Hùng Hoàng-Sơ		23	1350			1								wood_resist_v	84			lifemax_v	1000		
1756	1834	Đá Hồn Tử Bối Ngạc Hoàng-Sơ		24	1350										1	all_series_resist_v	28			lifemax_v	1000		
1757	1835	Đá Hồn Định Hải Kim Cang-Sơ		25	1350			1								water_resist_v	84			lifemax_v	1000		
1758	1836	Đá Hồn Kim Sí Bằng Hoàng-Sơ		26	1350			1								earth_resist_v	84			lifemax_v	1000		
1759	1837	Đá Hồn Ngân Giác Tê Hoàng-Sơ		27	1350			1								fire_resist_v	84			lifemax_v	1000		
2534	2543	Đá Hồn Mạnh Tri Thu-Sơ		33	1350								1			strength_v	56			wood_resist_v	42		
2535	2544	Đá Hồn Lý Hiển Trung-Sơ		36	1350					1						all_series_resist_v	28			recover_life_v	140	75	
2536	2545	Đá Hồn Đồ Đơn Khắc Ninh-Sơ		37	1350										1	dexterity_v	56			resist_allseriesstate_rate_v	14		
2668	2669	Đá Hồn Độc Cô Kiếm-Sơ		39	1350		1									ignore_all_resist_v	100	28		basic_damage_v	42		42
2880	2882	Đá Hồn Nam Cung Phi-Sơ 		51	1350								1			energy_v	56			ignore_all_resist_v	100	14	
2881	2883	Đá Hồn Dương Ảnh Phong-Sơ 		52	1350					1						vitality_v	56			defense_v	56		
2672	2675	Đá Hồn Kinh Kha-Sơ		42	1350						1					ignore_all_resist_v	100	28		defense_v	56		
2673	2676	Đá Hồn Ngu Cơ-Sơ		41	1350									1		fire_resist_v	84			state_palsy_resistrate	42		
2674	2677	Đá Hồn Nhạc Phi-Sơ		40	1350							1				water_resist_v	84			state_slowall_resistrate	42		
2696	2697	Đá Hồn Hoàn Nhan Hồng Liệt-Sơ		43	1350										1	basic_damage_v	84		84	lifemax_p	6		
2824	2829	Đá Hồn Huyền Thiên Võ Cơ-Sơ 		46	1350							1				dexterity_v	84						
2825	2830	Đá Hồn Bạch Khởi-Sơ 		47	1350				1							all_series_resist_v	42						
2826	2831	Đá Hồn Lý Tư-Sơ 		48	1350									1		weaken_deadlystrike_v	84						
3022	3023	Đá Hồn Lôi-Sơ 		54	1350				1							defense_v	168						
2827	2832	Đá Hồn Tần Thủy Hoàng-Sơ (Âm) 		44	4000		1									series_abate_v	300			basic_damage_v	60		60
2828	2833	Đá Hồn Tần Thủy Hoàng-Sơ (Dương) 		45	4000					1						series_enhance_v	300			lifemax_p	9		
1760	1838	Đá Hồn Trương Phong-Sơ		0	150	1										strength_v	25			lifemax_v	256		
1761	1839	Đá Hồn Nguyệt My Nhi-Sơ		0	150						1					dexterity_v	25			lifemax_v	256		
1762	1840	Đá Hồn Thiên Tinh Đạo Trưởng-Sơ		0	450								1			ignore_defense_v	76			lifemax_v	690		
1763	1841	Đá Hồn Yên Nhược Tuyết-Sơ		0	450									1		defense_v	76			lifemax_v	690		
1764	1842	Đá Hồn Dương Hi Liệt-Sơ		0	450			1								add_seriesstate_time_v	20			lifemax_v	690		
1765	1843	Đá Hồn Thượng Quan Phi Long-Sơ		28	450									1		weaken_deadlystrike_v	38			lifemax_v	690		
1766	1844	Đá Hồn Nạp Lan Tiềm Lẫm-Sơ		29	450						1					ignore_all_resist_v	100	20		lifemax_v	690		
1767	1845	Đá Hồn Phương Miễn-Sơ		0	450		1									resist_allseriesstate_time_v	20			lifemax_v	690		
1768	1846	Đá Hồn Nam Cung Diệt-Sơ		0	450					1						lifemax_p	9			recover_life_v	96	75	
1769	1848	Đá Hồn Đường Ảnh-Sơ		0	450							1				ignore_defense_v	76			lifemax_v	690		
1770	1847	Đá Hồn Thu Y Thủy-Sơ		0	450						1					defense_v	76			lifemax_v	690		
3215	3218	Đá Hồn Lý Nguyên Bá-Sơ		56	1350						1					vitality_v	84						
3216	3219	Đá Hồn Triệu Vân-Sơ		55	1350								1			ignore_defense_v	168						
3217	3220	Đá Hồn Lý Quảng-Sơ		57	1350			1								energy_v	84						
3371	3374	Đá Hồn Doãn Hàm Yên-Sơ 		58	1350					1						lifemax_v	3025						
3372	3375	Đá Hồn Tuyền Cơ Tử-Sơ 		59	1350		1									basic_damage_v	105		105				
3373	3376	Đá Hồn Huyền Thiên Đạo Nhân-Sơ 		60	1350	1										deadlystrike_v	84						
3709	3710	Đá Hồn Niên Thú-Sơ		61	1350						1					all_series_resist_v	42						
3854	3857	Đá Hồn Hắc Diện Lang Quân-Sơ		63	1350	1										strength_v	56			attackrate_v	112		
3855	3858	Đá Hồn Hà Nhân Ngã-Sơ		65	1350									1		weaken_deadlystrike_damage_p	8						
3856	3859	Đá Hồn Đường Cừu-Sơ		64	1350							1				add_seriesstate_rate_v	42						
3897	3898	Đá Hồn Đường Giản-Sơ		62	4000								1			strength_v	80			dexterity_v	40		
4053	4054	Đá Hồn Hoàn Nhan Hồng Liệt-Sơ (Chân)		66	4000				1							all_series_resist_p	20						
4540	4543	Đá Hồn Băng Lân Tích Hoàng-Sơ		67	1350										1	meleedamagereturn_p	7			recover_life_v	140	75	
4541	4544	Đá Hồn Ngân Câu Hạt Hoàng-Sơ		68	1350										1	defense_p	6			lifemax_v	1000		
4542	4545	Đá Hồn Cuồng Tông Ngao Hoàng-Sơ		69	1350										1	rangedamagereturn_p	7			recover_life_v	140	75	
4595	4596	Đá Hồn Hạng Vũ-Sơ		70	4000	1										enhance_final_damage_p	6						
4849	4850	Đá Hồn Đường Hiểu-Sơ		71	4000							1				deadlystrike_p	20						
4873	4875	Đá Hồn Tống Thu Thạch-Sơ		73	1350								1			basic_damage_v	84		84	earth_resist_v	42		
4874	4876	Đá Hồn Cổ Yên Nhiên-Sơ		74	1350				1							lifemax_v	2400			resist_allseriesstate_time_v	28		
5432	5434	Đá Hồn Doãn Tiêu Vũ-Sơ		75	1350		1									ignore_defense_vp	10						
5433	5435	Đá Hồn Thạch Hiên Viên-Sơ		72	1350					1						ignore_all_resist_vp	13						
6067	6071	Đá Hồn Diệp Thanh Dương-Sơ		76	1350							1				weaken_deadlystrike_v	67			lifemax_v	1000		
6068	6072	Đá Hồn Băng Nghi-Sơ		77	1350						1					dexterity_v	56			lifemax_v	1000		
6069	6073	Đá Hồn Dương Tái Hưng-Sơ		78	1350								1			ignore_defense_v	112			basic_damage_v	53		53
6070	6074	Đá Hồn Hoàn Nhan Lâu Thất-Sơ		79	1350									1		weaken_deadlystrike_damage_p	5			lifemax_v	1000		
6100	6102	Đá Hồn Tiêu Ngọc Trúc-Sơ		80	1350		1									resist_allseriesstate_rate_v	28			lifemax_v	1000		
6101	6103	Đá Hồn Kim Ngột Thuật-Sơ		81	1350					1						all_series_resist_v	28			add_seriesstate_time_v	28		
6112	6113	Đá Hồn Ngu Cơ Tuyệt Thế-Sơ		82	4000						1					reduce_final_damage_p	6						
6126	6131	Đá Hồn Võ Tắc Thiên-Sơ (Âm)		83	4000										1	steallife_resist_p	10			basic_damage_v	60		60
6127	6132	Đá Hồn Võ Tắc Thiên-Sơ (Dương)		84	4000									1		steallife_resist_p	10			lifemax_p	9		
6128	6133	Đá Hồn Địch Nhân Kiệt-Sơ 		85	1350	1										basic_damage_v	105		105				
6129	6134	Đá Hồn Lý Nguyên Phương-Sơ 		86	1350			1								all_series_resist_v	28			lifemax_v	1000		
6130	6135	Đá Hồn Vô Tự Bi-Sơ 		87	1350				1							add_seriesstate_rate_v	28			recover_life_v	140	75	
6285	6286	Đá Hồn Hàn Mông-Sơ 		88	1350					1						lifemax_p	12			ignore_defense_v	56		
7374	7375	Đá Hồn Hà Linh Phiêu-Sơ		89	1350			1								energy_v	56			lifemax_v	1000		
7377	7378	Đá Hồn Ngu Doãn Văn-Sơ		90	4000			1								physics_potentialdamage_p	6			resist_allseriesstate_time_v	40		
7429	7430	Đá Hồn Long Văn Sư Vương-Sơ		91	1350									1		ignore_deadlystrike_vp	10			state_palsy_resisttime	42		
7432	7433	Đá Hồn Cự Ngao Phong Hậu-Sơ		92	1350							1				ignore_defense_vp	6			lifemax_v	1000		
7648	7651	Đá Hồn Vương Đằng-Sơ		93	4000				1							vitality_v	80			energy_v	40		
7649	7652	Đá Hồn Vương Vân Tiêu-Sơ		94	1350		1									resist_allseriesstate_time_v	60						
7650	7653	Đá Hồn Kinh Tuyết-Sơ		95	1350								1			deadlystrike_damage_p	5			lifemax_v	1000		
7741	7742	Đá Hồn Không Tướng-Sơ		96	1350	1										ignore_all_resist_v	100	28		strength_v	28		
9398	9399	Đá Hồn Lâm Thanh Vũ-Sơ		97	1350				1							meleedamagereturn_p	7			resist_allseriesstate_rate_v	28		
9401	9402	Đá Hồn Mạnh Thương Lam-Sơ		98	4000		1									dexterity_v	80			energy_v	40		
9971	9972	Đá Hồn Phong Hành Chu-Sơ		99	1350						1					lifemax_v	2500			ignore_all_resist_v	100	28	
9977	9978	Đá Hồn Quỷ Cốc Tử-Sơ (Âm)		100	4000					1						return_resist_p	10			deadlystrike_v	42		
9980	9981	Đá Hồn Quỷ Cốc Tử-Sơ (Dương)		101	4000			1								return_resist_p	10			all_series_resist_v	20		
9974	9975	Đá Hồn Phương Công Vọng-Sơ		102	4000										1	reduce_final_damage_p	6						
10126	10129	Đá Hồn Huyền Băng Điêu Hoàng-Sơ		103	4000							1				lifemax_p	20						
10127	10130	Đá Hồn Vạn Độc Cúc Hoàng-Sơ		104	4000						1					ignore_all_resist_vp	20						
10128	10131	Đá Hồn Hoàn Nhan Tông Hàn-Sơ		105	4000								1			ignore_defense_vp	9			physics_potentialdamage_p	3		
10149	10150	Đá Hồn Diệp Vô Tâm-Sơ		106	4000									1		defense_p	9			add_seriesstate_rate_v	40		
10449	10450	Đá Hồn Thiên Âm-Sơ		107	4000				1							defense_v	360			resist_allseriesstate_time_v	56		
10475	10476	Đá Hồn Vân Hạo Nhiên-Sơ		108	4000								1			energy_v	80			ignore_defense_v	80		
10626	10628	Đá Hồn Bản Trần-Sơ		109	4000	1										deadlystrike_damage_p	10						
10627	10629	Đá Hồn Đoàn Trí Hưng-Sơ		110	4000		1									ignore_all_resist_v	100	100		resist_allseriesstate_rate_v	40		
10912	10913	Đá Hồn Bản Nhân-Sơ		111	4000					1						add_allspecialstate_rate_v	56			rangedamagereturn_p	5		
10946	10947	Đá Hồn Bản Quan-Sơ		112	4000			1								add_allspecialstate_time_v	56			meleedamagereturn_p	5		
11061	11062	Đá Hồn Bản Tướng-Sơ		113	4000										1	lifemax_p	16			dexterity_v	40		
1772	1849	Đá Hồn Lý Tam-Trung		0	150	1										attackrate_v	128						
1771	1850	Đá Hồn Lư Thanh-Trung		0	150							1				water_resist_v	48						
1773	1851	Đá Hồn Oanh Nhi-Trung		0	150				1							recover_life_v	160	75					
1774	1852	Đá Hồn Cố Võ-Trung		0	150			1								attackrate_v	128						
