nCardId	nPartnerTempleteId	nNpcTempleteId	nNpcNoTurnTempleteId	nExtAttribId	nExtPartnerSkillId	szUniquePartnerSkillId	szCost	nSuitIdx	szName	szTask	nDialogId	szRepeat
34	33	3011		4034	5160	5169	item|1969|30		Tuyền Cơ Tử (Tạm chưa có)		90030	item|8488|18
35	34	3012		4035	5162	5171	item|1969|30		Hà Nhân Ngã (Tạm chưa có)		90031	item|8489|18
36	35	3013		4036	5161	5170	item|1969|30		Đường Cừu (Tạm chưa có)		90032	item|8490|18
37	149	3041		4037	5152	5169	item|1969|30		Lâm Triều Hoa		90033	item|8491|18
38	150	3042		4038	5152	5169	item|1969|30		Triệu Ân Đồng		90034	item|8492|18
39	36	3014		4039	5157	5170	item|1969|30	6	Mạnh Tri Thu		90035	item|8493|18
40	37	3015		4040	5162	5171	item|1969|30	23	Cao Trường Cung		90036	item|8345|18
41	38	3016		4041	5161	5170	item|1969|30	25	Triết Biệt		90037	item|8347|18
42	39	3017		4042	5158	5171	item|1969|30	25	Tần Lương Ngọc		90038	item|8339|18
43	40	3018		4043	5160	5169	item|1969|30	24	Viên Thừa Chí		90039	item|8340|18
44	41	3019		4044	5151	5168	item|1969|30	29	Ngao Bái		90040	item|8355|18
45	42	3020		4045	5159	5168	item|1969|30	3	Hàn Thế Trung		90041	item|8346|18
46	145	3037		4046	5158	5171	item|1969|30	26	Băng Lân Tích Hoàng		90042	item|8364|18
47	146	3038		4047	5159	5168	item|1969|30	26	Ngân Câu Hạt Hoàng		90043	item|8364|18
48	147	3039		4048	5162	5171	item|1969|30	27	Cuồng Tông Ngao Hoàng		90044	item|8364|18
49	43	3021		4049	5156	5169	item|1969|30	27	Xích Tinh Hổ Hoàng		90045	item|8364|18
50	44	3022		4050	5157	5170	item|1969|30	27	Hám Thiên Hùng Hoàng		90046	item|8364|18
51	45	3023		4051	5159	5168	item|1969|30	30	Tử Bối Ngạc Hoàng		90047	item|8364|18
52	46	3024		4052	5155	5168	item|1969|30	27	Định Hải Kim Cang		90048	item|8364|18
53	47	3025		4053	5153	5170	item|1969|30	31	Kim Sí Bằng Hoàng		90049	item|8364|18
54	48	3026		4054	5152	5169	item|1969|30	30	Ngân Giác Tê Hoàng		90050	item|8364|18
55	49	3027		4055	5160	5169	item|1969|30	2	Trương Phong		90051	item|8327|18
56	50	3028		4056	5162	5171	item|1969|30	2	Nam Cung Diệt		90052	item|8354|18
57	51	3029		4057	5151	5168	item|1969|30	2	Phương Miễn		90053	item|8337|18
58	52	3030		4058	5161	5170	item|1969|30	13	Đường Ảnh		90054	item|8494|18
59	53	3031		4059	5158	5171	item|1969|30	13	Thu Y Thủy		90055	item|8495|18
60	54	3032		4060	5155	5168	item|1969|30	12	Thiên Tinh Đạo Trưởng		90056	item|8326|18
61	55	3033		4061	5156	5169	item|1969|30	9	Yên Nhược Tuyết		90057	item|8328|18
62	56	3034		4062	5154	5171	item|1969|30	5	Dương Hi Liệt		90058	item|8352|18
63	57	3035		4063	5155	5168	item|1969|30	5	Thượng Quan Phi Long		90059	item|8335|18
64	58	3036		4064	5153	5170	item|1969|30	17	Nạp Lan Tiềm Lẫm		90060	item|8356|18
65	148	3040		4065	5154	5171	item|1969|30		Hoàng Chân Y (Tạm chưa có)		90061	item|8496|18
66	59	3043		4066	5152	5169	item|1969|10	4	Nạp Lan Chân		90062	item|8361|15
67	60	3044		4067	5151	5168	item|1969|10	28	Tiểu Ảnh Phong		90063	item|8361|15
68	61	3045		4068	5151	5168	item|1969|10	15	Dương Thiết Tâm		90064	item|8361|15
69	62	3046		4069	5152	5169	item|1969|10	22	Liễu Tiêu Đình		90065	item|8361|15
70	63	3047		4070	5153	5170	item|1969|10	22	Vô Tưởng		90066	item|8361|15
71	64	3048		4071	5154	5171	item|1969|10	22	Lý Điềm Nhi		90067	item|8361|15
72	65	3049		4072	5155	5168	item|1969|10	22	Lý Thiên Mục		90068	item|8361|15
73	66	3050		4073	5156	5169	item|1969|10	29	Hoàn Nhan Tương		90069	item|8361|15
74	67	3051		4074	5157	5170	item|1969|10		Huyền Từ (Tạm chưa có)		90070	item|8361|15
75	68	3052		4075	5158	5171	item|1969|10		Doãn Tiêu Vũ (Tạm chưa có)		90071	item|8361|15
76	69	3053		4076	5159	5168	item|1969|10		Cổ Yên Nhiên (Tạm chưa có)		90072	item|8361|15
77	70	3054		4077	5160	5169	item|1969|10		Tống Thu Thạch (Tạm chưa có)		90073	item|8361|15
78	71	3055		4078	5162	5171	item|1969|10		Thạch Hiên Viên (Tạm chưa có)		90074	item|8361|15
79	72	3056		4079	5161	5170	item|1969|10		Đường Hiểu (Tạm chưa có)		90075	item|8361|15
80	73	3057		4080	5161	5170	item|1969|10	30	Song Thủ Dị Thú		90076	item|8361|15
81	74	3058		4081	5162	5171	item|1969|10	31	Bôn Diệm Báo Vương		90077	item|8361|15
82	75	3059		4082	5160	5169	item|1969|10	31	Cửu Vĩ Hồ Vương		90078	item|8361|15
83	76	3060		4083	5161	5170	item|1969|10	28	Đường Tiêu		90079	item|8361|15
84	77	3061		4084	5154	5171	item|1969|10	6	Tử Hiên		90080	item|8361|15
85	78	3062		4085	5155	5168	item|1969|10	6	Tường Vi		90081	item|8361|15
86	79	3063		4086	5159	5168	item|1969|10	6	Trác Phi Phàm		90082	item|8361|15
87	80	3064		4087	5154	5171	item|1969|10	34	Nguyệt Minh Dao		90083	item|8361|15
88	81	3065		4088	5154	5171	item|1969|10	8	Nam Cung Thái Hồng		90084	item|8361|15
89	82	3066		4089	5157	5170	item|1969|10	8	Trương Như Mộng		90085	item|8361|15
90	83	3067		4090	5158	5171	item|1969|10	7	Trương Lâm Tâm		90086	item|8361|15
91	84	3068		4091	5153	5170	item|1969|10	36	Phong Ngọc Thư		90087	item|8361|15
92	85	3069		4092	5159	5168	item|1969|10	33	Khúc Hà		90088	item|8361|15
93	86	3070		4093	5156	5169	item|1969|10	11	Gia Luật Tị Li		90089	item|8361|15
94	87	3071		4094	5160	5169	item|1969|10	18	Lâm Hải		90090	item|8361|15
95	88	3072		4095	5162	5171	item|1969|10	3	Lục Văn Long		90091	item|8361|15
96	89	3073		4096	5152	5169	item|1969|10	14	Triệu Vô Song		90092	item|8361|15
97	90	3074		4097	5157	5170	item|1969|10	18	Vô Tướng		90093	item|8361|15
98	91	3075		4098	5151	5168	item|1969|10	18	Triệu Tiết		90094	item|8361|15
99	92	3076		4099	5156	5169	item|1969|10	11	Thiệu Kỵ Phong		90095	item|8361|15
100	93	3077		4100	5158	5171	item|1969|10	28	Hà Mộ Tuyết		90096	item|8361|15
101	94	3078		4101	5153	5170	item|1969|10	14	Triệu Thăng Quyền		90097	item|8361|15
102	95	3079		4102	5155	5168	item|1969|10	33	Sài Tung		90098	item|8361|15
103	96	3080		4103	5159	5168	item|1969|4	28	Ân Phương		90099	item|8360|12
104	97	3081		4104	5162	5171	item|1969|4	10	Tô Mặc Vân		90100	item|8360|12
105	98	3082		4105	5153	5170	item|1969|4	17	Tiêu Động Trần		90101	item|8360|12
106	99	3083		4106	5154	5171	item|1969|4	32	Bạch Mi Hầu Vương		90102	item|8360|12
107	100	3084		4107	5151	5168	item|1969|4	32	Đại Địa Lang Vương		90103	item|8360|12
108	101	3085		4108	5158	5171	item|1969|4	32	Hàn Ngọc Lộc Vương		90104	item|8360|12
109	102	3086		4109	5152	5169	item|1969|4	10	Hồ Thần Y		90105	item|8360|12
110	103	3087		4110	5155	5168	item|1969|4	34	Tần Mộc Bạch		90106	item|8360|12
111	104	3088		4111	5161	5170	item|1969|4	17	Trương Trọng Thiên		90107	item|8360|12
112	105	3089		4112	5157	5170	item|1969|4	18	Lộ Đạt		90108	item|8360|12
113	106	3090		4113	5154	5171	item|1969|4	35	Lý Tam		90109	item|8360|12
114	107	3091		4114	5160	5169	item|1969|4	35	Lư Thanh		90110	item|8360|12
115	108	3092		4115	5156	5169	item|1969|4	15	Oanh Nhi		90111	item|8360|12
116	109	3093		4116	5151	5168	item|1969|4	36	Cố Võ		90112	item|8360|12
117	110	3094		4117	5152	5169	item|1969|4		B15 (Tạm chưa có)			item|8360|12
118	111	3095		4118	5153	5170	item|1969|4		B16 (Tạm chưa có)			item|8360|12
119	112	3096		4119	5154	5171	item|1969|4		B17 (Tạm chưa có)			item|8360|12
120	113	3097		4120	5155	5168	item|1969|4		B18 (Tạm chưa có)			item|8360|12
