nCardId	szTalk
78	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
78	Người làm ngươi buồn vốn không quan tâm ngươi
78	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
79	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
79	Người làm ngươi buồn vốn không quan tâm ngươi
79	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
80	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
80	Người làm ngươi buồn vốn không quan tâm ngươi
80	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
81	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
81	Người làm ngươi buồn vốn không quan tâm ngươi
81	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
82	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
82	Người làm ngươi buồn vốn không quan tâm ngươi
82	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
83	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
83	Người làm ngươi buồn vốn không quan tâm ngươi
83	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
84	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
84	Người làm ngươi buồn vốn không quan tâm ngươi
84	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
85	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
85	Người làm ngươi buồn vốn không quan tâm ngươi
85	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
86	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
86	Người làm ngươi buồn vốn không quan tâm ngươi
86	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
87	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
87	Người làm ngươi buồn vốn không quan tâm ngươi
87	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
88	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
88	Người làm ngươi buồn vốn không quan tâm ngươi
88	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
89	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
89	Người làm ngươi buồn vốn không quan tâm ngươi
89	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
90	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
90	Người làm ngươi buồn vốn không quan tâm ngươi
90	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
91	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
91	Người làm ngươi buồn vốn không quan tâm ngươi
91	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
92	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
92	Người làm ngươi buồn vốn không quan tâm ngươi
92	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
93	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
93	Người làm ngươi buồn vốn không quan tâm ngươi
93	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
94	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
94	Người làm ngươi buồn vốn không quan tâm ngươi
94	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
95	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
95	Người làm ngươi buồn vốn không quan tâm ngươi
95	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
96	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
96	Người làm ngươi buồn vốn không quan tâm ngươi
96	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
97	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
97	Người làm ngươi buồn vốn không quan tâm ngươi
97	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
98	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
98	Người làm ngươi buồn vốn không quan tâm ngươi
98	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
99	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
99	Người làm ngươi buồn vốn không quan tâm ngươi
99	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
100	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
100	Người làm ngươi buồn vốn không quan tâm ngươi
100	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
101	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
101	Người làm ngươi buồn vốn không quan tâm ngươi
101	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
102	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
102	Người làm ngươi buồn vốn không quan tâm ngươi
102	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
103	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
103	Người làm ngươi buồn vốn không quan tâm ngươi
103	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
104	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
104	Người làm ngươi buồn vốn không quan tâm ngươi
104	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
105	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
105	Người làm ngươi buồn vốn không quan tâm ngươi
105	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
106	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
106	Người làm ngươi buồn vốn không quan tâm ngươi
106	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
107	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
107	Người làm ngươi buồn vốn không quan tâm ngươi
107	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
108	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
108	Người làm ngươi buồn vốn không quan tâm ngươi
108	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
109	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
109	Người làm ngươi buồn vốn không quan tâm ngươi
109	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
110	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
110	Người làm ngươi buồn vốn không quan tâm ngươi
110	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
111	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
111	Người làm ngươi buồn vốn không quan tâm ngươi
111	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
112	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
112	Người làm ngươi buồn vốn không quan tâm ngươi
112	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
113	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
113	Người làm ngươi buồn vốn không quan tâm ngươi
113	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
114	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
114	Người làm ngươi buồn vốn không quan tâm ngươi
114	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
115	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
115	Người làm ngươi buồn vốn không quan tâm ngươi
115	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
116	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
116	Người làm ngươi buồn vốn không quan tâm ngươi
116	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
117	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
117	Người làm ngươi buồn vốn không quan tâm ngươi
117	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
118	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
118	Người làm ngươi buồn vốn không quan tâm ngươi
118	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
119	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
119	Người làm ngươi buồn vốn không quan tâm ngươi
119	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
120	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
120	Người làm ngươi buồn vốn không quan tâm ngươi
120	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
