nPartnerId	Desc	Name	nType
78	Đồng Hành A	Tường Vi	1
79	Đồng Hành A	Trác Phi Phàm	1
80	Đồng Hành A	Nguyệt Minh Dao	1
81	Đồng Hành A	Nam Cung Thái Hồng	1
82	Đồng Hành A	Trương Như Mộng	1
83	Đồng Hành A	Trương Lâm Tâm	1
84	Đồng Hành A	Phong Ngọc Thư	1
85	Đồng Hành A	Khúc Hà	1
86	Đồng Hành A	Gia Luật Tị Li	1
87	Đồng Hành A	Lâm Hải	1
88	Đồng Hành A	Lục Văn Long	1
89	Đồng Hành A	Triệu Vô Song	1
90	Đồng Hành A	Vô Tướng	1
91	Đồng Hành A	Triệu Tiết	1
92	Đồng Hành A	Thiệu Kỵ Phong	1
93	Đồng Hành A	Hà Mộ Tuyết	1
94	Đồng Hành A	Triệu Thăng Quyền	1
95	Đồng Hành A	Sài Tung	1
96	Đồng Hành B	Ân Phương	2
97	Đồng Hành B	Tô Mặc Vân	1
98	Đồng Hành B	Tiêu Động Trần	1
99	Đồng Hành B	Bạch Mi Hầu Vương	1
100	Đồng Hành B	Đại Địa Lang Vương	1
101	Đồng Hành B	Hàn Ngọc Lộc Vương	1
102	Đồng Hành B	Hồ Thần Y	1
103	Đồng Hành B	Tần Mộc Bạch	1
104	Đồng Hành B	Trương Trọng Thiên	1
105	Đồng Hành B	Lộ Đạt	1
106	Đồng Hành B	Lý Tam	1
107	Đồng Hành B	Lư Thanh	1
108	Đồng Hành B	Oanh Nhi	1
109	Đồng Hành B	Cố Võ	1
114	Đồng Hành C	Kim Tiền Báo	1
115	Đồng Hành C	Hắc Dực Liệp Ưng	1
116	Đồng Hành C	Võ Lâm Ác Đồ	1
117	Đồng Hành C	Mãnh Hổ	1
118	Đồng Hành C	Phong Lâm Vệ	1
119	Đồng Hành C	Viên Hầu	1
120	Đồng Hành C	Thiết Diện Bổ Đầu	1
121	Đồng Hành C	Hồng Y Nữ Đồng	1
122	Đồng Hành C	Thầy Đúc Kiếm	1
123	Đồng Hành C	Thợ Săn	1
124	Đồng Hành C	Hồng Anh Thị	1
125	Đồng Hành C	Cường Đạo	1
126	Đồng Hành C	Đệ Tử Dược Vương	1
127	Đồng Hành C	Sói Xám	1
128	Đồng Hành C	Đông Doanh Nhẫn Giả	1
129	Đồng Hành C	Sinh Sứ	1
130	Đồng Hành C	Tử Thị	1
131	Đồng Hành C	Hỏa Hồ	1
132	Đồng Hành C	Đệ Tử Cửu U	1
133	Đồng Hành C	Gấu Đen	1
134	Đồng Hành C	Đệ Tử Vô Ưu Giáo	1
135	Đồng Hành C	Thiên Công Tượng Giả	1
136	Đồng Hành C	Khôi Lỗi Sĩ Binh	1
137	Đồng Hành C	Cơ Quan Nhân	1
