nPartnerId	Desc1	nItemId	Desc2	nValue	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
147	Cuồng Tông Ngao Hoàng	1524	Cuồng Tông Ngao Hoàng-Xích Hỏa Tông	1000000	basic_damage_v	200		200																																				
43	Xích Tinh Hổ Hoàng	1506	Xích Tinh Hổ Hoàng-Bạch Hổ Trảo	1000000	basic_damage_v	200		200																																				
44	Hám Thiên Hùng Hoàng	1507	Hám Thiên Hùng Hoàng-Bạo Quân Nha	1000000	basic_damage_v	200		200																																				
45	Tử Bối Ngạc Hoàng	1508	Tử Bối Ngạc Hoàng-Tử Kim Lân	1000000	basic_damage_v	200		200																																				
46	Định Hải Kim Cang	1509	Định Hải Kim Cang-Kim Cang Trạc	1000000	basic_damage_v	200		200																																				
47	Kim Sí Bằng Hoàng	1510	Kim Sí Bằng Hoàng-Ca Lâu La Vũ	1000000	basic_damage_v	200		200																																				
48	Ngân Giác Tê Hoàng	1511	Ngân Giác Tê Hoàng-Vọng Nguyệt Giác	1000000	basic_damage_v	200		200																																				
49	Trương Phong	1512	Trương Phong-Thừa Phong Kiếm	1000000	basic_damage_v	200		200																																				
50	Nam Cung Diệt	1513	Nam Cung Diệt-Bách Luyện Thủ	1000000	basic_damage_v	200		200																																				
51	Phương Miễn	1514	Phương Miễn-Toái Tinh Kiếm	1000000	basic_damage_v	200		200																																				
52	Đường Ảnh	1515	Đường Ảnh-Thiên Cơ Phiến	1000000	basic_damage_v	200		200																																				
53	Thu Y Thủy	1516	Thu Y Thủy-Vân Yên Hà	1000000	basic_damage_v	200		200																																				
54	Thiên Tinh Đạo Trưởng	1517	Thiên Tinh Đạo Trưởng-Trích Tinh Thủ	1000000	basic_damage_v	200		200																																				
55	Yên Nhược Tuyết	1518	Yên Nhược Tuyết-Phiêu Tuyết Vân Tụ	1000000	basic_damage_v	200		200																																				
56	Dương Hi Liệt	1519	Dương Hi Liệt-Lăng Tuyệt Kiếm	1000000	basic_damage_v	200		200																																				
57	Thượng Quan Phi Long	1520	Thượng Quan Phi Long-Vãn Nguyệt Kiếm	1000000	basic_damage_v	200		200																																				
58	Nạp Lan Tiềm Lẫm	1521	Nạp Lan Tiềm Lẫm-Thiên Ma Kiếm	1000000	basic_damage_v	200		200																																				
148	Hoàng Chân Y	1525	Hoàng Chân Y-Vũ Khí Bổn Mạng	1000000	basic_damage_v	200		200																																				
149	Lâm Triều Hoa	6799	Lâm Triều Hoa-Thương Hải Long Ngâm	1000000	basic_damage_v	200		200																																				
150	Triệu Ân Đồng	6800	Triệu Ân Đồng·Phượng Hoàng Lai Nghi	1000000	basic_damage_v	200		200																																				
59	Nạp Lan Chân	1931	Nạp Lan Chân-Vong Ưu	300000	basic_damage_v	100		100																																				
60	Tiểu Ảnh Phong	1932	Tiểu Ảnh Phong-Đoạn Ngọc Kiếm	300000	basic_damage_v	100		100																																				
61	Dương Thiết Tâm	1933	Dương Thiết Tâm-Tố Anh Trạm Kim Thương	300000	basic_damage_v	100		100																																				
62	Liễu Tiêu Đình	1935	Liễu Tiêu Đình-Tinh Hà Thương	300000	basic_damage_v	100		100																																				
63	Vô Tưởng	1934	Vô Tưởng-Chỉ Thủy Kiếm	300000	basic_damage_v	100		100																																				
64	Lý Điềm Nhi	1936	Lý Điềm Nhi-Xích Hoàng Cung	300000	basic_damage_v	100		100																																				
65	Lý Thiên Mục	1937	Lý Thiên Mục-Thiên Xu Kiếm	300000	basic_damage_v	100		100																																				
66	Hoàn Nhan Tương	1938	Hoàn Nhan Tương	300000	basic_damage_v	100		100																																				
67	Huyền Từ	1939	Huyền Từ-(Huyền Từ)	300000	basic_damage_v	100		100																																				
68	Doãn Tiêu Vũ	1940	Doãn Tiêu Vũ-(Doãn Tiêu Vũ)	300000	basic_damage_v	100		100																																				
69	Cổ Yên Nhiên	1941	Cổ Yên Nhiên-(Cổ Yên Nhiên)	300000	basic_damage_v	100		100																																				
70	Tống Thu Thạch	1942	Tống Thu Thạch-(Tống Thu Thạch)	300000	basic_damage_v	100		100																																				
71	Thạch Hiên Viên	1943	Thạch Hiên Viên-(Thạch Hiên Viên)	300000	basic_damage_v	100		100																																				
72	Đường Hiểu	1944	Đường Hiểu-(Đường Hiểu)	300000	basic_damage_v	100		100																																				
73	Song Thủ Dị Thú	1945	Song Thủ Dị Thú-Long Quy Giáp	300000	basic_damage_v	100		100																																				
74	Bôn Diệm Báo Vương	1946	Bôn Diệm Báo Vương-Bôn Diệm Trảo	300000	basic_damage_v	100		100																																				
75	Cửu Vĩ Hồ Vương	1947	Cửu Vĩ Hồ Vương-Thiên Hồ Vĩ	300000	basic_damage_v	100		100																																				
76	Đường Tiêu	1948	Đường Tiêu-Thất Sát Liêm	300000	basic_damage_v	100		100																																				
77	Tử Hiên	1949	Tử Hiên-Thính Vũ Tản	300000	basic_damage_v	100		100																																				
78	Tường Vi	1950	Tường Vi-Tường Vi Tụ	300000	basic_damage_v	100		100																																				
79	Trác Phi Phàm	1951	Trác Phi Phàm-Tuyệt Tình Đoạn Kiếm	300000	basic_damage_v	100		100																																				
80	Nguyệt Minh Dao	1952	Nguyệt Minh Dao-Cán Hoa Sáo	300000	basic_damage_v	100		100																																				
81	Nam Cung Thái Hồng	1953	Nam Cung Thái Hồng-Ngọc Lộ Kiếm	300000	basic_damage_v	100		100																																				
82	Trương Như Mộng	1954	Trương Như Mộng-Kim Phong Kiếm	300000	basic_damage_v	100		100																																				
83	Trương Lâm Tâm	1955	Trương Lâm Tâm-Phi Phượng Kiếm	300000	basic_damage_v	100		100																																				
84	Phong Ngọc Thư	1956	Phong Ngọc Thư-Thúy Ngọc Thương	300000	basic_damage_v	100		100																																				
85	Khúc Hà	1957	Khúc Hà-Tử Ngọc Xà Tụ	300000	basic_damage_v	100		100																																				
86	Gia Luật Tị Li	1958	Gia Luật Tị Li-Hỏa Lân Trảo	300000	basic_damage_v	100		100																																				
87	Lâm Hải	1959	Lâm Hải-Thu Phong Kiếm	300000	basic_damage_v	100		100																																				
88	Lục Văn Long	1960	Lục Văn Long-Văn Long Đao	300000	basic_damage_v	100		100																																				
89	Triệu Vô Song	1961	Triệu Vô Song-Vãn Hoa Kiếm	300000	basic_damage_v	100		100																																				
90	Vô Tướng	1962	Vô Tướng-Nguyệt Nha Sản	300000	basic_damage_v	100		100																																				
91	Triệu Tiết	1963	Triệu Tiết-Tham Lang Kích	300000	basic_damage_v	100		100																																				
92	Thiệu Kỵ Phong	1964	Thiệu Kỵ Phong-Lưu Kim Tụ	300000	basic_damage_v	100		100																																				
93	Hà Mộ Tuyết	1965	Hà Mộ Tuyết-Khinh Tuyết Tụ	300000	basic_damage_v	100		100																																				
94	Triệu Thăng Quyền	1966	Triệu Thăng Quyền-Phong Tuyết Thương	300000	basic_damage_v	100		100																																				
95	Sài Tung	1967	Sài Tung-Mặc Trúc Phiến	300000	basic_damage_v	100		100																																				
