GrowthType	Info	QualityLevel	Strength	Energy	Dexterity	Vitality	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
12	Né tránh (Cái Bang) 	4	40	40	70	50	lifemax_v	1200																																						
1	Phòng thủ (Thiên Vương) 	5	48	24	40	48	lifemax_v	1000																																						
2	Sinh Lực (Nga Mi) 	5	32	32	40	56	lifemax_v	1000																																						
3	Khống chế (Tiêu Dao) 	5	48	48	32	32	lifemax_v	1000																																						
4	Tấn công (Đào Hoa) 	5	56	48	24	32	lifemax_v	1000																																						
5	Cân bằng (Võ Đang) 	5	48	32	48	32	lifemax_v	1000																																						
6	Thích khách (Thiên Nhẫn)	5	32	56	40	32	lifemax_v	1000																																						
7	Phản đòn (Thiếu Lâm) 	5	40	40	24	56	lifemax_v	1000																																						
8	Hỗ trợ (Thúy Yên) 	5	24	48	40	48	lifemax_v	1000																																						
9	Thuần bạo kích (Đường Môn) 	5	40	56	40	24	lifemax_v	1000																																						
10	Thuần công (Côn Lôn) 	5	56	40	40	24	lifemax_v	1000																																						
11	Bùa Chú (Ngũ Độc) 	5	24	24	56	56	lifemax_v	1000																																						
12	Né tránh (Cái Bang) 	5	32	32	56	40	lifemax_v	1000																																						
1	Phòng thủ (Thiên Vương) 	6	36	18	30	36	lifemax_v	800																																						
2	Sinh Lực (Nga Mi) 	6	24	24	30	42	lifemax_v	800																																						
3	Khống chế (Tiêu Dao) 	6	36	36	24	24	lifemax_v	800																																						
4	Tấn công (Đào Hoa) 	6	42	36	18	24	lifemax_v	800																																						
5	Cân bằng (Võ Đang) 	6	36	24	36	24	lifemax_v	800																																						
6	Thích khách (Thiên Nhẫn)	6	24	42	30	24	lifemax_v	800																																						
7	Phản đòn (Thiếu Lâm) 	6	30	30	18	42	lifemax_v	800																																						
8	Hỗ trợ (Thúy Yên) 	6	18	36	30	36	lifemax_v	800																																						
9	Thuần bạo kích (Đường Môn) 	6	30	42	30	18	lifemax_v	800																																						
10	Thuần công (Côn Lôn) 	6	42	30	30	18	lifemax_v	800																																						
11	Bùa Chú (Ngũ Độc) 	6	18	18	42	42	lifemax_v	800																																						
12	Né tránh (Cái Bang) 	6	24	24	42	30	lifemax_v	800																																						
