nPartnerId	Name	szStory
104	Trương Trọng Thiên	Giáo đồ Vô Ưu Giáo, trung thành với Nạp Lan Tiềm Lẫm, Trác Phi Phàm nghi ngờ y có Võ Đạo Đức Kinh, nên muốn đoạt lấy. Trương Trọng Thiên bèn giao cho Dương Ảnh Phong 1 quyển giả mạo nhằm đánh lạc hướng Trác Phi Phàm. Về sau, khi Nạp Lan Tiềm Lẫm đoạt được Võ Đạo Đức Kinh thật đã muốn diệt khẩu Trương Trọng Thiên, Trương Trọng Thiên thoát được đã nói cho Dương Ảnh Phong biết âm mưu này.
83	Trương Lâm Tâm	Người tình của Độc Cô Kiếm, con gái của Phi Kiếm Khách Trương Phong, em gái Trương Như Mộng. Nàng không ngờ chàng trai mình yêu lại có mối thâm thù với mình, nên vô cùng đau buồn. Sau khi hiểu lầm được hóa giải, đã cùng Độc Cô Kiếm hoàn thành sứ mệnh báo thù cho cha.
82	Trương Như Mộng	Người yêu của Nam Cung Thái Hồng, con trai của【Phi Kiếm Khách】Trương Phong, huynh trưởng của Trương Lâm Tâm. Một lòng tận trung nhưng lại đem lòng yêu kẻ thù nên chỉ biết mượn rượu giải sầu. Sau khi đấu với Nam Cung Thái Hồng ở Kiếm Môn Quan thì cả hai bỏ qua mọi chuyện, cùng nhau quy ẩn giang hồ và có 1 con trai tên là Nam Cung Phi. 
81	Nam Cung Thái Hồng	Người tình của Trương Như Mộng, là con gái của Nam Cung Diệt. Vốn đến Tống Quốc điều tra tình báo, nhưng lại yêu Trương Như Mộng, cả hai bất chấp tất cả sống ẩn cư tại sa mạc, sau sinh một đứa con là Nam Cung Phi.
49	Trương Phong	Một trong tứ đại kiếm khách, cha của Trương Như Mộng và Trương Lâm Tâm, cùng【Tiên Kiếm Khách】Độc Cô Vân đến nước Kim muốn cứu Huy Khâm Nhị Đế, sau khi bại lộ, vì muốn bảo vệ【Bản Đồ Sơn Hà Xã Tắc】đành giả vờ bị cao thủ nước Kim【Thiên Kiếm Khách】Nam Cung Diệt mua chuộc, đích thân hạ thủ Độc Cô Vân đang bị giày vò. Để đối phó với âm mưu của nước Kim và Tần Cối, nhẫn nhục nhiều năm, Độc Cô Kiếm không biết sự tình, xem y như là kẻ thù hại cha.
50	Nam Cung Diệt	Thiên Kiếm Khách của Thiên Tâm Phi Tiên, cao thủ Kim quốc, cha của Nam Cung Thái Hồng. Nhiều năm qua làm nội gián ở trung nguyên, khiến võ lâm tranh đấu, làm hại vô số nhân sĩ võ lâm.
51	Phương Miễn	Tâm Kiếm Khách trong Thiên Tâm Phi Tiên, võ công cao cường, sau cuộc chiến Nam Cung Diệt đã mất hết võ công, ẩn cư giang hồ. Đệ đệ của y mượn danh thống lĩnh Ngũ Sắc Giáo Đồ tác quái, đánh Trương Lâm Tâm rơi xuống vực, bị Độc Cô Kiếm và Dương Anh tiêu diệt. Sau đó, Phương Miễn cứu Trương Lâm Tâm, có một kết cuộc có hậu.
106	Lý Tam	Tiều Phu ở Thạch Đường Trấn biết rõ đường đi trên Hoa Sơn, Độc Cô Kiếm vì cần người chỉ đường nên đã cứu hắn ra.
88	Lục Văn Long	Mãnh tướng dưới trướng của Nhạc Phi, là con của Tiết Độ Sứ Lục Đăng. Khi Lộ An Châu bị Kim Binh tấn công đã trở thành nghĩa tử của Kim Ngột Thuật. Sau khi được Độc Cô Kiếm cho biết thân thế đã quay về triều Tống, trở thành mãnh tướng của Nhạc Gia Quân.
22	Nhạc Phi	Nhạc Phi là thống soái kiệt xuất nhất của Nam Tống. Ông thưởng phạt phân minh, quân luật nghiêm khắc, rất quan tâm đến thuộc hạ của mình. Nhạc Gia Quân do ông thống lĩnh vô cùng tinh nhuệ và uy dũng, khiến quân Kim phải khiếp sợ và thán phục.
42	Hàn Thế Trung	Danh Tướng Lưỡng Tống, cùng thời với Nhạc Phi, Trương Tuấn, Lưu Quang Thế. Hàn Thế Trung thân hình cao lớn, dũng mãnh hơn người. Xuất thân bần hàn, nhưng từng có nhiều cống hiến lớn.
105	Lộ Đạt	Giang hồ nhân sĩ trong quán rượu Lâm An Thành ủng hộ ý kiến của Tần Cối, cảm thấy tiến cống cho nước Kim có thể được bình yên. Độc Cô Kiếm và Trương Như Mộng biết được cùng đến xử lý tên tiểu nhân này.
87	Lâm Hải	Hoa Sơn Trưởng Lão đã dùng【Thần Công Tán】để mưu hại Cố Phong. May nhờ có Độc Cô Kiếm và Trương Lâm Tâm phá tan âm mưu và bắt y phải trả giá.
107	Lư Thanh	Đệ tử Hành Sơn Phái cùng luyện võ với Độc Cô Kiếm từ nhỏ. Sau khi Độc Cô Kiếm trở thành chưởng môn anh ta trở thành đại đệ tử của phái. Khi Độc Cô Kiếm bôn ba giang hồ, tất cả mọi việc trong phái đều do anh ta quản lý. Nghe nói Độc Cô Kiếm đến Chu Tiên Trấn chống quân Kim anh ta đã không quản đường xa gửi Đan Tâm Kiếm đến.
108	Oanh Nhi	Tỳ nữ của Bang Chủ Thiên Vương Bang, được Dương Anh tin tưởng. Thiên Vương Bang Tả Sứ Phong Ngọc Thư theo Ngũ Sắc Giáo, vào phòng Dương Anh lấy【Bản Đồ Sơn Hà Xã Tắc】, bắt lấy Oanh Nhi, may Độc Cô Kiếm và Dương Anh đến kịp cứu lấy.
90	Vô Tướng	Giới Luật Viện Thủ Tọa vẫn luôn ngấp nghé vị trí Chưởng Môn để thống lĩnh võ lâm, đã gia nhập Ngũ Sắc Giáo trở thành Hoàng Kiếm Đường Chủ, ẩn náu tại Thiếu Lâm ám hại Vô Hư Đại Sư. Sau bị Trương Lâm Tâm dùng kế vạch trần thân phận phải bỏ chạy. Tại tổng đàn Ngũ Sắc Giáo, Vô Tướng, Phong Ngọc Thư, Lâm Đối Nhi cùng đấu với Độc Cô Kiếm nhưng không địch lại.
12	Nam Cung Phi	Con của Trương Như Mộng và Nam Cung Thái Hồng từ nhỏ sống ngoài sa mạc cùng cha mẹ, võ công không phải tầm thường, biết rất ít chuyện thế sự, tính tình cởi mở.
55	Yên Nhược Tuyết	Vốn tên Hoàn Nhan Nhược Tuyết, người yêu của Nam Cung Phi, trọng thần nước Kim, con gái của giáo chủ Thiên Nhẫn Hoàn Nhan Hồng Liệt. Tình cờ được Nam Cung Phi cứu, vì tránh mâu thuẫn Tống Kim, đổi tên thành Yên Nhược Tuyết, cùng Nam Cung Phi nảy sinh tình cảm. Từ nhỏ đã được học tập, gánh vác thù hận nước nhà và gia đình, tình yêu của họ trải qua nhiều đau khổ.
92	Thiệu Kỵ Phong	Trang chủ Phụng Trì Sơn Trang, phú hộ Giang Nam. Lưu danh hành hiệp trượng nghĩa, được các hiền nhân phò tá, ngang bằng với Mạnh Thường Quân, được mệnh danh【Tiểu Mạnh Thường】, võ nghệ cao cường. Nhưng thực tế, người này là tả hộ pháp Thiên Nhẫn Giáo, là gian tế lẻn vào Trung Nguyên.
11	Độc Cô Kiếm	Minh Chủ Võ Lâm, chưởng môn phái Hành Sơn, phu quân của Trương Lâm Tâm, dượng của Nam Cung Phi. Cả đời vì dân vì nước, thống lãnh nhân sĩ võ lâm kháng Kim, bại dưới tay giáo chủ Thiên Nhẫn Hoàn Nhan Hồng Liệt, sau khi bị bắt giam đã có người cải trang thành ông. Kẻ cải trang mạo danh Độc Cô Kiếm vờ kháng Kim, thực tế là tập hợp nhân sĩ kháng Kim một lưới bắt trọn, vô số nhân sĩ võ lâm vì vậy mà mất mạng. Sau truyền công cho Nam Cung Phi, được Dương Anh cứu, tiếp tục hoạt động kháng Kim. 
94	Triệu Thăng Quyền	Trang chủ Phong Tuyết Sơn Trang, nổi danh với Phong Tuyết Thương Pháp xuất quỷ nhập thần, kết hợp Phong Tuyết Cuồng Đao tung hoành thiên hạ. Là người trượng nghĩa, có danh vọng trong giang hồ. Sau bị hại bởi người của Thiệu Kỵ Phong trong đại hội võ lâm tại Phụng Trì Sơn Trang.
89	Triệu Vô Song	Con gái duy nhất của Triệu Thăng Quyền, thiếu trang chủ và là truyền nhân duy nhất của Phong Tuyết Sơn Trang. Tuy là nữ nhưng tài trí không kém các nam tử, vô cùng ngưỡng mộ Sài Tung, môn chủ của Trường Ca Môn nhưng chưa một lần gặp mặt. Về sau, Sài Tung vì cứu Nam Cung Phi mà đến Phong Tuyết Sơn Trang, hai người gặp nhau ở đây sau đó đính ước lương duyên. Sau vì trúng độc mà bị Thiệu Kỵ Phong bắt và được Nam Cung Phi cứu.
52	Đường Ảnh	Đường Môn thiếu môn chủ, con trai Đường Môn môn chủ Đường Ly. Võ công cao cường, tính ôn hòa, yêu Thúy Yên môn chủ Thu Y Thủy, sau bị Thiên Nhẫn giáo sứ Thiệu Kỵ Phong dùng kế bắt, nhưng được Nam Cung Phi cứu thoát.
53	Thu Y Thủy	Thúy Yên môn chủ, tính cách mạnh mẽ, trải qua nhiều trắc trở với Đường Ảnh (Đường Môn đại công tử), cuối cùng đã kết thúc viên mãn với sự giúp đỡ của Nam Cung Phi. Sau đó bị giáo sứ Thiên Nhẫn Thiệu Kỵ Phong bắt sống, lại được Nam Cung Phi cứu ra.
91	Triệu Tiết	Triệu Tiết, tướng quân Nam Tống, cùng với Thiệu Kỵ Phong âm mưu sát hại nhiều nhân sĩ võ lâm ở Phụng Trì Sơn Trang. Sau bị Nam Cung Phi tiêu diệt.
86	Gia Luật Tị Li	Hữu Hộ Pháp của Thiên Nhẫn, người Kim, ngông cuồng, tự phụ, nham hiểm, võ công cao cường. Gia Luật Tị Li trung thành với Thiên Nhẫn Giáo và Hoàn Nhan Hồng Liệt, hành sự cẩn thận, chưa từng thất bại, vì vậy được Hoàn Nhan Hồng Liệt coi trọng, những việc cần âm thầm hoàn thành trong Thiên Nhẫn Giáo đều giao cho hắn, thậm chí một số việc nhà Hoàn Nhan cũng giao cho ông xử lý, là trợ thủ đắc lực của Hoàn Nhan Hồng Liệt. 
109	Cố Võ	Thủ lĩnh cường đạo ở Táng Mã Cương, chuyên cướp hàng hóa của thương nhân. Lần này không may gặp một thương nhân cầu cứu Nam Cung Phi, Nam Cung Phi vì muốn lấy lòng Yên Nhược Tuyết, đến Táng Mã Cương trừng trị đám cường đạo này.
24	Dương Anh	Dương Anh là Bang Chủ đời thứ hai của Thiên Vương Bang. Sau vì【Bản Đồ Sơn Hà Xã Tắc】mà kết duyên với chưởng môn Hành Sơn Độc Cô Kiếm.
61	Dương Thiết Tâm	Tả Sứ tiền nhiệm Thiên Vương Bang,「Bát Tỉ Viên」con của Cổ Bách, sau được Dương Anh nhận làm con nuôi, bổ nhiệm làm Bang Chủ nhiệm kỳ mới của Thiên Vương Bang. Con người lễ nghĩa, trung thành tài giỏi nhưng nóng tính, võ công cao cường, chùy pháp tinh thâm, hiếm có kẻ địch nào chịu được quá 10 chiêu.
25	Chúc Tử Hư	Chưởng môn phái Tiêu Dao, tư chất tốt, cầm kỳ thi họa, thiên văn địa lý đều biết, võ công cao cường lại anh tuấn, giang hồ rất nhiều người ngưỡng mộ.
62	Liễu Tiêu Đình	Đại đệ tử phái Tiêu Dao, tuổi trẻ tài cao
28	Đạo Nhất Chân Nhân	Chưởng môn Võ Đang, đức cao vọng trọng, rất được nhân sĩ giang hồ kính trọng.
65	Lý Thiên Mục	Một trong Võ Đang Lục Kiệt, tính cách tỉ mỉ cẩn thận, không gì có thể vượt khỏi tầm mắt của y.
26	Thanh Hiểu Sư Thái	Chưởng môn hiện tại của Nga Mi, đối với đệ tử rất nghiêm khắc, dưới lớp vỏ bọc lạnh lùng là trái tim ấm áp. Đối nhân xử thế vô cùng khéo léo nhưng đầy tham vọng muốn phát dương quang đại Nga Mi đứng đầu trong võ lâm.
63	Vô Tưởng	Đại đệ tử xuất sắc của Nga Mi, phật phát cao thâm, võ công trác tuyệt, rất được Thất Tiên Tử của Nga Mi yêu thích.
27	Hoàng Mộ Vân	Đào Hoa Đảo Chủ, được kỳ vọng có thể khiến môn phái vang danh bốn bể. Hoàng Mộ Vân hiện là một trong những nữ cao thủ nổi tiếng nhất giang hồ, kỳ môn bát quái. Thiên văn địa lý đều tinh thông.
64	Lý Điềm Nhi	Đại đệ tử Đào Hoa Đảo, võ công cao cường. Rất được đảo chủ và các Trưởng Lão yêu thích, mai này có thể trở thành đảo chủ.
29	Đoan Mộc Duệ	Giáo chủ Thiên Nhẫn hiện tại, từng vào Trung Nguyên quen được Hà Linh Phiêu, một trong Thất Tiên Nga Mi, mục đích tiếp cận nàng chính là lợi dụng nàng để thăm dò võ lâm Trung Nguyên, dù nàng biết thân phận của y và cũng vì y mà bị võ lâm các phái chỉ trích, cuối cùng rời sư môn, cam tâm tình nguyện vì tình bỏ hết tất cả. Nhưng với Đoan Mộc Duệ, lợi ích Thiên Nhẫn Giáo là trên hết, y chọn hi sinh nàng. Cuối cùng nàng tự vẫn, trong lòng y hẳn có chút đau xót chăng?
66	Hoàn Nhan Tương	Hoàn Nhan Tương vốn là thống lĩnh thị vệ Kim Quốc, tình cờ vào được Thiên Nhẫn Giáo, từ đó bắt đầu lịch sử huy hoàng của hắn.
37	Cao Trường Cung	Cao Trường Cung (541-573), là tướng lĩnh, hoàng thân nhà Bắc Tề, được phong làm Lan Lăng Vương. Trong trận Mang Sơn, Cao Trường Cung làm trung quân, soái lĩnh 500 tinh kỵ xông vào vòng vây đến dưới thành Kim Dung. Người trên thành không nhận ra, ông phải cởi mũ cho họ trông thấy, quân giữ thành vừa mở cửa vừa bắn tên yểm hộ cho ông vào thành. Sau trận này, sĩ binh đã làm bài ca tán tụng có tên là Lan Lăng Vương Nhập Trận Khúc.
38	Triết Biệt	Triết Biệt (?-khoảng năm 1224), danh tướng Mông Cổ, anh dũng thiện chiến. Năm 1211, theo Thành Cát Tư Hãn tấn công nước Kim, công phá nhiều quan ải. Năm 1218, dẫn hai vạn quân diệt Khuất Xuất Luật. Năm 1219, theo Thành Cát Tư Hãn tây chinh. Năm 1223, qua đời do bệnh khi đang trên đường khải hoàn trở về.
40	Viên Thừa Chí	Viên Thừa Chí là con của Viên Sùng Hoán, tên「Thừa Chí」ngụ ý là「Kế tục ý nguyện của phụ thân」. Khi Viên Sùng Hoán mất, Thừa Chí được thuộc hạ cũ của Viên Sùng Hoán cứu, khi đó y mới 7 tuổi. Sau bái Mục Nhân Thanh「Thần Kiếm Tiên Viên」chưởng môn của Hoa Sơn Phái làm sư phụ và học được rất nhiều bí kíp võ công của「Kim Xà Lang Quân」hay「Thiên Biến Vạn Kiếp」của「Thiết Kiếm Môn」và trở thành cao thủ khi còn khá trẻ. Sau khi xuống núi, y hành hiệp trượng nghĩa và tìm được hồng nhan tri kỷ của mình là Hạ Thanh Thanh, sau đó trở thành Minh Chủ Võ Lâm, giúp quân khởi nghĩa công phá kinh đô của nhà Minh. Sau khi Lý Tự Thành vào kinh, do chán cảnh hủ bại của quan quân triều đình nên đã cùng Hạ Thanh Thanh và một số huynh đệ đến ẩn cư tại một hòn đảo nhỏ.
41	Ngao Bái	Ngao Bái (?-1669, tiếng Mãn: Oboi), là quyền thần thời nhà Thanh, lập rất nhiều công lao cho người Mãn Châu cũng như nhà Thanh, là một trong những đại thần phụ chính khi Khang Hi còn nhỏ. Ngao Bái nửa đời trước quân công hiển hách, nửa đời sau nắm giữ quyền hành, kết bè kết phái. Sau bị Khang Hi và một số đại thần lập kế bắt giữ, giam vào trong ngục cho đến cuối đời.
15	Huyền Thiên Đạo Nhân	Nhân vật thần bí, không biết từ đâu có được Võ Đạo Đức Kinh, để bình định phân tranh, Huyền Thiên Đạo Nhân đã dùng võ công để tiêu diệt chúng nhân, võ công tuyệt thế đó xuất phát từ Võ Đạo Đức Kinh.
21	Ngu Cơ	Ngu Cơ là mỹ nhân của Tây Sở Bá Vương Hạng Vũ, vẫn ở bên khi Hạng Vũ gặp nguy bị bao vây tứ phía, Hạng Vũ vì nàng đã làm bài thơ Cai Hạ Ca.
39	Tần Lương Ngọc	Tần Lương Ngọc (1574-1648), tự Trinh Tố, người Trung Châu, Tứ Xuyên, là nữ danh tướng kháng Thanh cuối đời nhà Minh.
20	Kinh Kha	Kinh Kha (?-227 trước CN) người nước Vệ, thích khách nổi tiếng thời Chiến Quốc là thích khách nổi tiếng, về sau định thích sát Tần Vương nhưng thất bại, bị Tần Vương dùng kiếm đánh trọng thương, cuối cùng bị thị vệ Tần hạ sát.
19	Lý Quảng	Lý Quảng, danh tướng thời Tây Hán, có nhiều công lao trong công cuộc chống quân Hung Nô, sau vì lạc đường mà không thể tham chiến trong trận Mạc Bắc nên xấu hổ tự sát.
18	Triệu Vân	Triệu Vân (?-229), tự Tử Long, người Thường Sơn, là danh tướng dưới trướng Lưu Bị nhà Thục Hán thời Tam Quốc.
17	Lý Nguyên Bá	Lý Nguyên Bá sức mạnh vô song, đứng đầu Tùy Đường Thập Bát Hảo Hán. Nổi tiếng sau trận thắng Thiên Bảo Đại Tướng Quân tại trận Tấn Dương Cung, từng cứu thanh quan Lưu Văn Tịnh.
54	Thiên Tinh Đạo Trưởng	Chưởng môn tiền nhiệm Võ Đang, bạn chi giao của Minh Chủ Võ Lâm Mạnh Tri Thu, đức cao vọng trọng, tương truyền được Huyền Thiên Đạo Nhân chỉ điểm, võ công siêu phàm, từng giúp đỡ Dương Ảnh Phong phá hủy âm mưu của Nạp Lan Tiềm Lẫm.
14	Đường Giản	Đường Giản thuở nhỏ được mẹ dạy cho cầm kỳ thi họa. Thiên phú võ học cũng cao, lúc 3 tuổi Đường Giản được cha truyền dạy nội công tâm pháp Đường Gia. 25 tuổi đã luyện được Thiên Ma Vô Tướng, tung hoành giang hồ chưa từng thất bại. Đường Giản còn trẻ võ nghệ trác tuyệt, được phong làm Đường Môn Môn Chủ, sau càng nổi danh hơn, được mọi người tin tưởng tiến cử làm Minh Chủ Võ Lâm. Đường Giản năm 38 tuổi đã rút khỏi giang hồ, mai danh ẩn tính, từ đó biệt vô tăm tích.
