BaseId	SubId	DetailId	Name	Desc	Icon	IconAtlas	Stars	Level	TimeFrame	Action
3	5	2	Bang Hội Trang Sức Phường	Mua ở Bang Hội Trang Sức Phường	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	6		Áo							
3	6	1	Minh Chủ Võ Lâm	Khiêu chiến Minh Chủ Võ Lâm có cơ hội nhận	wulinmengzhu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	20		Ui:OpenWindow('CalendarPanel',1,1)
3	6	2	Bang Hội Binh Giáp Phường	Mua ở Bang Hội Binh Giáp Phường	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	7		Ngọc Bội							
3	7	1	Nhiệm Vụ Thương Hội	Xong nhiệm vụ Thương Hội có cơ hội nhận	shanghuirenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	30	OpenDay3	Ui:OpenWindow('CalendarPanel',1,2)
3	7	2	Bang Hội Trang Sức Phường	Mua ở Bang Hội Trang Sức Phường	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	8		Đai							
3	8	1	Khiêu Chiến Anh Hùng	Hoàn thành Khiêu Chiến Anh Hùng có cơ hội nhận	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	5	OpenDay3	Ui:OpenWindow('HeroChallenge')
3	8	2	Bang Hội Phòng Cụ Phường	Mua ở Bang Hội Phòng Cụ Phường	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	9		Hộ Thân Phù							
3	9	1	Thủ Lĩnh Dã Ngoại	Khiêu chiến Thủ Lĩnh Dã Ngoại cơ hội nhận	yewaishouling	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	20	OpenDay3	Ui:OpenWindow('BossLeaderPanel','Leader')
3	9	2	Bang Hội Trang Sức Phường	Mua ở Bang Hội Trang Sức Phường	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	10		Giày							
3	10	1	Thông Thiên Tháp	Khiêu chiến Thông Thiên Tháp có cơ hội nhận	zhaixinglou	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	30	OpenDay4	Ui:OpenWindow('CalendarPanel',1,26)
3	10	2	Bang Hội Phòng Cụ Phường	Mua ở Bang Hội Phòng Cụ Phường	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
4			Thủy Tinh							
4		1	Trân Bảo Các	Tại Trân Bảo Các có thể mua các loại Thủy Tinh, mỗi tuần ưu đãi giới hạn	zhaixinglou	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	10		Ui:OpenWindow('CommonShop','Treasure')
4		2	Sơn Tặc Mật Quật	Khiêu chiến Sơn Tặc Mật Quật có thể nhận	shanzeimiku	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	13		Ui:OpenWindow('CalendarPanel',1,21)
4		3	Bạch Hổ Đường	Khiêu chiến Bạch Hổ Đường có thể nhận	baihutang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay3	Ui:OpenWindow('CalendarPanel',1,25)
4		4	Mục Tiêu Ngày	Hoàn thành mục tiêu ngày có cơ hội nhận	meiridati	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	20		Ui:OpenWindow('CalendarPanel',3)
5			Đá Hồn							
5		1	Lăng Tuyệt Phong	Khiêu chiến Lăng Tuyệt Phong có cơ hội nhận	lingjuefeng	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	30	OpenDay2	Ui:OpenWindow('CalendarPanel',1,10)
5		2	Bí Cảnh Tổ Đội	Tham gia bí cảnh tổ đội có cơ hội nhận	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('TeamFubenPanel')
5		3	Bày bán	Có thể mua Đá Hồn trong bày bán	meiridati	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	20		Ui:OpenWindow('MarketStallPanel', 1, 5)
5		4	Quà Siêu Giá Trị 20,000 VNĐ	Mua Quà Siêu Giá Trị 20,000 VNĐ có thể nhận	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	10		Ui:OpenWindow('WelfareActivity', 'DailyRechargeGift')
6			Nguyên Bảo							
6		1	Quà 7 ngày/30 ngày	Sau khi mua Quà 7 ngày/30 ngày, mỗi ngày có thể nhận nhiều Nguyên Bảo	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	10		Ui:OpenWindow('WelfareActivity', 'RechargeGift')
6		2	Đầu Tư	Mua Đầu Tư, đạt cấp nhất định sẽ nhận nhiều Nguyên Bảo	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	21		Ui:OpenWindow('WelfareActivity','GrowInvest')
6		3	Quà Siêu Giá Trị 20,000 VNĐ	Mua Quà Siêu Giá Trị 20,000 VNĐ có thể nhận	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	10		Ui:OpenWindow('WelfareActivity', 'DailyRechargeGift')
6		4	Nạp	Nạp nhận Nguyên Bảo	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	10		Ui:OpenWindow('CommonShop','Recharge')
6		5	Thành Tựu	Mỗi khi đạt 1 thành tựu sẽ có cơ hội nhận Nguyên Bảo	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	1		Ui:OpenWindow('AchievementPanel')
6		6	Danh Tướng	Khiêu chiến Danh Tướng có thể nhận Nguyên Bảo từ lợi tức Bang Hội	lidaimingjiang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	30	OpenDay4	Ui:OpenWindow('BossLeaderPanel','Boss')
6		7	Minh Chủ Võ Lâm	Khiêu chiến Minh Chủ Võ Lâm, có thể nhận Nguyên Bảo lợi tức Bang Hội	wulinmengzhu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	20		Ui:OpenWindow('CalendarPanel',1,1)
7			Bạc							
7		1	Rung Cây Tiền	Mỗi ngày rung cây, nhận nhiều Bạc	shiliangu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	8		Ui:OpenWindow('WelfareActivity','MoneyTreePanel')
7		2	Nhiệm Vụ Thương Hội	Hoàn thành nhiệm vụ Thương Hội có cơ hội nhận nhiều Bạc	shanghuirenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay3	Ui:OpenWindow('CalendarPanel',1,2)
7		3	Khiêu chiến kẻ địch	Khiêu chiến kẻ địch sẽ nhận được Bạc trên người kẻ địch	qunyinghui	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	10		Ui:OpenWindow('SocialPanel','EnemyPanel')
8			Cống Hiến							
8		1	Góp Bang Hội	Mỗi ngày đóng góp Bang Hội, nhận nhiều cống hiến Bang Hội	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	11		Ui:OpenWindow('KinVaultPanel')
8		2	Minh Chủ Võ Lâm	Mỗi ngày khiêu chiến Minh Chủ Võ Lâm, nhận cống hiến Bang Hội	wulinmengzhu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	20		Ui:OpenWindow('CalendarPanel',1,1)
8		3	Lửa Trại Bang Hội	Mỗi ngày tham gia Lửa Trại Bang Hội, nhận cống hiến Bang Hội	jiazujuji	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	11		Ui:OpenWindow('CalendarPanel',1,18)
8		4	Võ Thần Điện	Mỗi ngày khiêu chiến Võ Thần Điện, nhận cống hiến Bang Hội	wushendian	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	17		Ui:OpenWindow('RankPanel')
8		5	Thông Thiên Tháp	Khiêu chiến Thông Thiên Tháp nhận cống hiến Bang Hội	zhaixinglou	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	30	OpenDay4	Ui:OpenWindow('CalendarPanel',1,26)
9			Đồng Hành							
9		1	Mời Đồng Hành	Dùng Bạc hoặc Nguyên Bảo chiêu mộ Đồng Hành	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	9		Ui:OpenWindow('Partner','CardPickingPanel')
9		2	Lăng Tuyệt Phong	Trong Lăng Tuyệt Phong, có cơ hội nhận được Đồng Hành	lingjuefeng	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay2	Ui:OpenWindow('CalendarPanel',1,10)
9		3	Bí Cảnh Tổ Đội	Trong bí cảnh tổ đội, có cơ hội nhận Đồng Hành	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	15		Ui:OpenWindow('TeamFubenPanel')
