Level	EquipPos	StoneId1	StoneId2	StoneId3	StoneId4	StoneId5	StoneId6	StoneId7	StoneId8	StoneId9	StoneId10	desc
70	8	2829	2540	2677	1925	1899	1865	1884	1857	1850		Dây Chuyền
70	7	2882	7653	2543	1887	1918	1878	1879	1859			Nhẫn
70	9	2539	2831	2676	1895	1919	1921	1881	1872	1856		Ngọc Bội
70	6	2545	2697	2851	1889	1853	1855	1858				Hộ Thân Phù
70	0	2827	2542	2669	1892	1923	1866	1873	1880			Đầu
70	5	7375	1891	1875	1882	1913	1914	1915	1870	1852		Hộ Uyển
70	2	2828	2544	1924	1890	1883	1894	1901	1903	1860	1861	Đai
70	4	2541	2675	3710	1922	1926	1917	1900	1902	1864	1871	Giày
80	3	2546	2852	3379	1886	1916	1893	1904	1906	1907	1908	Vũ Khí
80	1	7651	2547	1869	1888	2835	1877	1896	1897	1898	1867	Áo
80	8	3862	6075	2834	2549	2680	1925	1899	1865	1884	1857	Dây Chuyền
80	7	2884	7656	2552	3222	1887	1918	1878	1879	1859		Nhẫn
80	9	2548	2836	2679	1895	1919	1921	1881	1872	1856		Ngọc Bội
80	6	2554	2698	2851	1889	1853	1855	1858				Hộ Thân Phù
80	0	2832	2551	2670	1892	1923	1866	1873	1880			Đầu
80	5	3223	7376	1891	1910	1911	1875	1882	1913	1914	1915	Hộ Uyển
80	2	2833	2553	1924	1890	1883	1894	1901	1903	1860	1861	Đai
80	4	3221	2550	2678	3711	1922	1926	1917	1900	1902	1864	Giày
90	3	2546	2852	3860	3379	1886	1916	1893	1904	1906	1907	Vũ Khí
90	1	7651	4054	9400	2547	1869	1888	2835	1877	1896	1897	Áo
90	8	3862	6075	2834	2549	2680	1925	1899	1865	1884	1857	Dây Chuyền
90	7	2884	7656	2552	4877	6077	3222	1887	1918	1878	1879	Nhẫn
90	9	2548	3861	6078	2836	2679	1895	1919	1921	1881	1872	Ngọc Bội
90	6	2554	2698	2851	1889	1853	1855	1858				Hộ Thân Phù
90	0	2832	3378	2551	2670	1892	1923	1866	1873	1880		Đầu
90	5	3223	7376	1891	1910	1911	1875	1882	1913	1914	1915	Hộ Uyển
90	2	2833	2553	1924	3377	1890	1883	1894	1901	1903	1860	Đai
90	4	3221	2550	2678	3711	1922	1926	1917	1900	1902	1864	Giày
100	3	2546	2852	3860	3379	1886	1916	1893	1904	1906	1907	Vũ Khí
100	1	7651	4054	9400	2547	1869	1888	2835	1877	1896	1897	Áo
100	8	4850	3862	6075	2834	2549	2680	1925	1899	1865	1884	Dây Chuyền
100	7	3898	2884	7656	2552	4877	6077	3222	1887	1918	1878	Nhẫn
100	9	2548	3861	6078	2836	2679	1895	1919	1921	1881	1872	Ngọc Bội
100	6	4547	4546	4548	2554	2698	2851	1889	1853	1855	1858	Hộ Thân Phù
100	0	2832	6104	3378	2551	2670	1892	1923	1866	1873	1880	Đầu
100	5	3223	7376	1891	1910	1911	1875	1882	1913	1914	1915	Hộ Uyển
100	2	2833	5437	2553	1924	3377	1890	1883	1894	1901	1903	Đai
100	4	6076	3221	2550	2678	3711	1922	1926	1917	1900	1902	Giày
110	3	4597	2546	7743	2852	3860	3379	1886	1916	1893	1904	Vũ Khí
110	1	7654	4055	9400	2547	1869	1888	2835	1877	1896	1897	Áo
110	8	4851	3862	6075	2834	2549	2680	1925	1899	1865	1884	Dây Chuyền
110	7	3899	2884	7656	2552	4877	6077	3222	1887	1918	1878	Nhẫn
110	9	2548	3861	6078	2836	2679	1895	1919	1921	1881	1872	Ngọc Bội
110	6	4547	4546	4548	2554	2698	2851	1889	1853	1855	1858	Hộ Thân Phù
110	0	9403	2837	6104	3378	2551	2670	1892	1923	1866	1873	Đầu
110	5	7379	3223	7376	1891	1910	1911	1875	1882	1913	1914	Hộ Uyển
110	2	2838	5437	6105	6287	2553	1924	3377	1890	1883	1894	Đai
110	4	6114	6076	3221	2550	2678	3711	1922	1926	1917	1900	Giày
120	3	4597	6138	2546	7743	2852	3860	3379	1886	1916	1893	Vũ Khí
120	1	7654	4055	9400	2547	1869	1888	2835	1877	1896	1897	Áo
120	8	4851	3862	6075	2834	2549	2680	1925	1899	1865	1884	Dây Chuyền
120	7	3899	2884	7656	2552	4877	6077	3222	1887	1918	1878	Nhẫn
120	9	2548	3861	6078	2836	2679	1895	1919	1921	1881	1872	Ngọc Bội
120	6	4547	4546	4548	2554	2698	2851	1889	1853	1855	1858	Hộ Thân Phù
120	0	9403	2837	6104	3378	2551	2670	1892	1923	1866	1873	Đầu
120	5	7379	3223	7376	1891	1910	1911	1875	1882	1913	1914	Hộ Uyển
120	2	2838	5437	6105	6287	2553	1924	3377	1890	1883	1894	Đai
120	4	6114	6076	3221	2550	2678	3711	1922	1926	1917	1900	Giày
