szHelpKey	szBigTitle	nHead	nIndex	szTitle	Function	FunParam	szContent
RankHelp	Võ Thần Điện		3	Quy tắc phần thưởng			Hạng [FFFE0D]Top 400[-] ưu tiên tự đổi [FFFE0D]Rương Võ Thần-Hoàng Kim[-], sau đó đổi [FFFE0D]Rương Võ Thần-Bạch Ngân[-];\nHạng [FFFE0D]400 trở lên[-], vinh dự không thể đổi [FFFE0D]Rương Võ Thần-Hoàng Kim[-], chỉ tự đổi [FFFE0D]Rương Võ Thần-Bạch Ngân[-];\nĐổi xong cần tự thao tác nhận [FFFE0D]Rương Võ Thần[-], vinh dự dư sẽ tích lũy; 
RankHelp	Võ Thần Điện		4	Lưu thưởng			[FFFE0D]Chỉ lưu 1 lần[-] rương thưởng, hãy nhớ đến nhận thưởng lúc [FFFE0D]22:00 [-] mỗi tối, nếu không có thể sẽ bị đổi phần thưởng mới trong lần tổng kết sau!
FubenHelp	Hướng dẫn Ải		1	Thưởng Cấp Sao			Khi mỗi ải có được 7 sao, 14 sao, 21 sao có thể nhận 1 phần thưởng, thưởng cấp sao chỉ có liên quan đến [FFFE0D]thời gian vượt ải[-], vượt ải 3 sao xong có thể càn quét ải!
FubenHelp	Hướng dẫn Ải		2	EXP ải			EXP nhận được từ ải liên quan tới [FFFE0D]cấp nhân vật[-] và [FFFE0D]thể lực tiêu hao[-], không sợ mất EXP khi làm nhiệm vụ!
FubenHelp	Hướng dẫn Ải		3	Thiết lập ải			Ải Thường sẽ rơi [FFFE0D]Bùa Đồng Hành[-], ải Tinh Anh sẽ rơi [FFFE0D]Đồng Hành Phách[-], ải [FFFE0D]3[-], ải [FFFE0D]5[-], ải [FFFE0D]7[-] mỗi chương sẽ là ải BOSS!
HonorLevelHelp	Quân Hàm		1	Tác dụng Quân Hàm			Quân Hàm là tượng trưng thực lực của đại hiệp, ngoài [FFFE0D]biểu tượng[-] còn nhận được [FFFE0D]lực chiến[-], người có Quân Hàm cao có ưu thế hơn người Quân Hàm thấp!
HonorLevelHelp	Quân Hàm		2	Yêu cầu tăng bậc			Tăng cấp Quân Hàm ở cấp thấp chỉ cần đáp ứng yêu cầu [FFFE0D]lực chiến[-], tăng cấp Quân Hàm cấp cao ngoài lực chiến còn phải nộp [FFFE0D]Lệnh bài Quân Hàm[-]. Hoạt động khác nhau sẽ nhận được lệnh bài Quân Hàm khác nhau.
HonorLevelHelp	Quân Hàm		3	Thưởng Tăng Cấp			Tăng bậc được nhận lực chiến và thuộc tính cộng thêm, ngoài ra nếu đạt quân hàm Ngự Không trở lên trong hạng bang hội còn có cơ hội nhận thêm 1 đạo cụ [FFFE0D]Thư Mời Tửu Quán[-] (Đạo cụ giới hạn cho mỗi quân hàm của từng server), dùng đạo cụ có thể vào [FFFE0D]Vong Ưu Tửu Quán mở Tiệc Bang Hội[-].
ActivityQuestionHelp	Vấn Đáp		1	Quy Tắc			Mỗi ngày có thể tham gia 1 lần, tổng cộng 10 câu, [FFFE0D]không giới hạn thời gian[-], có thể nhờ hảo hữu hoặc Bang Hội giúp đỡ trả lời.
ActivityQuestionHelp	Vấn Đáp		2	Thưởng Vấn Đáp			Trả lời sẽ nhận thưởng EXP, trả lời đúng nhận EXP nhiều hơn. Trả lời hết câu hỏi [FFFE0D]dù đúng hay sai[-] đều sẽ nhận được [FFFE0D]Tàng Bảo Đồ[-].
FamilyHelp	Bang Hội		1	Giới hạn vào			Mỗi [FFFE0D]24 giờ [-]chỉ được vào bang [FFFE0D]1 lần[-], hãy suy nghĩ kỹ. (Tân thủ rời bang lần đầu không bị trừng phạt)
FamilyHelp	Bang Hội		2	Thủ Lĩnh			Bang Chủ đầu tiên là Thủ Lĩnh đầu tiên, Thủ Lĩnh có quyền [FFFE0D]bổ nhiệm Bang Chủ[-].
FamilyHelp	Bang Hội		3	Đổi thủ lĩnh			Thủ Lĩnh [FFFE0D]rời mạng 7 ngày[-] sẽ tự bầu chọn Thủ Lĩnh kế nhiệm. Có [FFFE0D]3 ngày chuẩn bị[-], sau đó thành viên bang hội [FFFE0D]có cống hiến cao nhất[-] và [FFFE0D]đăng nhập gần đây[-] sẽ được chọn thành Thủ Lĩnh mới.
FamilyHelp	Bang Hội		4	Nhận uy danh			Thành viên bang hội tham gia hoạt động đặc biệt sẽ nhận được uy danh.\nHoạt động gồm: [FFFE0D]Minh Chủ Võ Lâm, Danh Tướng, Thí Luyện Bang Hội, Lửa Trại Bang Hội, Bạch Hổ Đường, Vận Tiêu Bang Hội, Công Thành Chiến[-]
FamilyHelp	Bang Hội		5	Quy tắc uy danh			Uy danh hoạt động [FFFE0D]Bạch Hổ Đường[-] mỗi ngày là có giới hạn, khi đạt giới hạn sẽ không nhận thêm nữa.\nUy danh vào lúc [FFFE0D]0:00 mỗi thứ 2[-] sẽ giảm [FFFE0D]20%[-]
FamilyHelp	Bang Hội		6	Lương Bang Hội			4:00 sáng thứ 2 mỗi tuần, phát lương cho [FFFE0D]Bang Chủ, Bang Phó, Trưởng Lão, Chỉ Huy, Bảo Bối[-] dựa vào điểm năng động tuần trước của Bang Hội. Lương Bang Hội liên quan đến [FFFE0D]chức vị, năng động cá nhân trung bình mỗi ngày, tổng năng động Bang Hội[-].\n[FFFE0D](Năng động là độ hoàn thành mục tiêu ngày, tạo mới vào 04:00 thứ 2. Nhậm chức chưa đủ 24 giờ không có lương)[-]
FamilyHelp	Bang Hội		7	Cống hiến			[FFFE0D]7 ngày[-] sau khi rời Bang Hội, nếu chưa vào Bang Hội khác mà vào lại Bang Hội ban đầu, sẽ hồi phục [FFFE0D]cống hiến[-] như cũ. Ngược lại, sẽ xóa lịch sử [FFFE0D]cống hiến[-] của Bang Hội trước, nhưng không ảnh hưởng số điểm [FFFE0D]cống hiến[-] đã có.
FamilyHelp	Bang Hội		8	Quỹ xây dựng			Quỹ xây dựng dùng để tăng cấp kiến trúc Bang Hội và tiêu hao cho tính năng Bang Hội.\nCách nhận: [FFFE0D]Góp Bang Hội, thành viên Bang Hội đạt mục tiêu ngày[-]
FamilyHelp	Bang Hội		9	Thành viên Tinh Anh			Vào 0:00 mỗi ngày, thành viên chính thức dựa vào [FFFE0D]hạng cống hiến bang hội[-] tự động bầu chọn thành viên tinh anh.
FamilyHelp	Bang Hội		10	Bảo Bối			Bang Hội đạt [FFFE0D]Lv3[-] sẽ mở chức vị Bảo Bối. Chức vị này không có quyền quản lý Bang Hội.\n[FFFE0D](Kiến nghị bổ nhiệm người chơi nữ năng động)[-]
FamilyHelp	Bang Hội		11	Thành viên Kiến Tập			Sau khi mở giới hạn cấp 49, đại hiệp cấp thấp vào Bang Hội sẽ tự động trở thành [FFFE0D]Thành Viên Kiến Tập[-]. Thành Viên Kiến Tập mỗi ngày có thêm [FFFE0D]2 lần được Truyền Công[-]. [FFFE0D]Quỹ xây dựng, điểm Bang Hội Minh Chủ Võ Lâm, tổng năng động Bang Hội[-] mà Thành Viên Kiến Tập cung cấp chỉ bằng 1/4 thành viên thường.
FamilyHelp	Bang Hội		12	Giải tán Bang Hội			Bang Hội liên tục 2 tuần được đánh giá [FFFE0D]【Rất không năng động】[-], sẽ bị cưỡng chế giải tán vào 4:00 sáng thứ 2 tuần thứ 3.\n[FFFE0D](Bang hội mới lập tuần đầu là thời kỳ bảo vệ, sẽ không kích hoạt quy tắc giải tán)[-]
RandomFubenHelp	Lăng Tuyệt Phong		1	Sơ lược			Lăng Tuyệt Phong luôn là thánh địa võ lâm, từ xưa đã có nhiều trận quyết chiến diễn ra ở đây, có nhiều người thua nhưng không phục, ẩn cư tu luyện, cũng có người từ bỏ, theo đuổi lĩnh vực khác.
RandomFubenHelp	Lăng Tuyệt Phong		2	Cách chơi			Ngàn vạn năm nay, vô số chuyện lạ xảy ra trên ngọn núi này, trên Lăng Tuyệt Phong sẽ gặp nhiều kẻ địch kỳ quái, tốt nhất nên tổ đội 4 người, liên kết với đại hiệp phái khác.
RandomFubenHelp	Lăng Tuyệt Phong		3	Độ khó Ác Mộng			Khi máy chủ mở Lv69, Lăng Tuyệt Phong sẽ mở độ khó Ác Mộng. Độ khó này vẫn vượt 5 ải, bắt đầu từ tầng 2 và lên tối đa tầng 6, phần thưởng sẽ cao hơn.
RandomFubenHelp	Lăng Tuyệt Phong		4	Độ khó Địa Ngục			Khi máy chủ mở Lv99, Lăng Tuyệt Phong sẽ mở độ khó Địa Ngục. Độ khó này vẫn vượt 5 ải, bắt đầu từ tầng 3 và lên tối đa tầng 6, 7, phần thưởng sẽ cao hơn.
TeamFubenHelp	Bí cảnh tổ đội		1	Sơ lược			Trong giang hồ có nhiều cao thủ võ công nhưng tâm địa xảo trá, cũng có nhưng môn phái gây bao chuyện xấu xa, khiến võ lâm phẫn nộ, để diệt trừ những ung nhọt này, các đại hiệp nên đồng tâm hiệp lực!
TeamFubenHelp	Bí cảnh tổ đội		2	Trợ chiến			Bí Cảnh Tổ Đội có thể trợ chiến, chọn trợ chiến tại sảnh tổ đội, không tốn số lần nhưng không có thưởng.
ImityHelp	Độ thân mật		1	Tăng EXP dã ngoại			Mối quan hệ giữa độ thân mật và EXP đánh quái dã ngoại: [FFFE0D]\nLv10-19  Tăng 2%      Lv20-29  Tăng 4%      Lv30-39  Tăng 6%\nLv40-49  Tăng 8%      Lv50 trở lên  Tăng 10%[-]   
ImityHelp	Độ thân mật		2	Tăng thân mật 1			Tổ đội tham gia [FFFE0D]Sơn Tặc Mật Quật, Nhiệm Vụ Trừng Ác, Bí Cảnh Tổ Đội, Lăng Tuyệt Phong, Diệt Tinh Anh Dã Ngoại, Tàng Bảo Đồ-Cao, Thủ Lĩnh Dã Ngoại, Danh Tướng, Bạch Hổ Đường, Thông Thiên Tháp, Tâm Ma Ảo Cảnh[-]
ImityHelp	Độ thân mật		3	Tăng thân mật 2			[FFFE0D]Tham gia Địa Cung của hảo hữu mời, giúp đỡ hảo hữu hoàn thành nhiệm vụ Thương Hội, Bang Hội Truyền Công, khiêu chiến kẻ địch của hảo hữu[-]
ImityHelp	Độ thân mật		4	Tăng thân mật 3			Tặng cho hảo hữu [FFFE0D]Hoa Hồng, 99 Hoa Hồng, Cỏ May Mắn, 99 Cỏ May Mắn[-]
MarketStall	Bày Bán		1	Số lượng bày bán			Số vật phẩm bày bán phải là [FFFE0D]1,5,10,50,100[-], tùy nhu cầu cá nhân có thể chọn số lượng!
MarketStall	Bày Bán		2	Thời gian giới thiệu			Bày bán duy trì [FFFE0D]24 giờ[-].
MarketStall	Bày Bán		3	Tạo mới Sạp			Mỗi [FFFE0D]30 phút[-] tự động tạo mới thương phẩm miễn phí một lần.
PartnerHelp	Đồng Hành		1	Phẩm chất đồng hành			Võ công đồng hành có sự cao thấp khác nhau, sức mạnh được xếp hạng từ cao đến thấp như sau: [e6d012]Cấp SSS[-], [ff8f06]Cấp SS[-], [ff578c]Cấp S[-], [aa62fc]Cấp A[-], [11adf6]Cấp B[-], [64db00]Cấp C[-].
PartnerHelp	Đồng Hành		2	Sở trường Đồng Hành			Sở trường Đồng Hành chủ yếu ảnh hưởng [FFFE0D]hành vi chiến đấu[-].\n[FFFE0D](Sở trường Đồng Hành hiệu lực khi xuất chiến)[-] 
PartnerHelp	Đồng Hành		3	Kỹ năng Hộ Chủ			Mỗi đồng hành đều tự có 1 kỹ năng Hộ Chủ và không thể bị thay thế, kỹ năng Hộ Chủ sẽ dựa theo [FFFE0D]lực chiến đồng hành[-] [FFFE0D]tự động tăng cấp[-], kỹ năng Hộ Chủ của đồng hành ra trận [FFFE0D]cộng trực tiếp cho nhân vật[-].\n[FFFE0D](Kỹ năng Hộ Chủ cấp cao sẽ có hiệu lực)[-]
PartnerHelp	Đồng Hành		4	Kỹ năng Thiên Phú			Mỗi đồng hành khi sinh ra đều mang một kỹ năng thiên phú và không thể thay đổi, đồng hành Cấp B trở lên có kỹ năng thiên phú khác nhau.\n[FFFE0D](Kỹ năng thiên phú không thể tăng cấp) [-]
PartnerHelp	Đồng Hành		5	Kỹ năng Đồng Hành			Khi nhận Đồng Hành, Đồng Hành có kèm [FFFE0D]0-5[-] kỹ năng Đồng Hành ngẫu nhiên. Cũng có thể dùng [FFFE0D]Sách Đồng Hành[-] để học [FFFE0D]kỹ năng[-] tương ứng.[FFFE0D]\n(Sau khi học hết kỹ năng Đồng Hành có thể dùng Sách Đồng Hành đổi kỹ năng đã có) [-] 
PartnerHelp	Đồng Hành		6	Cấp tiềm năng			Cấp tiềm năng quyết định [FFFE0D]Tiềm năng tối đa[-] của Đồng Hành. Phân từ cao đến thấp lần lượt là [ff8f06]Hoàn Mỹ[-] , [aa62fc]Trác Việt[-] , [11adf6]Ưu Tú[-] , [64db00]Tốt[-] , [848484]Thường[-] .\n[FFFE0D](Thông qua [FFFE0D]Tư Chất Đơn[-] tăng tiềm năng hiện tại của Đồng Hành) [-] 
PartnerHelp	Đồng Hành		7	Đột phá Đồng Hành			Đồng Hành [FFFE0D]trước Lv60[-] mỗi 10 cấp có thể đột phá 1 lần, Đồng Hành [FFFE0D]sau Lv60[-] mỗi 2 cấp đột phá 1 lần, đột phá xong dựa vào cấp tiềm năng của Đồng Hành để tăng giới hạn tiềm năng.
PartnerHelp	Đồng Hành		8	Kỳ Tài			Nhận Đồng Hành hoặc tẩy tủy Đồng Hành có tỉ lệ nhận Kỳ Tài. Cấp tiềm năng, kỹ năng Đồng Hành Kỳ Tài tốt hơn Đồng Hành Thường.\n[FFFE0D](Tẩy tủy Đồng Hành Kỳ Tài có thể biến thành Đồng Hành Thường) [-] 
PartnerHelp	Đồng Hành		9	Tẩy tủy Đồng Hành			Tiêu hao lượng [FFFE0D]Tẩy Tủy Đơn[-] nhất định để tẩy tủy đồng hành, phân phối ngẫu nhiên [FFFE0D]tiềm năng[-], [FFFE0D]cấp tiềm năng[-] và [FFFE0D]kỹ năng đồng hành[-], không tái lập cấp đồng hành. [FFFE0D](Sau khi tẩy tủy đồng hành sẽ nhận hoàn trả tất cả Tư Chất Đơn đã tiêu hao. Sách Kỹ Năng đã dùng cũng sẽ tính thành Tẩy Tủy Đơn)[-]
PartnerHelp	Đồng Hành		10	Tăng cấp Đồng Hành			Khi nhân vật nhận EXP, Đồng Hành xuất trận sẽ nhận EXP tương ứng, có thể dùng [FFFE0D]Bình EXP[-] tăng EXP Đồng Hành.
PartnerHelp	Đồng Hành		11	Bỏ Đồng Hành			Sau khi sa thải đồng hành, có thể nhận [FFFE0D]Tư Chất Đơn[-], [FFFE0D]Tẩy Tủy Đơn[-], [FFFE0D]Bình EXP[-], đồng hành sau khi sa thải sẽ biến mất. [FFFE0D](Sau khi sa thải, vũ khí bổn mạng và Tư Chất Đơn sẽ hoàn trả toàn bộ, kỹ năng đồng hành sẽ tính thành Tẩy Tủy Đơn)[-]
EnemyHelp	Kẻ Địch		1	Kết thành Kẻ địch			Trong trường hợp đặc biệt khi [FFFE0D]bị người chơi khác tiêu diệt[-] sẽ [FFFE0D]thêm đối phương làm kẻ địch [-], nếu tiêu diệt người chơi khác sẽ bị cho vào danh sách kẻ địch đối phương.
EnemyHelp	Kẻ Địch		2	Quy tắc Khiêu chiến			Khiêu chiến mỗi ngày có [FFFE0D]hạn chế số lần[-], 4:00 tạo mới, khiêu chiến [FFFE0D]số lần nhất định[-] sẽ vào thời gian chờ.
EnemyHelp	Kẻ Địch		3	Khiêu chiến kẻ địch			Sau khi khiêu chiến kẻ địch sẽ từ [FFFE0D]trên người đối phương[-] nhận số lượng [FFFE0D]Bạc[-] nhất định. Sau khi khiêu chiến thành công sẽ giảm độ đối địch với đối phương, khi trở về 0 sẽ xóa tên trong danh sách kẻ địch.
FamilyVault	Lương Chức Vị		1	Trả lương			Vào [FFFE0D]00:00 Thứ 2 hàng tuần[-] Bang Hội [FFFE0D]Top X[-] Xếp Hạng Bang Hội, [FFFE0D]Bang Chủ, Bang Phó, Trưởng Lão[-] được nhận lương!
FamilyVault	Lương Chức Vị		2	Mức lương			[FFFE0D]Hạng Bang Hội càng cao[-], [FFFE0D]chức vị càng cao[-], lương càng nhiều!
FamilyRedBag	Lì Xì Bang Hội		1	Nhận Lì Xì			Thành viên Bang Hội đạt điều kiện đặc biệt nhận [FFFE0D]1[-] Lì Xì Bang Hội.\nCách nhận: [FFFE0D]Hạng 1 Chiến Trường lần đầu mỗi tuần, hạng 1 Minh Chủ Võ Lâm lần đầu mỗi tuần, lên Thông Thiên Tháp 7 lần đầu mỗi tuần, diệt Thủ Lĩnh Bạch Hổ Đường Tầng 4 lần đầu mỗi tuần...[-]
FamilyRedBag	Lì Xì Bang Hội		2	Hạn Lì Xì			Nhận Lì Xì cần phát trong [FFFE0D]24 giờ[-], Lì Xì chưa phát trong [FFFE0D]24 giờ[-] sẽ tự phát trong hoạt động [FFFE0D]Lửa Trại Bang Hội[-] lần sau.
FamilyRedBag	Lì Xì Bang Hội		3	Mức Lì Xì			Tiêu hao Nguyên Bảo để tăng mức Lì Xì, có thể chọn: [FFFE0D]x2 mức tiền, x3 mức tiền, x6 mức tiền[-] 
FamilyRedBag	Lì Xì Bang Hội		4	Nhận Lì Xì			Sau khi phát lì xì, tất cả thành viên Bang Hội đều có thể tham gia và nhận [FFFE0D]Lì Xì May Mắn[-].\n[FFFE0D](Mỗi ngày tối đa nhận 50 Lì Xì)[-]
YxlHelp	Lệnh Bài Quân Hàm		1	Công dụng			Lệnh bài tăng cấp Quân Hàm dùng để tăng cấp Quân Hàm, tượng trưng cho danh tiếng và vinh dự, cấp Quân Hàm [FFFE0D]khác nhau[-] cần tốn [FFFE0D]Lệnh Bài Quân Hàm[-] cấp khác nhau, có 3 cách nhận Anh Hùng Lệnh.
YxlHelp	Lệnh Bài Quân Hàm		2	Hoạt động quan trọng			Tham gia hoạt động giang hồ để nhận, [FFFE0D]hoạt động khác nhau[-] [FFFE0D]lệnh bài Quân Hàm khác nhau[-], đây là cách để nhận lệnh bài Quân Hàm!
YxlHelp	Lệnh Bài Quân Hàm		3	Đấu giá			Đấu giá chia thành [FFFE0D]đấu giá Bang Hội[-] và [FFFE0D]đấu giá thế giới[-], đấu giá có thể nhận lệnh bài Quân Hàm.
YxlHelp	Lệnh Bài Quân Hàm		4	Bày bán			Sẽ có một số đại hiệp [FFFE0D]bày bán[-] Lệnh Bài Quân Hàm, hãy đến đó tìm mua!
SkillHelp	Kỹ năng		1	Giới thiệu kỹ năng			Kỹ năng là cách tấn công duy nhất của đại hiệp, mỗi phái có 1 kỹ năng đánh thường không cần chờ và 4 kỹ năng chờ.
SkillHelp	Kỹ năng		2	Tăng kỹ năng			Mỗi lần tăng cấp nhận 1 điểm kỹ năng, mỗi điểm kỹ năng có thể tăng cấp 1 lần cho 1 kỹ năng, [FFFE0D]trước Lv50[-] có thể [FFFE0D]tạo mới miễn phí[-] điểm kỹ năng. Điểm kỹ năng có hạn, chú ý chọn kỹ năng để tăng cấp!
SkillHelp	Kỹ năng		3	Kỹ năng thông dụng			Tất cả phái đều có 2 kỹ năng thông dụng: Khinh công và ngồi thiền.\nThi triển khinh công sẽ di chuyển một khoảng cách, trong thời gian này miễn dịch tấn công của địch.\nNgồi thiền không thể di chuyển, hồi phục sinh lực liên tục.
JueXueHelp	Giới Thiệu Tuyệt học		1	Mở Tuyệt Học			Sau khi mở hệ thống Tuyệt Học, tu luyện Bí Kíp-Cao tương ứng đạt Lv200 có thể dùng Tín Vật Môn Phái để đột phá, từ đó mở hệ thống Tuyệt Học, Trang Bị Tuyệt Học, Bí Quyển và Mảnh
JueXueHelp	Giới Thiệu Tuyệt học		2	Tuyệt Học			Tiêu hao tu vi [FFFE0D]tu luyện[-] tuyệt học, có thể tăng tiềm năng cộng thêm và [FFFE0D]cấp kỹ năng tối đa[-] của tuyệt học.\n8 Bí Quyển và Mảnh xung quanh tuyệt học sẽ tăng tu vi tuyệt học cho bí kíp này, tu vi càng cao cấp kỹ năng tuyệt học hiệu lực càng cao.
JueXueHelp	Giới Thiệu Tuyệt học		3	Bí Quyển			Bí quyển có thể giúp nhân vật tăng thuộc tính cộng thêm ngẫu nhiên, cũng sẽ ảnh hưởng đến thuộc tính của mảnh ở vị trí lân cận, trang bị mảnh tốt hơn ở vị trí cao hơn sẽ nhận được thuộc tính cộng thêm nhiều hơn.
JueXueHelp	Giới Thiệu Tuyệt học		4	Mảnh			Mảnh ngoài thuộc tính ngẫu nhiên của bản thân ra còn có thể trở thành [FFFE0D]Bộ Mảnh[-], trang bị mảnh có Bộ giống nhau [FFFE0D]ở vị trí lân cận[-] có thể kích hoạt thuộc tính Bộ của mảnh.
ZhenFaHelp	Trận Pháp Yếu Quyết cần biết		1	Trận Pháp và Yếu Quyết			Trận Pháp do 6 Yếu Quyết hợp thành, thuộc tính Yếu Quyết chỉ kích hoạt khi có đồng đội phù hợp điều kiện. Người phù hợp điều kiện càng nhiều, thuộc tính kích hoạt càng nhiều.
ZhenFaHelp	Trận Pháp Yếu Quyết cần biết		2	Nhận Yếu Quyết			Hoàn thành [FFFE0D]5 vòng Trận Pháp Thí Luyện[-], nhận [FFFE0D]Quyển Trận Pháp[-], mở có cơ hội nhận Yếu Quyết phẩm chất thường.\nDùng [FFFE0D]đạo cụ tu sửa[-] sửa Quyển Trận Pháp có cơ nhận Yếu Quyết kế thừa hoặc phẩm chất hiếm.
ZhenFaHelp	Trận Pháp Yếu Quyết cần biết		3	Tu Luyện Yếu Quyết			Tiêu hao [FFFE0D]đạo cụ Tu Luyện Trận Pháp[-] có thể tăng cấp Tu Luyện Yếu Quyết, cấp càng cao, thuộc tính Yếu Quyết càng cao. Khi đổi Yếu Quyết sẽ giữ lại cấp và điểm tu luyện Yếu Quyết.\n[FFFE0D]Đạo cụ Tu Luyện Trận Pháp[-] nhận từ hoạt động Trận Pháp Thí Luyện, cũng có thể nhận từ [FFFE0D]tách[-] Yếu Quyết.
RefinementHelp	Tẩy luyện		1	Sơ lược tẩy luyện			Trang bị có nhiều thuộc tính, có thể chuyển đến trang bị hiện tại từ trang bị [FFFE0D]cùng cấp[-], [FFFE0D]cao hơn 1 cấp[-] hoặc [FFFE0D]cấp thấp[-], để chọn thuộc tính tốt
RefinementHelp	Tẩy luyện		2	Quy tắc tẩy luyện			Mỗi lần chỉ được tẩy luyện 1 thuộc tính, sau khi tẩy luyện [FFFE0D]thuộc tính trên trang bị nguyên liệu[-] sẽ chuyển sang trang bị hiện tại, đồng thời [FFFE0D]thuộc tính bị thay thế của trang bị hiện tại[-] sẽ biến mất
RefinementHelp	Tẩy luyện		3	Gợi ý tẩy luyện			Ưu tiên thêm đầy thuộc tính trống trên trang bị, sau đó dùng thuộc tính cao thay thế thấp\nThuộc tính từ cao xuống thấp [ff8f06]Cam[-]＞[ff578c]Hồng[-]＞[aa62fc]Tím[-]＞[11adf6]Lam[-]＞[64db00]Lục[-]＞Trắng
FactionBattleHelp	Thi Đấu Môn Phái		1	Thi Đấu Môn Phái			Lv30 trở lên đều có thể tham gia, tuyển chọn từ quần chiến và hỗn chiến, sau cùng chọn ra Đệ Nhất Môn Phái!
FactionBattleHelp	Thi Đấu Môn Phái		2	Giai đoạn hỗn chiến			Sau thời gian chuẩn bị sẽ vào giai đoạn giao chiến, tất cả nhân vật tham gia [FFFE0D]sẽ chia thành hai đội ngẫu nhiên[-] giao chiến, [FFFE0D]tiêu diệt đối thủ[-] sẽ nhận [FFFE0D]điểm[-], bị đánh bại sẽ tự hồi sinh sau một khoảng thời gian, điểm chung cuộc [FFFE0D]Top 16[-] sẽ vào vòng sau.
FactionBattleHelp	Thi Đấu Môn Phái		3	Tỉ Võ-Đơn			Top 16 sẽ thi đấu [FFFE0D]1VS1 [-], vào tứ kết, bán kết, chung kết, để chọn ra [FFFE0D]Tân Vương[-].
