ServerId	Normal	Battle	Baihu	TeamBattle	Indiffer	DaXueZhang	BiWuZhaoQin	WLDH	BLBoss	ZoneBossMaster	FactionBattle	QYHCross	CrossDomain	KeyQuestFuben	KinEncounter
20126	1	11	11	11	11	11	11	14	14	14	14	14	14	14	14
20127	1	11	11	11	11	11	11	14	14	14	14	14	14	14	14
20132	1	11	11	11	11	11	11	14	14	14	14	14	14	14	14
20136	1	12	12	12	12	12	12	15	15	15	15	15	15	15	15
20142	1	12	12	12	12	12	12	15	15	15	15	15	15	15	15
20145	1	12	12	12	12	12	12	15	15	15	15	15	15	15	15
20151	1	12	12	12	12	12	12	15	15	15	15	15	15	15	15
20152	1	12	12	12	12	12	12	16	16	16	16	16	16	16	16
20154	1	13	13	13	13	13	13	16	16	16	16	16	16	16	16
20159	1	13	13	13	13	13	13	16	16	16	16	16	16	16	16
20162	1	13	13	13	13	13	13	16	16	16	16	16	16	16	16
20166	1	13	13	13	13	13	13	17	17	17	17	17	17	17	17
20170	1	13	13	13	13	13	13	17	17	17	17	17	17	17	17
20172	1	14	14	14	14	14	14	17	17	17	17	17	17	17	17
20176	1	14	14	14	14	14	14	17	17	17	17	17	17	17	17
20179	1	14	14	14	14	14	14	18	18	18	18	18	18	18	18
20182	1	14	14	14	14	14	14	18	18	18	18	18	18	18	18
20188	1	14	14	14	14	14	14	18	18	18	18	18	18	18	18
20191	1	15	15	15	15	15	15	18	18	18	18	18	18	18	18
20195	1	15	15	15	15	15	15	19	19	19	19	19	19	19	19
20200	1	15	15	15	15	15	15	19	19	19	19	19	19	19	19
20202	1	15	15	15	15	15	15	19	19	19	19	19	19	19	19
20204	1	15	15	15	15	15	15	19	19	19	19	19	19	19	19
20210	1	16	16	16	16	16	16	20	20	20	20	20	20	20	20
20211	1	16	16	16	16	16	16	20	20	20	20	20	20	20	20
20217	1	16	16	16	16	16	16	20	20	20	20	20	20	20	20
20221	1	16	16	16	16	16	16	20	20	20	20	20	20	20	20
20223	1	16	16	16	16	16	16	21	21	21	21	21	21	21	21
20227	1	17	17	17	17	17	17	21	21	21	21	21	21	21	21
20229	1	17	17	17	17	17	17	21	21	21	21	21	21	21	21
20233	1	17	17	17	17	17	17	21	21	21	21	21	21	21	21
20234	1	17	17	17	17	17	17	22	22	22	22	22	22	22	22
20238	1	17	17	17	17	17	17	22	22	22	22	22	22	22	22
20242	1	18	18	18	18	18	18	22	22	22	22	22	22	22	22
20246	1	18	18	18	18	18	18	22	22	22	22	22	22	22	22
20250	1	18	18	18	18	18	18	23	23	23	23	23	23	23	23
20253	1	18	18	18	18	18	18	23	23	23	23	23	23	23	23
20256	1	18	18	18	18	18	18	23	23	23	23	23	23	23	23
20259	1	19	19	19	19	19	19	23	23	23	23	23	23	23	23
20262	1	19	19	19	19	19	19	24	24	24	24	24	24	24	24
20266	1	19	19	19	19	19	19	24	24	24	24	24	24	24	24
20270	1	19	19	19	19	19	19	24	24	24	24	24	24	24	24
20276	1	19	19	19	19	19	19	24	24	24	24	24	24	24	24
20278	1	20	20	20	20	20	20	25	25	25	25	25	25	25	25
20282	1	20	20	20	20	20	20	25	25	25	25	25	25	25	25
20288	1	20	20	20	20	20	20	25	25	25	25	25	25	25	25
20293	1	20	20	20	20	20	20	25	25	25	25	25	25	25	25
20296	1	20	20	20	20	20	20	26	26	26	26	26	26	26	26
20300	1	21	21	21	21	21	21	26	26	26	26	26	26	26	26
20301	1	21	21	21	21	21	21	26	26	26	26	26	26	26	26
20302	1	21	21	21	21	21	21	26	26	26	26	26	26	26	26
20306	1	21	21	21	21	21	21	27	27	27	27	27	27	27	27
20308	1	21	21	21	21	21	21	27	27	27	27	27	27	27	27
20312	1	22	22	22	22	22	22	27	27	27	27	27	27	27	27
20316	1	22	22	22	22	22	22	27	27	27	27	27	27	27	27
20321	1	22	22	22	22	22	22	28	28	28	28	28	28	28	28
20326	1	22	22	22	22	22	22	28	28	28	28	28	28	28	28
20329	1	22	22	22	22	22	22	28	28	28	28	28	28	28	28
20334	1	23	23	23	23	23	23	28	28	28	28	28	28	28	28
20338	1	23	23	23	23	23	23	29	29	29	29	29	29	29	29
20342	1	23	23	23	23	23	23	29	29	29	29	29	29	29	29
20346	1	23	23	23	23	23	23	29	29	29	29	29	29	29	29
20350	1	23	23	23	23	23	23	29	29	29	29	29	29	29	29
20353	1	24	24	24	24	24	24	30	30	30	30	30	30	30	30
20358	1	24	24	24	24	24	24	30	30	30	30	30	30	30	30
20362	1	24	24	24	24	24	24	30	30	30	30	30	30	30	30
20365	1	24	24	24	24	24	24	30	30	30	30	30	30	30	30
20369	1	24	24	24	24	24	24	31	31	31	31	31	31	31	31
20373	1	25	25	25	25	25	25	31	31	31	31	31	31	31	31
20376	1	25	25	25	25	25	25	31	31	31	31	31	31	31	31
20380	1	25	25	25	25	25	25	31	31	31	31	31	31	31	31
20385	1	25	25	25	25	25	25	32	32	32	32	32	32	32	32
20389	1	25	25	25	25	25	25	32	32	32	32	32	32	32	32
20394	1	26	26	26	26	26	26	32	32	32	32	32	32	32	32
20398	1	26	26	26	26	26	26	32	32	32	32	32	32	32	32
20400	1	26	26	26	26	26	26	33	33	33	33	33	33	33	33
20403	1	26	26	26	26	26	26	33	33	33	33	33	33	33	33
20406	1	26	26	26	26	26	26	33	33	33	33	33	33	33	33
20408	1	27	27	27	27	27	27	33	33	33	33	33	33	33	33
20411	1	27	27	27	27	27	27	34	34	34	34	34	34	34	34
20414	1	27	27	27	27	27	27	34	34	34	34	34	34	34	34
20416	1	27	27	27	27	27	27	34	34	34	34	34	34	34	34
20418	1	27	27	27	27	27	27	34	34	34	34	34	34	34	34
20421	1	28	28	28	28	28	28	35	35	35	35	35	35	35	35
20423	1	28	28	28	28	28	28	35	35	35	35	35	35	35	35
20425	1	28	28	28	28	28	28	35	35	35	35	35	35	35	35
20427	1	28	28	28	28	28	28	35	35	35	35	35	35	35	35
20430	1	28	28	28	28	28	28	36	36	36	36	36	36	36	36
20432	1	29	29	29	29	29	29	36	36	36	36	36	36	36	36
20434	1	29	29	29	29	29	29	36	36	36	36	36	36	36	36
20436	1	29	29	29	29	29	29	36	36	36	36	36	36	36	36
20438	1	29	29	29	29	29	29	37	37	37	37	37	37	37	37
20441	1	29	29	29	29	29	29	37	37	37	37	37	37	37	37
20442	1	30	30	30	30	30	30	37	37	37	37	37	37	37	37
20444	1	30	30	30	30	30	30	37	37	37	37	37	37	37	37
20445	1	30	30	30	30	30	30	38	38	38	38	38	38	38	38
20447	1	30	30	30	30	30	30	38	38	38	38	38	38	38	38
20449	1	30	30	30	30	30	30	38	38	38	38	38	38	38	38
20450	1	31	31	31	31	31	31	38	38	38	38	38	38	38	38
20452	1	31	31	31	31	31	31	39	39	39	39	39	39	39	39
20454	1	31	31	31	31	31	31	39	39	39	39	39	39	39	39
20456	1	31	31	31	31	31	31	39	39	39	39	39	39	39	39
20457	1	31	31	31	31	31	31	39	39	39	39	39	39	39	39
20459	1	32	32	32	32	32	32	40	40	40	40	40	40	40	40
20461	1	32	32	32	32	32	32	40	40	40	40	40	40	40	40
20463	1	32	32	32	32	32	32	40	40	40	40	40	40	40	40
20465	1	32	32	32	32	32	32	40	40	40	40	40	40	40	40
20467	1	32	32	32	32	32	32	41	41	41	41	41	41	41	41
20469	1	33	33	33	33	33	33	41	41	41	41	41	41	41	41
20471	1	33	33	33	33	33	33	41	41	41	41	41	41	41	41
20473	1	33	33	33	33	33	33	41	41	41	41	41	41	41	41
20474	1	33	33	33	33	33	33	42	42	42	42	42	42	42	42
20476	1	33	33	33	33	33	33	42	42	42	42	42	42	42	42
20477	1	34	34	34	34	34	34	42	42	42	42	42	42	42	42
20479	1	34	34	34	34	34	34	42	42	42	42	42	42	42	42
20480	1	34	34	34	34	34	34	43	43	43	43	43	43	43	43
20481	1	34	34	34	34	34	34	43	43	43	43	43	43	43	43
20483	1	34	34	34	34	34	34	43	43	43	43	43	43	43	43
20484	1	35	35	35	35	35	35	43	43	43	43	43	43	43	43
20485	1	35	35	35	35	35	35	44	44	44	44	44	44	44	44
20486	1	35	35	35	35	35	35	44	44	44	44	44	44	44	44
20487	1	35	35	35	35	35	35	44	44	44	44	44	44	44	44
20489	1	35	35	35	35	35	35	44	44	44	44	44	44	44	44
20490	1	36	36	36	36	36	36	45	45	45	45	45	45	45	45
20491	1	36	36	36	36	36	36	45	45	45	45	45	45	45	45
20492	1	36	36	36	36	36	36	45	45	45	45	45	45	45	45
20493	1	36	36	36	36	36	36	45	45	45	45	45	45	45	45
20494	1	36	36	36	36	36	36	46	46	46	46	46	46	46	46
20495	1	37	37	37	37	37	37	46	46	46	46	46	46	46	46
20496	1	37	37	37	37	37	37	46	46	46	46	46	46	46	46
20497	1	37	37	37	37	37	37	46	46	46	46	46	46	46	46
20499	1	37	37	37	37	37	37	47	47	47	47	47	47	47	47
20500	1	37	37	37	37	37	37	47	47	47	47	47	47	47	47
20501	1	38	38	38	38	38	38	47	47	47	47	47	47	47	47
20502	1	38	38	38	38	38	38	47	47	47	47	47	47	47	47
20503	1	38	38	38	38	38	38	48	48	48	48	48	48	48	48
20504	1	38	38	38	38	38	38	48	48	48	48	48	48	48	48
20505	1	38	38	38	38	38	38	48	48	48	48	48	48	48	48
20506	1	39	39	39	39	39	39	48	48	48	48	48	48	48	48
20507	1	39	39	39	39	39	39	49	49	49	49	49	49	49	49
20508	1	39	39	39	39	39	39	49	49	49	49	49	49	49	49
20509	1	39	39	39	39	39	39	49	49	49	49	49	49	49	49
20510	1	39	39	39	39	39	39	49	49	49	49	49	49	49	49
20511	1	40	40	40	40	40	40	50	50	50	50	50	50	50	50
20512	1	40	40	40	40	40	40	50	50	50	50	50	50	50	50
20513	1	40	40	40	40	40	40	50	50	50	50	50	50	50	50
20514	1	40	40	40	40	40	40	50	50	50	50	50	50	50	50
20515	1	41	41	41	41	41	41	51	51	51	51	51	51	51	51
20516	1	41	41	41	41	41	41	51	51	51	51	51	51	51	51
20517	1	41	41	41	41	41	41	51	51	51	51	51	51	51	51
20518	1	41	41	41	41	41	41	51	51	51	51	51	51	51	51
20519	1	41	41	41	41	41	41	52	52	52	52	52	52	52	52
20520	1	42	42	42	42	42	42	52	52	52	52	52	52	52	52
20521	1	42	42	42	42	42	42	52	52	52	52	52	52	52	52
20522	1	42	42	42	42	42	42	52	52	52	52	52	52	52	52
20523	1	42	42	42	42	42	42	53	53	53	53	53	53	53	53
20524	1	42	42	42	42	42	42	53	53	53	53	53	53	53	53
20525	1	43	43	43	43	43	43	53	53	53	53	53	53	53	53
20526	1	43	43	43	43	43	43	53	53	53	53	53	53	53	53
20527	1	43	43	43	43	43	43	54	54	54	54	54	54	54	54
20528	1	43	43	43	43	43	43	54	54	54	54	54	54	54	54
20529	1	43	43	43	43	43	43	54	54	54	54	54	54	54	54
20530	1	44	44	44	44	44	44	54	54	54	54	54	54	54	54
20531	1	44	44	44	44	44	44	55	55	55	55	55	55	55	55
20532	1	44	44	44	44	44	44	55	55	55	55	55	55	55	55
20533	1	44	44	44	44	44	44	55	55	55	55	55	55	55	55
20534	1	44	44	44	44	44	44	55	55	55	55	55	55	55	55
20535	1	45	45	45	45	45	45	56	56	56	56	56	56	56	56
20536	1	45	45	45	45	45	45	56	56	56	56	56	56	56	56
20537	1	45	45	45	45	45	45	56	56	56	56	56	56	56	56
20538	1	45	45	45	45	45	45	56	56	56	56	56	56	56	56
20539	1	45	45	45	45	45	45	57	57	57	57	57	57	57	57
20540	1	46	46	46	46	46	46	57	57	57	57	57	57	57	57
20541	1	46	46	46	46	46	46	57	57	57	57	57	57	57	57
20542	1	46	46	46	46	46	46	57	57	57	57	57	57	57	57
20543	1	46	46	46	46	46	46	58	58	58	58	58	58	58	58
20544	1	46	46	46	46	46	46	58	58	58	58	58	58	58	58
